Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA,week,year,game_id
2.0,13:29,2.0,8.0,BUF 41,7.0,7.0,"Jamaal Williams left tackle for no gain. Jamaal Williams fumbles (forced by Ed Oliver) (tackle by Christian Benford), recovered by Ed Oliver at BUF-41 (tackle by Christian Benford) (tackle by Christian Benford) (tackle by Ed Oliver) (tackle by Ed Oliver)",2.45,-1.73,12.0,2022,165
2.0,13:23,1.0,10.0,BUF 42,7.0,7.0,Josh Allen pass complete short middle to James Cook for 8 yards (tackle by Alex Anzalone),1.73,2.27,12.0,2022,165
2.0,12:57,2.0,2.0,BUF 50,7.0,7.0,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Alex Anzalone and Mike Hughes),2.27,2.79,12.0,2022,165
2.0,12:27,1.0,10.0,DET 42,7.0,7.0,Josh Allen pass complete short right to Gabriel Davis for 4 yards (tackle by Jerry Jacobs),2.79,2.78,12.0,2022,165
2.0,11:47,2.0,6.0,DET 38,7.0,7.0,Josh Allen scrambles left end for 5 yards (tackle by Will Harris),2.78,2.74,12.0,2022,165
2.0,11:09,3.0,1.0,DET 33,7.0,7.0,Devin Singletary up the middle for 2 yards (tackle by Derrick Barnes and DeShon Elliott),2.74,3.51,12.0,2022,165
2.0,10:33,1.0,10.0,DET 31,7.0,7.0,Josh Allen pass complete short right to Isaiah McKenzie for 1 yard (tackle by Mike Hughes),3.51,3.1,12.0,2022,165
2.0,10:02,2.0,9.0,DET 30,7.0,7.0,Devin Singletary up the middle for 19 yards (tackle by Kerby Joseph and DeShon Elliott),3.1,4.84,12.0,2022,165
2.0,9:28,1.0,10.0,DET 11,7.0,7.0,Josh Allen scrambles up the middle for 7 yards (tackle by Will Harris),4.84,5.47,12.0,2022,165
2.0,8:45,2.0,3.0,DET 4,7.0,7.0,Devin Singletary up the middle for 1 yard (tackle by Julian Okwara),5.47,4.89,12.0,2022,165
2.0,8:00,3.0,2.0,DET 3,13.0,7.0,"Josh Allen for 3 yards. Josh Allen fumbles, recovered by Josh Allen at DET-8, touchdown",4.89,7.0,12.0,2022,165
2.0,7:55,,,DET 15,14.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,12.0,2022,165
2.0,7:55,,,BUF 35,14.0,7.0,"Tyler Bass kicks off 61 yards, returned by Justin Jackson for 20 yards (tackle by Jaquan Johnson and Reggie Gilliam)",0.0,0.54,12.0,2022,165
2.0,7:51,1.0,10.0,DET 24,14.0,7.0,Jamaal Williams right tackle for -3 yards (tackle by Tim Settle and Jordan Phillips),0.54,-0.41,12.0,2022,165
2.0,7:12,2.0,13.0,DET 21,14.0,7.0,Jared Goff pass complete short left to Brock Wright for 5 yards (tackle by Taron Johnson),-0.41,-0.43,12.0,2022,165
2.0,6:37,3.0,8.0,DET 26,14.0,7.0,Jared Goff pass complete short middle to D'Andre Swift for 7 yards (tackle by Jordan Poyer),-0.43,-1.18,12.0,2022,165
2.0,5:57,4.0,1.0,DET 33,14.0,7.0,Jamaal Williams up the middle for 2 yards (tackle by DaQuan Jones and Jordan Poyer),-1.18,1.27,12.0,2022,165
2.0,5:41,1.0,10.0,DET 35,14.0,7.0,Jared Goff pass complete to Amon-Ra St. Brown for no gain (no play),1.27,2.0,12.0,2022,165
2.0,5:19,1.0,5.0,DET 40,14.0,7.0,Jamaal Williams right tackle for 2 yards (tackle by Ed Oliver and DaQuan Jones),2.0,1.67,12.0,2022,165
2.0,4:45,2.0,3.0,DET 42,14.0,7.0,Jared Goff pass complete short right to Kalif Raymond for 13 yards (tackle by Dane Jackson),1.67,2.59,12.0,2022,165
2.0,4:06,1.0,10.0,BUF 45,14.0,7.0,Jamaal Williams right tackle for 7 yards (tackle by Damar Hamlin),2.59,2.99,12.0,2022,165
2.0,3:28,2.0,3.0,BUF 38,14.0,7.0,Jared Goff pass complete short right to James Mitchell for 22 yards (tackle by Damar Hamlin and Christian Benford),2.99,4.51,12.0,2022,165
2.0,2:45,1.0,10.0,BUF 16,14.0,7.0,Jared Goff pass complete short right to Kalif Raymond for 7 yards (tackle by Jordan Poyer and A.J. Klein),4.51,5.16,12.0,2022,165
2.0,2:28,2.0,3.0,BUF 9,14.0,7.0,Jared Goff pass incomplete short right intended for Kalif Raymond (defended by Jordan Phillips),5.16,4.39,12.0,2022,165
2.0,2:17,3.0,3.0,BUF 9,14.0,7.0,"D'Andre Swift for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. D'Andre Swift right tackle for 7 yards (tackle by Dane Jackson and Jordan Poyer)",4.39,6.74,12.0,2022,165
2.0,2:08,1.0,2.0,BUF 2,14.0,7.0,Jared Goff pass incomplete short left intended for D'Andre Swift,6.74,5.72,12.0,2022,165
2.0,2:04,2.0,2.0,BUF 2,14.0,7.0,Jamaal Williams up the middle for -4 yards (tackle by Matt Milano),5.72,4.04,12.0,2022,165
2.0,2:00,3.0,6.0,BUF 6,14.0,7.0,D'Andre Swift left tackle for 5 yards (tackle by Matt Milano and Jordan Phillips),4.04,3.55,12.0,2022,165
2.0,1:55,,,,,,Timeout #1 by Buffalo Bills,,,12.0,2022,165
2.0,1:55,4.0,1.0,BUF 1,14.0,13.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard, touchdown",3.55,7.0,12.0,2022,165
2.0,1:52,,,BUF 15,14.0,14.0,Michael Badgley kicks extra point good,0.0,0.0,12.0,2022,165
2.0,1:52,,,DET 35,14.0,14.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,165
2.0,1:52,1.0,10.0,BUF 25,14.0,14.0,Josh Allen pass complete deep right to Isaiah McKenzie for 27 yards (tackle by Jerry Jacobs),0.61,2.39,12.0,2022,165
2.0,1:27,1.0,10.0,DET 48,14.0,14.0,Josh Allen pass incomplete deep right intended for Stefon Diggs,2.39,1.85,12.0,2022,165
2.0,1:20,2.0,10.0,DET 48,14.0,14.0,Josh Allen scrambles up the middle for 5 yards (tackle by Chris Board),1.85,1.82,12.0,2022,165
2.0,0:54,3.0,5.0,DET 43,14.0,14.0,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Alex Anzalone),1.82,3.18,12.0,2022,165
2.0,0:33,1.0,10.0,DET 36,14.0,14.0,Josh Allen pass incomplete deep right,3.18,2.64,12.0,2022,165
2.0,0:26,2.0,10.0,DET 36,14.0,14.0,Josh Allen pass complete short left to Isaiah McKenzie for 16 yards (tackle by Will Harris),2.64,4.24,12.0,2022,165
2.0,0:20,1.0,10.0,DET 20,14.0,14.0,Josh Allen pass incomplete short right intended for Isaiah McKenzie,4.24,3.69,12.0,2022,165
2.0,0:16,2.0,10.0,DET 20,14.0,14.0,Josh Allen pass incomplete deep left intended for Stefon Diggs,3.69,3.01,12.0,2022,165
2.0,0:12,3.0,10.0,DET 20,14.0,14.0,Josh Allen sacked by James Houston for -8 yards,3.01,1.59,12.0,2022,165
2.0,0:05,,,,,,Timeout #2 by Buffalo Bills,,,12.0,2022,165
2.0,0:05,4.0,18.0,DET 28,17.0,14.0,Tyler Bass 47 yard field goal good,1.59,3.0,12.0,2022,165
3.0,15:00,,,DET 35,17.0,14.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,165
3.0,15:00,1.0,10.0,BUF 25,17.0,14.0,James Cook left end for 5 yards (tackle by DeShon Elliott),0.61,0.74,12.0,2022,165
3.0,14:21,2.0,5.0,BUF 30,17.0,14.0,Josh Allen pass complete short middle to James Cook for 6 yards (tackle by Malcolm Rodriguez),0.74,1.33,12.0,2022,165
3.0,13:40,1.0,10.0,BUF 36,17.0,14.0,Josh Allen pass incomplete short right intended for Stefon Diggs,1.33,0.79,12.0,2022,165
3.0,13:35,2.0,10.0,BUF 36,17.0,14.0,Josh Allen pass complete short left to Stefon Diggs for -3 yards (tackle by Jerry Jacobs),0.79,-0.3,12.0,2022,165
3.0,12:52,3.0,13.0,BUF 33,17.0,14.0,"Josh Allen pass complete deep left to Gabriel Davis for 16 yards (tackle by Jerry Jacobs). Penalty on Jerry Jacobs: Illegal Contact, 5 yards (declined)",-0.3,2.19,12.0,2022,165
3.0,12:30,1.0,10.0,BUF 49,17.0,14.0,James Cook left end for -1 yards (tackle by Malcolm Rodriguez),2.19,1.51,12.0,2022,165
3.0,11:49,2.0,11.0,BUF 48,17.0,14.0,"Josh Allen scrambles up the middle for no gain (tackle by Isaiah Buggs). Penalty on Rodger Saffold: Offensive Holding, 10 yards (accepted) (no play)",1.51,0.16,12.0,2022,165
3.0,11:23,2.0,21.0,BUF 38,17.0,14.0,Josh Allen pass complete deep right to Isaiah McKenzie for 30 yards (tackle by Will Harris),0.16,3.45,12.0,2022,165
3.0,10:55,1.0,10.0,DET 32,17.0,14.0,Isaiah McKenzie right end for 3 yards (tackle by Derrick Barnes),3.45,3.31,12.0,2022,165
3.0,10:16,2.0,7.0,DET 29,17.0,14.0,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Mike Hughes),3.31,2.61,12.0,2022,165
3.0,10:06,3.0,7.0,DET 29,17.0,14.0,"Josh Allen pass incomplete deep right intended for Stefon Diggs. Penalty on Jerry Jacobs: Defensive Pass Interference, 19 yards (accepted) (no play)",2.61,4.91,12.0,2022,165
3.0,10:02,1.0,10.0,DET 10,17.0,14.0,Josh Allen pass short middle (defended by Malcolm Rodriguez) intended for Stefon Diggs is intercepted by Alex Anzalone at DET-4 and returned for 4 yards (tackle by Devin Singletary),4.91,0.38,12.0,2022,165
3.0,9:55,1.0,10.0,DET 8,17.0,14.0,Justin Jackson left tackle for -5 yards (tackle by Ed Oliver),-0.38,-1.15,12.0,2022,165
3.0,9:16,2.0,15.0,DET 3,17.0,14.0,Jared Goff pass incomplete intended for D'Andre Swift,-1.15,-2.01,12.0,2022,165
3.0,9:11,3.0,15.0,DET 3,19.0,14.0,"Jared Goff sacked by Ed Oliver for -3 yards, safety.",-2.01,-2.0,12.0,2022,165
3.0,9:05,,,DET 20,19.0,14.0,"Jack Fox kicks off 71 yards, returned by Nyheim Hines for 26 yards (tackle by Kerby Joseph and Chase Lucas)",0.0,1.27,12.0,2022,165
3.0,8:59,1.0,10.0,BUF 35,19.0,14.0,Devin Singletary right tackle for 15 yards (tackle by Kerby Joseph and Alex Anzalone),1.27,2.26,12.0,2022,165
3.0,8:22,1.0,10.0,BUF 50,19.0,14.0,Devin Singletary right tackle for 3 yards (tackle by Alex Anzalone and Alim McNeill),2.26,2.12,12.0,2022,165
3.0,7:45,2.0,7.0,DET 47,19.0,14.0,Josh Allen pass incomplete short middle intended for James Cook,2.12,1.42,12.0,2022,165
3.0,7:39,3.0,7.0,DET 47,19.0,14.0,Josh Allen sacked by James Houston for -8 yards,1.42,-0.39,12.0,2022,165
3.0,6:55,4.0,15.0,BUF 45,19.0,14.0,Sam Martin punts 41 yards out of bounds,-0.39,0.28,12.0,2022,165
3.0,6:45,1.0,10.0,DET 14,19.0,14.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 13 yards (tackle by Christian Benford),-0.28,0.74,12.0,2022,165
3.0,6:08,1.0,10.0,DET 27,19.0,14.0,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 26 yards (tackle by Jordan Poyer),0.74,2.46,12.0,2022,165
3.0,5:17,1.0,10.0,BUF 47,19.0,14.0,Jamaal Williams up the middle for no gain (tackle by Matt Milano),2.46,1.91,12.0,2022,165
3.0,4:47,2.0,10.0,BUF 47,19.0,14.0,Jared Goff pass complete short right to Kalif Raymond for 9 yards (tackle by A.J. Klein),1.91,2.41,12.0,2022,165
3.0,4:08,3.0,1.0,BUF 38,19.0,14.0,Jamaal Williams left end for 27 yards (tackle by Jordan Poyer),2.41,4.84,12.0,2022,165
3.0,3:25,1.0,10.0,BUF 11,19.0,14.0,Jared Goff pass incomplete short left intended for D'Andre Swift (defended by Matt Milano),4.84,4.14,12.0,2022,165
3.0,3:18,2.0,10.0,BUF 11,19.0,14.0,Justin Jackson left end for -4 yards (tackle by Shaq Lawson),4.14,2.97,12.0,2022,165
3.0,2:41,3.0,14.0,BUF 15,19.0,14.0,Jared Goff pass complete short right to D'Andre Swift for 4 yards (tackle by Dane Jackson),2.97,2.7,12.0,2022,165
3.0,2:00,4.0,10.0,BUF 11,19.0,14.0,Michael Badgley 29 yard field goal no good,2.7,-0.28,12.0,2022,165
3.0,1:57,1.0,10.0,BUF 20,19.0,14.0,Josh Allen sacked by Benito Jones for no gain,0.28,-0.27,12.0,2022,165
3.0,1:23,2.0,10.0,BUF 20,19.0,14.0,Josh Allen pass incomplete short right intended for James Cook,-0.27,-0.96,12.0,2022,165
3.0,1:18,3.0,10.0,BUF 20,19.0,14.0,"Josh Allen pass incomplete deep right intended for Stefon Diggs. Penalty on Spencer Brown: Offensive Holding, 10 yards (declined)",-0.96,-2.03,12.0,2022,165
3.0,1:12,4.0,10.0,BUF 20,19.0,14.0,"Sam Martin punts 56 yards, returned by Kalif Raymond for 41 yards (tackle by Reggie Gilliam)",-2.03,-3.25,12.0,2022,165
3.0,0:56,1.0,10.0,BUF 35,19.0,14.0,Tom Kennedy pass incomplete short right intended for Justin Jackson (no play),3.25,4.11,12.0,2022,165
3.0,0:50,1.0,10.0,BUF 22,19.0,14.0,Jared Goff pass complete short left to Brock Wright for 1 yard (tackle by Taron Johnson),4.11,3.7,12.0,2022,165
3.0,0:11,2.0,9.0,BUF 21,19.0,14.0,Justin Jackson left tackle for 11 yards (tackle by Damar Hamlin and A.J. Klein),3.7,4.91,12.0,2022,165
4.0,15:00,1.0,10.0,BUF 10,19.0,14.0,Jamaal Williams up the middle for 5 yards (tackle by DaQuan Jones and Matt Milano),4.91,5.15,12.0,2022,165
4.0,14:27,2.0,5.0,BUF 5,19.0,14.0,Jamaal Williams right tackle for 4 yards (tackle by DaQuan Jones),5.15,5.17,12.0,2022,165
4.0,13:52,3.0,1.0,BUF 1,19.0,20.0,"Jared Goff pass complete short middle to DJ Chark for 1 yard, touchdown",5.17,7.0,12.0,2022,165
4.0,13:47,,,BUF 2,19.0,22.0,"Two Point Attempt: D'Andre Swift rushes, conversion succeeds.",1.0,1.0,12.0,2022,165
4.0,13:47,,,DET 35,19.0,22.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,165
4.0,13:46,1.0,10.0,BUF 25,19.0,22.0,Devin Singletary up the middle for 1 yard (tackle by Isaiah Buggs),0.61,0.2,12.0,2022,165
4.0,13:09,2.0,9.0,BUF 26,19.0,22.0,Josh Allen scrambles right end for 8 yards (tackle by Malcolm Rodriguez and Isaiah Buggs),0.2,0.56,12.0,2022,165
4.0,12:21,3.0,1.0,BUF 34,19.0,22.0,Josh Allen pass complete short right to Gabriel Davis for 2 yards (tackle by Amani Oruwariye),0.56,1.33,12.0,2022,165
4.0,11:53,1.0,10.0,BUF 36,19.0,22.0,Devin Singletary left tackle for 8 yards (tackle by Austin Bryant and Malcolm Rodriguez),1.33,1.87,12.0,2022,165
4.0,11:28,2.0,2.0,BUF 44,19.0,22.0,Josh Allen pass complete short left to Quintin Morris for 3 yards (tackle by DeShon Elliott),1.87,2.06,12.0,2022,165
4.0,10:53,1.0,10.0,BUF 47,19.0,22.0,Josh Allen pass incomplete short left intended for Stefon Diggs,2.06,1.52,12.0,2022,165
4.0,10:50,2.0,10.0,BUF 47,19.0,22.0,Josh Allen pass incomplete short right intended for Isaiah McKenzie (defended by Jerry Jacobs),1.52,0.83,12.0,2022,165
4.0,10:46,3.0,10.0,BUF 47,19.0,22.0,Josh Allen pass incomplete deep left intended for Isaiah McKenzie,0.83,-0.26,12.0,2022,165
4.0,10:41,4.0,10.0,BUF 47,19.0,22.0,"Sam Martin punts 44 yards, fair catch by Kalif Raymond at DET-9",-0.26,0.38,12.0,2022,165
4.0,10:34,1.0,10.0,DET 9,19.0,22.0,Jared Goff pass complete deep left to Amon-Ra St. Brown for 19 yards (tackle by Dane Jackson),-0.38,0.81,12.0,2022,165
4.0,9:59,1.0,10.0,DET 28,19.0,22.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 16 yards (tackle by Jordan Poyer),0.81,1.86,12.0,2022,165
4.0,9:23,1.0,10.0,DET 44,19.0,22.0,Jared Goff pass incomplete short left intended for Justin Jackson,1.86,1.32,12.0,2022,165
4.0,9:15,2.0,10.0,DET 44,19.0,22.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,1.32,0.63,12.0,2022,165
4.0,9:12,3.0,10.0,DET 44,19.0,22.0,Jared Goff pass incomplete deep right intended for Kalif Raymond,0.63,-0.46,12.0,2022,165
4.0,9:07,4.0,10.0,DET 44,19.0,22.0,"Jack Fox punts 46 yards, fair catch by Nyheim Hines at BUF-10",-0.46,0.38,12.0,2022,165
4.0,8:59,1.0,10.0,BUF 10,19.0,22.0,Josh Allen pass complete short right to Dawson Knox for 2 yards (tackle by Jerry Jacobs),-0.38,-0.63,12.0,2022,165
4.0,8:28,2.0,8.0,BUF 12,19.0,22.0,Josh Allen scrambles up the middle for 8 yards (tackle by Isaiah Buggs),-0.63,0.28,12.0,2022,165
4.0,8:01,1.0,10.0,BUF 20,19.0,22.0,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Alex Anzalone),0.28,0.81,12.0,2022,165
4.0,7:35,2.0,2.0,BUF 28,19.0,22.0,Josh Allen pass complete short right to Stefon Diggs for 4 yards (tackle by John Cominsky),0.81,1.07,12.0,2022,165
4.0,7:00,1.0,10.0,BUF 32,19.0,22.0,Devin Singletary up the middle for 2 yards (tackle by Alex Anzalone and Isaiah Buggs),1.07,0.8,12.0,2022,165
4.0,6:23,2.0,8.0,BUF 34,19.0,22.0,Josh Allen pass complete short right to Dawson Knox for 15 yards,0.8,2.19,12.0,2022,165
4.0,5:53,1.0,10.0,BUF 49,19.0,22.0,Josh Allen pass complete short left to Isaiah McKenzie for 3 yards (tackle by Kerby Joseph),2.19,2.05,12.0,2022,165
4.0,5:27,2.0,7.0,DET 48,19.0,22.0,Josh Allen left end for 9 yards (tackle by Austin Bryant and Mike Hughes),2.05,2.98,12.0,2022,165
4.0,4:57,1.0,10.0,DET 39,19.0,22.0,Josh Allen pass complete short left to Stefon Diggs for 12 yards (tackle by Malcolm Rodriguez and Mike Hughes),2.98,3.78,12.0,2022,165
4.0,4:24,1.0,10.0,DET 27,19.0,22.0,Devin Singletary left tackle for 8 yards (tackle by Derrick Barnes),3.78,4.35,12.0,2022,165
4.0,4:03,2.0,2.0,DET 19,19.0,22.0,Devin Singletary up the middle for 4 yards (tackle by Amani Oruwariye),4.35,4.58,12.0,2022,165
4.0,3:36,1.0,10.0,DET 15,19.0,22.0,Josh Allen pass incomplete short left intended for Isaiah McKenzie,4.58,3.95,12.0,2022,165
4.0,3:22,2.0,10.0,DET 15,19.0,22.0,"Josh Allen pass incomplete short left intended for Stefon Diggs (defended by Mike Hughes). Penalty on Austin Bryant: Roughing the Passer, 8 yards (accepted) (no play)",3.95,5.6,12.0,2022,165
4.0,3:22,1.0,7.0,DET 7,19.0,22.0,Devin Singletary up the middle for 2 yards (tackle by DeShon Elliott),5.6,5.15,12.0,2022,165
4.0,2:44,2.0,5.0,DET 5,25.0,22.0,"Josh Allen pass complete short left to Stefon Diggs for 5 yards, touchdown",5.15,7.0,12.0,2022,165
4.0,2:40,,,DET 15,25.0,22.0,Tyler Bass kicks extra point no good,0.0,-1.0,12.0,2022,165
4.0,2:40,,,BUF 35,25.0,22.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,165
4.0,2:40,1.0,10.0,DET 25,25.0,22.0,Jamaal Williams up the middle for 3 yards (tackle by Taron Johnson),0.61,0.47,12.0,2022,165
4.0,2:11,2.0,7.0,DET 28,25.0,22.0,Jared Goff pass complete short left to D'Andre Swift for 14 yards (tackle by A.J. Klein),0.47,1.73,12.0,2022,165
4.0,2:01,1.0,10.0,DET 42,25.0,22.0,Jamaal Williams up the middle for 5 yards (tackle by Ed Oliver and A.J. Klein),1.73,1.86,12.0,2022,165
4.0,1:57,2.0,5.0,DET 47,25.0,22.0,Jared Goff pass complete short right to D'Andre Swift for -1 yards (tackle by A.J. Klein),1.86,1.03,12.0,2022,165
4.0,1:16,3.0,6.0,DET 46,25.0,22.0,D'Andre Swift up the middle for 5 yards (tackle by Damar Hamlin),1.03,0.0,12.0,2022,165
4.0,0:47,4.0,1.0,BUF 49,25.0,22.0,Amon-Ra St. Brown right end for 7 yards (tackle by Jordan Poyer),0.0,2.79,12.0,2022,165
4.0,0:40,1.0,10.0,BUF 42,25.0,22.0,Jared Goff pass incomplete short right intended for D'Andre Swift,2.79,2.24,12.0,2022,165
