Quarter,Time,Down,ToGo,Location,HOU,MIA,Detail,EPB,EPA,week,year,game_id
1.0,6:21,1.0,10.0,HOU 21,0.0,3.0,Jeff Wilson left guard for no gain (tackle by Christian Kirksey),4.17,3.63,12.0,2022,170
1.0,5:44,2.0,10.0,HOU 21,0.0,3.0,Tyreek Hill left end for 5 yards (tackle by Christian Kirksey),3.63,3.63,12.0,2022,170
1.0,5:00,3.0,5.0,HOU 16,0.0,3.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 4 yards (tackle by Desmond King and Christian Harris),3.63,2.78,12.0,2022,170
1.0,4:19,4.0,1.0,HOU 12,0.0,3.0,Tua Tagovailoa pass complete short left to Trent Sherfield for 9 yards (tackle by Christian Harris),2.78,6.51,12.0,2022,170
1.0,3:38,1.0,3.0,HOU 3,0.0,3.0,Jeff Wilson left guard for -1 yards (tackle by Maliek Collins),6.51,5.34,12.0,2022,170
1.0,3:06,2.0,4.0,HOU 4,0.0,9.0,"Tua Tagovailoa pass complete short left to Durham Smythe for 4 yards, touchdown",5.34,7.0,12.0,2022,170
1.0,2:57,,,HOU 15,0.0,10.0,Jason Sanders kicks extra point good,0.0,0.0,12.0,2022,170
1.0,2:57,,,MIA 35,0.0,10.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
1.0,2:57,1.0,10.0,HOU 25,0.0,10.0,Kyle Allen pass incomplete deep right intended for Nico Collins (defended by Xavien Howard),0.61,0.06,12.0,2022,170
1.0,2:51,2.0,10.0,HOU 25,0.0,10.0,Kyle Allen pass complete short right to Dameon Pierce for 9 yards (tackle by Andrew Van Ginkel),0.06,0.56,12.0,2022,170
1.0,2:10,3.0,1.0,HOU 34,0.0,10.0,"Penalty on MIA: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.56,1.53,12.0,2022,170
1.0,2:01,1.0,10.0,HOU 39,0.0,10.0,Kyle Allen pass incomplete short right intended for Dameon Pierce,1.53,0.99,12.0,2022,170
1.0,1:56,2.0,10.0,HOU 39,0.0,10.0,Kyle Allen pass complete short middle to Chris Moore for 4 yards (tackle by Elandon Roberts),0.99,0.83,12.0,2022,170
1.0,1:18,3.0,6.0,HOU 43,0.0,10.0,Kyle Allen pass incomplete short right intended for O.J. Howard,0.83,-0.52,12.0,2022,170
1.0,1:13,4.0,6.0,HOU 43,0.0,10.0,"Cameron Johnston punts 48 yards, fair catch by Cedrick Wilson at MIA-9",-0.52,0.38,12.0,2022,170
1.0,1:06,1.0,10.0,MIA 9,0.0,10.0,Jeff Wilson left guard for no gain (tackle by Jalen Reeves-Maybin and Desmond King),-0.38,-0.78,12.0,2022,170
1.0,0:28,2.0,10.0,MIA 9,0.0,10.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 29 yards (tackle by Desmond King),-0.78,1.47,12.0,2022,170
2.0,15:00,1.0,10.0,MIA 38,0.0,10.0,Tua Tagovailoa pass complete short left to Alec Ingold for no gain (tackle by Christian Kirksey),1.47,0.92,12.0,2022,170
2.0,14:25,2.0,10.0,MIA 38,0.0,10.0,Tua Tagovailoa pass complete short left to River Cracraft for 11 yards (tackle by Eric Murray),0.92,2.19,12.0,2022,170
2.0,13:41,1.0,10.0,MIA 49,0.0,10.0,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill,2.19,1.65,12.0,2022,170
2.0,13:36,2.0,10.0,MIA 49,0.0,10.0,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle,1.65,0.96,12.0,2022,170
2.0,13:31,3.0,10.0,MIA 49,0.0,10.0,Tua Tagovailoa pass incomplete short left,0.96,-0.13,12.0,2022,170
2.0,13:26,4.0,10.0,MIA 49,0.0,10.0,"Thomas Morstead punts 51 yards, touchback.",-0.13,-0.28,12.0,2022,170
2.0,13:18,1.0,10.0,HOU 20,0.0,10.0,Kyle Allen pass complete short middle to Dameon Pierce for 1 yard (tackle by Elandon Roberts),0.28,-0.13,12.0,2022,170
2.0,12:36,2.0,9.0,HOU 21,0.0,10.0,Kyle Allen pass short right intended for Dameon Pierce is intercepted by Andrew Van Ginkel at HOU-26 and returned for 23 yards (tackle by Dameon Pierce),-0.13,-6.51,12.0,2022,170
2.0,12:27,1.0,3.0,HOU 3,0.0,16.0,"Jeff Wilson right tackle for 3 yards, touchdown",6.51,7.0,12.0,2022,170
2.0,12:22,,,HOU 15,0.0,17.0,Jason Sanders kicks extra point good,0.0,0.0,12.0,2022,170
2.0,12:22,,,MIA 35,0.0,17.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
2.0,12:22,1.0,10.0,HOU 25,0.0,17.0,Dameon Pierce left end for -1 yards (tackle by Christian Wilkins),0.61,-0.07,12.0,2022,170
2.0,11:43,2.0,11.0,HOU 24,0.0,17.0,Kyle Allen pass incomplete short left intended for Dameon Pierce,-0.07,-0.76,12.0,2022,170
2.0,11:39,3.0,11.0,HOU 24,0.0,17.0,Kyle Allen scrambles right end for 5 yards (tackle by Jaelan Phillips),-0.76,-1.44,12.0,2022,170
2.0,11:01,4.0,6.0,HOU 29,0.0,17.0,Cameron Johnston punts 48 yards out of bounds,-1.44,-0.48,12.0,2022,170
2.0,10:54,1.0,10.0,MIA 23,0.0,17.0,Tua Tagovailoa pass incomplete deep right intended for Trent Sherfield,0.48,-0.07,12.0,2022,170
2.0,10:48,2.0,10.0,MIA 23,0.0,17.0,Tua Tagovailoa pass complete short right to River Cracraft for 11 yards (tackle by M.J. Stewart),-0.07,1.2,12.0,2022,170
2.0,10:05,1.0,10.0,MIA 34,0.0,17.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 13 yards (tackle by Steven Nelson),1.2,2.06,12.0,2022,170
2.0,9:24,1.0,10.0,MIA 47,0.0,17.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 34 yards (tackle by M.J. Stewart),2.06,4.31,12.0,2022,170
2.0,8:36,,,,,,Timeout #1 by Miami Dolphins,,,12.0,2022,170
2.0,8:36,1.0,10.0,HOU 19,0.0,17.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 9 yards (tackle by Jalen Pitre),4.31,5.36,12.0,2022,170
2.0,7:56,2.0,1.0,HOU 10,0.0,17.0,Jeff Wilson right tackle for 3 yards (tackle by Jalen Reeves-Maybin and Blake Cashman),5.36,5.6,12.0,2022,170
2.0,7:12,1.0,7.0,HOU 7,0.0,17.0,Jeff Wilson left tackle for 2 yards (tackle by Desmond King and Mario Addison),5.6,5.15,12.0,2022,170
2.0,6:34,2.0,5.0,HOU 5,0.0,17.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,5.15,4.26,12.0,2022,170
2.0,6:29,3.0,5.0,HOU 5,0.0,17.0,Tua Tagovailoa pass incomplete short middle intended for Mike Gesicki (defended by Christian Kirksey),4.26,3.01,12.0,2022,170
2.0,6:26,4.0,5.0,HOU 5,0.0,20.0,Jason Sanders 23 yard field goal good,3.01,3.0,12.0,2022,170
2.0,6:22,,,MIA 35,0.0,20.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
2.0,6:22,1.0,10.0,HOU 25,0.0,20.0,Kyle Allen pass complete short left to Nico Collins for -3 yards (tackle by Kader Kohou),0.61,-0.34,12.0,2022,170
2.0,5:51,2.0,13.0,HOU 22,0.0,20.0,"Kyle Allen sacked by Bradley Chubb for -7 yards. Kyle Allen fumbles (forced by Bradley Chubb), recovered by Laremy Tunsil at HOU-13 and returned for -2 yards (tackle by Bradley Chubb)",-0.34,-3.06,12.0,2022,170
2.0,5:10,3.0,24.0,HOU 11,0.0,26.0,"Kyle Allen pass complete short right to Jordan Akins for 5 yards. Jordan Akins fumbles (forced by Eric Rowe) (tackle by Kader Kohou), recovered by Xavien Howard at HOU-16 and returned for 16 yards, touchdown",-3.06,-7.0,12.0,2022,170
2.0,4:59,,,HOU 15,0.0,27.0,Jason Sanders kicks extra point good,0.0,0.0,12.0,2022,170
2.0,4:59,,,MIA 35,0.0,27.0,"Jason Sanders kicks off 68 yards, returned by Tremon Smith for 19 yards (tackle by Clayton Fejedelem and Jevon Holland)",0.0,-0.14,12.0,2022,170
2.0,4:50,1.0,10.0,HOU 16,0.0,27.0,Dameon Pierce left guard for 4 yards (tackle by Zach Sieler and Melvin Ingram),-0.14,0.01,12.0,2022,170
2.0,4:11,2.0,6.0,HOU 20,0.0,27.0,Kyle Allen pass complete short right to Jordan Akins for 10 yards (tackle by Elandon Roberts),0.01,0.94,12.0,2022,170
2.0,3:34,1.0,10.0,HOU 30,0.0,27.0,Kyle Allen sacked by Elandon Roberts for -8 yards,0.94,-0.69,12.0,2022,170
2.0,2:53,2.0,18.0,HOU 22,0.0,27.0,Kyle Allen pass complete short left to Phillip Dorsett for 5 yards (tackle by Jerome Baker),-0.69,-0.69,12.0,2022,170
2.0,2:13,3.0,13.0,HOU 27,0.0,27.0,Kyle Allen pass complete short right to Teagan Quitoriano for 7 yards (tackle by Eric Rowe and Kader Kohou),-0.69,-1.11,12.0,2022,170
2.0,2:00,4.0,6.0,HOU 34,0.0,27.0,"Cameron Johnston punts 54 yards, fair catch by Cedrick Wilson at MIA-12",-1.11,0.35,12.0,2022,170
2.0,1:52,1.0,10.0,MIA 12,0.0,27.0,Tua Tagovailoa pass incomplete short left,-0.35,-0.78,12.0,2022,170
2.0,1:45,2.0,10.0,MIA 12,0.0,27.0,Tua Tagovailoa pass complete short middle to River Cracraft for 22 yards (tackle by Tavierre Thomas),-0.78,1.2,12.0,2022,170
2.0,1:23,1.0,10.0,MIA 34,0.0,27.0,Tua Tagovailoa pass complete short left to Myles Gaskin for 4 yards (tackle by Jalen Reeves-Maybin),1.2,1.2,12.0,2022,170
2.0,1:06,,,,,,Timeout #2 by Miami Dolphins,,,12.0,2022,170
2.0,1:06,2.0,6.0,MIA 38,0.0,27.0,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill (defended by Jalen Pitre),1.2,0.5,12.0,2022,170
2.0,1:01,3.0,6.0,MIA 38,0.0,27.0,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",0.5,-0.16,12.0,2022,170
2.0,1:01,3.0,11.0,MIA 33,0.0,27.0,Tua Tagovailoa pass complete short left to Jeff Wilson for 13 yards (tackle by Desmond King),-0.16,1.99,12.0,2022,170
2.0,0:54,1.0,10.0,MIA 46,0.0,27.0,Tua Tagovailoa pass complete deep right to Cedrick Wilson for 20 yards (tackle by Jonathan Owens),1.99,3.31,12.0,2022,170
2.0,0:32,1.0,10.0,HOU 34,0.0,27.0,Tua Tagovailoa pass complete short left to River Cracraft for 11 yards (tackle by Tavierre Thomas),3.31,4.04,12.0,2022,170
2.0,0:26,,,,,,Timeout #3 by Miami Dolphins,,,12.0,2022,170
2.0,0:26,1.0,10.0,HOU 23,0.0,27.0,"Tua Tagovailoa sacked by Ogbonnia Okoronkwo for no gain. Penalty on Ogbonnia Okoronkwo: Personal Foul / Defense, 12 yards (accepted) (no play)",4.04,4.84,12.0,2022,170
2.0,0:20,1.0,10.0,HOU 11,0.0,27.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,4.84,4.14,12.0,2022,170
2.0,0:17,2.0,10.0,HOU 11,0.0,27.0,Tua Tagovailoa sacked by Maliek Collins for -6 yards,4.14,2.79,12.0,2022,170
2.0,0:02,3.0,16.0,HOU 17,0.0,27.0,Tua Tagovailoa spiked the ball,2.79,2.31,12.0,2022,170
2.0,0:01,4.0,16.0,HOU 17,0.0,30.0,Jason Sanders 35 yard field goal good,2.31,3.0,12.0,2022,170
3.0,15:00,,,HOU 35,0.0,30.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
3.0,15:00,1.0,10.0,MIA 25,0.0,30.0,Jeff Wilson right end for 7 yards (tackle by Jalen Pitre),0.61,1.01,12.0,2022,170
3.0,14:14,2.0,3.0,MIA 32,0.0,30.0,Myles Gaskin left end for -2 yards (tackle by Desmond King and Christian Kirksey),1.01,0.04,12.0,2022,170
3.0,13:33,3.0,5.0,MIA 30,0.0,30.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 16 yards (tackle by Tavierre Thomas),0.04,1.99,12.0,2022,170
3.0,12:51,1.0,10.0,MIA 46,0.0,30.0,"Tua Tagovailoa pass short middle is intercepted by Jalen Pitre at HOU-42 and returned for no gain (tackle by Durham Smythe). Penalty on Steven Nelson: Defensive Pass Interference, 13 yards (accepted) (no play)",1.99,2.85,12.0,2022,170
3.0,12:42,1.0,10.0,HOU 41,0.0,30.0,Tua Tagovailoa sacked by Mario Addison for -5 yards,2.85,1.63,12.0,2022,170
3.0,11:59,2.0,15.0,HOU 46,0.0,30.0,Myles Gaskin right guard for 2 yards (tackle by Michael Dwumfour),1.63,1.22,12.0,2022,170
3.0,11:21,3.0,13.0,HOU 44,0.0,30.0,Tua Tagovailoa sacked by Christian Kirksey for -8 yards,1.22,-0.19,12.0,2022,170
3.0,10:51,4.0,21.0,MIA 48,0.0,30.0,"Thomas Morstead punts 45 yards, returned by Desmond King for 19 yards (tackle by Alec Ingold)",-0.19,-0.67,12.0,2022,170
3.0,10:38,1.0,10.0,HOU 26,0.0,30.0,Brandin Cooks left end for 2 yards (tackle by Melvin Ingram),0.67,0.4,12.0,2022,170
3.0,10:01,2.0,8.0,HOU 28,0.0,30.0,Kyle Allen pass complete short right to Chris Moore for 3 yards (tackle by Jaelan Phillips),0.4,0.1,12.0,2022,170
3.0,9:17,3.0,5.0,HOU 31,0.0,30.0,Kyle Allen sacked by Jaelan Phillips for -4 yards,0.1,-1.57,12.0,2022,170
3.0,8:36,4.0,9.0,HOU 27,0.0,30.0,"Cameron Johnston punts 43 yards, fair catch by Cedrick Wilson at MIA-30",-1.57,-0.94,12.0,2022,170
3.0,8:29,1.0,10.0,MIA 30,0.0,30.0,Tua Tagovailoa sacked by Maliek Collins for -7 yards,0.94,-0.55,12.0,2022,170
3.0,7:51,2.0,17.0,MIA 23,0.0,30.0,Myles Gaskin left tackle for 2 yards (tackle by Maliek Collins and Roy Lopez),-0.55,-0.96,12.0,2022,170
3.0,7:08,3.0,15.0,MIA 25,0.0,30.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 5 yards (tackle by Tavierre Thomas),-0.96,-1.37,12.0,2022,170
3.0,6:41,4.0,10.0,MIA 30,0.0,30.0,"Thomas Morstead punts 45 yards, returned by Desmond King for 11 yards (tackle by Elandon Roberts)",-1.37,-1.33,12.0,2022,170
3.0,6:28,1.0,10.0,HOU 36,0.0,30.0,Dare Ogunbowale right tackle for 9 yards (tackle by Jerome Baker and Eric Rowe),1.33,2.01,12.0,2022,170
3.0,5:47,2.0,1.0,HOU 45,0.0,30.0,Kyle Allen pass complete short right to Dare Ogunbowale for 6 yards (tackle by Andrew Van Ginkel),2.01,2.32,12.0,2022,170
3.0,5:01,1.0,10.0,MIA 49,0.0,30.0,"Kyle Allen pass complete deep middle to Brandin Cooks for 17 yards (tackle by Jevon Holland). Penalty on Jevon Holland: Unnecessary Roughness / Defense, 15 yards (accepted)",2.32,4.44,12.0,2022,170
3.0,4:36,1.0,10.0,MIA 17,0.0,30.0,Kyle Allen pass complete short left to Brandin Cooks for 3 yards,4.44,4.32,12.0,2022,170
3.0,3:59,2.0,7.0,MIA 14,0.0,30.0,Kyle Allen pass complete short right to Jordan Akins for 11 yards (tackle by Elandon Roberts),4.32,6.51,12.0,2022,170
3.0,3:22,1.0,3.0,MIA 3,6.0,30.0,"Dare Ogunbowale up the middle for 3 yards, touchdown",6.51,7.0,12.0,2022,170
3.0,3:18,,,MIA 2,6.0,30.0,"Two Point Attempt: Dare Ogunbowale rushes, conversion fails.",1.0,-1.0,12.0,2022,170
3.0,3:18,,,HOU 35,6.0,30.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
3.0,3:18,1.0,10.0,MIA 25,6.0,30.0,Jeff Wilson right guard for 3 yards (tackle by Jalen Reeves-Maybin),0.61,0.47,12.0,2022,170
3.0,2:50,2.0,7.0,MIA 28,6.0,30.0,Jeff Wilson right tackle for 3 yards (tackle by Jalen Reeves-Maybin and Christian Kirksey),0.47,0.17,12.0,2022,170
3.0,2:07,3.0,4.0,MIA 31,6.0,30.0,Skylar Thompson pass complete short right to Cedrick Wilson for 6 yards (tackle by Steven Nelson),0.17,1.4,12.0,2022,170
3.0,1:29,1.0,10.0,MIA 37,6.0,30.0,Jeff Wilson up the middle for 9 yards (tackle by Jalen Pitre),1.4,2.07,12.0,2022,170
3.0,0:53,2.0,1.0,MIA 46,6.0,30.0,Jeff Wilson right guard for 2 yards (tackle by Jake Hansen),2.07,2.13,12.0,2022,170
3.0,0:16,1.0,10.0,MIA 48,6.0,30.0,"Skylar Thompson aborted snap, recovered by M.J. Stewart at 50 and returned for 2 yards",2.13,-2.26,12.0,2022,170
3.0,0:11,1.0,10.0,MIA 50,6.0,30.0,Kyle Allen pass complete short right to Jordan Akins for 10 yards (tackle by Elandon Roberts),2.26,2.92,12.0,2022,170
4.0,15:00,1.0,10.0,MIA 40,6.0,30.0,"Penalty on Tytus Howard: False Start, 5 yards (accepted) (no play)",2.92,2.59,12.0,2022,170
4.0,15:00,1.0,15.0,MIA 45,6.0,30.0,Kyle Allen pass complete short middle to Teagan Quitoriano for 13 yards (tackle by Jaelan Phillips),2.59,3.45,12.0,2022,170
4.0,14:28,2.0,2.0,MIA 32,6.0,30.0,Dameon Pierce up the middle for 1 yard (tackle by Raekwon Davis),3.45,2.87,12.0,2022,170
4.0,14:07,3.0,1.0,MIA 31,6.0,30.0,Kyle Allen up the middle for 2 yards (tackle by Elandon Roberts),2.87,3.64,12.0,2022,170
4.0,13:37,1.0,10.0,MIA 29,6.0,30.0,Kyle Allen scrambles left end for 4 yards (tackle by Jaelan Phillips),3.64,3.64,12.0,2022,170
4.0,12:56,2.0,6.0,MIA 25,12.0,30.0,"Kyle Allen pass complete short left to Jordan Akins for 25 yards, touchdown",3.64,7.0,12.0,2022,170
4.0,12:46,,,MIA 2,12.0,30.0,Two Point Attempt: Kyle Allen pass incomplete intended for intended for Laremy Tunsil,1.0,-1.0,12.0,2022,170
4.0,12:46,,,HOU 35,12.0,30.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
4.0,12:46,1.0,10.0,MIA 25,12.0,30.0,"Skylar Thompson pass incomplete short left intended for Jaylen Waddle (defended by Desmond King). Penalty on Desmond King: Defensive Pass Interference, 5 yards (accepted) (no play)",0.61,0.94,12.0,2022,170
4.0,12:43,1.0,10.0,MIA 30,12.0,30.0,Myles Gaskin left tackle for 2 yards (tackle by Michael Dwumfour),0.94,0.66,12.0,2022,170
4.0,12:08,2.0,8.0,MIA 32,12.0,30.0,Skylar Thompson pass incomplete short right intended for Jaylen Waddle,0.66,-0.03,12.0,2022,170
4.0,12:02,3.0,8.0,MIA 32,12.0,30.0,Skylar Thompson pass incomplete short middle intended for Trent Sherfield,-0.03,-1.24,12.0,2022,170
4.0,11:58,4.0,8.0,MIA 32,12.0,30.0,"Thomas Morstead punts 52 yards, returned by Tremon Smith for 17 yards (tackle by Thomas Morstead)",-1.24,-1.14,12.0,2022,170
4.0,11:47,1.0,10.0,HOU 33,12.0,30.0,Kyle Allen pass complete deep left to Brandin Cooks for 39 yards,1.14,3.71,12.0,2022,170
4.0,11:08,1.0,10.0,MIA 28,12.0,30.0,Kyle Allen pass incomplete short right intended for Nico Collins (defended by Christian Wilkins),3.71,3.17,12.0,2022,170
4.0,11:05,2.0,10.0,MIA 28,12.0,30.0,Kyle Allen pass incomplete short left intended for Dare Ogunbowale (defended by Zach Sieler),3.17,2.48,12.0,2022,170
4.0,11:01,3.0,10.0,MIA 28,12.0,30.0,Kyle Allen pass complete short middle to Nico Collins for 12 yards (tackle by Verone McKinley),2.48,4.51,12.0,2022,170
4.0,10:32,1.0,10.0,MIA 16,12.0,30.0,Kyle Allen pass complete short left to Rex Burkhead for 5 yards (tackle by Jevon Holland),4.51,4.76,12.0,2022,170
4.0,9:51,2.0,5.0,MIA 11,12.0,30.0,Dare Ogunbowale left guard for 1 yard (tackle by Zach Sieler and Bradley Chubb),4.76,4.17,12.0,2022,170
4.0,9:09,3.0,4.0,MIA 10,12.0,30.0,Kyle Allen pass incomplete short right intended for Nico Collins,4.17,2.84,12.0,2022,170
4.0,9:04,4.0,4.0,MIA 10,15.0,30.0,Ka'imi Fairbairn 28 yard field goal good,2.84,3.0,12.0,2022,170
4.0,9:00,,,HOU 35,15.0,30.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
4.0,9:00,1.0,10.0,MIA 25,15.0,30.0,Skylar Thompson pass incomplete deep middle intended for Jaylen Waddle (defended by Steven Nelson),0.61,0.06,12.0,2022,170
4.0,8:54,2.0,10.0,MIA 25,15.0,30.0,Skylar Thompson scrambles up the middle for 2 yards (tackle by Jake Hansen),0.06,-0.36,12.0,2022,170
4.0,8:11,3.0,8.0,MIA 27,15.0,30.0,Skylar Thompson scrambles left end for 3 yards (tackle by Blake Cashman),-0.36,-1.37,12.0,2022,170
4.0,7:28,4.0,5.0,MIA 30,15.0,30.0,"Thomas Morstead punts 55 yards, returned by Tremon Smith for 26 yards (tackle by Thomas Morstead and Andrew Van Ginkel)",-1.37,-1.66,12.0,2022,170
4.0,7:12,1.0,10.0,HOU 41,15.0,30.0,"Kyle Allen pass complete short left to Brandin Cooks for no gain (tackle by Keion Crossen). Penalty on Teagan Quitoriano: Offensive Illegal Block Above the Waist, 10 yards (accepted)",1.66,1.0,12.0,2022,170
4.0,6:43,1.0,20.0,HOU 31,15.0,30.0,Kyle Allen pass complete short left to Dameon Pierce for -2 yards (tackle by Christian Wilkins and Keion Crossen),1.0,-0.5,12.0,2022,170
4.0,6:14,2.0,22.0,HOU 29,15.0,30.0,Kyle Allen pass complete short right to Nico Collins for 9 yards (tackle by Zach Sieler),-0.5,0.04,12.0,2022,170
4.0,5:40,3.0,13.0,HOU 38,15.0,30.0,"Kyle Allen sacked by Jerome Baker for -9 yards. Kyle Allen fumbles (forced by Jerome Baker), recovered by A.J. Cann at HOU-29 (tackle by Zach Sieler)",0.04,-1.31,12.0,2022,170
4.0,4:55,4.0,20.0,HOU 31,15.0,30.0,"Cameron Johnston punts 49 yards, returned by Cedrick Wilson for 1 yard",-1.31,-0.34,12.0,2022,170
4.0,4:48,1.0,10.0,MIA 21,15.0,30.0,Jeff Wilson left guard for 5 yards (tackle by Jalen Reeves-Maybin and Kurt Hinish),0.34,0.48,12.0,2022,170
4.0,4:41,,,,,,Timeout #1 by Houston Texans,,,12.0,2022,170
4.0,4:41,2.0,5.0,MIA 26,15.0,30.0,Skylar Thompson sacked by Jake Hansen for -6 yards,0.48,-0.89,12.0,2022,170
4.0,4:35,,,,,,Timeout #2 by Houston Texans,,,12.0,2022,170
4.0,4:35,3.0,10.0,MIA 21,15.0,30.0,Skylar Thompson pass incomplete short right intended for Jeff Wilson,-0.89,-2.03,12.0,2022,170
4.0,4:31,4.0,11.0,MIA 20,15.0,30.0,"Thomas Morstead punts 48 yards, returned by Desmond King for 8 yards (tackle by Andrew Van Ginkel)",-2.03,-1.6,12.0,2022,170
4.0,4:20,1.0,10.0,HOU 40,15.0,30.0,Kyle Allen pass incomplete short left intended for Rex Burkhead (defended by Duke Riley),1.6,1.05,12.0,2022,170
4.0,4:15,2.0,10.0,HOU 40,15.0,30.0,Kyle Allen pass incomplete short right intended for Phillip Dorsett,1.05,0.37,12.0,2022,170
