Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA,week,year,game_id
1,5:11,1.0,10.0,CLE 25,7.0,7.0,"Jacoby Brissett scrambles right end for 10 yards (tackle by Devin White). Penalty on Devin White: Personal Foul / Defense, 15 yards (accepted)",0.61,2.26,12.0,2022,169
1,4:42,1.0,10.0,TAM 50,7.0,7.0,Nick Chubb left guard for 6 yards (tackle by Lavonte David and Rakeem Nunez-Roches),2.26,2.46,12.0,2022,169
1,4:00,2.0,5.0,TAM 44,7.0,7.0,Jacoby Brissett pass complete short right to Harrison Bryant for 9 yards (tackle by Antoine Winfield),2.46,3.25,12.0,2022,169
1,3:19,1.0,10.0,TAM 35,7.0,7.0,Nick Chubb left guard for 2 yards (tackle by Mike Edwards and Anthony Nelson),3.25,2.97,12.0,2022,169
1,2:38,2.0,8.0,TAM 33,7.0,7.0,Jacoby Brissett pass incomplete short left intended for David Njoku,2.97,2.28,12.0,2022,169
1,2:32,3.0,8.0,TAM 33,7.0,7.0,Jacoby Brissett pass incomplete deep right intended for Donovan Peoples-Jones (defended by Carlton Davis),2.28,1.15,12.0,2022,169
1,2:27,4.0,8.0,TAM 33,7.0,10.0,Cade York 51 yard field goal good,1.15,3.0,12.0,2022,169
1,2:22,,,CLE 35,7.0,10.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,169
1,2:22,1.0,10.0,TAM 25,7.0,10.0,Rachaad White left guard for 2 yards (tackle by A.J. Green),0.61,0.33,12.0,2022,169
1,1:48,2.0,8.0,TAM 27,7.0,10.0,Tom Brady pass complete short right to Rachaad White for 6 yards (tackle by A.J. Green and Sione Takitaki),0.33,0.43,12.0,2022,169
1,1:22,3.0,2.0,TAM 33,7.0,10.0,Tom Brady pass incomplete short right intended for Cameron Brate (defended by Alex Wright),0.43,-1.18,12.0,2022,169
1,1:19,4.0,2.0,TAM 33,7.0,10.0,"Jake Camarda punts 47 yards, returned by Donovan Peoples-Jones for 12 yards (tackle by Rachaad White)",-1.18,-1.07,12.0,2022,169
1,1:08,1.0,10.0,CLE 32,7.0,10.0,Kareem Hunt left tackle for no gain (tackle by Carl Nassib),1.07,0.53,12.0,2022,169
1,0:29,2.0,10.0,CLE 32,7.0,10.0,Jacoby Brissett pass complete short left to Amari Cooper for 4 yards (tackle by Jamel Dean),0.53,0.37,12.0,2022,169
2,15:00,3.0,6.0,CLE 36,7.0,10.0,"Jacoby Brissett pass complete short left to David Njoku for 5 yards (tackle by Lavonte David) CLE challenged the short of the line to gain ruling, and the play was upheld.",0.37,-0.65,12.0,2022,169
2,14:32,4.0,1.0,CLE 41,7.0,10.0,Kareem Hunt left guard for 2 yards (tackle by Devin White),-0.65,1.8,12.0,2022,169
2,13:53,1.0,10.0,CLE 43,7.0,10.0,"Jacoby Brissett pass complete to Harrison Bryant for no gain. Penalty on Jack Conklin: Illegal Formation, 5 yards (accepted) (no play)",1.8,1.47,12.0,2022,169
2,13:25,1.0,15.0,CLE 38,7.0,10.0,Jacoby Brissett pass complete short left to David Bell for 9 yards (tackle by Devin White),1.47,1.79,12.0,2022,169
2,12:56,2.0,6.0,CLE 47,7.0,10.0,Kareem Hunt left guard for 1 yard (tackle by Anthony Nelson),1.79,1.22,12.0,2022,169
2,12:15,3.0,5.0,CLE 48,7.0,10.0,Jacoby Brissett pass incomplete deep left intended for Amari Cooper,1.22,-0.19,12.0,2022,169
2,12:09,4.0,5.0,CLE 48,7.0,10.0,"Corey Bojorquez punts 52 yards, touchback.",-0.19,-0.28,12.0,2022,169
2,12:01,1.0,10.0,TAM 20,7.0,10.0,Ke'Shawn Vaughn left guard for 1 yard (tackle by Myles Garrett and Jeremiah Owusu-Koramoah),0.28,-0.13,12.0,2022,169
2,11:28,2.0,9.0,TAM 21,7.0,10.0,Tom Brady pass complete short right to Rachaad White for 8 yards (tackle by Thomas Graham),-0.13,0.23,12.0,2022,169
2,10:45,3.0,1.0,TAM 29,7.0,10.0,Rachaad White right guard for -1 yards (tackle by Jeremiah Owusu-Koramoah),0.23,-1.5,12.0,2022,169
2,10:03,4.0,2.0,TAM 28,7.0,10.0,"Jake Camarda punts 42 yards, fair catch by Donovan Peoples-Jones at CLE-30",-1.5,-0.94,12.0,2022,169
2,9:53,1.0,10.0,CLE 30,7.0,10.0,Jacoby Brissett pass complete short right to David Bell for 6 yards (tackle by Keanu Neal),0.94,1.2,12.0,2022,169
2,9:18,2.0,4.0,CLE 36,7.0,10.0,Jacoby Brissett pass complete short right to Nick Chubb for 16 yards (tackle by Devin White),1.2,2.39,12.0,2022,169
2,8:52,1.0,10.0,TAM 48,7.0,10.0,Jacoby Brissett scrambles left end for 17 yards (tackle by Devin White),2.39,3.51,12.0,2022,169
2,8:19,1.0,10.0,TAM 31,7.0,10.0,Nick Chubb right tackle for 8 yards (tackle by Keanu Neal and Mike Edwards),3.51,4.05,12.0,2022,169
2,7:45,2.0,2.0,TAM 23,7.0,10.0,Nick Chubb right tackle for no gain (tackle by Akiem Hicks),4.05,3.34,12.0,2022,169
2,7:04,3.0,2.0,TAM 23,7.0,10.0,Kareem Hunt left guard for 9 yards (tackle by Mike Edwards and Lavonte David),3.34,4.65,12.0,2022,169
2,6:23,1.0,10.0,TAM 14,7.0,10.0,"Kareem Hunt for no gain (tackle by William Gholston). Penalty on Donovan Peoples-Jones: Offensive Holding, 10 yards (accepted) (no play)",4.65,3.97,12.0,2022,169
2,5:55,1.0,20.0,TAM 24,7.0,10.0,Jacoby Brissett pass complete short left to David Bell for 4 yards (tackle by Jamel Dean),3.97,3.28,12.0,2022,169
2,5:21,2.0,16.0,TAM 20,7.0,10.0,Nick Chubb left tackle for -1 yards (tackle by Anthony Nelson),3.28,2.48,12.0,2022,169
2,4:43,3.0,17.0,TAM 21,7.0,10.0,Jacoby Brissett pass complete short right to Amari Cooper for no gain (tackle by Genard Avery and Mike Edwards),2.48,2.06,12.0,2022,169
2,3:58,4.0,17.0,TAM 21,7.0,10.0,Cade York 39 yard field goal no good,2.06,-0.87,12.0,2022,169
2,3:53,1.0,10.0,TAM 29,7.0,10.0,"Tom Brady pass complete to Mike Evans for no gain (tackle by Martin Emerson). Penalty on Mike Evans: Offensive Pass Interference, 10 yards (accepted) (no play)",0.87,0.11,12.0,2022,169
2,3:32,1.0,20.0,TAM 19,7.0,10.0,Tom Brady pass complete short right to Chris Godwin for 9 yards (tackle by John Johnson),0.11,0.19,12.0,2022,169
2,2:56,2.0,11.0,TAM 28,7.0,10.0,Tom Brady pass complete short right to Rachaad White for 4 yards (tackle by Martin Emerson),0.19,0.04,12.0,2022,169
2,2:15,3.0,7.0,TAM 32,7.0,10.0,Tom Brady pass complete short left to Chris Godwin for 6 yards (tackle by John Johnson),0.04,-0.85,12.0,2022,169
2,2:00,4.0,1.0,TAM 38,7.0,10.0,Tom Brady up the middle for 2 yards (tackle by Jeremiah Owusu-Koramoah),-0.85,1.6,12.0,2022,169
2,1:44,1.0,10.0,TAM 40,7.0,10.0,Tom Brady pass complete short middle to Chris Godwin for 7 yards (tackle by Sione Takitaki),1.6,2.0,12.0,2022,169
2,1:26,2.0,3.0,TAM 47,7.0,10.0,Tom Brady pass complete short middle to Chris Godwin for 23 yards (tackle by Jeremiah Owusu-Koramoah and Grant Delpit),2.0,3.58,12.0,2022,169
2,1:05,1.0,10.0,CLE 30,7.0,10.0,Tom Brady pass incomplete deep right intended for Mike Evans,3.58,3.03,12.0,2022,169
2,1:01,2.0,10.0,CLE 30,7.0,10.0,Tom Brady pass incomplete deep right intended for Mike Evans (defended by Martin Emerson),3.03,2.34,12.0,2022,169
2,0:56,3.0,10.0,CLE 30,7.0,10.0,Tom Brady pass complete short left to Cameron Brate for 6 yards (tackle by Thomas Graham),2.34,1.94,12.0,2022,169
2,0:43,,,,,,Timeout #3 by Cleveland Browns,,,12.0,2022,169
2,0:43,4.0,4.0,CLE 24,10.0,10.0,Ryan Succop 42 yard field goal good,1.94,3.0,12.0,2022,169
2,0:39,,,TAM 35,10.0,10.0,"Jake Camarda kicks off 66 yards, returned by Jerome Ford for 44 yards (tackle by Dee Delaney)",0.0,1.8,12.0,2022,169
2,0:31,1.0,10.0,CLE 43,10.0,10.0,Jacoby Brissett pass incomplete short right intended for David Bell,1.8,1.25,12.0,2022,169
2,0:26,2.0,10.0,CLE 43,10.0,10.0,Jacoby Brissett pass complete short left to Amari Cooper for 4 yards (tackle by Sean Murphy-Bunting),1.25,1.09,12.0,2022,169
2,0:10,3.0,6.0,CLE 47,10.0,10.0,Jacoby Brissett pass incomplete short left intended for Amari Cooper,1.09,-0.26,12.0,2022,169
2,0:05,4.0,6.0,CLE 47,10.0,10.0,Jacoby Brissett pass is intercepted by Mike Edwards in end zone and returned for -2 yards,-0.26,0.0,12.0,2022,169
3,15:00,,,CLE 35,10.0,10.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,169
3,15:00,1.0,10.0,TAM 25,10.0,10.0,Rachaad White right end for -2 yards (tackle by Jadeveon Clowney),0.61,-0.21,12.0,2022,169
3,14:26,2.0,12.0,TAM 23,10.0,10.0,Tom Brady sacked by Jordan Elliott for -6 yards,-0.21,-1.93,12.0,2022,169
3,13:42,3.0,18.0,TAM 17,10.0,10.0,Tom Brady pass complete short middle to Julio Jones for 8 yards (tackle by Grant Delpit and John Johnson),-1.93,-1.7,12.0,2022,169
3,13:08,4.0,10.0,TAM 25,10.0,10.0,"Jake Camarda punts 62 yards, returned by Donovan Peoples-Jones for 29 yards (tackle by Ulysees Gilbert)",-1.7,-1.73,12.0,2022,169
3,12:51,1.0,10.0,CLE 42,10.0,10.0,Jacoby Brissett pass complete short right to Harrison Bryant for no gain (tackle by Lavonte David),1.73,1.19,12.0,2022,169
3,12:14,2.0,10.0,CLE 42,10.0,10.0,Nick Chubb left guard for no gain (tackle by Rakeem Nunez-Roches),1.19,0.5,12.0,2022,169
3,11:44,3.0,10.0,CLE 42,10.0,10.0,Jacoby Brissett pass incomplete deep left intended for Amari Cooper,0.5,-0.59,12.0,2022,169
3,11:36,4.0,10.0,CLE 42,10.0,10.0,"Corey Bojorquez punts 58 yards, touchback.",-0.59,-0.28,12.0,2022,169
3,11:29,1.0,10.0,TAM 20,10.0,10.0,Tom Brady pass complete deep left to Mike Evans for 28 yards (tackle by Denzel Ward),0.28,2.13,12.0,2022,169
3,10:54,1.0,10.0,TAM 48,10.0,10.0,Rachaad White right guard for 1 yard (tackle by Ronnie Harrison),2.13,1.72,12.0,2022,169
3,10:17,2.0,9.0,TAM 49,10.0,10.0,Julio Jones right end for 15 yards (tackle by Grant Delpit),1.72,3.18,12.0,2022,169
3,9:36,1.0,10.0,CLE 36,10.0,10.0,Tom Brady pass complete deep left to Chris Godwin for 22 yards (tackle by Denzel Ward),3.18,4.65,12.0,2022,169
3,8:56,1.0,10.0,CLE 14,10.0,10.0,Tom Brady pass complete short right to Mike Evans for 3 yards (tackle by John Johnson),4.65,4.64,12.0,2022,169
3,8:21,2.0,6.0,CLE 11,10.0,10.0,Tom Brady pass complete short right to Rachaad White for 6 yards (tackle by Jeremiah Owusu-Koramoah),4.64,4.96,12.0,2022,169
3,7:44,3.0,1.0,CLE 5,16.0,10.0,"Tom Brady pass complete short right to Ko Kieft for 5 yards, touchdown",4.96,7.0,12.0,2022,169
3,7:41,,,CLE 15,17.0,10.0,Ryan Succop kicks extra point good,0.0,0.0,12.0,2022,169
3,7:41,,,TAM 35,17.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,169
3,7:41,1.0,10.0,CLE 25,17.0,10.0,Nick Chubb right guard for 5 yards (tackle by Joe Tryon-Shoyinka),0.61,0.74,12.0,2022,169
3,7:10,2.0,5.0,CLE 30,17.0,10.0,Nick Chubb left guard for 11 yards (tackle by Keanu Neal),0.74,1.66,12.0,2022,169
3,6:25,1.0,10.0,CLE 41,17.0,10.0,Nick Chubb left guard for 2 yards (tackle by William Gholston and Vita Vea),1.66,1.39,12.0,2022,169
3,5:55,2.0,8.0,CLE 43,17.0,10.0,Jacoby Brissett pass complete short left to David Njoku for 5 yards (tackle by Keanu Neal),1.39,1.36,12.0,2022,169
3,5:13,3.0,3.0,CLE 48,17.0,10.0,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones (defended by Carlton Davis),1.36,-0.19,12.0,2022,169
3,5:10,4.0,3.0,CLE 48,17.0,10.0,"Corey Bojorquez punts 41 yards, fair catch by Jaelon Darden at TB-11",-0.19,0.37,12.0,2022,169
3,5:03,1.0,10.0,TAM 11,17.0,10.0,Rachaad White left guard for 1 yard (tackle by Grant Delpit and Jordan Elliott),-0.37,-0.71,12.0,2022,169
3,4:24,2.0,9.0,TAM 12,17.0,10.0,Tom Brady pass complete short right to Chris Godwin for 1 yard (tackle by Jadeveon Clowney and Thomas Graham),-0.71,-1.19,12.0,2022,169
3,3:43,3.0,8.0,TAM 13,17.0,10.0,Tom Brady pass complete short left to Chris Godwin for 2 yards (tackle by Thomas Graham),-1.19,-2.44,12.0,2022,169
3,3:05,4.0,6.0,TAM 15,17.0,10.0,"Jake Camarda punts 63 yards, returned by Donovan Peoples-Jones for 16 yards (tackle by Cade Otton)",-2.44,-1.47,12.0,2022,169
3,2:54,1.0,10.0,CLE 38,17.0,10.0,Jacoby Brissett sacked by Anthony Nelson for -8 yards,1.47,-0.16,12.0,2022,169
3,2:06,2.0,18.0,CLE 30,17.0,10.0,Jacoby Brissett pass complete short right to David Bell for 4 yards (tackle by Keanu Neal and Joe Tryon-Shoyinka),-0.16,-0.29,12.0,2022,169
3,1:26,3.0,14.0,CLE 34,17.0,10.0,"Penalty on Genard Avery: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.29,0.37,12.0,2022,169
3,1:06,3.0,9.0,CLE 39,17.0,10.0,Jacoby Brissett sacked by and Keanu Neal for -8 yards and Logan Hall for -8 yards,0.37,-1.31,12.0,2022,169
3,0:26,4.0,17.0,CLE 31,17.0,10.0,"Corey Bojorquez punts 56 yards, returned by Jaelon Darden for 17 yards (tackle by Jordan Kunaszyk)",-1.31,-0.94,12.0,2022,169
3,0:13,1.0,10.0,TAM 30,17.0,10.0,Rachaad White left guard for 11 yards (tackle by Tony Fields and John Johnson),0.94,1.66,12.0,2022,169
4,15:00,1.0,10.0,TAM 41,17.0,10.0,Tom Brady pass incomplete deep right intended for Chris Godwin,1.66,1.12,12.0,2022,169
4,14:56,2.0,10.0,TAM 41,17.0,10.0,Rachaad White right tackle for 1 yard (tackle by Denzel Ward and Deion Jones),1.12,0.56,12.0,2022,169
4,14:17,3.0,9.0,TAM 42,17.0,10.0,"Tom Brady pass incomplete intended for Mike Evans. Penalty on Martin Emerson: Defensive Pass Interference, 13 yards (accepted) (no play)",0.56,2.59,12.0,2022,169
4,14:11,1.0,10.0,CLE 45,17.0,10.0,Ke'Shawn Vaughn right guard for 4 yards (tackle by Taven Bryan and Ben Stille),2.59,2.58,12.0,2022,169
4,13:36,2.0,6.0,CLE 41,17.0,10.0,Tom Brady pass incomplete deep right intended for Julio Jones,2.58,1.88,12.0,2022,169
4,13:28,3.0,6.0,CLE 41,17.0,10.0,"Penalty on Donovan Smith: False Start, 5 yards (accepted) (no play)",1.88,1.22,12.0,2022,169
4,13:28,3.0,11.0,CLE 46,17.0,10.0,Tom Brady pass complete short right to Cameron Brate for 9 yards (tackle by Martin Emerson and Deion Jones),1.22,0.79,12.0,2022,169
4,12:41,4.0,2.0,CLE 37,17.0,10.0,"Penalty on Tom Brady: Delay of Game, 5 yards (accepted) (no play)",0.79,0.46,12.0,2022,169
4,12:41,4.0,7.0,CLE 42,17.0,10.0,"Jake Camarda punts 42 yards, touchback.",0.46,-0.28,12.0,2022,169
4,12:33,1.0,10.0,CLE 20,17.0,10.0,Nick Chubb left guard for 3 yards (tackle by Akiem Hicks),0.28,0.14,12.0,2022,169
4,11:59,2.0,7.0,CLE 23,17.0,10.0,Jacoby Brissett pass complete short left to Anthony Schwartz for 17 yards (tackle by Devin White),0.14,1.6,12.0,2022,169
4,11:15,1.0,10.0,CLE 40,17.0,10.0,Nick Chubb right tackle for 15 yards (tackle by Mike Edwards and Keanu Neal),1.6,2.59,12.0,2022,169
4,10:40,1.0,10.0,TAM 45,17.0,10.0,Nick Chubb left guard for 2 yards (tackle by Jamel Dean and Antoine Winfield),2.59,2.31,12.0,2022,169
4,9:57,2.0,8.0,TAM 43,17.0,10.0,Jacoby Brissett sacked by and Devin White for -7 yards and Carl Nassib for -7 yards,2.31,0.7,12.0,2022,169
4,9:11,3.0,15.0,TAM 50,17.0,10.0,Jacoby Brissett pass complete short left to Kareem Hunt for 6 yards (tackle by Devin White and Antoine Winfield),0.7,0.33,12.0,2022,169
4,8:27,4.0,9.0,TAM 44,17.0,10.0,Jacoby Brissett pass incomplete deep right intended for Amari Cooper,0.33,-1.93,12.0,2022,169
4,8:20,1.0,10.0,TAM 45,17.0,10.0,Rachaad White left guard for 2 yards (tackle by Jordan Elliott),1.93,1.65,12.0,2022,169
4,7:44,2.0,8.0,TAM 47,17.0,10.0,Tom Brady pass complete short left to Rachaad White for 5 yards (tackle by Martin Emerson),1.65,1.69,12.0,2022,169
4,7:03,3.0,2.0,CLE 48,17.0,10.0,Tom Brady pass incomplete short left intended for Mike Evans (defended by Martin Emerson),1.69,0.07,12.0,2022,169
4,6:59,4.0,2.0,CLE 48,17.0,10.0,Jake Camarda punts 43 yards downed by Zyon McCollum,0.07,0.38,12.0,2022,169
4,6:52,1.0,10.0,CLE 5,17.0,10.0,Nick Chubb right guard for no gain (tackle by Devin White and Carlton Davis),-0.38,-0.78,12.0,2022,169
4,6:07,2.0,10.0,CLE 5,17.0,10.0,"Jacoby Brissett pass incomplete deep left intended for Anthony Schwartz Penalty on CLE: Offensive Pass Interference, 10 yards (declined)",-0.78,-1.42,12.0,2022,169
4,5:58,3.0,10.0,CLE 5,17.0,10.0,Jacoby Brissett pass complete short right to Amari Cooper for 12 yards (tackle by Carlton Davis),-1.42,-0.06,12.0,2022,169
4,5:20,1.0,10.0,CLE 17,17.0,10.0,Nick Chubb left guard for 3 yards (tackle by Antoine Winfield and Zyon McCollum),-0.06,-0.06,12.0,2022,169
4,4:48,2.0,7.0,CLE 20,17.0,10.0,Jacoby Brissett pass incomplete short right intended for David Bell,-0.06,-0.87,12.0,2022,169
4,4:44,3.0,7.0,CLE 20,17.0,10.0,Jacoby Brissett pass complete short right to David Njoku for 8 yards (tackle by Lavonte David),-0.87,0.81,12.0,2022,169
4,4:05,1.0,10.0,CLE 28,17.0,10.0,"Jacoby Brissett pass complete to Kareem Hunt for no gain. Penalty on Zyon McCollum: Illegal Contact, 5 yards (accepted) (no play)",0.81,1.14,12.0,2022,169
4,3:51,1.0,10.0,CLE 33,17.0,10.0,Nick Chubb right tackle for -1 yards (tackle by Vita Vea),1.14,0.46,12.0,2022,169
4,3:28,2.0,11.0,CLE 32,17.0,10.0,Jacoby Brissett pass incomplete deep right intended for Amari Cooper,0.46,-0.23,12.0,2022,169
4,3:20,3.0,11.0,CLE 32,17.0,10.0,Jacoby Brissett sacked by Rakeem Nunez-Roches for -9 yards,-0.23,-1.83,12.0,2022,169
4,2:38,4.0,20.0,CLE 23,17.0,10.0,"Corey Bojorquez punts 57 yards, fair catch by Jaelon Darden at TB-20",-1.83,-0.28,12.0,2022,169
4,2:35,1.0,10.0,TAM 20,17.0,10.0,Rachaad White left tackle for -3 yards (tackle by Tony Fields),0.28,-0.79,12.0,2022,169
4,2:30,,,,,,Timeout #1 by Cleveland Browns,,,12.0,2022,169
4,2:30,2.0,13.0,TAM 17,17.0,10.0,Tom Brady pass incomplete deep left intended for Mike Evans,-0.79,-1.51,12.0,2022,169
4,2:26,3.0,13.0,TAM 17,17.0,10.0,Tom Brady sacked by and Myles Garrett for -7 yards and Jadeveon Clowney for -7 yards,-1.51,-2.49,12.0,2022,169
4,2:21,,,,,,Timeout #2 by Cleveland Browns,,,12.0,2022,169
4,2:21,4.0,21.0,TAM 10,17.0,10.0,"Jake Camarda punts 48 yards, returned by Donovan Peoples-Jones for 12 yards (tackle by Dee Delaney)",-2.49,-2.52,12.0,2022,169
4,2:10,1.0,10.0,TAM 46,17.0,10.0,Nick Chubb left guard for 6 yards (tackle by Keanu Neal and Devin White),2.52,2.79,12.0,2022,169
4,2:00,2.0,4.0,TAM 40,17.0,10.0,Nick Chubb left tackle for 28 yards (tackle by Antoine Winfield),2.79,4.78,12.0,2022,169
4,1:53,1.0,10.0,TAM 12,17.0,10.0,Nick Chubb right guard for 1 yard (tackle by Akiem Hicks and Mike Edwards),4.78,4.27,12.0,2022,169
4,1:21,2.0,9.0,TAM 11,17.0,10.0,Jacoby Brissett pass incomplete short middle intended for Kareem Hunt (defended by Devin White),4.27,3.29,12.0,2022,169
4,1:16,3.0,9.0,TAM 11,17.0,10.0,Jacoby Brissett pass complete short right to David Njoku for -1 yards (tackle by Lavonte David),3.29,2.63,12.0,2022,169
4,0:37,4.0,10.0,TAM 12,17.0,16.0,"Jacoby Brissett pass complete short middle to David Njoku for 12 yards, touchdown",2.63,7.0,12.0,2022,169
4,0:32,,,TAM 15,17.0,17.0,Cade York kicks extra point good,0.0,0.0,12.0,2022,169
4,0:32,,,CLE 35,17.0,17.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,169
4,0:32,1.0,10.0,TAM 25,17.0,17.0,Tom Brady pass complete short right to Rachaad White for 1 yard (tackle by Denzel Ward),0.61,0.2,12.0,2022,169
4,0:14,2.0,9.0,TAM 26,17.0,17.0,Tom Brady pass complete deep left to Julio Jones for 26 yards (tackle by Grant Delpit),0.2,2.39,12.0,2022,169
4,0:08,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,12.0,2022,169
4,0:08,,,,,,Timeout #3 by Cleveland Browns,,,12.0,2022,169
4,0:08,1.0,10.0,CLE 48,17.0,17.0,Tom Brady pass incomplete short right intended for Cameron Brate (defended by Jeremiah Owusu-Koramoah) (defended by Martin Emerson),2.39,1.85,12.0,2022,169
4,0:02,2.0,10.0,CLE 48,17.0,17.0,Tom Brady pass incomplete deep right (defended by Grant Delpit),1.85,0.0,12.0,2022,169
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the overtime kickoff.",,,12.0,2022,169
OT,10:00,,,CLE 35,17.0,17.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,169
OT,10:00,1.0,10.0,TAM 25,17.0,17.0,Tom Brady pass complete short middle to Chris Godwin for 6 yards (tackle by Sione Takitaki),0.61,0.81,12.0,2022,169
OT,9:41,2.0,5.0,TAM 31,17.0,17.0,Tom Brady pass incomplete short right intended for Mike Evans,0.81,0.04,12.0,2022,169
OT,9:35,3.0,5.0,TAM 30,17.0,17.0,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.04,1.33,12.0,2022,169
OT,9:35,1.0,10.0,TAM 36,17.0,17.0,Tom Brady pass complete short right to Rachaad White for 4 yards (tackle by Jeremiah Owusu-Koramoah),1.33,1.54,12.0,2022,169
OT,9:04,2.0,3.0,TAM 40,17.0,17.0,Tom Brady pass incomplete short middle intended for Cameron Brate,1.54,0.83,12.0,2022,169
OT,9:01,3.0,3.0,TAM 40,17.0,17.0,Tom Brady pass complete short left to Chris Godwin for 7 yards (tackle by Thomas Graham),0.83,2.06,12.0,2022,169
OT,8:38,1.0,10.0,TAM 47,17.0,17.0,Tom Brady pass complete short left to Rachaad White for 6 yards (tackle by Sione Takitaki),2.06,2.33,12.0,2022,169
OT,8:08,2.0,4.0,CLE 47,17.0,17.0,Tom Brady pass incomplete short left intended for Breshad Perriman (defended by Martin Emerson),2.33,1.62,12.0,2022,169
OT,8:04,3.0,4.0,CLE 47,17.0,17.0,"Tom Brady pass complete to Rachaad White for no gain. Penalty on Donovan Smith: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",1.62,0.3,12.0,2022,169
OT,7:39,3.0,14.0,TAM 43,17.0,17.0,Tom Brady pass incomplete short left intended for Mike Evans,0.3,-0.52,12.0,2022,169
