Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA,week,year,game_id
2.0,14:54,1.0,10.0,ATL 23,3.0,7.0,Caleb Huntley right end for 12 yards (tackle by Darrick Forrest and Kamren Curl),0.48,1.27,12.0,2022,172
2.0,14:16,1.0,10.0,ATL 35,3.0,7.0,Marcus Mariota pass complete short right to Caleb Huntley for 1 yard (tackle by Christian Holmes),1.27,0.86,12.0,2022,172
2.0,13:30,2.0,9.0,ATL 36,3.0,7.0,Marcus Mariota right end for 7 yards (tackle by Jamin Davis),0.86,1.09,12.0,2022,172
2.0,12:48,3.0,2.0,ATL 43,3.0,7.0,Marcus Mariota right end for 11 yards (tackle by Darrick Forrest),1.09,2.52,12.0,2022,172
2.0,12:02,1.0,10.0,WAS 46,3.0,7.0,Tyler Allgeier left tackle for -1 yards (tackle by Daron Payne and Montez Sweat),2.52,1.84,12.0,2022,172
2.0,11:22,2.0,11.0,WAS 47,3.0,7.0,Tyler Allgeier left guard for 15 yards (tackle by Darrick Forrest),1.84,3.45,12.0,2022,172
2.0,10:43,1.0,10.0,WAS 32,3.0,7.0,"Cordarrelle Patterson right end for no gain (tackle by Kamren Curl and Jamin Davis). Penalty on MyCole Pruitt: Face Mask (15 Yards), 15 yards (accepted) (no play)",3.45,2.46,12.0,2022,172
2.0,10:16,1.0,25.0,WAS 47,3.0,7.0,Marcus Mariota pass incomplete short right intended for Cordarrelle Patterson (defended by Kendall Fuller),2.46,0.88,12.0,2022,172
2.0,10:08,2.0,25.0,WAS 47,3.0,7.0,Marcus Mariota pass complete deep middle to Drake London for 22 yards (tackle by Jonathan Bostic),0.88,3.14,12.0,2022,172
2.0,9:23,3.0,3.0,WAS 25,3.0,7.0,"Cordarrelle Patterson left end for 15 yards (tackle by Christian Holmes and Darrick Forrest). Penalty on Christian Holmes: Face Mask (15 Yards), 5 yards (accepted)",3.14,6.06,12.0,2022,172
2.0,9:03,1.0,5.0,WAS 5,3.0,7.0,Cordarrelle Patterson left end for 1 yard (tackle by Kamren Curl and Montez Sweat),6.06,5.34,12.0,2022,172
2.0,8:32,2.0,4.0,WAS 4,9.0,7.0,"Marcus Mariota pass complete short left to MyCole Pruitt for 4 yards, touchdown",5.34,7.0,12.0,2022,172
2.0,8:26,,,WAS 15,10.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,12.0,2022,172
2.0,8:26,,,ATL 35,10.0,7.0,"Bradley Pinion kicks off 67 yards, returned by Antonio Gibson for 31 yards (tackle by Darren Hall)",0.0,0.87,12.0,2022,172
2.0,8:19,1.0,10.0,WAS 29,10.0,7.0,Brian Robinson left tackle for 4 yards (tackle by Adetokunbo Ogundeji and Jaleel Johnson),0.87,0.87,12.0,2022,172
2.0,7:36,2.0,6.0,WAS 33,10.0,7.0,Brian Robinson up the middle for 6 yards (tackle by Troy Andersen and Rashaan Evans),0.87,1.53,12.0,2022,172
2.0,6:59,1.0,10.0,WAS 39,10.0,7.0,Antonio Gibson right end for 7 yards (tackle by Richie Grant),1.53,1.93,12.0,2022,172
2.0,6:19,2.0,3.0,WAS 46,10.0,7.0,Antonio Gibson up the middle for 5 yards (tackle by Rashaan Evans and Troy Andersen),1.93,2.32,12.0,2022,172
2.0,5:38,1.0,10.0,ATL 49,10.0,7.0,Taylor Heinicke pass incomplete short right intended for Logan Thomas,2.32,1.78,12.0,2022,172
2.0,5:31,2.0,10.0,ATL 49,10.0,7.0,Antonio Gibson left tackle for 1 yard (tackle by Arnold Ebiketie),1.78,1.22,12.0,2022,172
2.0,4:47,3.0,9.0,ATL 48,10.0,7.0,Taylor Heinicke pass complete short right to Terry McLaurin for 13 yards,1.22,3.25,12.0,2022,172
2.0,4:22,1.0,10.0,ATL 35,10.0,7.0,Brian Robinson left end for 1 yard (tackle by Rashaan Evans and Darren Hall),3.25,2.84,12.0,2022,172
2.0,3:48,2.0,9.0,ATL 34,10.0,7.0,Taylor Heinicke pass complete short middle to Brian Robinson for 6 yards (tackle by Rashaan Evans),2.84,2.94,12.0,2022,172
2.0,3:03,3.0,3.0,ATL 28,10.0,7.0,Taylor Heinicke pass complete short right to Antonio Gibson for 14 yards (tackle by Troy Andersen),2.94,4.65,12.0,2022,172
2.0,2:28,1.0,10.0,ATL 14,10.0,7.0,Taylor Heinicke pass incomplete short middle intended for John Bates,4.65,4.0,12.0,2022,172
2.0,2:18,2.0,10.0,ATL 14,10.0,7.0,Antonio Gibson right tackle for 2 yards (tackle by Grady Jarrett and Rashaan Evans),4.0,3.43,12.0,2022,172
2.0,2:00,3.0,8.0,ATL 12,10.0,7.0,Taylor Heinicke pass incomplete short right intended for Terry McLaurin,3.43,2.63,12.0,2022,172
2.0,1:54,4.0,8.0,ATL 12,10.0,10.0,Joey Slye 30 yard field goal good,2.63,3.0,12.0,2022,172
2.0,1:50,,,WAS 35,10.0,10.0,"Joey Slye kicks off 59 yards, returned by Cordarrelle Patterson for 9 yards (tackle by Jeremy Reaves)",0.0,-0.22,12.0,2022,172
2.0,1:45,1.0,10.0,ATL 15,10.0,10.0,Marcus Mariota pass complete deep right to Olamide Zaccheaus for 23 yards,-0.22,1.47,12.0,2022,172
2.0,1:39,1.0,10.0,ATL 38,10.0,10.0,Tyler Allgeier left guard for 2 yards (tackle by Daron Payne and Jonathan Allen),1.47,1.19,12.0,2022,172
2.0,1:19,2.0,8.0,ATL 40,10.0,10.0,Marcus Mariota pass incomplete short left intended for Olamide Zaccheaus,1.19,0.5,12.0,2022,172
2.0,1:15,3.0,8.0,ATL 40,10.0,10.0,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 7 yards (tackle by Jamin Davis),0.5,-0.26,12.0,2022,172
2.0,0:29,,,,,,Timeout #1 by Atlanta Falcons,,,12.0,2022,172
2.0,0:29,4.0,1.0,ATL 47,10.0,10.0,Cordarrelle Patterson up the middle for no gain (tackle by Jonathan Allen),-0.26,-2.46,12.0,2022,172
2.0,0:24,1.0,10.0,ATL 47,10.0,10.0,Taylor Heinicke pass short middle intended for Jahan Dotson is intercepted by Mykal Walker at ATL-32 and returned for 12 yards (tackle by Curtis Samuel),2.46,-1.86,12.0,2022,172
2.0,0:14,1.0,10.0,ATL 44,10.0,10.0,Marcus Mariota pass incomplete short right,1.86,1.32,12.0,2022,172
2.0,0:07,2.0,10.0,ATL 44,10.0,10.0,Marcus Mariota pass complete short middle to Anthony Firkser for 16 yards (tackle by Kamren Curl),1.32,2.92,12.0,2022,172
2.0,0:02,,,,,,Timeout #2 by Atlanta Falcons,,,12.0,2022,172
2.0,0:02,1.0,10.0,WAS 40,10.0,10.0,Younghoe Koo 58 yard field goal no good,2.92,2.06,12.0,2022,172
3.0,15:00,,,ATL 35,10.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,172
3.0,15:00,1.0,10.0,WAS 25,10.0,10.0,Brian Robinson left tackle for 6 yards (tackle by Mykal Walker),0.61,0.87,12.0,2022,172
3.0,14:22,2.0,4.0,WAS 31,10.0,10.0,Curtis Samuel right end for 3 yards (tackle by Rashaan Evans),0.87,0.56,12.0,2022,172
3.0,13:49,3.0,1.0,WAS 34,10.0,10.0,Brian Robinson left end for 21 yards (tackle by Rashaan Evans),0.56,2.59,12.0,2022,172
3.0,13:12,1.0,10.0,ATL 45,10.0,10.0,Curtis Samuel right end for 5 yards (tackle by Rashaan Evans),2.59,2.72,12.0,2022,172
3.0,12:28,2.0,5.0,ATL 40,10.0,10.0,"Antonio Gibson right tackle for no gain (tackle by Lorenzo Carter). Penalty on Andrew Norwell: Offensive Holding, 10 yards (accepted) (no play)",2.72,1.37,12.0,2022,172
3.0,12:05,2.0,15.0,ATL 50,10.0,10.0,Taylor Heinicke pass incomplete short middle intended for Logan Thomas (defended by Mykal Walker),1.37,0.7,12.0,2022,172
3.0,11:53,3.0,15.0,ATL 50,10.0,10.0,"Taylor Heinicke pass intended for Terry McLaurin is intercepted by AJ Terrell at ATL-35 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Taylor Heinicke pass incomplete short left intended for Terry McLaurin (defended by AJ Terrell)",0.7,-0.06,12.0,2022,172
3.0,11:55,4.0,15.0,ATL 50,10.0,10.0,Tress Way punts 45 yards downed by Jeremy Reaves,-0.06,0.38,12.0,2022,172
3.0,11:46,1.0,10.0,ATL 5,10.0,10.0,Tyler Allgeier right end for 2 yards (tackle by Kamren Curl),-0.38,-0.63,12.0,2022,172
3.0,11:03,2.0,8.0,ATL 7,10.0,10.0,Tyler Allgeier right guard for 5 yards (tackle by Daron Payne and Jamin Davis),-0.63,-0.6,12.0,2022,172
3.0,10:29,3.0,3.0,ATL 12,10.0,10.0,Marcus Mariota pass incomplete short right intended for MyCole Pruitt,-0.6,-2.49,12.0,2022,172
3.0,10:23,4.0,3.0,ATL 12,10.0,10.0,Bradley Pinion punts 48 yards out of bounds,-2.49,-1.6,12.0,2022,172
3.0,10:16,1.0,10.0,WAS 40,10.0,10.0,Brian Robinson left end for 5 yards (tackle by Adetokunbo Ogundeji),1.6,1.73,12.0,2022,172
3.0,9:34,2.0,5.0,WAS 45,10.0,10.0,Brian Robinson left end for 6 yards (tackle by Jaylinn Hawkins and Mykal Walker),1.73,2.32,12.0,2022,172
3.0,8:52,1.0,10.0,ATL 49,10.0,10.0,Brian Robinson right guard for 7 yards (tackle by Richie Grant and Mykal Walker),2.32,2.73,12.0,2022,172
3.0,8:10,2.0,3.0,ATL 42,10.0,10.0,Brian Robinson right tackle for 2 yards (tackle by Timmy Horne and Mykal Walker),2.73,2.28,12.0,2022,172
3.0,7:28,3.0,1.0,ATL 40,10.0,10.0,Taylor Heinicke pass incomplete short right intended for Cole Turner,2.28,0.59,12.0,2022,172
3.0,7:18,,,,,,Timeout #1 by Washington Commanders,,,12.0,2022,172
3.0,7:18,4.0,1.0,ATL 40,10.0,10.0,Brian Robinson left guard for 3 yards (tackle by Grady Jarrett and Mykal Walker),0.59,3.12,12.0,2022,172
3.0,6:33,1.0,10.0,ATL 37,10.0,10.0,Terry McLaurin right end for 5 yards (tackle by Darren Hall and Jaylinn Hawkins),3.12,3.25,12.0,2022,172
3.0,6:02,2.0,5.0,ATL 32,10.0,10.0,Brian Robinson right tackle for 6 yards (tackle by DeAngelo Malone and Jaylinn Hawkins),3.25,3.84,12.0,2022,172
3.0,5:20,1.0,10.0,ATL 26,10.0,10.0,Jonathan Williams right tackle for 9 yards (tackle by Darren Hall and Richie Grant),3.84,4.64,12.0,2022,172
3.0,4:52,2.0,1.0,ATL 17,10.0,10.0,Jonathan Williams left tackle for 1 yard (tackle by Jaleel Johnson),4.64,4.51,12.0,2022,172
3.0,4:09,1.0,10.0,ATL 16,10.0,16.0,"Taylor Heinicke pass complete deep right to John Bates for 16 yards, touchdown",4.51,7.0,12.0,2022,172
3.0,4:03,,,ATL 15,10.0,16.0,Joey Slye kicks extra point no good,0.0,-1.0,12.0,2022,172
3.0,4:03,,,WAS 35,10.0,16.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,172
3.0,4:03,1.0,10.0,ATL 25,10.0,16.0,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 6 yards (tackle by Bobby McCain),0.61,0.87,12.0,2022,172
3.0,3:31,2.0,4.0,ATL 31,10.0,16.0,Marcus Mariota right end for 14 yards (tackle by Kamren Curl),0.87,1.93,12.0,2022,172
3.0,2:48,1.0,10.0,ATL 45,10.0,16.0,"Marcus Mariota sacked by Jonathan Allen for no gain. Marcus Mariota fumbles, recovered by Jonathan Allen at ATL-45 Replay Assistant challenged the fumble ruling, and the original play was overturned. Marcus Mariota pass incomplete short middle intended for Drake London",1.93,1.38,12.0,2022,172
3.0,2:44,2.0,10.0,ATL 45,10.0,16.0,Cordarrelle Patterson left end for 21 yards (tackle by Darrick Forrest),1.38,3.31,12.0,2022,172
3.0,2:03,1.0,10.0,WAS 34,10.0,16.0,Tyler Allgeier left end for 4 yards (tackle by Kamren Curl),3.31,3.31,12.0,2022,172
3.0,1:37,2.0,6.0,WAS 30,10.0,16.0,Marcus Mariota pass incomplete short right intended for Olamide Zaccheaus,3.31,2.61,12.0,2022,172
3.0,1:26,3.0,6.0,WAS 30,10.0,16.0,Marcus Mariota pass incomplete short middle intended for Olamide Zaccheaus,2.61,1.43,12.0,2022,172
3.0,1:22,4.0,6.0,WAS 30,13.0,16.0,Younghoe Koo 48 yard field goal good,1.43,3.0,12.0,2022,172
3.0,1:17,,,ATL 35,13.0,16.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,172
3.0,1:17,1.0,10.0,WAS 25,13.0,16.0,Brian Robinson left end for 12 yards (tackle by Jaylinn Hawkins),0.61,1.4,12.0,2022,172
3.0,0:41,1.0,10.0,WAS 37,13.0,16.0,Taylor Heinicke pass complete short right to John Bates for 1 yard (tackle by Lorenzo Carter),1.4,0.99,12.0,2022,172
4.0,15:00,2.0,9.0,WAS 38,13.0,16.0,Taylor Heinicke pass complete short middle to John Bates for 7 yards (tackle by Rashaan Evans and Mykal Walker),0.99,1.22,12.0,2022,172
4.0,14:22,3.0,2.0,WAS 45,13.0,16.0,Taylor Heinicke pass complete short right to Terry McLaurin for 3 yards (tackle by AJ Terrell),1.22,2.13,12.0,2022,172
4.0,13:38,1.0,10.0,WAS 48,13.0,16.0,Brian Robinson left tackle for 11 yards (tackle by Darren Hall),2.13,2.85,12.0,2022,172
4.0,12:47,1.0,10.0,ATL 41,13.0,16.0,Jonathan Williams right guard for 9 yards (tackle by Darren Hall and Jaylinn Hawkins),2.85,3.52,12.0,2022,172
4.0,11:53,2.0,1.0,ATL 32,13.0,16.0,Jonathan Williams left guard for 3 yards (tackle by Rashaan Evans and DeAngelo Malone),3.52,3.64,12.0,2022,172
4.0,11:04,1.0,10.0,ATL 29,13.0,16.0,Taylor Heinicke pass incomplete short left intended for Brian Robinson,3.64,3.1,12.0,2022,172
4.0,10:57,2.0,10.0,ATL 29,13.0,16.0,Antonio Gibson right guard for 2 yards (tackle by Grady Jarrett and Lorenzo Carter),3.1,2.68,12.0,2022,172
4.0,10:16,3.0,8.0,ATL 27,13.0,16.0,"Taylor Heinicke pass complete short right to Logan Thomas for no gain (tackle by Darren Hall). Penalty on Curtis Samuel: Offensive Pass Interference, 10 yards (accepted) (no play)",2.68,1.36,12.0,2022,172
4.0,9:54,3.0,18.0,ATL 37,13.0,16.0,Antonio Gibson up the middle for 10 yards (tackle by DeAundre Alford),1.36,1.67,12.0,2022,172
4.0,9:10,4.0,8.0,ATL 27,13.0,19.0,"Joey Slye 45 yard field goal good Penalty on ATL: Defensive Offside, 5 yards (declined)",1.67,3.0,12.0,2022,172
4.0,9:05,,,WAS 35,13.0,19.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,172
4.0,9:05,1.0,10.0,ATL 25,13.0,19.0,Cordarrelle Patterson for -2 yards (tackle by Daron Payne),0.61,-0.21,12.0,2022,172
4.0,8:29,2.0,12.0,ATL 23,13.0,19.0,Marcus Mariota sacked by Montez Sweat for -9 yards,-0.21,-2.55,12.0,2022,172
4.0,7:50,3.0,21.0,ATL 14,13.0,19.0,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 10 yards (tackle by Kamren Curl),-2.55,-1.77,12.0,2022,172
4.0,7:16,4.0,11.0,ATL 24,13.0,19.0,"Bradley Pinion punts 36 yards, fair catch by Alex Erickson at WAS-40",-1.77,-1.6,12.0,2022,172
4.0,7:08,1.0,10.0,WAS 40,13.0,19.0,Antonio Gibson left end for -2 yards (tackle by Troy Andersen and Darren Hall),1.6,0.78,12.0,2022,172
4.0,6:39,2.0,12.0,WAS 38,13.0,19.0,Brian Robinson left end for 1 yard (tackle by Adetokunbo Ogundeji and Abdullah Anderson),0.78,0.23,12.0,2022,172
4.0,5:52,3.0,11.0,WAS 39,13.0,19.0,Taylor Heinicke pass complete short left to Antonio Gibson for 7 yards (tackle by Richie Grant),0.23,-0.32,12.0,2022,172
4.0,5:08,4.0,4.0,WAS 46,13.0,19.0,"Tress Way punts 38 yards, fair catch by Avery Williams at ATL-16",-0.32,0.14,12.0,2022,172
4.0,5:03,1.0,10.0,ATL 16,13.0,19.0,Marcus Mariota pass complete short right to Parker Hesse for 9 yards (tackle by Jamin Davis),-0.14,0.69,12.0,2022,172
4.0,4:26,2.0,1.0,ATL 25,13.0,19.0,Cordarrelle Patterson right tackle for 5 yards (tackle by James Smith-Williams and Jamin Davis),0.69,0.94,12.0,2022,172
4.0,3:44,1.0,10.0,ATL 30,13.0,19.0,Marcus Mariota pass complete short right to Olamide Zaccheaus for 45 yards (tackle by Darrick Forrest),0.94,3.91,12.0,2022,172
4.0,3:09,1.0,10.0,WAS 25,13.0,19.0,Cordarrelle Patterson left end for no gain (tackle by Casey Toohill),3.91,3.36,12.0,2022,172
4.0,2:38,2.0,10.0,WAS 25,13.0,19.0,Tyler Allgeier left end for 6 yards (tackle by Kamren Curl and John Ridgeway),3.36,3.49,12.0,2022,172
4.0,2:00,3.0,4.0,WAS 19,13.0,19.0,Tyler Allgeier right end for 5 yards (tackle by Casey Toohill and Darrick Forrest),3.49,4.65,12.0,2022,172
4.0,1:26,1.0,10.0,WAS 14,13.0,19.0,Cordarrelle Patterson right end for 6 yards (tackle by Daron Payne),4.65,5.09,12.0,2022,172
4.0,1:21,2.0,4.0,WAS 8,13.0,19.0,Cordarrelle Patterson up the middle for 3 yards (tackle by John Ridgeway and Daron Payne),5.09,4.96,12.0,2022,172
4.0,1:15,,,,,,Timeout #2 by Washington Commanders,,,12.0,2022,172
4.0,1:15,3.0,1.0,WAS 5,13.0,19.0,"Tyler Allgeier right tackle for no gain (tackle by Jonathan Allen and Jonathan Bostic). Penalty on Montez Sweat: Defensive Offside, 3 yards (accepted) (no play)",4.96,6.74,12.0,2022,172
4.0,1:10,1.0,2.0,WAS 2,13.0,19.0,Marcus Mariota left end for -2 yards (tackle by Montez Sweat),6.74,5.34,12.0,2022,172
4.0,1:03,,,,,,Timeout #3 by Washington Commanders,,,12.0,2022,172
4.0,1:03,2.0,4.0,WAS 4,13.0,19.0,Marcus Mariota pass short middle (defended by Daron Payne) intended for Cordarrelle Patterson is intercepted by Kendall Fuller in end zone and returned for no gain,5.34,-0.28,12.0,2022,172
4.0,0:58,1.0,10.0,WAS 20,13.0,19.0,Brian Robinson left guard for 4 yards (tackle by Timmy Horne and Mykal Walker),0.28,0.27,12.0,2022,172
4.0,0:55,,,,,,Timeout #1 by Atlanta Falcons,,,12.0,2022,172
4.0,0:55,2.0,6.0,WAS 24,13.0,19.0,Brian Robinson left end for 1 yard (tackle by Lorenzo Carter),0.27,-0.3,12.0,2022,172
4.0,0:51,,,,,,Timeout #2 by Atlanta Falcons,,,12.0,2022,172
4.0,0:51,3.0,5.0,WAS 25,13.0,19.0,Curtis Samuel left end for 3 yards (tackle by Rashaan Evans and Adetokunbo Ogundeji),-0.3,-1.5,12.0,2022,172
4.0,0:44,,,,,,Timeout #3 by Atlanta Falcons,,,12.0,2022,172
4.0,0:44,4.0,2.0,WAS 28,13.0,19.0,"Tress Way punts, returned by Avery Williams for no gain (tackle by David Mayo). Penalty on Adetokunbo Ogundeji: Running Into the Kicker, 5 yards (accepted) (no play)",-1.5,1.14,12.0,2022,172
4.0,0:32,1.0,10.0,WAS 33,13.0,19.0,Taylor Heinicke kneels for -1 yards,1.14,0.46,12.0,2022,172
