Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA,week,year,game_id
2.0,2:04,3.0,13.0,CAR 18,3.0,10.0,Sam Darnold pass complete short right to Raheem Blackshear for 11 yards (tackle by Josey Jewell),-1.41,-1.44,12.0,2022,173
2.0,1:55,4.0,2.0,CAR 29,3.0,10.0,"Johnny Hekker punts 56 yards, fair catch by Montrell Washington at DEN-15",-1.44,0.22,12.0,2022,173
2.0,1:48,1.0,10.0,DEN 15,3.0,10.0,Latavius Murray up the middle for 3 yards (tackle by Xavier Woods),-0.22,-0.28,12.0,2022,173
2.0,1:42,,,,,,Timeout #1 by Carolina Panthers,,,12.0,2022,173
2.0,1:42,2.0,7.0,DEN 18,3.0,10.0,Russell Wilson pass complete short left to Courtland Sutton for 7 yards (tackle by C.J. Henderson),-0.28,0.61,12.0,2022,173
2.0,1:24,1.0,10.0,DEN 25,3.0,10.0,Russell Wilson scrambles right end for 2 yards (tackle by Keith Taylor),0.61,0.33,12.0,2022,173
2.0,1:15,2.0,8.0,DEN 27,3.0,10.0,Russell Wilson pass complete short left to Courtland Sutton for 3 yards (tackle by C.J. Henderson),0.33,0.04,12.0,2022,173
2.0,1:09,,,,,,Timeout #2 by Carolina Panthers,,,12.0,2022,173
2.0,1:09,3.0,5.0,DEN 30,3.0,10.0,Russell Wilson pass incomplete deep left intended for Greg Dulcich,0.04,-1.37,12.0,2022,173
2.0,1:01,4.0,5.0,DEN 30,3.0,10.0,"Corliss Waitman punts 53 yards, fair catch by Shi Smith at CAR-17",-1.37,0.06,12.0,2022,173
2.0,0:54,1.0,10.0,CAR 17,3.0,10.0,Sam Darnold pass incomplete deep right intended for D.J. Moore,-0.06,-0.58,12.0,2022,173
2.0,0:49,2.0,10.0,CAR 17,3.0,10.0,Sam Darnold scrambles right end for 2 yards (tackle by Alex Singleton),-0.58,-1.0,12.0,2022,173
2.0,0:42,3.0,8.0,CAR 19,3.0,10.0,Sam Darnold pass incomplete deep left intended for Terrace Marshall,-1.0,-2.14,12.0,2022,173
2.0,0:37,4.0,8.0,CAR 19,3.0,10.0,Johnny Hekker punts 52 yards out of bounds,-2.14,-0.87,12.0,2022,173
2.0,0:30,1.0,10.0,DEN 29,3.0,10.0,Russell Wilson pass complete short right to Greg Dulcich for 2 yards (tackle by Jaycee Horn),0.87,0.6,12.0,2022,173
2.0,0:23,,,,,,Timeout #1 by Denver Broncos,,,12.0,2022,173
2.0,0:23,2.0,8.0,DEN 31,3.0,10.0,Russell Wilson pass incomplete deep left,0.6,-0.1,12.0,2022,173
2.0,0:17,3.0,8.0,DEN 31,3.0,10.0,Russell Wilson pass complete short left to Greg Dulcich for 9 yards (tackle by Shaq Thompson),-0.1,1.6,12.0,2022,173
2.0,0:10,,,,,,Timeout #2 by Denver Broncos,,,12.0,2022,173
2.0,0:10,1.0,10.0,DEN 40,3.0,10.0,Russell Wilson pass complete deep right to Courtland Sutton for 22 yards,1.6,3.05,12.0,2022,173
2.0,0:02,1.0,10.0,CAR 38,3.0,10.0,Brandon McManus 56 yard field goal no good,3.05,1.93,12.0,2022,173
3.0,15:00,,,CAR 35,3.0,10.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,173
3.0,15:00,1.0,10.0,DEN 25,3.0,10.0,Latavius Murray right tackle for no gain (tackle by Frankie Luvu),0.61,0.06,12.0,2022,173
3.0,14:25,2.0,10.0,DEN 25,3.0,10.0,Russell Wilson pass complete short middle to Courtland Sutton for 8 yards (tackle by Shaq Thompson),0.06,0.43,12.0,2022,173
3.0,13:48,3.0,2.0,DEN 33,3.0,10.0,Russell Wilson pass incomplete short right intended for Kendall Hinton (defended by Brian Burns),0.43,-1.18,12.0,2022,173
3.0,13:42,4.0,2.0,DEN 33,3.0,10.0,"Corliss Waitman punts 48 yards, returned by Raheem Blackshear for 9 yards (tackle by Darius Phillips and P.J. Locke)",-1.18,-0.81,12.0,2022,173
3.0,13:34,1.0,10.0,CAR 28,3.0,10.0,D'Onta Foreman right guard for 6 yards (tackle by Damarri Mathis and Justin Simmons),0.81,1.07,12.0,2022,173
3.0,12:57,2.0,4.0,CAR 34,3.0,10.0,Sam Darnold pass complete short left to Laviska Shenault for 14 yards (tackle by Josey Jewell),1.07,2.13,12.0,2022,173
3.0,12:21,1.0,10.0,CAR 48,3.0,10.0,D'Onta Foreman up the middle for 4 yards (tackle by DeShawn Williams and Mike Purcell),2.13,2.12,12.0,2022,173
3.0,11:38,2.0,6.0,DEN 48,3.0,10.0,Chuba Hubbard left end for 12 yards (tackle by Patrick Surtain),2.12,3.18,12.0,2022,173
3.0,11:01,1.0,10.0,DEN 36,3.0,10.0,D'Onta Foreman right guard for 1 yard (tackle by DeShawn Williams),3.18,2.77,12.0,2022,173
3.0,10:18,2.0,9.0,DEN 35,3.0,10.0,Sam Darnold pass complete deep left to D.J. Moore for 20 yards (tackle by Patrick Surtain),2.77,4.58,12.0,2022,173
3.0,9:35,1.0,10.0,DEN 15,3.0,10.0,Chuba Hubbard left tackle for 1 yard (tackle by Kareem Jackson),4.58,4.11,12.0,2022,173
3.0,8:52,2.0,9.0,DEN 14,3.0,10.0,D'Onta Foreman left tackle for 9 yards (tackle by Patrick Surtain),4.11,6.06,12.0,2022,173
3.0,8:14,1.0,5.0,DEN 5,3.0,10.0,D'Onta Foreman right tackle for 3 yards (tackle by Damarri Mathis and Baron Browning),6.06,5.72,12.0,2022,173
3.0,7:26,,,,,,Timeout #1 by Carolina Panthers,,,12.0,2022,173
3.0,7:26,2.0,2.0,DEN 2,3.0,16.0,"Sam Darnold up the middle for 2 yards. Sam Darnold fumbles (forced by Josey Jewell), recovered by Sam Darnold at DEN-2, touchdown",5.72,7.0,12.0,2022,173
3.0,7:16,,,DEN 15,3.0,17.0,Eddy Pineiro kicks extra point good,0.0,0.0,12.0,2022,173
3.0,7:21,,,CAR 35,3.0,17.0,"Eddy Pineiro kicks off 62 yards, returned by Montrell Washington for 25 yards (tackle by Damien Wilson and Sam Franklin)",0.0,0.81,12.0,2022,173
3.0,7:21,1.0,10.0,DEN 28,3.0,17.0,Marlon Mack left tackle for 7 yards (tackle by Xavier Woods),0.81,1.21,12.0,2022,173
3.0,6:34,2.0,3.0,DEN 35,3.0,17.0,Marlon Mack up the middle for no gain (tackle by Daviyon Nixon),1.21,0.5,12.0,2022,173
3.0,5:51,3.0,3.0,DEN 35,3.0,17.0,Russell Wilson pass complete short middle to Latavius Murray for 6 yards (tackle by Frankie Luvu),0.5,1.66,12.0,2022,173
3.0,5:16,1.0,10.0,DEN 41,3.0,17.0,"Latavius Murray left end for 4 yards (tackle by Marquis Haynes). Penalty on Courtland Sutton: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",1.66,-0.37,12.0,2022,173
3.0,4:59,2.0,21.0,DEN 30,3.0,17.0,Russell Wilson pass incomplete short left intended for Jalen Virgil (defended by Marquis Haynes),-0.37,-1.02,12.0,2022,173
3.0,4:58,3.0,21.0,DEN 30,3.0,17.0,Russell Wilson pass complete short left to Marlon Mack for 5 yards (tackle by Frankie Luvu and Xavier Woods),-1.02,-1.04,12.0,2022,173
3.0,4:22,4.0,16.0,DEN 35,3.0,17.0,"Corliss Waitman punts 56 yards, returned by Raheem Blackshear for 6 yards (tackle by Jalen Virgil and Justin Strnad)",-1.04,0.22,12.0,2022,173
3.0,4:12,1.0,10.0,CAR 15,3.0,17.0,D'Onta Foreman up the middle for 5 yards (tackle by Dre'Mont Jones),-0.22,0.08,12.0,2022,173
3.0,3:32,2.0,5.0,CAR 20,3.0,17.0,D'Onta Foreman right guard for 2 yards (tackle by DeShawn Williams),0.08,-0.51,12.0,2022,173
3.0,2:54,3.0,3.0,CAR 22,3.0,17.0,Chuba Hubbard up the middle for 1 yard (tackle by Alex Singleton and Dre'Mont Jones),-0.51,-1.83,12.0,2022,173
3.0,2:07,4.0,2.0,CAR 23,3.0,17.0,"Johnny Hekker punts 59 yards, returned by Montrell Washington for no gain (tackle by Sean Chandler). Penalty on Faion Hicks: Offensive Low Block, 9 yards (accepted) . Penalty on Devine Ozigbo: Offensive Illegal Block Above the Waist, 15 yards (declined)",-1.83,0.38,12.0,2022,173
3.0,1:54,1.0,10.0,DEN 9,3.0,17.0,Russell Wilson pass incomplete deep left intended for Montrell Washington (defended by Xavier Woods),-0.38,-0.78,12.0,2022,173
3.0,1:46,2.0,10.0,DEN 9,3.0,17.0,Russell Wilson pass incomplete short left,-0.78,-1.42,12.0,2022,173
3.0,1:42,3.0,10.0,DEN 9,3.0,17.0,Russell Wilson pass complete short middle to Brandon Johnson for 9 yards (tackle by Shaq Thompson and Xavier Woods),-1.42,-2.24,12.0,2022,173
3.0,1:01,4.0,1.0,DEN 18,3.0,17.0,Corliss Waitman punts 57 yards downed by Jalen Virgil,-2.24,-0.61,12.0,2022,173
3.0,0:52,1.0,10.0,CAR 25,3.0,17.0,Chuba Hubbard left end for 4 yards (tackle by Nik Bonitto),0.61,0.6,12.0,2022,173
3.0,0:12,2.0,6.0,CAR 29,3.0,17.0,D'Onta Foreman right tackle for 10 yards (tackle by Alex Singleton),0.6,1.53,12.0,2022,173
4.0,15:00,1.0,10.0,CAR 39,3.0,17.0,Sam Darnold pass complete deep right to D.J. Moore for 52 yards,1.53,5.14,12.0,2022,173
4.0,14:24,1.0,9.0,DEN 9,3.0,17.0,D'Onta Foreman right guard for 1 yard (tackle by Justin Simmons),5.14,4.57,12.0,2022,173
4.0,13:45,2.0,8.0,DEN 8,3.0,17.0,Sam Darnold pass incomplete short right,4.57,3.58,12.0,2022,173
4.0,13:40,3.0,8.0,DEN 8,3.0,17.0,Sam Darnold pass incomplete short middle intended for Tommy Tremble,3.58,2.95,12.0,2022,173
4.0,13:36,4.0,8.0,DEN 8,3.0,20.0,Eddy Pineiro 26 yard field goal good,2.95,3.0,12.0,2022,173
4.0,13:33,,,CAR 35,3.0,20.0,"Penalty on Mike Purcell: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,12.0,2022,173
4.0,13:33,,,CAR 50,3.0,20.0,"Eddy Pineiro kicks off 36 yards, returned by Jalen Virgil for 21 yards. Jalen Virgil fumbles (forced by T.J. Carrie), recovered by T.J. Carrie at DEN-35 Replay Assistant challenged the fumble ruling, and the play was upheld. (tackle by Sam Franklin",0.0,-3.25,12.0,2022,173
4.0,13:24,1.0,10.0,DEN 35,3.0,20.0,D'Onta Foreman right guard for 2 yards (tackle by Eyioma Uwazurike),3.25,2.97,12.0,2022,173
4.0,12:41,2.0,8.0,DEN 33,3.0,20.0,D'Onta Foreman right tackle for 2 yards (tackle by Justin Simmons and Dre'Mont Jones),2.97,2.54,12.0,2022,173
4.0,11:54,3.0,6.0,DEN 31,3.0,20.0,Sam Darnold pass complete short right to Terrace Marshall for 8 yards (tackle by Damarri Mathis),2.54,4.04,12.0,2022,173
4.0,11:14,1.0,10.0,DEN 23,3.0,20.0,Chuba Hubbard left guard for 5 yards (tackle by Damarri Mathis),4.04,4.21,12.0,2022,173
4.0,10:28,2.0,5.0,DEN 18,3.0,20.0,Chuba Hubbard right tackle for 3 yards (tackle by Alex Singleton and D.J. Jones),4.21,4.05,12.0,2022,173
4.0,9:45,3.0,2.0,DEN 15,3.0,20.0,D'Onta Foreman left guard for -3 yards (tackle by Josey Jewell),4.05,2.3,12.0,2022,173
4.0,9:04,4.0,5.0,DEN 18,3.0,23.0,Eddy Pineiro 36 yard field goal good,2.3,3.0,12.0,2022,173
4.0,8:59,,,CAR 35,3.0,23.0,"Eddy Pineiro kicks off 65 yards, returned by Montrell Washington for 23 yards (tackle by Damien Wilson and Joel Iyiegbuniwe)",0.0,0.48,12.0,2022,173
4.0,8:53,1.0,10.0,DEN 23,3.0,23.0,Russell Wilson pass complete short middle to Kendall Hinton for 14 yards (tackle by T.J. Carrie),0.48,1.4,12.0,2022,173
4.0,8:26,1.0,10.0,DEN 37,3.0,23.0,Russell Wilson pass complete deep right to Courtland Sutton for 16 yards (tackle by Jaycee Horn),1.4,2.46,12.0,2022,173
4.0,7:55,1.0,10.0,CAR 47,3.0,23.0,Russell Wilson pass complete short right to Devine Ozigbo for 3 yards (tackle by Frankie Luvu),2.46,2.32,12.0,2022,173
4.0,7:33,2.0,7.0,CAR 44,3.0,23.0,Russell Wilson scrambles right end for 6 yards (tackle by Jaycee Horn),2.32,2.41,12.0,2022,173
4.0,6:46,3.0,1.0,CAR 38,3.0,23.0,Latavius Murray up the middle for 3 yards (tackle by Marquan McCall and T.J. Carrie),2.41,3.25,12.0,2022,173
4.0,6:28,1.0,10.0,CAR 35,3.0,23.0,Russell Wilson pass incomplete deep middle intended for Jalen Virgil,3.25,2.7,12.0,2022,173
4.0,6:12,2.0,10.0,CAR 35,3.0,23.0,"Russell Wilson sacked by Frankie Luvu for no gain. Penalty on Jaycee Horn: Defensive Holding, 5 yards (accepted) (no play)",2.7,3.58,12.0,2022,173
4.0,5:49,1.0,10.0,CAR 30,3.0,23.0,Latavius Murray up the middle for 4 yards (tackle by Shaq Thompson),3.58,3.57,12.0,2022,173
4.0,5:07,2.0,6.0,CAR 26,3.0,23.0,"Russell Wilson pass complete deep right to Courtland Sutton for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Russell Wilson pass complete deep right to Courtland Sutton for 19 yards (tackle by Jaycee Horn)",3.57,5.6,12.0,2022,173
4.0,4:59,1.0,7.0,CAR 7,3.0,23.0,Russell Wilson sacked by Marquis Haynes for -6 yards,5.6,3.72,12.0,2022,173
4.0,4:29,2.0,13.0,CAR 13,3.0,23.0,"Russell Wilson pass complete short right to Greg Dulcich for no gain, touchdown. Penalty on Jaycee Horn: Illegal Contact, 5 yards (offset) . Penalty on Greg Dulcich: Ineligible Downfield Pass, 5 yards (offset) (no play)",3.72,3.72,12.0,2022,173
4.0,4:18,2.0,13.0,CAR 13,3.0,23.0,Russell Wilson pass incomplete short left intended for Kendall Hinton,3.72,3.06,12.0,2022,173
4.0,4:13,3.0,13.0,CAR 13,3.0,23.0,Russell Wilson pass incomplete short left intended for Courtland Sutton,3.06,2.57,12.0,2022,173
4.0,4:09,4.0,13.0,CAR 13,3.0,23.0,"Penalty on Russell Wilson: Delay of Game, 5 yards (accepted) (no play)",2.57,2.25,12.0,2022,173
4.0,4:02,4.0,18.0,CAR 18,3.0,23.0,"Russell Wilson pass incomplete deep left intended for Courtland Sutton (defended by Jaycee Horn). Penalty on Yetur Gross-Matos: Roughing the Passer, 9 yards (accepted) (no play)",2.25,5.14,12.0,2022,173
4.0,4:02,1.0,9.0,CAR 9,3.0,23.0,Russell Wilson pass complete short middle to Kendall Hinton for 8 yards (tackle by Shaq Thompson and T.J. Carrie),5.14,5.91,12.0,2022,173
4.0,3:29,2.0,1.0,CAR 1,3.0,23.0,Russell Wilson pass incomplete short right intended for Courtland Sutton,5.91,5.17,12.0,2022,173
4.0,3:24,3.0,1.0,CAR 1,9.0,23.0,"Russell Wilson pass complete short left to Brandon Johnson for 1 yard, touchdown",5.17,7.0,12.0,2022,173
4.0,3:19,,,CAR 15,10.0,23.0,Brandon McManus kicks extra point good,0.0,0.0,12.0,2022,173
4.0,3:19,,,DEN 35,10.0,23.0,"Brandon McManus kicks onside 8 yards, recovered by P.J. Locke",0.0,-1.8,12.0,2022,173
4.0,3:17,1.0,10.0,DEN 43,10.0,23.0,Russell Wilson pass incomplete deep right,1.8,1.25,12.0,2022,173
4.0,3:10,2.0,10.0,DEN 43,10.0,23.0,Russell Wilson pass incomplete deep left intended for Kendall Hinton,1.25,0.56,12.0,2022,173
4.0,3:04,3.0,10.0,DEN 43,10.0,23.0,Russell Wilson pass incomplete deep right intended for Brandon Johnson,0.56,-0.52,12.0,2022,173
4.0,2:59,,,,,,Timeout #1 by Denver Broncos,,,12.0,2022,173
4.0,2:59,4.0,10.0,DEN 43,10.0,23.0,Russell Wilson pass incomplete short left intended for Kendall Hinton,-0.52,-2.72,12.0,2022,173
4.0,2:55,1.0,10.0,DEN 43,10.0,23.0,D'Onta Foreman left guard for 9 yards (tackle by Josey Jewell),2.72,3.39,12.0,2022,173
4.0,2:48,,,,,,Timeout #2 by Denver Broncos,,,12.0,2022,173
4.0,2:48,2.0,1.0,DEN 34,10.0,23.0,D'Onta Foreman left guard for 2 yards (tackle by Matt Henningsen),3.39,3.45,12.0,2022,173
4.0,2:02,1.0,10.0,DEN 32,10.0,23.0,D'Onta Foreman left tackle for 4 yards (tackle by Eyioma Uwazurike),3.45,3.44,12.0,2022,173
4.0,1:58,2.0,6.0,DEN 28,10.0,23.0,Chuba Hubbard left guard for 1 yard (tackle by Dre'Mont Jones and Kareem Jackson),3.44,2.87,12.0,2022,173
4.0,1:54,,,,,,Timeout #3 by Denver Broncos,,,12.0,2022,173
4.0,1:54,3.0,5.0,DEN 27,10.0,23.0,Chuba Hubbard left tackle for 4 yards (tackle by Alex Singleton and Justin Simmons),2.87,2.08,12.0,2022,173
4.0,1:10,4.0,1.0,DEN 23,10.0,23.0,Chuba Hubbard up the middle for 3 yards (tackle by Jonathon Cooper),2.08,4.24,12.0,2022,173
4.0,0:28,1.0,10.0,DEN 20,10.0,23.0,Sam Darnold kneels for -1 yards,4.24,3.56,12.0,2022,173
