Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA,week,year,game_id
1.0,0:25,1.0,10.0,NYG 31,3.0,0.0,Dak Prescott pass complete deep right to CeeDee Lamb for 25 yards (tackle by Nick McCloud),3.51,5.83,12.0,2022,166
2.0,15:00,1.0,6.0,NYG 6,3.0,6.0,"Ezekiel Elliott up the middle for 6 yards, touchdown",5.83,7.0,12.0,2022,166
2.0,14:55,,,NYG 15,3.0,7.0,Brett Maher kicks extra point good,0.0,0.0,12.0,2022,166
2.0,14:55,,,DAL 35,3.0,7.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
2.0,14:55,1.0,10.0,NYG 25,3.0,7.0,Saquon Barkley left guard for 4 yards (tackle by Damone Clark),0.61,0.6,12.0,2022,166
2.0,14:22,2.0,6.0,NYG 29,3.0,7.0,Saquon Barkley up the middle for 4 yards (tackle by Dante Fowler),0.6,0.43,12.0,2022,166
2.0,13:43,3.0,2.0,NYG 33,3.0,7.0,"Saquon Barkley for no gain. Penalty on Carlos Watkins: Defensive Holding, 5 yards (accepted) (no play)",0.43,1.47,12.0,2022,166
2.0,13:19,1.0,10.0,NYG 38,3.0,7.0,"Daniel Jones left tackle for 6 yards. Daniel Jones fumbles (forced by Damone Clark), recovered by Daniel Jones at NYG-44",1.47,1.73,12.0,2022,166
2.0,12:43,2.0,4.0,NYG 44,3.0,7.0,Gary Brightwell left tackle for 1 yard (tackle by Jayron Kearse),1.73,1.16,12.0,2022,166
2.0,12:04,3.0,3.0,NYG 45,3.0,7.0,Daniel Jones pass complete short right to Richie James for 4 yards (tackle by DaRon Bland),1.16,2.19,12.0,2022,166
2.0,11:20,1.0,10.0,NYG 49,3.0,7.0,Saquon Barkley right tackle for 6 yards (tackle by Chauncey Golston and Leighton Vander Esch),2.19,2.46,12.0,2022,166
2.0,10:38,2.0,4.0,DAL 45,3.0,7.0,Daniel Jones pass complete deep right to Darius Slayton for 44 yards (tackle by Anthony Brown),2.46,6.97,12.0,2022,166
2.0,10:08,1.0,1.0,DAL 1,3.0,7.0,Daniel Jones up the middle for no gain (tackle by Leighton Vander Esch),6.97,5.91,12.0,2022,166
2.0,9:30,2.0,1.0,DAL 1,9.0,7.0,"Saquon Barkley up the middle for 1 yard, touchdown",5.91,7.0,12.0,2022,166
2.0,9:28,,,DAL 15,10.0,7.0,Graham Gano kicks extra point good,0.0,0.0,12.0,2022,166
2.0,9:28,,,NYG 35,10.0,7.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
2.0,9:28,1.0,10.0,DAL 25,10.0,7.0,Dak Prescott pass incomplete short right,0.61,0.06,12.0,2022,166
2.0,9:24,2.0,10.0,DAL 25,10.0,7.0,Dak Prescott pass complete short left to Tony Pollard for 2 yards (tackle by Jaylon Smith),0.06,-0.36,12.0,2022,166
2.0,8:45,3.0,8.0,DAL 27,10.0,7.0,Dak Prescott pass incomplete deep middle intended for CeeDee Lamb,-0.36,-1.57,12.0,2022,166
2.0,8:40,4.0,8.0,DAL 27,10.0,7.0,"Bryan Anger punts 51 yards, returned by Richie James for 3 yards (tackle by Nahshon Wright)",-1.57,-0.61,12.0,2022,166
2.0,8:30,1.0,10.0,NYG 25,10.0,7.0,Daniel Jones pass incomplete short right intended for Darius Slayton,0.61,0.06,12.0,2022,166
2.0,8:26,2.0,10.0,NYG 25,10.0,7.0,Saquon Barkley up the middle for 2 yards (tackle by Osa Odighizuwa and Micah Parsons),0.06,-0.36,12.0,2022,166
2.0,7:45,3.0,8.0,NYG 27,10.0,7.0,Daniel Jones pass incomplete short left intended for Lawrence Cager,-0.36,-1.57,12.0,2022,166
2.0,7:40,4.0,8.0,NYG 27,10.0,7.0,"Jamie Gillan punts 48 yards, fair catch by KaVontae Turpin at DAL-25",-1.57,-0.61,12.0,2022,166
2.0,7:31,1.0,10.0,DAL 25,10.0,7.0,Tony Pollard right tackle for 2 yards (tackle by Justin Ellis and Henry Mondeaux),0.61,0.33,12.0,2022,166
2.0,6:50,2.0,8.0,DAL 27,10.0,7.0,Dak Prescott pass complete deep middle to Michael Gallup for 25 yards (tackle by Cordale Flott and Julian Love),0.33,2.39,12.0,2022,166
2.0,6:06,1.0,10.0,NYG 48,10.0,7.0,Tony Pollard right tackle for 3 yards (tackle by Julian Love),2.39,2.25,12.0,2022,166
2.0,5:39,2.0,7.0,NYG 45,10.0,7.0,Dak Prescott pass complete short left to Michael Gallup for 14 yards (tackle by Cordale Flott and Julian Love),2.25,3.51,12.0,2022,166
2.0,4:59,1.0,10.0,NYG 31,10.0,7.0,Tony Pollard up the middle for 1 yard (tackle by Leonard Williams),3.51,3.1,12.0,2022,166
2.0,4:36,2.0,9.0,NYG 30,10.0,7.0,Dak Prescott pass complete short left to Dalton Schultz for 5 yards (tackle by Jason Pinnock),3.1,3.07,12.0,2022,166
2.0,3:52,,,,,,Timeout #1 by Dallas Cowboys,,,12.0,2022,166
2.0,3:52,3.0,4.0,NYG 25,10.0,7.0,"Dak Prescott pass complete short right to CeeDee Lamb for no gain (tackle by Julian Love). Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted) (no play)",3.07,1.68,12.0,2022,166
2.0,3:23,3.0,15.0,NYG 35,10.0,7.0,"Dak Prescott pass complete short right to Noah Brown for no gain (tackle by Cordale Flott). Penalty on Darnay Holmes: Illegal Contact, 5 yards (accepted) (no play)",1.68,3.58,12.0,2022,166
2.0,3:09,1.0,10.0,NYG 30,10.0,7.0,"Penalty on Tyler Smith: False Start, 5 yards (accepted) (no play)",3.58,3.25,12.0,2022,166
2.0,2:57,,,,,,Timeout #1 by New York Giants,,,12.0,2022,166
2.0,2:57,1.0,15.0,NYG 35,10.0,7.0,Ezekiel Elliott right guard for 4 yards (tackle by Jaylon Smith and Oshane Ximines),3.25,2.9,12.0,2022,166
2.0,2:23,2.0,11.0,NYG 31,10.0,7.0,Tony Pollard right end for -4 yards (tackle by Julian Love),2.9,1.68,12.0,2022,166
2.0,2:00,3.0,15.0,NYG 35,10.0,7.0,Dak Prescott pass deep middle (defended by Darnay Holmes) intended for CeeDee Lamb is intercepted by Julian Love at NYG-10 and returned for 17 yards (tackle by CeeDee Lamb),1.68,-0.74,12.0,2022,166
2.0,1:50,1.0,10.0,NYG 27,10.0,7.0,Daniel Jones pass incomplete short right,0.74,0.2,12.0,2022,166
2.0,1:45,2.0,10.0,NYG 27,10.0,7.0,"Daniel Jones pass complete to Saquon Barkley for 3 yards. Penalty on DaRon Bland: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.2,1.07,12.0,2022,166
2.0,1:36,1.0,10.0,NYG 32,10.0,7.0,"Daniel Jones pass short left is intercepted by Donovan Wilson at NYG-47 and returned for no gain (tackle by Matt Breida). Penalty on Trevon Diggs: Illegal Contact, 5 yards (accepted) (no play)",1.07,1.4,12.0,2022,166
2.0,1:25,1.0,10.0,NYG 37,10.0,7.0,Daniel Jones pass complete short left to Darius Slayton for 14 yards (tackle by Anthony Brown),1.4,2.32,12.0,2022,166
2.0,1:03,1.0,10.0,DAL 49,10.0,7.0,Daniel Jones scrambles right end for 8 yards (tackle by DeMarcus Lawrence),2.32,2.86,12.0,2022,166
2.0,0:30,2.0,2.0,DAL 41,10.0,7.0,"Penalty on Jack Anderson: False Start, 5 yards (accepted) (no play)",2.86,2.19,12.0,2022,166
2.0,0:30,,,,,,Timeout #2 by New York Giants,,,12.0,2022,166
2.0,0:30,2.0,7.0,DAL 46,10.0,7.0,Daniel Jones pass complete short middle to Tanner Hudson for 10 yards (tackle by Malik Hooker),2.19,3.18,12.0,2022,166
2.0,0:23,,,,,,Timeout #3 by New York Giants,,,12.0,2022,166
2.0,0:23,1.0,10.0,DAL 36,10.0,7.0,Daniel Jones pass complete short left to Saquon Barkley for 1 yard (tackle by Trevon Diggs),3.18,2.77,12.0,2022,166
2.0,0:20,2.0,9.0,DAL 35,10.0,7.0,Saquon Barkley left tackle for 6 yards (tackle by Leighton Vander Esch),2.77,2.87,12.0,2022,166
2.0,0:04,3.0,3.0,DAL 29,10.0,7.0,Daniel Jones spiked the ball,2.87,1.58,12.0,2022,166
2.0,0:03,,,,,,Timeout #2 by Dallas Cowboys,,,12.0,2022,166
2.0,0:03,4.0,3.0,DAL 29,13.0,7.0,Graham Gano 47 yard field goal good,1.58,3.0,12.0,2022,166
3.0,15:00,,,NYG 35,13.0,7.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
3.0,15:00,1.0,10.0,DAL 25,13.0,7.0,Ezekiel Elliott left guard for 1 yard (tackle by Nick McCloud and Jaylon Smith),0.61,0.2,12.0,2022,166
3.0,14:27,2.0,9.0,DAL 26,13.0,7.0,Dak Prescott scrambles up the middle for 5 yards (tackle by Jaylon Smith),0.2,0.17,12.0,2022,166
3.0,13:48,3.0,4.0,DAL 31,13.0,7.0,Ezekiel Elliott left end for 16 yards (tackle by Jason Pinnock),0.17,2.06,12.0,2022,166
3.0,13:17,1.0,10.0,DAL 47,13.0,7.0,Tony Pollard right end for 13 yards (tackle by Jaylon Smith),2.06,2.92,12.0,2022,166
3.0,12:34,1.0,10.0,NYG 40,13.0,7.0,Tony Pollard left guard for 3 yards (tackle by Dexter Lawrence and Julian Love),2.92,2.78,12.0,2022,166
3.0,12:07,2.0,7.0,NYG 37,13.0,7.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb,2.78,2.08,12.0,2022,166
3.0,12:04,3.0,7.0,NYG 37,13.0,7.0,"Dak Prescott pass incomplete deep middle intended for CeeDee Lamb. Penalty on Darnay Holmes: Defensive Holding, 5 yards (accepted) (no play)",2.08,3.45,12.0,2022,166
3.0,11:59,1.0,10.0,NYG 32,13.0,7.0,Ezekiel Elliott up the middle for 4 yards (tackle by Nick McCloud),3.45,3.44,12.0,2022,166
3.0,11:32,2.0,6.0,NYG 28,13.0,7.0,Tony Pollard right tackle for 6 yards (tackle by Julian Love),3.44,4.11,12.0,2022,166
3.0,10:55,1.0,10.0,NYG 22,13.0,7.0,Tony Pollard right tackle for -1 yards (tackle by Leonard Williams),4.11,3.43,12.0,2022,166
3.0,10:22,2.0,11.0,NYG 23,13.0,7.0,Dak Prescott pass complete short right to Tony Pollard for -1 yards (tackle by Micah McFadden),3.43,2.61,12.0,2022,166
3.0,9:39,3.0,12.0,NYG 24,13.0,7.0,Dak Prescott pass complete short middle to CeeDee Lamb for 14 yards (tackle by Darnay Holmes),2.61,4.91,12.0,2022,166
3.0,9:03,1.0,10.0,NYG 10,13.0,7.0,"Penalty on CeeDee Lamb: False Start, 5 yards (accepted) (no play)",4.91,4.37,12.0,2022,166
3.0,8:47,1.0,15.0,NYG 15,13.0,7.0,Tony Pollard right tackle for no gain (tackle by Leonard Williams),4.37,3.46,12.0,2022,166
3.0,8:20,2.0,15.0,NYG 15,13.0,7.0,Dak Prescott pass complete short middle to Dalton Schultz for 5 yards (tackle by Jaylon Smith),3.46,3.13,12.0,2022,166
3.0,7:41,3.0,10.0,NYG 10,13.0,7.0,"Penalty on Tyler Biadasz: False Start, 5 yards (accepted) (no play)",3.13,2.93,12.0,2022,166
3.0,7:26,3.0,15.0,NYG 15,13.0,13.0,"Dak Prescott pass complete short middle to Dalton Schultz for 15 yards, touchdown",2.93,7.0,12.0,2022,166
3.0,7:21,,,NYG 15,13.0,14.0,Brett Maher kicks extra point good,0.0,0.0,12.0,2022,166
3.0,7:21,,,DAL 35,13.0,14.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
3.0,7:21,1.0,10.0,NYG 25,13.0,14.0,Daniel Jones pass complete short right to Isaiah Hodgins for 9 yards (tackle by Trevon Diggs),0.61,1.28,12.0,2022,166
3.0,6:52,2.0,1.0,NYG 34,13.0,14.0,Saquon Barkley right tackle for 2 yards (tackle by Damone Clark),1.28,1.33,12.0,2022,166
3.0,6:18,1.0,10.0,NYG 36,13.0,14.0,Daniel Jones pass complete short left to Darius Slayton for 5 yards (tackle by DaRon Bland),1.33,1.47,12.0,2022,166
3.0,5:40,2.0,5.0,NYG 41,13.0,14.0,Daniel Jones sacked by Micah Parsons for -1 yards,1.47,0.63,12.0,2022,166
3.0,4:56,3.0,6.0,NYG 40,13.0,14.0,Daniel Jones pass complete short middle to Saquon Barkley for 5 yards (tackle by Leighton Vander Esch),0.63,-0.39,12.0,2022,166
3.0,4:11,4.0,1.0,NYG 45,13.0,14.0,Daniel Jones pass incomplete short right intended for Saquon Barkley,-0.39,-2.65,12.0,2022,166
3.0,4:07,1.0,10.0,NYG 44,13.0,14.0,Dak Prescott pass incomplete deep left intended for Michael Gallup (defended by Rodarius Williams),2.65,2.11,12.0,2022,166
3.0,3:59,2.0,10.0,NYG 44,13.0,14.0,"Dak Prescott aborted snap, recovered by Dak Prescott at NYG-48 and returned for 4 yards Dak Prescott pass complete short middle to Jake Ferguson for 14 yards (tackle by Cordale Flott)",2.11,3.58,12.0,2022,166
3.0,3:28,1.0,10.0,NYG 30,13.0,14.0,Ezekiel Elliott up the middle for 5 yards (tackle by Nick McCloud and Kayvon Thibodeaux),3.58,3.71,12.0,2022,166
3.0,2:57,2.0,5.0,NYG 25,13.0,14.0,"Dak Prescott pass complete to CeeDee Lamb for 21 yards (tackle by Darnay Holmes). Penalty on Darnay Holmes: Defensive Pass Interference, 15 yards (declined)",3.71,6.28,12.0,2022,166
3.0,2:31,,,,,,Timeout #1 by New York Giants,,,12.0,2022,166
3.0,2:31,1.0,4.0,NYG 4,13.0,14.0,"Penalty on Noah Brown: False Start, 5 yards (accepted) (no play)",6.28,5.14,12.0,2022,166
3.0,2:31,1.0,9.0,NYG 9,13.0,14.0,Dak Prescott pass complete short right to Ezekiel Elliott for 3 yards (tackle by Jaylon Smith),5.14,4.95,12.0,2022,166
3.0,2:07,2.0,6.0,NYG 6,13.0,20.0,"Dak Prescott pass complete short right to Dalton Schultz for 6 yards, touchdown",4.95,7.0,12.0,2022,166
3.0,2:02,,,NYG 15,13.0,21.0,Brett Maher kicks extra point good,0.0,0.0,12.0,2022,166
3.0,2:02,,,DAL 35,13.0,21.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
3.0,2:02,1.0,10.0,NYG 25,13.0,21.0,Gary Brightwell left guard for 15 yards (tackle by Trevon Diggs),0.61,1.6,12.0,2022,166
3.0,1:28,1.0,10.0,NYG 40,13.0,21.0,Gary Brightwell right tackle for 11 yards (tackle by Jayron Kearse and Leighton Vander Esch),1.6,2.32,12.0,2022,166
3.0,1:00,1.0,10.0,DAL 49,13.0,21.0,Gary Brightwell left guard for no gain (tackle by Carlos Watkins and Quinton Bohanna),2.32,1.78,12.0,2022,166
3.0,0:24,2.0,10.0,DAL 49,13.0,21.0,Matt Breida left end for 1 yard (tackle by Donovan Wilson),1.78,1.22,12.0,2022,166
4.0,15:00,3.0,9.0,DAL 48,13.0,21.0,Daniel Jones pass incomplete short left intended for Saquon Barkley,1.22,0.07,12.0,2022,166
4.0,14:54,4.0,9.0,DAL 48,13.0,21.0,"Jamie Gillan punts 48 yards, touchback.",0.07,-0.28,12.0,2022,166
4.0,14:44,1.0,10.0,DAL 20,13.0,21.0,CeeDee Lamb right end for -1 yards (tackle by Leonard Williams),0.28,-0.46,12.0,2022,166
4.0,14:11,2.0,11.0,DAL 19,13.0,21.0,Dak Prescott pass complete short left to CeeDee Lamb for 15 yards (tackle by Nick McCloud),-0.46,1.2,12.0,2022,166
4.0,13:28,1.0,10.0,DAL 34,13.0,21.0,Tony Pollard left tackle for 11 yards (tackle by Nick McCloud and Tomon Fox),1.2,1.93,12.0,2022,166
4.0,12:56,1.0,10.0,DAL 45,13.0,21.0,Tony Pollard left tackle for 1 yard (tackle by Oshane Ximines and Micah McFadden),1.93,1.52,12.0,2022,166
4.0,12:19,2.0,9.0,DAL 46,13.0,21.0,Dak Prescott pass complete short right to Jake Ferguson for 30 yards (tackle by Rodarius Williams),1.52,3.97,12.0,2022,166
4.0,11:30,1.0,10.0,NYG 24,13.0,21.0,Ezekiel Elliott left tackle for -3 yards (tackle by Jaylon Smith),3.97,3.03,12.0,2022,166
4.0,10:54,2.0,13.0,NYG 27,13.0,21.0,"Dak Prescott pass complete to CeeDee Lamb for no gain (tackle by Rodarius Williams). Penalty on Dalton Schultz: Offensive Holding, 10 yards (accepted) (no play)",3.03,1.68,12.0,2022,166
4.0,10:31,2.0,23.0,NYG 37,13.0,21.0,Tony Pollard up the middle for 12 yards (tackle by Jason Pinnock and Julian Love),1.68,2.61,12.0,2022,166
4.0,9:47,3.0,11.0,NYG 25,13.0,21.0,Dak Prescott pass complete short middle to CeeDee Lamb for 23 yards (tackle by Jason Pinnock),2.61,6.74,12.0,2022,166
4.0,9:01,1.0,2.0,NYG 2,13.0,21.0,"Dak Prescott pass incomplete intended for CeeDee Lamb DAL challenged the pass completion ruling, and the play was upheld.",6.74,5.72,12.0,2022,166
4.0,8:57,2.0,2.0,NYG 2,13.0,27.0,"Peyton Hendershot left end for 2 yards, touchdown",5.72,7.0,12.0,2022,166
4.0,8:53,,,NYG 15,13.0,28.0,Brett Maher kicks extra point good,0.0,0.0,12.0,2022,166
4.0,8:53,,,DAL 35,13.0,28.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
4.0,8:53,1.0,10.0,NYG 25,13.0,28.0,Daniel Jones pass complete short left to Isaiah Hodgins for 5 yards (tackle by Trevon Diggs),0.61,0.74,12.0,2022,166
4.0,8:20,2.0,5.0,NYG 30,13.0,28.0,Saquon Barkley right end for 10 yards (tackle by Donovan Wilson),0.74,1.6,12.0,2022,166
4.0,7:41,1.0,10.0,NYG 40,13.0,28.0,Saquon Barkley up the middle for -2 yards (tackle by Chauncey Golston and Osa Odighizuwa),1.6,0.78,12.0,2022,166
4.0,7:05,2.0,12.0,NYG 38,13.0,28.0,Daniel Jones pass complete short left to Matt Breida for 9 yards (tackle by Damone Clark),0.78,1.29,12.0,2022,166
4.0,6:28,3.0,3.0,NYG 47,13.0,28.0,Matt Breida right tackle for 5 yards (tackle by Damone Clark),1.29,2.39,12.0,2022,166
4.0,5:56,1.0,10.0,DAL 48,13.0,28.0,Gary Brightwell left tackle for 4 yards (tackle by Leighton Vander Esch and Damone Clark),2.39,2.39,12.0,2022,166
4.0,5:20,2.0,6.0,DAL 44,13.0,28.0,Daniel Jones pass complete short left to Gary Brightwell for 6 yards (tackle by Trevon Diggs),2.39,3.05,12.0,2022,166
4.0,4:47,1.0,10.0,DAL 38,13.0,28.0,Daniel Jones pass incomplete short right intended for Darius Slayton (defended by Anthony Brown),3.05,2.51,12.0,2022,166
4.0,4:43,2.0,10.0,DAL 38,13.0,28.0,Daniel Jones sacked by Micah Parsons for -10 yards,2.51,0.5,12.0,2022,166
4.0,3:59,3.0,20.0,DAL 48,13.0,28.0,"Penalty on Richie James: False Start, 5 yards (accepted) (no play)",0.5,-0.16,12.0,2022,166
4.0,3:59,3.0,25.0,NYG 47,13.0,28.0,Daniel Jones pass complete short middle to Richie James for 16 yards (tackle by Jayron Kearse),-0.16,0.79,12.0,2022,166
4.0,3:17,4.0,9.0,DAL 37,13.0,28.0,Daniel Jones pass incomplete short right intended for Isaiah Hodgins,0.79,-1.47,12.0,2022,166
4.0,3:12,1.0,10.0,DAL 38,13.0,28.0,Ezekiel Elliott left guard for no gain (tackle by Leonard Williams),1.47,0.79,12.0,2022,166
4.0,3:08,,,,,,Timeout #2 by New York Giants,,,12.0,2022,166
4.0,3:08,2.0,11.0,DAL 37,13.0,28.0,Ezekiel Elliott right tackle for 2 yards (tackle by Henry Mondeaux and Dexter Lawrence),0.79,0.37,12.0,2022,166
4.0,3:02,,,,,,Timeout #3 by New York Giants,,,12.0,2022,166
4.0,3:02,3.0,9.0,DAL 39,13.0,28.0,"Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Rodarius Williams: Defensive Pass Interference, 31 yards (accepted) (no play)",0.37,3.58,12.0,2022,166
4.0,2:55,1.0,10.0,NYG 30,13.0,28.0,Ezekiel Elliott left tackle for 1 yard (tackle by Leonard Williams and Dexter Lawrence),3.58,3.17,12.0,2022,166
4.0,2:13,2.0,9.0,NYG 29,13.0,28.0,Tony Pollard right end for -4 yards (tackle by Micah McFadden),3.17,1.95,12.0,2022,166
4.0,2:00,3.0,13.0,NYG 33,13.0,28.0,Ezekiel Elliott up the middle for 5 yards (tackle by Henry Mondeaux),1.95,1.67,12.0,2022,166
4.0,1:17,4.0,7.0,NYG 27,13.0,28.0,Brett Maher 46 yard field goal no good,1.67,-1.33,12.0,2022,166
4.0,1:13,1.0,10.0,NYG 36,13.0,28.0,Daniel Jones pass complete short middle to Richie James for 9 yards (tackle by DaRon Bland),1.33,2.01,12.0,2022,166
4.0,1:01,2.0,1.0,NYG 45,13.0,28.0,Daniel Jones spiked the ball,2.01,1.29,12.0,2022,166
4.0,1:00,3.0,1.0,NYG 45,13.0,28.0,Daniel Jones pass complete deep left to Isaiah Hodgins for 17 yards (tackle by Trevon Diggs and Jayron Kearse),1.29,3.05,12.0,2022,166
4.0,0:46,1.0,10.0,DAL 38,13.0,28.0,Daniel Jones spiked the ball,3.05,2.51,12.0,2022,166
