Quarter,Time,Down,ToGo,Location,LAR,KAN,Detail,EPB,EPA,week,year,game_id
1.0,8:54,1.0,10.0,KAN 31,0.0,0.0,Patrick Mahomes scrambles left end for 6 yards (tackle by Jalen Ramsey),1.0,1.27,12.0,2022,177
1.0,8:18,2.0,4.0,KAN 37,0.0,0.0,Patrick Mahomes pass complete short middle to Travis Kelce for 9 yards (tackle by Taylor Rapp),1.27,1.99,12.0,2022,177
1.0,7:36,1.0,10.0,KAN 46,0.0,0.0,Patrick Mahomes scrambles right end for 10 yards (tackle by Ernest Jones and Taylor Rapp),1.99,2.65,12.0,2022,177
1.0,7:01,1.0,10.0,LAR 44,0.0,0.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 11 yards (tackle by Greg Gaines and Taylor Rapp),2.65,3.38,12.0,2022,177
1.0,6:20,1.0,10.0,LAR 33,0.0,0.0,"Patrick Mahomes pass complete short left to Skyy Moore for 4 yards (tackle by Bobby Wagner). Penalty on Justin Watson: Offensive Holding, 10 yards (accepted)",3.38,2.98,12.0,2022,177
1.0,6:00,1.0,16.0,LAR 39,0.0,0.0,Patrick Mahomes pass incomplete deep left,2.98,2.03,12.0,2022,177
1.0,5:51,2.0,16.0,LAR 39,0.0,6.0,"Patrick Mahomes pass complete deep left to Travis Kelce for 39 yards, touchdown",2.03,7.0,12.0,2022,177
1.0,5:40,,,LAR 15,0.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,12.0,2022,177
1.0,5:40,,,KAN 35,0.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,177
1.0,5:40,1.0,10.0,LAR 25,0.0,7.0,Cam Akers right end for 15 yards (tackle by Justin Reid),0.61,1.6,12.0,2022,177
1.0,4:58,1.0,10.0,LAR 40,0.0,7.0,Cam Akers left guard for 4 yards (tackle by Michael Danna and Taylor Stallworth),1.6,1.59,12.0,2022,177
1.0,4:14,2.0,6.0,LAR 44,0.0,7.0,Bryce Perkins pass complete short right to Brandon Powell for 1 yard (tackle by Joshua Williams),1.59,1.03,12.0,2022,177
1.0,3:32,,,,,,Timeout #1 by Los Angeles Rams,,,12.0,2022,177
1.0,3:32,3.0,5.0,LAR 45,0.0,7.0,Bryce Perkins scrambles left end for 13 yards (tackle by Nick Bolton),1.03,2.79,12.0,2022,177
1.0,2:50,1.0,10.0,KAN 42,0.0,7.0,Kyren Williams left guard for 2 yards (tackle by Khalen Saunders and Carlos Dunlap),2.79,2.51,12.0,2022,177
1.0,2:06,2.0,8.0,KAN 40,0.0,7.0,Bryce Perkins pass complete short left to Kyren Williams for 15 yards (tackle by Willie Gay),2.51,3.91,12.0,2022,177
1.0,1:20,1.0,10.0,KAN 25,0.0,7.0,Kyren Williams left end for -1 yards (tackle by Willie Gay and Frank Clark),3.91,3.23,12.0,2022,177
1.0,0:35,2.0,11.0,KAN 26,0.0,7.0,Bryce Perkins pass incomplete deep left intended for Lance McCutcheon,3.23,2.54,12.0,2022,177
1.0,0:30,3.0,11.0,KAN 26,0.0,7.0,Kyren Williams right end for -3 yards (tackle by L'Jarius Sneed),2.54,1.5,12.0,2022,177
2.0,15:00,4.0,14.0,KAN 29,3.0,7.0,Matt Gay 47 yard field goal good,1.5,3.0,12.0,2022,177
2.0,14:57,,,LAR 35,3.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,177
2.0,14:57,1.0,10.0,KAN 25,3.0,7.0,Isiah Pacheco left end for 9 yards (tackle by Nick Scott and Troy Hill),0.61,1.28,12.0,2022,177
2.0,14:21,2.0,1.0,KAN 34,3.0,7.0,Patrick Mahomes pass complete short middle to Skyy Moore for 2 yards (tackle by Michael Hoecht and Jalen Ramsey),1.28,1.33,12.0,2022,177
2.0,13:41,1.0,10.0,KAN 36,3.0,7.0,Patrick Mahomes pass complete short middle to Justin Watson for 14 yards (tackle by Ernest Jones),1.33,2.26,12.0,2022,177
2.0,12:58,1.0,10.0,KAN 50,3.0,7.0,"Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Derion Kendrick: Defensive Holding, 5 yards (accepted) (no play)",2.26,2.59,12.0,2022,177
2.0,12:53,,,,,,Timeout #1 by Kansas City Chiefs,,,12.0,2022,177
2.0,12:53,1.0,10.0,LAR 45,3.0,7.0,Isiah Pacheco up the middle for 3 yards (tackle by Jonah Williams and Troy Hill),2.59,2.45,12.0,2022,177
2.0,12:19,2.0,7.0,LAR 42,3.0,7.0,Patrick Mahomes pass complete short left to Ronald Jones for 22 yards (tackle by Taylor Rapp and Jalen Ramsey),2.45,4.24,12.0,2022,177
2.0,11:45,1.0,10.0,LAR 20,3.0,7.0,Ronald Jones up the middle for 3 yards (tackle by Jonah Williams),4.24,4.12,12.0,2022,177
2.0,11:06,2.0,7.0,LAR 17,3.0,7.0,Patrick Mahomes pass incomplete deep right,4.12,3.36,12.0,2022,177
2.0,10:56,3.0,7.0,LAR 17,3.0,7.0,Patrick Mahomes scrambles right end for 13 yards (tackle by Nick Scott),3.36,6.28,12.0,2022,177
2.0,10:13,1.0,4.0,LAR 4,3.0,7.0,"Patrick Mahomes pass complete short right to Noah Gray for no gain, touchdown. Penalty on Trey Smith: Ineligible Downfield Pass, 5 yards (accepted) (no play)",6.28,5.14,12.0,2022,177
2.0,10:08,1.0,9.0,LAR 9,3.0,7.0,Patrick Mahomes pass incomplete short right intended for Jody Fortson,5.14,4.38,12.0,2022,177
2.0,10:02,2.0,9.0,LAR 9,3.0,7.0,Patrick Mahomes pass incomplete short right,4.38,3.36,12.0,2022,177
2.0,9:59,3.0,9.0,LAR 9,3.0,7.0,Patrick Mahomes pass incomplete short right intended for Jerick McKinnon,3.36,2.83,12.0,2022,177
2.0,9:53,4.0,9.0,LAR 9,3.0,10.0,Harrison Butker 27 yard field goal good,2.83,3.0,12.0,2022,177
2.0,9:50,,,KAN 35,3.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,177
2.0,9:50,1.0,10.0,LAR 25,3.0,10.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",0.61,0.28,12.0,2022,177
2.0,9:50,1.0,15.0,LAR 20,3.0,10.0,Cam Akers left end for 1 yard (tackle by Michael Danna and Derrick Nnadi),0.28,-0.48,12.0,2022,177
2.0,9:07,,,,,,Timeout #2 by Los Angeles Rams,,,12.0,2022,177
2.0,9:07,2.0,14.0,LAR 21,3.0,10.0,Bryce Perkins left end for 5 yards (tackle by Michael Danna),-0.48,-0.49,12.0,2022,177
2.0,8:30,3.0,9.0,LAR 26,3.0,10.0,Bryce Perkins scrambles right end for 10 yards (tackle by L'Jarius Sneed),-0.49,1.33,12.0,2022,177
2.0,7:51,1.0,10.0,LAR 36,3.0,10.0,Kyren Williams left guard for -1 yards (tackle by Nick Bolton),1.33,0.66,12.0,2022,177
2.0,7:13,2.0,11.0,LAR 35,3.0,10.0,Kyren Williams up the middle for 5 yards (tackle by L'Jarius Sneed and Darius Harris),0.66,0.63,12.0,2022,177
2.0,6:43,3.0,6.0,LAR 40,3.0,10.0,Bryce Perkins left end for 1 yard (tackle by Nick Bolton),0.63,-0.65,12.0,2022,177
2.0,6:01,4.0,5.0,LAR 41,3.0,10.0,Riley Dixon pass complete short right to Jacob Harris for 6 yards (tackle by Trent McDuffie),-0.65,2.06,12.0,2022,177
2.0,5:13,,,,,,Timeout #3 by Los Angeles Rams,,,12.0,2022,177
2.0,5:13,1.0,10.0,LAR 47,3.0,10.0,Bryce Perkins sacked by Chris Jones for -9 yards,2.06,0.3,12.0,2022,177
2.0,4:36,2.0,19.0,LAR 38,3.0,10.0,Cam Akers left guard for 8 yards (tackle by Frank Clark and Nick Bolton),0.3,0.7,12.0,2022,177
2.0,3:58,3.0,11.0,LAR 46,3.0,10.0,Bryce Perkins left end for 2 yards (tackle by Michael Danna and Willie Gay),0.7,-0.19,12.0,2022,177
2.0,3:22,4.0,9.0,LAR 48,3.0,10.0,Riley Dixon punts 48 yards out of bounds,-0.19,0.38,12.0,2022,177
2.0,3:16,1.0,10.0,KAN 4,3.0,10.0,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 21 yards,-0.38,0.61,12.0,2022,177
2.0,2:52,1.0,10.0,KAN 25,3.0,10.0,Isiah Pacheco right end for 6 yards (tackle by Ernest Jones),0.61,0.87,12.0,2022,177
2.0,2:18,2.0,4.0,KAN 31,3.0,10.0,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 8 yards (tackle by David Long),0.87,1.53,12.0,2022,177
2.0,2:00,1.0,10.0,KAN 39,3.0,10.0,Patrick Mahomes pass incomplete deep middle intended for Skyy Moore,1.53,0.99,12.0,2022,177
2.0,1:54,2.0,10.0,KAN 39,3.0,10.0,Patrick Mahomes pass complete short right to Justin Watson for 12 yards (tackle by Taylor Rapp),0.99,2.32,12.0,2022,177
2.0,1:38,1.0,10.0,LAR 49,3.0,10.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,2.32,1.78,12.0,2022,177
2.0,1:32,2.0,10.0,LAR 49,3.0,10.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 7 yards (tackle by Taylor Rapp),1.78,2.02,12.0,2022,177
2.0,1:06,3.0,3.0,LAR 42,3.0,10.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 9 yards (tackle by Derion Kendrick),2.02,3.38,12.0,2022,177
2.0,1:00,,,,,,Timeout #2 by Kansas City Chiefs,,,12.0,2022,177
2.0,1:00,1.0,10.0,LAR 33,3.0,10.0,"Patrick Mahomes pass incomplete deep right intended for Justin Watson. Penalty on Orlando Brown: Offensive Holding, 10 yards (accepted) (no play)",3.38,2.72,12.0,2022,177
2.0,0:53,1.0,20.0,LAR 43,3.0,10.0,Patrick Mahomes pass complete short left to Jody Fortson for 21 yards (tackle by Ernest Jones and Troy Hill),2.72,4.11,12.0,2022,177
2.0,0:33,1.0,10.0,LAR 22,3.0,10.0,Patrick Mahomes pass complete short right to Noah Gray for 9 yards (tackle by Troy Hill),4.11,5.06,12.0,2022,177
2.0,0:26,,,,,,Timeout #3 by Kansas City Chiefs,,,12.0,2022,177
2.0,0:26,2.0,1.0,LAR 13,3.0,10.0,Patrick Mahomes pass incomplete short right,5.06,4.39,12.0,2022,177
2.0,0:22,3.0,1.0,LAR 13,3.0,10.0,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,4.39,2.72,12.0,2022,177
2.0,0:19,4.0,1.0,LAR 13,3.0,13.0,Harrison Butker 32 yard field goal good,2.72,3.0,12.0,2022,177
2.0,0:16,,,KAN 35,3.0,13.0,"Harrison Butker kicks off 70 yards, returned by Brandon Powell for 28 yards (tackle by Jack Cochrane)",0.0,0.48,12.0,2022,177
2.0,0:10,1.0,10.0,LAR 23,3.0,13.0,Bryce Perkins kneels for -1 yards,0.48,-0.2,12.0,2022,177
3.0,15:00,,,KAN 35,3.0,13.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,177
3.0,15:00,1.0,10.0,LAR 25,3.0,13.0,Cam Akers left end for 3 yards (tackle by Nick Bolton),0.61,0.47,12.0,2022,177
3.0,14:20,2.0,7.0,LAR 28,3.0,13.0,Bryce Perkins pass incomplete short right intended for Ben Skowronek,0.47,-0.23,12.0,2022,177
3.0,14:17,3.0,7.0,LAR 28,3.0,13.0,Bryce Perkins sacked by Bryan Cook for -5 yards,-0.23,-1.83,12.0,2022,177
3.0,13:31,4.0,12.0,LAR 23,3.0,13.0,Riley Dixon punts 48 yards out of bounds,-1.83,-0.87,12.0,2022,177
3.0,13:24,1.0,10.0,KAN 29,3.0,13.0,Isiah Pacheco up the middle for 1 yard (tackle by Troy Hill),0.87,0.46,12.0,2022,177
3.0,12:46,2.0,9.0,KAN 30,3.0,13.0,Patrick Mahomes pass complete short right to Skyy Moore for 10 yards (tackle by Michael Hoecht),0.46,1.6,12.0,2022,177
3.0,12:09,1.0,10.0,KAN 40,3.0,13.0,Patrick Mahomes pass complete short right to Jody Fortson for 5 yards (tackle by Taylor Rapp),1.6,1.73,12.0,2022,177
3.0,11:36,2.0,5.0,KAN 45,3.0,13.0,Isiah Pacheco right end for 2 yards (tackle by Jalen Ramsey and Bobby Wagner),1.73,1.29,12.0,2022,177
3.0,10:57,3.0,3.0,KAN 47,3.0,13.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 8 yards (tackle by Leonard Floyd),1.29,2.59,12.0,2022,177
3.0,10:13,1.0,10.0,LAR 45,3.0,13.0,Patrick Mahomes pass complete short right to Noah Gray for 7 yards (tackle by Ernest Jones),2.59,2.99,12.0,2022,177
3.0,9:30,2.0,3.0,LAR 38,3.0,13.0,Ronald Jones right end for 5 yards (tackle by Marquise Copeland),2.99,3.38,12.0,2022,177
3.0,8:56,1.0,10.0,LAR 33,3.0,13.0,Ronald Jones right end for 3 yards (tackle by Jalen Ramsey and Ernest Jones),3.38,3.24,12.0,2022,177
3.0,8:19,2.0,7.0,LAR 30,3.0,13.0,Patrick Mahomes pass complete short middle to Isiah Pacheco for 17 yards (tackle by Ernest Jones and Nick Scott),3.24,4.71,12.0,2022,177
3.0,7:41,1.0,10.0,LAR 13,3.0,13.0,Isiah Pacheco up the middle for 3 yards (tackle by Aaron Donald),4.71,4.58,12.0,2022,177
3.0,7:06,2.0,7.0,LAR 10,3.0,13.0,Patrick Mahomes scrambles left end for 7 yards (tackle by Michael Hoecht and Troy Hill),4.58,6.51,12.0,2022,177
3.0,6:36,1.0,3.0,LAR 3,3.0,19.0,"Isiah Pacheco up the middle for 3 yards, touchdown",6.51,7.0,12.0,2022,177
3.0,6:32,,,LAR 15,3.0,20.0,Harrison Butker kicks extra point good,0.0,0.0,12.0,2022,177
3.0,6:32,,,KAN 35,3.0,20.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,177
3.0,6:32,1.0,10.0,LAR 25,3.0,20.0,Bryce Perkins pass complete deep right to Van Jefferson for 16 yards (tackle by Nick Bolton),0.61,1.66,12.0,2022,177
3.0,6:04,1.0,10.0,LAR 41,3.0,20.0,Bryce Perkins pass complete short left to Ben Skowronek for no gain (tackle by L'Jarius Sneed),1.66,1.12,12.0,2022,177
3.0,5:29,2.0,10.0,LAR 41,3.0,20.0,Kyren Williams up the middle for 9 yards (tackle by Bryan Cook),1.12,1.62,12.0,2022,177
3.0,4:58,3.0,1.0,LAR 50,3.0,20.0,Bryce Perkins up the middle for 2 yards (tackle by Frank Clark),1.62,2.39,12.0,2022,177
3.0,4:32,1.0,10.0,KAN 48,3.0,20.0,Bryce Perkins pass complete short middle to Kyren Williams for 6 yards (tackle by Willie Gay and L'Jarius Sneed),2.39,2.66,12.0,2022,177
3.0,3:59,2.0,4.0,KAN 42,3.0,20.0,Kyren Williams right end for 2 yards (tackle by Frank Clark),2.66,2.21,12.0,2022,177
3.0,3:12,3.0,2.0,KAN 40,3.0,20.0,Bryce Perkins pass incomplete short left intended for Ben Skowronek (defended by L'Jarius Sneed),2.21,0.59,12.0,2022,177
3.0,3:08,4.0,2.0,KAN 40,3.0,20.0,Bryce Perkins pass complete short left to Tutu Atwell for 8 yards,0.59,3.45,12.0,2022,177
3.0,2:32,1.0,10.0,KAN 32,3.0,20.0,Kyren Williams right tackle for 2 yards (tackle by Carlos Dunlap and Khalen Saunders),3.45,3.17,12.0,2022,177
3.0,1:52,2.0,8.0,KAN 30,3.0,20.0,Bryce Perkins pass complete short right to Tutu Atwell for 15 yards,3.17,4.58,12.0,2022,177
3.0,1:15,1.0,10.0,KAN 15,3.0,20.0,Bryce Perkins pass incomplete short left intended for Lance McCutcheon (defended by Trent McDuffie),4.58,3.95,12.0,2022,177
3.0,1:09,2.0,10.0,KAN 15,3.0,20.0,Cam Akers right end for 2 yards (tackle by Justin Reid),3.95,3.4,12.0,2022,177
3.0,0:43,3.0,8.0,KAN 13,3.0,20.0,Bryce Perkins pass complete short right to Van Jefferson for 6 yards (tackle by Willie Gay),3.4,3.0,12.0,2022,177
4.0,15:00,4.0,2.0,KAN 7,9.0,20.0,"Bryce Perkins pass complete short middle to Van Jefferson for 7 yards, touchdown",3.0,7.0,12.0,2022,177
4.0,14:56,,,KAN 15,10.0,20.0,Matt Gay kicks extra point good,0.0,0.0,12.0,2022,177
4.0,14:56,,,LAR 35,10.0,20.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,177
4.0,14:56,1.0,10.0,KAN 25,10.0,20.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 14 yards (tackle by Derion Kendrick),0.61,1.53,12.0,2022,177
4.0,14:28,1.0,10.0,KAN 39,10.0,20.0,Ronald Jones left guard for 1 yard (tackle by Michael Hoecht and Bobby Brown),1.53,1.12,12.0,2022,177
4.0,13:52,2.0,9.0,KAN 40,10.0,20.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 15 yards,1.12,2.59,12.0,2022,177
4.0,13:15,1.0,10.0,LAR 45,10.0,20.0,Patrick Mahomes pass complete deep left to Marquez Valdes-Scantling for 23 yards (tackle by Nick Scott),2.59,4.11,12.0,2022,177
4.0,12:33,1.0,10.0,LAR 22,10.0,20.0,Isiah Pacheco up the middle for 4 yards (tackle by Bobby Wagner and Michael Hoecht),4.11,4.13,12.0,2022,177
4.0,11:53,2.0,6.0,LAR 18,10.0,20.0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Ernest Jones),4.13,4.15,12.0,2022,177
4.0,11:14,3.0,2.0,LAR 14,10.0,20.0,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Taylor Rapp and Ernest Jones),4.15,5.14,12.0,2022,177
4.0,10:36,1.0,9.0,LAR 9,10.0,20.0,Patrick Mahomes pass complete short middle to Skyy Moore for 2 yards (tackle by Taylor Rapp),5.14,4.76,12.0,2022,177
4.0,9:56,2.0,7.0,LAR 7,10.0,20.0,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon,4.76,3.81,12.0,2022,177
4.0,9:51,3.0,7.0,LAR 7,10.0,20.0,"Patrick Mahomes sacked by and Aaron Donald for no gain and Michael Hoecht for no gain. Penalty on Aaron Donald: Face Mask (15 Yards), 3 yards (accepted) (no play)",3.81,6.28,12.0,2022,177
4.0,9:33,1.0,4.0,LAR 4,10.0,20.0,Isiah Pacheco up the middle for no gain (tackle by Bobby Wagner and Greg Gaines),6.28,5.34,12.0,2022,177
4.0,9:02,,,,,,Timeout #1 by Los Angeles Rams,,,12.0,2022,177
4.0,9:02,2.0,4.0,LAR 4,10.0,20.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce (defended by Jalen Ramsey),5.34,4.49,12.0,2022,177
4.0,8:55,3.0,4.0,LAR 4,10.0,20.0,Patrick Mahomes pass short left intended for Travis Kelce is intercepted by Nick Scott in end zone and returned for no gain,4.49,-0.28,12.0,2022,177
4.0,8:50,1.0,10.0,LAR 20,10.0,20.0,Kyren Williams up the middle for 4 yards (tackle by Frank Clark and Nick Bolton),0.28,0.27,12.0,2022,177
4.0,8:19,2.0,6.0,LAR 24,10.0,20.0,Bryce Perkins pass short left intended for Van Jefferson is intercepted by L'Jarius Sneed at LA-35 and returned for 26 yards (tackle by Rob Havenstein),0.27,-5.14,12.0,2022,177
4.0,8:09,1.0,9.0,LAR 9,10.0,20.0,Isiah Pacheco right guard for 4 yards (tackle by Bobby Wagner and Nick Scott),5.14,5.15,12.0,2022,177
4.0,7:27,2.0,5.0,LAR 5,10.0,20.0,Isiah Pacheco up the middle for 1 yard (tackle by Ernest Jones and Greg Gaines),5.15,4.49,12.0,2022,177
4.0,6:46,3.0,4.0,LAR 4,10.0,20.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce (defended by Bobby Wagner),4.49,3.03,12.0,2022,177
4.0,6:39,4.0,4.0,LAR 4,10.0,23.0,Harrison Butker 22 yard field goal good,3.03,3.0,12.0,2022,177
4.0,6:36,,,KAN 35,10.0,23.0,"Harrison Butker kicks off 67 yards, returned by Brandon Powell for 29 yards (tackle by Jody Fortson and Leo Chenal)",0.0,0.74,12.0,2022,177
4.0,6:31,1.0,10.0,LAR 27,10.0,23.0,Kyren Williams up the middle for 7 yards (tackle by Carlos Dunlap),0.74,1.14,12.0,2022,177
4.0,6:12,2.0,3.0,LAR 34,10.0,23.0,Bryce Perkins pass complete short left to Brandon Powell for 5 yards (tackle by Nick Bolton),1.14,1.53,12.0,2022,177
4.0,5:51,1.0,10.0,LAR 39,10.0,23.0,Bryce Perkins scrambles up the middle for 4 yards (tackle by Justin Reid),1.53,1.53,12.0,2022,177
4.0,5:28,2.0,6.0,LAR 43,10.0,23.0,Bryce Perkins pass short right (defended by Carlos Dunlap) intended for Van Jefferson is intercepted by Nick Bolton at LA-42 and returned for 15 yards (tackle by Bryce Perkins and Matt Skura),1.53,-3.78,12.0,2022,177
4.0,5:17,1.0,10.0,LAR 27,10.0,23.0,Isiah Pacheco left end for 8 yards (tackle by Nick Scott),3.78,4.35,12.0,2022,177
4.0,4:35,2.0,2.0,LAR 19,10.0,23.0,Isiah Pacheco up the middle for no gain (tackle by Taylor Rapp),4.35,3.64,12.0,2022,177
4.0,3:53,3.0,2.0,LAR 19,10.0,23.0,Isiah Pacheco left end for 2 yards (tackle by Bobby Wagner and Leonard Floyd),3.64,4.44,12.0,2022,177
4.0,3:07,1.0,10.0,LAR 17,10.0,23.0,Isiah Pacheco left end for 2 yards (tackle by Michael Hoecht),4.44,4.15,12.0,2022,177
4.0,2:27,2.0,8.0,LAR 15,10.0,23.0,"Isiah Pacheco right end for -1 yards (tackle by Troy Hill). Penalty on Ernest Jones: Unnecessary Roughness / Defense, 8 yards (accepted)",4.15,5.37,12.0,2022,177
4.0,2:20,1.0,8.0,LAR 8,10.0,23.0,Isiah Pacheco right end for 3 yards (tackle by Jalen Ramsey),5.37,5.15,12.0,2022,177
4.0,2:00,2.0,5.0,LAR 5,10.0,23.0,Isiah Pacheco right end for 1 yard (tackle by Troy Hill and Jonah Williams),5.15,4.49,12.0,2022,177
4.0,1:54,,,,,,Timeout #2 by Los Angeles Rams,,,12.0,2022,177
4.0,1:54,3.0,4.0,LAR 4,10.0,23.0,Isiah Pacheco up the middle for 1 yard (tackle by Taylor Rapp and Troy Hill),4.49,3.04,12.0,2022,177
4.0,1:47,,,,,,Timeout #3 by Los Angeles Rams,,,12.0,2022,177
4.0,1:47,4.0,3.0,LAR 3,10.0,26.0,Harrison Butker 22 yard field goal good,3.04,3.0,12.0,2022,177
4.0,1:44,,,KAN 35,10.0,26.0,"Harrison Butker kicks off 70 yards, returned by Brandon Powell for 21 yards (tackle by Deon Bush)",0.0,-0.14,12.0,2022,177
4.0,1:40,1.0,10.0,LAR 16,10.0,26.0,Bryce Perkins pass complete short left to Ben Skowronek for 5 yards (tackle by L'Jarius Sneed),-0.14,0.15,12.0,2022,177
4.0,1:19,2.0,5.0,LAR 21,10.0,26.0,Bryce Perkins pass incomplete short left intended for Lance McCutcheon (defended by Frank Clark),0.15,-0.7,12.0,2022,177
4.0,1:14,3.0,5.0,LAR 21,10.0,26.0,Kyren Williams up the middle for 9 yards (tackle by Trent McDuffie),-0.7,0.94,12.0,2022,177
4.0,0:52,1.0,10.0,LAR 30,10.0,26.0,Bryce Perkins pass incomplete short right intended for Brycen Hopkins,0.94,0.39,12.0,2022,177
4.0,0:47,2.0,10.0,LAR 30,10.0,26.0,Bryce Perkins pass complete short right to Kyren Williams for 4 yards (tackle by L'Jarius Sneed),0.39,0.23,12.0,2022,177
4.0,0:21,3.0,6.0,LAR 34,10.0,26.0,Bryce Perkins pass complete short right to Brycen Hopkins for 12 yards (tackle by Joshua Williams and Nick Bolton),0.23,1.99,12.0,2022,177
