Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA,week,year,game_id
3.0,14:07,2.0,8.0,PIT 17,16.0,3.0,Jonathan Taylor up the middle for 7 yards (tackle by Devin Bush and Alex Highsmith),4.03,4.69,12.0,2022,180
3.0,13:43,3.0,1.0,PIT 10,16.0,3.0,Matt Ryan pass complete short left to Parris Campbell for 8 yards (tackle by Cameron Sutton),4.69,6.74,12.0,2022,180
3.0,13:08,1.0,2.0,PIT 2,16.0,9.0,"Jonathan Taylor up the middle for 2 yards, touchdown",6.74,7.0,12.0,2022,180
3.0,13:04,,,PIT 15,16.0,10.0,Chase McLaughlin kicks extra point good,0.0,0.0,12.0,2022,180
3.0,13:04,,,IND 35,16.0,10.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,180
3.0,13:04,1.0,10.0,PIT 25,16.0,10.0,Kenny Pickett pass incomplete short left intended for Diontae Johnson,0.61,0.06,12.0,2022,180
3.0,13:00,2.0,10.0,PIT 25,16.0,10.0,Anthony McFarland up the middle for 9 yards (tackle by Rodney Thomas and Rodney McLeod),0.06,0.56,12.0,2022,180
3.0,12:38,3.0,1.0,PIT 34,16.0,10.0,Anthony McFarland up the middle for no gain (tackle by Zaire Franklin and Dayo Odeyingbo),0.56,-1.11,12.0,2022,180
3.0,12:03,4.0,1.0,PIT 34,16.0,10.0,Pressley Harvin punts 54 yards out of bounds,-1.11,0.35,12.0,2022,180
3.0,11:55,1.0,10.0,IND 12,16.0,10.0,Jonathan Taylor up the middle for 4 yards (tackle by Larry Ogunjobi),-0.35,-0.37,12.0,2022,180
3.0,11:20,2.0,6.0,IND 16,16.0,10.0,Matt Ryan pass complete short right to Jelani Woods for 8 yards (tackle by Minkah Fitzpatrick and Arthur Maulet),-0.37,0.54,12.0,2022,180
3.0,10:55,1.0,10.0,IND 24,16.0,10.0,Jonathan Taylor up the middle for 5 yards (tackle by Myles Jack and Larry Ogunjobi),0.54,0.67,12.0,2022,180
3.0,10:28,2.0,5.0,IND 29,16.0,10.0,Matt Ryan pass complete short left to Jelani Woods for 14 yards (tackle by Myles Jack),0.67,1.8,12.0,2022,180
3.0,10:00,1.0,10.0,IND 43,16.0,10.0,Jonathan Taylor up the middle for 13 yards (tackle by Minkah Fitzpatrick),1.8,2.65,12.0,2022,180
3.0,9:31,1.0,10.0,PIT 44,16.0,10.0,Jonathan Taylor right tackle for 3 yards (tackle by Malik Reed and Minkah Fitzpatrick),2.65,2.52,12.0,2022,180
3.0,9:01,2.0,7.0,PIT 41,16.0,10.0,Matt Ryan pass complete short right to Parris Campbell for 6 yards (tackle by Minkah Fitzpatrick and Myles Jack),2.52,2.61,12.0,2022,180
3.0,8:32,3.0,1.0,PIT 35,16.0,10.0,Jonathan Taylor up the middle for no gain (tackle by Terrell Edmunds),2.61,1.0,12.0,2022,180
3.0,7:42,4.0,1.0,PIT 35,16.0,10.0,Matt Ryan up the middle for 2 yards (tackle by Myles Jack),1.0,3.38,12.0,2022,180
3.0,7:06,1.0,10.0,PIT 33,16.0,10.0,"Matt Ryan pass complete short right to Mo Alie-Cox for 11 yards (tackle by Myles Jack). Penalty on Myles Jack: Defensive Holding, 5 yards (declined)",3.38,4.11,12.0,2022,180
3.0,6:55,1.0,10.0,PIT 22,16.0,10.0,Matt Ryan pass complete short left to Mo Alie-Cox for 3 yards (tackle by Devin Bush and Alex Highsmith),4.11,3.97,12.0,2022,180
3.0,6:16,2.0,7.0,PIT 19,16.0,10.0,Matt Ryan pass incomplete short right intended for Michael Pittman (defended by Devin Bush),3.97,3.26,12.0,2022,180
3.0,6:13,3.0,7.0,PIT 19,16.0,10.0,Matt Ryan pass complete short middle to Jelani Woods for 6 yards (tackle by T.J. Watt and Devin Bush),3.26,2.72,12.0,2022,180
3.0,5:20,4.0,1.0,PIT 13,16.0,10.0,"Penalty on Cameron Sutton: Defensive Offside, 4 yards (accepted) (no play)",2.72,5.14,12.0,2022,180
3.0,5:20,1.0,9.0,PIT 9,16.0,10.0,Jonathan Taylor up the middle for 3 yards (tackle by Malik Reed and Devin Bush),5.14,4.95,12.0,2022,180
3.0,4:43,2.0,6.0,PIT 6,16.0,10.0,Matt Ryan pass incomplete short middle,4.95,4.04,12.0,2022,180
3.0,4:39,3.0,6.0,PIT 6,16.0,10.0,"Matt Ryan pass incomplete short right intended for Jelani Woods. Penalty on Minkah Fitzpatrick: Defensive Pass Interference, 5 yards (accepted) (no play)",4.04,6.97,12.0,2022,180
3.0,4:35,1.0,1.0,PIT 1,16.0,10.0,"Matt Ryan aborted snap, recovered by Chris Wormley at PIT-7",6.97,0.38,12.0,2022,180
3.0,4:29,1.0,10.0,PIT 7,16.0,10.0,Benny Snell left end for 8 yards (tackle by Kenny Moore and Bobby Okereke),-0.38,-0.14,12.0,2022,180
3.0,3:49,2.0,2.0,PIT 15,16.0,10.0,Benny Snell up the middle for no gain (tackle by Zaire Franklin),-0.14,-0.48,12.0,2022,180
3.0,3:08,3.0,2.0,PIT 15,16.0,10.0,Kenny Pickett pass incomplete short middle intended for George Pickens,-0.48,-2.44,12.0,2022,180
3.0,3:03,4.0,2.0,PIT 15,16.0,10.0,"Pressley Harvin punts 40 yards, fair catch by Dallis Flowers at IND-45",-2.44,-1.93,12.0,2022,180
3.0,2:57,1.0,10.0,IND 45,16.0,10.0,Matt Ryan pass complete short right to Jelani Woods for 16 yards. Jelani Woods fumbles (forced by T.J. Watt),1.93,2.98,12.0,2022,180
3.0,2:32,1.0,10.0,PIT 39,16.0,10.0,Jonathan Taylor up the middle for 4 yards (tackle by Chris Wormley and Montravius Adams),2.98,2.72,12.0,2022,180
3.0,2:11,2.0,6.0,PIT 39,16.0,10.0,Matt Ryan pass complete short left to Jelani Woods for no gain (tackle by Alex Highsmith),2.72,2.28,12.0,2022,180
3.0,1:27,3.0,6.0,PIT 35,16.0,10.0,Matt Ryan pass complete short middle to Jelani Woods for 28 yards (tackle by Devin Bush and Levi Wallace),2.28,5.6,12.0,2022,180
3.0,0:56,1.0,7.0,PIT 7,16.0,10.0,Jonathan Taylor right guard for 1 yard (tackle by Chris Wormley and Malik Reed),5.6,4.95,12.0,2022,180
3.0,0:20,2.0,6.0,PIT 6,16.0,16.0,"Matt Ryan pass complete short left to Michael Pittman for 6 yards, touchdown",4.95,7.0,12.0,2022,180
3.0,0:16,,,PIT 15,16.0,17.0,Chase McLaughlin kicks extra point good,0.0,0.0,12.0,2022,180
3.0,0:16,,,IND 35,16.0,17.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,180
3.0,0:16,1.0,10.0,PIT 25,16.0,17.0,Kenny Pickett pass incomplete short right intended for George Pickens,0.61,0.06,12.0,2022,180
3.0,0:10,2.0,10.0,PIT 25,16.0,17.0,Benny Snell right guard for 1 yard (tackle by Bobby Okereke and Eric Johnson),0.06,-0.49,12.0,2022,180
4.0,14:45,3.0,9.0,PIT 26,16.0,17.0,"Kenny Pickett pass complete short middle to George Pickens for 13 yards (tackle by Brandon Facyson). Penalty on E.J. Speed: Roughing the Passer, 15 yards (accepted)",-0.49,2.52,12.0,2022,180
4.0,14:27,1.0,10.0,IND 46,16.0,17.0,Gunner Olszewski right end for 9 yards (tackle by Bobby Okereke and Zaire Franklin),2.52,3.19,12.0,2022,180
4.0,13:51,2.0,1.0,IND 37,16.0,17.0,Benny Snell left tackle for 13 yards (tackle by Julian Blackmon),3.19,3.97,12.0,2022,180
4.0,13:07,1.0,10.0,IND 24,16.0,17.0,Kenny Pickett pass complete short left to Zach Gentry for -4 yards (tackle by Zaire Franklin and Kenny Moore),3.97,2.89,12.0,2022,180
4.0,12:21,2.0,14.0,IND 28,16.0,17.0,Kenny Pickett pass complete short middle to Diontae Johnson for 8 yards (tackle by Kenny Moore),2.89,3.27,12.0,2022,180
4.0,11:36,3.0,6.0,IND 20,16.0,17.0,Kenny Pickett pass complete short left to Pat Freiermuth for 17 yards (tackle by Kenny Moore),3.27,6.51,12.0,2022,180
4.0,10:46,1.0,3.0,IND 3,16.0,17.0,Kenny Pickett pass complete short middle to Derek Watt for 1 yard (tackle by DeForest Buckner),6.51,5.72,12.0,2022,180
4.0,10:03,2.0,2.0,IND 2,16.0,17.0,Kenny Pickett pass incomplete short left intended for Diontae Johnson (defended by Brandon Facyson),5.72,4.95,12.0,2022,180
4.0,9:58,3.0,2.0,IND 2,22.0,17.0,"Benny Snell left end for 2 yards, touchdown",4.95,7.0,12.0,2022,180
4.0,9:55,,,IND 2,24.0,17.0,Two Point Attempt: Kenny Pickett pass complete to to George Pickens for no gain,1.0,1.0,12.0,2022,180
4.0,9:55,,,PIT 35,24.0,17.0,"Matthew Wright kicks off 69 yards, returned by Dallis Flowers for 29 yards (tackle by Arthur Maulet)",0.0,0.61,12.0,2022,180
4.0,9:50,1.0,10.0,IND 25,24.0,17.0,Matt Ryan pass complete short left to Jonathan Taylor for 1 yard (tackle by Arthur Maulet),0.61,0.2,12.0,2022,180
4.0,9:24,2.0,9.0,IND 26,24.0,17.0,Matt Ryan sacked by Arthur Maulet for -5 yards,0.2,-1.15,12.0,2022,180
4.0,8:40,3.0,14.0,IND 21,24.0,17.0,Matt Ryan pass complete short middle to Michael Pittman for 4 yards (tackle by Minkah Fitzpatrick),-1.15,-1.7,12.0,2022,180
4.0,7:58,4.0,10.0,IND 25,24.0,17.0,"Matt Haack punts 49 yards, returned by Steven Sims for 1 yard (tackle by Ashton Dulin)",-1.7,-0.74,12.0,2022,180
4.0,7:50,1.0,10.0,PIT 27,24.0,17.0,Benny Snell up the middle for 8 yards (tackle by Rodney McLeod and Zaire Franklin),0.74,1.28,12.0,2022,180
4.0,7:13,2.0,2.0,PIT 35,24.0,17.0,Benny Snell right tackle for 1 yard (tackle by Zaire Franklin and Julian Blackmon),1.28,0.7,12.0,2022,180
4.0,6:30,3.0,1.0,PIT 36,24.0,17.0,Derek Watt up the middle for 4 yards (tackle by Dayo Odeyingbo and E.J. Speed),0.7,1.6,12.0,2022,180
4.0,5:51,1.0,10.0,PIT 40,24.0,17.0,Benny Snell right tackle for 3 yards (tackle by Dayo Odeyingbo),1.6,1.46,12.0,2022,180
4.0,5:14,2.0,7.0,PIT 43,24.0,17.0,"Kenny Pickett sacked by Tony Brown for -6 yards. Penalty on James Daniels: Offensive Holding, 10 yards (declined)",1.46,-0.03,12.0,2022,180
4.0,4:53,3.0,13.0,PIT 37,24.0,17.0,Kenny Pickett pass complete short right to Benny Snell for 6 yards (tackle by DeForest Buckner),-0.03,-0.52,12.0,2022,180
