Quarter,Time,Down,ToGo,Location,NOR,SFO,Detail,EPB,EPA,week,year,game_id
2.0,10:25,1.0,10.0,SFO 38,0.0,3.0,"Taysom Hill pass complete to Chris Olave for 30 yards (tackle by Tashaun Gipson) SFO challenged the pass completion ruling, and the original play was overturned. Taysom Hill pass incomplete deep middle intended for Chris Olave",3.05,2.51,12.0,2022,178
2.0,10:20,2.0,10.0,SFO 38,0.0,3.0,Andy Dalton pass complete short right to Alvin Kamara for 6 yards (tackle by Dre Greenlaw and Talanoa Hufanga),2.51,2.61,12.0,2022,178
2.0,9:40,3.0,4.0,SFO 32,0.0,3.0,"Andy Dalton pass incomplete short left intended for Alvin Kamara. Penalty on Josh Andrews: Offensive Holding, 10 yards (declined) . Penalty on Ryan Ramczyk: Offensive Holding, 10 yards (accepted) (no play)",2.61,1.29,12.0,2022,178
2.0,9:33,3.0,14.0,SFO 42,0.0,3.0,Andy Dalton pass incomplete deep right intended for Chris Olave (defended by Jimmie Ward),1.29,0.46,12.0,2022,178
2.0,9:27,4.0,14.0,SFO 42,0.0,3.0,"Blake Gillikin punts 42 yards, touchback.",0.46,-0.28,12.0,2022,178
2.0,9:17,1.0,10.0,SFO 20,0.0,3.0,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 8 yards (tackle by Paulson Adebo and Kaden Elliss),0.28,0.81,12.0,2022,178
2.0,8:38,2.0,2.0,SFO 28,0.0,3.0,Christian McCaffrey left end for 2 yards (tackle by Kentavius Street),0.81,0.94,12.0,2022,178
2.0,7:58,1.0,10.0,SFO 30,0.0,3.0,Jimmy Garoppolo pass complete left to Brandon Aiyuk for 27 yards (tackle by Paulson Adebo),0.94,2.72,12.0,2022,178
2.0,7:07,1.0,10.0,NOR 43,0.0,3.0,Christian McCaffrey up the middle for 5 yards (tackle by Kaden Elliss and Demario Davis),2.72,2.85,12.0,2022,178
2.0,6:22,2.0,5.0,NOR 38,0.0,3.0,Jimmy Garoppolo pass complete to Brandon Aiyuk for 20 yards (tackle by Alontae Taylor and Demario Davis),2.85,4.37,12.0,2022,178
2.0,5:47,1.0,10.0,NOR 18,0.0,3.0,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk,4.37,3.8,12.0,2022,178
2.0,5:42,2.0,10.0,NOR 18,0.0,3.0,Elijah Mitchell right end for 12 yards (tackle by Zack Baun and Paulson Adebo),3.8,5.83,12.0,2022,178
2.0,4:53,1.0,6.0,NOR 6,0.0,3.0,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for no gain (tackle by Kaden Elliss),5.83,4.95,12.0,2022,178
2.0,4:13,2.0,6.0,NOR 6,0.0,3.0,Elijah Mitchell up the middle for 4 yards (tackle by David Onyemata and Demario Davis),4.95,4.95,12.0,2022,178
2.0,3:35,3.0,2.0,NOR 2,0.0,3.0,Jimmy Garoppolo pass complete short right to Jauan Jennings for 1 yard (tackle by Chris Harris),4.95,3.55,12.0,2022,178
2.0,3:06,4.0,1.0,NOR 1,0.0,3.0,Jimmy Garoppolo sacked by Shy Tuttle for -1 yards,3.55,0.38,12.0,2022,178
2.0,3:01,1.0,10.0,NOR 2,0.0,3.0,Mark Ingram up the middle for no gain (tackle by Dre Greenlaw),-0.38,-0.78,12.0,2022,178
2.0,2:26,2.0,10.0,NOR 2,0.0,3.0,Andy Dalton pass incomplete short right intended for Jarvis Landry,-0.78,-1.42,12.0,2022,178
2.0,2:23,3.0,10.0,NOR 2,0.0,3.0,"Andy Dalton pass incomplete deep left intended for Chris Olave. Penalty on Trevor Penning: Face Mask (15 Yards), 15 yards (offset) . Penalty on Deommodore Lenoir: Defensive Pass Interference, 15 yards (offset) (no play)",-1.42,-1.42,12.0,2022,178
2.0,2:15,3.0,10.0,NOR 2,0.0,3.0,Andy Dalton pass complete short right to Chris Olave for 9 yards (tackle by Charvarius Ward and Jimmie Ward),-1.42,-2.49,12.0,2022,178
2.0,2:00,4.0,1.0,NOR 11,0.0,3.0,"Blake Gillikin punts 57 yards, returned by Ray-Ray McCloud for 11 yards (tackle by Adam Prentice)",-2.49,-1.8,12.0,2022,178
2.0,1:47,1.0,10.0,SFO 43,0.0,3.0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel (defended by David Onyemata),1.8,1.25,12.0,2022,178
2.0,1:40,2.0,10.0,SFO 43,0.0,3.0,Jimmy Garoppolo pass incomplete short left intended for Christian McCaffrey,1.25,0.56,12.0,2022,178
2.0,1:38,,,,,,Timeout #1 by San Francisco 49ers,,,12.0,2022,178
2.0,1:38,3.0,10.0,SFO 43,0.0,3.0,Jimmy Garoppolo pass complete short middle to Jauan Jennings for 13 yards (tackle by Justin Evans),0.56,2.65,12.0,2022,178
2.0,0:57,1.0,10.0,NOR 44,0.0,3.0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 12 yards (tackle by Bradley Roby),2.65,3.45,12.0,2022,178
2.0,0:49,1.0,10.0,NOR 32,0.0,3.0,"Elijah Mitchell up the middle for 11 yards, touchdown. Penalty on George Kittle: Offensive Holding, 10 yards (accepted)",3.45,3.59,12.0,2022,178
2.0,0:42,1.0,9.0,NOR 31,0.0,3.0,Jimmy Garoppolo pass complete short left to Elijah Mitchell for 5 yards (tackle by Chris Harris and Bradley Roby),3.59,3.71,12.0,2022,178
2.0,0:34,,,,,,Timeout #2 by San Francisco 49ers,,,12.0,2022,178
2.0,0:34,2.0,4.0,NOR 26,0.0,3.0,Jimmy Garoppolo pass complete short left to Elijah Mitchell for 3 yards (tackle by Kaden Elliss and Malcolm Roach),3.71,3.4,12.0,2022,178
2.0,0:25,,,,,,Timeout #3 by San Francisco 49ers,,,12.0,2022,178
2.0,0:25,3.0,1.0,NOR 23,0.0,3.0,"Jimmy Garoppolo pass complete short right to Jauan Jennings for 12 yards (tackle by Chris Harris). Penalty on Chris Harris: Unnecessary Roughness / Defense, 6 yards (accepted)",3.4,6.06,12.0,2022,178
2.0,0:19,1.0,5.0,NOR 5,0.0,9.0,"Jimmy Garoppolo pass complete short left to Jauan Jennings for 5 yards, touchdown",6.06,7.0,12.0,2022,178
2.0,0:13,,,NOR 15,0.0,10.0,Robbie Gould kicks extra point good,0.0,0.0,12.0,2022,178
2.0,0:13,,,SFO 35,0.0,10.0,"Robbie Gould kicks off 47 yards, returned by Dwayne Washington for 13 yards (tackle by Oren Burks and Charlie Woerner)",0.0,1.0,12.0,2022,178
2.0,0:09,1.0,10.0,NOR 31,0.0,10.0,Andy Dalton pass complete short left to Tre'Quan Smith for 8 yards (tackle by Jimmie Ward),1.0,1.54,12.0,2022,178
2.0,0:03,2.0,2.0,NOR 39,0.0,10.0,Alvin Kamara up the middle for 6 yards (tackle by Nick Bosa),1.54,1.93,12.0,2022,178
3.0,15:00,,,NOR 35,0.0,10.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,178
3.0,15:00,1.0,10.0,SFO 25,0.0,10.0,Elijah Mitchell left tackle for 4 yards (tackle by Shy Tuttle),0.61,0.6,12.0,2022,178
3.0,14:24,2.0,6.0,SFO 29,0.0,10.0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 16 yards (tackle by Kaden Elliss),0.6,1.93,12.0,2022,178
3.0,13:53,1.0,10.0,SFO 45,0.0,10.0,Elijah Mitchell left guard for no gain (tackle by Zack Baun and Marcus Davenport),1.93,1.38,12.0,2022,178
3.0,13:20,2.0,10.0,SFO 45,0.0,10.0,Jimmy Garoppolo pass complete short right to Deebo Samuel for 7 yards (tackle by Tanoh Kpassagnon and Kaden Elliss),1.38,1.62,12.0,2022,178
3.0,12:40,3.0,3.0,NOR 48,0.0,10.0,"Jimmy Garoppolo pass short middle is intercepted by Alontae Taylor at NO-44 and returned for no gain. Penalty on Chris Harris: Illegal Contact, 5 yards (accepted) (no play)",1.62,2.72,12.0,2022,178
3.0,12:29,1.0,10.0,NOR 43,0.0,10.0,"Deebo Samuel right end for no gain (tackle by Demario Davis). Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,12.0,2022,178
3.0,12:05,1.0,20.0,SFO 47,0.0,10.0,"Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 11 yards (tackle by Chris Harris). Penalty on Malcolm Roach: Roughing the Passer, 15 yards (accepted)",2.06,3.78,12.0,2022,178
3.0,11:44,1.0,10.0,NOR 27,0.0,10.0,"Jordan Mason up the middle for no gain (tackle by Tyrann Mathieu). Penalty on Kyle Juszczyk: Illegal Shift, 5 yards (accepted) (no play)",3.78,3.45,12.0,2022,178
3.0,11:21,1.0,15.0,NOR 32,0.0,10.0,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel,3.45,2.56,12.0,2022,178
3.0,11:17,2.0,15.0,NOR 32,0.0,10.0,Christian McCaffrey right guard for 4 yards (tackle by Tanoh Kpassagnon and Shy Tuttle),2.56,2.41,12.0,2022,178
3.0,10:36,3.0,11.0,NOR 28,0.0,10.0,Jimmy Garoppolo pass incomplete deep right intended for Brandon Aiyuk (defended by Paulson Adebo),2.41,1.59,12.0,2022,178
3.0,10:30,4.0,11.0,NOR 28,0.0,13.0,Robbie Gould 46 yard field goal good,1.59,3.0,12.0,2022,178
3.0,10:25,,,SFO 35,0.0,13.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,178
3.0,10:25,1.0,10.0,NOR 25,0.0,13.0,Andy Dalton pass complete short right to Jarvis Landry for 8 yards (tackle by Azeez Al-Shaair),0.61,1.14,12.0,2022,178
3.0,9:50,2.0,2.0,NOR 33,0.0,13.0,Taysom Hill right tackle for 1 yard (tackle by Samson Ebukam),1.14,0.56,12.0,2022,178
3.0,9:06,3.0,1.0,NOR 34,0.0,13.0,Alvin Kamara up the middle for 3 yards (tackle by Dre Greenlaw and Hassan Ridgeway),0.56,1.4,12.0,2022,178
3.0,8:34,1.0,10.0,NOR 37,0.0,13.0,Andy Dalton pass complete short left to Alvin Kamara for 10 yards (tackle by Talanoa Hufanga),1.4,2.06,12.0,2022,178
3.0,7:56,1.0,10.0,NOR 47,0.0,13.0,Taysom Hill left tackle for no gain (tackle by Fred Warner),2.06,1.52,12.0,2022,178
3.0,7:19,2.0,10.0,NOR 47,0.0,13.0,Andy Dalton pass complete short left to Jarvis Landry for 12 yards (tackle by Talanoa Hufanga),1.52,2.85,12.0,2022,178
3.0,6:43,1.0,10.0,SFO 41,0.0,13.0,Mark Ingram up the middle for 5 yards (tackle by Jimmie Ward and Kerry Hyder),2.85,2.98,12.0,2022,178
3.0,6:06,2.0,5.0,SFO 36,0.0,13.0,Rashid Shaheed left end for 6 yards (tackle by Deommodore Lenoir),2.98,3.58,12.0,2022,178
3.0,5:29,1.0,10.0,SFO 30,0.0,13.0,Andy Dalton pass complete short left to Alvin Kamara for 7 yards (tackle by Deommodore Lenoir),3.58,3.98,12.0,2022,178
3.0,4:53,2.0,3.0,SFO 23,0.0,13.0,Taysom Hill for -2 yards (tackle by Drake Jackson and Nick Bosa),3.98,3.01,12.0,2022,178
3.0,4:12,3.0,5.0,SFO 25,0.0,13.0,Andy Dalton pass incomplete deep left intended for Rashid Shaheed,3.01,1.85,12.0,2022,178
3.0,4:11,4.0,5.0,SFO 25,0.0,13.0,"Penalty on Ryan Ramczyk: False Start, 5 yards (accepted) (no play)",1.85,1.41,12.0,2022,178
3.0,4:11,4.0,10.0,SFO 30,0.0,13.0,Wil Lutz 48 yard field goal no good,1.41,-1.47,12.0,2022,178
3.0,4:07,1.0,10.0,SFO 38,0.0,13.0,Jordan Mason up the middle for no gain (tackle by Malcolm Roach),1.47,0.92,12.0,2022,178
3.0,3:25,2.0,10.0,SFO 38,0.0,13.0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 1 yard (tackle by Kaden Elliss),0.92,0.37,12.0,2022,178
3.0,2:41,3.0,9.0,SFO 39,0.0,13.0,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 6 yards (tackle by Alontae Taylor and Marcus Maye),0.37,-0.39,12.0,2022,178
3.0,2:00,4.0,3.0,SFO 45,0.0,13.0,"Mitch Wishnowsky punts 43 yards, fair catch by Rashid Shaheed at NO-12",-0.39,0.35,12.0,2022,178
3.0,1:51,1.0,10.0,NOR 12,0.0,13.0,Taysom Hill for 6 yards (tackle by Tashaun Gipson and Azeez Al-Shaair),-0.35,-0.07,12.0,2022,178
3.0,1:11,2.0,4.0,NOR 18,0.0,13.0,Andy Dalton pass complete short right to Alvin Kamara for 1 yard (tackle by Talanoa Hufanga),-0.07,-0.6,12.0,2022,178
3.0,0:28,3.0,3.0,NOR 19,0.0,13.0,Andy Dalton pass complete short right to Rashid Shaheed for 18 yards (tackle by Deommodore Lenoir),-0.6,1.4,12.0,2022,178
4.0,15:00,1.0,10.0,NOR 37,0.0,13.0,Andy Dalton pass incomplete deep right intended for Chris Olave,1.4,0.86,12.0,2022,178
4.0,14:56,2.0,10.0,NOR 37,0.0,13.0,Andy Dalton pass complete deep right to Chris Olave for 20 yards,0.86,2.72,12.0,2022,178
4.0,14:15,1.0,10.0,SFO 43,0.0,13.0,Andy Dalton pass incomplete short left intended for Alvin Kamara (defended by Fred Warner),2.72,2.18,12.0,2022,178
4.0,14:10,2.0,10.0,SFO 43,0.0,13.0,Andy Dalton scrambles right end for 9 yards (tackle by Fred Warner),2.18,2.68,12.0,2022,178
4.0,13:32,3.0,1.0,SFO 34,0.0,13.0,Andy Dalton pass incomplete short left intended for Chris Olave,2.68,1.1,12.0,2022,178
4.0,13:30,4.0,1.0,SFO 34,0.0,13.0,"Andy Dalton pass incomplete short left intended for Juwan Johnson. Penalty on Talanoa Hufanga: Defensive Holding, 5 yards (declined) . Penalty on Nick Bosa: Roughing the Passer, 15 yards (accepted) (no play)",1.1,4.31,12.0,2022,178
4.0,13:21,1.0,10.0,SFO 19,0.0,13.0,Andy Dalton scrambles up the middle for 1 yard (tackle by Kerry Hyder),4.31,3.88,12.0,2022,178
4.0,12:40,2.0,9.0,SFO 18,0.0,13.0,Andy Dalton pass complete short left to Chris Olave for 12 yards (tackle by Deommodore Lenoir and Tashaun Gipson),3.88,5.83,12.0,2022,178
4.0,11:59,1.0,6.0,SFO 6,0.0,13.0,Alvin Kamara right tackle for no gain (tackle by Hassan Ridgeway),5.83,4.95,12.0,2022,178
4.0,11:20,2.0,6.0,SFO 6,0.0,13.0,"Andy Dalton pass complete short right to Alvin Kamara for 5 yards. Alvin Kamara fumbles (forced by Talanoa Hufanga) (tackle by Fred Warner), recovered by Dre Greenlaw at SF-1 (tackle by Fred Warner) (tackle by Fred Warner) (tackle by Talanoa Hufanga) (tackle by Dre Greenlaw) (tackle by Talanoa Hufanga)",4.95,0.38,12.0,2022,178
4.0,11:05,1.0,10.0,SFO 1,0.0,13.0,Christian McCaffrey up the middle for 1 yard (tackle by Kaden Elliss),-0.38,-0.71,12.0,2022,178
4.0,10:24,2.0,9.0,SFO 2,0.0,13.0,Jimmy Garoppolo for 3 yards (tackle by David Onyemata),-0.71,-0.95,12.0,2022,178
4.0,9:49,3.0,6.0,SFO 5,0.0,13.0,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,-0.95,-2.49,12.0,2022,178
4.0,9:45,4.0,6.0,SFO 5,0.0,13.0,"Mitch Wishnowsky punts 45 yards, returned by Rashid Shaheed for 11 yards (tackle by Tarvarius Moore)",-2.49,-2.98,12.0,2022,178
4.0,9:35,1.0,10.0,SFO 39,0.0,13.0,Mark Ingram left tackle for 2 yards (tackle by Fred Warner),2.98,2.71,12.0,2022,178
4.0,8:55,2.0,8.0,SFO 37,0.0,13.0,"Penalty on T.Y. McGill: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.71,3.39,12.0,2022,178
4.0,8:40,2.0,3.0,SFO 32,0.0,13.0,Andy Dalton scrambles left end for 1 yard (tackle by Dre Greenlaw),3.39,2.81,12.0,2022,178
4.0,7:58,3.0,2.0,SFO 31,0.0,13.0,Andy Dalton pass complete deep right to Chris Olave for 19 yards (tackle by Talanoa Hufanga),2.81,4.78,12.0,2022,178
4.0,7:23,1.0,10.0,SFO 12,0.0,13.0,Andy Dalton pass incomplete short middle intended for Juwan Johnson (defended by Fred Warner),4.78,4.1,12.0,2022,178
4.0,7:19,2.0,10.0,SFO 12,0.0,13.0,Taysom Hill right end for 4 yards (tackle by Charvarius Ward and Talanoa Hufanga),4.1,3.93,12.0,2022,178
4.0,6:40,3.0,6.0,SFO 8,0.0,13.0,"Andy Dalton pass incomplete short middle intended for Chris Olave. Penalty on Deommodore Lenoir: Defensive Holding, 4 yards (accepted) (no play)",3.93,6.28,12.0,2022,178
4.0,6:36,1.0,4.0,SFO 4,0.0,13.0,Andy Dalton pass incomplete short right intended for Jarvis Landry,6.28,5.34,12.0,2022,178
4.0,6:30,2.0,4.0,SFO 4,0.0,13.0,Andy Dalton pass incomplete short right intended for Mark Ingram,5.34,4.49,12.0,2022,178
4.0,6:26,,,,,,Timeout #1 by New Orleans Saints,,,12.0,2022,178
4.0,6:26,3.0,4.0,SFO 4,0.0,13.0,Andy Dalton pass incomplete short left intended for Taysom Hill,4.49,3.03,12.0,2022,178
4.0,6:23,4.0,4.0,SFO 4,0.0,13.0,Andy Dalton sacked by Nick Bosa for -7 yards,3.03,0.37,12.0,2022,178
4.0,6:18,1.0,10.0,SFO 11,0.0,13.0,Christian McCaffrey left tackle for 9 yards (tackle by Alontae Taylor),-0.37,0.36,12.0,2022,178
4.0,5:37,2.0,1.0,SFO 20,0.0,13.0,Jimmy Garoppolo up the middle for 3 yards (tackle by Kaden Elliss),0.36,0.48,12.0,2022,178
4.0,4:56,1.0,10.0,SFO 23,0.0,13.0,Christian McCaffrey up the middle for 2 yards (tackle by Kaden Elliss),0.48,0.2,12.0,2022,178
4.0,4:11,2.0,8.0,SFO 25,0.0,13.0,Christian McCaffrey right tackle for 3 yards (tackle by Kentavius Street),0.2,-0.1,12.0,2022,178
4.0,4:07,,,,,,Timeout #2 by New Orleans Saints,,,12.0,2022,178
4.0,4:07,3.0,5.0,SFO 28,0.0,13.0,Jimmy Garoppolo pass complete short left to Jauan Jennings for 6 yards (tackle by Chris Harris),-0.1,1.2,12.0,2022,178
4.0,3:22,1.0,10.0,SFO 34,0.0,13.0,Jordan Mason up the middle for 9 yards (tackle by Paulson Adebo and Marcus Maye),1.2,1.87,12.0,2022,178
4.0,2:38,2.0,1.0,SFO 43,0.0,13.0,Jordan Mason up the middle for 4 yards (tackle by Marcus Davenport),1.87,2.06,12.0,2022,178
4.0,2:33,,,,,,Timeout #3 by New Orleans Saints,,,12.0,2022,178
4.0,2:33,1.0,10.0,SFO 47,0.0,13.0,Jordan Mason up the middle for 5 yards (tackle by Shy Tuttle),2.06,2.19,12.0,2022,178
4.0,2:00,2.0,5.0,NOR 48,0.0,13.0,Jordan Mason up the middle for 7 yards (tackle by Tyrann Mathieu and Marcus Maye),2.19,2.85,12.0,2022,178
4.0,1:16,1.0,10.0,NOR 41,0.0,13.0,Jimmy Garoppolo kneels for -1 yards,2.85,2.17,12.0,2022,178
4.0,0:39,2.0,11.0,NOR 42,0.0,13.0,Jimmy Garoppolo kneels for -1 yards,2.17,1.35,12.0,2022,178
