Quarter,Time,Down,ToGo,Location,MIA,CHI,Detail,EPB,EPA,week,year,game_id
3.0,9:12,2.0,9.0,MIA 46,28.0,25.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 20 yards (tackle by Eddie Jackson),1.52,3.31,9.0,2022,130
3.0,8:23,1.0,10.0,CHI 34,28.0,25.0,Jeff Wilson left end for 3 yards (tackle by Jack Sanborn and Trevis Gipson),3.31,3.18,9.0,2022,130
3.0,7:46,2.0,7.0,CHI 31,28.0,25.0,Tua Tagovailoa pass incomplete short right intended for Durham Smythe,3.18,2.48,9.0,2022,130
3.0,7:40,3.0,7.0,CHI 31,28.0,25.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 18 yards (tackle by Jack Sanborn),2.48,4.71,9.0,2022,130
3.0,6:54,1.0,10.0,CHI 13,28.0,25.0,Jeff Wilson left tackle for 3 yards (tackle by Jack Sanborn),4.71,4.58,9.0,2022,130
3.0,6:14,2.0,7.0,CHI 10,28.0,25.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,4.58,3.65,9.0,2022,130
3.0,6:07,3.0,7.0,CHI 10,34.0,25.0,"Tua Tagovailoa pass complete short left to Jeff Wilson for 10 yards, touchdown",3.65,7.0,9.0,2022,130
3.0,6:02,,,CHI 15,35.0,25.0,Jason Sanders kicks extra point good,0.0,0.0,9.0,2022,130
3.0,6:02,,,MIA 35,35.0,25.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,130
3.0,6:02,1.0,10.0,CHI 25,35.0,25.0,David Montgomery right guard for 2 yards (tackle by Raekwon Davis),0.61,0.33,9.0,2022,130
3.0,5:23,2.0,8.0,CHI 27,35.0,25.0,"Justin Fields scrambles for no gain. Penalty on Sam Mustipher: Offensive Holding, 10 yards (accepted) (no play)",0.33,-1.15,9.0,2022,130
3.0,5:00,2.0,18.0,CHI 17,35.0,25.0,Justin Fields pass incomplete short right intended for Chase Claypool,-1.15,-1.93,9.0,2022,130
3.0,4:56,3.0,18.0,CHI 17,35.0,25.0,Justin Fields pass incomplete short left,-1.93,-2.32,9.0,2022,130
3.0,4:50,4.0,18.0,CHI 17,35.0,25.0,"Trenton Gill punts 46 yards, returned by Cedrick Wilson for 8 yards (tackle by DeAndre Houston-Carson)",-2.32,-1.93,9.0,2022,130
3.0,4:40,1.0,10.0,MIA 45,35.0,25.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 16 yards (tackle by Kyler Gordon),1.93,2.98,9.0,2022,130
3.0,3:59,1.0,10.0,CHI 39,35.0,25.0,Jeff Wilson left tackle for 1 yard (tackle by Trevis Gipson),2.98,2.58,9.0,2022,130
3.0,3:18,2.0,9.0,CHI 38,35.0,25.0,Tua Tagovailoa pass complete short right to Jeff Wilson for 7 yards (tackle by Angelo Blackson and Joe Thomas),2.58,2.74,9.0,2022,130
3.0,2:33,3.0,3.0,CHI 31,35.0,25.0,"Penalty on MIA: Illegal Shift, 5 yards (declined)",2.74,0.98,9.0,2022,130
3.0,2:06,4.0,5.0,CHI 35,35.0,25.0,Tua Tagovailoa pass incomplete short right intended for Mike Gesicki,0.98,-1.27,9.0,2022,130
3.0,2:02,1.0,10.0,CHI 35,35.0,25.0,"Justin Fields pass is intercepted by Xavien Howard at CHI-35 and returned for -9 yards. Penalty on Riley Reiff: Offensive Holding, 10 yards (offset) . Penalty on Xavien Howard: Defensive Holding, 5 yards (offset) (no play)",1.27,1.27,9.0,2022,130
3.0,1:53,1.0,10.0,CHI 35,35.0,25.0,Chase Claypool right end for 4 yards (tackle by Jaelan Phillips),1.27,1.26,9.0,2022,130
3.0,1:18,2.0,6.0,CHI 39,35.0,25.0,David Montgomery right guard for 4 yards (tackle by Jerome Baker and Christian Wilkins),1.26,1.09,9.0,2022,130
3.0,0:41,3.0,2.0,CHI 43,35.0,25.0,David Montgomery left end for 1 yard (tackle by Zach Sieler),1.09,-0.46,9.0,2022,130
4.0,15:00,4.0,1.0,CHI 44,35.0,25.0,Justin Fields up the middle for 2 yards (tackle by Melvin Ingram),-0.46,1.99,9.0,2022,130
4.0,14:21,1.0,10.0,CHI 46,35.0,25.0,Justin Fields pass incomplete deep middle intended for Cole Kmet,1.99,1.45,9.0,2022,130
4.0,14:16,2.0,10.0,CHI 46,35.0,25.0,Justin Fields pass complete short left to Darnell Mooney for 9 yards (tackle by Eric Rowe),1.45,1.95,9.0,2022,130
4.0,13:39,3.0,1.0,MIA 45,35.0,25.0,Justin Fields scrambles right end for 14 yards (tackle by Jevon Holland),1.95,3.51,9.0,2022,130
4.0,13:03,1.0,10.0,MIA 31,35.0,25.0,Justin Fields pass complete short right to Cole Kmet for 10 yards (tackle by Xavien Howard),3.51,4.17,9.0,2022,130
4.0,12:20,1.0,10.0,MIA 21,35.0,25.0,Justin Fields scrambles right end for 17 yards (tackle by Jaelan Phillips),4.17,6.28,9.0,2022,130
4.0,11:42,1.0,4.0,MIA 4,35.0,31.0,"Justin Fields pass complete short right to Cole Kmet for 4 yards, touchdown",6.28,7.0,9.0,2022,130
4.0,11:38,,,MIA 15,35.0,32.0,Cairo Santos kicks extra point good,0.0,0.0,9.0,2022,130
4.0,11:38,,,CHI 35,35.0,32.0,"Cairo Santos kicks off 65 yards, returned by Raheem Mostert for 18 yards (tackle by Elijah Hicks)",0.0,0.04,9.0,2022,130
4.0,11:33,1.0,10.0,MIA 18,35.0,32.0,Tua Tagovailoa pass incomplete,0.04,-0.49,9.0,2022,130
4.0,11:30,2.0,10.0,MIA 18,35.0,32.0,"Tua Tagovailoa pass incomplete deep right intended for Jaylen Waddle. Penalty on Eddie Jackson: Defensive Pass Interference, 47 yards (accepted) (no play)",-0.49,3.25,9.0,2022,130
4.0,11:22,1.0,10.0,CHI 35,35.0,32.0,Jeff Wilson left end for 3 yards (tackle by Kyler Gordon),3.25,3.11,9.0,2022,130
4.0,10:40,2.0,7.0,CHI 32,35.0,32.0,Tua Tagovailoa pass complete short right to Cedrick Wilson for 9 yards (tackle by Jack Sanborn),3.11,4.04,9.0,2022,130
4.0,10:01,1.0,10.0,CHI 23,35.0,32.0,Raheem Mostert right tackle for 1 yard (tackle by Justin Jones),4.04,3.63,9.0,2022,130
4.0,9:29,2.0,9.0,CHI 22,35.0,32.0,Raheem Mostert left end for 7 yards (tackle by Eddie Jackson),3.63,4.05,9.0,2022,130
4.0,8:41,,,,,,Timeout #1 by Miami Dolphins,,,9.0,2022,130
4.0,8:41,3.0,2.0,CHI 15,35.0,32.0,Jeff Wilson right guard for 1 yard (tackle by Kyler Gordon and Nicholas Morrow),4.05,2.66,9.0,2022,130
4.0,7:55,,,,,,Timeout #2 by Miami Dolphins,,,9.0,2022,130
4.0,7:55,4.0,1.0,CHI 14,35.0,32.0,Tua Tagovailoa pass incomplete short right intended for Durham Smythe,2.66,0.28,9.0,2022,130
4.0,7:50,1.0,10.0,CHI 14,35.0,32.0,Justin Fields scrambles right tackle for 3 yards (tackle by Jerome Baker),-0.28,-0.21,9.0,2022,130
4.0,7:13,2.0,6.0,CHI 18,35.0,32.0,Khalil Herbert right tackle for 5 yards (tackle by Raekwon Davis),-0.21,-0.32,9.0,2022,130
4.0,6:38,3.0,1.0,CHI 23,35.0,32.0,Justin Fields scrambles right end for 3 yards (tackle by Elandon Roberts and Raekwon Davis),-0.32,0.67,9.0,2022,130
4.0,5:55,1.0,10.0,CHI 26,35.0,32.0,Justin Fields pass incomplete short right intended for David Montgomery,0.67,0.13,9.0,2022,130
4.0,5:50,2.0,10.0,CHI 26,35.0,32.0,David Montgomery right tackle for 3 yards (tackle by Elandon Roberts and Emmanuel Ogbah),0.13,-0.16,9.0,2022,130
4.0,5:17,3.0,7.0,CHI 29,35.0,32.0,Justin Fields scrambles left end for 13 yards (tackle by Noah Igbinoghene),-0.16,1.73,9.0,2022,130
4.0,4:37,1.0,10.0,CHI 42,35.0,32.0,Justin Fields sacked by Melvin Ingram for -5 yards,1.73,0.51,9.0,2022,130
4.0,3:55,2.0,15.0,CHI 37,35.0,32.0,Justin Fields pass complete short left to Darnell Mooney for 2 yards (tackle by Kader Kohou),0.51,-0.03,9.0,2022,130
4.0,3:15,3.0,14.0,CHI 38,35.0,32.0,Justin Fields pass incomplete deep left intended for N'Keal Harry,-0.03,-0.78,9.0,2022,130
4.0,3:11,4.0,14.0,CHI 39,35.0,32.0,"Trenton Gill punts 37 yards, fair catch by Cedrick Wilson at MIA-24",-0.78,-0.54,9.0,2022,130
4.0,3:04,1.0,10.0,MIA 24,35.0,32.0,Raheem Mostert left tackle for -1 yards (tackle by Nicholas Morrow and Kyler Gordon),0.54,-0.14,9.0,2022,130
4.0,3:00,,,,,,Timeout #1 by Chicago Bears,,,9.0,2022,130
4.0,3:00,2.0,11.0,MIA 23,35.0,32.0,Raheem Mostert left end for no gain (tackle by Armon Watts),-0.14,-0.82,9.0,2022,130
4.0,2:55,,,,,,Timeout #2 by Chicago Bears,,,9.0,2022,130
4.0,2:55,3.0,11.0,MIA 23,35.0,32.0,Tua Tagovailoa pass incomplete deep left intended for Jaylen Waddle (defended by Jaylon Johnson),-0.82,-1.83,9.0,2022,130
4.0,2:50,4.0,11.0,MIA 23,35.0,32.0,"Thomas Morstead punts 51 yards, returned by Dante Pettis for 2 yards (tackle by Keion Crossen and Justin Bethel)",-1.83,-0.81,9.0,2022,130
4.0,2:38,1.0,10.0,CHI 28,35.0,32.0,Justin Fields pass complete short left to Darnell Mooney for 2 yards (tackle by Kader Kohou),0.81,0.53,9.0,2022,130
4.0,2:10,2.0,8.0,CHI 30,35.0,32.0,Justin Fields scrambles left tackle for 12 yards (tackle by Zach Sieler),0.53,1.73,9.0,2022,130
4.0,2:00,1.0,10.0,CHI 42,35.0,32.0,Khalil Herbert left guard for 2 yards (tackle by Duke Riley and Bradley Chubb),1.73,1.46,9.0,2022,130
4.0,1:42,2.0,8.0,CHI 44,35.0,32.0,Justin Fields sacked by Duke Riley for -2 yards,1.46,0.5,9.0,2022,130
4.0,1:35,3.0,10.0,CHI 42,35.0,32.0,Justin Fields pass incomplete deep left intended for Chase Claypool (defended by Keion Crossen),0.5,-0.59,9.0,2022,130
4.0,1:29,4.0,10.0,CHI 42,35.0,32.0,Justin Fields pass incomplete short right intended for Equanimeous St. Brown,-0.59,-2.79,9.0,2022,130
4.0,1:22,1.0,10.0,CHI 42,35.0,32.0,Tua Tagovailoa kneels for -2 yards,2.79,1.97,9.0,2022,130
4.0,1:20,,,,,,Timeout #3 by Chicago Bears,,,9.0,2022,130
4.0,1:20,2.0,12.0,CHI 44,35.0,32.0,Tua Tagovailoa kneels for -1 yards,1.97,1.16,9.0,2022,130
4.0,0:36,3.0,13.0,CHI 45,35.0,32.0,Tua Tagovailoa kneels for -1 yards,1.16,0.2,9.0,2022,130
