Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA,week,year,game_id
1.0,9:48,3.0,5.0,ARI 22,3.0,0.0,Kyler Murray scrambles right end for 21 yards (tackle by Quandre Diggs),-0.62,1.8,9.0,2022,133
1.0,9:06,1.0,10.0,ARI 43,3.0,0.0,James Conner right end for 2 yards (tackle by Ryan Neal),1.8,1.52,9.0,2022,133
1.0,8:36,2.0,8.0,ARI 45,3.0,0.0,Kyler Murray pass complete to Zach Ertz for 14 yards (tackle by Jordyn Brooks and Michael Jackson),1.52,2.85,9.0,2022,133
1.0,8:02,1.0,10.0,SEA 41,3.0,0.0,James Conner right guard for 11 yards (tackle by Jordyn Brooks),2.85,3.58,9.0,2022,133
1.0,7:28,1.0,10.0,SEA 30,3.0,0.0,Kyler Murray pass complete short right to DeAndre Hopkins for 6 yards (tackle by Michael Jackson),3.58,3.84,9.0,2022,133
1.0,6:49,2.0,4.0,SEA 24,3.0,0.0,Kyler Murray pass complete short right to Rondale Moore for 2 yards (tackle by Michael Jackson),3.84,3.4,9.0,2022,133
1.0,6:25,,,,,,Timeout #1 by Seattle Seahawks,,,9.0,2022,133
1.0,6:25,3.0,2.0,SEA 22,3.0,6.0,"Kyler Murray pass complete short right to DeAndre Hopkins for 22 yards, touchdown",3.4,7.0,9.0,2022,133
1.0,6:17,,,SEA 15,3.0,7.0,Matt Prater kicks extra point good,0.0,0.0,9.0,2022,133
1.0,6:17,,,ARI 35,3.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,133
1.0,6:17,1.0,10.0,SEA 25,3.0,7.0,Geno Smith pass complete short right to Noah Fant for -1 yards (tackle by Zaven Collins),0.61,-0.07,9.0,2022,133
1.0,5:46,2.0,11.0,SEA 24,3.0,7.0,Geno Smith pass complete short middle to Kenneth Walker for 4 yards (tackle by Ben Niemann),-0.07,-0.23,9.0,2022,133
1.0,5:13,3.0,7.0,SEA 28,3.0,7.0,Geno Smith pass incomplete deep left,-0.23,-1.5,9.0,2022,133
1.0,5:03,4.0,7.0,SEA 28,3.0,7.0,"Michael Dickson punts 52 yards, returned by Greg Dortch for no gain (tackle by Dareke Young)",-1.5,-0.28,9.0,2022,133
1.0,4:52,1.0,10.0,ARI 20,3.0,7.0,James Conner up the middle for 4 yards (tackle by Bruce Irvin and Shelby Harris),0.28,0.27,9.0,2022,133
1.0,4:21,2.0,6.0,ARI 24,3.0,7.0,Kyler Murray pass complete short middle to Zach Ertz for 5 yards (tackle by Michael Jackson),0.27,0.23,9.0,2022,133
1.0,4:04,3.0,1.0,ARI 29,3.0,7.0,"Billy Price aborted snap, recovered by James Conner at ARI-14 James Conner for no gain (tackle by Bruce Irvin)",0.23,-2.47,9.0,2022,133
1.0,3:22,4.0,16.0,ARI 14,3.0,7.0,Andy Lee punts 65 yards downed by Antonio Hamilton,-2.47,-0.34,9.0,2022,133
1.0,3:07,1.0,10.0,SEA 21,3.0,7.0,Geno Smith pass complete short right to Kenneth Walker for 3 yards (tackle by Isaiah Simmons and Tanner Vallejo),0.34,0.21,9.0,2022,133
1.0,2:27,2.0,7.0,SEA 24,3.0,7.0,Kenneth Walker left tackle for 4 yards (tackle by Tanner Vallejo and Zach Allen),0.21,0.04,9.0,2022,133
1.0,1:43,3.0,3.0,SEA 28,3.0,7.0,Geno Smith pass complete short middle to Noah Fant for 12 yards (tackle by Jalen Thompson),0.04,1.6,9.0,2022,133
1.0,0:58,1.0,10.0,SEA 40,3.0,7.0,Travis Homer right tackle for 7 yards (tackle by Marco Wilson),1.6,2.0,9.0,2022,133
1.0,0:12,2.0,3.0,SEA 47,3.0,7.0,Geno Smith scrambles right end for 5 yards (tackle by Tanner Vallejo),2.0,2.39,9.0,2022,133
2.0,15:00,1.0,10.0,ARI 48,3.0,7.0,Geno Smith pass complete deep middle to Noah Fant for 18 yards (tackle by Byron Murphy and Antonio Hamilton),2.39,3.58,9.0,2022,133
2.0,14:23,1.0,10.0,ARI 30,3.0,7.0,Kenneth Walker up the middle for 3 yards (tackle by J.J. Watt and Budda Baker),3.58,3.44,9.0,2022,133
2.0,13:45,2.0,7.0,ARI 27,3.0,7.0,Kenneth Walker up the middle for 15 yards (tackle by Budda Baker),3.44,4.78,9.0,2022,133
2.0,13:17,1.0,10.0,ARI 12,3.0,7.0,Kenneth Walker up the middle for 8 yards (tackle by Jalen Thompson and Myjai Sanders),4.78,5.6,9.0,2022,133
2.0,12:46,2.0,2.0,ARI 4,3.0,7.0,"Geno Smith pass incomplete short middle. Penalty on Leki Fotu: Defensive Offside, 2 yards (accepted) (no play)",5.6,6.74,9.0,2022,133
2.0,12:42,1.0,2.0,ARI 2,3.0,7.0,Kenneth Walker left end for -2 yards (tackle by Zeke Turner),6.74,5.34,9.0,2022,133
2.0,12:08,2.0,4.0,ARI 4,3.0,7.0,Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Byron Murphy),5.34,4.49,9.0,2022,133
2.0,12:04,3.0,4.0,ARI 4,9.0,7.0,"Geno Smith pass complete short left to D.K. Metcalf for 4 yards, touchdown",4.49,7.0,9.0,2022,133
2.0,11:59,,,ARI 15,10.0,7.0,Jason Myers kicks extra point good,0.0,0.0,9.0,2022,133
2.0,11:59,,,SEA 35,10.0,7.0,"Jason Myers kicks off 63 yards, returned by Greg Dortch for 18 yards (tackle by Jason Myers). Penalty on Ben Niemann: Offensive Holding, 10 yards (accepted)",0.0,-0.38,9.0,2022,133
2.0,11:52,1.0,10.0,ARI 10,10.0,7.0,Eno Benjamin left tackle for 2 yards (tackle by Cody Barton),-0.38,-0.63,9.0,2022,133
2.0,11:18,2.0,8.0,ARI 12,10.0,7.0,Kyler Murray pass complete short left to Zach Ertz for 4 yards (tackle by Cody Barton),-0.63,-0.72,9.0,2022,133
2.0,10:32,3.0,4.0,ARI 16,10.0,7.0,"Kyler Murray pass is intercepted by Coby Bryant at ARI-21 and returned for no gain. Penalty on Quandre Diggs: Illegal Contact, 5 yards (accepted) (no play)",-0.72,0.34,9.0,2022,133
2.0,10:23,1.0,10.0,ARI 21,10.0,7.0,Kyler Murray pass complete short middle to James Conner for -2 yards (tackle by Tariq Woolen),0.34,-0.53,9.0,2022,133
2.0,9:56,2.0,12.0,ARI 19,10.0,7.0,Kyler Murray pass complete short left to DeAndre Hopkins for 4 yards (tackle by Tariq Woolen),-0.53,-0.63,9.0,2022,133
2.0,9:34,3.0,8.0,ARI 23,10.0,7.0,"Penalty on Cody Ford: False Start, 5 yards (accepted) (no play)",-0.63,-1.41,9.0,2022,133
2.0,9:20,3.0,13.0,ARI 18,10.0,7.0,"Penalty on Lecitus Smith: False Start, 5 yards (accepted) (no play)",-1.41,-2.3,9.0,2022,133
2.0,9:01,3.0,18.0,ARI 13,10.0,7.0,Kyler Murray pass complete short right to James Conner for 6 yards (tackle by Jordyn Brooks),-2.3,-2.14,9.0,2022,133
2.0,8:36,4.0,12.0,ARI 19,10.0,7.0,"Andy Lee punts 54 yards, returned by DeeJay Dallas for 19 yards (tackle by Ben Niemann and Zeke Turner). Penalty on Chris Banjo: Offensive Holding, 10 yards (accepted)",-2.14,-2.65,9.0,2022,133
2.0,8:24,1.0,10.0,ARI 44,10.0,7.0,Kenneth Walker left tackle for 3 yards (tackle by J.J. Watt),2.65,2.52,9.0,2022,133
2.0,7:58,2.0,7.0,ARI 41,10.0,7.0,Kenneth Walker up the middle for 3 yards (tackle by Markus Golden),2.52,2.21,9.0,2022,133
2.0,7:24,3.0,4.0,ARI 38,10.0,7.0,Geno Smith pass complete short middle to Travis Homer for 2 yards (tackle by Markus Golden),2.21,0.89,9.0,2022,133
2.0,6:49,4.0,2.0,ARI 36,10.0,7.0,Geno Smith pass complete short middle to Colby Parkinson for -4 yards (tackle by Zach Allen),0.89,-1.6,9.0,2022,133
2.0,6:41,1.0,10.0,ARI 40,10.0,7.0,Kyler Murray pass incomplete short right intended for Zach Ertz (defended by Quandre Diggs),1.6,1.05,9.0,2022,133
2.0,6:36,2.0,10.0,ARI 40,10.0,7.0,Kyler Murray up the middle for 6 yards (tackle by Shelby Harris),1.05,1.16,9.0,2022,133
2.0,5:58,3.0,4.0,ARI 46,10.0,7.0,Kyler Murray pass incomplete short middle intended for DeAndre Hopkins (defended by Tariq Woolen),1.16,-0.32,9.0,2022,133
2.0,5:54,4.0,4.0,ARI 46,10.0,7.0,"Andy Lee punts 33 yards, fair catch by DeeJay Dallas at SEA-21",-0.32,-0.34,9.0,2022,133
2.0,5:47,1.0,10.0,SEA 21,10.0,7.0,Geno Smith pass complete short left to Kenneth Walker for 13 yards (tackle by Ben Niemann and Budda Baker),0.34,1.2,9.0,2022,133
2.0,5:16,1.0,10.0,SEA 34,10.0,7.0,Geno Smith pass incomplete short left,1.2,0.66,9.0,2022,133
2.0,5:09,2.0,10.0,SEA 34,10.0,7.0,"Geno Smith pass complete short left to Kenneth Walker for no gain. Penalty on Dareke Young: Offensive Pass Interference, 10 yards (accepted) (no play)",0.66,-0.69,9.0,2022,133
2.0,4:41,2.0,20.0,SEA 24,10.0,7.0,Geno Smith left tackle for 5 yards (tackle by Budda Baker),-0.69,-0.69,9.0,2022,133
2.0,3:57,3.0,15.0,SEA 29,10.0,7.0,Geno Smith pass complete short right to Tyler Lockett for 13 yards (tackle by Jalen Thompson),-0.69,-0.59,9.0,2022,133
2.0,2:56,4.0,2.0,SEA 42,10.0,7.0,Michael Dickson punts 55 yards downed by Penny Hart,-0.59,0.38,9.0,2022,133
2.0,2:51,1.0,10.0,ARI 3,10.0,7.0,Keaontay Ingram up the middle for 2 yards (tackle by Jordyn Brooks and Uchenna Nwosu),-0.38,-0.63,9.0,2022,133
2.0,2:19,2.0,8.0,ARI 5,10.0,7.0,Kyler Murray pass complete deep left to Rondale Moore for 18 yards (tackle by Coby Bryant),-0.63,0.48,9.0,2022,133
2.0,2:00,1.0,10.0,ARI 23,10.0,7.0,Eno Benjamin left tackle for 3 yards (tackle by Jordyn Brooks),0.48,0.34,9.0,2022,133
2.0,1:42,2.0,7.0,ARI 26,10.0,7.0,Kyler Murray scrambles left end for 17 yards (tackle by Jordyn Brooks),0.34,1.8,9.0,2022,133
2.0,1:14,1.0,10.0,ARI 43,10.0,7.0,Kyler Murray pass complete short right to Robbie Anderson for -4 yards (tackle by Michael Jackson),1.8,0.71,9.0,2022,133
2.0,1:10,,,,,,Timeout #1 by Arizona Cardinals,,,9.0,2022,133
2.0,1:10,2.0,14.0,ARI 39,10.0,7.0,Kyler Murray pass incomplete deep right intended for Zach Ertz,0.71,0.04,9.0,2022,133
2.0,1:04,3.0,14.0,ARI 39,10.0,7.0,Kyler Murray pass complete short left to Eno Benjamin for 15 yards (tackle by Josh Onujiogu and Jordyn Brooks),0.04,2.52,9.0,2022,133
2.0,0:54,,,,,,Timeout #2 by Arizona Cardinals,,,9.0,2022,133
2.0,0:54,1.0,10.0,SEA 46,10.0,7.0,Kyler Murray pass complete short middle to Rondale Moore for 6 yards (tackle by Coby Bryant),2.52,2.79,9.0,2022,133
2.0,0:37,2.0,4.0,SEA 40,10.0,7.0,Kyler Murray pass incomplete short right,2.79,2.08,9.0,2022,133
2.0,0:29,3.0,4.0,SEA 40,10.0,7.0,Kyler Murray pass incomplete short middle intended for Robbie Anderson,2.08,0.59,9.0,2022,133
2.0,0:25,4.0,4.0,SEA 40,10.0,7.0,"Kyler Murray scrambles up the middle for 9 yards. Kyler Murray fumbles (forced by Ryan Neal), recovered by Josh Jones at SEA-23 (tackle by Ryan Neal)",0.59,-0.48,9.0,2022,133
2.0,0:15,1.0,10.0,SEA 23,10.0,7.0,Geno Smith pass complete short left to Travis Homer for 22 yards (tackle by Marco Wilson),0.48,1.93,9.0,2022,133
2.0,0:08,1.0,10.0,SEA 45,10.0,7.0,Geno Smith pass incomplete short middle intended for Noah Fant,1.93,1.38,9.0,2022,133
2.0,0:04,,,,,,Timeout #3 by Arizona Cardinals,,,9.0,2022,133
2.0,0:04,2.0,10.0,SEA 45,10.0,7.0,Geno Smith pass complete short right to Tyler Lockett for 30 yards (tackle by Zaven Collins and Zeke Turner),1.38,3.91,9.0,2022,133
3.0,15:00,,,SEA 35,10.0,7.0,"Jason Myers kicks off 60 yards, returned by Greg Dortch for 21 yards (tackle by DeeJay Dallas and Nick Bellore)",0.0,0.67,9.0,2022,133
3.0,14:54,1.0,10.0,ARI 26,10.0,7.0,James Conner left end for 2 yards (tackle by Boye Mafe),0.67,0.4,9.0,2022,133
3.0,14:16,2.0,8.0,ARI 28,10.0,7.0,Kyler Murray pass complete short left to DeAndre Hopkins for 4 yards (tackle by Jordyn Brooks),0.4,0.23,9.0,2022,133
3.0,13:40,3.0,4.0,ARI 32,10.0,7.0,"Kyler Murray pass incomplete deep right intended for Robbie Anderson. Penalty on Cody Ford: Ineligible Downfield Pass, 5 yards (declined)",0.23,-1.24,9.0,2022,133
3.0,13:32,4.0,4.0,ARI 32,10.0,7.0,"Andy Lee punts 45 yards, returned by DeeJay Dallas for 4 yards (tackle by Antonio Hamilton)",-1.24,-0.74,9.0,2022,133
3.0,13:22,1.0,10.0,SEA 27,10.0,7.0,Geno Smith pass complete short left to D.K. Metcalf for 8 yards (tackle by Byron Murphy),0.74,1.28,9.0,2022,133
3.0,12:50,2.0,2.0,SEA 35,10.0,7.0,Geno Smith sacked by Isaiah Simmons for -7 yards,1.28,-0.36,9.0,2022,133
3.0,12:04,3.0,9.0,SEA 28,10.0,7.0,Geno Smith sacked by and Zach Allen for -5 yards and Markus Golden for -5 yards,-0.36,-1.83,9.0,2022,133
3.0,11:25,4.0,14.0,SEA 23,10.0,7.0,"Michael Dickson punts 53 yards, returned by Greg Dortch for 7 yards (tackle by Tanner Muse)",-1.83,-1.0,9.0,2022,133
3.0,11:15,1.0,10.0,ARI 31,10.0,7.0,Kyler Murray sacked by Uchenna Nwosu for -8 yards,1.0,-0.62,9.0,2022,133
3.0,10:35,2.0,18.0,ARI 23,10.0,7.0,Kyler Murray pass complete short middle to James Conner for 1 yard (tackle by Josh Onujiogu),-0.62,-1.15,9.0,2022,133
3.0,10:01,3.0,17.0,ARI 24,10.0,7.0,"Kyler Murray pass complete short left to Greg Dortch for no gain. Penalty on Greg Dortch: Illegal Forward Pass, 5 yards (accepted)",-1.15,-2.14,9.0,2022,133
3.0,9:36,4.0,22.0,ARI 19,10.0,7.0,"Andy Lee punts 41 yards, fair catch by DeeJay Dallas at SEA-40",-2.14,-1.6,9.0,2022,133
3.0,9:26,1.0,10.0,SEA 40,10.0,13.0,"Geno Smith pass short right intended for Kenneth Walker is intercepted by Zaven Collins at SEA-30 and returned for 30 yards, touchdown",1.6,-7.0,9.0,2022,133
3.0,9:18,,,SEA 15,10.0,14.0,Matt Prater kicks extra point good,0.0,0.0,9.0,2022,133
3.0,9:18,,,ARI 35,10.0,14.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,133
3.0,9:18,1.0,10.0,SEA 25,10.0,14.0,Kenneth Walker right tackle for 6 yards (tackle by Tanner Vallejo),0.61,0.87,9.0,2022,133
3.0,8:50,2.0,4.0,SEA 31,10.0,14.0,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",0.87,0.2,9.0,2022,133
3.0,8:30,2.0,9.0,SEA 26,10.0,14.0,Geno Smith pass complete short right to Will Dissly for 6 yards (tackle by Zaven Collins and Marco Wilson),0.2,0.3,9.0,2022,133
3.0,7:55,3.0,3.0,SEA 32,10.0,14.0,Geno Smith pass complete short left to Will Dissly for 5 yards (tackle by Budda Baker),0.3,1.4,9.0,2022,133
3.0,7:24,1.0,10.0,SEA 37,10.0,14.0,Kenneth Walker up the middle for 1 yard (tackle by J.J. Watt),1.4,0.99,9.0,2022,133
3.0,6:38,2.0,9.0,SEA 38,10.0,14.0,Kenneth Walker up the middle for 2 yards (tackle by Zach Allen and Jonathan Ledbetter),0.99,0.56,9.0,2022,133
3.0,5:50,3.0,7.0,SEA 40,10.0,14.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.56,-0.1,9.0,2022,133
3.0,5:38,3.0,12.0,SEA 35,10.0,14.0,"Geno Smith pass complete short middle to Tyler Lockett for 12 yards (tackle by Zaven Collins). Penalty on Zaven Collins: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.1,3.05,9.0,2022,133
3.0,5:10,1.0,10.0,ARI 38,10.0,14.0,Geno Smith pass complete short right to Will Dissly for 13 yards (tackle by Isaiah Simmons),3.05,3.91,9.0,2022,133
3.0,4:45,1.0,10.0,ARI 25,10.0,14.0,Geno Smith pass complete short right to D.K. Metcalf for 9 yards,3.91,4.75,9.0,2022,133
3.0,4:18,2.0,1.0,ARI 16,10.0,14.0,Kenneth Walker left end for no gain (tackle by Budda Baker and Zaven Collins),4.75,4.06,9.0,2022,133
3.0,3:51,3.0,1.0,ARI 16,10.0,14.0,Kenneth Walker up the middle for 3 yards (tackle by Isaiah Simmons),4.06,4.71,9.0,2022,133
3.0,3:17,1.0,10.0,ARI 13,10.0,14.0,Kenneth Walker left tackle for 4 yards (tackle by Jalen Thompson and Jonathan Ledbetter),4.71,4.77,9.0,2022,133
3.0,2:57,2.0,6.0,ARI 9,10.0,14.0,Geno Smith pass incomplete short middle intended for Will Dissly (defended by Ben Niemann),4.77,3.88,9.0,2022,133
3.0,2:48,3.0,6.0,ARI 9,16.0,14.0,"Geno Smith pass complete short left to Tyler Lockett for 9 yards, touchdown",3.88,7.0,9.0,2022,133
3.0,2:43,,,ARI 15,17.0,14.0,Jason Myers kicks extra point good,0.0,0.0,9.0,2022,133
3.0,2:43,,,SEA 35,17.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,9.0,2022,133
3.0,2:43,1.0,10.0,ARI 30,17.0,14.0,Kyler Murray right end for no gain (tackle by Uchenna Nwosu),0.94,0.39,9.0,2022,133
3.0,2:09,2.0,10.0,ARI 30,17.0,14.0,Eno Benjamin up the middle for 2 yards (tackle by Cody Barton),0.39,-0.03,9.0,2022,133
3.0,1:37,3.0,8.0,ARI 32,17.0,14.0,Kyler Murray pass complete short right to Rondale Moore for 11 yards (tackle by Michael Jackson),-0.03,1.8,9.0,2022,133
3.0,1:15,1.0,10.0,ARI 43,17.0,14.0,Kyler Murray sacked by Bruce Irvin for -7 yards,1.8,0.31,9.0,2022,133
3.0,0:33,2.0,17.0,ARI 36,17.0,14.0,Kyler Murray scrambles up the middle for 7 yards (tackle by Tariq Woolen and Ryan Neal),0.31,0.56,9.0,2022,133
4.0,15:00,3.0,10.0,ARI 43,17.0,14.0,Kyler Murray sacked by Shelby Harris for -9 yards,0.56,-1.11,9.0,2022,133
4.0,14:26,4.0,19.0,ARI 34,17.0,14.0,"Andy Lee punts 50 yards, recovered by DeeJay Dallas at SEA-19 and returned for 47 yards",-1.11,-0.15,9.0,2022,133
4.0,14:18,1.0,10.0,SEA 19,17.0,14.0,Kenneth Walker right end for 4 yards (tackle by Marco Wilson),0.15,0.21,9.0,2022,133
4.0,13:44,2.0,6.0,SEA 23,17.0,14.0,Geno Smith pass complete short right to Colby Parkinson for 10 yards (tackle by Isaiah Simmons),0.21,1.14,9.0,2022,133
4.0,13:09,1.0,10.0,SEA 33,17.0,14.0,Kenneth Walker up the middle for 8 yards (tackle by Ben Niemann),1.14,1.67,9.0,2022,133
4.0,12:42,2.0,2.0,SEA 41,17.0,14.0,Kenneth Walker up the middle for 1 yard (tackle by Budda Baker),1.67,1.09,9.0,2022,133
4.0,11:59,3.0,1.0,SEA 42,17.0,14.0,Kenneth Walker right tackle for 4 yards (tackle by Victor Dimukeje and Isaiah Simmons),1.09,1.99,9.0,2022,133
4.0,11:30,1.0,10.0,SEA 46,17.0,14.0,Kenneth Walker up the middle for 3 yards (tackle by Cameron Thomas),1.99,1.86,9.0,2022,133
4.0,11:03,2.0,7.0,SEA 49,17.0,14.0,Geno Smith pass incomplete short right intended for D'Wayne Eskridge,1.86,1.16,9.0,2022,133
4.0,10:58,3.0,7.0,SEA 49,17.0,14.0,Geno Smith scrambles up the middle for 18 yards (tackle by Antonio Hamilton),1.16,3.38,9.0,2022,133
4.0,10:12,1.0,10.0,ARI 33,17.0,14.0,Geno Smith left end for 12 yards (tackle by Budda Baker),3.38,4.17,9.0,2022,133
4.0,9:30,1.0,10.0,ARI 21,17.0,14.0,Geno Smith pass complete short middle to Travis Homer for 1 yard (tackle by Zaven Collins and Markus Golden),4.17,3.76,9.0,2022,133
4.0,8:42,2.0,9.0,ARI 20,17.0,14.0,Geno Smith pass complete short left to D.K. Metcalf for 7 yards (tackle by Byron Murphy),3.76,4.24,9.0,2022,133
4.0,8:08,3.0,2.0,ARI 13,17.0,14.0,Kenneth Walker up the middle for 12 yards (tackle by Jalen Thompson and Zaven Collins),4.24,6.97,9.0,2022,133
4.0,7:35,1.0,1.0,ARI 1,23.0,14.0,"Kenneth Walker up the middle for 1 yard, touchdown",6.97,7.0,9.0,2022,133
4.0,7:32,,,ARI 15,24.0,14.0,Jason Myers kicks extra point good,0.0,0.0,9.0,2022,133
4.0,7:32,,,SEA 35,24.0,14.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,133
4.0,7:32,1.0,10.0,ARI 25,24.0,14.0,James Conner left end for 7 yards (tackle by Tariq Woolen),0.61,1.01,9.0,2022,133
4.0,7:09,2.0,3.0,ARI 32,24.0,14.0,"Penalty on Kelvin Beachum: False Start, 5 yards (accepted) (no play)",1.01,0.33,9.0,2022,133
4.0,7:09,2.0,8.0,ARI 27,24.0,14.0,Kyler Murray pass complete to James Conner for 6 yards (tackle by Coby Bryant),0.33,0.43,9.0,2022,133
4.0,6:44,3.0,2.0,ARI 33,24.0,14.0,James Conner up the middle for 5 yards (tackle by Josh Onujiogu),0.43,1.47,9.0,2022,133
4.0,6:25,1.0,10.0,ARI 38,24.0,14.0,Kyler Murray pass complete short right to Rondale Moore for 6 yards (tackle by Coby Bryant),1.47,1.73,9.0,2022,133
4.0,6:12,2.0,4.0,ARI 44,24.0,14.0,Kyler Murray pass complete short right to Rondale Moore for 10 yards (tackle by Coby Bryant),1.73,2.52,9.0,2022,133
4.0,5:45,1.0,10.0,SEA 46,24.0,14.0,"Kyler Murray pass complete to Rondale Moore for no gain. Rondale Moore fumbles (forced by Coby Bryant), recovered by Jordyn Brooks at 50 Replay Assistant challenged the fumble ruling, and the original play was overturned. Kyler Murray pass incomplete short right intended for Rondale Moore (defended by Coby Bryant)",2.52,1.98,9.0,2022,133
4.0,5:49,2.0,10.0,SEA 46,24.0,14.0,Eno Benjamin up the middle for 5 yards (tackle by Josh Jones),1.98,1.95,9.0,2022,133
4.0,5:21,3.0,5.0,SEA 41,24.0,14.0,James Conner left tackle for 14 yards (tackle by Jordyn Brooks),1.95,3.78,9.0,2022,133
4.0,4:56,1.0,10.0,SEA 27,24.0,14.0,Kyler Murray pass incomplete short right,3.78,3.23,9.0,2022,133
4.0,4:47,2.0,10.0,SEA 27,24.0,14.0,Kyler Murray pass complete short right to Rondale Moore for 11 yards (tackle by Coby Bryant),3.23,4.51,9.0,2022,133
4.0,4:21,1.0,10.0,SEA 16,24.0,14.0,Kyler Murray pass incomplete short right intended for Rondale Moore,4.51,3.9,9.0,2022,133
4.0,4:17,2.0,10.0,SEA 16,24.0,14.0,Kyler Murray pass complete short right to James Conner for 8 yards (tackle by Jordyn Brooks and Quandre Diggs),3.9,4.62,9.0,2022,133
4.0,3:53,3.0,2.0,SEA 8,24.0,14.0,"Penalty on Uchenna Nwosu: Defensive Offside, 4 yards (accepted) (no play)",4.62,6.28,9.0,2022,133
4.0,3:53,1.0,4.0,SEA 4,24.0,14.0,Greg Dortch left end for 3 yards (tackle by Josh Jones),6.28,5.91,9.0,2022,133
4.0,3:35,2.0,1.0,SEA 1,24.0,14.0,"Kyler Murray pass complete to DeAndre Hopkins for no gain, touchdown. Penalty on Robbie Anderson: False Start, 5 yards (accepted) (no play)",5.91,4.95,9.0,2022,133
4.0,3:35,2.0,6.0,SEA 6,24.0,20.0,"Kyler Murray pass complete short middle to Zach Ertz for 6 yards, touchdown",4.95,7.0,9.0,2022,133
4.0,3:32,,,SEA 15,24.0,21.0,Matt Prater kicks extra point good,0.0,0.0,9.0,2022,133
4.0,3:32,,,,,,Timeout #1 by Seattle Seahawks,,,9.0,2022,133
4.0,3:32,,,ARI 35,24.0,21.0,"Matt Prater kicks off 62 yards, returned by D'Wayne Eskridge for 12 yards (tackle by Kamu Grugier-Hill)",0.0,-0.22,9.0,2022,133
4.0,3:30,1.0,10.0,SEA 15,24.0,21.0,Geno Smith pass complete short right to Noah Fant for 51 yards (tackle by Budda Baker),-0.22,3.31,9.0,2022,133
4.0,2:41,1.0,10.0,ARI 34,24.0,21.0,Kenneth Walker right end for 8 yards (tackle by Zach Allen),3.31,3.85,9.0,2022,133
4.0,2:34,,,,,,Timeout #1 by Arizona Cardinals,,,9.0,2022,133
4.0,2:34,2.0,2.0,ARI 26,24.0,21.0,"Penalty on J.J. Watt: Encroachment, 5 yards (accepted) (no play)",3.85,4.17,9.0,2022,133
4.0,2:34,1.0,10.0,ARI 21,24.0,21.0,Kenneth Walker up the middle for 4 yards (tackle by Leki Fotu and Markus Golden),4.17,4.2,9.0,2022,133
