Quarter,Time,Down,ToGo,Location,LVR,JAX,Detail,EPB,EPA,week,year,game_id
2.0,11:00,1.0,10.0,JAX 38,16.0,0.0,"Derek Carr pass complete deep middle to Davante Adams for 38 yards, touchdown",3.05,7.0,9.0,2022,132
2.0,10:51,,,JAX 15,17.0,0.0,Daniel Carlson kicks extra point good,0.0,0.0,9.0,2022,132
2.0,10:51,,,LVR 35,17.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,132
2.0,10:51,1.0,10.0,JAX 25,17.0,0.0,Travis Etienne left end for 9 yards (tackle by Blake Martinez),0.61,1.28,9.0,2022,132
2.0,10:15,2.0,1.0,JAX 34,17.0,0.0,Travis Etienne left end for 3 yards (tackle by Malcolm Koonce),1.28,1.4,9.0,2022,132
2.0,9:36,1.0,10.0,JAX 37,17.0,0.0,Trevor Lawrence pass complete short right to Zay Jones for 22 yards (tackle by Rock Ya-Sin),1.4,2.85,9.0,2022,132
2.0,8:58,1.0,10.0,LVR 41,17.0,0.0,Travis Etienne left end for -6 yards (tackle by Neil Farrell and Blake Martinez),2.85,1.5,9.0,2022,132
2.0,8:17,2.0,16.0,LVR 47,17.0,0.0,Trevor Lawrence pass complete short left to Travis Etienne for 8 yards (tackle by Duron Harmon and Sam Webb),1.5,1.88,9.0,2022,132
2.0,7:32,3.0,8.0,LVR 39,17.0,0.0,Trevor Lawrence scrambles left end for 16 yards (tackle by Chandler Jones),1.88,4.04,9.0,2022,132
2.0,6:59,1.0,10.0,LVR 23,17.0,0.0,Jamycal Hasty right guard for no gain (tackle by Blake Martinez and Andrew Billings),4.04,3.5,9.0,2022,132
2.0,6:20,2.0,10.0,LVR 23,17.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 9 yards (tackle by Blake Martinez),3.5,4.28,9.0,2022,132
2.0,5:37,3.0,1.0,LVR 14,17.0,0.0,Travis Etienne up the middle for 13 yards (tackle by Duron Harmon and Rock Ya-Sin),4.28,6.97,9.0,2022,132
2.0,4:56,1.0,1.0,LVR 1,17.0,6.0,"Travis Etienne up the middle for 1 yard, touchdown Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",6.97,7.0,9.0,2022,132
2.0,4:50,,,LVR 15,17.0,7.0,Riley Patterson kicks extra point good,0.0,0.0,9.0,2022,132
2.0,4:50,,,JAX 35,17.0,7.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,132
2.0,4:50,1.0,10.0,LVR 25,17.0,7.0,Derek Carr pass complete short left to Davante Adams for 9 yards (tackle by Tyson Campbell),0.61,1.28,9.0,2022,132
2.0,4:06,2.0,1.0,LVR 34,17.0,7.0,Josh Jacobs right guard for 1 yard (tackle by Folorunso Fatukasi),1.28,1.27,9.0,2022,132
2.0,3:23,1.0,10.0,LVR 35,17.0,7.0,Josh Jacobs up the middle for 12 yards (tackle by Roy Robertson-Harris),1.27,2.06,9.0,2022,132
2.0,2:42,1.0,10.0,LVR 47,17.0,7.0,Josh Jacobs left guard for 3 yards (tackle by Darious Williams and DaVon Hamilton),2.06,1.92,9.0,2022,132
2.0,2:00,2.0,7.0,JAX 50,17.0,7.0,Derek Carr pass complete short left to Davante Adams for 11 yards (tackle by Foyesade Oluokun),1.92,2.98,9.0,2022,132
2.0,1:51,1.0,10.0,JAX 39,17.0,7.0,Josh Jacobs up the middle for 12 yards (tackle by Tre Herndon),2.98,3.78,9.0,2022,132
2.0,1:06,1.0,10.0,JAX 27,17.0,7.0,Derek Carr pass complete short left to Mack Hollins for 4 yards (tackle by Tre Herndon),3.78,3.77,9.0,2022,132
2.0,1:01,2.0,6.0,JAX 23,17.0,7.0,Josh Jacobs left guard for 3 yards (tackle by Travon Walker and Rayshawn Jenkins),3.77,3.47,9.0,2022,132
2.0,0:55,,,,,,Timeout #1 by Jacksonville Jaguars,,,9.0,2022,132
2.0,0:55,3.0,3.0,JAX 20,17.0,7.0,Derek Carr pass incomplete deep left intended for Ameer Abdullah (defended by Chad Muma),3.47,2.22,9.0,2022,132
2.0,0:50,4.0,3.0,JAX 20,20.0,7.0,Daniel Carlson 38 yard field goal good,2.22,3.0,9.0,2022,132
2.0,0:45,,,LVR 35,20.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,132
2.0,0:45,1.0,10.0,JAX 25,20.0,7.0,Trevor Lawrence pass complete short left to Marvin Jones for 7 yards,0.61,1.01,9.0,2022,132
2.0,0:40,2.0,3.0,JAX 32,20.0,7.0,Trevor Lawrence pass incomplete deep left intended for Marvin Jones (defended by Anthony Averett),1.01,0.3,9.0,2022,132
2.0,0:34,3.0,3.0,JAX 32,20.0,7.0,Trevor Lawrence scrambles up the middle for 24 yards (tackle by Duron Harmon),0.3,2.65,9.0,2022,132
2.0,0:26,,,,,,Timeout #2 by Jacksonville Jaguars,,,9.0,2022,132
2.0,0:26,1.0,10.0,LVR 44,20.0,7.0,Trevor Lawrence pass complete short left to Zay Jones for 6 yards (tackle by Anthony Averett),2.65,2.92,9.0,2022,132
2.0,0:21,2.0,4.0,LVR 38,20.0,7.0,Trevor Lawrence pass complete short left to Zay Jones for 6 yards (tackle by Johnathan Abram),2.92,3.45,9.0,2022,132
2.0,0:16,,,,,,Timeout #3 by Jacksonville Jaguars,,,9.0,2022,132
2.0,0:16,,,,,,Timeout #2 by Las Vegas Raiders,,,9.0,2022,132
2.0,0:16,1.0,10.0,LVR 32,20.0,7.0,Trevor Lawrence pass complete short middle to Christian Kirk for 6 yards (tackle by Blake Martinez),3.45,3.71,9.0,2022,132
2.0,0:06,2.0,4.0,LVR 26,20.0,7.0,Trevor Lawrence spiked the ball,3.71,3.01,9.0,2022,132
2.0,0:03,3.0,4.0,LVR 26,20.0,10.0,Riley Patterson 44 yard field goal good,3.01,3.0,9.0,2022,132
3.0,15:00,,,LVR 35,20.0,10.0,"Daniel Carlson kicks off 62 yards, returned by Jamal Agnew for 52 yards (tackle by Sam Webb)",0.0,2.59,9.0,2022,132
3.0,14:51,1.0,10.0,LVR 45,20.0,10.0,Trevor Lawrence left end for 5 yards (tackle by Denzel Perryman),2.59,2.72,9.0,2022,132
3.0,14:11,2.0,5.0,LVR 40,20.0,10.0,"Trevor Lawrence pass complete short left to Christian Kirk for 12 yards. Penalty on Amik Robertson: Defensive Holding, 5 yards (declined)",2.72,3.71,9.0,2022,132
3.0,13:57,1.0,10.0,LVR 28,20.0,10.0,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Rock Ya-Sin),3.71,4.11,9.0,2022,132
3.0,13:25,2.0,3.0,LVR 21,20.0,10.0,Travis Etienne up the middle for 2 yards (tackle by Bilal Nichols and Denzel Perryman),4.11,3.72,9.0,2022,132
3.0,12:46,3.0,1.0,LVR 19,20.0,10.0,Travis Etienne left end for 5 yards (tackle by Denzel Perryman),3.72,4.65,9.0,2022,132
3.0,12:06,1.0,10.0,LVR 14,20.0,10.0,Trevor Lawrence pass complete short right to Evan Engram for 8 yards (tackle by Denzel Perryman and Trevon Moehrig),4.65,5.47,9.0,2022,132
3.0,11:34,2.0,2.0,LVR 6,20.0,10.0,Travis Etienne up the middle for 5 yards (tackle by Clelin Ferrell and Duron Harmon),5.47,6.97,9.0,2022,132
3.0,11:12,1.0,1.0,LVR 1,20.0,10.0,"Travis Etienne for no gain (tackle by Clelin Ferrell). Penalty on Brandon Scherff: Offensive Holding, 10 yards (accepted) (no play)",6.97,4.77,9.0,2022,132
3.0,11:00,1.0,11.0,LVR 11,20.0,10.0,Trevor Lawrence pass complete short left to Christian Kirk for 4 yards (tackle by Anthony Averett),4.77,4.76,9.0,2022,132
3.0,10:20,2.0,7.0,LVR 7,20.0,16.0,"Trevor Lawrence pass complete short right to Christian Kirk for 7 yards, touchdown",4.76,7.0,9.0,2022,132
3.0,10:15,,,LVR 15,20.0,17.0,Riley Patterson kicks extra point good,0.0,0.0,9.0,2022,132
3.0,10:15,,,JAX 35,20.0,17.0,"Penalty on Roderic Teamer: Defensive Offside, 5 yards (accepted) (no play)",0.0,0.0,9.0,2022,132
3.0,10:15,,,JAX 40,20.0,17.0,"Riley Patterson kicks off 56 yards, returned by Ameer Abdullah for 14 yards (tackle by Andrew Wingard and Shaquille Quarterman)",0.0,0.04,9.0,2022,132
3.0,10:09,1.0,10.0,LVR 18,20.0,17.0,Josh Jacobs left guard for 8 yards (tackle by Foyesade Oluokun and Andre Cisco),0.04,0.68,9.0,2022,132
3.0,9:30,2.0,2.0,LVR 26,20.0,17.0,Josh Jacobs left guard for 15 yards (tackle by Darious Williams and Josh Allen),0.68,1.66,9.0,2022,132
3.0,8:48,1.0,10.0,LVR 41,20.0,17.0,Zamir White left end for -1 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),1.66,0.99,9.0,2022,132
3.0,8:05,2.0,11.0,LVR 40,20.0,17.0,Derek Carr pass complete short left to Davante Adams for no gain (tackle by Foyesade Oluokun),0.99,0.3,9.0,2022,132
3.0,7:15,3.0,11.0,LVR 40,20.0,17.0,Derek Carr pass incomplete deep middle intended for Mack Hollins (defended by Andre Cisco),0.3,-0.72,9.0,2022,132
3.0,7:10,4.0,11.0,LVR 40,20.0,17.0,AJ Cole punts 42 yards out of bounds,-0.72,-0.04,9.0,2022,132
3.0,7:02,1.0,10.0,JAX 18,20.0,17.0,Trevor Lawrence pass complete short left to Luke Farrell for 15 yards (tackle by Trevon Moehrig),0.04,1.14,9.0,2022,132
3.0,6:27,1.0,10.0,JAX 33,20.0,17.0,Travis Etienne right end for 3 yards (tackle by Maxx Crosby and Andrew Billings),1.14,1.0,9.0,2022,132
3.0,5:52,2.0,7.0,JAX 36,20.0,17.0,Trevor Lawrence pass complete short right to Zay Jones for 5 yards (tackle by Duron Harmon),1.0,0.96,9.0,2022,132
3.0,5:17,3.0,2.0,JAX 41,20.0,17.0,Trevor Lawrence pass complete short right to Marvin Jones for 11 yards (tackle by Duron Harmon),0.96,2.39,9.0,2022,132
3.0,4:33,1.0,10.0,LVR 48,20.0,17.0,Travis Etienne right end for 2 yards (tackle by Andrew Billings and Maxx Crosby),2.39,2.12,9.0,2022,132
3.0,3:53,2.0,8.0,LVR 46,20.0,17.0,Trevor Lawrence pass complete short left to Dan Arnold for 19 yards (tackle by Anthony Averett),2.12,3.78,9.0,2022,132
3.0,3:16,1.0,10.0,LVR 27,20.0,17.0,Jamycal Hasty up the middle for 4 yards (tackle by Matthew Butler and Luke Masterson),3.78,3.77,9.0,2022,132
3.0,2:43,2.0,6.0,LVR 23,20.0,17.0,Jamycal Hasty up the middle for 2 yards (tackle by Johnathan Abram),3.77,3.34,9.0,2022,132
3.0,2:03,3.0,4.0,LVR 21,20.0,17.0,Trevor Lawrence pass complete short middle to Christian Kirk for 7 yards (tackle by Maxx Crosby),3.34,4.65,9.0,2022,132
3.0,1:23,1.0,10.0,LVR 14,20.0,17.0,Travis Etienne right end for 8 yards (tackle by Blake Martinez and Johnathan Abram),4.65,5.47,9.0,2022,132
3.0,0:43,2.0,2.0,LVR 6,20.0,17.0,Travis Etienne up the middle for 1 yard (tackle by Denzel Perryman),5.47,4.96,9.0,2022,132
4.0,15:00,3.0,1.0,LVR 5,20.0,23.0,"Travis Etienne right end for 5 yards, touchdown",4.96,7.0,9.0,2022,132
4.0,14:56,,,LVR 15,20.0,24.0,Riley Patterson kicks extra point good,0.0,0.0,9.0,2022,132
4.0,14:56,,,JAX 35,20.0,24.0,"Penalty on Andrew Billings: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.0,0.0,9.0,2022,132
4.0,14:56,,,JAX 50,20.0,24.0,"Riley Patterson kicks off 44 yards, returned by Ameer Abdullah for 7 yards (tackle by Andrew Wingard). Penalty on Andre Cisco: Offside on Free Kick, 5 yards (accepted)",0.0,0.04,9.0,2022,132
4.0,14:52,1.0,10.0,LVR 18,20.0,24.0,Derek Carr pass complete short left to Josh Jacobs for 13 yards (tackle by Montaric Brown and Andre Cisco),0.04,1.0,9.0,2022,132
4.0,14:18,1.0,10.0,LVR 31,20.0,24.0,Derek Carr pass incomplete short middle intended for Davante Adams,1.0,0.46,9.0,2022,132
4.0,14:13,2.0,10.0,LVR 31,20.0,24.0,Josh Jacobs up the middle for 1 yard (tackle by Arden Key and Folorunso Fatukasi),0.46,-0.1,9.0,2022,132
4.0,13:29,3.0,9.0,LVR 32,20.0,24.0,Derek Carr pass complete short middle to Foster Moreau for 12 yards (tackle by Montaric Brown),-0.1,1.86,9.0,2022,132
4.0,12:47,1.0,10.0,LVR 44,20.0,24.0,Josh Jacobs right end for 8 yards (tackle by Andre Cisco and Josh Allen),1.86,2.4,9.0,2022,132
4.0,12:07,2.0,2.0,JAX 48,20.0,24.0,Josh Jacobs up the middle for 3 yards (tackle by Rayshawn Jenkins and Corey Peters),2.4,2.59,9.0,2022,132
4.0,11:27,1.0,10.0,JAX 45,20.0,24.0,Josh Jacobs right guard for -2 yards (tackle by DaVon Hamilton),2.59,1.77,9.0,2022,132
4.0,10:49,2.0,12.0,JAX 47,20.0,24.0,Josh Jacobs right guard for 2 yards (tackle by Folorunso Fatukasi and DaVon Hamilton),1.77,1.36,9.0,2022,132
4.0,10:10,3.0,10.0,JAX 45,20.0,24.0,Derek Carr pass incomplete short right intended for Davante Adams,1.36,0.27,9.0,2022,132
4.0,10:04,4.0,10.0,JAX 45,20.0,24.0,"AJ Cole punts 36 yards, fair catch by Jamal Agnew at JAC-9",0.27,0.38,9.0,2022,132
4.0,9:56,1.0,10.0,JAX 9,20.0,24.0,Travis Etienne up the middle for -1 yards (tackle by Andrew Billings),-0.38,-0.85,9.0,2022,132
4.0,9:21,2.0,11.0,JAX 8,20.0,24.0,"Trevor Lawrence pass complete short left to Marvin Jones for 15 yards (tackle by Anthony Averett). Penalty on Anthony Averett: Defensive Holding, 5 yards (declined)",-0.85,0.48,9.0,2022,132
4.0,9:01,1.0,10.0,JAX 23,20.0,24.0,Travis Etienne up the middle for no gain (tackle by Denzel Perryman and Bilal Nichols),0.48,-0.07,9.0,2022,132
4.0,8:21,2.0,10.0,JAX 23,20.0,24.0,Trevor Lawrence pass complete short middle to Chris Manhertz for 7 yards (tackle by Blake Martinez),-0.07,0.17,9.0,2022,132
4.0,7:44,3.0,3.0,JAX 30,20.0,24.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by Clelin Ferrell),0.17,-1.37,9.0,2022,132
4.0,7:41,4.0,3.0,JAX 30,20.0,24.0,"Logan Cooke punts 50 yards, returned by Hunter Renfrow for 7 yards (tackle by Luke Farrell)",-1.37,-0.74,9.0,2022,132
4.0,7:28,1.0,10.0,LVR 27,20.0,24.0,Derek Carr pass incomplete short middle intended for Davante Adams,0.74,0.2,9.0,2022,132
4.0,7:24,2.0,10.0,LVR 27,20.0,24.0,Derek Carr pass complete short right to Josh Jacobs for 3 yards (tackle by Andrew Wingard),0.2,-0.1,9.0,2022,132
4.0,6:37,3.0,7.0,LVR 30,20.0,24.0,Derek Carr pass incomplete short right intended for Ameer Abdullah,-0.1,-1.37,9.0,2022,132
4.0,6:30,4.0,7.0,LVR 30,20.0,24.0,"Penalty on Mack Hollins: False Start, 5 yards (accepted) (no play)",-1.37,-1.7,9.0,2022,132
4.0,6:30,4.0,12.0,LVR 25,20.0,24.0,"AJ Cole punts 60 yards, returned by Jamal Agnew for 3 yards (tackle by Brandon Bolden)",-1.7,-0.04,9.0,2022,132
4.0,6:19,1.0,10.0,JAX 18,20.0,24.0,Travis Etienne left end for 16 yards (tackle by Denzel Perryman),0.04,1.2,9.0,2022,132
4.0,5:38,1.0,10.0,JAX 34,20.0,24.0,Trevor Lawrence pass complete short right to Zay Jones for 1 yard (tackle by Johnathan Abram),1.2,0.79,9.0,2022,132
4.0,5:07,2.0,9.0,JAX 35,20.0,24.0,Trevor Lawrence pass complete short right to Jamycal Hasty for 5 yards (tackle by Rock Ya-Sin),0.79,0.76,9.0,2022,132
4.0,4:18,,,,,,Timeout #1 by Jacksonville Jaguars,,,9.0,2022,132
4.0,4:18,3.0,4.0,JAX 40,20.0,24.0,Trevor Lawrence pass complete short left to Christian Kirk for 10 yards (tackle by Anthony Averett),0.76,2.26,9.0,2022,132
4.0,4:14,1.0,10.0,JAX 50,20.0,24.0,Travis Etienne up the middle for 18 yards (tackle by Blake Martinez),2.26,3.45,9.0,2022,132
4.0,3:26,1.0,10.0,LVR 32,20.0,24.0,Travis Etienne right guard for 6 yards (tackle by Duron Harmon and Blake Martinez),3.45,3.71,9.0,2022,132
4.0,3:18,,,,,,Timeout #1 by Las Vegas Raiders,,,9.0,2022,132
4.0,3:18,2.0,4.0,LVR 26,20.0,24.0,Travis Etienne up the middle for 3 yards (tackle by Luke Masterson and Neil Farrell),3.71,3.4,9.0,2022,132
4.0,3:12,,,,,,Timeout #2 by Las Vegas Raiders,,,9.0,2022,132
4.0,3:12,3.0,1.0,LVR 23,20.0,24.0,Travis Etienne left guard for no gain (tackle by Blake Martinez),3.4,2.08,9.0,2022,132
4.0,3:08,,,,,,Timeout #3 by Las Vegas Raiders,,,9.0,2022,132
4.0,3:08,,,,,,Timeout #2 by Jacksonville Jaguars,,,9.0,2022,132
4.0,3:08,4.0,1.0,LVR 23,20.0,24.0,Riley Patterson 41 yard field goal no good,2.08,-1.0,9.0,2022,132
4.0,3:03,1.0,10.0,LVR 31,20.0,24.0,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Foyesade Oluokun),1.0,1.54,9.0,2022,132
4.0,2:41,2.0,2.0,LVR 39,20.0,24.0,Derek Carr pass incomplete deep left intended for Davante Adams (defended by Tyson Campbell),1.54,0.83,9.0,2022,132
4.0,2:34,3.0,2.0,LVR 39,20.0,24.0,Derek Carr pass incomplete deep left intended for Davante Adams,0.83,-0.78,9.0,2022,132
4.0,2:30,4.0,2.0,LVR 39,20.0,24.0,Derek Carr pass incomplete short middle intended for Hunter Renfrow,-0.78,-2.98,9.0,2022,132
4.0,2:25,1.0,10.0,LVR 39,20.0,24.0,Travis Etienne left guard for 2 yards (tackle by Denzel Perryman and Clelin Ferrell),2.98,2.71,9.0,2022,132
4.0,2:00,2.0,8.0,LVR 37,20.0,24.0,Travis Etienne up the middle for 1 yard (tackle by Maxx Crosby and Neil Farrell),2.71,2.15,9.0,2022,132
4.0,1:15,,,,,,Timeout #3 by Jacksonville Jaguars,,,9.0,2022,132
4.0,1:15,3.0,7.0,LVR 36,20.0,24.0,"Travis Etienne left end for 6 yards (tackle by Johnathan Abram). Penalty on Jawaan Taylor: Offensive Holding, 10 yards (declined)",2.15,1.52,9.0,2022,132
4.0,1:08,4.0,1.0,LVR 30,20.0,27.0,Riley Patterson 48 yard field goal good,1.52,3.0,9.0,2022,132
4.0,1:03,,,JAX 35,20.0,27.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,9.0,2022,132
4.0,1:03,1.0,10.0,LVR 25,20.0,27.0,Derek Carr pass incomplete deep right intended for Davante Adams (defended by Darious Williams),0.61,0.06,9.0,2022,132
4.0,0:56,2.0,10.0,LVR 25,20.0,27.0,Derek Carr pass incomplete deep middle intended for Davante Adams,0.06,-0.62,9.0,2022,132
4.0,0:50,3.0,10.0,LVR 25,20.0,27.0,Derek Carr sacked by Dawuane Smoot for -7 yards,-0.62,-2.24,9.0,2022,132
4.0,0:27,4.0,17.0,LVR 18,20.0,27.0,"Brandon Bolden left end for 5 yards, lateral to Foster Moreau for no gain. Foster Moreau fumbles (forced by Tre Herndon), recovered by Devin Lloyd at LV-25 and returned for 11 yards (tackle by Dylan Parham)",-2.24,-4.65,9.0,2022,132
4.0,0:08,1.0,10.0,LVR 14,20.0,27.0,Trevor Lawrence kneels for -1 yards,4.65,3.85,9.0,2022,132
