Quarter,Time,Down,ToGo,Location,BAL,NOR,Detail,EPB,EPA,week,year,game_id
4.0,7:02,1.0,3.0,NOR 3,26.0,6.0,"Kenyan Drake right guard for 3 yards, touchdown",6.51,7.0,9.0,2022,136
4.0,6:55,,,NOR 15,27.0,6.0,Justin Tucker kicks extra point good,0.0,0.0,9.0,2022,136
4.0,6:55,,,BAL 35,27.0,6.0,"Justin Tucker kicks off 68 yards, returned by Rashid Shaheed for 20 yards (tackle by Binjimen Victor)",0.0,-0.06,9.0,2022,136
4.0,6:52,1.0,10.0,NOR 17,27.0,6.0,"Penalty on Cesar Ruiz: False Start, 5 yards (accepted) (no play)",-0.06,-0.51,9.0,2022,136
4.0,6:52,1.0,15.0,NOR 12,27.0,6.0,Alvin Kamara right guard for -4 yards (tackle by Calais Campbell),-0.51,-1.44,9.0,2022,136
4.0,6:23,2.0,19.0,NOR 8,27.0,6.0,Andy Dalton pass complete short left to Marquez Callaway for 5 yards (tackle by Kyle Hamilton),-1.44,-1.86,9.0,2022,136
4.0,5:55,3.0,14.0,NOR 13,27.0,6.0,Andy Dalton pass complete short right to Chris Olave for 11 yards (tackle by Geno Stone and Roquan Smith),-1.86,-1.77,9.0,2022,136
4.0,5:28,4.0,3.0,NOR 24,27.0,6.0,Andy Dalton pass complete short left to Tre'Quan Smith for 7 yards (tackle by Kyle Hamilton),-1.77,1.0,9.0,2022,136
4.0,5:02,1.0,10.0,NOR 31,27.0,6.0,Andy Dalton pass incomplete short right,1.0,0.46,9.0,2022,136
4.0,4:58,2.0,10.0,NOR 31,27.0,6.0,Andy Dalton pass complete short right to Tre'Quan Smith for 9 yards (tackle by Damarion Williams and Marcus Peters),0.46,0.96,9.0,2022,136
4.0,4:33,3.0,1.0,NOR 40,27.0,6.0,Andy Dalton pass complete short middle to Alvin Kamara for 19 yards (tackle by Marcus Peters),0.96,2.85,9.0,2022,136
4.0,4:27,1.0,10.0,BAL 41,27.0,6.0,Andy Dalton pass incomplete short middle intended for Marquez Callaway,2.85,2.31,9.0,2022,136
4.0,4:22,2.0,10.0,BAL 41,27.0,12.0,"Andy Dalton pass complete short right to Juwan Johnson for 41 yards, touchdown",2.31,7.0,9.0,2022,136
4.0,4:13,,,BAL 15,27.0,13.0,Wil Lutz kicks extra point good,0.0,0.0,9.0,2022,136
4.0,4:13,,,NOR 35,27.0,13.0,"Wil Lutz kicks off 52 yards, returned by Justice Hill for 9 yards (tackle by Daniel Sorensen)",0.0,0.41,9.0,2022,136
4.0,4:10,1.0,10.0,BAL 22,27.0,13.0,Lamar Jackson right guard for 6 yards (tackle by Tanoh Kpassagnon),0.41,0.68,9.0,2022,136
4.0,3:29,2.0,4.0,BAL 28,27.0,13.0,Lamar Jackson left guard for 7 yards (tackle by Carl Granderson),0.68,1.27,9.0,2022,136
4.0,3:23,,,,,,Timeout #1 by New Orleans Saints,,,9.0,2022,136
4.0,3:23,1.0,10.0,BAL 35,27.0,13.0,Kenyan Drake right guard for no gain (tackle by Tanoh Kpassagnon),1.27,0.72,9.0,2022,136
4.0,3:19,,,,,,Timeout #2 by New Orleans Saints,,,9.0,2022,136
4.0,3:19,2.0,10.0,BAL 35,27.0,13.0,Kenyan Drake left tackle for 9 yards (tackle by Zack Baun and Marcus Maye),0.72,1.22,9.0,2022,136
4.0,3:14,,,,,,Timeout #3 by New Orleans Saints,,,9.0,2022,136
4.0,3:14,3.0,1.0,BAL 44,27.0,13.0,Kenyan Drake left tackle for 2 yards (tackle by Tanoh Kpassagnon),1.22,1.99,9.0,2022,136
4.0,2:32,1.0,10.0,BAL 46,27.0,13.0,Kenyan Drake right guard for 5 yards (tackle by Kaden Elliss),1.99,2.13,9.0,2022,136
4.0,2:00,2.0,5.0,NOR 49,27.0,13.0,Kenyan Drake right end for 4 yards (tackle by Kaden Elliss),2.13,1.95,9.0,2022,136
4.0,1:15,3.0,1.0,NOR 45,27.0,13.0,Kenyan Drake left end for -7 yards (tackle by Carl Granderson),1.95,-0.19,9.0,2022,136
4.0,0:29,,,,,,Timeout #3 by Baltimore Ravens,,,9.0,2022,136
4.0,0:29,4.0,8.0,BAL 48,27.0,13.0,"Jordan Stout punts 41 yards, fair catch by Rashid Shaheed at NO-11",-0.19,0.37,9.0,2022,136
4.0,0:23,1.0,10.0,NOR 11,27.0,13.0,Dwayne Washington right guard for 5 yards (tackle by Broderick Washington),-0.37,-0.3,9.0,2022,136
