Quarter,Time,Down,ToGo,Location,WAS,BAL,Detail,EPB,EPA,week,year,game_id
1.0,3:08,2.0,10.0,WAS 30,3.0,3.0,Jayden Daniels pass complete short right to Austin Ekeler for no gain (tackle by Nate Wiggins),0.39,-0.3,6.0,2024,86
1.0,2:32,3.0,10.0,WAS 30,3.0,3.0,Jayden Daniels pass incomplete short middle intended for Olamide Zaccheaus,-0.3,-1.37,6.0,2024,86
1.0,2:30,4.0,10.0,WAS 30,3.0,3.0,"Tress Way punts 54 yards, returned by Deonte Harty for 4 yards (tackle by John Bates)",-1.37,-0.28,6.0,2024,86
1.0,2:20,1.0,10.0,BAL 20,3.0,3.0,Lamar Jackson pass complete short left to Zay Flowers for no gain (tackle by Percy Butler),0.28,-0.27,6.0,2024,86
1.0,1:36,2.0,10.0,BAL 20,3.0,3.0,Derrick Henry up the middle for 1 yard (tackle by Jer'Zhan Newton),-0.27,-0.82,6.0,2024,86
1.0,1:04,3.0,9.0,BAL 21,3.0,3.0,Lamar Jackson sacked by Dante Fowler for -11 yards,-0.82,-2.49,6.0,2024,86
1.0,0:13,4.0,20.0,BAL 10,3.0,3.0,"Jordan Stout punts 50 yards, returned by Olamide Zaccheaus for 10 yards (tackle by Chris Board)",-2.49,-2.26,6.0,2024,86
1.0,0:02,1.0,10.0,BAL 50,3.0,3.0,Austin Ekeler right guard for 6 yards (tackle by Trenton Simpson),2.26,2.52,6.0,2024,86
2.0,15:00,2.0,4.0,BAL 44,3.0,3.0,Austin Ekeler left guard for -1 yards (tackle by Travis Jones),2.52,1.69,6.0,2024,86
2.0,14:19,3.0,5.0,BAL 45,3.0,3.0,Jayden Daniels scrambles left end for 6 yards (tackle by Brandon Stephens),1.69,2.98,6.0,2024,86
2.0,14:07,1.0,10.0,BAL 39,3.0,3.0,Jayden Daniels pass complete short right to Austin Ekeler for -2 yards (tackle by Marlon Humphrey and Kyle Hamilton),2.98,2.17,6.0,2024,86
2.0,13:30,2.0,12.0,BAL 41,3.0,3.0,Jayden Daniels pass incomplete short middle intended for Olamide Zaccheaus,2.17,1.49,6.0,2024,86
2.0,13:12,3.0,12.0,BAL 41,3.0,3.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin (defended by Brandon Stephens),1.49,0.53,6.0,2024,86
2.0,13:01,4.0,12.0,BAL 41,3.0,3.0,Tress Way punts 35 yards downed by Mykal Walker,0.53,0.38,6.0,2024,86
2.0,12:53,1.0,10.0,BAL 7,3.0,3.0,Lamar Jackson pass incomplete short middle intended for Nelson Agholor (defended by Benjamin St-Juste),-0.38,-0.78,6.0,2024,86
2.0,12:49,2.0,10.0,BAL 7,3.0,3.0,Derrick Henry left guard for 5 yards (tackle by Mykal Walker and Percy Butler),-0.78,-0.84,6.0,2024,86
2.0,12:11,3.0,5.0,BAL 12,3.0,3.0,Lamar Jackson pass complete short left to Rashod Bateman for 13 yards (tackle by Benjamin St-Juste),-0.84,0.61,6.0,2024,86
2.0,11:39,1.0,10.0,BAL 25,3.0,3.0,Lamar Jackson pass complete deep middle to Rashod Bateman for 23 yards (tackle by Percy Butler),0.61,2.13,6.0,2024,86
2.0,10:52,1.0,10.0,BAL 48,3.0,3.0,Derrick Henry up the middle for 15 yards (tackle by Percy Butler),2.13,3.12,6.0,2024,86
2.0,10:13,1.0,10.0,WAS 37,3.0,3.0,Lamar Jackson pass complete short left to Zay Flowers for 23 yards (tackle by Quan Martin),3.12,4.65,6.0,2024,86
2.0,9:28,1.0,10.0,WAS 14,3.0,3.0,Lamar Jackson right end for -2 yards (tackle by Dante Fowler),4.65,3.72,6.0,2024,86
2.0,8:44,2.0,12.0,WAS 16,3.0,3.0,Lamar Jackson pass complete short left to Justice Hill for 2 yards (tackle by Mike Sainristil),3.72,3.11,6.0,2024,86
2.0,8:06,3.0,10.0,WAS 14,3.0,3.0,"Lamar Jackson pass incomplete short middle intended for Zay Flowers. Penalty on Benjamin St-Juste: Defensive Pass Interference, 11 yards (accepted) (no play)",3.11,6.51,6.0,2024,86
2.0,7:59,1.0,3.0,WAS 3,3.0,9.0,"Derrick Henry right end for 3 yards, touchdown",6.51,7.0,6.0,2024,86
2.0,7:55,,,WAS 15,3.0,10.0,Justin Tucker kicks extra point good,0.0,0.0,6.0,2024,86
2.0,7:55,,,BAL 35,3.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
2.0,7:55,1.0,10.0,WAS 30,3.0,10.0,Jayden Daniels pass complete short middle to Noah Brown for 15 yards (tackle by Marlon Humphrey),0.94,1.93,6.0,2024,86
2.0,7:25,1.0,10.0,WAS 45,3.0,10.0,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Marlon Humphrey),1.93,1.38,6.0,2024,86
2.0,7:18,2.0,10.0,WAS 45,3.0,10.0,Jayden Daniels pass complete short left to Terry McLaurin for 4 yards (tackle by Kyle Hamilton),1.38,1.22,6.0,2024,86
2.0,6:42,3.0,6.0,WAS 49,3.0,10.0,Jayden Daniels pass complete short left to Terry McLaurin for 8 yards (tackle by Brandon Stephens),1.22,2.72,6.0,2024,86
2.0,6:19,1.0,10.0,BAL 43,3.0,10.0,Jayden Daniels pass complete short left to Austin Ekeler for 25 yards (tackle by Marlon Humphrey),2.72,4.37,6.0,2024,86
2.0,5:47,1.0,10.0,BAL 18,3.0,10.0,Jayden Daniels pass complete short right to Dyami Brown for 11 yards (tackle by Marcus Williams),4.37,5.6,6.0,2024,86
2.0,5:02,1.0,7.0,BAL 7,3.0,10.0,Jayden Daniels pass complete short left to Luke McCaffrey for 5 yards (tackle by Ar'Darius Washington),5.6,5.72,6.0,2024,86
2.0,4:28,2.0,2.0,BAL 2,3.0,10.0,"Penalty on Andrew Wylie: False Start, 5 yards (accepted) (no play)",5.72,4.76,6.0,2024,86
2.0,4:21,2.0,7.0,BAL 7,9.0,10.0,"Jayden Daniels pass complete short right to Terry McLaurin for 7 yards, touchdown",4.76,7.0,6.0,2024,86
2.0,4:16,,,BAL 15,10.0,10.0,Austin Seibert kicks extra point good,0.0,0.0,6.0,2024,86
2.0,4:16,,,WAS 35,10.0,10.0,"Austin Seibert kicks off 64 yards, returned by Deonte Harty for 21 yards (tackle by Nick Bellore)",0.0,0.41,6.0,2024,86
2.0,4:09,1.0,10.0,BAL 22,10.0,10.0,Lamar Jackson pass complete short middle to Zay Flowers for 10 yards (tackle by Frankie Luvu and Mike Sainristil),0.41,1.07,6.0,2024,86
2.0,3:28,1.0,10.0,BAL 32,10.0,10.0,"Penalty on Roger Rosengarten: False Start, 5 yards (accepted) (no play)",1.07,0.74,6.0,2024,86
2.0,3:21,1.0,15.0,BAL 27,10.0,10.0,"Lamar Jackson pass incomplete deep middle intended for Rashod Bateman. Penalty on Noah Igbinoghene: Defensive Holding, 5 yards (accepted) (no play)",0.74,1.07,6.0,2024,86
2.0,3:06,1.0,10.0,BAL 32,10.0,10.0,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Noah Igbinoghene),1.07,0.53,6.0,2024,86
2.0,2:58,2.0,10.0,BAL 32,10.0,10.0,Lamar Jackson pass complete short left to Zay Flowers for 13 yards (tackle by Noah Igbinoghene),0.53,1.93,6.0,2024,86
2.0,2:23,1.0,10.0,BAL 45,10.0,10.0,"Penalty on Patrick Mekari: False Start, 5 yards (accepted) (no play)",1.93,1.6,6.0,2024,86
2.0,2:09,1.0,15.0,BAL 40,10.0,10.0,Lamar Jackson pass complete short middle to Nelson Agholor for 25 yards (tackle by Quan Martin),1.6,3.25,6.0,2024,86
2.0,2:00,1.0,10.0,WAS 35,10.0,10.0,Lamar Jackson up the middle for -1 yards (tackle by Phidarian Mathis),3.25,2.57,6.0,2024,86
2.0,1:55,,,,,,Timeout #1 by Washington Commanders,,,6.0,2024,86
2.0,1:55,2.0,11.0,WAS 36,10.0,10.0,Lamar Jackson pass complete short right to Zay Flowers for 6 yards (tackle by Mike Sainristil),2.57,2.68,6.0,2024,86
2.0,1:49,,,,,,Timeout #2 by Washington Commanders,,,6.0,2024,86
2.0,1:49,3.0,5.0,WAS 30,10.0,10.0,Lamar Jackson pass complete short middle to Zay Flowers for 15 yards (tackle by Benjamin St-Juste and Mike Sainristil),2.68,4.58,6.0,2024,86
2.0,1:24,1.0,10.0,WAS 15,10.0,10.0,Justice Hill left guard for 2 yards (tackle by Dante Fowler),4.58,4.28,6.0,2024,86
2.0,1:02,2.0,8.0,WAS 13,10.0,10.0,Lamar Jackson pass incomplete short right intended for Isaiah Likely,4.28,3.4,6.0,2024,86
2.0,0:57,3.0,8.0,WAS 13,10.0,16.0,"Lamar Jackson pass complete short middle to Mark Andrews for 13 yards, touchdown",3.4,7.0,6.0,2024,86
2.0,0:53,,,WAS 15,10.0,17.0,Justin Tucker kicks extra point good,0.0,0.0,6.0,2024,86
2.0,0:53,,,BAL 35,10.0,17.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
2.0,0:53,1.0,10.0,WAS 30,10.0,17.0,Jayden Daniels scrambles up the middle for 9 yards (tackle by Roquan Smith),0.94,1.61,6.0,2024,86
2.0,0:33,2.0,1.0,WAS 39,10.0,17.0,Jayden Daniels pass complete short right to Noah Brown for 11 yards (tackle by Nate Wiggins),1.61,2.26,6.0,2024,86
2.0,0:26,1.0,10.0,BAL 50,10.0,17.0,Jayden Daniels pass incomplete short left intended for Austin Ekeler,2.26,1.71,6.0,2024,86
2.0,0:19,2.0,10.0,BAL 50,10.0,17.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 11 yards (tackle by Eddie Jackson),1.71,2.98,6.0,2024,86
2.0,0:12,1.0,10.0,BAL 39,10.0,17.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 5 yards,2.98,3.12,6.0,2024,86
2.0,0:05,2.0,5.0,BAL 34,10.0,17.0,Austin Seibert 50 yard field goal no good blocked by Ben Cleveland,3.12,1.66,6.0,2024,86
3.0,15:00,,,BAL 35,10.0,17.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
3.0,15:00,1.0,10.0,WAS 30,10.0,17.0,Austin Ekeler left guard for no gain (tackle by Kyle Van Noy),0.94,0.39,6.0,2024,86
3.0,14:36,2.0,10.0,WAS 30,10.0,17.0,Jayden Daniels pass complete deep left to Noah Brown for 28 yards (tackle by Marlon Humphrey),0.39,2.79,6.0,2024,86
3.0,14:12,1.0,10.0,BAL 42,10.0,17.0,Austin Ekeler left tackle for 5 yards (tackle by Roquan Smith),2.79,2.92,6.0,2024,86
3.0,13:42,2.0,5.0,BAL 37,10.0,17.0,Austin Ekeler up the middle for no gain (tackle by Travis Jones),2.92,2.21,6.0,2024,86
3.0,12:55,,,,,,Timeout #1 by Washington Commanders,,,6.0,2024,86
3.0,12:55,3.0,5.0,BAL 37,10.0,17.0,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Nate Wiggins),2.21,0.79,6.0,2024,86
3.0,12:50,4.0,5.0,BAL 37,13.0,17.0,Austin Seibert 55 yard field goal good,0.79,3.0,6.0,2024,86
3.0,12:45,,,WAS 35,13.0,17.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
3.0,12:45,1.0,10.0,BAL 30,13.0,17.0,Derrick Henry right guard for 7 yards (tackle by Mykal Walker and Bobby Wagner),0.94,1.34,6.0,2024,86
3.0,12:06,2.0,3.0,BAL 37,13.0,17.0,Derrick Henry up the middle for 1 yard (tackle by Javontae Jean-Baptiste),1.34,0.76,6.0,2024,86
3.0,11:25,3.0,2.0,BAL 38,13.0,17.0,Lamar Jackson right end for 33 yards (tackle by Jeremy Chinn),0.76,3.64,6.0,2024,86
3.0,10:37,1.0,10.0,WAS 29,13.0,17.0,Lamar Jackson pass complete short left to Isaiah Likely for 18 yards (tackle by Mykal Walker and Bobby Wagner),3.64,4.84,6.0,2024,86
3.0,9:55,1.0,10.0,WAS 11,13.0,17.0,Zay Flowers right end for 2 yards (tackle by Percy Butler),4.84,4.51,6.0,2024,86
3.0,9:19,2.0,8.0,WAS 9,13.0,17.0,Lamar Jackson sacked by Dante Fowler for -4 yards,4.51,3.08,6.0,2024,86
3.0,8:28,3.0,12.0,WAS 13,13.0,17.0,"Lamar Jackson pass incomplete short right. Penalty on Isaiah Likely: Offensive Holding, 10 yards (declined)",3.08,2.57,6.0,2024,86
3.0,8:22,4.0,12.0,WAS 13,13.0,20.0,Justin Tucker 32 yard field goal good,2.57,3.0,6.0,2024,86
3.0,8:19,,,BAL 35,13.0,20.0,"Justin Tucker kicks off 66 yards, returned by Austin Ekeler for 32 yards (tackle by Charlie Kolar and Beau Brade)",0.0,1.0,6.0,2024,86
3.0,8:13,1.0,10.0,WAS 31,13.0,20.0,Jayden Daniels pass complete deep left to Zach Ertz for 21 yards (tackle by Roquan Smith),1.0,2.39,6.0,2024,86
3.0,7:42,1.0,10.0,BAL 48,13.0,20.0,Jeremy McNichols up the middle for 4 yards (tackle by Michael Pierce and Eddie Jackson),2.39,2.39,6.0,2024,86
3.0,7:11,2.0,6.0,BAL 44,13.0,20.0,Jayden Daniels pass incomplete short middle intended for Zach Ertz (defended by Brent Urban),2.39,1.69,6.0,2024,86
3.0,7:06,3.0,6.0,BAL 44,13.0,20.0,Jayden Daniels pass incomplete deep right intended for Noah Brown,1.69,0.33,6.0,2024,86
3.0,6:59,4.0,6.0,BAL 44,13.0,20.0,Tress Way punts 38 yards downed by Mykal Walker,0.33,0.38,6.0,2024,86
3.0,6:50,1.0,10.0,BAL 6,13.0,20.0,Derrick Henry left guard for 2 yards (tackle by Javontae Jean-Baptiste and Phidarian Mathis),-0.38,-0.63,6.0,2024,86
3.0,6:17,2.0,8.0,BAL 8,13.0,20.0,Derrick Henry left end for 12 yards (tackle by Bobby Wagner),-0.63,0.28,6.0,2024,86
3.0,5:42,1.0,10.0,BAL 20,13.0,20.0,Lamar Jackson pass complete short left to Mark Andrews for 15 yards (tackle by Jeremy Chinn),0.28,1.27,6.0,2024,86
3.0,5:05,1.0,10.0,BAL 35,13.0,20.0,Derrick Henry left tackle for 4 yards (tackle by Percy Butler and Clelin Ferrell),1.27,1.26,6.0,2024,86
3.0,4:25,2.0,6.0,BAL 39,13.0,20.0,Lamar Jackson scrambles up the middle for 1 yard (tackle by Bobby Wagner),1.26,0.7,6.0,2024,86
3.0,3:34,3.0,5.0,BAL 40,13.0,20.0,"Lamar Jackson pass incomplete short right intended for Rashod Bateman. Penalty on Benjamin St-Juste: Defensive Pass Interference, 10 yards (accepted) (no play)",0.7,2.26,6.0,2024,86
3.0,3:30,1.0,10.0,BAL 50,13.0,20.0,Lamar Jackson pass complete deep left to Mark Andrews for 38 yards (tackle by Mike Sainristil),2.26,4.78,6.0,2024,86
3.0,2:47,1.0,10.0,WAS 12,13.0,20.0,Derrick Henry up the middle for 5 yards (tackle by Jonathan Allen),4.78,5.02,6.0,2024,86
3.0,2:12,2.0,5.0,WAS 7,13.0,26.0,"Derrick Henry up the middle for 7 yards, touchdown",5.02,7.0,6.0,2024,86
3.0,2:08,,,WAS 15,13.0,27.0,Justin Tucker kicks extra point good,0.0,0.0,6.0,2024,86
3.0,2:08,,,BAL 35,13.0,27.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
3.0,2:08,1.0,10.0,WAS 30,13.0,27.0,Austin Ekeler left guard for 3 yards (tackle by Michael Pierce and Roquan Smith),0.94,0.8,6.0,2024,86
3.0,1:42,2.0,7.0,WAS 33,13.0,27.0,Jayden Daniels pass complete short middle to Zach Ertz for 11 yards (tackle by Roquan Smith),0.8,1.86,6.0,2024,86
3.0,1:03,1.0,10.0,WAS 44,13.0,27.0,Jeremy McNichols right guard for 5 yards (tackle by Michael Pierce),1.86,1.99,6.0,2024,86
3.0,0:23,2.0,5.0,WAS 49,13.0,27.0,Jayden Daniels pass complete deep left to Zach Ertz for 24 yards (tackle by Nate Wiggins and Marlon Humphrey),1.99,3.78,6.0,2024,86
4.0,15:00,1.0,10.0,BAL 27,13.0,27.0,Jayden Daniels pass complete short right to Terry McLaurin for 14 yards (tackle by Kyle Hamilton),3.78,4.71,6.0,2024,86
4.0,14:46,1.0,10.0,BAL 13,13.0,27.0,Jayden Daniels pass incomplete short right,4.71,4.05,6.0,2024,86
4.0,14:41,2.0,10.0,BAL 13,13.0,27.0,Jayden Daniels right end for no gain (tackle by Nate Wiggins),4.05,3.12,6.0,2024,86
4.0,14:06,3.0,10.0,BAL 13,13.0,27.0,Jayden Daniels pass complete short middle to Zach Ertz for 12 yards (tackle by Trenton Simpson),3.12,6.97,6.0,2024,86
4.0,13:41,1.0,1.0,BAL 1,13.0,27.0,Austin Ekeler up the middle for no gain (tackle by Nnamdi Madubuike and Odafe Oweh),6.97,5.91,6.0,2024,86
4.0,12:53,2.0,1.0,BAL 1,13.0,27.0,"Jayden Daniels right end for no gain. Penalty on Trenton Scott: Illegal Shift, 5 yards (accepted) (no play)",5.91,4.95,6.0,2024,86
4.0,12:29,2.0,6.0,BAL 6,13.0,27.0,Jayden Daniels pass incomplete short right,4.95,4.04,6.0,2024,86
4.0,12:19,3.0,6.0,BAL 6,13.0,27.0,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Nate Wiggins),4.04,2.99,6.0,2024,86
4.0,12:16,,,,,,Timeout #1 by Baltimore Ravens,,,6.0,2024,86
4.0,12:16,4.0,6.0,BAL 6,19.0,27.0,"Jayden Daniels pass complete short left to Terry McLaurin for 6 yards, touchdown",2.99,7.0,6.0,2024,86
4.0,12:12,,,BAL 15,20.0,27.0,Austin Seibert kicks extra point good,0.0,0.0,6.0,2024,86
4.0,12:12,,,WAS 35,20.0,27.0,"Austin Seibert kicks off 66 yards, returned by Justice Hill for 23 yards (tackle by Nick Bellore)",0.0,0.41,6.0,2024,86
4.0,12:07,1.0,10.0,BAL 22,20.0,27.0,Derrick Henry right end for 8 yards (tackle by Frankie Luvu),0.41,0.95,6.0,2024,86
4.0,11:26,2.0,2.0,BAL 30,20.0,27.0,Derrick Henry right guard for 5 yards (tackle by Jer'Zhan Newton and Efe Obada),0.95,1.27,6.0,2024,86
4.0,10:47,1.0,10.0,BAL 35,20.0,27.0,Lamar Jackson pass complete deep left to Rashod Bateman for 17 yards (tackle by Noah Igbinoghene),1.27,2.39,6.0,2024,86
4.0,10:03,1.0,10.0,WAS 48,20.0,27.0,Derrick Henry left guard for 1 yard (tackle by Bobby Wagner and Mykal Walker),2.39,1.98,6.0,2024,86
4.0,9:19,2.0,9.0,WAS 47,20.0,27.0,Lamar Jackson pass complete short middle to Rashod Bateman for 18 yards (tackle by Bobby Wagner),1.98,3.64,6.0,2024,86
4.0,8:35,1.0,10.0,WAS 29,20.0,27.0,Derrick Henry left end for 4 yards (tackle by Clelin Ferrell and Bobby Wagner),3.64,3.64,6.0,2024,86
4.0,7:54,2.0,6.0,WAS 25,20.0,27.0,Lamar Jackson left end for -5 yards (tackle by Clelin Ferrell and Bobby Wagner),3.64,2.28,6.0,2024,86
4.0,7:07,3.0,11.0,WAS 30,20.0,27.0,Lamar Jackson pass complete short left to Isaiah Likely for 9 yards (tackle by Percy Butler),2.28,2.18,6.0,2024,86
4.0,6:23,4.0,2.0,WAS 21,20.0,30.0,Justin Tucker 39 yard field goal good,2.18,3.0,6.0,2024,86
4.0,6:18,,,BAL 35,20.0,30.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
4.0,6:18,1.0,10.0,WAS 30,20.0,30.0,Jayden Daniels pass complete short middle to Terry McLaurin for 14 yards (tackle by Brandon Stephens),0.94,1.86,6.0,2024,86
4.0,5:53,1.0,10.0,WAS 44,20.0,30.0,Austin Ekeler right guard for 3 yards (tackle by Trenton Simpson and Travis Jones),1.86,1.72,6.0,2024,86
4.0,5:15,2.0,7.0,WAS 47,20.0,30.0,Jayden Daniels sacked by Yannick Ngakoue for -3 yards,1.72,0.63,6.0,2024,86
4.0,4:34,3.0,10.0,WAS 44,20.0,30.0,"Jayden Daniels pass complete short middle to Zach Ertz for no gain (tackle by Yannick Ngakoue). Penalty on Andrew Wylie: Offensive Holding, 10 yards (accepted) (no play)",0.63,-0.69,6.0,2024,86
4.0,4:19,3.0,20.0,WAS 34,20.0,30.0,Jayden Daniels pass complete short left to Olamide Zaccheaus for 8 yards (tackle by Marlon Humphrey),-0.69,-0.59,6.0,2024,86
4.0,3:47,4.0,12.0,WAS 42,20.0,30.0,"Jayden Daniels pass incomplete deep right intended for Noah Brown (defended by Nate Wiggins). Penalty on Nate Wiggins: Defensive Pass Interference, 23 yards (accepted) (no play)",-0.59,3.25,6.0,2024,86
4.0,3:42,1.0,10.0,BAL 35,20.0,30.0,Jayden Daniels sacked by and Michael Pierce for -2 yards and Nnamdi Madubuike for -2 yards,3.25,2.43,6.0,2024,86
4.0,3:09,2.0,12.0,BAL 37,20.0,30.0,Jayden Daniels scrambles left end for 4 yards (tackle by Marlon Humphrey),2.43,2.28,6.0,2024,86
4.0,2:58,,,,,,Timeout #2 by Baltimore Ravens,,,6.0,2024,86
4.0,2:58,3.0,8.0,BAL 33,20.0,30.0,Jayden Daniels scrambles right end for 3 yards (tackle by Roquan Smith),2.28,1.45,6.0,2024,86
4.0,2:52,4.0,5.0,BAL 30,23.0,30.0,Austin Seibert 49 yard field goal good,1.45,3.0,6.0,2024,86
4.0,2:48,,,WAS 35,23.0,30.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,86
4.0,2:48,1.0,10.0,BAL 30,23.0,30.0,Derrick Henry left tackle for 2 yards (tackle by Bobby Wagner),0.94,0.66,6.0,2024,86
4.0,2:44,,,,,,Timeout #2 by Washington Commanders,,,6.0,2024,86
4.0,2:44,2.0,8.0,BAL 32,23.0,30.0,Derrick Henry left end for 27 yards (tackle by Jeremy Chinn and Quan Martin),0.66,2.85,6.0,2024,86
4.0,2:00,1.0,10.0,WAS 41,23.0,30.0,Derrick Henry right guard for 4 yards (tackle by Jeremy Chinn),2.85,2.85,6.0,2024,86
4.0,1:56,,,,,,Timeout #3 by Washington Commanders,,,6.0,2024,86
4.0,1:56,2.0,6.0,WAS 37,23.0,30.0,Derrick Henry left end for 5 yards (tackle by Mykal Walker and Clelin Ferrell),2.85,2.81,6.0,2024,86
4.0,1:10,,,,,,Timeout #3 by Baltimore Ravens,,,6.0,2024,86
4.0,1:10,3.0,1.0,WAS 32,23.0,30.0,Lamar Jackson left end for 2 yards (tackle by Jeremy Chinn),2.81,3.58,6.0,2024,86
4.0,1:02,1.0,10.0,WAS 30,23.0,30.0,Lamar Jackson kneels for -1 yards,3.58,2.9,6.0,2024,86
4.0,0:23,2.0,11.0,WAS 31,23.0,30.0,Lamar Jackson kneels for -1 yards,2.9,2.08,6.0,2024,86
