Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA,week,year,game_id
1.0,3:29,2.0,8.0,NOR 22,17.0,0.0,Alvin Kamara left end for 1 yard (tackle by William Gholston and K.J. Britt),0.0,-0.56,6.0,2024,85
1.0,2:50,3.0,7.0,NOR 23,17.0,0.0,Spencer Rattler pass complete short right to Bub Means for 10 yards (tackle by Zyon McCollum),-0.56,1.14,6.0,2024,85
1.0,2:18,1.0,10.0,NOR 33,17.0,0.0,Spencer Rattler pass complete short middle to Bub Means for 8 yards (tackle by Jamel Dean),1.14,1.67,6.0,2024,85
1.0,1:59,2.0,2.0,NOR 41,17.0,0.0,Jamaal Williams left guard for -2 yards (tackle by Vita Vea and William Gholston),1.67,0.7,6.0,2024,85
1.0,1:20,3.0,4.0,NOR 39,17.0,0.0,Spencer Rattler scrambles right end for 16 yards (tackle by Lavonte David),0.7,2.59,6.0,2024,85
1.0,0:47,1.0,10.0,TAM 45,17.0,0.0,Spencer Rattler pass complete short right to Foster Moreau for 13 yards (tackle by Tykee Smith and Antoine Winfield),2.59,3.45,6.0,2024,85
1.0,0:09,1.0,10.0,TAM 32,17.0,0.0,Alvin Kamara left tackle for -1 yards (tackle by Calijah Kancey),3.45,2.77,6.0,2024,85
2.0,15:00,2.0,11.0,TAM 33,17.0,0.0,"Spencer Rattler pass complete short left to Alvin Kamara for 8 yards. Alvin Kamara fumbles, ball out of bounds at TB-25 (forced by Tyrek Funderburk). Alvin Kamara fumbles out of bounds",2.77,3.14,6.0,2024,85
2.0,14:28,3.0,3.0,TAM 25,17.0,0.0,Alvin Kamara left guard for 1 yard (tackle by YaYa Diaby),3.14,1.99,6.0,2024,85
2.0,13:47,4.0,2.0,TAM 24,17.0,3.0,Blake Grupe 42 yard field goal good,1.99,3.0,6.0,2024,85
2.0,13:43,,,NOR 35,17.0,3.0,"Blake Grupe kicks off 63 yards, returned by Bucky Irving for 22 yards (tackle by J.T. Gray)",0.0,0.54,6.0,2024,85
2.0,13:38,1.0,10.0,TAM 24,17.0,3.0,"Penalty on TAM: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.54,0.13,6.0,2024,85
2.0,13:38,1.0,15.0,TAM 19,17.0,3.0,"Penalty on Cade Otton: False Start, 5 yards (accepted) (no play)",0.13,-0.5,6.0,2024,85
2.0,13:38,1.0,20.0,TAM 14,17.0,3.0,Baker Mayfield pass incomplete deep middle intended for Mike Evans (defended by Johnathan Abram),-0.5,-1.47,6.0,2024,85
2.0,13:33,2.0,20.0,TAM 14,17.0,3.0,Baker Mayfield pass incomplete short right intended for Chris Godwin,-1.47,-2.45,6.0,2024,85
2.0,13:27,3.0,20.0,TAM 14,17.0,3.0,"Baker Mayfield pass complete short left to Chris Godwin for no gain (tackle by Demario Davis). Penalty on Sterling Shepard: Unnecessary Roughness / Offense, 7 yards (accepted)",-2.45,-2.49,6.0,2024,85
2.0,13:18,4.0,27.0,TAM 7,17.0,9.0,"Jake Camarda punts 47 yards, returned by Rashid Shaheed for 54 yards, touchdown",-2.49,-7.0,6.0,2024,85
2.0,13:04,,,TAM 15,17.0,10.0,Blake Grupe kicks extra point good,0.0,0.0,6.0,2024,85
2.0,13:04,,,NOR 35,17.0,10.0,"Blake Grupe kicks off 65 yards, returned by Sean Tucker for 25 yards (tackle by Cedrick Wilson and Jaylan Ford)",0.0,0.61,6.0,2024,85
2.0,12:59,1.0,10.0,TAM 25,17.0,10.0,"Bucky Irving right tackle for 8 yards (tackle by Johnathan Abram and Jordan Howden). Penalty on Sterling Shepard: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",0.61,-0.98,6.0,2024,85
2.0,12:37,2.0,17.0,TAM 18,17.0,10.0,"Baker Mayfield pass short right intended for Mike Evans is intercepted by Paulson Adebo at TB-33 and returned for 20 yards (tackle by Bucky Irving). Penalty on Alontae Taylor: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",-0.98,-3.71,6.0,2024,85
2.0,12:24,1.0,10.0,TAM 28,17.0,10.0,Spencer Rattler scrambles right end for 5 yards (tackle by K.J. Britt and Lavonte David),3.71,3.84,6.0,2024,85
2.0,11:44,2.0,5.0,TAM 23,17.0,10.0,Alvin Kamara left guard for 3 yards (tackle by Lavonte David),3.84,3.53,6.0,2024,85
2.0,11:13,3.0,2.0,TAM 20,17.0,10.0,"Alvin Kamara left guard for no gain (tackle by YaYa Diaby). Penalty on Calijah Kancey: Defensive Holding, 6 yards (accepted) (no play)",3.53,4.65,6.0,2024,85
2.0,10:57,1.0,10.0,TAM 14,17.0,10.0,Rashid Shaheed right end for 2 yards (tackle by Jordan Whitehead),4.65,4.33,6.0,2024,85
2.0,10:20,2.0,8.0,TAM 12,17.0,10.0,Spencer Rattler pass complete short left to Alvin Kamara for 1 yard (tackle by Logan Hall),4.33,3.62,6.0,2024,85
2.0,9:42,3.0,7.0,TAM 11,17.0,10.0,Spencer Rattler sacked by Vita Vea for no gain,3.62,2.7,6.0,2024,85
2.0,9:03,4.0,7.0,TAM 11,17.0,13.0,Blake Grupe 29 yard field goal good,2.7,3.0,6.0,2024,85
2.0,9:00,,,NOR 35,17.0,13.0,"Blake Grupe kicks off 67 yards, returned by Sean Tucker for 30 yards (tackle by Cedrick Wilson)",0.0,0.81,6.0,2024,85
2.0,8:55,1.0,10.0,TAM 28,17.0,13.0,Baker Mayfield pass incomplete short right intended for Chris Godwin,0.81,0.26,6.0,2024,85
2.0,8:50,2.0,10.0,TAM 28,17.0,13.0,Baker Mayfield pass short middle (defended by Willie Gay) intended for Jalen McMillan is intercepted by Johnathan Abram at TB-40 and returned for 30 yards (tackle by Cade Otton),0.26,-4.91,6.0,2024,85
2.0,8:41,1.0,10.0,TAM 10,17.0,19.0,"Spencer Rattler pass complete short left to Bub Means for 10 yards, touchdown",4.91,7.0,6.0,2024,85
2.0,8:37,,,TAM 15,17.0,20.0,Blake Grupe kicks extra point good,0.0,0.0,6.0,2024,85
2.0,8:37,,,NOR 35,17.0,20.0,"Blake Grupe kicks off 65 yards, returned by D.J. Williams for 24 yards (tackle by Jordan Howden and D'Marco Jackson)",0.0,0.54,6.0,2024,85
2.0,8:30,1.0,10.0,TAM 24,17.0,20.0,"Bucky Irving left guard for 2 yards (tackle by Carl Granderson and Alontae Taylor). Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted)",0.54,-0.27,6.0,2024,85
2.0,8:09,1.0,18.0,TAM 16,17.0,20.0,Baker Mayfield pass complete short middle to Chris Godwin for 5 yards (tackle by Willie Gay),-0.27,-0.41,6.0,2024,85
2.0,7:29,2.0,13.0,TAM 21,17.0,20.0,Baker Mayfield pass complete short left to Ryan Miller for 39 yards (tackle by Marshon Lattimore and Jordan Howden),-0.41,2.92,6.0,2024,85
2.0,7:05,1.0,10.0,NOR 40,17.0,20.0,Bucky Irving left guard for -2 yards (tackle by Nathan Shepherd),2.92,2.1,6.0,2024,85
2.0,6:30,2.0,12.0,NOR 42,17.0,20.0,Baker Mayfield pass complete short right to Bucky Irving for 6 yards (tackle by Kool-Aid McKinstry),2.1,2.21,6.0,2024,85
2.0,5:48,3.0,6.0,NOR 36,23.0,20.0,"Baker Mayfield pass complete short right to Sean Tucker for 36 yards, touchdown",2.21,7.0,6.0,2024,85
2.0,5:39,,,NOR 15,24.0,20.0,Chase McLaughlin kicks extra point good,0.0,0.0,6.0,2024,85
2.0,5:39,,,TAM 35,24.0,20.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,85
2.0,5:39,1.0,10.0,NOR 30,24.0,20.0,Jordan Mims left tackle for 5 yards (tackle by Logan Hall and Vita Vea),0.94,1.07,6.0,2024,85
2.0,5:05,2.0,5.0,NOR 35,24.0,20.0,Spencer Rattler pass incomplete short right intended for Mason Tipton,1.07,0.37,6.0,2024,85
2.0,5:01,3.0,5.0,NOR 35,24.0,20.0,Spencer Rattler pass complete short right to Bub Means for 14 yards (tackle by Tykee Smith),0.37,2.19,6.0,2024,85
2.0,4:36,1.0,10.0,NOR 49,24.0,20.0,Alvin Kamara right guard for 3 yards (tackle by YaYa Diaby and Antoine Winfield),2.19,2.05,6.0,2024,85
2.0,4:01,2.0,7.0,TAM 48,24.0,20.0,Spencer Rattler pass complete deep middle to Foster Moreau for 41 yards (tackle by Antoine Winfield and Joe Tryon-Shoyinka),2.05,5.6,6.0,2024,85
2.0,3:25,1.0,7.0,TAM 7,24.0,20.0,Alvin Kamara right guard for 3 yards (tackle by Anthony Nelson and Antoine Winfield),5.6,5.34,6.0,2024,85
2.0,2:50,2.0,4.0,TAM 4,24.0,26.0,"Alvin Kamara left guard for 4 yards, touchdown",5.34,7.0,6.0,2024,85
2.0,2:47,,,TAM 15,24.0,27.0,Blake Grupe kicks extra point good,0.0,0.0,6.0,2024,85
2.0,2:47,,,NOR 35,24.0,27.0,"Blake Grupe kicks off 65 yards, returned by D.J. Williams for 30 yards (tackle by J.T. Gray and Cedrick Wilson)",0.0,0.94,6.0,2024,85
2.0,2:41,1.0,10.0,TAM 30,24.0,27.0,Baker Mayfield pass incomplete short right intended for Cade Otton,0.94,0.39,6.0,2024,85
2.0,2:35,2.0,10.0,TAM 30,24.0,27.0,Baker Mayfield pass complete short right to Chris Godwin for 6 yards (tackle by Paulson Adebo),0.39,0.5,6.0,2024,85
2.0,2:01,3.0,4.0,TAM 36,24.0,27.0,Baker Mayfield pass complete short middle to Chris Godwin for 21 yards (tackle by Kool-Aid McKinstry),0.5,2.72,6.0,2024,85
2.0,1:55,1.0,10.0,NOR 43,24.0,27.0,Baker Mayfield pass incomplete short right intended for Sterling Shepard (defended by Willie Gay),2.72,2.18,6.0,2024,85
2.0,1:48,2.0,10.0,NOR 43,24.0,27.0,Baker Mayfield pass short middle (defended by Bryan Bresee) intended for Cade Otton is intercepted by Cameron Jordan at NO-40 and returned for no gain (tackle by Cade Otton),2.18,-1.6,6.0,2024,85
2.0,1:41,1.0,10.0,NOR 40,24.0,27.0,"Spencer Rattler pass incomplete short right intended for Mason Tipton. Penalty on Zyon McCollum: Defensive Holding, 5 yards (accepted) (no play)",1.6,1.93,6.0,2024,85
2.0,1:37,1.0,10.0,NOR 45,24.0,27.0,Alvin Kamara left end for 7 yards (tackle by Lavonte David),1.93,2.33,6.0,2024,85
2.0,1:14,2.0,3.0,TAM 48,24.0,27.0,Spencer Rattler pass complete short left to Bub Means for 3 yards (tackle by Tyrek Funderburk),2.33,2.59,6.0,2024,85
2.0,1:11,1.0,10.0,TAM 45,24.0,27.0,Spencer Rattler pass incomplete short left,2.59,2.04,6.0,2024,85
2.0,1:05,2.0,10.0,TAM 45,24.0,27.0,Spencer Rattler pass incomplete short right,2.04,1.36,6.0,2024,85
2.0,0:59,,,,,,Timeout #1 by New Orleans Saints,,,6.0,2024,85
2.0,0:59,3.0,10.0,TAM 45,24.0,27.0,Spencer Rattler pass incomplete deep middle intended for Rashid Shaheed (defended by Antoine Winfield),1.36,0.27,6.0,2024,85
2.0,0:54,4.0,10.0,TAM 45,24.0,27.0,Matthew Hayball punts 35 yards downed by Rico Payton,0.27,0.38,6.0,2024,85
2.0,0:46,1.0,10.0,TAM 10,24.0,27.0,Bucky Irving left guard for 9 yards (tackle by Kool-Aid McKinstry),-0.38,0.24,6.0,2024,85
2.0,0:24,2.0,1.0,TAM 19,24.0,27.0,Baker Mayfield pass complete short right to Sterling Shepard for 5 yards (tackle by Paulson Adebo),0.24,0.54,6.0,2024,85
2.0,0:19,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,6.0,2024,85
2.0,0:19,1.0,10.0,TAM 24,24.0,27.0,"Baker Mayfield pass incomplete deep right intended for Chris Godwin (defended by Paulson Adebo). Penalty on Chase Young: Defensive Offside, 5 yards (accepted) (no play)",0.54,1.27,6.0,2024,85
2.0,0:14,1.0,5.0,TAM 29,24.0,27.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Kool-Aid McKinstry),1.27,0.67,6.0,2024,85
2.0,0:10,2.0,5.0,TAM 29,24.0,27.0,Baker Mayfield pass complete short right to Cade Otton for 7 yards (tackle by Paulson Adebo),0.67,1.33,6.0,2024,85
2.0,0:06,1.0,10.0,TAM 36,24.0,27.0,"Baker Mayfield pass complete short middle to Chris Godwin for 8 yards, lateral to Tristan Wirfs for 13 yards. Tristan Wirfs fumbles (forced by J.T. Gray), recovered by Cade Otton at NO-47",1.33,2.46,6.0,2024,85
3.0,15:00,,,TAM 35,24.0,27.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,85
3.0,15:00,1.0,10.0,NOR 30,24.0,27.0,Spencer Rattler pass complete short right to Rashid Shaheed for 11 yards (tackle by Tyrek Funderburk),0.94,1.66,6.0,2024,85
3.0,14:25,1.0,10.0,NOR 41,24.0,27.0,Alvin Kamara right tackle for 1 yard (tackle by Lavonte David and Logan Hall),1.66,1.26,6.0,2024,85
3.0,13:53,2.0,9.0,NOR 42,24.0,27.0,Spencer Rattler pass incomplete deep right intended for Rashid Shaheed (defended by Zyon McCollum),1.26,0.56,6.0,2024,85
3.0,13:47,3.0,9.0,NOR 42,24.0,27.0,Spencer Rattler pass complete deep middle to Juwan Johnson for 19 yards (tackle by Jordan Whitehead),0.56,2.98,6.0,2024,85
3.0,13:14,1.0,10.0,TAM 39,24.0,27.0,Spencer Rattler pass incomplete short right intended for Bub Means,2.98,2.44,6.0,2024,85
3.0,13:10,2.0,10.0,TAM 39,24.0,27.0,Alvin Kamara left guard for 4 yards (tackle by Jordan Whitehead),2.44,2.28,6.0,2024,85
3.0,12:29,3.0,6.0,TAM 35,24.0,27.0,"Spencer Rattler pass complete short right to Bub Means for no gain. Bub Means fumbles (forced by Tykee Smith), recovered by Zyon McCollum at TB-29 (tackle by Connor McGovern). Penalty on Connor McGovern: Face Mask (15 Yards), 15 yards () Replay Assistant challenged the pass completion ruling, and the original play was overturned. Spencer Rattler pass incomplete short right intended for Bub Means (defended by Tykee Smith). Penalty on Connor McGovern: Offensive Facemask, 15 yards (accepted)",2.28,-0.06,6.0,2024,85
3.0,12:25,4.0,21.0,TAM 50,24.0,27.0,"Matthew Hayball punts 42 yards, fair catch by Jalen McMillan at TB-8",-0.06,0.38,6.0,2024,85
3.0,12:19,1.0,10.0,TAM 8,24.0,27.0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Alontae Taylor),-0.38,-0.21,6.0,2024,85
3.0,11:43,2.0,3.0,TAM 15,24.0,27.0,Bucky Irving right end for -1 yards (tackle by Alontae Taylor),-0.21,-0.72,6.0,2024,85
3.0,11:03,3.0,4.0,TAM 14,24.0,27.0,Baker Mayfield pass incomplete deep left intended for Mike Evans (defended by Paulson Adebo),-0.72,-2.47,6.0,2024,85
3.0,10:56,4.0,4.0,TAM 14,24.0,27.0,"Jake Camarda punts 41 yards, returned by Rashid Shaheed for 2 yards (tackle by Tavierre Thomas)",-2.47,-2.06,6.0,2024,85
3.0,10:48,1.0,10.0,NOR 47,24.0,27.0,Spencer Rattler sacked by and K.J. Britt for -9 yards and Chris Braswell for -9 yards,2.06,0.3,6.0,2024,85
3.0,10:12,2.0,19.0,NOR 38,24.0,27.0,Spencer Rattler sacked by Calijah Kancey for -3 yards,0.3,-0.76,6.0,2024,85
3.0,9:31,3.0,22.0,NOR 35,24.0,27.0,Jamaal Williams up the middle for 9 yards (tackle by Lavonte David),-0.76,-0.46,6.0,2024,85
3.0,8:45,4.0,13.0,NOR 44,24.0,27.0,"Matthew Hayball punts 48 yards, fair catch by Jalen McMillan at TB-8",-0.46,0.38,6.0,2024,85
3.0,8:38,1.0,10.0,TAM 8,24.0,27.0,Sean Tucker right guard for 6 yards (tackle by Khalen Saunders),-0.38,-0.32,6.0,2024,85
3.0,8:03,2.0,4.0,TAM 14,24.0,27.0,Baker Mayfield pass complete short right to Sean Tucker for 5 yards (tackle by Paulson Adebo),-0.32,0.15,6.0,2024,85
3.0,7:26,1.0,10.0,TAM 19,24.0,27.0,Sean Tucker right guard for 2 yards (tackle by Khalen Saunders),0.15,-0.06,6.0,2024,85
3.0,6:45,2.0,8.0,TAM 21,24.0,27.0,Baker Mayfield scrambles right tackle for 9 yards (tackle by Johnathan Abram),-0.06,0.94,6.0,2024,85
3.0,6:05,1.0,10.0,TAM 30,24.0,27.0,Sean Tucker left guard for 10 yards (tackle by Marshon Lattimore and Jordan Howden),0.94,1.6,6.0,2024,85
3.0,5:18,1.0,10.0,TAM 40,24.0,27.0,Bucky Irving right end for 5 yards (tackle by Paulson Adebo and Jordan Howden),1.6,1.73,6.0,2024,85
3.0,4:37,2.0,5.0,TAM 45,30.0,27.0,"Baker Mayfield pass complete short right to Chris Godwin for 55 yards, touchdown",1.73,7.0,6.0,2024,85
3.0,4:25,,,NOR 15,31.0,27.0,Chase McLaughlin kicks extra point good,0.0,0.0,6.0,2024,85
3.0,4:25,,,TAM 35,31.0,27.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,85
3.0,4:25,1.0,10.0,NOR 30,31.0,27.0,Spencer Rattler pass incomplete short right intended for Alvin Kamara,0.94,0.39,6.0,2024,85
3.0,4:20,2.0,10.0,NOR 30,31.0,27.0,Spencer Rattler pass complete short right to Alvin Kamara for 2 yards (tackle by Jordan Whitehead and Lavonte David),0.39,-0.03,6.0,2024,85
3.0,3:43,3.0,8.0,NOR 32,31.0,27.0,Spencer Rattler pass complete short middle to Juwan Johnson for no gain (tackle by Antoine Winfield) (no play),-0.03,-0.69,6.0,2024,85
3.0,3:16,3.0,13.0,NOR 27,31.0,27.0,Spencer Rattler pass incomplete short left intended for Alvin Kamara,-0.69,-1.57,6.0,2024,85
3.0,3:12,4.0,13.0,NOR 27,31.0,27.0,"Matthew Hayball punts 41 yards, returned by Jalen McMillan for 1 yard (tackle by J.T. Gray)",-1.57,-1.14,6.0,2024,85
3.0,3:03,1.0,10.0,TAM 33,31.0,27.0,Sterling Shepard left end for 9 yards (tackle by Alontae Taylor),1.14,1.81,6.0,2024,85
3.0,2:27,2.0,1.0,TAM 42,31.0,27.0,Baker Mayfield sacked by Willie Gay for -8 yards,1.81,0.04,6.0,2024,85
3.0,1:43,3.0,9.0,TAM 34,31.0,27.0,Baker Mayfield scrambles right end for 8 yards (tackle by Carl Granderson and Bryan Bresee),0.04,-0.59,6.0,2024,85
3.0,1:04,4.0,1.0,TAM 42,31.0,27.0,"Jake Camarda punts, returned by Rashid Shaheed for no gain (tackle by Tavierre Thomas). Penalty on Antonio Grier: Illegal Formation, 4 yards (accepted) (no play)",-0.59,-0.85,6.0,2024,85
3.0,0:59,4.0,5.0,TAM 38,31.0,27.0,Jake Camarda punts 44 yards out of bounds,-0.85,-0.04,6.0,2024,85
3.0,0:52,1.0,10.0,NOR 18,31.0,27.0,Spencer Rattler scrambles left guard for 6 yards (tackle by Logan Hall),0.04,0.41,6.0,2024,85
3.0,0:18,2.0,4.0,NOR 24,31.0,27.0,Alvin Kamara left guard for 5 yards (tackle by YaYa Diaby),0.41,0.87,6.0,2024,85
4.0,15:00,1.0,10.0,NOR 29,31.0,27.0,Spencer Rattler pass deep right intended for Rashid Shaheed is intercepted by Zyon McCollum at TB-42 and returned for no gain (tackle by Rashid Shaheed),0.87,-1.73,6.0,2024,85
4.0,14:55,1.0,10.0,TAM 42,31.0,27.0,Bucky Irving left end for 31 yards (tackle by Marshon Lattimore),1.73,3.78,6.0,2024,85
4.0,14:02,1.0,10.0,NOR 27,31.0,27.0,"Sean Tucker left end for 18 yards (tackle by Johnathan Abram). Penalty on Johnathan Abram: Unnecessary Roughness / Defense, 5 yards (accepted)",3.78,6.28,6.0,2024,85
4.0,13:51,,,,,,Timeout #1 by New Orleans Saints,,,6.0,2024,85
4.0,13:51,1.0,4.0,NOR 4,31.0,27.0,Bucky Irving right end for 1 yard (tackle by Jordan Howden and Nathan Shepherd),6.28,5.53,6.0,2024,85
4.0,13:11,2.0,3.0,NOR 3,31.0,27.0,"Baker Mayfield pass incomplete short right intended for Chris Godwin. Penalty on Sterling Shepard: Offensive Pass Interference, 10 yards (accepted) (no play)",5.53,3.72,6.0,2024,85
4.0,13:07,2.0,13.0,NOR 13,31.0,27.0,Sterling Shepard left end for 5 yards (tackle by Jordan Howden),3.72,3.58,6.0,2024,85
4.0,12:40,3.0,8.0,NOR 8,37.0,27.0,"Baker Mayfield pass complete short left to Cade Otton for 8 yards, touchdown",3.58,7.0,6.0,2024,85
4.0,12:34,,,NOR 2,37.0,27.0,Two Point Attempt: Baker Mayfield pass incomplete intended for to Bucky Irving for no gain,1.0,-1.0,6.0,2024,85
4.0,12:34,,,TAM 35,37.0,27.0,"Jake Camarda kicks off 61 yards, returned by Rashid Shaheed for 25 yards (tackle by Anthony Nelson)",0.0,0.87,6.0,2024,85
4.0,12:29,1.0,10.0,NOR 29,37.0,27.0,Spencer Rattler sacked by Lavonte David for -5 yards,0.87,-0.35,6.0,2024,85
4.0,11:58,2.0,15.0,NOR 24,37.0,27.0,Spencer Rattler pass incomplete short right intended for Alvin Kamara,-0.35,-1.02,6.0,2024,85
4.0,11:54,3.0,15.0,NOR 24,37.0,27.0,Spencer Rattler pass incomplete deep left intended for Rashid Shaheed,-1.02,-1.77,6.0,2024,85
4.0,11:49,4.0,15.0,NOR 24,37.0,27.0,"Matthew Hayball punts 58 yards, returned by Jalen McMillan for 11 yards (tackle by Payton Turner and Zach Wood)",-1.77,-0.87,6.0,2024,85
4.0,11:36,1.0,10.0,TAM 29,37.0,27.0,Sean Tucker left guard for 4 yards (tackle by John Ridgeway and Demario Davis),0.87,0.87,6.0,2024,85
4.0,10:55,2.0,6.0,TAM 33,37.0,27.0,Sterling Shepard left end for 24 yards (tackle by Johnathan Abram),0.87,2.72,6.0,2024,85
