Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA,week,year,game_id
2.0,12:06,1.0,10.0,BUF 10,7.0,10.0,Ray Davis left tackle for no gain (tackle by Quincy Williams and Quinnen Williams),-0.38,-0.78,6.0,2024,92
2.0,11:30,2.0,10.0,BUF 10,7.0,10.0,"Josh Allen pass complete deep right to Ray Davis for 42 yards (tackle by Quincy Williams). Penalty on Isaiah Oliver: Illegal Contact, 5 yards (declined)",-0.78,2.39,6.0,2024,92
2.0,11:01,1.0,10.0,NYJ 48,7.0,10.0,"Penalty on Alec Anderson: False Start, 5 yards (accepted) (no play)",2.39,2.06,6.0,2024,92
2.0,10:40,1.0,15.0,BUF 47,7.0,10.0,Ty Johnson up the middle for 13 yards (tackle by Ashtyn Davis),2.06,2.93,6.0,2024,92
2.0,10:18,2.0,2.0,NYJ 40,7.0,10.0,Ty Johnson right guard for 7 yards (tackle by Takkarist McKinley and Jamien Sherwood),2.93,3.38,6.0,2024,92
2.0,9:41,1.0,10.0,NYJ 33,7.0,10.0,Ty Johnson right guard for 2 yards (tackle by C.J. Mosley and Micheal Clemons),3.38,3.11,6.0,2024,92
2.0,9:03,2.0,8.0,NYJ 31,7.0,10.0,Josh Allen scrambles right end for 2 yards (tackle by Jamien Sherwood),3.11,2.68,6.0,2024,92
2.0,8:22,3.0,6.0,NYJ 29,7.0,10.0,Josh Allen pass complete short right to Khalil Shakir for 9 yards (tackle by Ashtyn Davis),2.68,4.24,6.0,2024,92
2.0,7:49,1.0,10.0,NYJ 20,7.0,10.0,"Josh Allen pass incomplete short right intended for Dawson Knox. Penalty on Quincy Williams: Defensive Pass Interference, 10 yards (accepted) (no play)",4.24,4.91,6.0,2024,92
2.0,7:46,1.0,10.0,NYJ 10,7.0,10.0,Ray Davis right tackle for 2 yards (tackle by Sauce Gardner and Javon Kinlaw),4.91,4.57,6.0,2024,92
2.0,7:03,2.0,8.0,NYJ 8,7.0,10.0,Josh Allen pass incomplete short right intended for Curtis Samuel,4.57,3.58,6.0,2024,92
2.0,6:58,3.0,8.0,NYJ 8,13.0,10.0,"Josh Allen pass complete short right to Mack Hollins for 8 yards, touchdown",3.58,7.0,6.0,2024,92
2.0,6:54,,,NYJ 15,13.0,10.0,Tyler Bass kicks extra point no good,0.0,-1.0,6.0,2024,92
2.0,6:54,,,BUF 35,13.0,10.0,"Tyler Bass kicks off 60 yards, returned by Isaiah Davis for 33 yards (tackle by Cole Bishop and Cameron Lewis)",0.0,1.47,6.0,2024,92
2.0,6:48,1.0,10.0,NYJ 38,13.0,10.0,Braelon Allen right guard for no gain (tackle by Dorian Williams and Taron Johnson),1.47,0.92,6.0,2024,92
2.0,6:06,2.0,10.0,NYJ 38,13.0,10.0,Aaron Rodgers pass complete deep right to Breece Hall for 24 yards (tackle by Taylor Rapp),0.92,3.05,6.0,2024,92
2.0,5:34,1.0,10.0,BUF 38,13.0,10.0,Aaron Rodgers sacked by DaQuan Jones for -7 yards,3.05,1.56,6.0,2024,92
2.0,4:50,2.0,17.0,BUF 45,13.0,10.0,Aaron Rodgers pass complete short left to Garrett Wilson for 7 yards (tackle by Dorian Williams),1.56,1.82,6.0,2024,92
2.0,4:06,3.0,10.0,BUF 38,13.0,10.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",1.82,1.16,6.0,2024,92
2.0,3:45,3.0,15.0,BUF 43,13.0,10.0,"Aaron Rodgers sacked by A.J. Epenesa for -8 yards. Aaron Rodgers fumbles (forced by A.J. Epenesa), recovered by Aaron Rodgers at NYJ-49",1.16,-0.13,6.0,2024,92
2.0,2:54,4.0,23.0,NYJ 49,13.0,10.0,"Thomas Morstead punts 51 yards, touchback.",-0.13,-0.28,6.0,2024,92
2.0,2:49,1.0,10.0,BUF 20,13.0,10.0,Josh Allen pass complete short left to Ray Davis for 8 yards (tackle by Ashtyn Davis),0.28,0.81,6.0,2024,92
2.0,2:09,2.0,2.0,BUF 28,13.0,10.0,Ray Davis right tackle for 8 yards (tackle by Jamien Sherwood and Tony Adams),0.81,1.33,6.0,2024,92
2.0,2:00,1.0,10.0,BUF 36,13.0,10.0,Josh Allen scrambles right end for 5 yards (tackle by Jamien Sherwood),1.33,1.47,6.0,2024,92
2.0,1:53,2.0,5.0,BUF 41,13.0,10.0,Josh Allen pass complete short left to Dalton Kincaid for 4 yards (tackle by Isaiah Oliver),1.47,1.29,6.0,2024,92
2.0,1:38,3.0,1.0,BUF 45,13.0,10.0,Josh Allen left guard for 2 yards (tackle by Jamien Sherwood and Quincy Williams),1.29,2.06,6.0,2024,92
2.0,1:13,1.0,10.0,BUF 47,13.0,10.0,"Josh Allen pass incomplete deep right intended for Mack Hollins. Penalty on D.J. Reed: Defensive Pass Interference, 23 yards (accepted) (no play)",2.06,3.58,6.0,2024,92
2.0,1:09,1.0,10.0,NYJ 30,13.0,10.0,Josh Allen pass complete short left to Curtis Samuel for 2 yards (tackle by Tony Adams),3.58,3.3,6.0,2024,92
2.0,1:05,2.0,8.0,NYJ 28,13.0,10.0,Josh Allen pass complete short middle to Dalton Kincaid for 9 yards (tackle by Jamien Sherwood),3.3,4.31,6.0,2024,92
2.0,0:48,1.0,10.0,NYJ 19,13.0,10.0,"Josh Allen pass incomplete deep left intended for Dalton Kincaid. Penalty on Will McDonald: Defensive Too Many Men on Field, 5 yards (declined) . Penalty on Tony Adams: Defensive Pass Interference, 8 yards (accepted) (no play)",4.31,4.84,6.0,2024,92
2.0,0:45,1.0,10.0,NYJ 11,13.0,10.0,Ray Davis up the middle for 4 yards (tackle by Jamien Sherwood and Ashtyn Davis),4.84,4.89,6.0,2024,92
2.0,0:39,,,,,,Timeout #1 by New York Jets,,,6.0,2024,92
2.0,0:39,2.0,6.0,NYJ 7,13.0,10.0,"Josh Allen sacked by Will McDonald for -5 yards. Josh Allen fumbles (forced by Will McDonald), recovered by O'Cyrus Torrence at NYJ-12 (tackle by Will McDonald)",4.89,3.11,6.0,2024,92
2.0,0:27,,,,,,Timeout #2 by New York Jets,,,6.0,2024,92
2.0,0:27,3.0,11.0,NYJ 12,19.0,10.0,"Josh Allen pass complete short left to Dawson Knox for 12 yards, touchdown",3.11,7.0,6.0,2024,92
2.0,0:21,,,NYJ 15,20.0,10.0,Tyler Bass kicks extra point good,0.0,0.0,6.0,2024,92
2.0,0:21,,,BUF 35,20.0,10.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,92
2.0,0:21,1.0,10.0,NYJ 30,20.0,10.0,Aaron Rodgers pass complete short right to Tyler Conklin for 4 yards (tackle by Christian Benford),0.94,0.93,6.0,2024,92
2.0,0:14,2.0,6.0,NYJ 34,20.0,10.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 14 yards (tackle by Rasul Douglas),0.93,2.13,6.0,2024,92
2.0,0:08,,,,,,Timeout #3 by New York Jets,,,6.0,2024,92
2.0,0:08,,,,,,Timeout #1 by Buffalo Bills,,,6.0,2024,92
2.0,0:08,1.0,10.0,NYJ 48,20.0,16.0,"Aaron Rodgers pass complete deep middle to Allen Lazard for 52 yards, touchdown",2.13,7.0,6.0,2024,92
2.0,0:00,,,BUF 15,20.0,17.0,Greg Zuerlein kicks extra point good,0.0,0.0,6.0,2024,92
3.0,15:00,,,NYJ 35,20.0,17.0,"Greg Zuerlein kicks off 66 yards, returned by Brandon Codrington for 24 yards (tackle by Isaiah Davis and Chazz Surratt)",0.0,0.48,6.0,2024,92
3.0,14:55,1.0,10.0,BUF 23,20.0,17.0,Josh Allen pass complete deep left to Curtis Samuel for 38 yards (tackle by Ashtyn Davis),0.48,2.98,6.0,2024,92
3.0,14:14,1.0,10.0,NYJ 39,20.0,17.0,Josh Allen pass complete short middle to Ray Davis for 5 yards (tackle by Jamien Sherwood),2.98,3.12,6.0,2024,92
3.0,13:28,2.0,5.0,NYJ 34,20.0,17.0,Ray Davis right tackle for 5 yards (tackle by Tony Adams and Ashtyn Davis),3.12,3.64,6.0,2024,92
3.0,12:38,1.0,10.0,NYJ 29,20.0,17.0,"Josh Allen pass incomplete short right intended for Dawson Knox. Penalty on Dawson Knox: Offensive Pass Interference, 10 yards (accepted) (no play)",3.64,2.98,6.0,2024,92
3.0,12:38,1.0,20.0,NYJ 39,20.0,17.0,Josh Allen scrambles right tackle for 5 yards (tackle by Javon Kinlaw),2.98,2.42,6.0,2024,92
3.0,11:55,,,,,,Timeout #1 by Buffalo Bills,,,6.0,2024,92
3.0,11:55,2.0,15.0,NYJ 34,20.0,17.0,Josh Allen pass incomplete deep left intended for Keon Coleman (defended by D.J. Reed),2.42,1.75,6.0,2024,92
3.0,11:49,3.0,15.0,NYJ 34,20.0,17.0,Josh Allen pass complete short left to Keon Coleman for 5 yards (tackle by Tony Adams),1.75,1.5,6.0,2024,92
3.0,11:10,4.0,10.0,NYJ 29,20.0,17.0,Tyler Bass 47 yard field goal no good,1.5,-1.4,6.0,2024,92
3.0,11:06,1.0,10.0,NYJ 37,20.0,17.0,Breece Hall up the middle for 3 yards (tackle by Taron Johnson and Terrel Bernard),1.4,1.26,6.0,2024,92
3.0,10:26,2.0,7.0,NYJ 40,20.0,17.0,Breece Hall right end for -1 yards (tackle by Gregory Rousseau and Rasul Douglas),1.26,0.43,6.0,2024,92
3.0,9:31,3.0,8.0,NYJ 39,20.0,17.0,"Aaron Rodgers sacked by A.J. Epenesa for -7 yards. Penalty on A.J. Epenesa: Roughing the Passer, 15 yards (accepted)",0.43,2.06,6.0,2024,92
3.0,9:17,1.0,10.0,NYJ 47,20.0,17.0,Breece Hall right tackle for 5 yards (tackle by Casey Toohill),2.06,2.19,6.0,2024,92
3.0,8:36,2.0,5.0,BUF 48,20.0,17.0,Breece Hall right tackle for 3 yards (tackle by Austin Johnson),2.19,1.88,6.0,2024,92
3.0,7:51,3.0,2.0,BUF 45,20.0,17.0,Breece Hall left end for 42 yards (tackle by Taylor Rapp),1.88,6.51,6.0,2024,92
3.0,7:08,1.0,3.0,BUF 3,20.0,17.0,Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Taylor Rapp),6.51,5.53,6.0,2024,92
3.0,7:03,2.0,3.0,BUF 3,20.0,17.0,Breece Hall up the middle for no gain (tackle by Dawuane Smoot and Gregory Rousseau),5.53,4.72,6.0,2024,92
3.0,6:23,3.0,3.0,BUF 3,20.0,17.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson (defended by Christian Benford),4.72,3.04,6.0,2024,92
3.0,6:17,4.0,3.0,BUF 3,20.0,20.0,Greg Zuerlein 22 yard field goal good,3.04,3.0,6.0,2024,92
3.0,6:13,,,NYJ 35,20.0,20.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,92
3.0,6:13,1.0,10.0,BUF 30,20.0,20.0,"Penalty on Mack Hollins: False Start, 5 yards (accepted) (no play)",0.94,0.61,6.0,2024,92
3.0,6:13,1.0,15.0,BUF 25,20.0,20.0,Ray Davis left tackle for 6 yards (tackle by Ashtyn Davis),0.61,0.53,6.0,2024,92
3.0,5:35,2.0,9.0,BUF 31,20.0,20.0,Josh Allen pass complete short right to Dalton Kincaid for 3 yards (tackle by Jalen Mills),0.53,0.23,6.0,2024,92
3.0,4:47,3.0,6.0,BUF 34,20.0,20.0,"Josh Allen pass incomplete deep left intended for Mack Hollins. Penalty on Spencer Brown: Unnecessary Roughness / Offense, 15 yards (offset) . Penalty on D.J. Reed: Defensive Pass Interference, 15 yards (offset) (no play)",0.23,0.23,6.0,2024,92
3.0,4:38,3.0,6.0,BUF 34,20.0,20.0,Josh Allen pass incomplete deep left intended for Dalton Kincaid,0.23,-1.11,6.0,2024,92
3.0,4:33,4.0,6.0,BUF 34,20.0,20.0,"Sam Martin punts 40 yards, fair catch by Xavier Gipson at NYJ-26",-1.11,-0.67,6.0,2024,92
3.0,4:25,1.0,10.0,NYJ 26,20.0,20.0,Aaron Rodgers pass complete short right to Garrett Wilson for 16 yards (tackle by Dorian Williams and Taylor Rapp),0.67,1.73,6.0,2024,92
3.0,3:43,1.0,10.0,NYJ 42,20.0,20.0,Aaron Rodgers pass complete short left to Garrett Wilson for 23 yards (tackle by Damar Hamlin),1.73,3.25,6.0,2024,92
3.0,2:59,1.0,10.0,BUF 35,20.0,20.0,"Breece Hall right tackle for 10 yards (tackle by Damar Hamlin and Dorian Williams). Penalty on Taron Johnson: Low Block, 13 yards (accepted)",3.25,4.78,6.0,2024,92
3.0,2:37,1.0,10.0,BUF 12,20.0,20.0,Aaron Rodgers pass complete short left to Breece Hall for 1 yard (tackle by Dawuane Smoot and Christian Benford),4.78,4.27,6.0,2024,92
3.0,1:51,2.0,9.0,BUF 11,20.0,20.0,Aaron Rodgers pass complete short left to Allen Lazard for 7 yards (tackle by Taylor Rapp),4.27,4.84,6.0,2024,92
3.0,1:04,3.0,2.0,BUF 4,20.0,20.0,"Braelon Allen up the middle for no gain, touchdown. Penalty on Tyron Smith: Offensive Holding, 10 yards (accepted) (no play)",4.84,3.06,6.0,2024,92
3.0,1:02,3.0,12.0,BUF 14,20.0,20.0,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson (defended by Damar Hamlin) (defended by Taylor Rapp),3.06,2.51,6.0,2024,92
3.0,0:59,4.0,12.0,BUF 14,20.0,20.0,Greg Zuerlein 32 yard field goal no good,2.51,-0.41,6.0,2024,92
3.0,0:55,1.0,10.0,BUF 22,20.0,20.0,"Penalty on Spencer Brown: False Start, 5 yards (accepted) (no play)",0.41,-0.12,6.0,2024,92
3.0,0:55,1.0,15.0,BUF 17,20.0,20.0,"Josh Allen pass complete short left to Curtis Samuel for no gain (tackle by Ashtyn Davis and Jamien Sherwood). Penalty on Spencer Brown: Illegal Formation, 5 yards (accepted) (no play)",-0.12,-0.66,6.0,2024,92
3.0,0:28,1.0,20.0,BUF 12,20.0,20.0,Josh Allen pass incomplete short right,-0.66,-1.51,6.0,2024,92
3.0,0:20,2.0,20.0,BUF 12,20.0,20.0,Josh Allen pass complete short right to Khalil Shakir for 10 yards (tackle by Tony Adams),-1.51,-0.82,6.0,2024,92
4.0,15:00,3.0,10.0,BUF 22,20.0,20.0,"Penalty on Dion Dawkins: Unsportsmanlike Conduct / Offense, 11 yards (accepted) (no play)",-0.82,-2.71,6.0,2024,92
4.0,15:00,3.0,21.0,BUF 11,20.0,20.0,Josh Allen pass complete short left to Dalton Kincaid for 6 yards (tackle by Isaiah Oliver),-2.71,-2.32,6.0,2024,92
4.0,14:18,4.0,15.0,BUF 17,20.0,20.0,"Sam Martin punts 57 yards, returned by Xavier Gipson for 8 yards (tackle by Quintin Morris)",-2.32,-1.2,6.0,2024,92
4.0,14:06,1.0,10.0,NYJ 34,20.0,20.0,Aaron Rodgers pass complete short middle to Allen Lazard for 15 yards (tackle by Damar Hamlin),1.2,2.19,6.0,2024,92
4.0,13:24,1.0,10.0,NYJ 49,20.0,20.0,"Breece Hall right end for 2 yards (tackle by Terrel Bernard). Penalty on Alijah Vera-Tucker: Offensive Holding, 10 yards (accepted)",2.19,1.66,6.0,2024,92
4.0,12:54,1.0,18.0,NYJ 41,20.0,20.0,Aaron Rodgers pass incomplete short left intended for Mike Williams,1.66,0.57,6.0,2024,92
4.0,12:50,2.0,18.0,NYJ 41,20.0,20.0,Breece Hall right tackle for 7 yards (tackle by DaQuan Jones),0.57,0.83,6.0,2024,92
4.0,12:05,3.0,11.0,NYJ 48,20.0,20.0,Aaron Rodgers pass complete deep middle to Allen Lazard for 25 yards (tackle by Damar Hamlin),0.83,3.78,6.0,2024,92
4.0,11:17,1.0,10.0,BUF 27,20.0,20.0,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (accepted) (no play)",3.78,3.45,6.0,2024,92
4.0,11:16,1.0,15.0,BUF 32,20.0,20.0,Aaron Rodgers pass incomplete short left intended for Braelon Allen,3.45,2.56,6.0,2024,92
4.0,11:12,2.0,15.0,BUF 32,20.0,20.0,Aaron Rodgers pass complete short right to Jeremy Ruckert for -1 yards (tackle by Dorian Williams and Damar Hamlin),2.56,1.75,6.0,2024,92
4.0,10:27,3.0,16.0,BUF 33,20.0,20.0,Aaron Rodgers pass complete short right to Breece Hall for 8 yards (tackle by Damar Hamlin),1.75,1.8,6.0,2024,92
4.0,9:47,4.0,8.0,BUF 25,20.0,20.0,Greg Zuerlein 43 yard field goal no good,1.8,-1.14,6.0,2024,92
4.0,9:44,1.0,10.0,BUF 33,20.0,20.0,Ray Davis left end for 8 yards (tackle by Jamien Sherwood),1.14,1.67,6.0,2024,92
4.0,9:04,2.0,2.0,BUF 41,20.0,20.0,Josh Allen pass complete short left to Keon Coleman for 10 yards (tackle by Brandin Echols),1.67,2.32,6.0,2024,92
4.0,8:30,1.0,10.0,NYJ 49,20.0,20.0,Ray Davis right end for 2 yards (tackle by Quincy Williams and Ashtyn Davis),2.32,2.05,6.0,2024,92
4.0,7:48,2.0,8.0,NYJ 47,20.0,20.0,Josh Allen pass complete short left to Dalton Kincaid for 15 yards (tackle by Brandin Echols),2.05,3.45,6.0,2024,92
4.0,7:10,1.0,10.0,NYJ 32,20.0,20.0,Ray Davis left tackle for 3 yards (tackle by Eric Watts and Micheal Clemons),3.45,3.31,6.0,2024,92
4.0,6:35,2.0,7.0,NYJ 29,20.0,20.0,Josh Allen pass complete short left to Keon Coleman for 11 yards (tackle by Tony Adams),3.31,4.37,6.0,2024,92
4.0,5:55,1.0,10.0,NYJ 18,20.0,20.0,Ray Davis left guard for -1 yards (tackle by Ashtyn Davis),4.37,3.67,6.0,2024,92
4.0,5:18,2.0,11.0,NYJ 19,20.0,20.0,"Josh Allen pass incomplete short right. Penalty on Javon Kinlaw: Roughing the Passer, 10 yards (accepted) (no play)",3.67,5.14,6.0,2024,92
4.0,5:13,1.0,9.0,NYJ 9,20.0,20.0,Ray Davis up the middle for 2 yards (tackle by Brandin Echols),5.14,4.76,6.0,2024,92
4.0,4:32,2.0,7.0,NYJ 7,20.0,20.0,Josh Allen sacked by Quinnen Williams for no gain,4.76,3.81,6.0,2024,92
4.0,3:48,3.0,7.0,NYJ 7,20.0,20.0,Josh Allen pass incomplete short middle intended for Mack Hollins (defended by Isaiah Oliver),3.81,2.97,6.0,2024,92
4.0,3:46,4.0,7.0,NYJ 7,20.0,20.0,"Penalty on Javon Kinlaw: Neutral Zone Infraction, 4 yards (accepted) (no play)",2.97,3.04,6.0,2024,92
4.0,3:46,4.0,3.0,NYJ 3,23.0,20.0,Tyler Bass 22 yard field goal good,3.04,3.0,6.0,2024,92
4.0,3:43,,,BUF 35,23.0,20.0,"Penalty on Javon Kinlaw: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0.0,0.0,6.0,2024,92
4.0,3:43,,,BUF 50,23.0,20.0,"Tyler Bass kicks off 50 yards, touchback.",0.0,0.94,6.0,2024,92
4.0,3:43,1.0,10.0,NYJ 30,23.0,20.0,"Aaron Rodgers sacked by Terrel Bernard for no gain. Aaron Rodgers fumbles (forced by Terrel Bernard), recovered by Gregory Rousseau at NYJ-30 Replay Assistant challenged the fumble ruling, and the original play was overturned. Aaron Rodgers pass incomplete short left",0.94,0.39,6.0,2024,92
4.0,3:40,2.0,10.0,NYJ 30,23.0,20.0,Aaron Rodgers pass complete short right to Tyler Conklin for 6 yards (tackle by Taylor Rapp and Taron Johnson),0.39,0.5,6.0,2024,92
4.0,2:55,3.0,4.0,NYJ 36,23.0,20.0,"Aaron Rodgers pass incomplete short right intended for Garrett Wilson. Penalty on Christian Benford: Defensive Pass Interference, 10 yards (accepted) (no play)",0.5,1.99,6.0,2024,92
4.0,2:52,1.0,10.0,NYJ 46,23.0,20.0,"Aaron Rodgers pass incomplete short right. Penalty on Morgan Moses: Offensive Holding, 10 yards (offset) . Penalty on Rasul Douglas: Defensive Holding, 5 yards (offset) (no play)",1.99,1.99,6.0,2024,92
4.0,2:47,1.0,10.0,NYJ 46,23.0,20.0,Breece Hall left end for 2 yards (tackle by Rasul Douglas),1.99,1.72,6.0,2024,92
