Quarter,Time,Down,ToGo,Location,CLE,PHI,Detail,EPB,EPA,week,year,game_id
1.0,5:20,2.0,9.0,PHI 49,0.0,0.0,"Deshaun Watson pass incomplete short right PHI challenged the runner was down by contact ruling, and the original play was overturned. Deshaun Watson sacked by and Cooper DeJean for -15 yards and Bryce Huff for -15 yards",1.85,-0.82,6.0,2024,81
1.0,5:07,3.0,24.0,CLE 36,0.0,0.0,Deshaun Watson pass incomplete short left intended for Pierre Strong,-0.82,-0.98,6.0,2024,81
1.0,5:01,4.0,24.0,CLE 36,0.0,0.0,"Corey Bojorquez punts 60 yards, returned by Cooper DeJean for 7 yards (tackle by Nathaniel Watson)",-0.98,0.37,6.0,2024,81
1.0,4:50,1.0,10.0,PHI 11,0.0,0.0,Saquon Barkley right end for 8 yards (tackle by Maurice Hurst),-0.37,0.17,6.0,2024,81
1.0,4:19,2.0,2.0,PHI 19,0.0,0.0,Saquon Barkley up the middle for 1 yard (tackle by Mohamoud Diabate and Devin Bush),0.17,-0.37,6.0,2024,81
1.0,3:52,3.0,1.0,PHI 20,0.0,0.0,Jalen Hurts up the middle for 2 yards (tackle by Devin Bush and Jeremiah Owusu-Koramoah),-0.37,0.41,6.0,2024,81
1.0,3:14,1.0,10.0,PHI 22,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 13 yards (tackle by Rodney McLeod),0.41,1.27,6.0,2024,81
1.0,2:46,1.0,10.0,PHI 35,0.0,0.0,Jalen Hurts right end for 8 yards (tackle by Greg Newsome),1.27,1.8,6.0,2024,81
1.0,2:16,2.0,2.0,PHI 43,0.0,0.0,Saquon Barkley right guard for 1 yard (tackle by Shelby Harris),1.8,1.22,6.0,2024,81
1.0,1:50,3.0,1.0,PHI 44,0.0,0.0,Jalen Hurts up the middle for 1 yard (tackle by Ogbonnia Okoronkwo and Shelby Harris),1.22,1.93,6.0,2024,81
1.0,1:11,1.0,10.0,PHI 45,0.0,0.0,Saquon Barkley up the middle for 2 yards (tackle by Mohamoud Diabate and Jeremiah Owusu-Koramoah),1.93,1.65,6.0,2024,81
1.0,0:28,2.0,8.0,PHI 47,0.0,0.0,Jalen Hurts pass complete short right to DeVonta Smith for 6 yards (tackle by D'Anthony Bell),1.65,1.75,6.0,2024,81
2.0,15:00,3.0,2.0,CLE 47,0.0,0.0,Saquon Barkley right guard for 10 yards (tackle by Dalvin Tomlinson and D'Anthony Bell),1.75,3.12,6.0,2024,81
2.0,14:33,1.0,10.0,CLE 37,0.0,0.0,Saquon Barkley left guard for 3 yards (tackle by Za'Darius Smith and Shelby Harris),3.12,2.98,6.0,2024,81
2.0,13:49,2.0,7.0,CLE 34,0.0,0.0,Kenneth Gainwell right end for 3 yards (tackle by Mohamoud Diabate and Za'Darius Smith),2.98,2.68,6.0,2024,81
2.0,13:10,3.0,4.0,CLE 31,0.0,0.0,Jalen Hurts pass incomplete short middle intended for A.J. Brown (defended by Jeremiah Owusu-Koramoah),2.68,1.37,6.0,2024,81
2.0,13:06,4.0,4.0,CLE 31,0.0,3.0,Jake Elliott 49 yard field goal good,1.37,3.0,6.0,2024,81
2.0,13:02,,,PHI 35,0.0,3.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,81
2.0,13:02,1.0,10.0,CLE 30,0.0,3.0,D'Onta Foreman left guard for 1 yard (tackle by Bryce Huff),0.94,0.53,6.0,2024,81
2.0,12:23,2.0,9.0,CLE 31,0.0,3.0,Deshaun Watson pass incomplete short left intended for Amari Cooper,0.53,-0.16,6.0,2024,81
2.0,12:19,3.0,9.0,CLE 31,0.0,3.0,Deshaun Watson pass incomplete short left intended for David Njoku,-0.16,-1.31,6.0,2024,81
2.0,12:16,4.0,9.0,CLE 31,0.0,3.0,"Corey Bojorquez punts 55 yards, returned by Cooper DeJean for 12 yards (tackle by D'Anthony Bell). Penalty on Oren Burks: Offensive Holding, 10 yards (accepted)",-1.31,0.14,6.0,2024,81
2.0,12:03,1.0,10.0,PHI 16,0.0,3.0,Jalen Hurts pass complete short right to Grant Calcaterra for 34 yards (tackle by Rodney McLeod),-0.14,2.26,6.0,2024,81
2.0,11:27,1.0,10.0,CLE 50,0.0,3.0,Jalen Hurts right guard for -1 yards (tackle by Myles Garrett and Jeremiah Owusu-Koramoah),2.26,1.58,6.0,2024,81
2.0,10:57,2.0,11.0,PHI 49,0.0,3.0,Jalen Hurts pass complete short right to A.J. Brown for 16 yards (tackle by Rodney McLeod),1.58,3.25,6.0,2024,81
2.0,10:28,1.0,10.0,CLE 35,0.0,3.0,Saquon Barkley left guard for 4 yards (tackle by Shelby Harris and Devin Bush),3.25,3.24,6.0,2024,81
2.0,9:50,2.0,6.0,CLE 31,0.0,3.0,Jalen Hurts right end for 4 yards (tackle by Rodney McLeod),3.24,3.07,6.0,2024,81
2.0,9:23,3.0,2.0,CLE 27,0.0,3.0,Saquon Barkley left guard for 1 yard (tackle by Devin Bush),3.07,1.89,6.0,2024,81
2.0,8:43,4.0,1.0,CLE 26,0.0,3.0,Jalen Hurts up the middle for 1 yard (tackle by Jeremiah Owusu-Koramoah),1.89,3.91,6.0,2024,81
2.0,8:10,1.0,10.0,CLE 25,0.0,3.0,Saquon Barkley up the middle for 3 yards (tackle by Myles Garrett),3.91,3.77,6.0,2024,81
2.0,7:33,2.0,7.0,CLE 22,0.0,3.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,3.77,3.07,6.0,2024,81
2.0,7:24,3.0,7.0,CLE 22,0.0,9.0,"Jalen Hurts pass complete deep left to A.J. Brown for 22 yards, touchdown",3.07,7.0,6.0,2024,81
2.0,7:17,,,CLE 15,0.0,10.0,Jake Elliott kicks extra point good,0.0,0.0,6.0,2024,81
2.0,7:17,,,PHI 35,0.0,10.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,81
2.0,7:17,1.0,10.0,CLE 30,0.0,10.0,D'Onta Foreman left end for 12 yards (tackle by Nakobe Dean),0.94,1.73,6.0,2024,81
2.0,6:54,1.0,10.0,CLE 42,0.0,10.0,D'Onta Foreman up the middle for 3 yards (tackle by Nakobe Dean and Josh Sweat),1.73,1.59,6.0,2024,81
2.0,6:15,2.0,7.0,CLE 45,0.0,10.0,"Deshaun Watson pass incomplete short middle intended for Jerry Jeudy. Penalty on Zack Baun: Roughing the Passer, 15 yards (accepted) (no play)",1.59,2.92,6.0,2024,81
2.0,6:12,1.0,10.0,PHI 40,0.0,10.0,Deshaun Watson pass incomplete deep left intended for Jerry Jeudy (defended by C.J. Gardner-Johnson),2.92,2.37,6.0,2024,81
2.0,6:06,2.0,10.0,PHI 40,0.0,10.0,Pierre Strong up the middle for 6 yards (tackle by C.J. Gardner-Johnson),2.37,2.48,6.0,2024,81
2.0,5:26,3.0,4.0,PHI 34,0.0,10.0,"D'Onta Foreman left end for no gain (tackle by Reed Blankenship). Penalty on Geoff Swaim: Offensive Holding, 10 yards (accepted) (no play)",2.48,1.16,6.0,2024,81
2.0,5:00,3.0,14.0,PHI 44,0.0,10.0,Deshaun Watson pass complete short left to Amari Cooper for 10 yards (tackle by Nakobe Dean),1.16,1.08,6.0,2024,81
2.0,4:19,4.0,4.0,PHI 34,0.0,10.0,Deshaun Watson pass complete short right to David Njoku for 14 yards (tackle by Quinyon Mitchell and Reed Blankenship),1.08,4.24,6.0,2024,81
2.0,3:36,1.0,10.0,PHI 20,0.0,10.0,Deshaun Watson pass incomplete deep left intended for Jerry Jeudy,4.24,3.69,6.0,2024,81
2.0,3:31,2.0,10.0,PHI 20,0.0,10.0,D'Onta Foreman right guard for -1 yards (tackle by Jordan Davis and Brandon Graham),3.69,2.87,6.0,2024,81
2.0,2:51,3.0,11.0,PHI 21,0.0,10.0,Deshaun Watson sacked by Jalen Carter for -4 yards,2.87,1.8,6.0,2024,81
2.0,2:02,4.0,15.0,PHI 25,3.0,10.0,Dustin Hopkins 43 yard field goal good,1.8,3.0,6.0,2024,81
2.0,1:58,,,CLE 35,3.0,10.0,"Dustin Hopkins kicks off 66 yards, returned by Isaiah Rodgers for 29 yards (tackle by Winston Reid)",0.0,0.81,6.0,2024,81
2.0,1:53,1.0,10.0,PHI 28,3.0,10.0,"Penalty on Lane Johnson: False Start, 5 yards (accepted) (no play)",0.81,0.48,6.0,2024,81
2.0,1:53,1.0,15.0,PHI 23,3.0,10.0,Jalen Hurts pass complete short middle to Grant Calcaterra for 20 yards (tackle by Denzel Ward),0.48,1.8,6.0,2024,81
2.0,1:28,1.0,10.0,PHI 43,3.0,10.0,Jalen Hurts pass complete short right to A.J. Brown for 17 yards (tackle by Denzel Ward),1.8,2.92,6.0,2024,81
2.0,1:00,1.0,10.0,CLE 40,3.0,10.0,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Denzel Ward and Jeremiah Owusu-Koramoah),2.92,3.59,6.0,2024,81
2.0,0:37,2.0,1.0,CLE 31,3.0,10.0,Jalen Hurts pass complete short left to Saquon Barkley for no gain (tackle by Martin Emerson),3.59,2.87,6.0,2024,81
2.0,0:32,,,,,,Timeout #1 by Philadelphia Eagles,,,6.0,2024,81
2.0,0:32,3.0,1.0,CLE 31,3.0,10.0,Jalen Hurts sacked by Jeremiah Owusu-Koramoah for -8 yards,2.87,0.66,6.0,2024,81
2.0,0:25,,,,,,Timeout #1 by Cleveland Browns,,,6.0,2024,81
2.0,0:25,4.0,9.0,CLE 39,9.0,10.0,"Jake Elliott 57 yard field goal no good blocked by Myles Garrett, touchdown",0.66,-7.0,6.0,2024,81
2.0,0:14,,,PHI 15,10.0,10.0,Dustin Hopkins kicks extra point good,0.0,0.0,6.0,2024,81
2.0,0:14,,,CLE 35,10.0,10.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,81
2.0,0:14,1.0,10.0,PHI 30,10.0,10.0,Jalen Hurts kneels for -1 yards,0.94,0.26,6.0,2024,81
3.0,15:00,,,PHI 35,10.0,10.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,81
3.0,15:00,1.0,10.0,CLE 30,10.0,10.0,D'Onta Foreman left tackle for 1 yard (tackle by Jordan Davis),0.94,0.53,6.0,2024,81
3.0,14:28,2.0,9.0,CLE 31,10.0,10.0,Deshaun Watson pass complete short middle to David Njoku for 11 yards (tackle by C.J. Gardner-Johnson),0.53,1.73,6.0,2024,81
3.0,13:50,1.0,10.0,CLE 42,10.0,10.0,Deshaun Watson pass complete short middle to D'Onta Foreman for 6 yards (tackle by Zack Baun),1.73,2.0,6.0,2024,81
3.0,12:58,2.0,4.0,CLE 48,10.0,10.0,Pierre Strong left end for 14 yards (tackle by Quinyon Mitchell),2.0,3.05,6.0,2024,81
3.0,12:32,1.0,10.0,PHI 38,10.0,10.0,Deshaun Watson scrambles left end for 6 yards (tackle by Cooper DeJean),3.05,3.32,6.0,2024,81
3.0,11:56,2.0,4.0,PHI 32,10.0,10.0,D'Onta Foreman left guard for 3 yards (tackle by Brandon Graham and Reed Blankenship),3.32,3.01,6.0,2024,81
3.0,11:15,3.0,1.0,PHI 29,10.0,10.0,Cedric Tillman left end for -5 yards (tackle by Brandon Graham),3.01,1.07,6.0,2024,81
3.0,10:30,4.0,6.0,PHI 34,10.0,10.0,Dustin Hopkins 52 yard field goal no good,1.07,-1.73,6.0,2024,81
3.0,10:26,1.0,10.0,PHI 42,10.0,10.0,Saquon Barkley right guard for -3 yards (tackle by Myles Garrett),1.73,0.78,6.0,2024,81
3.0,9:45,2.0,13.0,PHI 39,10.0,10.0,Jalen Hurts pass incomplete short left intended for Jahan Dotson,0.78,0.1,6.0,2024,81
3.0,9:37,3.0,13.0,PHI 39,10.0,10.0,Jalen Hurts pass complete short right to Saquon Barkley for 7 yards (tackle by Rodney McLeod),0.1,-0.32,6.0,2024,81
3.0,9:08,4.0,6.0,PHI 46,10.0,10.0,Braden Mann punts 47 yards out of bounds,-0.32,0.38,6.0,2024,81
3.0,8:59,1.0,10.0,CLE 7,10.0,10.0,Deshaun Watson sacked by and Milton Williams for -4 yards and Thomas Booker for -4 yards,-0.38,-1.07,6.0,2024,81
3.0,8:16,2.0,14.0,CLE 3,10.0,10.0,D'Onta Foreman left guard for 2 yards (tackle by Zack Baun),-1.07,-1.65,6.0,2024,81
3.0,7:37,3.0,12.0,CLE 5,10.0,10.0,Pierre Strong up the middle for 3 yards (tackle by Nakobe Dean and Cooper DeJean),-1.65,-2.49,6.0,2024,81
3.0,6:58,4.0,9.0,CLE 8,10.0,10.0,"Corey Bojorquez punts 64 yards, returned by Cooper DeJean for 19 yards (tackle by Khaleke Hudson)",-2.49,-2.06,6.0,2024,81
3.0,6:47,1.0,10.0,PHI 47,10.0,10.0,Jahan Dotson right end for 13 yards (tackle by Greg Newsome),2.06,2.92,6.0,2024,81
3.0,6:13,1.0,10.0,CLE 40,10.0,10.0,Saquon Barkley left tackle for -2 yards (tackle by Maurice Hurst),2.92,2.1,6.0,2024,81
3.0,5:34,2.0,12.0,CLE 42,10.0,10.0,Kenneth Gainwell left end for 19 yards (tackle by Rodney McLeod),2.1,4.04,6.0,2024,81
3.0,5:11,1.0,10.0,CLE 23,10.0,10.0,Kenneth Gainwell right guard for 1 yard (tackle by Myles Garrett),4.04,3.63,6.0,2024,81
3.0,4:27,2.0,9.0,CLE 22,10.0,10.0,"Penalty on Grant Calcaterra: False Start, 5 yards (accepted) (no play)",3.63,2.96,6.0,2024,81
3.0,4:13,2.0,14.0,CLE 27,10.0,10.0,Jalen Hurts pass complete short left to Grant Calcaterra for 6 yards (tackle by Greg Newsome),2.96,3.07,6.0,2024,81
3.0,3:27,3.0,8.0,CLE 21,10.0,10.0,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",3.07,2.41,6.0,2024,81
3.0,3:03,3.0,13.0,CLE 26,10.0,10.0,Jalen Hurts pass incomplete deep right intended for Jahan Dotson,2.41,1.74,6.0,2024,81
3.0,2:54,4.0,13.0,CLE 26,10.0,13.0,Jake Elliott 44 yard field goal good,1.74,3.0,6.0,2024,81
3.0,2:50,,,PHI 35,10.0,13.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,81
3.0,2:50,1.0,10.0,CLE 30,10.0,13.0,Deshaun Watson sacked by Josh Sweat for -1 yards,0.94,0.26,6.0,2024,81
3.0,2:13,2.0,11.0,CLE 29,10.0,13.0,Deshaun Watson scrambles left end for 6 yards (tackle by Nakobe Dean),0.26,0.37,6.0,2024,81
3.0,1:24,3.0,5.0,CLE 35,10.0,13.0,"Penalty on Deshaun Watson: Delay of Game, 5 yards (accepted) (no play)",0.37,-0.3,6.0,2024,81
3.0,1:05,3.0,10.0,CLE 30,10.0,13.0,Deshaun Watson pass complete short left to Pierre Strong for 21 yards (tackle by Avonte Maddox and C.J. Gardner-Johnson),-0.3,2.32,6.0,2024,81
3.0,0:27,1.0,10.0,PHI 49,10.0,13.0,Pierre Strong left end for 4 yards (tackle by Quinyon Mitchell),2.32,2.32,6.0,2024,81
4.0,15:00,2.0,6.0,PHI 45,10.0,13.0,D'Onta Foreman up the middle for 3 yards (tackle by Brandon Graham and Zack Baun),2.32,2.02,6.0,2024,81
4.0,14:21,3.0,3.0,PHI 42,10.0,13.0,Deshaun Watson left end for 3 yards (tackle by Brandon Graham),2.02,2.98,6.0,2024,81
4.0,13:42,1.0,10.0,PHI 39,10.0,13.0,Pierre Strong left tackle for 7 yards (tackle by Nakobe Dean),2.98,3.39,6.0,2024,81
4.0,12:59,2.0,3.0,PHI 32,10.0,13.0,Pierre Strong right guard for 4 yards (tackle by Zack Baun and Nakobe Dean),3.39,3.71,6.0,2024,81
4.0,12:23,1.0,10.0,PHI 28,10.0,13.0,D'Onta Foreman up the middle for 3 yards (tackle by Nakobe Dean),3.71,3.57,6.0,2024,81
4.0,11:44,2.0,7.0,PHI 25,10.0,13.0,Deshaun Watson pass complete short right to David Njoku for 1 yard (tackle by C.J. Gardner-Johnson),3.57,3.01,6.0,2024,81
4.0,11:00,3.0,6.0,PHI 24,10.0,13.0,"Deshaun Watson scrambles up the middle for no gain (tackle by Josh Sweat). Penalty on Michael Dunn: Offensive Holding, 10 yards (accepted) (no play)",3.01,1.68,6.0,2024,81
4.0,10:38,3.0,16.0,PHI 34,10.0,13.0,Deshaun Watson pass complete short left to David Njoku for 3 yards (tackle by Josh Sweat and Zack Baun),1.68,1.32,6.0,2024,81
4.0,9:53,4.0,13.0,PHI 31,13.0,13.0,Dustin Hopkins 49 yard field goal good,1.32,3.0,6.0,2024,81
4.0,9:49,,,CLE 35,13.0,13.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,81
4.0,9:49,1.0,10.0,PHI 30,13.0,13.0,Saquon Barkley left end for 6 yards (tackle by Rodney McLeod),0.94,1.2,6.0,2024,81
4.0,9:14,2.0,4.0,PHI 36,13.0,13.0,Jalen Hurts pass complete short left to Grant Calcaterra for 7 yards (tackle by Martin Emerson),1.2,1.8,6.0,2024,81
4.0,8:39,1.0,10.0,PHI 43,13.0,13.0,Jalen Hurts pass complete short right to A.J. Brown for 12 yards (tackle by Greg Newsome),1.8,2.59,6.0,2024,81
4.0,8:03,1.0,10.0,CLE 45,13.0,19.0,"Jalen Hurts pass complete short right to DeVonta Smith for 45 yards, touchdown",2.59,7.0,6.0,2024,81
4.0,7:54,,,CLE 15,13.0,20.0,Jake Elliott kicks extra point good,0.0,0.0,6.0,2024,81
4.0,7:54,,,PHI 35,13.0,20.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,81
4.0,7:54,1.0,10.0,CLE 30,13.0,20.0,Deshaun Watson pass complete deep left to Jerry Jeudy for 35 yards (tackle by Nakobe Dean and Isaiah Rodgers),0.94,3.25,6.0,2024,81
4.0,7:25,1.0,10.0,PHI 35,13.0,20.0,Deshaun Watson pass complete short right to Pierre Strong for 14 yards (tackle by Kelee Ringo and Zack Baun),3.25,4.17,6.0,2024,81
4.0,6:45,1.0,10.0,PHI 21,13.0,20.0,"Deshaun Watson pass incomplete deep right intended for Amari Cooper. Penalty on Amari Cooper: Offensive Facemask, 15 yards (accepted) (no play)",4.17,3.18,6.0,2024,81
4.0,6:38,1.0,25.0,PHI 36,13.0,20.0,Deshaun Watson pass complete short middle to Amari Cooper for 5 yards (tackle by Cooper DeJean and Nakobe Dean),3.18,2.28,6.0,2024,81
4.0,5:55,2.0,20.0,PHI 31,13.0,20.0,Deshaun Watson pass complete short left to D'Onta Foreman for 10 yards (tackle by Cooper DeJean),2.28,2.94,6.0,2024,81
4.0,5:16,3.0,10.0,PHI 21,13.0,20.0,Deshaun Watson pass complete short right to Amari Cooper for 13 yards (tackle by C.J. Gardner-Johnson and Kelee Ringo),2.94,5.37,6.0,2024,81
4.0,4:35,1.0,8.0,PHI 8,13.0,20.0,Deshaun Watson pass complete short right to Elijah Moore for 3 yards (tackle by Cooper DeJean),5.37,5.15,6.0,2024,81
4.0,4:07,2.0,5.0,PHI 5,13.0,20.0,Deshaun Watson right end for 2 yards (tackle by Nolan Smith and Isaiah Rodgers),5.15,4.72,6.0,2024,81
4.0,4:00,3.0,3.0,PHI 3,13.0,20.0,"Penalty on Zak Zinter: False Start, 5 yards (accepted) (no play)",4.72,3.58,6.0,2024,81
4.0,4:00,3.0,8.0,PHI 8,13.0,20.0,Deshaun Watson pass incomplete short left intended for David Njoku (defended by C.J. Gardner-Johnson),3.58,2.95,6.0,2024,81
4.0,3:57,4.0,8.0,PHI 8,13.0,20.0,"Penalty on Jedrick Wills: False Start, 5 yards (accepted) (no play)",2.95,2.57,6.0,2024,81
4.0,3:57,4.0,13.0,PHI 13,16.0,20.0,Dustin Hopkins 31 yard field goal good,2.57,3.0,6.0,2024,81
4.0,3:54,,,CLE 35,16.0,20.0,"Dustin Hopkins kicks off 63 yards, returned by Isaiah Rodgers for 22 yards (tackle by Jeremiah Owusu-Koramoah)",0.0,0.54,6.0,2024,81
4.0,3:48,1.0,10.0,PHI 24,16.0,20.0,Saquon Barkley left tackle for 4 yards (tackle by Shelby Harris and Devin Bush),0.54,0.54,6.0,2024,81
4.0,3:05,2.0,6.0,PHI 28,16.0,20.0,Jalen Hurts left guard for 4 yards (tackle by Devin Bush and Mohamoud Diabate),0.54,0.37,6.0,2024,81
4.0,3:00,,,,,,Timeout #1 by Cleveland Browns,,,6.0,2024,81
4.0,3:00,3.0,2.0,PHI 32,16.0,20.0,Jalen Hurts right end for 6 yards (tackle by Za'Darius Smith),0.37,1.47,6.0,2024,81
4.0,2:55,,,,,,Timeout #2 by Cleveland Browns,,,6.0,2024,81
4.0,2:55,1.0,10.0,PHI 38,16.0,20.0,Saquon Barkley left guard for 1 yard (tackle by Shelby Harris),1.47,1.06,6.0,2024,81
4.0,2:15,2.0,9.0,PHI 39,16.0,20.0,Jalen Hurts pass complete short left to Jahan Dotson for 10 yards,1.06,2.19,6.0,2024,81
4.0,2:08,1.0,10.0,PHI 49,16.0,20.0,Saquon Barkley right guard for -1 yards (tackle by Michael Hall and Mohamoud Diabate),2.19,1.51,6.0,2024,81
4.0,2:00,2.0,11.0,PHI 48,16.0,20.0,Jalen Hurts pass complete deep left to A.J. Brown for 40 yards (tackle by Greg Newsome),1.51,4.78,6.0,2024,81
4.0,1:49,,,,,,Timeout #3 by Cleveland Browns,,,6.0,2024,81
4.0,1:49,1.0,10.0,CLE 12,16.0,20.0,Jalen Hurts kneels for -1 yards,4.78,3.94,6.0,2024,81
4.0,1:08,2.0,11.0,CLE 13,16.0,20.0,Jalen Hurts kneels for -1 yards,3.94,3.06,6.0,2024,81
4.0,0:33,3.0,12.0,CLE 14,16.0,20.0,Jalen Hurts kneels for -1 yards,3.06,2.44,6.0,2024,81
