Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA,week,year,game_id
2.0,2:31,2.0,13.0,IND 37,7.0,10.0,"Joe Flacco pass short middle is intercepted by Kenneth Murray at IND-48 and returned for no gain (tackle by Dalton Tucker). Penalty on Amani Hooker: Defensive Pass Interference, 14 yards (accepted) (no play)",0.65,2.32,6.0,2024,82
2.0,2:19,1.0,10.0,TEN 49,7.0,10.0,Tyler Goodson left tackle for 33 yards (tackle by L'Jarius Sneed),2.32,4.51,6.0,2024,82
2.0,1:52,1.0,10.0,TEN 16,7.0,10.0,"Joe Flacco pass complete short left to Mo Alie-Cox for 6 yards (tackle by Amani Hooker). Penalty on Ryan Kelly: Offensive Facemask, 15 yards (accepted)",4.51,3.91,6.0,2024,82
2.0,1:52,1.0,19.0,TEN 25,7.0,10.0,Tyler Goodson left tackle for 5 yards (tackle by L'Jarius Sneed),3.91,3.42,6.0,2024,82
2.0,1:10,2.0,14.0,TEN 20,7.0,10.0,Joe Flacco pass incomplete short left intended for Adonai Mitchell,3.42,2.74,6.0,2024,82
2.0,1:06,3.0,14.0,TEN 20,7.0,10.0,"Joe Flacco pass incomplete deep right intended for Alec Pierce. Penalty on Jarvis Brownlee: Illegal Contact, 5 yards (accepted) (no play)",2.74,4.58,6.0,2024,82
2.0,1:06,1.0,10.0,TEN 15,7.0,10.0,Joe Flacco pass complete short right to Josh Downs for 7 yards (tackle by Roger McCreary),4.58,5.22,6.0,2024,82
2.0,0:25,2.0,3.0,TEN 8,7.0,10.0,Joe Flacco pass incomplete short right,5.22,4.45,6.0,2024,82
2.0,0:24,3.0,3.0,TEN 8,7.0,10.0,Joe Flacco pass incomplete short right intended for Josh Downs (defended by Jarvis Brownlee),4.45,2.98,6.0,2024,82
2.0,0:22,4.0,3.0,TEN 8,10.0,10.0,Matt Gay 26 yard field goal good,2.98,3.0,6.0,2024,82
2.0,0:19,,,IND 35,10.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,82
2.0,0:19,1.0,10.0,TEN 30,10.0,10.0,Tyjae Spears up the middle for 4 yards (tackle by Laiatu Latu),0.94,0.93,6.0,2024,82
3.0,15:00,,,IND 35,10.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,82
3.0,15:00,1.0,10.0,TEN 30,10.0,10.0,Tony Pollard left tackle for 6 yards (tackle by Taven Bryan and Nick Cross),0.94,1.2,6.0,2024,82
3.0,14:25,2.0,4.0,TEN 36,10.0,10.0,"Tony Pollard right guard for 5 yards (tackle by Kenny Moore). Penalty on Taven Bryan: Defensive Holding, 5 yards (accepted)",1.2,1.99,6.0,2024,82
3.0,13:45,1.0,10.0,TEN 46,10.0,10.0,Will Levis pass incomplete short right intended for Calvin Ridley (defended by Jaylon Carlies),1.99,1.45,6.0,2024,82
3.0,13:35,2.0,10.0,TEN 46,10.0,10.0,Will Levis pass complete short middle to Tony Pollard for 1 yard (tackle by E.J. Speed and Grover Stewart),1.45,0.89,6.0,2024,82
3.0,13:10,3.0,9.0,TEN 47,10.0,10.0,"Penalty on Laiatu Latu: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.89,1.55,6.0,2024,82
3.0,13:09,3.0,4.0,IND 48,10.0,10.0,Will Levis pass complete short middle to Chigoziem Okonkwo for 5 yards (tackle by Zaire Franklin and Nick Cross),1.55,2.72,6.0,2024,82
3.0,12:43,1.0,10.0,IND 43,10.0,10.0,Tony Pollard left guard for 5 yards (tackle by Zaire Franklin and Kenny Moore),2.72,2.85,6.0,2024,82
3.0,12:11,2.0,5.0,IND 38,10.0,10.0,Julius Chestnut left tackle for 2 yards (tackle by Adetomiwa Adebawore and Nick Cross),2.85,2.41,6.0,2024,82
3.0,11:25,3.0,3.0,IND 36,10.0,10.0,Tony Pollard left tackle for 2 yards (tackle by E.J. Speed and Nick Cross),2.41,1.1,6.0,2024,82
3.0,10:43,4.0,1.0,IND 34,10.0,10.0,Will Levis pass complete short left to Treylon Burks for 10 yards (tackle by Julian Blackmon),1.1,3.97,6.0,2024,82
3.0,10:00,1.0,10.0,IND 24,10.0,10.0,Calvin Ridley left end for 9 yards (tackle by Julian Blackmon),3.97,4.85,6.0,2024,82
3.0,9:18,2.0,1.0,IND 15,10.0,10.0,Tony Pollard right guard for 1 yard (tackle by Jaylon Carlies),4.85,4.65,6.0,2024,82
3.0,8:34,1.0,10.0,IND 14,10.0,10.0,"Penalty on Leroy Watson: False Start, 5 yards (accepted) (no play)",4.65,4.26,6.0,2024,82
3.0,8:18,1.0,15.0,IND 19,10.0,10.0,"Will Levis pass complete short left to Tony Pollard for no gain (tackle by E.J. Speed). Penalty on Leroy Watson: Offensive Holding, 10 yards (accepted) (no play)",4.26,3.64,6.0,2024,82
3.0,7:50,1.0,25.0,IND 29,10.0,10.0,Will Levis pass complete short left to Chigoziem Okonkwo for 4 yards (tackle by Zaire Franklin),3.64,2.61,6.0,2024,82
3.0,7:13,2.0,21.0,IND 25,10.0,10.0,Will Levis pass complete short right to Josh Whyle for 2 yards (tackle by Samuel Womack),2.61,2.21,6.0,2024,82
3.0,6:26,3.0,19.0,IND 23,10.0,16.0,"Tony Pollard up the middle for 23 yards, touchdown",2.21,7.0,6.0,2024,82
3.0,6:19,,,IND 15,10.0,17.0,Nick Folk kicks extra point good,0.0,0.0,6.0,2024,82
3.0,6:19,,,TEN 35,10.0,17.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,82
3.0,6:19,1.0,10.0,IND 30,10.0,17.0,Tyler Goodson up the middle for 2 yards (tackle by Kenneth Murray),0.94,0.66,6.0,2024,82
3.0,5:47,2.0,8.0,IND 32,10.0,17.0,Joe Flacco pass complete short right to Adonai Mitchell for 9 yards (tackle by L'Jarius Sneed),0.66,1.66,6.0,2024,82
3.0,5:20,1.0,10.0,IND 41,10.0,17.0,Joe Flacco pass complete short right to Tyler Goodson for no gain (tackle by Kenneth Murray),1.66,1.12,6.0,2024,82
3.0,4:53,2.0,10.0,IND 41,10.0,17.0,Joe Flacco pass incomplete deep right intended for Will Mallory,1.12,0.43,6.0,2024,82
3.0,4:50,3.0,10.0,IND 41,10.0,17.0,"Joe Flacco pass incomplete short middle intended for Josh Downs. Penalty on Kenneth Murray: Defensive Pass Interference, 6 yards (accepted) (no play)",0.43,2.06,6.0,2024,82
3.0,4:46,1.0,10.0,IND 47,10.0,17.0,"Joe Flacco pass complete short right to Mo Alie-Cox for 7 yards (tackle by Roger McCreary). Penalty on Sebastian Joseph-Day: Roughing the Passer, 15 yards (accepted)",2.06,3.51,6.0,2024,82
3.0,4:24,1.0,10.0,TEN 31,10.0,17.0,Joe Flacco pass complete short middle to Mo Alie-Cox for 6 yards (tackle by Kenneth Murray),3.51,3.78,6.0,2024,82
3.0,3:57,2.0,4.0,TEN 25,10.0,17.0,Trey Sermon up the middle for 1 yard (tackle by Sebastian Joseph-Day and Harold Landry),3.78,3.2,6.0,2024,82
3.0,3:24,3.0,3.0,TEN 24,10.0,17.0,Joe Flacco pass incomplete short left intended for Josh Downs,3.2,1.97,6.0,2024,82
3.0,3:20,4.0,3.0,TEN 24,10.0,17.0,Joe Flacco pass complete short left to Josh Downs for 5 yards (tackle by Quandre Diggs),1.97,4.31,6.0,2024,82
3.0,2:47,1.0,10.0,TEN 19,10.0,17.0,Tyler Goodson up the middle for 2 yards (tackle by Ali Gaye and T'Vondre Sweat),4.31,4.03,6.0,2024,82
3.0,2:10,2.0,8.0,TEN 17,10.0,17.0,Joe Flacco pass complete short middle to Tyler Goodson for 13 yards (tackle by Ernest Jones),4.03,6.28,6.0,2024,82
3.0,1:38,1.0,4.0,TEN 4,10.0,17.0,Tyler Goodson up the middle for 2 yards (tackle by Quandre Diggs),6.28,5.72,6.0,2024,82
3.0,1:04,2.0,2.0,TEN 2,10.0,17.0,Trey Sermon right guard for no gain (tackle by Jeffery Simmons),5.72,4.95,6.0,2024,82
3.0,0:28,3.0,2.0,TEN 2,10.0,17.0,Trey Sermon up the middle for -2 yards (tackle by Harold Landry and Amani Hooker),4.95,3.03,6.0,2024,82
4.0,15:00,4.0,4.0,TEN 4,13.0,17.0,Matt Gay 22 yard field goal good,3.03,3.0,6.0,2024,82
4.0,14:57,,,IND 35,13.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,82
4.0,14:57,1.0,10.0,TEN 30,13.0,17.0,Tony Pollard right tackle for 5 yards (tackle by Zaire Franklin),0.94,1.07,6.0,2024,82
4.0,14:22,2.0,5.0,TEN 35,13.0,17.0,Tony Pollard right tackle for 4 yards (tackle by Zaire Franklin),1.07,0.89,6.0,2024,82
4.0,13:42,3.0,1.0,TEN 39,13.0,17.0,Tony Pollard up the middle for no gain (tackle by Laiatu Latu),0.89,-0.78,6.0,2024,82
4.0,13:00,4.0,1.0,TEN 39,13.0,17.0,"Ryan Stonehouse punts 51 yards, returned by Josh Downs for 15 yards (tackle by Mike Brown)",-0.78,-0.61,6.0,2024,82
4.0,12:50,1.0,10.0,IND 25,13.0,17.0,Tyler Goodson up the middle for 3 yards (tackle by T'Vondre Sweat),0.61,0.47,6.0,2024,82
4.0,12:15,2.0,7.0,IND 28,13.0,17.0,Joe Flacco pass incomplete short left intended for Tyler Goodson,0.47,-0.23,6.0,2024,82
4.0,12:05,3.0,7.0,IND 28,13.0,17.0,"Joe Flacco pass complete short left to Josh Downs for 7 yards (tackle by L'Jarius Sneed and Roger McCreary) TEN challenged the first down ruling, and the play was upheld.",-0.23,1.27,6.0,2024,82
4.0,11:32,1.0,10.0,IND 35,13.0,17.0,Joe Flacco pass complete short right to Josh Downs for 11 yards (tackle by Kenneth Murray),1.27,1.99,6.0,2024,82
4.0,11:08,1.0,10.0,IND 46,13.0,17.0,Josh Downs left end for -1 yards (tackle by L'Jarius Sneed),1.99,1.32,6.0,2024,82
4.0,10:22,2.0,11.0,IND 45,13.0,17.0,"Joe Flacco pass incomplete deep left intended for Alec Pierce. Penalty on L'Jarius Sneed: Defensive Pass Interference, 33 yards (accepted) (no play)",1.32,4.11,6.0,2024,82
4.0,10:14,1.0,10.0,TEN 22,13.0,17.0,Joe Flacco pass incomplete deep right intended for Adonai Mitchell,4.11,3.56,6.0,2024,82
4.0,10:08,2.0,10.0,TEN 22,13.0,17.0,Joe Flacco pass complete short middle to Josh Downs for 9 yards (tackle by Kenneth Murray and Ernest Jones),3.56,4.39,6.0,2024,82
4.0,9:28,3.0,1.0,TEN 13,13.0,17.0,Joe Flacco pass complete short right to Andrew Ogletree for 2 yards (tackle by Amani Hooker),4.39,4.84,6.0,2024,82
4.0,8:52,1.0,10.0,TEN 11,13.0,17.0,Trey Sermon right tackle for no gain (tackle by Ernest Jones and Roger McCreary),4.84,4.14,6.0,2024,82
4.0,8:19,2.0,10.0,TEN 11,13.0,17.0,Joe Flacco scrambles up the middle for 1 yard (tackle by Harold Landry),4.14,3.3,6.0,2024,82
4.0,7:32,3.0,9.0,TEN 10,19.0,17.0,"Joe Flacco pass complete short middle to Michael Pittman for 10 yards, touchdown",3.3,7.0,6.0,2024,82
4.0,7:27,,,TEN 15,20.0,17.0,Matt Gay kicks extra point good,0.0,0.0,6.0,2024,82
4.0,7:27,,,IND 35,20.0,17.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,6.0,2024,82
4.0,7:27,1.0,10.0,TEN 30,20.0,17.0,Will Levis pass incomplete short right intended for Calvin Ridley,0.94,0.39,6.0,2024,82
4.0,7:21,2.0,10.0,TEN 30,20.0,17.0,Will Levis pass incomplete short right intended for Calvin Ridley (defended by Samuel Womack),0.39,-0.3,6.0,2024,82
4.0,7:16,3.0,10.0,TEN 30,20.0,17.0,Will Levis pass incomplete short left intended for DeAndre Hopkins,-0.3,-1.37,6.0,2024,82
4.0,7:13,4.0,10.0,TEN 30,20.0,17.0,"Ryan Stonehouse punts 58 yards, returned by Josh Downs for 14 yards (tackle by Tre Avery and Otis Reese)",-1.37,-0.67,6.0,2024,82
4.0,7:03,1.0,10.0,IND 26,20.0,17.0,Tyler Goodson left guard for 4 yards (tackle by Ernest Jones),0.67,0.67,6.0,2024,82
4.0,6:29,2.0,6.0,IND 30,20.0,17.0,Trey Sermon left tackle for no gain (tackle by Harold Landry),0.67,-0.03,6.0,2024,82
4.0,5:53,3.0,6.0,IND 30,20.0,17.0,Joe Flacco pass incomplete short left intended for Michael Pittman,-0.03,-1.37,6.0,2024,82
4.0,5:45,4.0,6.0,IND 30,20.0,17.0,"Rigoberto Sanchez punts 51 yards, returned by Jha'Quan Jackson for 11 yards (tackle by Ashton Dulin)",-1.37,-0.94,6.0,2024,82
4.0,5:34,1.0,10.0,TEN 30,20.0,17.0,Tony Pollard right tackle for 1 yard (tackle by Grover Stewart),0.94,0.53,6.0,2024,82
4.0,5:00,2.0,9.0,TEN 31,20.0,17.0,Will Levis pass deep right intended for Calvin Ridley is intercepted by Julian Blackmon at IND-37 and returned for no gain,0.53,-1.4,6.0,2024,82
4.0,4:52,1.0,10.0,IND 37,20.0,17.0,Trey Sermon left tackle for 3 yards (tackle by Ernest Jones and Sebastian Joseph-Day),1.4,1.26,6.0,2024,82
4.0,4:14,2.0,7.0,IND 40,20.0,17.0,Joe Flacco pass incomplete deep right intended for Alec Pierce,1.26,0.56,6.0,2024,82
4.0,4:03,3.0,7.0,IND 40,20.0,17.0,Joe Flacco pass incomplete deep left intended for Alec Pierce,0.56,-0.72,6.0,2024,82
4.0,3:58,4.0,7.0,IND 40,20.0,17.0,Rigoberto Sanchez punts 54 yards downed by Ashton Dulin,-0.72,0.38,6.0,2024,82
4.0,3:49,1.0,10.0,TEN 6,20.0,17.0,Will Levis pass incomplete deep right intended for Calvin Ridley,-0.38,-0.78,6.0,2024,82
4.0,3:45,2.0,10.0,TEN 6,20.0,17.0,Tony Pollard up the middle for 8 yards (tackle by E.J. Speed),-0.78,-0.48,6.0,2024,82
4.0,3:06,3.0,2.0,TEN 14,20.0,17.0,Will Levis pass complete short right to Tyler Boyd for 8 yards (tackle by Kenny Moore),-0.48,0.41,6.0,2024,82
4.0,2:38,1.0,10.0,TEN 22,20.0,17.0,Will Levis pass complete short left to Tyler Boyd for 3 yards (tackle by Jaylon Jones),0.41,0.27,6.0,2024,82
4.0,2:32,2.0,7.0,TEN 25,20.0,17.0,Will Levis pass incomplete short right intended for Calvin Ridley (defended by Samuel Womack),0.27,-0.43,6.0,2024,82
4.0,2:30,3.0,7.0,TEN 25,20.0,17.0,Will Levis pass incomplete deep left intended for DeAndre Hopkins (defended by Jaylon Jones),-0.43,-1.7,6.0,2024,82
4.0,2:26,4.0,7.0,TEN 25,20.0,17.0,"Ryan Stonehouse punts 75 yards, touchback.",-1.7,-0.28,6.0,2024,82
4.0,2:18,1.0,10.0,IND 20,20.0,17.0,Tyler Goodson up the middle for no gain (tackle by Harold Landry),0.28,-0.27,6.0,2024,82
4.0,2:12,,,,,,Timeout #2 by Tennessee Titans,,,6.0,2024,82
4.0,2:12,2.0,10.0,IND 20,20.0,17.0,Joe Flacco pass complete short right to Michael Pittman for 16 yards (tackle by L'Jarius Sneed),-0.27,1.33,6.0,2024,82
4.0,2:00,1.0,10.0,IND 36,20.0,17.0,Trey Sermon left end for 4 yards (tackle by Jarvis Brownlee),1.33,1.33,6.0,2024,82
4.0,1:56,,,,,,Timeout #3 by Tennessee Titans,,,6.0,2024,82
4.0,1:56,2.0,6.0,IND 40,20.0,17.0,Trey Sermon left end for -4 yards (tackle by Amani Hooker),1.33,0.1,6.0,2024,82
4.0,1:07,,,,,,Timeout #1 by Indianapolis Colts,,,6.0,2024,82
4.0,1:07,3.0,10.0,IND 36,20.0,17.0,Trey Sermon up the middle for 4 yards (tackle by L'Jarius Sneed),0.1,-0.72,6.0,2024,82
4.0,0:22,,,,,,Timeout #2 by Indianapolis Colts,,,6.0,2024,82
4.0,0:22,4.0,6.0,IND 40,20.0,17.0,Rigoberto Sanchez punts 57 yards out of bounds,-0.72,0.38,6.0,2024,82
4.0,0:12,1.0,10.0,TEN 3,20.0,17.0,"Will Levis pass complete deep left to DeAndre Hopkins for 16 yards, lateral to Chigoziem Okonkwo for 4 yards. Chigoziem Okonkwo fumbles (forced by Dayo Odeyingbo), recovered by Will Levis at TEN-13 (tackle by E.J. Speed)",-0.38,-0.22,6.0,2024,82
