Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
17.0,Jacksonville Jaguars,17.0,371.0,5828.0,1078.0,5.4,27.0,11.0,314.0,404.0,617.0,4076.0,27.0,16.0,6.2,198.0,421.0,1752.0,15.0,4.2,99.0,108.0,961.0,17.0,32.3,12.8,-8.04
18.0,Atlanta Falcons,17.0,373.0,5458.0,1090.0,5.0,16.0,8.0,320.0,340.0,549.0,3449.0,24.0,8.0,5.8,183.0,499.0,2009.0,11.0,4.0,105.0,104.0,831.0,32.0,37.9,8.2,6.86
19.0,Los Angeles Rams,17.0,377.0,5744.0,1078.0,5.3,15.0,5.0,329.0,367.0,604.0,3928.0,24.0,10.0,6.1,193.0,433.0,1816.0,14.0,4.2,108.0,105.0,986.0,28.0,36.8,8.1,-64.62
20.0,Chicago Bears,17.0,379.0,5511.0,1035.0,5.3,28.0,6.0,307.0,410.0,617.0,4043.0,31.0,22.0,6.2,196.0,388.0,1468.0,8.0,3.8,88.0,72.0,530.0,23.0,34.2,14.7,-34.58
21.0,Cincinnati Bengals,17.0,384.0,6368.0,1055.0,6.0,26.0,9.0,351.0,364.0,555.0,4223.0,23.0,17.0,7.1,201.0,456.0,2145.0,17.0,4.7,127.0,92.0,784.0,23.0,38.5,13.4,-92.17
22.0,Miami Dolphins,17.0,391.0,5411.0,1057.0,5.1,27.0,12.0,321.0,380.0,568.0,3761.0,27.0,15.0,6.0,186.0,433.0,1650.0,15.0,3.8,109.0,96.0,719.0,26.0,32.1,13.9,-10.59
23.0,Detroit Lions,17.0,395.0,5714.0,1037.0,5.5,23.0,7.0,339.0,371.0,588.0,4205.0,28.0,16.0,6.7,209.0,408.0,1509.0,15.0,3.7,91.0,91.0,788.0,39.0,37.3,12.4,-110.17
24.0,Los Angeles Chargers,17.0,398.0,6170.0,1113.0,5.5,21.0,12.0,344.0,389.0,598.0,4246.0,26.0,9.0,6.6,203.0,467.0,1924.0,18.0,4.1,110.0,104.0,801.0,31.0,36.0,10.1,-92.65
25.0,Seattle Seahawks,17.0,402.0,6313.0,1147.0,5.5,19.0,8.0,380.0,390.0,585.0,3961.0,21.0,11.0,6.3,202.0,515.0,2352.0,24.0,4.6,143.0,103.0,824.0,35.0,40.4,10.4,-122.46
26.0,New York Giants,17.0,407.0,6149.0,1091.0,5.6,31.0,13.0,352.0,371.0,582.0,3898.0,21.0,18.0,6.3,191.0,475.0,2251.0,24.0,4.7,134.0,99.0,822.0,27.0,35.2,14.1,-37.29
27.0,Denver Broncos,17.0,413.0,6303.0,1083.0,5.8,26.0,15.0,349.0,382.0,572.0,3972.0,29.0,11.0,6.5,201.0,469.0,2331.0,15.0,5.0,119.0,99.0,965.0,29.0,40.2,13.0,-91.09
28.0,Indianapolis Colts,17.0,415.0,5947.0,1137.0,5.2,24.0,9.0,346.0,370.0,568.0,3842.0,21.0,15.0,6.2,192.0,518.0,2105.0,22.0,4.1,123.0,100.0,843.0,31.0,38.9,11.8,-38.18
29.0,Carolina Panthers,17.0,416.0,4997.0,1016.0,4.9,11.0,3.0,311.0,309.0,481.0,2916.0,19.0,8.0,5.7,162.0,508.0,2081.0,25.0,4.1,122.0,89.0,679.0,27.0,37.7,5.5,-56.65
30.0,Philadelphia Eagles,17.0,428.0,6054.0,1105.0,5.5,18.0,9.0,364.0,425.0,652.0,4296.0,35.0,9.0,6.2,222.0,410.0,1758.0,13.0,4.3,111.0,107.0,810.0,31.0,41.1,9.7,-121.62
31.0,Arizona Cardinals,17.0,455.0,6047.0,1060.0,5.7,17.0,6.0,369.0,347.0,506.0,3613.0,32.0,11.0,6.7,198.0,521.0,2434.0,19.0,4.7,141.0,92.0,765.0,30.0,44.0,8.6,-160.5
32.0,Washington Commanders,17.0,518.0,6612.0,1117.0,5.9,18.0,10.0,364.0,396.0,598.0,4457.0,39.0,8.0,7.0,218.0,480.0,2155.0,15.0,4.5,121.0,99.0,828.0,25.0,46.8,9.0,-148.31
,Avg Team,,370.1,5636.9,1072.8,5.3,22.9,9.5,327.4,369.0,572.3,3721.7,23.6,13.4,6.0,188.4,456.4,1915.2,14.7,4.2,109.5,97.1,800.6,29.5,35.5,11.6,-34.0
,League Total,,11842.0,180382.0,34331.0,5.3,734.0,304.0,10478.0,11808.0,18315.0,119095.0,754.0,430.0,6.0,6029.0,14606.0,61287.0,470.0,4.2,3504.0,3107.0,25620.0,945.0,35.5,11.6,
,Avg Tm/G,,21.8,331.6,63.1,5.3,1.3,0.6,19.3,21.7,33.7,218.9,1.4,0.8,6.0,11.1,26.8,112.7,0.9,4.2,6.4,5.7,47.1,1.7,35.5,11.6,
