Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
2.0,14:12,,,BAL 15,0.0,17.0,Evan McPherson kicks extra point good,0.0,0.0,18.0,2022,259
2.0,14:12,,,CIN 35,0.0,17.0,"Evan McPherson kicks off 62 yards, returned by Justice Hill for 21 yards (tackle by Markus Bailey)",0.0,0.54,18.0,2022,259
2.0,14:06,1.0,10.0,BAL 24,0.0,17.0,Anthony Brown pass complete short left to Kenyan Drake for 9 yards (tackle by D.J. Reader and Logan Wilson),0.54,1.21,18.0,2022,259
2.0,13:25,2.0,1.0,BAL 33,0.0,17.0,Kenyan Drake right tackle for 18 yards (tackle by Cam Taylor-Britt),1.21,2.32,18.0,2022,259
2.0,12:45,1.0,10.0,CIN 49,0.0,17.0,Kenyan Drake up the middle for 6 yards (tackle by Cam Taylor-Britt and Joseph Ossai),2.32,2.59,18.0,2022,259
2.0,12:01,2.0,4.0,CIN 43,0.0,17.0,Justice Hill right end for 6 yards (tackle by Cam Taylor-Britt),2.59,3.12,18.0,2022,259
2.0,11:23,1.0,10.0,CIN 37,0.0,17.0,"Kenyan Drake left end for no gain (tackle by Sam Hubbard). Penalty on Tyler Linderbaum: Offensive Holding, 10 yards (accepted) (no play)",3.12,2.46,18.0,2022,259
2.0,11:02,1.0,20.0,CIN 47,0.0,17.0,Anthony Brown pass complete short right to Isaiah Likely for 7 yards (tackle by Logan Wilson and Germaine Pratt),2.46,2.17,18.0,2022,259
2.0,10:19,2.0,13.0,CIN 40,0.0,17.0,Justice Hill right end for no gain (tackle by Germaine Pratt and Joseph Ossai),2.17,1.49,18.0,2022,259
2.0,9:39,3.0,13.0,CIN 40,0.0,17.0,Anthony Brown pass complete short middle to Isaiah Likely for 12 yards (tackle by Logan Wilson),1.49,1.72,18.0,2022,259
2.0,9:01,4.0,1.0,CIN 28,0.0,17.0,Kenyan Drake left guard for -1 yards (tackle by Cam Taylor-Britt),1.72,-0.87,18.0,2022,259
2.0,8:52,1.0,10.0,CIN 29,0.0,17.0,Joe Burrow up the middle for 4 yards (tackle by Travis Jones and Broderick Washington),0.87,0.87,18.0,2022,259
2.0,8:12,2.0,6.0,CIN 33,0.0,17.0,Joe Burrow pass complete short right to Tyler Boyd for 8 yards (tackle by Roquan Smith and Daryl Worley),0.87,1.66,18.0,2022,259
2.0,7:50,1.0,10.0,CIN 41,0.0,17.0,Joe Burrow pass complete short right to Joe Mixon for 2 yards (tackle by Travis Jones and Roquan Smith),1.66,1.39,18.0,2022,259
2.0,7:07,2.0,8.0,CIN 43,0.0,17.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Jason Pierre-Paul),1.39,0.7,18.0,2022,259
