Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA,week,year,game_id
2.0,4:06,2.0,10.0,TEN 39,10.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 4 yards,2.44,2.28,18.0,2022,257
2.0,3:26,3.0,6.0,TEN 35,10.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 10 yards (tackle by Amani Hooker),2.28,3.91,18.0,2022,257
2.0,2:43,1.0,10.0,TEN 25,10.0,6.0,"Trevor Lawrence pass complete deep left to Christian Kirk for 25 yards, touchdown",3.91,7.0,18.0,2022,257
2.0,2:36,,,TEN 15,10.0,7.0,Riley Patterson kicks extra point good,0.0,0.0,18.0,2022,257
2.0,2:36,,,JAX 35,10.0,7.0,"Riley Patterson kicks off 58 yards, returned by Julius Chestnut for 22 yards (tackle by Shaquille Quarterman)",0.0,0.87,18.0,2022,257
2.0,2:31,1.0,10.0,TEN 29,10.0,7.0,"Penalty on Chigoziem Okonkwo: False Start, 5 yards (accepted) (no play)",0.87,0.54,18.0,2022,257
2.0,2:31,1.0,15.0,TEN 24,10.0,7.0,Derrick Henry right guard for 2 yards (tackle by Rayshawn Jenkins and Chad Muma),0.54,-0.08,18.0,2022,257
2.0,2:00,2.0,13.0,TEN 26,10.0,7.0,Derrick Henry up the middle for 5 yards (tackle by Tyson Campbell and Andre Cisco),-0.08,-0.1,18.0,2022,257
2.0,1:55,,,,,,Timeout #1 by Jacksonville Jaguars,,,18.0,2022,257
2.0,1:55,3.0,8.0,TEN 31,10.0,7.0,Joshua Dobbs pass complete short right to Austin Hooper for 10 yards (tackle by Foyesade Oluokun),-0.1,1.66,18.0,2022,257
2.0,1:50,1.0,10.0,TEN 41,10.0,7.0,Derrick Henry right end for 4 yards (tackle by DaVon Hamilton and Josh Allen),1.66,1.66,18.0,2022,257
2.0,1:17,2.0,6.0,TEN 45,10.0,7.0,Joshua Dobbs scrambles left end for 11 yards (tackle by Foyesade Oluokun),1.66,2.65,18.0,2022,257
2.0,1:05,1.0,10.0,JAX 44,10.0,7.0,Derrick Henry left guard for 5 yards (tackle by Chad Muma),2.65,2.78,18.0,2022,257
2.0,0:57,,,,,,Timeout #1 by Tennessee Titans,,,18.0,2022,257
2.0,0:57,2.0,5.0,JAX 39,10.0,7.0,Joshua Dobbs pass complete short middle to Austin Hooper for 14 yards (tackle by Foyesade Oluokun and Andre Cisco),2.78,3.91,18.0,2022,257
2.0,0:38,1.0,10.0,JAX 25,10.0,7.0,Joshua Dobbs pass incomplete short right intended for Treylon Burks (defended by Darious Williams),3.91,3.36,18.0,2022,257
2.0,0:35,2.0,10.0,JAX 25,10.0,7.0,Derrick Henry up the middle for 8 yards (tackle by Chad Muma and Travon Walker),3.36,3.85,18.0,2022,257
2.0,0:23,,,,,,Timeout #2 by Tennessee Titans,,,18.0,2022,257
2.0,0:23,3.0,2.0,JAX 17,10.0,7.0,Joshua Dobbs sacked by Foyesade Oluokun for -4 yards,3.85,2.08,18.0,2022,257
2.0,0:03,,,,,,Timeout #3 by Tennessee Titans,,,18.0,2022,257
2.0,0:03,,,,,,Timeout #2 by Jacksonville Jaguars,,,18.0,2022,257
2.0,0:03,4.0,6.0,JAX 21,13.0,7.0,Randy Bullock 39 yard field goal good,2.08,3.0,18.0,2022,257
3.0,15:00,,,TEN 35,13.0,7.0,"Randy Bullock kicks off 60 yards, returned by Jamal Agnew for 23 yards (tackle by Joseph Jones)",0.0,0.81,18.0,2022,257
3.0,14:52,1.0,10.0,JAX 28,13.0,7.0,Trevor Lawrence pass complete short right to Jamal Agnew for 8 yards (tackle by Monty Rice),0.81,1.34,18.0,2022,257
3.0,14:14,2.0,2.0,JAX 36,13.0,7.0,Travis Etienne up the middle for 1 yard (tackle by Monty Rice and Mario Edwards),1.34,0.76,18.0,2022,257
3.0,13:41,3.0,1.0,JAX 37,13.0,7.0,Trevor Lawrence left guard for 1 yard (tackle by Teair Tart and Monty Rice),0.76,1.47,18.0,2022,257
3.0,12:55,1.0,10.0,JAX 38,13.0,7.0,Trevor Lawrence pass complete short middle to Luke Farrell for 11 yards (tackle by Dylan Cole),1.47,2.19,18.0,2022,257
3.0,12:09,1.0,10.0,JAX 49,13.0,7.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,2.19,1.65,18.0,2022,257
3.0,12:04,2.0,10.0,JAX 49,13.0,7.0,Trevor Lawrence pass complete short right to Marvin Jones for 8 yards,1.65,2.01,18.0,2022,257
3.0,11:30,3.0,2.0,TEN 43,13.0,7.0,"Penalty on Tyler Shatley: False Start, 5 yards (accepted) (no play)",2.01,1.36,18.0,2022,257
3.0,11:21,3.0,7.0,TEN 48,13.0,7.0,"Trevor Lawrence pass complete short left to Christian Kirk for 16 yards (tackle by Tre Avery). Penalty on Tre Avery: Defensive Holding, 5 yards (declined)",1.36,3.45,18.0,2022,257
3.0,11:06,1.0,10.0,TEN 32,13.0,7.0,Trevor Lawrence pass complete short middle to Marvin Jones for 21 yards (tackle by Monty Rice and Kevin Byard),3.45,4.84,18.0,2022,257
3.0,10:40,1.0,10.0,TEN 11,13.0,7.0,Trevor Lawrence pass incomplete short right intended for Marvin Jones,4.84,4.14,18.0,2022,257
3.0,10:35,2.0,10.0,TEN 11,13.0,7.0,Trevor Lawrence pass complete short left to Zay Jones for 3 yards (tackle by Kristian Fulton),4.14,3.76,18.0,2022,257
3.0,10:19,3.0,7.0,TEN 8,13.0,7.0,Trevor Lawrence pass incomplete short left intended for Zay Jones,3.76,2.96,18.0,2022,257
3.0,10:14,4.0,7.0,TEN 8,13.0,10.0,Riley Patterson 26 yard field goal good,2.96,3.0,18.0,2022,257
3.0,10:09,,,JAX 35,13.0,10.0,"Riley Patterson kicks off 58 yards, returned by Jonathan Ward for 25 yards (tackle by Caleb Johnson)",0.0,1.07,18.0,2022,257
3.0,10:04,1.0,10.0,TEN 32,13.0,10.0,Derrick Henry up the middle for 3 yards (tackle by Josh Allen),1.07,0.93,18.0,2022,257
3.0,9:29,2.0,7.0,TEN 35,13.0,10.0,Joshua Dobbs pass complete short left to Treylon Burks for 9 yards (tackle by Rayshawn Jenkins),0.93,1.86,18.0,2022,257
3.0,9:00,1.0,10.0,TEN 44,13.0,10.0,Derrick Henry right end for 6 yards (tackle by Roy Robertson-Harris),1.86,2.06,18.0,2022,257
3.0,8:08,2.0,5.0,TEN 50,13.0,10.0,"Derrick Henry pass incomplete short middle intended for Chigoziem Okonkwo. Penalty on Andre Cisco: Defensive Pass Interference, 11 yards (accepted) (no play)",2.06,2.98,18.0,2022,257
3.0,8:06,1.0,10.0,JAX 39,13.0,10.0,Derrick Henry right end for no gain (tackle by DaVon Hamilton and Josh Allen),2.98,2.44,18.0,2022,257
3.0,7:30,2.0,10.0,JAX 39,13.0,10.0,Joshua Dobbs pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Foyesade Oluokun),2.44,1.75,18.0,2022,257
3.0,7:25,3.0,10.0,JAX 39,13.0,10.0,Joshua Dobbs pass complete short middle to Robert Woods for 13 yards (tackle by Darious Williams),1.75,3.84,18.0,2022,257
3.0,6:26,1.0,10.0,JAX 26,13.0,10.0,Hassan Haskins left guard for 3 yards (tackle by Folorunso Fatukasi and Devin Lloyd),3.84,3.63,18.0,2022,257
3.0,6:19,2.0,8.0,JAX 23,13.0,10.0,Joshua Dobbs pass incomplete deep right intended for Chigoziem Okonkwo (defended by Rayshawn Jenkins),3.63,2.94,18.0,2022,257
3.0,6:14,3.0,8.0,JAX 23,13.0,10.0,Joshua Dobbs pass incomplete short right intended for Robert Woods,2.94,1.93,18.0,2022,257
3.0,6:07,4.0,7.0,JAX 23,16.0,10.0,Randy Bullock 41 yard field goal good,1.93,3.0,18.0,2022,257
3.0,6:02,,,TEN 35,16.0,10.0,"Randy Bullock kicks off 68 yards, returned by Jamal Agnew for 17 yards (tackle by Andre Smith)",0.0,-0.28,18.0,2022,257
3.0,5:56,1.0,10.0,JAX 14,16.0,10.0,Travis Etienne up the middle for no gain (tackle by Jeffery Simmons),-0.28,-0.75,18.0,2022,257
3.0,5:16,2.0,10.0,JAX 14,16.0,10.0,Trevor Lawrence pass complete deep right to Christian Kirk for 33 yards (tackle by Amani Hooker),-0.75,2.06,18.0,2022,257
3.0,4:32,1.0,10.0,JAX 47,16.0,10.0,Trevor Lawrence pass incomplete short left,2.06,1.52,18.0,2022,257
3.0,4:29,2.0,10.0,JAX 47,16.0,10.0,Trevor Lawrence pass incomplete short middle intended for Marvin Jones,1.52,0.83,18.0,2022,257
3.0,4:20,3.0,10.0,JAX 47,16.0,10.0,Trevor Lawrence pass incomplete short left,0.83,-0.26,18.0,2022,257
3.0,4:10,4.0,10.0,JAX 47,16.0,10.0,"Logan Cooke punts 44 yards, fair catch by Robert Woods at TEN-9",-0.26,0.38,18.0,2022,257
3.0,4:02,1.0,10.0,TEN 9,16.0,10.0,Derrick Henry right guard for no gain (tackle by Arden Key),-0.38,-0.78,18.0,2022,257
3.0,3:22,2.0,10.0,TEN 9,16.0,10.0,Joshua Dobbs pass complete short right to Chigoziem Okonkwo for 11 yards (tackle by Corey Peters),-0.78,0.28,18.0,2022,257
3.0,2:43,1.0,10.0,TEN 20,16.0,10.0,Derrick Henry right guard for 4 yards (tackle by Darious Williams and Travon Walker),0.28,0.21,18.0,2022,257
3.0,1:56,2.0,7.0,TEN 24,16.0,10.0,"Derrick Henry right end for no gain. Derrick Henry fumbles (forced by Arden Key), recovered by Derrick Henry at JAC-42 (tackle by Arden Key). Penalty on Chigoziem Okonkwo: Offensive Holding, 10 yards (accepted) (no play)",0.21,-1.18,18.0,2022,257
3.0,1:37,2.0,16.0,TEN 14,16.0,10.0,Jonathan Ward up the middle for -1 yards (tackle by Tre Herndon),-1.18,-2.08,18.0,2022,257
3.0,0:53,3.0,16.0,TEN 13,16.0,10.0,Joshua Dobbs pass deep left intended for Treylon Burks is intercepted by Tyson Campbell at JAC-46 and returned for 29 yards (tackle by Corey Levin),-2.08,-3.91,18.0,2022,257
3.0,0:41,1.0,10.0,TEN 25,16.0,10.0,Trevor Lawrence pass complete short right to Zay Jones for 5 yards (tackle by Jack Gibbens),3.91,4.04,18.0,2022,257
3.0,0:10,2.0,5.0,TEN 20,16.0,10.0,Travis Etienne up the middle for 2 yards (tackle by Roger McCreary),4.04,3.66,18.0,2022,257
4.0,15:00,3.0,3.0,TEN 18,16.0,10.0,Trevor Lawrence pass incomplete deep left intended for Christian Kirk (defended by Roger McCreary),3.66,2.35,18.0,2022,257
4.0,14:54,4.0,3.0,TEN 18,16.0,13.0,Riley Patterson 36 yard field goal good,2.35,3.0,18.0,2022,257
4.0,14:49,,,JAX 35,16.0,13.0,"Riley Patterson kicks off 63 yards, returned by Julius Chestnut for 24 yards (tackle by Adam Gotsis)",0.0,0.67,18.0,2022,257
4.0,14:44,1.0,10.0,TEN 26,16.0,13.0,Derrick Henry left guard for 5 yards (tackle by DaVon Hamilton),0.67,0.81,18.0,2022,257
4.0,14:08,2.0,5.0,TEN 31,16.0,13.0,Derrick Henry left end for -2 yards (tackle by Travon Walker),0.81,-0.16,18.0,2022,257
4.0,13:28,3.0,7.0,TEN 29,16.0,13.0,Joshua Dobbs sacked by Roy Robertson-Harris for -5 yards,-0.16,-1.77,18.0,2022,257
4.0,12:42,4.0,12.0,TEN 24,16.0,13.0,"Ryan Stonehouse punts 55 yards, returned by Jamal Agnew for 22 yards (tackle by Kevin Byard and Joseph Jones)",-1.77,-1.8,18.0,2022,257
4.0,12:28,1.0,10.0,JAX 43,16.0,13.0,Trevor Lawrence pass incomplete short middle,1.8,1.25,18.0,2022,257
4.0,12:24,2.0,10.0,JAX 43,16.0,13.0,Jamycal Hasty left end for 3 yards (tackle by Kristian Fulton),1.25,0.96,18.0,2022,257
4.0,11:50,3.0,7.0,JAX 46,16.0,13.0,Trevor Lawrence pass incomplete short middle intended for Marvin Jones (defended by Rashad Weaver),0.96,-0.32,18.0,2022,257
4.0,11:43,4.0,7.0,JAX 46,16.0,13.0,Logan Cooke punts 48 yards out of bounds,-0.32,0.38,18.0,2022,257
4.0,11:34,1.0,10.0,TEN 6,16.0,13.0,Derrick Henry left end for -2 yards (tackle by Corey Peters),-0.38,-0.93,18.0,2022,257
4.0,10:52,2.0,12.0,TEN 4,16.0,13.0,Joshua Dobbs pass incomplete short right,-0.93,-1.65,18.0,2022,257
4.0,10:43,3.0,12.0,TEN 4,16.0,13.0,Joshua Dobbs pass complete short right to Robert Woods for 11 yards (tackle by Andre Cisco),-1.65,-2.44,18.0,2022,257
4.0,9:57,4.0,1.0,TEN 15,16.0,13.0,Ryan Stonehouse punts 51 yards downed by Josh Thompson,-2.44,-1.2,18.0,2022,257
4.0,9:45,1.0,10.0,JAX 34,16.0,13.0,Trevor Lawrence sacked by Teair Tart for -9 yards,1.2,-0.56,18.0,2022,257
4.0,9:09,2.0,19.0,JAX 25,16.0,13.0,Trevor Lawrence pass complete short left to Evan Engram for 9 yards (tackle by Monty Rice),-0.56,-0.03,18.0,2022,257
4.0,8:28,3.0,10.0,JAX 34,16.0,13.0,Trevor Lawrence pass incomplete deep right intended for Marvin Jones,-0.03,-1.11,18.0,2022,257
4.0,8:19,4.0,10.0,JAX 34,16.0,13.0,Logan Cooke punts 56 yards downed by Chris Claybrooks,-1.11,0.38,18.0,2022,257
4.0,8:06,1.0,10.0,TEN 10,16.0,13.0,Joshua Dobbs scrambles right end for 5 yards (tackle by Foyesade Oluokun),-0.38,-0.35,18.0,2022,257
4.0,7:28,2.0,5.0,TEN 15,16.0,13.0,Derrick Henry left end for 2 yards (tackle by DaVon Hamilton and Foyesade Oluokun),-0.35,-0.6,18.0,2022,257
4.0,6:43,3.0,3.0,TEN 17,16.0,13.0,Joshua Dobbs pass complete short right to Jonathan Ward for 3 yards (tackle by Darious Williams),-0.6,0.28,18.0,2022,257
4.0,6:07,1.0,10.0,TEN 20,16.0,13.0,Derrick Henry left guard for 9 yards (tackle by Foyesade Oluokun and Andre Cisco),0.28,0.95,18.0,2022,257
4.0,5:24,2.0,1.0,TEN 29,16.0,13.0,Joshua Dobbs pass incomplete short left intended for Treylon Burks (defended by Andre Cisco),0.95,0.23,18.0,2022,257
4.0,5:19,3.0,1.0,TEN 29,16.0,13.0,Joshua Dobbs up the middle for 2 yards (tackle by Travon Walker),0.23,1.0,18.0,2022,257
4.0,4:34,1.0,10.0,TEN 31,16.0,13.0,Derrick Henry right guard for 3 yards (tackle by Foyesade Oluokun and Darious Williams),1.0,0.87,18.0,2022,257
4.0,3:48,2.0,7.0,TEN 34,16.0,13.0,Derrick Henry up the middle for 1 yard (tackle by Foyesade Oluokun and Folorunso Fatukasi),0.87,0.3,18.0,2022,257
4.0,3:01,3.0,6.0,TEN 35,16.0,19.0,"Joshua Dobbs sacked by Rayshawn Jenkins for no gain. Joshua Dobbs fumbles (forced by Rayshawn Jenkins), recovered by Josh Allen at TEN-37 and returned for 37 yards, touchdown",0.3,-7.0,18.0,2022,257
4.0,2:51,,,TEN 15,16.0,20.0,Riley Patterson kicks extra point good,0.0,0.0,18.0,2022,257
4.0,2:51,,,JAX 35,16.0,20.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,257
4.0,2:51,1.0,10.0,TEN 25,16.0,20.0,Joshua Dobbs left end for 11 yards (tackle by Tyson Campbell),0.61,1.33,18.0,2022,257
4.0,2:43,1.0,10.0,TEN 36,16.0,20.0,Derrick Henry left guard for 9 yards (tackle by Tyson Campbell and Rayshawn Jenkins),1.33,2.01,18.0,2022,257
4.0,2:10,2.0,1.0,TEN 45,16.0,20.0,Joshua Dobbs pass complete short middle to Geoff Swaim for 5 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),2.01,2.26,18.0,2022,257
4.0,2:00,1.0,10.0,TEN 50,16.0,20.0,Joshua Dobbs right end for 3 yards (tackle by Foyesade Oluokun),2.26,2.12,18.0,2022,257
4.0,1:55,2.0,7.0,JAX 47,16.0,20.0,"Joshua Dobbs sacked by Josh Allen for -5 yards. Joshua Dobbs fumbles (forced by Josh Allen), recovered by Joshua Dobbs at TEN-48 (tackle by Adam Gotsis and Corey Peters)",2.12,0.76,18.0,2022,257
4.0,1:46,,,,,,Timeout #1 by Tennessee Titans,,,18.0,2022,257
4.0,1:46,3.0,12.0,TEN 48,16.0,20.0,"Penalty on Austin Hooper: False Start, 5 yards (accepted) (no play)",0.76,0.1,18.0,2022,257
4.0,1:46,3.0,17.0,TEN 43,16.0,20.0,Joshua Dobbs pass complete short middle to Hassan Haskins for 4 yards (tackle by Foyesade Oluokun),0.1,-0.26,18.0,2022,257
4.0,1:37,,,,,,Timeout #2 by Tennessee Titans,,,18.0,2022,257
4.0,1:37,4.0,13.0,TEN 47,16.0,20.0,Joshua Dobbs pass complete short right to Hassan Haskins for 9 yards (tackle by Foyesade Oluokun),-0.26,-1.86,18.0,2022,257
4.0,1:30,1.0,10.0,JAX 44,16.0,20.0,Trevor Lawrence kneels for -2 yards,1.86,1.05,18.0,2022,257
4.0,0:45,,,,,,Timeout #1 by Jacksonville Jaguars,,,18.0,2022,257
4.0,0:45,2.0,12.0,JAX 42,16.0,20.0,Trevor Lawrence kneels for -2 yards,1.05,0.1,18.0,2022,257
