Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA,week,year,game_id
1.0,3:58,2.0,2.0,LAC 2,7.0,6.0,"Latavius Murray right tackle for 2 yards, touchdown",5.72,7.0,18.0,2022,268
1.0,3:55,,,LAC 15,7.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,18.0,2022,268
1.0,3:55,,,DEN 35,7.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
1.0,3:55,1.0,10.0,LAC 25,7.0,7.0,Justin Herbert pass complete short left to Joshua Kelley for 6 yards (tackle by Alex Singleton),0.61,0.87,18.0,2022,268
1.0,3:23,2.0,4.0,LAC 31,7.0,7.0,Joshua Kelley right end for no gain (tackle by Ja'Quan McMillian),0.87,0.17,18.0,2022,268
1.0,2:46,3.0,4.0,LAC 31,7.0,7.0,Justin Herbert pass incomplete deep left intended for Mike Williams,0.17,-1.31,18.0,2022,268
1.0,2:41,4.0,4.0,LAC 31,7.0,7.0,"JK Scott punts 56 yards, returned by Freddie Swain for no gain. Freddie Swain fumbles (forced by Deane Leonard), recovered by Delarrin Turner-Yell at DEN-13",-1.31,0.32,18.0,2022,268
1.0,2:30,1.0,10.0,DEN 13,7.0,7.0,Latavius Murray left tackle for 3 yards (tackle by Kenneth Murray and Derwin James),-0.32,-0.44,18.0,2022,268
1.0,2:01,2.0,7.0,DEN 16,7.0,7.0,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,-0.44,-1.06,18.0,2022,268
1.0,1:52,3.0,7.0,DEN 16,7.0,7.0,Russell Wilson pass incomplete short right,-1.06,-2.39,18.0,2022,268
1.0,1:46,4.0,7.0,DEN 16,7.0,7.0,"Corliss Waitman punts 46 yards, returned by DeAndre Carter for 9 yards (tackle by P.J. Locke and Jacob Bobenmoyer)",-2.39,-2.06,18.0,2022,268
1.0,1:37,1.0,10.0,LAC 47,7.0,7.0,Justin Herbert pass complete short left to Gerald Everett for -1 yards (tackle by Essang Bassey),2.06,1.38,18.0,2022,268
1.0,0:54,2.0,11.0,LAC 46,7.0,7.0,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Essang Bassey),1.38,0.7,18.0,2022,268
1.0,0:51,3.0,11.0,LAC 46,7.0,7.0,Justin Herbert pass complete short middle to Mike Williams for 18 yards (tackle by Justin Simmons),0.7,3.18,18.0,2022,268
1.0,0:12,1.0,10.0,DEN 36,7.0,7.0,"Justin Herbert aborted snap, recovered by Justin Herbert at DEN-37 Justin Herbert for -1 yards",3.18,2.5,18.0,2022,268
2.0,15:00,2.0,11.0,DEN 37,7.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 9 yards,2.5,3.01,18.0,2022,268
2.0,14:29,3.0,2.0,DEN 28,7.0,7.0,Justin Herbert pass complete short right to Keenan Allen for 12 yards (tackle by Alex Singleton),3.01,4.51,18.0,2022,268
2.0,13:45,1.0,10.0,DEN 16,7.0,7.0,Austin Ekeler up the middle for 3 yards (tackle by Kareem Jackson),4.51,4.39,18.0,2022,268
2.0,13:11,2.0,7.0,DEN 13,7.0,7.0,Justin Herbert pass complete short right to Mike Williams for 5 yards (tackle by Alex Singleton and Justin Simmons),4.39,4.62,18.0,2022,268
2.0,12:27,3.0,2.0,DEN 8,7.0,7.0,Austin Ekeler right tackle for 4 yards (tackle by Alex Singleton and Justin Simmons),4.62,6.28,18.0,2022,268
2.0,11:43,1.0,4.0,DEN 4,7.0,7.0,Austin Ekeler left guard for 1 yard (tackle by Josey Jewell),6.28,5.53,18.0,2022,268
2.0,11:09,2.0,3.0,DEN 3,7.0,7.0,Justin Herbert pass incomplete short right intended for Tre' McKitty,5.53,4.72,18.0,2022,268
2.0,11:01,3.0,3.0,DEN 3,13.0,7.0,"Justin Herbert pass complete short middle to Gerald Everett for 3 yards, touchdown",4.72,7.0,18.0,2022,268
2.0,10:57,,,DEN 15,14.0,7.0,Cameron Dicker kicks extra point good,0.0,0.0,18.0,2022,268
2.0,10:57,,,LAC 35,14.0,7.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
2.0,10:57,1.0,10.0,DEN 25,14.0,7.0,Russell Wilson scrambles right end for 2 yards (tackle by Derwin James),0.61,0.33,18.0,2022,268
2.0,10:14,2.0,8.0,DEN 27,14.0,7.0,Chase Edmonds right tackle for -1 yards (tackle by Drue Tranquill),0.33,-0.49,18.0,2022,268
2.0,9:28,3.0,9.0,DEN 26,14.0,7.0,"Russell Wilson pass complete to Jerry Jeudy for no gain. Penalty on Khalil Mack: Defensive Offside, 5 yards (accepted) (no play)",-0.49,0.17,18.0,2022,268
2.0,9:08,3.0,4.0,DEN 31,14.0,7.0,Russell Wilson sacked by Joey Bosa for -10 yards,0.17,-1.96,18.0,2022,268
2.0,8:19,4.0,14.0,DEN 21,14.0,7.0,"Corliss Waitman punts 52 yards, fair catch by DeAndre Carter at LAC-27",-1.96,-0.74,18.0,2022,268
2.0,8:11,1.0,10.0,LAC 27,14.0,7.0,Joshua Kelley right guard for 4 yards (tackle by Justin Simmons),0.74,0.74,18.0,2022,268
2.0,7:38,2.0,6.0,LAC 31,14.0,7.0,Joshua Kelley right guard for 6 yards (tackle by Baron Browning and Essang Bassey),0.74,1.4,18.0,2022,268
2.0,7:02,1.0,10.0,LAC 37,14.0,7.0,Justin Herbert pass complete short right to Keenan Allen for 15 yards (tackle by Ja'Quan McMillian),1.4,2.39,18.0,2022,268
2.0,6:22,1.0,10.0,DEN 48,14.0,7.0,"Austin Ekeler right guard for no gain. Austin Ekeler fumbles (forced by Justin Simmons), recovered by Josey Jewell at DEN-46 and returned for 5 yards (tackle by Austin Ekeler)",2.39,-2.32,18.0,2022,268
2.0,6:12,1.0,10.0,LAC 49,14.0,7.0,Chase Edmonds right tackle for 3 yards (tackle by David Moa),2.32,2.19,18.0,2022,268
2.0,5:37,2.0,7.0,LAC 46,14.0,7.0,Chase Edmonds right tackle for 1 yard (tackle by Sebastian Joseph-Day and Drue Tranquill),2.19,1.62,18.0,2022,268
2.0,4:57,3.0,6.0,LAC 45,14.0,7.0,Latavius Murray left end for 25 yards (tackle by Asante Samuel),1.62,4.24,18.0,2022,268
2.0,4:12,1.0,10.0,LAC 20,14.0,7.0,Chase Edmonds left guard for 6 yards (tackle by Kyle Van Noy and Derwin James),4.24,4.64,18.0,2022,268
2.0,3:36,2.0,4.0,LAC 14,14.0,7.0,Russell Wilson left end for -1 yards (tackle by Khalil Mack),4.64,3.7,18.0,2022,268
2.0,2:52,,,,,,Timeout #1 by Los Angeles Chargers,,,18.0,2022,268
2.0,2:52,3.0,5.0,LAC 15,14.0,7.0,Russell Wilson pass incomplete short left intended for Courtland Sutton (defended by Derwin James),3.7,2.49,18.0,2022,268
2.0,2:46,4.0,5.0,LAC 15,14.0,10.0,Brandon McManus 33 yard field goal good,2.49,3.0,18.0,2022,268
2.0,2:43,,,DEN 35,14.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
2.0,2:43,1.0,10.0,LAC 25,14.0,10.0,Justin Herbert pass complete short right to Mike Williams for 6 yards (tackle by Essang Bassey and Alex Singleton),0.61,0.87,18.0,2022,268
2.0,2:11,2.0,4.0,LAC 31,14.0,10.0,Justin Herbert pass complete short right to Gerald Everett for 6 yards (tackle by Justin Simmons),0.87,1.4,18.0,2022,268
2.0,2:00,1.0,10.0,LAC 37,14.0,10.0,Justin Herbert pass complete short right to Donald Parham for 8 yards,1.4,1.94,18.0,2022,268
2.0,1:55,2.0,2.0,LAC 45,14.0,10.0,Justin Herbert sacked by Baron Browning for -5 yards,1.94,0.56,18.0,2022,268
2.0,1:48,,,,,,Timeout #1 by Denver Broncos,,,18.0,2022,268
2.0,1:48,3.0,7.0,LAC 40,14.0,10.0,Justin Herbert pass incomplete short left intended for Gerald Everett,0.56,-0.72,18.0,2022,268
2.0,1:44,4.0,7.0,LAC 40,14.0,10.0,"JK Scott punts 60 yards, touchback.",-0.72,-0.28,18.0,2022,268
2.0,1:35,1.0,10.0,DEN 20,14.0,10.0,Russell Wilson pass incomplete short left intended for Courtland Sutton (defended by Michael Davis),0.28,-0.27,18.0,2022,268
2.0,1:30,2.0,10.0,DEN 20,14.0,10.0,Russell Wilson scrambles left end for 5 yards (tackle by Alohi Gilman),-0.27,-0.3,18.0,2022,268
2.0,1:24,3.0,5.0,DEN 25,14.0,10.0,Russell Wilson pass incomplete deep left intended for Courtland Sutton,-0.3,-1.7,18.0,2022,268
2.0,1:18,4.0,5.0,DEN 25,14.0,10.0,Corliss Waitman punts 38 yards downed by Delarrin Turner-Yell,-1.7,-1.4,18.0,2022,268
2.0,1:08,1.0,10.0,LAC 37,14.0,10.0,"Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Josey Jewell). Penalty on DeShawn Williams: Roughing the Passer, 15 yards (accepted)",1.4,2.52,18.0,2022,268
2.0,1:03,1.0,10.0,DEN 46,14.0,10.0,Justin Herbert pass complete short middle to Keenan Allen for 10 yards (tackle by Alex Singleton),2.52,3.18,18.0,2022,268
2.0,0:50,1.0,10.0,DEN 36,14.0,10.0,Justin Herbert pass complete short middle to Austin Ekeler for 6 yards (tackle by Alex Singleton),3.18,3.45,18.0,2022,268
2.0,0:39,,,,,,Timeout #2 by Los Angeles Chargers,,,18.0,2022,268
2.0,0:39,2.0,4.0,DEN 30,14.0,10.0,Justin Herbert pass incomplete short left intended for Josh Palmer,3.45,2.74,18.0,2022,268
2.0,0:35,3.0,4.0,DEN 30,14.0,10.0,Justin Herbert pass incomplete short left intended for Keenan Allen,2.74,1.46,18.0,2022,268
2.0,0:31,4.0,4.0,DEN 30,17.0,10.0,Cameron Dicker 48 yard field goal good,1.46,3.0,18.0,2022,268
2.0,0:26,,,LAC 35,17.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
2.0,0:26,1.0,10.0,DEN 25,17.0,10.0,Russell Wilson pass complete short left to Latavius Murray for 15 yards (tackle by Alohi Gilman),0.61,1.6,18.0,2022,268
2.0,0:19,,,,,,Timeout #2 by Denver Broncos,,,18.0,2022,268
2.0,0:19,1.0,10.0,DEN 40,17.0,10.0,"Russell Wilson pass complete deep left to Jerry Jeudy for 57 yards (tackle by Alohi Gilman). Penalty on Alohi Gilman: Defensive Holding, 5 yards (declined)",1.6,6.51,18.0,2022,268
2.0,0:10,1.0,3.0,LAC 3,17.0,16.0,"Russell Wilson pass complete short left to Eric Tomlinson for 3 yards, touchdown",6.51,7.0,18.0,2022,268
2.0,0:06,,,LAC 15,17.0,17.0,Brandon McManus kicks extra point good,0.0,0.0,18.0,2022,268
2.0,0:06,,,DEN 35,17.0,17.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
2.0,0:06,1.0,10.0,LAC 25,17.0,17.0,Justin Herbert kneels for -1 yards,0.61,-0.07,18.0,2022,268
3.0,15:00,,,LAC 35,17.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
3.0,15:00,1.0,10.0,DEN 25,17.0,17.0,Latavius Murray right end for 5 yards (tackle by Troy Reeder),0.61,0.74,18.0,2022,268
3.0,14:24,2.0,5.0,DEN 30,17.0,17.0,Russell Wilson pass complete short middle to Jerry Jeudy for 3 yards (tackle by Khalil Mack),0.74,0.43,18.0,2022,268
3.0,13:44,3.0,2.0,DEN 33,17.0,17.0,Chase Edmonds left guard for 23 yards (tackle by Asante Samuel),0.43,2.65,18.0,2022,268
3.0,13:07,1.0,10.0,LAC 44,17.0,17.0,Jerry Jeudy for 14 yards (tackle by Nasir Adderley),2.65,3.58,18.0,2022,268
3.0,12:34,1.0,10.0,LAC 30,17.0,17.0,Chase Edmonds right tackle for 6 yards (tackle by Drue Tranquill),3.58,3.84,18.0,2022,268
3.0,11:51,2.0,4.0,LAC 24,17.0,23.0,"Russell Wilson pass complete short left to Tyler Badie for 24 yards, touchdown",3.84,7.0,18.0,2022,268
3.0,11:42,,,LAC 15,17.0,24.0,Brandon McManus kicks extra point good,0.0,0.0,18.0,2022,268
3.0,11:42,,,DEN 35,17.0,24.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
3.0,11:42,1.0,10.0,LAC 25,17.0,24.0,Justin Herbert pass complete short right to Josh Palmer for 18 yards (tackle by Jonathon Cooper and Justin Simmons),0.61,1.8,18.0,2022,268
3.0,11:04,1.0,10.0,LAC 43,17.0,24.0,"Penalty on Tre' McKitty: False Start, 5 yards (accepted) (no play)",1.8,1.47,18.0,2022,268
3.0,10:53,1.0,15.0,LAC 38,17.0,24.0,Joshua Kelley left end for 4 yards (tackle by Kareem Jackson),1.47,1.12,18.0,2022,268
3.0,10:18,2.0,11.0,LAC 42,17.0,24.0,Justin Herbert pass incomplete short left intended for Joshua Kelley,1.12,0.43,18.0,2022,268
3.0,10:13,3.0,11.0,LAC 42,17.0,24.0,Justin Herbert pass incomplete short right intended for Gerald Everett,0.43,-0.59,18.0,2022,268
3.0,10:08,4.0,11.0,LAC 42,17.0,24.0,"JK Scott punts 58 yards, touchback.. Penalty on Lamar Jackson: Illegal Block Above the Waist, 15 yards (accepted)",-0.59,0.38,18.0,2022,268
3.0,9:57,1.0,10.0,DEN 5,17.0,24.0,Russell Wilson pass complete to Jerry Jeudy for 50 yards (tackle by Ja'Sir Taylor),-0.38,2.59,18.0,2022,268
3.0,9:29,1.0,10.0,LAC 45,17.0,24.0,Latavius Murray right guard for 2 yards (tackle by Breiden Fehoko and Kyle Van Noy),2.59,2.31,18.0,2022,268
3.0,8:59,2.0,8.0,LAC 43,17.0,24.0,Russell Wilson pass (defended by Kyle Van Noy) intended for Andrew Beck is intercepted by Sebastian Joseph-Day at 50 and returned for 4 yards (tackle by Quinn Meinerz),2.31,-2.52,18.0,2022,268
3.0,8:50,1.0,10.0,DEN 46,17.0,24.0,Justin Herbert pass complete deep left to Donald Parham for 23 yards (tackle by Ja'Quan McMillian),2.52,4.04,18.0,2022,268
3.0,8:11,1.0,10.0,DEN 23,17.0,24.0,Austin Ekeler left tackle for 5 yards (tackle by Ja'Quan McMillian),4.04,4.21,18.0,2022,268
3.0,7:33,2.0,5.0,DEN 18,17.0,24.0,Austin Ekeler left tackle for no gain (tackle by Eyioma Uwazurike and Matt Henningsen),4.21,3.49,18.0,2022,268
3.0,6:55,3.0,5.0,DEN 18,17.0,24.0,Justin Herbert pass incomplete short right intended for DeAndre Carter,3.49,2.3,18.0,2022,268
3.0,6:46,4.0,5.0,DEN 18,20.0,24.0,Cameron Dicker 36 yard field goal good,2.3,3.0,18.0,2022,268
3.0,6:42,,,LAC 35,20.0,24.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
3.0,6:42,1.0,10.0,DEN 25,20.0,24.0,Russell Wilson pass complete short middle to Jerry Jeudy for 25 yards (tackle by Drue Tranquill and Derwin James),0.61,2.26,18.0,2022,268
3.0,6:02,1.0,10.0,DEN 50,20.0,24.0,"Russell Wilson pass complete to Freddie Swain for 7 yards LAC challenged the pass completion ruling, and the original play was overturned. Russell Wilson pass incomplete short right intended for Freddie Swain",2.26,1.71,18.0,2022,268
3.0,5:58,2.0,10.0,DEN 50,20.0,24.0,Russell Wilson pass complete short right to Freddie Swain for 2 yards (tackle by Ja'Sir Taylor),1.71,1.29,18.0,2022,268
3.0,5:14,3.0,8.0,LAC 48,20.0,24.0,Russell Wilson sacked by Kyle Van Noy for -7 yards,1.29,-0.39,18.0,2022,268
3.0,4:35,4.0,15.0,DEN 45,20.0,24.0,"Corliss Waitman punts 43 yards, fair catch by DeAndre Carter at LAC-12",-0.39,0.35,18.0,2022,268
3.0,4:27,1.0,10.0,LAC 12,20.0,24.0,Austin Ekeler left tackle for 2 yards (tackle by Josey Jewell),-0.35,-0.61,18.0,2022,268
3.0,4:06,2.0,8.0,LAC 14,20.0,24.0,Justin Herbert pass complete short middle to Keenan Allen for 14 yards (tackle by Justin Simmons),-0.61,0.81,18.0,2022,268
3.0,3:24,1.0,10.0,LAC 28,20.0,24.0,Justin Herbert pass complete short left to Josh Palmer for 2 yards (tackle by Ja'Quan McMillian and Kareem Jackson),0.81,0.53,18.0,2022,268
3.0,2:49,2.0,8.0,LAC 30,20.0,24.0,Justin Herbert pass incomplete intended for Josh Palmer,0.53,-0.16,18.0,2022,268
3.0,2:43,3.0,8.0,LAC 30,20.0,24.0,Justin Herbert pass complete short right to Austin Ekeler for 9 yards (tackle by Alex Singleton),-0.16,1.53,18.0,2022,268
3.0,2:03,1.0,10.0,LAC 39,20.0,24.0,Austin Ekeler right end for 2 yards (tackle by Alex Singleton and Jonathon Cooper),1.53,1.26,18.0,2022,268
3.0,1:17,2.0,8.0,LAC 41,20.0,24.0,Justin Herbert pass complete short left to Austin Ekeler for 19 yards (tackle by Eyioma Uwazurike),1.26,2.92,18.0,2022,268
3.0,0:38,1.0,10.0,DEN 40,20.0,24.0,Justin Herbert pass incomplete short left intended for Joshua Kelley,2.92,2.37,18.0,2022,268
3.0,0:32,2.0,10.0,DEN 40,20.0,24.0,"Justin Herbert pass complete short right to DeAndre Carter for 25 yards. DeAndre Carter fumbles (forced by Justin Simmons), recovered by Kareem Jackson at DEN-9 and returned for 2 yards (tackle by Austin Ekeler)",2.37,0.37,18.0,2022,268
3.0,0:21,1.0,10.0,DEN 11,20.0,24.0,"Chase Edmonds left guard for 1 yard (tackle by Drue Tranquill and Christopher Hinton). Penalty on Graham Glasgow: Offensive Holding, 6 yards (accepted) (no play)",-0.37,-0.57,18.0,2022,268
4.0,15:00,1.0,15.0,DEN 6,20.0,24.0,Russell Wilson scrambles right end for 2 yards (tackle by Kyle Van Noy),-0.57,-1.0,18.0,2022,268
4.0,14:19,2.0,13.0,DEN 8,20.0,24.0,Latavius Murray for 16 yards (tackle by Alohi Gilman),-1.0,0.54,18.0,2022,268
4.0,13:32,1.0,10.0,DEN 24,20.0,24.0,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.54,0.0,18.0,2022,268
4.0,13:24,2.0,10.0,DEN 24,20.0,24.0,Tyler Badie up the middle for no gain (tackle by David Moa),0.0,-0.69,18.0,2022,268
4.0,12:50,3.0,10.0,DEN 24,20.0,24.0,Russell Wilson pass complete deep right to Freddie Swain for 52 yards (tackle by Nasir Adderley),-0.69,3.97,18.0,2022,268
4.0,12:03,1.0,10.0,LAC 24,20.0,24.0,Chase Edmonds right end for 4 yards (tackle by Breiden Fehoko),3.97,3.97,18.0,2022,268
4.0,11:21,2.0,6.0,LAC 20,20.0,30.0,"Russell Wilson pass complete deep right to Courtland Sutton for 20 yards, touchdown",3.97,7.0,18.0,2022,268
4.0,11:15,,,LAC 15,20.0,31.0,Brandon McManus kicks extra point good,0.0,0.0,18.0,2022,268
4.0,11:15,,,DEN 35,20.0,31.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
4.0,11:15,1.0,10.0,LAC 25,20.0,31.0,Larry Rountree right end for 2 yards (tackle by Ja'Quan McMillian),0.61,0.33,18.0,2022,268
4.0,10:39,2.0,8.0,LAC 27,20.0,31.0,Larry Rountree right tackle for 1 yard (tackle by Jonathon Cooper),0.33,-0.23,18.0,2022,268
4.0,9:55,3.0,7.0,LAC 28,20.0,31.0,Chase Daniel scrambles right end for 4 yards (tackle by Alex Singleton),-0.23,-1.24,18.0,2022,268
4.0,9:12,4.0,3.0,LAC 32,20.0,31.0,"JK Scott punts 45 yards, recovered by Alohi Gilman at DEN-29",-1.24,3.64,18.0,2022,268
4.0,9:05,1.0,10.0,DEN 29,20.0,31.0,Larry Rountree up the middle for 1 yard (tackle by Baron Browning and Matt Henningsen),3.64,3.24,18.0,2022,268
4.0,8:27,2.0,9.0,DEN 28,20.0,31.0,Chase Daniel pass complete short right to Josh Palmer for 10 yards (tackle by Ja'Quan McMillian),3.24,4.37,18.0,2022,268
4.0,7:55,1.0,10.0,DEN 18,20.0,31.0,Chase Daniel pass complete short left to Keenan Allen for 4 yards (tackle by Kareem Jackson),4.37,4.43,18.0,2022,268
4.0,7:16,2.0,6.0,DEN 14,20.0,31.0,Chase Daniel pass complete short right to DeAndre Carter for 7 yards (tackle by Justin Simmons),4.43,5.6,18.0,2022,268
4.0,6:39,1.0,7.0,DEN 7,20.0,31.0,Joshua Kelley left end for 4 yards (tackle by Patrick Surtain),5.6,5.53,18.0,2022,268
4.0,6:06,2.0,3.0,DEN 3,26.0,31.0,"Chase Daniel pass complete short right to Keenan Allen for 3 yards, touchdown",5.53,7.0,18.0,2022,268
4.0,6:02,,,DEN 2,28.0,31.0,Two Point Attempt: Chase Daniel pass complete to to Josh Palmer for no gain,1.0,1.0,18.0,2022,268
4.0,6:02,,,LAC 35,28.0,31.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,268
4.0,6:02,1.0,10.0,DEN 25,28.0,31.0,Russell Wilson pass incomplete short right intended for Andrew Beck,0.61,0.06,18.0,2022,268
4.0,5:55,2.0,10.0,DEN 25,28.0,31.0,"Latavius Murray aborted snap, recovered by Jerry Jeudy at DEN-10",0.06,-3.18,18.0,2022,268
4.0,5:14,3.0,25.0,DEN 10,28.0,31.0,Russell Wilson pass complete deep middle to Jerry Jeudy for 19 yards (tackle by Amen Ogbongbemiga),-3.18,-1.44,18.0,2022,268
4.0,4:29,4.0,6.0,DEN 29,28.0,31.0,"Corliss Waitman punts 59 yards, returned by DeAndre Carter for 28 yards (tackle by Jalen Virgil)",-1.44,-1.6,18.0,2022,268
4.0,4:16,1.0,10.0,LAC 40,28.0,31.0,Chase Daniel pass incomplete deep left intended for DeAndre Carter,1.6,1.05,18.0,2022,268
4.0,4:10,2.0,10.0,LAC 40,28.0,31.0,"Penalty on Donald Parham: False Start, 5 yards (accepted) (no play)",1.05,0.38,18.0,2022,268
4.0,4:10,2.0,15.0,LAC 35,28.0,31.0,Chase Daniel pass complete short right to Larry Rountree for 1 yard (tackle by Eyioma Uwazurike),0.38,-0.16,18.0,2022,268
4.0,3:31,3.0,14.0,LAC 36,28.0,31.0,"Chase Daniel pass incomplete intended for Joshua Kelley DEN challenged the pass completion ruling, and the play was upheld.",-0.16,-0.98,18.0,2022,268
4.0,3:27,4.0,14.0,LAC 36,28.0,31.0,JK Scott punts 60 yards downed by Amen Ogbongbemiga,-0.98,0.38,18.0,2022,268
4.0,3:14,1.0,10.0,DEN 4,28.0,31.0,Latavius Murray up the middle for 21 yards (tackle by Raheem Layne),-0.38,0.61,18.0,2022,268
4.0,3:04,,,,,,Timeout #1 by Los Angeles Chargers,,,18.0,2022,268
4.0,3:04,1.0,10.0,DEN 25,28.0,31.0,Jerry Jeudy right end for 12 yards (tackle by Asante Samuel),0.61,1.4,18.0,2022,268
4.0,2:59,1.0,10.0,DEN 37,28.0,31.0,Latavius Murray right guard for 9 yards (tackle by Chris Rumph),1.4,2.07,18.0,2022,268
4.0,2:15,2.0,1.0,DEN 46,28.0,31.0,Latavius Murray left tackle for no gain (tackle by Chris Rumph and Alohi Gilman),2.07,1.36,18.0,2022,268
4.0,2:00,3.0,1.0,DEN 46,28.0,31.0,Russell Wilson up the middle for 1 yard (tackle by Derrek Tuszka and Amen Ogbongbemiga),1.36,2.06,18.0,2022,268
4.0,1:17,1.0,10.0,DEN 47,28.0,31.0,Russell Wilson left end for 1 yard (tackle by Ja'Sir Taylor),2.06,1.52,18.0,2022,268
