Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA,week,year,game_id
1.0,9:13,2.0,12.0,ATL 23,7.0,0.0,Desmond Ridder pass incomplete short middle intended for MyCole Pruitt,-0.21,-0.89,18.0,2022,260
1.0,9:08,3.0,12.0,ATL 23,7.0,0.0,Desmond Ridder sacked by Akiem Hicks for -8 yards,-0.89,-2.44,18.0,2022,260
1.0,8:29,4.0,20.0,ATL 15,7.0,0.0,"Bradley Pinion punts 52 yards, returned by Deven Thompkins for 12 yards (tackle by Troy Andersen)",-2.44,-1.93,18.0,2022,260
1.0,8:17,1.0,10.0,TAM 45,7.0,0.0,Tom Brady pass complete short left to Leonard Fournette for 4 yards (tackle by Jaleel Johnson),1.93,1.92,18.0,2022,260
1.0,7:38,2.0,6.0,TAM 49,7.0,0.0,Tom Brady pass incomplete short left intended for Russell Gage,1.92,1.22,18.0,2022,260
1.0,7:34,3.0,6.0,TAM 49,7.0,0.0,Tom Brady pass incomplete deep left intended for Russell Gage,1.22,-0.13,18.0,2022,260
1.0,7:30,4.0,6.0,TAM 49,7.0,0.0,"Jake Camarda punts 42 yards, fair catch by Avery Williams at ATL-9",-0.13,0.38,18.0,2022,260
1.0,7:22,1.0,10.0,ATL 9,7.0,0.0,Desmond Ridder pass incomplete deep left intended for Drake London (defended by Jamel Dean),-0.38,-0.78,18.0,2022,260
1.0,7:15,2.0,10.0,ATL 9,7.0,0.0,Tyler Allgeier right tackle for 5 yards (tackle by Devin White and Akiem Hicks),-0.78,-0.84,18.0,2022,260
1.0,6:45,3.0,5.0,ATL 14,7.0,0.0,Desmond Ridder pass complete short right to Drake London for 26 yards (tackle by Sean Murphy-Bunting),-0.84,1.6,18.0,2022,260
1.0,6:09,1.0,10.0,ATL 40,7.0,0.0,"Cordarrelle Patterson right end for 5 yards (tackle by Lavonte David). Penalty on Sean Murphy-Bunting: Low Block, 15 yards (accepted)",1.6,2.92,18.0,2022,260
1.0,5:40,1.0,10.0,TAM 40,7.0,0.0,Tyler Allgeier right end for 17 yards (tackle by Antoine Winfield),2.92,4.04,18.0,2022,260
1.0,5:05,1.0,10.0,TAM 23,7.0,0.0,Tyler Allgeier right tackle for 16 yards (tackle by Antoine Winfield and Sean Murphy-Bunting),4.04,5.6,18.0,2022,260
1.0,4:20,1.0,7.0,TAM 7,7.0,0.0,Desmond Ridder pass incomplete short middle,5.6,4.76,18.0,2022,260
1.0,4:15,2.0,7.0,TAM 7,7.0,0.0,Tyler Allgeier left tackle for 5 yards (tackle by Antoine Winfield and Lavonte David),4.76,4.95,18.0,2022,260
1.0,3:33,3.0,2.0,TAM 2,7.0,6.0,"Desmond Ridder pass complete short right to MyCole Pruitt for 2 yards, touchdown",4.95,7.0,18.0,2022,260
1.0,3:22,,,TAM 15,7.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,18.0,2022,260
1.0,3:22,,,ATL 35,7.0,7.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
1.0,3:22,1.0,10.0,TAM 25,7.0,7.0,Ke'Shawn Vaughn left tackle for 2 yards (tackle by Grady Jarrett),0.61,0.33,18.0,2022,260
1.0,2:48,2.0,8.0,TAM 27,7.0,7.0,"Tom Brady pass complete short right to Chris Godwin for 6 yards. Chris Godwin fumbles (forced by Richie Grant), recovered by Richie Grant at TB-34",0.33,-3.31,18.0,2022,260
1.0,2:30,1.0,10.0,TAM 34,7.0,7.0,Desmond Ridder pass incomplete deep right intended for Olamide Zaccheaus,3.31,2.77,18.0,2022,260
1.0,2:24,2.0,10.0,TAM 34,7.0,7.0,Desmond Ridder pass complete short left to Cordarrelle Patterson for -3 yards (tackle by Lavonte David),2.77,1.69,18.0,2022,260
1.0,1:44,3.0,13.0,TAM 37,7.0,7.0,Tyler Allgeier left tackle for 6 yards (tackle by Devin White),1.69,1.32,18.0,2022,260
1.0,0:59,4.0,7.0,TAM 31,7.0,10.0,Younghoe Koo 49 yard field goal good,1.32,3.0,18.0,2022,260
1.0,0:54,,,ATL 35,7.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
1.0,0:54,1.0,10.0,TAM 25,7.0,10.0,Giovani Bernard right guard for 3 yards (tackle by Jaylinn Hawkins),0.61,0.47,18.0,2022,260
1.0,0:25,2.0,7.0,TAM 28,7.0,10.0,Tom Brady pass complete short left to Chris Godwin for 6 yards (tackle by Cornell Armstrong),0.47,0.56,18.0,2022,260
2.0,15:00,3.0,1.0,TAM 34,7.0,10.0,Tom Brady pass complete short right to Chris Godwin for 9 yards (tackle by Isaiah Oliver),0.56,1.8,18.0,2022,260
2.0,14:27,1.0,10.0,TAM 43,7.0,10.0,Giovani Bernard left tackle for 3 yards (tackle by Matt Dickerson and Lorenzo Carter),1.8,1.66,18.0,2022,260
2.0,13:53,2.0,7.0,TAM 46,7.0,10.0,Giovani Bernard left tackle for 5 yards (tackle by Troy Andersen),1.66,1.62,18.0,2022,260
2.0,13:11,3.0,2.0,ATL 49,7.0,10.0,Tom Brady pass complete short right to Russell Gage for 5 yards (tackle by Cornell Armstrong),1.62,2.65,18.0,2022,260
2.0,12:38,1.0,10.0,ATL 44,7.0,10.0,Giovani Bernard left end for 8 yards (tackle by Isaiah Oliver),2.65,3.19,18.0,2022,260
2.0,11:53,2.0,2.0,ATL 36,7.0,10.0,Ke'Shawn Vaughn right guard for 1 yard (tackle by Jaleel Johnson),3.19,2.61,18.0,2022,260
2.0,11:19,3.0,1.0,ATL 35,7.0,10.0,Ke'Shawn Vaughn left end for 12 yards (tackle by Troy Andersen and Cornell Armstrong),2.61,4.04,18.0,2022,260
2.0,10:41,1.0,10.0,ATL 23,7.0,10.0,Ke'Shawn Vaughn up the middle for -5 yards (tackle by Grady Jarrett),4.04,2.82,18.0,2022,260
2.0,10:00,2.0,15.0,ATL 28,7.0,10.0,Tom Brady pass complete short right to Deven Thompkins for 5 yards (tackle by Adetokunbo Ogundeji),2.82,2.81,18.0,2022,260
2.0,9:13,3.0,10.0,ATL 23,7.0,10.0,Tom Brady pass complete short left to Chris Godwin for 9 yards (tackle by DeAundre Alford),2.81,2.66,18.0,2022,260
2.0,8:46,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,18.0,2022,260
2.0,8:46,4.0,1.0,ATL 14,7.0,10.0,"Giovani Bernard right end for 1 yard (tackle by DeAundre Alford). Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted)",2.66,1.93,18.0,2022,260
2.0,8:20,4.0,11.0,ATL 23,10.0,10.0,Ryan Succop 41 yard field goal good,1.93,3.0,18.0,2022,260
2.0,8:15,,,TAM 35,10.0,10.0,"Jake Camarda kicks off 62 yards, returned by Avery Williams for 17 yards (tackle by J.J. Russell)",0.0,0.28,18.0,2022,260
2.0,8:09,1.0,10.0,ATL 20,10.0,10.0,Desmond Ridder pass incomplete short right intended for MyCole Pruitt,0.28,-0.27,18.0,2022,260
2.0,8:03,2.0,10.0,ATL 20,10.0,10.0,Tyler Allgeier right end for no gain (tackle by Rakeem Nunez-Roches),-0.27,-0.96,18.0,2022,260
2.0,7:27,3.0,10.0,ATL 20,10.0,10.0,Desmond Ridder scrambles up the middle for 8 yards (tackle by Antoine Winfield),-0.96,-1.5,18.0,2022,260
2.0,6:36,4.0,2.0,ATL 28,10.0,10.0,Bradley Pinion punts 53 yards out of bounds,-1.5,-0.15,18.0,2022,260
2.0,6:28,1.0,10.0,TAM 19,10.0,10.0,Tom Brady pass complete short middle to Deven Thompkins for 2 yards (tackle by Lorenzo Carter),0.15,-0.06,18.0,2022,260
2.0,5:45,2.0,8.0,TAM 21,10.0,10.0,Tom Brady pass incomplete short right intended for Russell Gage,-0.06,-0.81,18.0,2022,260
2.0,5:43,3.0,8.0,TAM 21,10.0,10.0,Tom Brady pass complete short left to Ke'Shawn Vaughn for no gain (tackle by AJ Terrell),-0.81,-1.96,18.0,2022,260
2.0,4:57,4.0,8.0,TAM 21,10.0,10.0,Jake Camarda punts 43 yards downed by Scott Miller,-1.96,-1.33,18.0,2022,260
2.0,4:47,1.0,10.0,ATL 36,10.0,10.0,Tyler Allgeier right tackle for 3 yards (tackle by Rakeem Nunez-Roches and William Gholston),1.33,1.2,18.0,2022,260
2.0,4:09,2.0,7.0,ATL 39,10.0,10.0,"Desmond Ridder sacked by. Desmond Ridder fumbles, recovered by Devin White at ATL-31 and returned for 9 yards (tackle by Tyler Allgeier and Kaleb McGary)",1.2,-4.11,18.0,2022,260
2.0,4:00,1.0,10.0,ATL 22,10.0,10.0,Blaine Gabbert pass incomplete deep left intended for Deven Thompkins,4.11,3.56,18.0,2022,260
2.0,3:56,2.0,10.0,ATL 22,10.0,10.0,Blaine Gabbert pass complete short right to Deven Thompkins for 13 yards (tackle by Rashaan Evans and Cornell Armstrong),3.56,5.14,18.0,2022,260
2.0,3:08,1.0,9.0,ATL 9,10.0,10.0,Giovani Bernard left guard for 4 yards (tackle by Jaleel Johnson),5.14,5.15,18.0,2022,260
2.0,2:23,2.0,5.0,ATL 5,10.0,10.0,"Giovani Bernard left guard for no gain. Penalty on Breshad Perriman: Illegal Shift, 5 yards (accepted) (no play)",5.15,4.19,18.0,2022,260
2.0,2:00,2.0,10.0,ATL 10,10.0,10.0,Blaine Gabbert pass complete short left to Russell Gage for 7 yards (tackle by Cornell Armstrong and Richie Grant),4.19,4.72,18.0,2022,260
2.0,1:50,,,,,,Timeout #1 by Atlanta Falcons,,,18.0,2022,260
2.0,1:50,3.0,3.0,ATL 3,16.0,10.0,"Blaine Gabbert pass complete short left to Russell Gage for 3 yards, touchdown",4.72,7.0,18.0,2022,260
2.0,1:46,,,ATL 15,17.0,10.0,Ryan Succop kicks extra point good,0.0,0.0,18.0,2022,260
2.0,1:46,,,TAM 35,17.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
2.0,1:46,1.0,10.0,ATL 25,17.0,10.0,Tyler Allgeier left tackle for 5 yards (tackle by Anthony Nelson),0.61,0.74,18.0,2022,260
2.0,1:28,2.0,5.0,ATL 30,17.0,10.0,Desmond Ridder pass complete short right to Damiere Byrd for no gain (tackle by Dee Delaney),0.74,0.04,18.0,2022,260
2.0,1:06,3.0,5.0,ATL 30,17.0,10.0,"Desmond Ridder scrambles left end for 1 yard (tackle by Dee Delaney). Penalty on Matt Hennessy: Offensive Holding, 10 yards (declined)",0.04,-1.31,18.0,2022,260
2.0,0:58,4.0,4.0,ATL 31,17.0,10.0,"Bradley Pinion punts 49 yards, fair catch by Deven Thompkins at TB-20",-1.31,-0.28,18.0,2022,260
2.0,0:50,1.0,10.0,TAM 20,17.0,10.0,Ke'Shawn Vaughn right tackle for 4 yards (tackle by Mykal Walker and Matt Dickerson),0.28,0.27,18.0,2022,260
2.0,0:11,2.0,6.0,TAM 24,17.0,10.0,Ke'Shawn Vaughn right tackle for 7 yards (tackle by Rashaan Evans and DeAngelo Malone),0.27,1.0,18.0,2022,260
3.0,15:00,,,TAM 35,17.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
3.0,15:00,1.0,10.0,ATL 25,17.0,10.0,Tyler Allgeier left end for 9 yards (tackle by Joe Tryon-Shoyinka),0.61,1.28,18.0,2022,260
3.0,14:19,2.0,1.0,ATL 34,17.0,10.0,Tyler Allgeier right tackle for 2 yards (tackle by Anthony Nelson),1.28,1.33,18.0,2022,260
3.0,13:38,1.0,10.0,ATL 36,17.0,10.0,Desmond Ridder pass complete short left to Drake London for 16 yards (tackle by Antoine Winfield),1.33,2.39,18.0,2022,260
3.0,12:56,1.0,10.0,TAM 48,17.0,10.0,Desmond Ridder pass complete deep middle to MyCole Pruitt for 29 yards (tackle by Sean Murphy-Bunting),2.39,4.31,18.0,2022,260
3.0,12:28,1.0,10.0,TAM 19,17.0,10.0,Tyler Allgeier right end for 12 yards (tackle by J.J. Russell and Anthony Chesley),4.31,5.6,18.0,2022,260
3.0,11:58,1.0,7.0,TAM 7,17.0,10.0,Tyler Allgeier left end for 2 yards (tackle by K.J. Britt),5.6,5.15,18.0,2022,260
3.0,11:23,2.0,5.0,TAM 5,17.0,10.0,Tyler Allgeier left end for -1 yards (tackle by Logan Hall and William Gholston),5.15,4.04,18.0,2022,260
3.0,10:34,3.0,6.0,TAM 6,17.0,10.0,Desmond Ridder pass incomplete short right intended for Olamide Zaccheaus,4.04,2.99,18.0,2022,260
3.0,10:31,4.0,6.0,TAM 6,17.0,13.0,Younghoe Koo 24 yard field goal good,2.99,3.0,18.0,2022,260
3.0,10:27,,,ATL 35,17.0,13.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
3.0,10:27,1.0,10.0,TAM 25,17.0,13.0,Ke'Shawn Vaughn left end for 1 yard (tackle by Adetokunbo Ogundeji),0.61,0.2,18.0,2022,260
3.0,9:48,2.0,9.0,TAM 26,17.0,13.0,Blaine Gabbert pass incomplete short right intended for Deven Thompkins (defended by Cornell Armstrong),0.2,-0.49,18.0,2022,260
3.0,9:43,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,18.0,2022,260
3.0,9:43,3.0,9.0,TAM 26,17.0,13.0,Blaine Gabbert pass complete short right to Ke'Shawn Vaughn for 8 yards (tackle by Rashaan Evans),-0.49,-1.11,18.0,2022,260
3.0,8:58,4.0,1.0,TAM 34,17.0,13.0,"Jake Camarda punts 66 yards, touchback.",-1.11,-0.28,18.0,2022,260
3.0,8:49,1.0,10.0,ATL 20,17.0,13.0,Desmond Ridder pass complete short middle to Drake London for 17 yards (tackle by Dee Delaney),0.28,1.4,18.0,2022,260
3.0,8:10,1.0,10.0,ATL 37,17.0,13.0,Tyler Allgeier right end for 13 yards (tackle by Ifeadi Odenigbo and Sean Murphy-Bunting),1.4,2.26,18.0,2022,260
3.0,7:30,1.0,10.0,ATL 50,17.0,13.0,Desmond Ridder pass complete short middle to Drake London for 7 yards (tackle by K.J. Britt and Antoine Winfield),2.26,2.66,18.0,2022,260
3.0,6:46,2.0,3.0,TAM 43,17.0,13.0,Tyler Allgeier right tackle for 1 yard (tackle by K.J. Britt and Ifeadi Odenigbo),2.66,2.08,18.0,2022,260
3.0,6:07,3.0,2.0,TAM 42,17.0,13.0,Tyler Allgeier right end for -1 yards (tackle by Joe Tryon-Shoyinka and J.J. Russell),2.08,0.4,18.0,2022,260
3.0,5:33,4.0,3.0,TAM 43,17.0,13.0,Desmond Ridder pass complete short left to Anthony Firkser for 11 yards (tackle by Antoine Winfield),0.4,3.45,18.0,2022,260
3.0,4:42,1.0,10.0,TAM 32,17.0,13.0,Desmond Ridder pass complete short right to Parker Hesse for 6 yards (tackle by Dee Delaney),3.45,3.71,18.0,2022,260
3.0,4:10,2.0,4.0,TAM 26,17.0,13.0,Cordarrelle Patterson left end for 8 yards (tackle by J.J. Russell),3.71,4.37,18.0,2022,260
3.0,3:33,1.0,10.0,TAM 18,17.0,13.0,Desmond Ridder pass complete short right to MyCole Pruitt for 3 yards (tackle by K.J. Britt and Ifeadi Odenigbo),4.37,4.25,18.0,2022,260
3.0,2:49,2.0,7.0,TAM 15,17.0,13.0,Tyler Allgeier right end for 4 yards (tackle by Pat O'Connor and Ifeadi Odenigbo),4.25,4.26,18.0,2022,260
3.0,2:13,3.0,3.0,TAM 11,17.0,13.0,Tyler Allgeier left end for 5 yards (tackle by Antoine Winfield),4.26,5.83,18.0,2022,260
3.0,1:34,1.0,6.0,TAM 6,17.0,13.0,Desmond Ridder pass incomplete short right intended for Drake London,5.83,4.95,18.0,2022,260
3.0,1:30,2.0,6.0,TAM 6,17.0,13.0,Cordarrelle Patterson right end for 3 yards (tackle by Rakeem Nunez-Roches and Antoine Winfield),4.95,4.72,18.0,2022,260
3.0,0:54,3.0,3.0,TAM 3,17.0,19.0,"Desmond Ridder pass complete short left to Olamide Zaccheaus for 3 yards, touchdown",4.72,7.0,18.0,2022,260
3.0,0:51,,,TAM 15,17.0,20.0,Younghoe Koo kicks extra point good,0.0,0.0,18.0,2022,260
3.0,0:51,,,ATL 35,17.0,20.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
3.0,0:51,1.0,10.0,TAM 25,17.0,20.0,Blaine Gabbert pass complete short right to Giovani Bernard for -7 yards (tackle by Lorenzo Carter),0.61,-0.98,18.0,2022,260
3.0,0:10,2.0,17.0,TAM 18,17.0,20.0,Giovani Bernard right guard for 4 yards (tackle by Matt Dickerson and Richie Grant),-0.98,-1.02,18.0,2022,260
4.0,15:00,3.0,13.0,TAM 22,17.0,20.0,Blaine Gabbert pass complete short left to Deven Thompkins for 5 yards (tackle by Richie Grant),-1.02,-1.57,18.0,2022,260
4.0,14:23,4.0,8.0,TAM 27,17.0,20.0,Jake Camarda punts 56 yards downed by Anthony Chesley,-1.57,0.06,18.0,2022,260
4.0,14:11,1.0,10.0,ATL 17,17.0,20.0,"Desmond Ridder pass complete short right to Tyler Allgeier for no gain (tackle by J.J. Russell). Penalty on Kaleb McGary: Offensive Holding, 8 yards (accepted) (no play)",-0.06,-0.68,18.0,2022,260
4.0,13:45,1.0,18.0,ATL 9,17.0,20.0,Tyler Allgeier left tackle for 1 yard (tackle by Logan Hall and William Gholston),-0.68,-1.29,18.0,2022,260
4.0,13:03,2.0,17.0,ATL 10,17.0,20.0,Desmond Ridder pass complete short right to Olamide Zaccheaus for 11 yards (tackle by Anthony Nelson and K.J. Britt),-1.29,-0.75,18.0,2022,260
4.0,12:21,3.0,6.0,ATL 21,17.0,20.0,Desmond Ridder pass complete deep right to Drake London for 40 yards (tackle by Zyon McCollum),-0.75,2.98,18.0,2022,260
4.0,11:33,1.0,10.0,TAM 39,17.0,20.0,Tyler Allgeier left tackle for 4 yards (tackle by Joe Tryon-Shoyinka),2.98,2.98,18.0,2022,260
4.0,10:56,2.0,6.0,TAM 35,17.0,20.0,Desmond Ridder pass complete short left to Frank Darby for 15 yards (tackle by Anthony Chesley),2.98,4.24,18.0,2022,260
4.0,10:17,1.0,10.0,TAM 20,17.0,20.0,Cordarrelle Patterson left tackle for no gain (tackle by Dee Delaney and J.J. Russell),4.24,3.69,18.0,2022,260
4.0,9:39,2.0,10.0,TAM 20,17.0,20.0,Desmond Ridder pass complete short right to Cordarrelle Patterson for 4 yards (tackle by K.J. Britt),3.69,3.52,18.0,2022,260
4.0,8:54,3.0,6.0,TAM 16,17.0,20.0,Desmond Ridder pass complete short middle to Drake London for 14 yards (tackle by K.J. Britt and Dee Delaney),3.52,6.74,18.0,2022,260
4.0,8:10,1.0,2.0,TAM 2,17.0,26.0,"Cordarrelle Patterson left tackle for 2 yards, touchdown",6.74,7.0,18.0,2022,260
4.0,8:07,,,TAM 15,17.0,27.0,Younghoe Koo kicks extra point good,0.0,0.0,18.0,2022,260
4.0,8:07,,,ATL 35,17.0,27.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
4.0,8:07,1.0,10.0,TAM 25,17.0,27.0,Ke'Shawn Vaughn left guard for 4 yards (tackle by Jaleel Johnson and Abdullah Anderson),0.61,0.6,18.0,2022,260
4.0,7:28,2.0,6.0,TAM 29,17.0,27.0,Kyle Trask pass incomplete deep left intended for Deven Thompkins (defended by AJ Terrell),0.6,-0.1,18.0,2022,260
4.0,7:23,3.0,6.0,TAM 29,17.0,27.0,Kyle Trask pass incomplete short right intended for Deven Thompkins,-0.1,-1.44,18.0,2022,260
4.0,7:18,4.0,6.0,TAM 29,17.0,27.0,"Jake Camarda punts 46 yards, fair catch by Avery Williams at ATL-25",-1.44,-0.61,18.0,2022,260
4.0,7:10,1.0,10.0,ATL 25,17.0,27.0,Desmond Ridder pass incomplete deep left intended for Josh Ali,0.61,0.06,18.0,2022,260
4.0,7:04,2.0,10.0,ATL 25,17.0,27.0,Tyler Allgeier left tackle for 28 yards (tackle by Antoine Winfield),0.06,2.46,18.0,2022,260
4.0,6:23,1.0,10.0,TAM 47,17.0,27.0,Tyler Allgeier left end for -1 yards (tackle by Dee Delaney),2.46,1.78,18.0,2022,260
4.0,5:44,2.0,11.0,TAM 48,17.0,27.0,"Desmond Ridder pass incomplete. Penalty on Desmond Ridder: Intentional Grounding, 10 yards (accepted)",1.78,-0.23,18.0,2022,260
4.0,5:39,3.0,21.0,ATL 42,17.0,27.0,Desmond Ridder pass complete short right to Olamide Zaccheaus for 17 yards (tackle by Antoine Winfield and Anthony Nelson),-0.23,0.53,18.0,2022,260
4.0,4:58,4.0,4.0,TAM 41,17.0,27.0,Desmond Ridder pass complete short left to Olamide Zaccheaus for 6 yards,0.53,3.25,18.0,2022,260
4.0,4:52,1.0,10.0,TAM 35,17.0,27.0,Tyler Allgeier left tackle for 2 yards (tackle by Ifeadi Odenigbo and Pat O'Connor),3.25,2.97,18.0,2022,260
4.0,4:15,2.0,8.0,TAM 33,17.0,27.0,Desmond Ridder pass incomplete short left intended for Cordarrelle Patterson,2.97,2.28,18.0,2022,260
4.0,4:10,3.0,8.0,TAM 33,17.0,27.0,Desmond Ridder pass incomplete short left intended for Olamide Zaccheaus (defended by Sean Murphy-Bunting),2.28,1.15,18.0,2022,260
4.0,4:05,4.0,8.0,TAM 33,17.0,30.0,Younghoe Koo 51 yard field goal good,1.15,3.0,18.0,2022,260
4.0,4:00,,,ATL 35,17.0,30.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,260
4.0,4:00,1.0,10.0,TAM 25,17.0,30.0,Kyle Trask pass complete short middle to Scott Miller for 8 yards (tackle by DeAngelo Malone),0.61,1.14,18.0,2022,260
4.0,3:38,2.0,2.0,TAM 33,17.0,30.0,Kyle Trask pass incomplete short left,1.14,0.43,18.0,2022,260
4.0,3:35,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,18.0,2022,260
4.0,3:35,3.0,2.0,TAM 33,17.0,30.0,Kyle Trask pass complete short left to Breshad Perriman for 9 yards (tackle by Troy Andersen),0.43,1.73,18.0,2022,260
4.0,3:11,1.0,10.0,TAM 42,17.0,30.0,Kyle Trask pass incomplete deep right intended for Breshad Perriman (defended by Cornell Armstrong),1.73,1.19,18.0,2022,260
4.0,3:05,2.0,10.0,TAM 42,17.0,30.0,Kyle Trask pass incomplete short right intended for Scott Miller (defended by Isaiah Oliver),1.19,0.5,18.0,2022,260
4.0,3:00,3.0,10.0,TAM 42,17.0,30.0,Kyle Trask pass complete short right to Giovani Bernard for 6 yards (tackle by DeAngelo Malone),0.5,-0.19,18.0,2022,260
4.0,2:33,4.0,4.0,TAM 48,17.0,30.0,Kyle Trask pass incomplete deep right intended for Deven Thompkins,-0.19,-2.39,18.0,2022,260
4.0,2:28,1.0,10.0,TAM 48,17.0,30.0,Avery Williams left end for -8 yards (tackle by Ifeadi Odenigbo),2.39,0.77,18.0,2022,260
4.0,2:00,2.0,18.0,ATL 44,17.0,30.0,Avery Williams left end for 8 yards (tackle by Antoine Winfield and Dee Delaney),0.77,1.16,18.0,2022,260
4.0,1:14,3.0,10.0,TAM 48,17.0,30.0,Avery Williams right end for -2 yards (tackle by Pat O'Connor),1.16,-0.06,18.0,2022,260
4.0,0:28,,,,,,Timeout #1 by Atlanta Falcons,,,18.0,2022,260
4.0,0:28,4.0,12.0,TAM 50,17.0,30.0,Avery Williams right end for 14 yards (tackle by Antoine Winfield),-0.06,1.33,18.0,2022,260
