Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA,week,year,game_id
1.0,4:38,2.0,5.0,CAR 18,0.0,7.0,D'Onta Foreman left guard for 4 yards (tackle by Marshon Lattimore),-0.14,-0.35,18.0,2022,261
1.0,4:01,3.0,1.0,CAR 22,0.0,7.0,D'Onta Foreman left guard for no gain (tackle by David Onyemata),-0.35,-1.9,18.0,2022,261
1.0,3:12,4.0,1.0,CAR 22,0.0,7.0,"Johnny Hekker punts 54 yards, fair catch by Rashid Shaheed at NO-24",-1.9,-0.54,18.0,2022,261
1.0,3:04,1.0,10.0,NOR 24,0.0,7.0,Eno Benjamin left end for 2 yards (tackle by Cory Littleton),0.54,0.27,18.0,2022,261
1.0,2:22,2.0,8.0,NOR 26,0.0,7.0,Taysom Hill left end for 7 yards (tackle by Yetur Gross-Matos and C.J. Henderson),0.27,0.5,18.0,2022,261
1.0,1:41,3.0,1.0,NOR 33,0.0,7.0,Alvin Kamara left end for 22 yards (tackle by Myles Hartsfield),0.5,2.59,18.0,2022,261
1.0,0:56,1.0,10.0,CAR 45,0.0,7.0,"Taysom Hill sacked by Phil Hoskins for no gain. Penalty on Phil Hoskins: Face Mask (15 Yards), 15 yards (accepted) (no play)",2.59,3.58,18.0,2022,261
1.0,0:37,1.0,10.0,CAR 30,0.0,7.0,Alvin Kamara right guard for 1 yard (tackle by Shaq Thompson and Derrick Brown),3.58,3.17,18.0,2022,261
2.0,15:00,2.0,9.0,CAR 29,0.0,7.0,Andy Dalton pass complete short right to Alvin Kamara for 3 yards (tackle by Jeremy Chinn),3.17,2.87,18.0,2022,261
2.0,14:24,3.0,6.0,CAR 26,0.0,7.0,Andy Dalton pass incomplete short right intended for Alvin Kamara,2.87,1.76,18.0,2022,261
2.0,14:20,4.0,6.0,CAR 26,0.0,7.0,Wil Lutz 44 yard field goal no good,1.76,-1.2,18.0,2022,261
2.0,14:15,1.0,10.0,CAR 34,0.0,7.0,Sam Darnold pass incomplete short right intended for Terrace Marshall,1.2,0.66,18.0,2022,261
2.0,14:07,2.0,10.0,CAR 34,0.0,7.0,Chuba Hubbard right guard for 1 yard (tackle by Malcolm Roach and Cameron Jordan),0.66,0.1,18.0,2022,261
2.0,13:26,3.0,9.0,CAR 35,0.0,7.0,Sam Darnold pass incomplete short right,0.1,-1.04,18.0,2022,261
2.0,13:18,4.0,9.0,CAR 35,0.0,7.0,"Johnny Hekker punts 50 yards, fair catch by Rashid Shaheed at NO-15",-1.04,0.22,18.0,2022,261
2.0,13:11,1.0,10.0,NOR 15,0.0,7.0,Alvin Kamara right guard for 4 yards (tackle by Marquan McCall),-0.22,-0.11,18.0,2022,261
2.0,12:34,2.0,6.0,NOR 19,0.0,7.0,Alvin Kamara right tackle for 4 yards (tackle by Marquan McCall),-0.11,-0.39,18.0,2022,261
2.0,11:54,3.0,2.0,NOR 23,0.0,7.0,Alvin Kamara right guard for 3 yards (tackle by Bravvion Roy),-0.39,0.67,18.0,2022,261
2.0,11:16,1.0,10.0,NOR 26,0.0,7.0,Andy Dalton pass complete short left to Rashid Shaheed for 10 yards (tackle by Josh Norman),0.67,1.33,18.0,2022,261
2.0,10:42,1.0,10.0,NOR 36,0.0,7.0,Andy Dalton pass complete deep right to Rashid Shaheed for 18 yards,1.33,2.52,18.0,2022,261
2.0,10:09,1.0,10.0,CAR 46,0.0,7.0,Rashid Shaheed right end for 7 yards (tackle by Marquis Haynes),2.52,2.92,18.0,2022,261
2.0,9:31,2.0,3.0,CAR 39,0.0,7.0,Taysom Hill right end for 10 yards (tackle by Marquis Haynes),2.92,3.64,18.0,2022,261
2.0,8:50,1.0,10.0,CAR 29,0.0,7.0,Andy Dalton pass incomplete deep right intended for Marquez Callaway,3.64,3.1,18.0,2022,261
2.0,8:45,2.0,10.0,CAR 29,0.0,7.0,Alvin Kamara right guard for 2 yards (tackle by Cory Littleton),3.1,2.68,18.0,2022,261
2.0,8:05,3.0,8.0,CAR 27,0.0,7.0,Alvin Kamara left end for 7 yards (tackle by Jeremy Chinn and Josh Norman),2.68,2.27,18.0,2022,261
2.0,7:21,4.0,1.0,CAR 20,0.0,7.0,Alvin Kamara right guard for -3 yards (tackle by Frankie Luvu),2.27,-0.54,18.0,2022,261
2.0,7:18,1.0,10.0,CAR 24,0.0,7.0,D'Onta Foreman right tackle for 9 yards (tackle by Alontae Taylor),0.54,1.21,18.0,2022,261
2.0,6:44,2.0,1.0,CAR 33,0.0,7.0,D'Onta Foreman right guard for no gain (tackle by Kentavius Street and Tanoh Kpassagnon),1.21,0.5,18.0,2022,261
2.0,6:08,3.0,1.0,CAR 33,0.0,7.0,Sam Darnold up the middle for 3 yards (tackle by Marcus Davenport),0.5,1.33,18.0,2022,261
2.0,5:30,1.0,10.0,CAR 36,0.0,7.0,Sam Darnold scrambles left end for 3 yards (tackle by Marshon Lattimore),1.33,1.2,18.0,2022,261
2.0,4:41,2.0,7.0,CAR 39,0.0,7.0,D'Onta Foreman left end for 6 yards (tackle by Cameron Jordan and Shy Tuttle),1.2,1.29,18.0,2022,261
2.0,3:57,3.0,1.0,CAR 45,0.0,7.0,Sam Darnold pass complete short left to Tommy Tremble for 2 yards (tackle by Daniel Sorensen),1.29,2.06,18.0,2022,261
2.0,3:16,1.0,10.0,CAR 47,0.0,7.0,"Sam Darnold pass incomplete short left intended for D.J. Moore. Penalty on Carl Granderson: Defensive Offside, 5 yards (accepted) (no play)",2.06,2.79,18.0,2022,261
2.0,3:14,1.0,5.0,NOR 48,0.0,7.0,D'Onta Foreman right guard for 1 yard (tackle by Marshon Lattimore),2.79,2.33,18.0,2022,261
2.0,2:35,2.0,4.0,NOR 47,0.0,7.0,D'Onta Foreman left end for 2 yards (tackle by Carl Granderson),2.33,1.88,18.0,2022,261
2.0,2:00,3.0,2.0,NOR 45,0.0,7.0,Chuba Hubbard left guard for 3 yards (tackle by Cameron Jordan),1.88,2.79,18.0,2022,261
2.0,1:25,1.0,10.0,NOR 42,0.0,7.0,Chuba Hubbard left tackle for 8 yards (tackle by Tyrann Mathieu and Demario Davis),2.79,3.32,18.0,2022,261
2.0,0:59,2.0,2.0,NOR 34,0.0,7.0,Sam Darnold pass incomplete short right intended for Chuba Hubbard (defended by Shy Tuttle),3.32,2.61,18.0,2022,261
2.0,0:54,3.0,2.0,NOR 34,0.0,7.0,Chuba Hubbard right guard for 5 yards (tackle by Alontae Taylor),2.61,3.58,18.0,2022,261
2.0,0:48,,,,,,Timeout #1 by Carolina Panthers,,,18.0,2022,261
2.0,0:48,1.0,10.0,NOR 30,0.0,7.0,Sam Darnold pass incomplete deep left,3.58,3.1,18.0,2022,261
2.0,0:40,2.0,10.0,NOR 29,0.0,7.0,Sam Darnold pass deep left intended for D.J. Moore is intercepted by Tyrann Mathieu at NO-2 and returned for 41 yards (tackle by Terrace Marshall),3.1,-1.8,18.0,2022,261
2.0,0:27,1.0,10.0,NOR 43,0.0,7.0,Andy Dalton pass incomplete deep middle intended for Chris Olave,1.8,1.25,18.0,2022,261
2.0,0:21,2.0,10.0,NOR 43,0.0,7.0,Andy Dalton pass complete short middle to Juwan Johnson for 21 yards (tackle by Xavier Woods),1.25,3.18,18.0,2022,261
2.0,0:16,,,,,,Timeout #1 by New Orleans Saints,,,18.0,2022,261
2.0,0:16,1.0,10.0,CAR 36,0.0,7.0,"Andy Dalton pass complete short right to Chris Olave for 12 yards. Chris Olave fumbles (forced by C.J. Henderson), recovered by Xavier Woods at CAR-19 and returned for 30 yards (tackle by Juwan Johnson)",3.18,-2.19,18.0,2022,261
2.0,0:03,1.0,10.0,CAR 49,0.0,7.0,Sam Darnold sacked by J.T. Gray for -8 yards,2.19,0.57,18.0,2022,261
3.0,15:00,,,NOR 35,0.0,7.0,"Wil Lutz kicks off 65 yards, returned by Raheem Blackshear for 18 yards (tackle by J.T. Gray)",0.0,0.04,18.0,2022,261
3.0,14:56,1.0,10.0,CAR 18,0.0,7.0,Sam Darnold pass incomplete short right,0.04,-0.49,18.0,2022,261
3.0,14:52,2.0,10.0,CAR 18,0.0,7.0,D'Onta Foreman left end for 21 yards (tackle by Daniel Sorensen),-0.49,1.53,18.0,2022,261
3.0,14:12,1.0,10.0,CAR 39,0.0,7.0,D'Onta Foreman left guard for 11 yards (tackle by Daniel Sorensen),1.53,2.26,18.0,2022,261
3.0,13:31,1.0,10.0,CAR 50,0.0,7.0,Chuba Hubbard left end for 7 yards (tackle by Tanoh Kpassagnon and Marshon Lattimore),2.26,2.66,18.0,2022,261
3.0,12:50,2.0,3.0,NOR 43,0.0,7.0,Sam Darnold pass complete short right to Laviska Shenault for 8 yards (tackle by Marshon Lattimore and Demario Davis),2.66,3.25,18.0,2022,261
3.0,12:08,1.0,10.0,NOR 35,0.0,7.0,D'Onta Foreman right guard for 1 yard (tackle by Marcus Davenport),3.25,2.84,18.0,2022,261
3.0,11:56,2.0,9.0,NOR 34,0.0,7.0,"Penalty on Marcus Davenport: Disqualification / Defense, 15 yards (offset) Penalty on D'Onta Foreman: Disqualification / Offense, 15 yards (offset) (no play)",2.84,2.84,18.0,2022,261
3.0,11:36,2.0,9.0,NOR 34,0.0,7.0,Chuba Hubbard left guard for 5 yards (tackle by Demario Davis and Daniel Sorensen),2.84,2.81,18.0,2022,261
3.0,10:54,3.0,4.0,NOR 29,0.0,7.0,Sam Darnold pass complete short left to D.J. Moore for 10 yards,2.81,4.31,18.0,2022,261
3.0,10:15,1.0,10.0,NOR 19,0.0,7.0,Chuba Hubbard right guard for 6 yards (tackle by Tyrann Mathieu),4.31,4.72,18.0,2022,261
3.0,9:38,2.0,4.0,NOR 13,0.0,7.0,Chuba Hubbard left tackle for 2 yards (tackle by Shy Tuttle),4.72,4.43,18.0,2022,261
3.0,8:54,3.0,2.0,NOR 11,0.0,7.0,Chuba Hubbard right guard for 2 yards (tackle by Tanoh Kpassagnon),4.43,5.14,18.0,2022,261
3.0,8:19,1.0,9.0,NOR 9,0.0,7.0,Chuba Hubbard right guard for -1 yards (tackle by Cameron Jordan and Kentavius Street),5.14,4.19,18.0,2022,261
3.0,7:37,2.0,10.0,NOR 10,0.0,7.0,Chuba Hubbard left end for 7 yards (tackle by Shy Tuttle),4.19,4.72,18.0,2022,261
3.0,6:52,3.0,3.0,NOR 3,6.0,7.0,"Sam Darnold left tackle for 2 yards. Sam Darnold fumbles (forced by Tyrann Mathieu), recovered by Michael Jordan in end zone, touchdown",4.72,7.0,18.0,2022,261
3.0,6:45,,,NOR 15,7.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,18.0,2022,261
3.0,6:45,,,CAR 35,7.0,7.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,261
3.0,6:45,1.0,10.0,NOR 25,7.0,7.0,Andy Dalton pass complete short right to Tre'Quan Smith for 6 yards (tackle by Josh Norman),0.61,0.87,18.0,2022,261
3.0,6:04,2.0,4.0,NOR 31,7.0,7.0,Taysom Hill left end for 1 yard (tackle by Josh Norman),0.87,0.3,18.0,2022,261
3.0,5:17,3.0,3.0,NOR 32,7.0,7.0,Andy Dalton pass incomplete short right intended for Chris Olave (defended by Jeremy Chinn),0.3,-1.24,18.0,2022,261
3.0,5:11,4.0,3.0,NOR 32,7.0,7.0,"Blake Gillikin punts 68 yards, touchback.",-1.24,-0.28,18.0,2022,261
3.0,5:04,1.0,10.0,CAR 20,7.0,7.0,Chuba Hubbard left guard for no gain (tackle by Carl Granderson),0.28,-0.27,18.0,2022,261
3.0,4:21,2.0,10.0,CAR 20,7.0,7.0,Raheem Blackshear right guard for 1 yard (tackle by Pete Werner and Carl Granderson),-0.27,-0.82,18.0,2022,261
3.0,3:35,3.0,9.0,CAR 21,7.0,7.0,Chuba Hubbard right guard for 7 yards (tackle by David Onyemata and Kaden Elliss),-0.82,-1.5,18.0,2022,261
3.0,2:47,4.0,2.0,CAR 28,7.0,7.0,"Johnny Hekker punts 45 yards, fair catch by Rashid Shaheed at NO-27",-1.5,-0.74,18.0,2022,261
3.0,2:40,1.0,10.0,NOR 27,7.0,7.0,Alvin Kamara left guard for 8 yards (tackle by Josh Norman),0.74,1.28,18.0,2022,261
3.0,2:04,2.0,2.0,NOR 35,7.0,7.0,Alvin Kamara right tackle for 1 yard (tackle by Derrick Brown and Frankie Luvu),1.28,0.7,18.0,2022,261
3.0,1:25,3.0,1.0,NOR 36,7.0,7.0,"Andy Dalton up the middle for no gain NOR challenged the short of the line to gain ruling, and the original play was overturned. Andy Dalton up the middle for 2 yards (tackle by Amare Barno and Frankie Luvu)",0.7,1.47,18.0,2022,261
3.0,1:05,1.0,10.0,NOR 38,7.0,7.0,Alvin Kamara left guard for 3 yards (tackle by Shaq Thompson and Henry Anderson),1.47,1.33,18.0,2022,261
3.0,0:32,2.0,7.0,NOR 41,7.0,7.0,Andy Dalton pass complete short left to Chris Olave for 5 yards (tackle by C.J. Henderson),1.33,1.29,18.0,2022,261
4.0,15:00,3.0,2.0,NOR 46,7.0,7.0,Andy Dalton pass complete short right to Taysom Hill for 1 yard (tackle by Amare Barno),1.29,-0.26,18.0,2022,261
4.0,14:19,4.0,1.0,NOR 47,7.0,7.0,"Penalty on Derrick Brown: Encroachment, 5 yards (accepted) (no play)",-0.26,2.39,18.0,2022,261
4.0,13:56,1.0,10.0,CAR 48,7.0,7.0,"Alvin Kamara left end for no gain (tackle by Cory Littleton and Frankie Luvu). Penalty on Adam Trautman: Offensive Holding, 10 yards (accepted) (no play)",2.39,1.73,18.0,2022,261
4.0,13:27,1.0,20.0,NOR 42,7.0,7.0,Andy Dalton pass incomplete deep right intended for Chris Olave,1.73,0.5,18.0,2022,261
4.0,13:21,2.0,20.0,NOR 42,7.0,7.0,Andy Dalton pass complete short right to Chris Olave for 11 yards (tackle by C.J. Henderson),0.5,1.29,18.0,2022,261
4.0,12:39,3.0,9.0,CAR 47,7.0,7.0,Andy Dalton sacked by Amare Barno for -10 yards,1.29,-0.52,18.0,2022,261
4.0,11:59,4.0,19.0,NOR 43,7.0,7.0,"Blake Gillikin punts 37 yards, fair catch by Andre Roberts at CAR-20",-0.52,-0.28,18.0,2022,261
4.0,11:53,1.0,10.0,CAR 20,7.0,7.0,Chuba Hubbard left end for 6 yards (tackle by Demario Davis),0.28,0.54,18.0,2022,261
4.0,11:19,2.0,4.0,CAR 26,7.0,7.0,Chuba Hubbard right guard for 1 yard (tackle by Demario Davis and Kaden Elliss),0.54,-0.03,18.0,2022,261
4.0,10:35,3.0,3.0,CAR 27,7.0,7.0,Sam Darnold scrambles left end for 11 yards (tackle by Tyrann Mathieu),-0.03,1.47,18.0,2022,261
4.0,9:51,1.0,10.0,CAR 38,7.0,7.0,Chuba Hubbard left guard for 3 yards (tackle by Tyrann Mathieu and Shy Tuttle),1.47,1.33,18.0,2022,261
4.0,9:11,2.0,7.0,CAR 41,7.0,7.0,Chuba Hubbard left guard for 3 yards (tackle by Cameron Jordan),1.33,1.02,18.0,2022,261
4.0,8:30,3.0,4.0,CAR 44,7.0,7.0,Sam Darnold pass incomplete short left,1.02,-0.46,18.0,2022,261
4.0,8:22,4.0,4.0,CAR 44,7.0,7.0,"Johnny Hekker punts 41 yards, fair catch by Rashid Shaheed at NO-15",-0.46,0.22,18.0,2022,261
4.0,8:16,1.0,10.0,NOR 15,7.0,7.0,Alvin Kamara right guard for no gain (tackle by Shaq Thompson),-0.22,-0.71,18.0,2022,261
4.0,7:38,2.0,10.0,NOR 15,7.0,7.0,Andy Dalton pass complete short right to David Johnson for 7 yards (tackle by Shaq Thompson and Frankie Luvu),-0.71,-0.51,18.0,2022,261
4.0,7:05,3.0,3.0,NOR 22,7.0,7.0,Andy Dalton pass incomplete short left intended for Chris Olave,-0.51,-1.9,18.0,2022,261
4.0,7:02,4.0,3.0,NOR 22,7.0,7.0,"Blake Gillikin punts 39 yards, returned by Andre Roberts for 2 yards. Andre Roberts fumbles (forced by Andrew Dowell), recovered by Giovanni Ricci at CAR-41 (tackle by Zach Wood)",-1.9,-1.66,18.0,2022,261
4.0,6:50,1.0,10.0,CAR 41,7.0,7.0,Chuba Hubbard right tackle for -2 yards (tackle by Demario Davis),1.66,0.85,18.0,2022,261
4.0,6:09,2.0,12.0,CAR 39,7.0,7.0,Chuba Hubbard right tackle for 1 yard (tackle by Tanoh Kpassagnon),0.85,0.3,18.0,2022,261
4.0,5:32,3.0,11.0,CAR 40,7.0,7.0,"Sam Darnold aborted snap, recovered by Sam Darnold at CAR-34 Sam Darnold for no gain (tackle by Tyrann Mathieu)",0.3,-0.72,18.0,2022,261
4.0,4:56,4.0,11.0,CAR 40,7.0,7.0,"Johnny Hekker punts 50 yards, fair catch by Rashid Shaheed at NO-10",-0.72,0.38,18.0,2022,261
4.0,4:49,1.0,10.0,NOR 10,7.0,7.0,Alvin Kamara right guard for 9 yards (tackle by Josh Norman),-0.38,0.24,18.0,2022,261
4.0,4:11,2.0,1.0,NOR 19,7.0,7.0,Alvin Kamara right guard for 6 yards (tackle by Myles Hartsfield and Bravvion Roy),0.24,0.61,18.0,2022,261
4.0,3:36,1.0,10.0,NOR 25,7.0,7.0,Andy Dalton pass complete short right to Adam Trautman for 18 yards (tackle by Myles Hartsfield),0.61,1.8,18.0,2022,261
4.0,2:56,1.0,10.0,NOR 43,7.0,7.0,Alvin Kamara right end for 6 yards (tackle by Shaq Thompson),1.8,2.06,18.0,2022,261
4.0,2:11,2.0,4.0,NOR 49,7.0,7.0,Alvin Kamara left guard for no gain (tackle by Derrick Brown and Shaq Thompson),2.06,1.35,18.0,2022,261
4.0,2:00,3.0,4.0,NOR 49,7.0,7.0,Andy Dalton pass incomplete short right intended for Rashid Shaheed,1.35,-0.13,18.0,2022,261
4.0,1:57,4.0,4.0,NOR 49,7.0,7.0,Blake Gillikin punts 38 yards downed by Andrew Dowell,-0.13,0.32,18.0,2022,261
4.0,1:47,1.0,10.0,CAR 13,7.0,7.0,Sam Darnold pass deep right intended for D.J. Moore is intercepted by Daniel Sorensen at CAR-49 and returned for 14 yards (tackle by Shi Smith),-0.32,-3.25,18.0,2022,261
4.0,1:36,1.0,10.0,CAR 35,7.0,7.0,Alvin Kamara left tackle for no gain (tackle by Bravvion Roy and Derrick Brown),3.25,2.7,18.0,2022,261
4.0,1:33,,,,,,Timeout #1 by New Orleans Saints,,,18.0,2022,261
4.0,1:33,2.0,10.0,CAR 35,7.0,7.0,Taysom Hill right tackle for -2 yards (tackle by Frankie Luvu and Cory Littleton),2.7,1.75,18.0,2022,261
4.0,1:28,,,,,,Timeout #1 by Carolina Panthers,,,18.0,2022,261
4.0,1:28,3.0,12.0,CAR 37,7.0,7.0,Andy Dalton pass incomplete deep right intended for Chris Olave,1.75,0.79,18.0,2022,261
4.0,1:24,4.0,12.0,CAR 37,7.0,7.0,Wil Lutz 55 yard field goal no good blocked by C.J. Henderson,0.79,-1.93,18.0,2022,261
4.0,1:20,1.0,10.0,CAR 45,7.0,7.0,Sam Darnold sacked by David Onyemata for -3 yards,1.93,0.98,18.0,2022,261
4.0,0:56,2.0,13.0,CAR 42,7.0,7.0,Sam Darnold scrambles left end for 13 yards (tackle by Marshon Lattimore),0.98,2.59,18.0,2022,261
4.0,0:24,1.0,10.0,NOR 45,7.0,7.0,Sam Darnold pass incomplete short left intended for Shi Smith (defended by Bradley Roby),2.59,2.04,18.0,2022,261
4.0,0:19,2.0,10.0,NOR 45,7.0,7.0,Sam Darnold pass complete short middle to Terrace Marshall for 21 yards (tackle by Marshon Lattimore and Tyrann Mathieu),2.04,3.97,18.0,2022,261
4.0,0:11,,,,,,Timeout #2 by Carolina Panthers,,,18.0,2022,261
4.0,0:11,1.0,10.0,NOR 24,7.0,7.0,Chuba Hubbard right guard for no gain (tackle by Cameron Jordan and Pete Werner),3.97,3.43,18.0,2022,261
4.0,0:03,,,,,,Timeout #3 by Carolina Panthers,,,18.0,2022,261
4.0,0:03,,,,,,Timeout #2 by New Orleans Saints,,,18.0,2022,261
4.0,0:03,2.0,10.0,NOR 24,10.0,7.0,Eddy Pineiro 42 yard field goal good,3.43,3.0,18.0,2022,261
