Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA,week,year,game_id
1.0,10:32,1.0,10.0,HOU 38,0.0,0.0,Isiah Pacheco left guard for 3 yards (tackle by Tommy Togiai),3.05,2.91,16.0,2024,226
1.0,9:48,2.0,7.0,HOU 35,0.0,0.0,"Patrick Mahomes pass complete short left to Isiah Pacheco for 1 yard (tackle by Henry To'oTo'o). Penalty on Trey Smith: Offensive Holding, 10 yards (accepted) (no play)",2.91,1.56,16.0,2024,226
1.0,9:34,2.0,17.0,HOU 45,0.0,0.0,Patrick Mahomes pass complete short left to Xavier Worthy for 4 yards (tackle by Eric Murray),1.56,1.42,16.0,2024,226
1.0,8:51,3.0,13.0,HOU 41,0.0,0.0,Patrick Mahomes scrambles left end for 12 yards (tackle by Jimmie Ward),1.42,1.62,16.0,2024,226
1.0,8:07,4.0,1.0,HOU 29,0.0,0.0,Patrick Mahomes pass complete short left to Marquise Brown for 12 yards (tackle by Calen Bullock),1.62,4.44,16.0,2024,226
1.0,7:26,1.0,10.0,HOU 17,0.0,0.0,Xavier Worthy right end for 2 yards (tackle by Danielle Hunter),4.44,4.15,16.0,2024,226
1.0,6:39,2.0,8.0,HOU 15,0.0,6.0,"Patrick Mahomes scrambles up the middle for 15 yards, touchdown",4.15,7.0,16.0,2024,226
1.0,6:31,,,HOU 15,0.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,16.0,2024,226
1.0,6:31,,,KAN 35,0.0,7.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,226
1.0,6:31,1.0,10.0,HOU 30,0.0,7.0,C.J. Stroud pass complete short middle to Nico Collins for 13 yards (tackle by Joshua Williams),0.94,1.8,16.0,2024,226
1.0,6:14,1.0,10.0,HOU 43,0.0,7.0,C.J. Stroud pass complete deep left to Tank Dell for 20 yards (tackle by Bryan Cook),1.8,3.12,16.0,2024,226
1.0,5:29,1.0,10.0,KAN 37,0.0,7.0,Joe Mixon left end for 22 yards (tackle by Bryan Cook),3.12,4.58,16.0,2024,226
1.0,4:45,1.0,10.0,KAN 15,0.0,7.0,C.J. Stroud pass complete short middle to Robert Woods for 4 yards (tackle by Nick Bolton),4.58,4.64,16.0,2024,226
1.0,3:58,2.0,6.0,KAN 11,0.0,7.0,C.J. Stroud pass complete short left to Nico Collins for -4 yards (tackle by Justin Reid),4.64,3.1,16.0,2024,226
1.0,3:14,3.0,10.0,KAN 15,0.0,7.0,C.J. Stroud pass incomplete short left intended for Dalton Schultz,3.1,2.44,16.0,2024,226
1.0,3:12,4.0,10.0,KAN 15,3.0,7.0,Ka'imi Fairbairn 33 yard field goal good,2.44,3.0,16.0,2024,226
1.0,3:08,,,HOU 35,3.0,7.0,"Ka'imi Fairbairn kicks off 58 yards, returned by Nikko Remigio for 29 yards (tackle by Del'Shawn Phillips)",0.0,1.33,16.0,2024,226
1.0,3:01,1.0,10.0,KAN 36,3.0,7.0,Kareem Hunt left end for 5 yards (tackle by Christian Harris and Jimmie Ward),1.33,1.47,16.0,2024,226
1.0,2:24,2.0,5.0,KAN 41,3.0,7.0,Patrick Mahomes sacked by Christian Harris for -9 yards,1.47,-0.43,16.0,2024,226
1.0,1:39,3.0,14.0,KAN 32,3.0,7.0,"Patrick Mahomes pass complete short right to Travis Kelce for 1 yard (tackle by Kamari Lassiter). Penalty on Trey Smith: Offensive Holding, 10 yards (declined)",-0.43,-1.18,16.0,2024,226
1.0,1:23,4.0,12.0,KAN 33,3.0,7.0,"Matt Araiza punts 49 yards, fair catch by Robert Woods at HOU-18",-1.18,-0.04,16.0,2024,226
1.0,1:14,1.0,10.0,HOU 18,3.0,7.0,"C.J. Stroud pass incomplete deep right intended for Andrew Beck. Penalty on Nico Collins: Offensive Offside, 5 yards (declined)",0.04,-0.49,16.0,2024,226
1.0,1:09,2.0,10.0,HOU 18,3.0,7.0,Dameon Pierce left end for 4 yards (tackle by Jaden Hicks and Michael Danna),-0.49,-0.66,16.0,2024,226
1.0,0:24,3.0,6.0,HOU 22,3.0,7.0,C.J. Stroud pass complete deep left to Nico Collins for 30 yards (tackle by Joshua Williams and Jaden Hicks),-0.66,2.39,16.0,2024,226
2.0,15:00,1.0,10.0,KAN 48,3.0,7.0,Joe Mixon right end for 4 yards (tackle by Justin Reid and Trent McDuffie),2.39,2.39,16.0,2024,226
2.0,14:18,2.0,6.0,KAN 44,3.0,7.0,C.J. Stroud pass incomplete deep middle intended for Tank Dell (defended by Nazeeh Johnson),2.39,1.69,16.0,2024,226
2.0,14:10,3.0,6.0,KAN 44,3.0,7.0,C.J. Stroud pass complete short left to Xavier Hutchinson for 8 yards (tackle by Trent McDuffie),1.69,3.18,16.0,2024,226
2.0,13:40,1.0,10.0,KAN 36,3.0,7.0,Joe Mixon up the middle for -1 yards (tackle by Christian Roland-Wallace),3.18,2.5,16.0,2024,226
2.0,13:01,2.0,11.0,KAN 37,3.0,7.0,C.J. Stroud pass complete short right to Robert Woods for -2 yards (tackle by Nazeeh Johnson),2.5,1.55,16.0,2024,226
2.0,12:30,3.0,13.0,KAN 39,3.0,7.0,C.J. Stroud pass complete short right to Tank Dell for 16 yards (tackle by Justin Reid),1.55,4.04,16.0,2024,226
2.0,12:20,1.0,10.0,KAN 23,3.0,7.0,C.J. Stroud pass complete short right to Nico Collins for 8 yards (tackle by Trent McDuffie),4.04,4.75,16.0,2024,226
2.0,11:35,2.0,2.0,KAN 15,3.0,7.0,Joe Mixon up the middle for 1 yard (tackle by George Karlaftis),4.75,4.28,16.0,2024,226
2.0,10:56,3.0,1.0,KAN 14,3.0,7.0,Joe Mixon left end for 4 yards (tackle by Chris Jones and Keith Taylor),4.28,4.91,16.0,2024,226
2.0,10:16,1.0,10.0,KAN 10,9.0,7.0,"C.J. Stroud pass complete short right to Dalton Schultz for 10 yards, touchdown",4.91,7.0,16.0,2024,226
2.0,10:09,,,KAN 15,10.0,7.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,16.0,2024,226
2.0,10:09,,,HOU 35,10.0,7.0,"Ka'imi Fairbairn kicks off 68 yards, returned by Nikko Remigio for 21 yards (tackle by Dare Ogunbowale)",0.0,0.04,16.0,2024,226
2.0,10:04,1.0,10.0,KAN 18,10.0,7.0,Isiah Pacheco right guard for 4 yards (tackle by Henry To'oTo'o),0.04,0.14,16.0,2024,226
2.0,9:26,2.0,6.0,KAN 22,10.0,7.0,Isiah Pacheco up the middle for -1 yards (tackle by Kurt Hinish and Eric Murray),0.14,-0.79,16.0,2024,226
2.0,8:48,3.0,7.0,KAN 21,10.0,7.0,Patrick Mahomes pass complete short left to Marquise Brown for 20 yards (tackle by Eric Murray),-0.79,1.66,16.0,2024,226
2.0,8:08,1.0,10.0,KAN 41,10.0,7.0,Patrick Mahomes pass incomplete short left intended for Isiah Pacheco,1.66,1.12,16.0,2024,226
2.0,8:04,2.0,10.0,KAN 41,10.0,7.0,"Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster. Penalty on Derek Barnett: Roughing the Passer, 15 yards (accepted) (no play)",1.12,2.65,16.0,2024,226
2.0,8:01,1.0,10.0,HOU 44,10.0,7.0,Xavier Worthy left end for 1 yard (tackle by Kamari Lassiter),2.65,2.25,16.0,2024,226
2.0,7:25,2.0,9.0,HOU 43,10.0,7.0,Patrick Mahomes pass complete short left to Marquise Brown for 6 yards (tackle by Eric Murray),2.25,2.35,16.0,2024,226
2.0,6:47,3.0,3.0,HOU 37,10.0,7.0,"Patrick Mahomes pass incomplete short middle intended for Travis Kelce. Penalty on Jimmie Ward: Defensive Holding, 5 yards (accepted) (no play)",2.35,3.45,16.0,2024,226
2.0,6:41,1.0,10.0,HOU 32,10.0,7.0,Patrick Mahomes pass incomplete deep middle intended for Justin Watson,3.45,2.9,16.0,2024,226
2.0,6:36,2.0,10.0,HOU 32,10.0,7.0,Patrick Mahomes pass incomplete deep right intended for Marquise Brown,2.9,2.21,16.0,2024,226
2.0,6:30,3.0,10.0,HOU 32,10.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 14 yards (tackle by Eric Murray),2.21,4.37,16.0,2024,226
2.0,5:49,,,,,,Timeout #1 by Kansas City Chiefs,,,16.0,2024,226
2.0,5:49,1.0,10.0,HOU 18,10.0,7.0,Patrick Mahomes pass complete short left to Xavier Worthy for 4 yards (tackle by Kamari Lassiter and Jimmie Ward),4.37,4.43,16.0,2024,226
2.0,5:18,2.0,6.0,HOU 14,10.0,7.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,4.43,3.63,16.0,2024,226
2.0,5:15,3.0,6.0,HOU 14,10.0,7.0,Patrick Mahomes pass complete short right to Xavier Worthy for 11 yards (tackle by Derek Stingley),3.63,6.51,16.0,2024,226
2.0,4:42,1.0,3.0,HOU 3,10.0,13.0,"Kareem Hunt right guard for 3 yards, touchdown",6.51,7.0,16.0,2024,226
2.0,4:38,,,HOU 15,10.0,14.0,Harrison Butker kicks extra point good,0.0,0.0,16.0,2024,226
2.0,4:38,,,KAN 35,10.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,226
2.0,4:38,1.0,10.0,HOU 30,10.0,14.0,Joe Mixon up the middle for 5 yards (tackle by Drue Tranquill),0.94,1.07,16.0,2024,226
2.0,3:57,2.0,5.0,HOU 35,10.0,14.0,C.J. Stroud pass complete short left to Dalton Schultz for 2 yards (tackle by Leo Chenal),1.07,0.63,16.0,2024,226
2.0,3:14,3.0,3.0,HOU 37,10.0,14.0,C.J. Stroud pass complete short left to Tank Dell for 6 yards (tackle by Joshua Williams),0.63,1.8,16.0,2024,226
2.0,2:30,1.0,10.0,HOU 43,10.0,14.0,C.J. Stroud pass complete short middle to Tank Dell for 13 yards (tackle by Drue Tranquill),1.8,2.65,16.0,2024,226
2.0,2:00,1.0,10.0,KAN 44,10.0,14.0,C.J. Stroud pass complete short left to Joe Mixon for 14 yards (tackle by Drue Tranquill),2.65,3.58,16.0,2024,226
2.0,1:15,1.0,10.0,KAN 30,10.0,14.0,"C.J. Stroud pass complete short right to Joe Mixon for no gain (tackle by Nick Bolton and Nazeeh Johnson). Penalty on Tank Dell: Offensive Pass Interference, 10 yards (accepted) (no play)",3.58,2.92,16.0,2024,226
2.0,1:06,1.0,20.0,KAN 40,10.0,14.0,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale,2.92,1.68,16.0,2024,226
2.0,1:02,2.0,20.0,KAN 40,10.0,14.0,C.J. Stroud pass incomplete deep right intended for Robert Woods,1.68,1.02,16.0,2024,226
2.0,0:54,,,,,,Timeout #1 by Houston Texans,,,16.0,2024,226
2.0,0:54,3.0,20.0,KAN 40,10.0,14.0,C.J. Stroud pass short middle intended for Nico Collins is intercepted by Trent McDuffie at KC-35 and returned for no gain (tackle by Nico Collins),1.02,-1.27,16.0,2024,226
2.0,0:52,1.0,10.0,KAN 35,10.0,14.0,Patrick Mahomes pass complete short left to Samaje Perine for 36 yards (tackle by Calen Bullock),1.27,3.64,16.0,2024,226
2.0,0:45,1.0,10.0,HOU 29,10.0,14.0,"Patrick Mahomes sacked by Mario Edwards for no gain. Penalty on Derek Stingley: Defensive Holding, 5 yards (accepted) (no play)",3.64,3.97,16.0,2024,226
2.0,0:39,1.0,10.0,HOU 24,10.0,14.0,"Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Derek Stingley) Replay Assistant challenged the pass completion ruling, and the play was upheld.",3.97,3.43,16.0,2024,226
2.0,0:33,2.0,10.0,HOU 24,10.0,14.0,Patrick Mahomes pass complete short right to Samaje Perine for -2 yards (tackle by Henry To'oTo'o),3.43,2.48,16.0,2024,226
2.0,0:28,,,,,,Timeout #2 by Kansas City Chiefs,,,16.0,2024,226
2.0,0:28,3.0,12.0,HOU 26,10.0,14.0,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster (defended by Kamari Lassiter),2.48,1.74,16.0,2024,226
2.0,0:24,4.0,12.0,HOU 26,10.0,17.0,Harrison Butker 44 yard field goal good,1.74,3.0,16.0,2024,226
2.0,0:19,,,KAN 35,10.0,17.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,226
2.0,0:19,1.0,10.0,HOU 30,10.0,17.0,C.J. Stroud scrambles left end for 12 yards (tackle by Leo Chenal),0.94,1.73,16.0,2024,226
2.0,0:11,1.0,10.0,HOU 42,10.0,17.0,C.J. Stroud scrambles up the middle for 11 yards (tackle by Leo Chenal),1.73,2.46,16.0,2024,226
2.0,0:03,,,,,,Timeout #2 by Houston Texans,,,16.0,2024,226
2.0,0:03,1.0,10.0,KAN 47,10.0,17.0,C.J. Stroud pass incomplete deep right (defended by Joshua Williams),2.46,1.91,16.0,2024,226
3.0,15:00,,,HOU 35,10.0,17.0,"Ka'imi Fairbairn kicks off 62 yards, returned by Nikko Remigio for 17 yards (tackle by Jamal Hill and Xavier Hutchinson). Penalty on Deon Bush: Defensive Holding, 10 yards (accepted)",0.0,-0.38,16.0,2024,226
3.0,14:53,1.0,10.0,KAN 10,10.0,17.0,Isiah Pacheco right guard for 3 yards (tackle by Tim Settle and Henry To'oTo'o),-0.38,-0.56,16.0,2024,226
3.0,14:19,2.0,7.0,KAN 13,10.0,17.0,Isiah Pacheco right guard for 8 yards (tackle by Mario Edwards and Eric Murray),-0.56,0.34,16.0,2024,226
3.0,13:44,1.0,10.0,KAN 21,10.0,17.0,Patrick Mahomes pass incomplete short left intended for Marquise Brown,0.34,-0.2,16.0,2024,226
3.0,13:39,2.0,10.0,KAN 21,10.0,17.0,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,-0.2,-0.89,16.0,2024,226
3.0,13:32,3.0,10.0,KAN 21,10.0,17.0,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Kamari Lassiter),-0.89,-1.96,16.0,2024,226
3.0,13:26,4.0,10.0,KAN 21,10.0,17.0,"Matt Araiza punts 41 yards, returned by Tank Dell for 12 yards (tackle by Noah Gray)",-1.96,-2.26,16.0,2024,226
3.0,13:16,1.0,10.0,KAN 50,10.0,17.0,C.J. Stroud pass incomplete deep right intended for Nico Collins (defended by Justin Reid),2.26,1.71,16.0,2024,226
3.0,13:09,,,,,,Timeout #1 by Houston Texans,,,16.0,2024,226
3.0,13:09,2.0,10.0,KAN 50,10.0,17.0,"C.J. Stroud pass complete short right to Robert Woods for 17 yards. Robert Woods fumbles, ball out of bounds at KC-33 (forced by Nick Bolton). Robert Woods fumbles out of bounds",1.71,3.38,16.0,2024,226
3.0,12:26,1.0,10.0,KAN 33,10.0,17.0,Joe Mixon up the middle for 3 yards (tackle by Drue Tranquill),3.38,3.24,16.0,2024,226
3.0,11:48,2.0,7.0,KAN 30,16.0,17.0,"C.J. Stroud pass complete deep left to Tank Dell for 30 yards, touchdown",3.24,7.0,16.0,2024,226
3.0,11:40,,,KAN 15,16.0,17.0,Ka'imi Fairbairn kicks extra point no good,0.0,-1.0,16.0,2024,226
3.0,11:40,,,HOU 35,16.0,17.0,"Ka'imi Fairbairn kicks off 61 yards, returned by Nikko Remigio for 36 yards (tackle by Myles Bryant)",0.0,1.6,16.0,2024,226
3.0,11:34,1.0,10.0,KAN 40,16.0,17.0,Patrick Mahomes pass complete short left to Isiah Pacheco for -1 yards (tackle by Tommy Togiai),1.6,0.92,16.0,2024,226
3.0,10:55,2.0,11.0,KAN 39,16.0,17.0,Patrick Mahomes pass complete short left to Noah Gray for 10 yards (tackle by Jeff Okudah and Henry To'oTo'o),0.92,1.55,16.0,2024,226
3.0,10:31,3.0,1.0,KAN 49,16.0,17.0,Isiah Pacheco left guard for no gain (tackle by Neville Hewitt),1.55,-0.13,16.0,2024,226
3.0,9:57,4.0,1.0,KAN 49,16.0,17.0,Isiah Pacheco up the middle for no gain (tackle by Mario Edwards),-0.13,-2.32,16.0,2024,226
3.0,9:54,1.0,10.0,KAN 49,16.0,17.0,Joe Mixon right guard for 2 yards (tackle by Mike Pennel),2.32,2.05,16.0,2024,226
3.0,9:19,2.0,8.0,KAN 47,16.0,17.0,C.J. Stroud pass complete short left to Nico Collins for -1 yards (tackle by Trent McDuffie),2.05,1.22,16.0,2024,226
3.0,8:39,3.0,9.0,KAN 48,16.0,17.0,C.J. Stroud pass incomplete short left intended for Dalton Schultz,1.22,0.07,16.0,2024,226
3.0,8:34,4.0,9.0,KAN 48,16.0,17.0,"Tommy Townsend punts 48 yards, touchback.",0.07,-0.28,16.0,2024,226
3.0,8:26,1.0,10.0,KAN 20,16.0,17.0,Patrick Mahomes pass complete short left to Xavier Worthy for 19 yards (tackle by Christian Harris),0.28,1.53,16.0,2024,226
3.0,7:52,1.0,10.0,KAN 39,16.0,17.0,Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards (tackle by Eric Murray),1.53,1.53,16.0,2024,226
3.0,7:17,2.0,6.0,KAN 43,16.0,17.0,"Kareem Hunt right end for 7 yards (tackle by Christian Harris). Penalty on Danielle Hunter: Defensive Offside, 5 yards (declined)",1.53,2.26,16.0,2024,226
3.0,6:51,1.0,10.0,KAN 50,16.0,17.0,Patrick Mahomes scrambles right end for 8 yards (tackle by Eric Murray),2.26,2.79,16.0,2024,226
3.0,6:15,2.0,2.0,HOU 42,16.0,17.0,Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards (tackle by Eric Murray),2.79,3.05,16.0,2024,226
3.0,5:33,1.0,10.0,HOU 38,16.0,17.0,Patrick Mahomes pass complete short left to Kareem Hunt for 7 yards (tackle by Jeff Okudah),3.05,3.45,16.0,2024,226
3.0,4:51,2.0,3.0,HOU 31,16.0,17.0,Patrick Mahomes pass complete short left to Xavier Worthy for 12 yards (tackle by Jeff Okudah),3.45,4.31,16.0,2024,226
3.0,4:10,1.0,10.0,HOU 19,16.0,17.0,Xavier Worthy right end for 7 yards (tackle by Derek Stingley),4.31,4.92,16.0,2024,226
3.0,3:32,2.0,3.0,HOU 12,16.0,17.0,Kareem Hunt right end for 4 yards (tackle by Will Anderson),4.92,5.37,16.0,2024,226
3.0,2:46,1.0,8.0,HOU 8,16.0,23.0,"Patrick Mahomes pass complete short left to Xavier Worthy for 8 yards, touchdown",5.37,7.0,16.0,2024,226
3.0,2:42,,,HOU 15,16.0,24.0,Harrison Butker kicks extra point good,0.0,0.0,16.0,2024,226
3.0,2:42,,,KAN 35,16.0,24.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,226
3.0,2:42,1.0,10.0,HOU 30,16.0,24.0,C.J. Stroud pass complete short middle to Dalton Schultz for 2 yards (tackle by Drue Tranquill and Mike Pennel),0.94,0.66,16.0,2024,226
3.0,2:13,2.0,8.0,HOU 32,16.0,24.0,Joe Mixon left end for 13 yards (tackle by Justin Reid),0.66,1.93,16.0,2024,226
3.0,1:38,1.0,10.0,HOU 45,16.0,24.0,C.J. Stroud pass incomplete short left intended for Joe Mixon,1.93,1.38,16.0,2024,226
3.0,1:32,2.0,10.0,HOU 45,16.0,24.0,C.J. Stroud pass incomplete short right intended for Robert Woods,1.38,0.7,16.0,2024,226
3.0,1:27,3.0,10.0,HOU 45,16.0,24.0,"Penalty on HOU: Delay of Game, 5 yards (accepted) (no play)",0.7,0.04,16.0,2024,226
3.0,1:27,3.0,15.0,HOU 40,16.0,24.0,C.J. Stroud pass complete short right to Dalton Schultz for 24 yards (tackle by Bryan Cook),0.04,3.18,16.0,2024,226
3.0,0:50,1.0,10.0,KAN 36,16.0,24.0,Joe Mixon up the middle for 2 yards (tackle by Christian Roland-Wallace and Joshua Williams),3.18,2.91,16.0,2024,226
3.0,0:12,2.0,8.0,KAN 34,16.0,24.0,C.J. Stroud pass complete short right to Dalton Schultz for 7 yards (tackle by Nick Bolton),2.91,3.14,16.0,2024,226
4.0,15:00,3.0,1.0,KAN 27,16.0,24.0,Joe Mixon left guard for 3 yards (tackle by Charles Omenihu and Drue Tranquill),3.14,3.97,16.0,2024,226
4.0,14:15,1.0,10.0,KAN 24,16.0,24.0,Joe Mixon left end for -2 yards (tackle by Mike Pennel and Chris Jones),3.97,3.16,16.0,2024,226
4.0,13:39,2.0,12.0,KAN 26,16.0,24.0,C.J. Stroud pass complete deep right to Nico Collins for 16 yards (tackle by Justin Reid),3.16,4.91,16.0,2024,226
4.0,12:52,1.0,10.0,KAN 10,16.0,24.0,C.J. Stroud sacked by Mike Pennel for -5 yards,4.91,3.46,16.0,2024,226
4.0,12:06,2.0,15.0,KAN 15,16.0,24.0,C.J. Stroud pass incomplete short right,3.46,2.93,16.0,2024,226
4.0,12:00,3.0,15.0,KAN 15,16.0,24.0,"Penalty on HOU: Delay of Game, 5 yards (accepted) (no play)",2.93,2.34,16.0,2024,226
4.0,12:00,3.0,20.0,KAN 20,16.0,24.0,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale (defended by George Karlaftis),2.34,2.12,16.0,2024,226
4.0,11:56,4.0,20.0,KAN 20,19.0,24.0,Ka'imi Fairbairn 38 yard field goal good,2.12,3.0,16.0,2024,226
4.0,11:51,,,HOU 35,19.0,24.0,"Ka'imi Fairbairn kicks off 60 yards, returned by Nikko Remigio for 26 yards (tackle by Jake Hansen and Neville Hewitt)",0.0,1.0,16.0,2024,226
4.0,11:46,1.0,10.0,KAN 31,19.0,24.0,Kareem Hunt right guard for 2 yards (tackle by Tim Settle),1.0,0.73,16.0,2024,226
4.0,11:12,2.0,8.0,KAN 33,19.0,24.0,Patrick Mahomes pass incomplete deep left intended for Marquise Brown,0.73,0.04,16.0,2024,226
4.0,11:06,3.0,8.0,KAN 33,19.0,24.0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 8 yards (tackle by Henry To'oTo'o),0.04,1.66,16.0,2024,226
4.0,10:23,1.0,10.0,KAN 41,19.0,24.0,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,1.66,1.12,16.0,2024,226
4.0,10:15,2.0,10.0,KAN 41,19.0,24.0,Patrick Mahomes pass complete short left to Kareem Hunt for 17 yards (tackle by Henry To'oTo'o),1.12,2.79,16.0,2024,226
4.0,9:39,1.0,10.0,HOU 42,19.0,24.0,Kareem Hunt left tackle for 2 yards (tackle by Denico Autry and Kamari Lassiter),2.79,2.51,16.0,2024,226
4.0,9:04,2.0,8.0,HOU 40,19.0,24.0,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by Henry To'oTo'o and Christian Harris),2.51,2.74,16.0,2024,226
4.0,8:25,,,,,,Timeout #1 by Kansas City Chiefs,,,16.0,2024,226
4.0,8:25,3.0,1.0,HOU 33,19.0,24.0,Kareem Hunt left end for 3 yards (tackle by Danielle Hunter),2.74,3.58,16.0,2024,226
4.0,7:53,1.0,10.0,HOU 30,19.0,24.0,Kareem Hunt up the middle for 1 yard (tackle by Mario Edwards and Tim Settle),3.58,3.17,16.0,2024,226
4.0,7:19,2.0,9.0,HOU 29,19.0,24.0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 15 yards,3.17,4.65,16.0,2024,226
4.0,6:40,1.0,10.0,HOU 14,19.0,24.0,Kareem Hunt up the middle for 2 yards (tackle by Christian Harris),4.65,4.33,16.0,2024,226
4.0,6:04,2.0,8.0,HOU 12,19.0,24.0,Patrick Mahomes pass complete short right to Marquise Brown for 3 yards (tackle by Derek Stingley),4.33,4.05,16.0,2024,226
4.0,5:28,3.0,5.0,HOU 9,19.0,24.0,Patrick Mahomes pass incomplete short middle intended for Xavier Worthy,4.05,2.88,16.0,2024,226
4.0,5:22,4.0,5.0,HOU 9,19.0,27.0,Harrison Butker 27 yard field goal good,2.88,3.0,16.0,2024,226
4.0,5:18,,,KAN 35,19.0,27.0,"Harrison Butker kicks off 70 yards, returned by Robert Woods for 31 yards (tackle by Anthony Firkser)",0.0,0.67,16.0,2024,226
4.0,5:13,1.0,10.0,HOU 26,19.0,27.0,Joe Mixon left end for -1 yards (tackle by Nick Bolton),0.67,-0.01,16.0,2024,226
4.0,4:35,2.0,11.0,HOU 25,19.0,27.0,C.J. Stroud pass incomplete deep left intended for Robert Woods,-0.01,-0.69,16.0,2024,226
4.0,4:27,3.0,11.0,HOU 25,19.0,27.0,C.J. Stroud sacked by Joshua Williams for -12 yards,-0.69,-2.49,16.0,2024,226
4.0,3:50,4.0,23.0,HOU 13,19.0,27.0,"Tommy Townsend punts 57 yards, returned by Nikko Remigio for 9 yards (tackle by M.J. Stewart and Xavier Hutchinson)",-2.49,-1.53,16.0,2024,226
4.0,3:41,1.0,10.0,KAN 39,19.0,27.0,Isiah Pacheco left guard for 2 yards (tackle by Will Anderson),1.53,1.26,16.0,2024,226
4.0,3:36,,,,,,Timeout #2 by Houston Texans,,,16.0,2024,226
4.0,3:36,2.0,8.0,KAN 41,19.0,27.0,Patrick Mahomes pass complete short right to Marquise Brown for 4 yards (tackle by Henry To'oTo'o and Derek Stingley),1.26,1.09,16.0,2024,226
4.0,3:31,,,,,,Timeout #3 by Houston Texans,,,16.0,2024,226
4.0,3:31,3.0,4.0,KAN 45,19.0,27.0,Patrick Mahomes pass complete short right to Samaje Perine for 16 yards (tackle by Calen Bullock),1.09,2.98,16.0,2024,226
4.0,2:47,1.0,10.0,HOU 39,19.0,27.0,Kareem Hunt up the middle for 6 yards (tackle by Neville Hewitt),2.98,3.25,16.0,2024,226
4.0,2:00,2.0,4.0,HOU 33,19.0,27.0,Kareem Hunt up the middle for 20 yards (tackle by Henry To'oTo'o),3.25,4.71,16.0,2024,226
4.0,1:13,1.0,10.0,HOU 13,19.0,27.0,Patrick Mahomes kneels for -1 yards,4.71,3.9,16.0,2024,226
4.0,0:36,2.0,11.0,HOU 14,19.0,27.0,Patrick Mahomes kneels for -1 yards,3.9,3.03,16.0,2024,226
