Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA,week,year,game_id
1.0,8:06,,,MIN 35,7.0,0.0,"Will Reichard kicks off 64 yards, returned by Kenny McIntosh for 31 yards (tackle by Dallas Turner and Kamu Grugier-Hill)",0.0,1.07,16.0,2024,235
1.0,8:01,1.0,10.0,SEA 32,7.0,0.0,Kenneth Walker left guard for 6 yards (tackle by Blake Cashman and Jerry Tillery),1.07,1.34,16.0,2024,235
1.0,7:34,2.0,4.0,SEA 38,7.0,0.0,Kenneth Walker right guard for 2 yards (tackle by Blake Cashman and Camryn Bynum),1.34,0.89,16.0,2024,235
1.0,6:45,3.0,2.0,SEA 40,7.0,0.0,"Penalty on Sataoa Laumea: False Start, 5 yards (accepted) (no play)",0.89,0.23,16.0,2024,235
1.0,6:23,3.0,7.0,SEA 35,7.0,0.0,Geno Smith pass incomplete deep middle intended for Jaxon Smith-Njigba (defended by Camryn Bynum),0.23,-1.04,16.0,2024,235
1.0,6:16,4.0,7.0,SEA 35,7.0,0.0,"Michael Dickson punts 56 yards, fair catch by Brandon Powell at MIN-9",-1.04,0.38,16.0,2024,235
1.0,6:09,1.0,10.0,MIN 9,7.0,0.0,Aaron Jones right guard for 9 yards (tackle by Jarran Reed and Rayshawn Jenkins),-0.38,0.14,16.0,2024,235
1.0,5:35,2.0,1.0,MIN 18,7.0,0.0,Aaron Jones up the middle for 5 yards (tackle by Tyrice Knight),0.14,0.48,16.0,2024,235
1.0,4:57,1.0,10.0,MIN 23,7.0,0.0,Sam Darnold pass complete short left to Justin Jefferson for 7 yards (tackle by Josh Jobe),0.48,0.88,16.0,2024,235
1.0,4:22,2.0,3.0,MIN 30,7.0,0.0,Aaron Jones right guard for 5 yards (tackle by Tyrice Knight),0.88,1.27,16.0,2024,235
1.0,3:41,1.0,10.0,MIN 35,7.0,0.0,Aaron Jones left end for 5 yards (tackle by Devon Witherspoon),1.27,1.4,16.0,2024,235
1.0,3:01,2.0,5.0,MIN 40,7.0,0.0,Sam Darnold pass incomplete short middle intended for Justin Jefferson,1.4,0.7,16.0,2024,235
1.0,2:54,3.0,5.0,MIN 40,7.0,0.0,Sam Darnold pass incomplete short right intended for Jordan Addison (defended by Josh Jobe),0.7,-0.72,16.0,2024,235
1.0,2:46,4.0,5.0,MIN 40,7.0,0.0,"Ryan Wright punts 51 yards, returned by Jaelon Darden for 4 yards (tackle by Trent Sherfield)",-0.72,0.32,16.0,2024,235
1.0,2:38,1.0,10.0,SEA 13,7.0,0.0,Kenneth Walker up the middle for 11 yards (tackle by Stephon Gilmore and Bobby McCain),-0.32,0.54,16.0,2024,235
1.0,2:00,1.0,10.0,SEA 24,7.0,0.0,Geno Smith pass complete short left to Pharaoh Brown for 17 yards (tackle by Blake Cashman),0.54,1.66,16.0,2024,235
1.0,1:22,1.0,10.0,SEA 41,7.0,0.0,Geno Smith pass complete short right to Kenneth Walker for 8 yards (tackle by Byron Murphy and Josh Metellus),1.66,2.2,16.0,2024,235
1.0,0:38,2.0,2.0,SEA 49,7.0,0.0,Geno Smith pass complete short left to Jake Bobo for 6 yards (tackle by Andrew Van Ginkel and Byron Murphy),2.2,2.59,16.0,2024,235
2.0,15:00,1.0,10.0,MIN 45,7.0,0.0,Geno Smith pass complete short right to Noah Fant for 15 yards (tackle by Blake Cashman),2.59,3.58,16.0,2024,235
2.0,14:16,1.0,10.0,MIN 30,7.0,0.0,Jaxon Smith-Njigba right end for 5 yards (tackle by Josh Metellus),3.58,3.71,16.0,2024,235
2.0,13:41,2.0,5.0,MIN 25,7.0,6.0,"Geno Smith pass complete deep right to D.K. Metcalf for 25 yards, touchdown",3.71,7.0,16.0,2024,235
2.0,13:35,,,MIN 15,7.0,7.0,Jason Myers kicks extra point good,0.0,0.0,16.0,2024,235
2.0,13:35,,,SEA 35,7.0,7.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,235
2.0,13:35,1.0,10.0,MIN 30,7.0,7.0,Cam Akers right tackle for 3 yards (tackle by Leonard Williams),0.94,0.8,16.0,2024,235
2.0,12:55,2.0,7.0,MIN 33,7.0,7.0,Sam Darnold pass incomplete short right intended for T.J. Hockenson,0.8,0.1,16.0,2024,235
2.0,12:51,3.0,7.0,MIN 33,7.0,7.0,"Sam Darnold sacked by Jarran Reed for -9 yards. Sam Darnold fumbles (forced by Jarran Reed), recovered by Sam Darnold at MIN-24",0.1,-1.77,16.0,2024,235
2.0,12:13,4.0,16.0,MIN 24,7.0,7.0,"Ryan Wright punts 54 yards, returned by Jaelon Darden for 2 yards (tackle by Dallas Turner). Penalty on Josh Jobe: Defensive Illegal Blindside Block, 12 yards (accepted)",-1.77,0.35,16.0,2024,235
2.0,12:01,1.0,10.0,SEA 12,7.0,7.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Stephon Gilmore),-0.35,-0.78,16.0,2024,235
2.0,11:58,2.0,10.0,SEA 12,7.0,7.0,Geno Smith pass complete short middle to Kenneth Walker for 7 yards (tackle by Blake Cashman),-0.78,-0.6,16.0,2024,235
2.0,11:21,3.0,3.0,SEA 19,7.0,7.0,Geno Smith pass complete short left to Tyler Lockett for 2 yards (tackle by Byron Murphy),-0.6,-1.96,16.0,2024,235
2.0,10:38,4.0,1.0,SEA 21,7.0,7.0,"Michael Dickson punts 46 yards, fair catch by Brandon Powell at MIN-33",-1.96,-1.14,16.0,2024,235
2.0,10:29,1.0,10.0,MIN 33,7.0,7.0,Sam Darnold pass complete short right to Aaron Jones for 15 yards (tackle by Coby Bryant),1.14,2.13,16.0,2024,235
2.0,9:54,1.0,10.0,MIN 48,7.0,7.0,Aaron Jones left tackle for 2 yards (tackle by Uchenna Nwosu),2.13,1.85,16.0,2024,235
2.0,9:11,2.0,8.0,MIN 50,7.0,7.0,Sam Darnold pass complete short right to Justin Jefferson for 19 yards (tackle by Tre Brown),1.85,3.51,16.0,2024,235
2.0,8:33,1.0,10.0,SEA 31,7.0,7.0,Sam Darnold pass complete short left to C.J. Ham for 9 yards (tackle by Tyrice Knight and Julian Love),3.51,4.18,16.0,2024,235
2.0,7:55,2.0,1.0,SEA 22,7.0,7.0,Aaron Jones left guard for 1 yard (tackle by Jarran Reed),4.18,4.17,16.0,2024,235
2.0,7:13,1.0,10.0,SEA 21,7.0,7.0,Sam Darnold pass incomplete deep left intended for Jordan Addison (defended by Riq Woolen),4.17,3.63,16.0,2024,235
2.0,7:07,2.0,10.0,SEA 21,7.0,7.0,Aaron Jones left guard for 2 yards (tackle by Jarran Reed and Leonard Williams),3.63,3.18,16.0,2024,235
2.0,6:22,3.0,8.0,SEA 19,7.0,7.0,"Sam Darnold sacked by Derick Hall for no gain. Penalty on Tre Brown: Defensive Offside, 5 yards (accepted) (no play)",3.18,4.02,16.0,2024,235
2.0,5:54,3.0,3.0,SEA 14,13.0,7.0,"Sam Darnold pass complete short right to Justin Jefferson for 14 yards, touchdown",4.02,7.0,16.0,2024,235
2.0,5:50,,,SEA 15,13.0,7.0,"Penalty on Justin Jefferson: Taunting / Offense, 15 yards (accepted) (no play)",0.0,0.0,16.0,2024,235
2.0,5:50,,,SEA 30,14.0,7.0,Will Reichard kicks extra point good,0.0,0.0,16.0,2024,235
2.0,5:50,,,MIN 35,14.0,7.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,235
2.0,5:50,1.0,10.0,SEA 30,14.0,7.0,Geno Smith pass short right intended for Noah Fant is intercepted by Dallas Turner at SEA-35 and returned for 4 yards (tackle by Noah Fant),0.94,-3.51,16.0,2024,235
2.0,5:42,1.0,10.0,SEA 31,14.0,7.0,Aaron Jones right guard for 2 yards (tackle by Leonard Williams and Tyrice Knight),3.51,3.24,16.0,2024,235
2.0,5:04,2.0,8.0,SEA 29,14.0,7.0,Sam Darnold sacked by Boye Mafe for -12 yards,3.24,0.96,16.0,2024,235
2.0,4:17,3.0,20.0,SEA 41,14.0,7.0,Sam Darnold pass complete short middle to Justin Jefferson for 7 yards (tackle by Ernest Jones and Riq Woolen),0.96,1.06,16.0,2024,235
2.0,3:38,4.0,13.0,SEA 34,17.0,7.0,Will Reichard 52 yard field goal good,1.06,3.0,16.0,2024,235
2.0,3:33,,,MIN 35,17.0,7.0,"Will Reichard kicks off 65 yards, returned by Kenny McIntosh for 24 yards (tackle by Jamin Davis)",0.0,0.15,16.0,2024,235
2.0,3:28,1.0,10.0,SEA 19,17.0,7.0,Geno Smith pass complete short right to Kenneth Walker for 1 yard (tackle by Byron Murphy),0.15,-0.2,16.0,2024,235
2.0,2:48,2.0,9.0,SEA 20,17.0,7.0,Kenneth Walker up the middle for 1 yard (tackle by Theo Jackson and Patrick Jones),-0.2,-0.81,16.0,2024,235
2.0,2:10,3.0,8.0,SEA 21,17.0,7.0,Geno Smith pass incomplete deep right intended for Jaxon Smith-Njigba (defended by Byron Murphy),-0.81,-1.96,16.0,2024,235
2.0,2:04,4.0,8.0,SEA 21,17.0,7.0,"Michael Dickson punts 50 yards, fair catch by Brandon Powell at MIN-29",-1.96,-0.87,16.0,2024,235
2.0,1:57,1.0,10.0,MIN 29,17.0,7.0,Sam Darnold pass incomplete short right intended for Aaron Jones (defended by Devon Witherspoon),0.87,0.33,16.0,2024,235
2.0,1:49,2.0,10.0,MIN 29,17.0,7.0,Sam Darnold pass incomplete short left intended for Jalen Nailor (defended by Riq Woolen),0.33,-0.36,16.0,2024,235
2.0,1:42,3.0,10.0,MIN 29,17.0,7.0,Sam Darnold pass complete short right to Jordan Addison for 7 yards (tackle by Josh Jobe),-0.36,-0.98,16.0,2024,235
2.0,1:37,4.0,3.0,MIN 36,17.0,7.0,"Ryan Wright punts 63 yards, returned by Jaelon Darden for 11 yards (tackle by Theo Jackson)",-0.98,0.35,16.0,2024,235
2.0,1:25,1.0,10.0,SEA 12,17.0,7.0,Geno Smith pass complete deep middle to D.K. Metcalf for 20 yards (tackle by Josh Metellus),-0.35,1.07,16.0,2024,235
2.0,1:07,1.0,10.0,SEA 32,17.0,7.0,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",1.07,0.74,16.0,2024,235
2.0,1:07,,,,,,Timeout #1 by Seattle Seahawks,,,16.0,2024,235
2.0,1:07,1.0,14.0,SEA 27,17.0,7.0,Geno Smith pass complete short middle to D.K. Metcalf for 12 yards (tackle by Bobby McCain),0.74,1.47,16.0,2024,235
2.0,0:43,2.0,3.0,SEA 39,17.0,7.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 13 yards (tackle by Byron Murphy),1.47,2.39,16.0,2024,235
2.0,0:37,1.0,10.0,MIN 48,17.0,7.0,Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 25 yards (tackle by Byron Murphy),2.39,4.04,16.0,2024,235
2.0,0:30,,,,,,Timeout #2 by Seattle Seahawks,,,16.0,2024,235
2.0,0:30,1.0,10.0,MIN 23,17.0,7.0,"Geno Smith pass incomplete deep middle intended for Noah Fant. Penalty on Stephon Gilmore: Defensive Holding, 5 yards (accepted) (no play)",4.04,4.37,16.0,2024,235
2.0,0:24,1.0,10.0,MIN 18,17.0,13.0,"Geno Smith pass complete deep right to Jaxon Smith-Njigba for 18 yards, touchdown",4.37,7.0,16.0,2024,235
2.0,0:20,,,MIN 15,17.0,14.0,Jason Myers kicks extra point good,0.0,0.0,16.0,2024,235
2.0,0:20,,,SEA 35,17.0,14.0,"Jason Myers kicks off 64 yards, returned by Ty Chandler for 20 yards (tackle by Dareke Young)",0.0,0.34,16.0,2024,235
2.0,0:16,1.0,10.0,MIN 21,17.0,14.0,Sam Darnold kneels for -1 yards,0.34,-0.34,16.0,2024,235
3.0,15:00,,,MIN 35,17.0,14.0,"Will Reichard kicks off 66 yards, returned by Kenny McIntosh for 36 yards (tackle by Jay Ward and Jamin Davis)",0.0,1.27,16.0,2024,235
3.0,14:54,1.0,10.0,SEA 35,17.0,14.0,Geno Smith pass complete short middle to Kenneth Walker for 3 yards (tackle by Jonathan Greenard),1.27,1.13,16.0,2024,235
3.0,14:15,2.0,7.0,SEA 38,17.0,14.0,Geno Smith pass complete short right to Kenneth Walker for 8 yards (tackle by Camryn Bynum),1.13,1.99,16.0,2024,235
3.0,13:37,1.0,10.0,SEA 46,17.0,14.0,Kenny McIntosh up the middle for 2 yards (tackle by Jonathan Bullard and Josh Metellus),1.99,1.72,16.0,2024,235
3.0,12:56,2.0,8.0,SEA 48,17.0,14.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Byron Murphy),1.72,1.69,16.0,2024,235
3.0,12:18,3.0,3.0,MIN 47,17.0,14.0,"Geno Smith pass incomplete deep right intended for Tyler Lockett. Penalty on Stephon Gilmore: Defensive Pass Interference, 20 yards (accepted) (no play)",1.69,3.78,16.0,2024,235
3.0,12:12,1.0,10.0,MIN 27,17.0,14.0,"Kenneth Walker up the middle for no gain (tackle by Harrison Phillips). Penalty on Jake Bobo: Illegal Shift, 5 yards (accepted) (no play)",3.78,3.45,16.0,2024,235
3.0,12:06,1.0,15.0,MIN 32,17.0,14.0,Geno Smith pass complete short left to Kenneth Walker for -1 yards (tackle by Blake Cashman),3.45,2.42,16.0,2024,235
3.0,11:29,2.0,16.0,MIN 33,17.0,14.0,Geno Smith pass complete short middle to Kenneth Walker for 8 yards (tackle by Blake Cashman),2.42,2.81,16.0,2024,235
3.0,10:48,3.0,8.0,MIN 25,17.0,14.0,Geno Smith pass incomplete deep right intended for D.K. Metcalf,2.81,1.8,16.0,2024,235
3.0,10:41,4.0,8.0,MIN 25,17.0,17.0,Jason Myers 43 yard field goal good,1.8,3.0,16.0,2024,235
3.0,10:37,,,SEA 35,17.0,17.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,235
3.0,10:37,1.0,10.0,MIN 30,17.0,17.0,"Aaron Jones right end for no gain (tackle by Rayshawn Jenkins). Penalty on Leonard Williams: Defensive Holding, 5 yards (accepted) (no play)",0.94,1.27,16.0,2024,235
3.0,10:09,1.0,10.0,MIN 35,17.0,17.0,Sam Darnold pass complete short right to Justin Jefferson for 5 yards (tackle by Devon Witherspoon),1.27,1.4,16.0,2024,235
3.0,9:38,2.0,5.0,MIN 40,17.0,17.0,Aaron Jones left guard for 4 yards (tackle by Ernest Jones),1.4,1.22,16.0,2024,235
3.0,8:44,3.0,1.0,MIN 44,17.0,17.0,Sam Darnold up the middle for 2 yards (tackle by Ernest Jones) (no play),1.22,0.56,16.0,2024,235
3.0,8:26,3.0,6.0,MIN 39,17.0,17.0,Sam Darnold pass complete short left to Justin Jefferson for 9 yards (tackle by Riq Woolen),0.56,2.13,16.0,2024,235
3.0,7:48,1.0,10.0,MIN 48,17.0,17.0,"Sam Darnold pass complete deep middle to T.J. Hockenson for 19 yards (tackle by Rayshawn Jenkins). Penalty on Rayshawn Jenkins: Defensive Holding, 5 yards (declined) . Penalty on Riq Woolen: Defensive Holding, 5 yards (declined)",2.13,3.38,16.0,2024,235
3.0,7:40,1.0,10.0,SEA 33,17.0,17.0,Sam Darnold pass incomplete short left intended for Josh Oliver,3.38,2.84,16.0,2024,235
3.0,7:13,2.0,10.0,SEA 33,17.0,17.0,Aaron Jones right guard for 3 yards (tackle by Leonard Williams and Ernest Jones),2.84,2.54,16.0,2024,235
3.0,6:35,3.0,7.0,SEA 30,17.0,17.0,Sam Darnold pass incomplete short right intended for Jordan Addison (defended by Jarran Reed),2.54,1.41,16.0,2024,235
3.0,6:29,4.0,7.0,SEA 30,20.0,17.0,Will Reichard 48 yard field goal good,1.41,3.0,16.0,2024,235
3.0,6:25,,,MIN 35,20.0,17.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,235
3.0,6:25,1.0,10.0,SEA 30,20.0,17.0,Kenneth Walker up the middle for 2 yards (tackle by Blake Cashman and Harrison Phillips),0.94,0.66,16.0,2024,235
3.0,5:46,2.0,8.0,SEA 32,20.0,17.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 1 yard (tackle by Byron Murphy and Dallas Turner),0.66,0.1,16.0,2024,235
3.0,4:58,3.0,7.0,SEA 33,20.0,17.0,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,0.1,-1.18,16.0,2024,235
3.0,4:52,4.0,7.0,SEA 33,20.0,17.0,"Michael Dickson punts 51 yards, fair catch by Brandon Powell at MIN-16",-1.18,0.14,16.0,2024,235
3.0,4:45,1.0,10.0,MIN 16,20.0,17.0,Aaron Jones right tackle for 5 yards (tackle by Johnathan Hankins),-0.14,0.15,16.0,2024,235
3.0,4:11,2.0,5.0,MIN 21,20.0,17.0,Sam Darnold pass complete short left to Jalen Nailor for 5 yards (tackle by Josh Jobe),0.15,0.67,16.0,2024,235
3.0,3:40,1.0,10.0,MIN 26,20.0,17.0,Sam Darnold pass complete deep left to Justin Jefferson for 27 yards (tackle by Josh Jobe),0.67,2.46,16.0,2024,235
3.0,2:56,1.0,10.0,SEA 47,20.0,17.0,Aaron Jones right guard for 1 yard (tackle by Coby Bryant and Uchenna Nwosu),2.46,2.05,16.0,2024,235
3.0,2:14,2.0,9.0,SEA 46,20.0,17.0,Sam Darnold pass incomplete short left intended for Justin Jefferson,2.05,1.35,16.0,2024,235
3.0,2:08,3.0,9.0,SEA 46,20.0,17.0,Sam Darnold pass incomplete short right intended for T.J. Hockenson,1.35,0.2,16.0,2024,235
3.0,2:05,4.0,9.0,SEA 46,20.0,17.0,"Ryan Wright punts 38 yards, fair catch by Jaelon Darden at SEA-8",0.2,0.38,16.0,2024,235
3.0,1:58,1.0,10.0,SEA 8,20.0,17.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 16 yards (tackle by Camryn Bynum and Josh Metellus),-0.38,0.54,16.0,2024,235
3.0,1:27,1.0,10.0,SEA 24,20.0,17.0,Geno Smith pass incomplete short right intended for Noah Fant,0.54,0.0,16.0,2024,235
3.0,1:23,2.0,10.0,SEA 24,20.0,17.0,Geno Smith pass incomplete short right,0.0,-0.69,16.0,2024,235
3.0,1:16,3.0,10.0,SEA 24,20.0,17.0,Geno Smith pass complete short right to Zach Charbonnet for 13 yards (tackle by Blake Cashman),-0.69,1.4,16.0,2024,235
3.0,0:49,1.0,10.0,SEA 37,20.0,17.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 4 yards (tackle by Byron Murphy and Blake Cashman),1.4,1.4,16.0,2024,235
3.0,0:22,2.0,6.0,SEA 41,20.0,17.0,Kenneth Walker left guard for 5 yards (tackle by Blake Cashman),1.4,1.36,16.0,2024,235
4.0,15:00,3.0,1.0,SEA 46,20.0,17.0,Geno Smith pass incomplete short left intended for Noah Fant (defended by Blake Cashman) (defended by Levi Drake Rodriguez),1.36,-0.32,16.0,2024,235
4.0,14:55,4.0,1.0,SEA 46,20.0,17.0,Julian Love up the middle for 2 yards (tackle by Josh Metellus and Patrick Jones),-0.32,2.13,16.0,2024,235
4.0,14:03,1.0,10.0,SEA 48,20.0,17.0,"Penalty on MIN: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",2.13,2.86,16.0,2024,235
4.0,13:56,1.0,5.0,MIN 47,20.0,17.0,Geno Smith pass complete short left to Kenneth Walker for -6 yards (tackle by Jonathan Greenard),2.86,1.45,16.0,2024,235
4.0,13:11,2.0,11.0,SEA 47,20.0,17.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,1.45,0.76,16.0,2024,235
4.0,13:07,,,,,,Timeout #1 by Seattle Seahawks,,,16.0,2024,235
4.0,13:07,3.0,11.0,SEA 47,20.0,17.0,Geno Smith sacked by Andrew Van Ginkel for -6 yards,0.76,-0.65,16.0,2024,235
4.0,12:30,4.0,17.0,SEA 41,20.0,17.0,"Michael Dickson punts 59 yards, touchback.",-0.65,-0.28,16.0,2024,235
4.0,12:21,1.0,10.0,MIN 20,20.0,17.0,Sam Darnold pass complete short left to Jordan Addison for 2 yards (tackle by Josh Jobe),0.28,0.0,16.0,2024,235
4.0,11:42,2.0,8.0,MIN 22,20.0,17.0,Sam Darnold scrambles left end for 5 yards (tackle by Ernest Jones),0.0,-0.03,16.0,2024,235
4.0,10:57,3.0,3.0,MIN 27,20.0,17.0,Sam Darnold pass incomplete short middle intended for T.J. Hockenson (defended by Riq Woolen) (defended by Julian Love),-0.03,-1.57,16.0,2024,235
4.0,10:51,4.0,3.0,MIN 27,20.0,17.0,"Ryan Wright punts 56 yards, returned by Jaelon Darden for 15 yards (tackle by Ty Chandler)",-1.57,-1.07,16.0,2024,235
4.0,10:37,1.0,10.0,SEA 32,20.0,17.0,"Penalty on AJ Barner: False Start, 5 yards (accepted) (no play)",1.07,0.74,16.0,2024,235
4.0,10:37,1.0,15.0,SEA 27,20.0,17.0,Geno Smith pass complete short right to AJ Barner for 9 yards (tackle by Byron Murphy and Andrew Van Ginkel),0.74,1.07,16.0,2024,235
4.0,10:01,2.0,6.0,SEA 36,20.0,17.0,"Kenneth Walker up the middle for no gain (tackle by Camryn Bynum and Josh Metellus). Penalty on Pharaoh Brown: Offensive Holding, 10 yards (accepted) (no play)",1.07,-0.28,16.0,2024,235
4.0,9:39,2.0,16.0,SEA 26,20.0,17.0,Geno Smith pass complete short left to Tyler Lockett for 17 yards (tackle by Shaquill Griffin),-0.28,1.8,16.0,2024,235
4.0,9:08,1.0,10.0,SEA 43,20.0,17.0,Kenny McIntosh up the middle for 9 yards (tackle by Blake Cashman and Bobby McCain),1.8,2.47,16.0,2024,235
4.0,8:48,2.0,1.0,MIN 48,20.0,17.0,Kenny McIntosh up the middle for 3 yards (tackle by Josh Metellus and Harrison Phillips),2.47,2.59,16.0,2024,235
4.0,8:11,1.0,10.0,MIN 45,20.0,17.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 13 yards (tackle by Bobby McCain),2.59,3.45,16.0,2024,235
4.0,7:37,1.0,10.0,MIN 32,20.0,17.0,Geno Smith pass complete short middle to Noah Fant for 17 yards (tackle by Camryn Bynum and Harrison Phillips),3.45,4.58,16.0,2024,235
4.0,6:56,1.0,10.0,MIN 15,20.0,17.0,Geno Smith scrambles right end for 8 yards (tackle by Jerry Tillery),4.58,5.41,16.0,2024,235
4.0,6:16,2.0,2.0,MIN 7,20.0,17.0,Kenneth Walker left tackle for 4 yards (tackle by Camryn Bynum and Andrew Van Ginkel),5.41,6.51,16.0,2024,235
4.0,5:52,1.0,3.0,MIN 3,20.0,17.0,Kenneth Walker right guard for no gain (tackle by Levi Drake Rodriguez),6.51,5.53,16.0,2024,235
4.0,5:09,2.0,3.0,MIN 3,20.0,17.0,Zach Charbonnet right tackle for -1 yards (tackle by Camryn Bynum and Jerry Tillery),5.53,4.49,16.0,2024,235
4.0,4:26,3.0,4.0,MIN 4,20.0,23.0,"Geno Smith pass complete short middle to AJ Barner for 4 yards, touchdown",4.49,7.0,16.0,2024,235
4.0,4:21,,,MIN 15,20.0,24.0,Jason Myers kicks extra point good,0.0,0.0,16.0,2024,235
4.0,4:21,,,SEA 40,20.0,24.0,"Jason Myers kicks off 60 yards, touchback.",0.0,0.94,16.0,2024,235
4.0,4:21,1.0,10.0,MIN 30,20.0,24.0,"Penalty on Brian O'Neill: False Start, 5 yards (accepted) (no play)",0.94,0.61,16.0,2024,235
4.0,4:21,1.0,15.0,MIN 25,20.0,24.0,Sam Darnold pass complete short right to Justin Jefferson for 12 yards (tackle by Tyrice Knight),0.61,1.34,16.0,2024,235
4.0,4:15,2.0,3.0,MIN 37,20.0,24.0,Sam Darnold scrambles left end for 9 yards (tackle by Josh Jobe),1.34,1.99,16.0,2024,235
4.0,4:08,1.0,10.0,MIN 46,20.0,24.0,Sam Darnold pass incomplete short middle intended for Justin Jefferson,1.99,1.45,16.0,2024,235
4.0,4:03,2.0,10.0,MIN 46,20.0,24.0,"Sam Darnold sacked by Byron Murphy for no gain. Penalty on Byron Murphy: Face Mask (15 Yards), 15 yards (accepted) (no play)",1.45,2.98,16.0,2024,235
4.0,3:58,1.0,10.0,SEA 39,26.0,24.0,"Sam Darnold pass complete deep left to Justin Jefferson for 39 yards, touchdown",2.98,7.0,16.0,2024,235
4.0,3:51,,,SEA 15,27.0,24.0,Will Reichard kicks extra point good,0.0,0.0,16.0,2024,235
4.0,3:51,,,MIN 35,27.0,24.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,235
4.0,3:51,1.0,10.0,SEA 30,27.0,24.0,Geno Smith pass complete short middle to Noah Fant for 18 yards (tackle by Jonathan Greenard and Theo Jackson),0.94,2.13,16.0,2024,235
4.0,3:10,1.0,10.0,SEA 48,27.0,24.0,Geno Smith pass complete short left to Kenny McIntosh for 15 yards (tackle by Stephon Gilmore),2.13,3.12,16.0,2024,235
4.0,3:04,1.0,10.0,MIN 37,27.0,24.0,Geno Smith sacked by Andrew Van Ginkel for -6 yards,3.12,1.76,16.0,2024,235
4.0,2:22,2.0,16.0,MIN 43,27.0,24.0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Stephon Gilmore),1.76,1.09,16.0,2024,235
4.0,2:16,3.0,16.0,MIN 43,27.0,24.0,Geno Smith pass complete short middle to Zach Charbonnet for 1 yard (tackle by Theo Jackson),1.09,0.46,16.0,2024,235
