Quarter,Time,Down,ToGo,Location,NYG,ATL,Detail,EPB,EPA,week,year,game_id
1.0,7:29,2.0,6.0,NYG 34,0.0,0.0,Drew Lock pass complete short left to Malik Nabers for 6 yards (tackle by Kaden Elliss and Demone Harris),0.93,1.6,16.0,2024,228
1.0,6:57,1.0,10.0,NYG 40,0.0,0.0,Drew Lock pass complete short left to Tyrone Tracy for 9 yards (tackle by Justin Simmons),1.6,2.27,16.0,2024,228
1.0,6:18,2.0,1.0,NYG 49,0.0,0.0,Tyrone Tracy right tackle for 5 yards (tackle by David Onyemata and Grady Jarrett),2.27,2.52,16.0,2024,228
1.0,5:34,1.0,10.0,ATL 46,0.0,0.0,Devin Singletary right tackle for 5 yards (tackle by AJ Terrell and Kaden Elliss),2.52,2.65,16.0,2024,228
1.0,4:55,2.0,5.0,ATL 41,0.0,0.0,Devin Singletary left tackle for 4 yards (tackle by Kentavius Street),2.65,2.48,16.0,2024,228
1.0,4:19,3.0,1.0,ATL 37,0.0,0.0,Drew Lock pass complete short right to Daniel Bellinger for 5 yards (tackle by Jessie Bates),2.48,3.45,16.0,2024,228
1.0,3:37,1.0,10.0,ATL 32,0.0,0.0,Drew Lock pass complete short left to Wan'Dale Robinson for 9 yards (tackle by Justin Simmons),3.45,4.12,16.0,2024,228
1.0,2:54,2.0,1.0,ATL 23,0.0,0.0,Tyrone Tracy left tackle for 5 yards (tackle by Ruke Orhorhoro and Mike Hughes),4.12,4.37,16.0,2024,228
1.0,2:11,1.0,10.0,ATL 18,0.0,0.0,Drew Lock pass complete short left to Wan'Dale Robinson for 6 yards (tackle by Lorenzo Carter),4.37,4.81,16.0,2024,228
1.0,1:30,2.0,4.0,ATL 12,0.0,0.0,Tyrone Tracy right end for 4 yards (tackle by DeAundre Alford),4.81,5.37,16.0,2024,228
1.0,0:45,1.0,8.0,ATL 8,0.0,0.0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson (defended by Jessie Bates),5.37,4.57,16.0,2024,228
1.0,0:40,2.0,8.0,ATL 8,0.0,0.0,Darius Slayton right tackle for 6 yards (tackle by DeAundre Alford),4.57,4.95,16.0,2024,228
2.0,15:00,3.0,2.0,ATL 2,6.0,0.0,"Drew Lock pass complete short left to Tyrone Tracy for 2 yards, touchdown",4.95,7.0,16.0,2024,228
2.0,14:53,,,ATL 15,7.0,0.0,Graham Gano kicks extra point good,0.0,0.0,16.0,2024,228
2.0,14:53,,,NYG 35,7.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
2.0,14:53,1.0,10.0,ATL 30,7.0,0.0,Michael Penix pass complete deep right to Darnell Mooney for 22 yards (tackle by Adoree' Jackson),0.94,2.39,16.0,2024,228
2.0,14:19,1.0,10.0,NYG 48,7.0,0.0,Bijan Robinson right tackle for 4 yards (tackle by Raheem Layne),2.39,2.39,16.0,2024,228
2.0,13:41,2.0,6.0,NYG 44,7.0,0.0,Tyler Allgeier right tackle for -1 yards (tackle by Boogie Basham),2.39,1.55,16.0,2024,228
2.0,12:58,3.0,7.0,NYG 45,7.0,0.0,Michael Penix pass complete short middle to Drake London for 10 yards (tackle by Micah McFadden and Kayvon Thibodeaux),1.55,3.25,16.0,2024,228
2.0,12:14,1.0,10.0,NYG 35,7.0,0.0,Michael Penix pass complete short right to Bijan Robinson for -4 yards (tackle by Andru Phillips),3.25,2.16,16.0,2024,228
2.0,11:32,2.0,14.0,NYG 39,7.0,0.0,Michael Penix scrambles left guard for 5 yards (tackle by Micah McFadden),2.16,2.15,16.0,2024,228
2.0,10:46,3.0,9.0,NYG 34,7.0,0.0,Michael Penix pass incomplete short left intended for Darnell Mooney,2.15,1.06,16.0,2024,228
2.0,10:41,4.0,9.0,NYG 34,7.0,3.0,Riley Patterson 52 yard field goal good,1.06,3.0,16.0,2024,228
2.0,10:36,,,ATL 35,7.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
2.0,10:36,1.0,10.0,NYG 30,7.0,3.0,Drew Lock pass incomplete short right intended for Malik Nabers,0.94,0.39,16.0,2024,228
2.0,10:31,2.0,10.0,NYG 30,7.0,3.0,"Penalty on Evan Neal: False Start, 5 yards (accepted) (no play)",0.39,-0.28,16.0,2024,228
2.0,10:31,2.0,15.0,NYG 25,7.0,3.0,Drew Lock pass complete short right to Jalin Hyatt for 9 yards (tackle by Mike Hughes),-0.28,0.23,16.0,2024,228
2.0,9:52,3.0,6.0,NYG 34,7.0,3.0,Drew Lock pass complete short left to Wan'Dale Robinson for 15 yards (tackle by DeAundre Alford and Jessie Bates),0.23,2.19,16.0,2024,228
2.0,9:06,1.0,10.0,NYG 49,7.0,3.0,"Penalty on Drew Lock: Delay of Game, 5 yards (accepted) (no play)",2.19,1.86,16.0,2024,228
2.0,8:51,1.0,15.0,NYG 44,7.0,3.0,Drew Lock pass complete short right to Wan'Dale Robinson for 8 yards (tackle by AJ Terrell),1.86,2.12,16.0,2024,228
2.0,8:05,2.0,6.0,ATL 48,7.0,9.0,"Drew Lock pass short left intended for Wan'Dale Robinson is intercepted by Jessie Bates at ATL-45 and returned for 55 yards, touchdown",2.12,-7.0,16.0,2024,228
2.0,7:56,,,NYG 15,7.0,10.0,Riley Patterson kicks extra point good,0.0,0.0,16.0,2024,228
2.0,7:56,,,ATL 35,7.0,10.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
2.0,7:56,1.0,10.0,NYG 30,7.0,10.0,Tyrone Tracy right tackle for 1 yard (tackle by Kaden Elliss),0.94,0.53,16.0,2024,228
2.0,7:19,2.0,9.0,NYG 31,7.0,10.0,Drew Lock pass complete short left to Malik Nabers for 10 yards (tackle by Justin Simmons and Mike Hughes),0.53,1.66,16.0,2024,228
2.0,6:39,1.0,10.0,NYG 41,7.0,10.0,Tyrone Tracy left tackle for 3 yards (tackle by Arnold Ebiketie and Eddie Goldman),1.66,1.53,16.0,2024,228
2.0,6:02,2.0,7.0,NYG 44,7.0,10.0,Drew Lock sacked by Arnold Ebiketie for -4 yards,1.53,0.3,16.0,2024,228
2.0,5:20,3.0,11.0,NYG 40,7.0,10.0,Drew Lock pass incomplete deep middle intended for Malik Nabers,0.3,-0.72,16.0,2024,228
2.0,5:16,4.0,11.0,NYG 40,7.0,10.0,"Jamie Gillan punts 46 yards, fair catch by Avery Williams at ATL-14",-0.72,0.28,16.0,2024,228
2.0,5:09,1.0,10.0,ATL 14,7.0,10.0,Michael Penix pass complete short left to Darnell Mooney for 15 yards (tackle by Andru Phillips),-0.28,0.87,16.0,2024,228
2.0,4:28,1.0,10.0,ATL 29,7.0,10.0,Bijan Robinson left end for 2 yards (tackle by Rakeem Nunez-Roches and Kayvon Thibodeaux),0.87,0.6,16.0,2024,228
2.0,3:51,2.0,8.0,ATL 31,7.0,10.0,Michael Penix pass incomplete short left,0.6,-0.1,16.0,2024,228
2.0,3:46,3.0,8.0,ATL 31,7.0,10.0,"Michael Penix pass incomplete deep left intended for Darnell Mooney. Penalty on Deonte Banks: Defensive Pass Interference, 30 yards (accepted) (no play)",-0.1,2.98,16.0,2024,228
2.0,3:40,1.0,10.0,NYG 39,7.0,10.0,Tyler Allgeier left tackle for 2 yards (tackle by Darius Muasau and Deonte Banks),2.98,2.71,16.0,2024,228
2.0,2:58,2.0,8.0,NYG 37,7.0,10.0,Tyler Allgeier right tackle for 2 yards (tackle by Darius Muasau and Micah McFadden),2.71,2.28,16.0,2024,228
2.0,2:17,3.0,6.0,NYG 35,7.0,10.0,Michael Penix pass complete short middle to Darnell Mooney for 19 yards (tackle by Jason Pinnock),2.28,4.51,16.0,2024,228
2.0,2:00,1.0,10.0,NYG 16,7.0,10.0,Bijan Robinson right end for 9 yards (tackle by Dane Belton and Tomon Fox),4.51,5.54,16.0,2024,228
2.0,1:53,,,,,,Timeout #1 by New York Giants,,,16.0,2024,228
2.0,1:53,2.0,1.0,NYG 7,7.0,10.0,Bijan Robinson right tackle for 3 yards (tackle by Jordon Riley),5.54,6.28,16.0,2024,228
2.0,1:48,,,,,,Timeout #2 by New York Giants,,,16.0,2024,228
2.0,1:48,1.0,4.0,NYG 4,7.0,16.0,"Bijan Robinson left end for 4 yards, touchdown",6.28,7.0,16.0,2024,228
2.0,1:43,,,NYG 15,7.0,17.0,Riley Patterson kicks extra point good,0.0,0.0,16.0,2024,228
2.0,1:43,,,ATL 35,7.0,17.0,"Bradley Pinion kicks off 61 yards, returned by Eric Gray for 37 yards (tackle by DeAngelo Malone and Ross Dwelley)",0.0,1.66,16.0,2024,228
2.0,1:35,1.0,10.0,NYG 41,7.0,17.0,"Drew Lock sacked by Kaden Elliss for -10 yards. Drew Lock fumbles (forced by Kaden Elliss), recovered by Arnold Ebiketie at NYG-31 (tackle by Kaden Elliss)",1.66,-3.51,16.0,2024,228
2.0,1:26,1.0,10.0,NYG 31,7.0,17.0,Bijan Robinson left end for 3 yards (tackle by Micah McFadden),3.51,3.37,16.0,2024,228
2.0,1:06,,,,,,Timeout #3 by New York Giants,,,16.0,2024,228
2.0,1:06,2.0,7.0,NYG 28,7.0,17.0,Bijan Robinson right end for -1 yards (tackle by Darius Muasau and Cory Durden),3.37,2.54,16.0,2024,228
2.0,0:30,,,,,,Timeout #1 by Atlanta Falcons,,,16.0,2024,228
2.0,0:30,3.0,8.0,NYG 29,7.0,17.0,Michael Penix pass complete short right to Darnell Mooney for 14 yards,2.54,4.58,16.0,2024,228
2.0,0:27,1.0,10.0,NYG 15,7.0,17.0,Bijan Robinson right end for -2 yards (tackle by Brian Burns),4.58,3.68,16.0,2024,228
2.0,0:22,,,,,,Timeout #2 by Atlanta Falcons,,,16.0,2024,228
2.0,0:22,2.0,12.0,NYG 17,7.0,17.0,Michael Penix pass complete short right to Drake London for 10 yards (tackle by Raheem Layne),3.68,4.68,16.0,2024,228
2.0,0:16,,,,,,Timeout #3 by Atlanta Falcons,,,16.0,2024,228
2.0,0:16,3.0,2.0,NYG 7,7.0,17.0,Michael Penix pass short right (defended by Dane Belton) intended for Kyle Pitts is intercepted by Cordale Flott in end zone and returned for 26 yards (tackle by Drake London),4.68,-0.61,16.0,2024,228
2.0,0:07,1.0,10.0,NYG 25,7.0,17.0,"Penalty on Drake London: Personal Foul / Defense, 15 yards (accepted) (no play)",0.61,1.6,16.0,2024,228
2.0,0:07,1.0,10.0,NYG 40,7.0,17.0,Drew Lock pass incomplete short left intended for Daniel Bellinger,1.6,1.05,16.0,2024,228
2.0,0:04,2.0,10.0,NYG 40,7.0,17.0,Drew Lock pass incomplete short left intended for Malik Nabers,1.05,0.37,16.0,2024,228
3.0,15:00,,,ATL 35,7.0,17.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
3.0,15:00,1.0,10.0,NYG 30,7.0,17.0,Devin Singletary right guard for 3 yards (tackle by David Onyemata),0.94,0.8,16.0,2024,228
3.0,14:27,2.0,7.0,NYG 33,7.0,23.0,"Drew Lock pass short middle (defended by Zach Harrison) intended for Malik Nabers is intercepted by Matt Judon at NYG-27 and returned for 27 yards, touchdown",0.8,-7.0,16.0,2024,228
3.0,14:20,,,NYG 15,7.0,24.0,Riley Patterson kicks extra point good,0.0,0.0,16.0,2024,228
3.0,14:20,,,ATL 35,7.0,24.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
3.0,14:20,1.0,10.0,NYG 30,7.0,24.0,Drew Lock pass incomplete short middle,0.94,0.39,16.0,2024,228
3.0,14:16,2.0,10.0,NYG 30,7.0,24.0,Tyrone Tracy left tackle for 4 yards (tackle by Zach Harrison and Kaden Elliss),0.39,0.23,16.0,2024,228
3.0,13:45,3.0,6.0,NYG 34,7.0,24.0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson (defended by DeAundre Alford),0.23,-1.11,16.0,2024,228
3.0,13:42,4.0,6.0,NYG 34,7.0,24.0,"Jamie Gillan punts 41 yards, returned by Avery Williams for 6 yards (tackle by Dane Belton and Casey Kreiter)",-1.11,-1.0,16.0,2024,228
3.0,13:31,1.0,10.0,ATL 31,7.0,24.0,Bijan Robinson right guard for 14 yards (tackle by Jason Pinnock and Dane Belton),1.0,1.93,16.0,2024,228
3.0,12:50,1.0,10.0,ATL 45,7.0,24.0,Bijan Robinson right end for -1 yards (tackle by Ty Summers),1.93,1.25,16.0,2024,228
3.0,12:13,2.0,11.0,ATL 44,7.0,24.0,Michael Penix pass complete short middle to Drake London for 15 yards (tackle by Raheem Layne),1.25,2.85,16.0,2024,228
3.0,11:26,1.0,10.0,NYG 41,7.0,24.0,Tyler Allgeier left end for 12 yards (tackle by Deonte Banks),2.85,3.64,16.0,2024,228
3.0,10:43,1.0,10.0,NYG 29,7.0,24.0,Michael Penix pass incomplete short left intended for Charlie Woerner,3.64,3.1,16.0,2024,228
3.0,10:37,2.0,10.0,NYG 29,7.0,24.0,Michael Penix pass complete short left to Tyler Allgeier for 9 yards (tackle by Ty Summers),3.1,3.6,16.0,2024,228
3.0,10:08,3.0,1.0,NYG 20,7.0,24.0,Tyler Allgeier left tackle for 2 yards (tackle by Cory Durden and Boogie Basham),3.6,4.37,16.0,2024,228
3.0,9:31,1.0,10.0,NYG 18,7.0,24.0,Bijan Robinson right tackle for 3 yards (tackle by Cory Durden),4.37,4.25,16.0,2024,228
3.0,8:50,2.0,7.0,NYG 15,7.0,24.0,Bijan Robinson right guard for no gain (tackle by Andru Phillips and Boogie Basham),4.25,3.58,16.0,2024,228
3.0,8:08,3.0,6.0,NYG 15,7.0,24.0,Michael Penix pass complete short right to Bijan Robinson for 13 yards (tackle by Ty Summers),3.58,6.74,16.0,2024,228
3.0,7:23,1.0,2.0,NYG 2,7.0,24.0,Michael Penix pass incomplete short left intended for Drake London (defended by Deonte Banks),6.74,5.72,16.0,2024,228
3.0,7:19,2.0,2.0,NYG 2,7.0,30.0,"Bijan Robinson left end for 2 yards, touchdown",5.72,7.0,16.0,2024,228
3.0,7:14,,,NYG 15,7.0,31.0,Riley Patterson kicks extra point good,0.0,0.0,16.0,2024,228
3.0,7:14,,,ATL 35,7.0,31.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
3.0,7:14,1.0,10.0,NYG 30,7.0,31.0,Drew Lock pass complete short right to Malik Nabers for 6 yards (tackle by DeAundre Alford),0.94,1.2,16.0,2024,228
3.0,6:41,2.0,4.0,NYG 36,7.0,31.0,Devin Singletary right tackle for no gain (tackle by Zach Harrison and Kaden Elliss),1.2,0.5,16.0,2024,228
3.0,6:02,3.0,4.0,NYG 36,7.0,31.0,Drew Lock pass incomplete short left intended for Wan'Dale Robinson (defended by DeAundre Alford),0.5,-0.98,16.0,2024,228
3.0,5:58,4.0,4.0,NYG 36,7.0,31.0,"Jamie Gillan punts 51 yards, fair catch by Avery Williams at ATL-13",-0.98,0.32,16.0,2024,228
3.0,5:51,1.0,10.0,ATL 13,7.0,31.0,Tyler Allgeier left end for 2 yards (tackle by Darius Muasau and Tomon Fox),-0.32,-0.57,16.0,2024,228
3.0,5:13,2.0,8.0,ATL 15,7.0,31.0,Michael Penix pass complete short right to Ray-Ray McCloud for 7 yards (tackle by Darius Muasau),-0.57,-0.35,16.0,2024,228
3.0,4:30,3.0,1.0,ATL 22,7.0,31.0,Tyler Allgeier left guard for 1 yard (tackle by Cory Durden and Andru Phillips),-0.35,0.48,16.0,2024,228
3.0,3:51,1.0,10.0,ATL 23,7.0,31.0,Tyler Allgeier left end for 4 yards (tackle by Darius Muasau),0.48,0.47,16.0,2024,228
3.0,3:09,2.0,6.0,ATL 27,7.0,31.0,Michael Penix pass complete short middle to Ray-Ray McCloud for 8 yards (tackle by Cordale Flott),0.47,1.27,16.0,2024,228
3.0,2:30,1.0,10.0,ATL 35,7.0,31.0,Bijan Robinson right tackle for 1 yard (tackle by Ty Summers and Cory Durden),1.27,0.86,16.0,2024,228
3.0,1:49,2.0,9.0,ATL 36,7.0,31.0,Bijan Robinson right tackle for 11 yards (tackle by Dane Belton and Ty Summers),0.86,2.06,16.0,2024,228
3.0,1:06,1.0,10.0,ATL 47,7.0,31.0,Michael Penix pass complete deep middle to Chris Blair for 17 yards (tackle by Jason Pinnock),2.06,3.18,16.0,2024,228
3.0,0:22,1.0,10.0,NYG 36,7.0,31.0,Bijan Robinson left tackle for 8 yards (tackle by Dane Belton),3.18,3.72,16.0,2024,228
4.0,15:00,2.0,2.0,NYG 28,7.0,31.0,Bijan Robinson left tackle for 1 yard (tackle by Darius Muasau and Ty Summers),3.72,3.14,16.0,2024,228
4.0,14:16,3.0,1.0,NYG 27,7.0,31.0,Bijan Robinson left tackle for 6 yards (tackle by Jason Pinnock),3.14,4.17,16.0,2024,228
4.0,13:32,1.0,10.0,NYG 21,7.0,31.0,Tyler Allgeier left end for 2 yards (tackle by Brian Burns),4.17,3.9,16.0,2024,228
4.0,12:48,2.0,8.0,NYG 19,7.0,31.0,Michael Penix pass complete short right to Kyle Pitts for 7 yards (tackle by Jason Pinnock and Darius Muasau),3.9,4.49,16.0,2024,228
4.0,12:03,3.0,1.0,NYG 12,7.0,31.0,"Bijan Robinson left end for no gain (tackle by Cordale Flott). Penalty on Drew Dalman: Offensive Holding, 10 yards (accepted) (no play)",4.49,2.81,16.0,2024,228
4.0,11:32,3.0,11.0,NYG 22,7.0,31.0,Michael Penix pass complete short right to Ray-Ray McCloud for 4 yards (tackle by Cordale Flott),2.81,2.25,16.0,2024,228
4.0,10:50,4.0,7.0,NYG 18,7.0,34.0,Riley Patterson 37 yard field goal good,2.25,3.0,16.0,2024,228
4.0,10:47,,,ATL 35,7.0,34.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,228
4.0,10:47,1.0,10.0,NYG 30,7.0,34.0,Drew Lock pass incomplete short right intended for Malik Nabers (defended by Mike Hughes),0.94,0.39,16.0,2024,228
4.0,10:41,2.0,10.0,NYG 30,7.0,34.0,Drew Lock pass complete short right to Tyrone Tracy for 16 yards (tackle by Arnold Ebiketie),0.39,1.99,16.0,2024,228
4.0,9:58,1.0,10.0,NYG 46,7.0,34.0,Drew Lock pass incomplete deep right intended for Jalin Hyatt,1.99,1.45,16.0,2024,228
4.0,9:53,2.0,10.0,NYG 46,7.0,34.0,Drew Lock right tackle for 1 yard (tackle by Arnold Ebiketie and Grady Jarrett),1.45,0.89,16.0,2024,228
4.0,9:09,3.0,9.0,NYG 47,7.0,34.0,"Penalty on Matt Judon: Defensive Offside, 5 yards (accepted) (no play)",0.89,1.55,16.0,2024,228
4.0,8:44,3.0,4.0,ATL 48,7.0,34.0,"Drew Lock pass complete deep right to Malik Nabers for no gain. Penalty on Malik Nabers: Illegal Shift, 5 yards (accepted) (no play)",1.55,0.89,16.0,2024,228
4.0,8:16,3.0,9.0,NYG 47,7.0,34.0,Drew Lock sacked by Matt Judon for -7 yards,0.89,-0.72,16.0,2024,228
4.0,7:32,4.0,16.0,NYG 40,7.0,34.0,Jamie Gillan punts 21 yards downed by Ty Summers,-0.72,-1.53,16.0,2024,228
4.0,7:23,1.0,10.0,ATL 39,7.0,34.0,"Tyler Allgeier left tackle for -3 yards (tackle by Jason Pinnock and Ty Summers). Penalty on Matthew Bergeron: Offensive Holding, 10 yards (declined)",1.53,0.58,16.0,2024,228
4.0,7:01,2.0,13.0,ATL 36,7.0,34.0,Tyler Allgeier left end for -1 yards (tackle by Elijah Garcia and Andru Phillips),0.58,-0.23,16.0,2024,228
4.0,6:14,3.0,14.0,ATL 35,7.0,34.0,Michael Penix pass complete short right to Darnell Mooney for 12 yards (tackle by Cordale Flott),-0.23,-0.26,16.0,2024,228
4.0,5:32,4.0,2.0,ATL 47,7.0,34.0,"Bradley Pinion punts 42 yards, fair catch by Ihmir Smith-Marsette at NYG-11",-0.26,0.37,16.0,2024,228
4.0,5:26,1.0,10.0,NYG 11,7.0,34.0,Drew Lock pass complete short right to Malik Nabers for 5 yards (tackle by JD Bertrand),-0.37,-0.3,16.0,2024,228
4.0,4:51,2.0,5.0,NYG 16,7.0,34.0,Drew Lock pass complete short left to Wan'Dale Robinson for 9 yards (tackle by JD Bertrand),-0.3,0.61,16.0,2024,228
4.0,4:23,1.0,10.0,NYG 25,7.0,34.0,Drew Lock pass complete short left to Darius Slayton for 21 yards (tackle by JD Bertrand),0.61,1.99,16.0,2024,228
4.0,4:13,1.0,10.0,NYG 46,7.0,34.0,Drew Lock pass complete short right to Wan'Dale Robinson for 11 yards (tackle by JD Bertrand and Nathan Landman),1.99,2.72,16.0,2024,228
4.0,3:42,1.0,10.0,ATL 43,7.0,34.0,Drew Lock pass complete short left to Eric Gray for 2 yards (tackle by Kevin King),2.72,2.45,16.0,2024,228
4.0,3:22,2.0,8.0,ATL 41,7.0,34.0,Drew Lock pass complete short left to Tyrone Tracy for 16 yards (tackle by Nathan Landman and Arnold Ebiketie),2.45,3.91,16.0,2024,228
4.0,2:45,1.0,10.0,ATL 25,7.0,34.0,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",3.91,3.58,16.0,2024,228
4.0,2:45,1.0,15.0,ATL 30,7.0,34.0,"Drew Lock pass complete short left to Malik Nabers for no gain (tackle by Mike Hughes). Penalty on John Michael Schmitz: Offensive Holding, 10 yards (accepted) (no play)",3.58,2.92,16.0,2024,228
4.0,2:40,1.0,25.0,ATL 40,7.0,34.0,Drew Lock pass complete short left to Malik Nabers for 14 yards (tackle by Nathan Landman and Mike Hughes),2.92,3.23,16.0,2024,228
4.0,2:10,2.0,11.0,ATL 26,7.0,34.0,"Drew Lock pass complete deep left to Malik Nabers for 21 yards (tackle by Mike Hughes). Penalty on Natrone Brooks: Defensive Offside, 5 yards (declined)",3.23,6.06,16.0,2024,228
4.0,2:04,1.0,5.0,ATL 5,7.0,34.0,"Tyrone Tracy right end for no gain, touchdown. Penalty on Wan'Dale Robinson: Offensive Holding, 10 yards (accepted) (no play)",6.06,4.37,16.0,2024,228
4.0,1:59,1.0,15.0,ATL 15,7.0,34.0,Drew Lock pass complete short right to Wan'Dale Robinson for 4 yards (tackle by Kentavius Street and Nathan Landman),4.37,4.02,16.0,2024,228
4.0,1:33,2.0,11.0,ATL 11,7.0,34.0,"Penalty on Evan Neal: False Start, 5 yards (accepted) (no play)",4.02,3.34,16.0,2024,228
4.0,1:33,,,,,,Timeout #1 by New York Giants,,,16.0,2024,228
4.0,1:33,2.0,16.0,ATL 16,7.0,34.0,Drew Lock pass incomplete deep left intended for Malik Nabers (defended by Mike Hughes),3.34,2.85,16.0,2024,228
4.0,1:28,3.0,16.0,ATL 16,7.0,34.0,Drew Lock pass incomplete deep right intended for Malik Nabers (defended by Clark Phillips),2.85,2.38,16.0,2024,228
4.0,1:22,,,,,,Timeout #1 by Atlanta Falcons,,,16.0,2024,228
4.0,1:22,4.0,16.0,ATL 16,7.0,34.0,"Penalty on Evan Neal: False Start, 5 yards (accepted) (no play)",2.38,2.06,16.0,2024,228
4.0,1:22,4.0,21.0,ATL 21,7.0,34.0,Drew Lock pass incomplete deep right intended for Darius Slayton,2.06,-0.41,16.0,2024,228
4.0,1:12,1.0,10.0,ATL 22,7.0,34.0,Michael Penix kneels for -1 yards,0.41,-0.27,16.0,2024,228
4.0,0:31,2.0,11.0,ATL 21,7.0,34.0,Michael Penix kneels for -2 yards,-0.27,-1.29,16.0,2024,228
