Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA,week,year,game_id
2.0,4:07,2.0,5.0,SFO 5,7.0,6.0,De'Von Achane right end for 2 yards (tackle by Dee Winters),5.15,4.72,16.0,2024,238
2.0,3:22,3.0,3.0,SFO 3,7.0,12.0,"Tua Tagovailoa pass complete short right to Tyreek Hill for 3 yards, touchdown",4.72,7.0,16.0,2024,238
2.0,3:20,,,SFO 15,7.0,13.0,Jason Sanders kicks extra point good,0.0,0.0,16.0,2024,238
2.0,3:20,,,MIA 35,7.0,13.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
2.0,3:20,1.0,10.0,SFO 30,7.0,13.0,Brock Purdy pass complete short middle to George Kittle for 24 yards (tackle by Anthony Walker),0.94,2.52,16.0,2024,238
2.0,2:42,1.0,10.0,MIA 46,7.0,13.0,Brock Purdy pass complete short left to Jauan Jennings for 16 yards (tackle by Anthony Walker),2.52,3.58,16.0,2024,238
2.0,2:00,1.0,10.0,MIA 30,7.0,13.0,Brock Purdy pass complete short right to George Kittle for 12 yards (tackle by Jevon Holland),3.58,4.37,16.0,2024,238
2.0,1:53,1.0,10.0,MIA 18,7.0,13.0,Brock Purdy pass complete short left to Ricky Pearsall for 3 yards (tackle by Jevon Holland),4.37,4.25,16.0,2024,238
2.0,1:49,,,,,,Timeout #2 by Miami Dolphins,,,16.0,2024,238
2.0,1:49,2.0,7.0,MIA 15,7.0,13.0,Brock Purdy pass complete short middle to Ricky Pearsall for 8 yards (tackle by Jalen Ramsey),4.25,5.6,16.0,2024,238
2.0,1:47,,,,,,Timeout #3 by Miami Dolphins,,,16.0,2024,238
2.0,1:47,1.0,7.0,MIA 7,7.0,13.0,Deebo Samuel left tackle for 4 yards (tackle by Anthony Walker),5.6,5.53,16.0,2024,238
2.0,1:01,2.0,3.0,MIA 3,7.0,13.0,Brock Purdy pass incomplete short left,5.53,4.72,16.0,2024,238
2.0,0:53,3.0,3.0,MIA 3,7.0,13.0,Brock Purdy pass incomplete short right intended for George Kittle (defended by Chop Robinson),4.72,3.04,16.0,2024,238
2.0,0:50,4.0,3.0,MIA 3,10.0,13.0,Jake Moody 21 yard field goal good,3.04,3.0,16.0,2024,238
2.0,0:47,,,SFO 35,10.0,13.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
2.0,0:47,1.0,10.0,MIA 30,10.0,13.0,Tua Tagovailoa pass complete short middle to Jonnu Smith for 11 yards (tackle by Fred Warner),0.94,1.66,16.0,2024,238
2.0,0:32,1.0,10.0,MIA 41,10.0,13.0,Tua Tagovailoa pass incomplete short right,1.66,1.12,16.0,2024,238
2.0,0:28,2.0,10.0,MIA 41,10.0,13.0,Tua Tagovailoa pass incomplete short left intended for River Cracraft,1.12,0.43,16.0,2024,238
2.0,0:24,3.0,10.0,MIA 41,10.0,13.0,Tua Tagovailoa pass complete short middle to River Cracraft for 6 yards (tackle by Fred Warner),0.43,-0.26,16.0,2024,238
3.0,15:00,,,SFO 35,10.0,13.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
3.0,15:00,1.0,10.0,MIA 30,10.0,13.0,"De'Von Achane left guard for 1 yard (tackle by Dee Winters). Penalty on Talanoa Hufanga: Unnecessary Roughness / Defense, 15 yards (accepted)",0.94,1.99,16.0,2024,238
3.0,14:30,1.0,10.0,MIA 46,10.0,13.0,Tua Tagovailoa pass incomplete short middle intended for De'Von Achane (defended by Dee Winters),1.99,1.45,16.0,2024,238
3.0,14:25,2.0,10.0,MIA 46,10.0,13.0,Tua Tagovailoa pass complete short right to Jonnu Smith for 8 yards (tackle by Talanoa Hufanga and Nick Bosa),1.45,1.82,16.0,2024,238
3.0,13:41,3.0,2.0,SFO 46,10.0,13.0,Jeff Wilson up the middle for 6 yards (tackle by Kalia Davis and Charvarius Ward),1.82,2.92,16.0,2024,238
3.0,12:58,1.0,10.0,SFO 40,10.0,13.0,Jeff Wilson left end for 6 yards (tackle by Deommodore Lenoir and Dee Winters),2.92,3.18,16.0,2024,238
3.0,12:15,2.0,4.0,SFO 34,10.0,13.0,Tua Tagovailoa pass incomplete deep right intended for Tyreek Hill (defended by Charvarius Ward),3.18,2.48,16.0,2024,238
3.0,12:09,3.0,4.0,SFO 34,10.0,13.0,"Tua Tagovailoa pass complete short middle to Tyreek Hill for no gain (tackle by Talanoa Hufanga). Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted) (no play)",2.48,1.16,16.0,2024,238
3.0,11:44,3.0,14.0,SFO 44,10.0,13.0,Tua Tagovailoa pass complete short left to De'Von Achane for 8 yards (tackle by Renardo Green),1.16,0.88,16.0,2024,238
3.0,11:01,4.0,6.0,SFO 36,10.0,16.0,Jason Sanders 54 yard field goal good,0.88,3.0,16.0,2024,238
3.0,10:57,,,MIA 35,10.0,16.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
3.0,10:57,1.0,10.0,SFO 30,10.0,16.0,Brock Purdy pass complete short right to Deebo Samuel for 11 yards (tackle by Kendall Fuller),0.94,1.66,16.0,2024,238
3.0,10:22,1.0,10.0,SFO 41,10.0,16.0,Patrick Taylor right guard for 3 yards (tackle by Calais Campbell),1.66,1.53,16.0,2024,238
3.0,9:40,2.0,7.0,SFO 44,10.0,16.0,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Jordyn Brooks and Emmanuel Ogbah),1.53,1.62,16.0,2024,238
3.0,9:16,3.0,1.0,MIA 50,10.0,16.0,Brock Purdy up the middle for 2 yards (tackle by Zach Sieler),1.62,2.39,16.0,2024,238
3.0,8:38,1.0,10.0,MIA 48,10.0,16.0,Brock Purdy pass complete short middle to George Kittle for 28 yards (tackle by Anthony Walker and Elijah Campbell),2.39,4.24,16.0,2024,238
3.0,7:58,1.0,10.0,MIA 20,10.0,16.0,Patrick Taylor right tackle for no gain (tackle by Zach Sieler and Da'Shawn Hand) (no play),4.24,3.91,16.0,2024,238
3.0,7:34,1.0,15.0,MIA 25,10.0,16.0,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Kendall Fuller),3.91,3.02,16.0,2024,238
3.0,7:30,2.0,15.0,MIA 25,10.0,16.0,Brock Purdy scrambles up the middle for 7 yards (tackle by Jordyn Brooks and Anthony Walker),3.02,3.22,16.0,2024,238
3.0,6:47,3.0,8.0,MIA 18,10.0,16.0,Brock Purdy pass complete short middle to Deebo Samuel for no gain (tackle by Anthony Walker and Jordan Poyer) (no play),3.22,2.61,16.0,2024,238
3.0,6:01,3.0,13.0,MIA 23,10.0,16.0,Brock Purdy pass incomplete short left intended for Kyle Juszczyk,2.61,1.93,16.0,2024,238
3.0,5:56,4.0,13.0,MIA 23,10.0,16.0,Jake Moody 41 yard field goal no good,1.93,-1.0,16.0,2024,238
3.0,5:53,1.0,10.0,MIA 31,10.0,16.0,Raheem Mostert left end for 7 yards (tackle by Renardo Green),1.0,1.41,16.0,2024,238
3.0,5:25,2.0,3.0,MIA 38,10.0,16.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 2 yards (tackle by Kalia Davis and Dee Winters),1.41,0.96,16.0,2024,238
3.0,4:36,3.0,1.0,MIA 40,10.0,16.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 2 yards (tackle by Sam Okuayinonu),0.96,1.73,16.0,2024,238
3.0,3:56,1.0,10.0,MIA 42,10.0,16.0,Tua Tagovailoa pass complete short left to De'Von Achane for 12 yards (tackle by Renardo Green),1.73,2.52,16.0,2024,238
3.0,3:20,1.0,10.0,SFO 46,10.0,16.0,Tua Tagovailoa pass complete short middle to Jonnu Smith for 22 yards (tackle by Ji'Ayir Brown),2.52,3.97,16.0,2024,238
3.0,2:37,1.0,10.0,SFO 24,10.0,16.0,"Tua Tagovailoa aborted snap, recovered by Tua Tagovailoa at SF-25 and returned for -1 yards",3.97,3.3,16.0,2024,238
3.0,2:00,2.0,11.0,SFO 25,10.0,16.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 10 yards (tackle by Deommodore Lenoir),3.3,4.17,16.0,2024,238
3.0,1:16,3.0,1.0,SFO 15,10.0,16.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill (defended by Renardo Green),4.17,2.59,16.0,2024,238
3.0,1:11,4.0,1.0,SFO 15,10.0,19.0,Jason Sanders 33 yard field goal good,2.59,3.0,16.0,2024,238
3.0,1:08,,,MIA 35,10.0,19.0,"Jason Sanders kicks off 25 yards, out of bounds. Penalty on Jason Sanders: Kickoff Out of Bounds (accepted)",0.0,1.6,16.0,2024,238
3.0,1:08,1.0,10.0,SFO 40,10.0,19.0,Brock Purdy pass complete short left to Deebo Samuel for 9 yards (tackle by Jordan Poyer and Jordyn Brooks),1.6,2.27,16.0,2024,238
3.0,0:31,2.0,1.0,SFO 49,10.0,19.0,Deebo Samuel up the middle for 13 yards (tackle by Jordan Poyer),2.27,3.05,16.0,2024,238
4.0,15:00,1.0,10.0,MIA 38,10.0,19.0,Patrick Taylor right guard for 4 yards (tackle by Benito Jones),3.05,3.05,16.0,2024,238
4.0,14:25,2.0,6.0,MIA 34,10.0,19.0,Brock Purdy pass complete short right to Deebo Samuel for 11 yards (tackle by Elijah Campbell and Jordan Poyer),3.05,4.04,16.0,2024,238
4.0,13:58,1.0,10.0,MIA 23,10.0,19.0,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Kader Kohou),4.04,4.56,16.0,2024,238
4.0,13:25,2.0,3.0,MIA 16,10.0,19.0,Patrick Taylor up the middle for 2 yards (tackle by Emmanuel Ogbah),4.56,4.28,16.0,2024,238
4.0,13:01,3.0,1.0,MIA 14,10.0,19.0,Brock Purdy pass complete short right to George Kittle for 11 yards (tackle by Jalen Ramsey),4.28,6.51,16.0,2024,238
4.0,12:39,1.0,3.0,MIA 3,10.0,19.0,Patrick Taylor up the middle for 1 yard (tackle by Quinton Bell and Calais Campbell),6.51,5.72,16.0,2024,238
4.0,12:05,2.0,2.0,MIA 2,16.0,19.0,"Brock Purdy pass complete short right to Eric Saubert for 2 yards, touchdown",5.72,7.0,16.0,2024,238
4.0,12:02,,,MIA 15,17.0,19.0,Jake Moody kicks extra point good,0.0,0.0,16.0,2024,238
4.0,12:02,,,SFO 35,17.0,19.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
4.0,12:02,1.0,10.0,MIA 30,17.0,19.0,Tua Tagovailoa pass incomplete short left intended for Durham Smythe (defended by Demetrius Flannigan-Fowles),0.94,0.39,16.0,2024,238
4.0,11:56,2.0,10.0,MIA 30,17.0,19.0,"Tua Tagovailoa pass complete short right to Jonnu Smith for 3 yards (tackle by Dee Winters). Penalty on Jordan Elliott: Unnecessary Roughness / Defense, 15 yards (accepted)",0.39,2.13,16.0,2024,238
4.0,11:31,1.0,10.0,MIA 48,17.0,19.0,De'Von Achane left end for 7 yards (tackle by Demetrius Flannigan-Fowles),2.13,2.53,16.0,2024,238
4.0,10:48,2.0,3.0,SFO 45,17.0,19.0,"De'Von Achane up the middle for no gain (tackle by Maliek Collins and Demetrius Flannigan-Fowles). Penalty on Robert Jones: Offensive Holding, 10 yards (accepted) (no play)",2.53,1.18,16.0,2024,238
4.0,10:19,2.0,13.0,MIA 45,17.0,19.0,De'Von Achane left tackle for 5 yards (tackle by Sam Okuayinonu),1.18,1.16,16.0,2024,238
4.0,9:42,3.0,8.0,SFO 50,17.0,19.0,Tua Tagovailoa pass incomplete short right intended for River Cracraft,1.16,-0.06,16.0,2024,238
4.0,9:38,4.0,8.0,SFO 50,17.0,19.0,"Jake Bailey punts 40 yards, fair catch by Jacob Cowing at SF-10",-0.06,0.38,16.0,2024,238
4.0,9:31,1.0,10.0,SFO 10,17.0,19.0,Brock Purdy pass complete short right to Kyle Juszczyk for 20 yards (tackle by Da'Shawn Hand),-0.38,0.94,16.0,2024,238
4.0,8:45,1.0,10.0,SFO 30,17.0,19.0,Deebo Samuel right end for 1 yard (tackle by Emmanuel Ogbah and Duke Riley),0.94,0.53,16.0,2024,238
4.0,8:06,2.0,9.0,SFO 31,17.0,19.0,Brock Purdy pass complete short left to Deebo Samuel for 5 yards (tackle by Duke Riley and Jevon Holland),0.53,0.5,16.0,2024,238
4.0,7:22,3.0,4.0,SFO 36,17.0,19.0,Brock Purdy pass complete short left to Patrick Taylor for 1 yard (tackle by Duke Riley and Jalen Ramsey),0.5,-0.91,16.0,2024,238
4.0,6:45,4.0,3.0,SFO 37,17.0,19.0,"Pat O'Donnell punts 39 yards out of bounds. Penalty on Isaac Yiadom: Illegal Substitution, 5 yards (accepted)",-0.91,-0.87,16.0,2024,238
4.0,6:37,1.0,10.0,MIA 29,17.0,19.0,"De'Von Achane left end for 7 yards (tackle by Renardo Green and Deommodore Lenoir). Penalty on Deommodore Lenoir: Unnecessary Roughness / Defense, 15 yards (accepted)",0.87,2.32,16.0,2024,238
4.0,6:13,1.0,10.0,SFO 49,17.0,19.0,"De'Von Achane up the middle for no gain (tackle by Dee Winters). Penalty on Kalia Davis: Defensive Offside, 5 yards (accepted) (no play)",2.32,3.05,16.0,2024,238
4.0,5:44,1.0,5.0,SFO 44,17.0,19.0,De'Von Achane left guard for 4 yards (tackle by Fred Warner and Evan Anderson),3.05,3.0,16.0,2024,238
4.0,5:11,2.0,1.0,SFO 40,17.0,19.0,De'Von Achane up the middle for 5 yards (tackle by Demetrius Flannigan-Fowles and Renardo Green),3.0,3.25,16.0,2024,238
4.0,4:27,1.0,10.0,SFO 35,17.0,19.0,Raheem Mostert left guard for no gain (tackle by Jordan Elliott and Yetur Gross-Matos),3.25,2.7,16.0,2024,238
4.0,3:42,2.0,10.0,SFO 35,17.0,19.0,Tua Tagovailoa pass complete short left to De'Von Achane for 7 yards (tackle by Yetur Gross-Matos),2.7,2.94,16.0,2024,238
4.0,2:58,3.0,3.0,SFO 28,17.0,19.0,Raheem Mostert left guard for -2 yards (tackle by Demetrius Flannigan-Fowles),2.94,1.45,16.0,2024,238
4.0,2:13,,,,,,Timeout #1 by Miami Dolphins,,,16.0,2024,238
4.0,2:13,4.0,5.0,SFO 30,17.0,22.0,Jason Sanders 48 yard field goal good,1.45,3.0,16.0,2024,238
4.0,2:10,,,MIA 35,17.0,22.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
4.0,2:10,1.0,10.0,SFO 30,17.0,22.0,Brock Purdy pass complete deep right to Jauan Jennings for 17 yards (tackle by Storm Duck),0.94,2.06,16.0,2024,238
4.0,2:00,1.0,10.0,SFO 47,17.0,22.0,Brock Purdy pass short middle intended for Jauan Jennings is intercepted by Kader Kohou at MIA-38 and returned for no gain (tackle by Jauan Jennings),2.06,-1.47,16.0,2024,238
4.0,1:56,1.0,10.0,MIA 38,17.0,22.0,De'Von Achane left end for 8 yards (tackle by Talanoa Hufanga and Nick Bosa),1.47,2.0,16.0,2024,238
4.0,1:47,,,,,,Timeout #1 by San Francisco 49ers,,,16.0,2024,238
4.0,1:47,2.0,2.0,MIA 46,17.0,22.0,Alec Ingold up the middle for 4 yards (tackle by Renardo Green and Fred Warner),2.0,2.26,16.0,2024,238
4.0,1:44,,,,,,Timeout #2 by San Francisco 49ers,,,16.0,2024,238
4.0,1:44,1.0,10.0,MIA 50,17.0,28.0,"De'Von Achane right tackle for 50 yards, touchdown",2.26,7.0,16.0,2024,238
4.0,1:36,,,SFO 15,17.0,29.0,Jason Sanders kicks extra point good,0.0,0.0,16.0,2024,238
4.0,1:36,,,MIA 35,17.0,29.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,238
4.0,1:36,1.0,10.0,SFO 30,17.0,29.0,Brock Purdy pass complete short middle to Jauan Jennings for 7 yards (tackle by Storm Duck),0.94,1.34,16.0,2024,238
4.0,1:19,2.0,3.0,SFO 37,17.0,29.0,Brock Purdy scrambles up the middle for 16 yards (tackle by Anthony Walker),1.34,2.46,16.0,2024,238
4.0,1:03,1.0,10.0,MIA 47,17.0,29.0,Brock Purdy pass incomplete short left intended for Patrick Taylor,2.46,1.91,16.0,2024,238
4.0,0:59,2.0,10.0,MIA 47,17.0,29.0,Brock Purdy sacked by Chop Robinson for -7 yards,1.91,0.3,16.0,2024,238
4.0,0:49,,,,,,Timeout #3 by San Francisco 49ers,,,16.0,2024,238
4.0,0:49,3.0,17.0,SFO 46,17.0,29.0,Brock Purdy pass complete short right to Deebo Samuel for 27 yards (tackle by Storm Duck and Jalen Ramsey),0.3,3.78,16.0,2024,238
4.0,0:28,1.0,10.0,MIA 27,17.0,29.0,Brock Purdy spiked the ball,3.78,3.23,16.0,2024,238
4.0,0:27,2.0,10.0,MIA 27,17.0,29.0,Brock Purdy pass complete short right to George Kittle for 9 yards (tackle by Jordan Poyer),3.23,3.84,16.0,2024,238
