Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA,week,year,game_id
2.0,0:13,3.0,13.0,DEN 15,21.0,10.0,Javonte Williams right tackle for 1 yard (tackle by Morgan Fox),-1.66,-2.39,16.0,2024,225
2.0,0:08,,,,,,Timeout #1 by Los Angeles Chargers,,,16.0,2024,225
2.0,0:08,4.0,12.0,DEN 16,21.0,10.0,"Riley Dixon punts 46 yards, fair catch by Derius Davis at LAC-38. Penalty on Tremon Smith: Kick Catch Interference, 15 yards (accepted)",-2.39,-2.46,16.0,2024,225
2.0,0:00,,,,,,Timeout #2 by Los Angeles Chargers,,,16.0,2024,225
2.0,0:00,,,,,,Timeout #2 by Denver Broncos,,,16.0,2024,225
2.0,0:00,1.0,10.0,DEN 47,21.0,13.0,Cameron Dicker 57 yard field goal good,2.46,3.0,16.0,2024,225
3.0,15:00,,,LAC 35,21.0,13.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
3.0,15:00,1.0,10.0,DEN 30,21.0,13.0,Audric Estime left guard for 7 yards (tackle by Morgan Fox),0.94,1.34,16.0,2024,225
3.0,14:20,2.0,3.0,DEN 37,21.0,13.0,Blake Watson right tackle for 2 yards (tackle by Khalil Mack and Teair Tart),1.34,0.89,16.0,2024,225
3.0,13:40,3.0,1.0,DEN 39,21.0,13.0,Bo Nix pass complete short right to Troy Franklin for 18 yards (tackle by Tony Jefferson),0.89,2.72,16.0,2024,225
3.0,12:59,1.0,10.0,LAC 43,21.0,13.0,"Bo Nix aborted snap, recovered by Marvin Mims at LAC-47 Marvin Mims for no gain (tackle by Daiyan Henley)",2.72,1.91,16.0,2024,225
3.0,12:18,2.0,12.0,LAC 45,21.0,13.0,Bo Nix pass complete short right to Adam Trautman for 5 yards (tackle by Ja'Sir Taylor),1.91,1.88,16.0,2024,225
3.0,11:33,3.0,7.0,LAC 40,21.0,13.0,Bo Nix pass complete short left to Nate Adkins for 5 yards (tackle by Tuli Tuipulotu),1.88,0.99,16.0,2024,225
3.0,10:47,4.0,2.0,LAC 35,21.0,13.0,Bo Nix pass complete short right to Courtland Sutton for 5 yards (tackle by Tony Jefferson and Junior Colson),0.99,3.58,16.0,2024,225
3.0,10:08,1.0,10.0,LAC 30,21.0,13.0,Audric Estime left tackle for -1 yards (tackle by Teair Tart),3.58,2.9,16.0,2024,225
3.0,9:22,2.0,11.0,LAC 31,21.0,13.0,Bo Nix pass incomplete deep right intended for Marvin Mims,2.9,2.21,16.0,2024,225
3.0,9:16,3.0,11.0,LAC 31,21.0,13.0,Bo Nix pass complete short right to Marvin Mims for 8 yards (tackle by Tony Jefferson and Joey Bosa),2.21,2.03,16.0,2024,225
3.0,8:34,4.0,3.0,LAC 23,24.0,13.0,Wil Lutz 41 yard field goal good,2.03,3.0,16.0,2024,225
3.0,8:31,,,DEN 35,24.0,13.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
3.0,8:31,1.0,10.0,LAC 30,24.0,13.0,Justin Herbert pass complete short right to Ladd McConkey for 6 yards (tackle by Kris Abrams-Draine),0.94,1.2,16.0,2024,225
3.0,7:54,2.0,4.0,LAC 36,24.0,13.0,Justin Herbert scrambles up the middle for 18 yards (tackle by Cody Barton),1.2,2.52,16.0,2024,225
3.0,7:12,1.0,10.0,DEN 46,24.0,13.0,Kimani Vidal up the middle for 2 yards (tackle by Justin Strnad),2.52,2.25,16.0,2024,225
3.0,6:33,2.0,8.0,DEN 44,24.0,13.0,Justin Herbert pass complete short middle to Tucker Fisk for 10 yards (tackle by Nik Bonitto and Cody Barton),2.25,3.31,16.0,2024,225
3.0,5:49,1.0,10.0,DEN 34,24.0,13.0,Kimani Vidal up the middle for no gain (tackle by Zach Allen and Jonah Elliss),3.31,2.77,16.0,2024,225
3.0,5:09,2.0,10.0,DEN 34,24.0,13.0,Justin Herbert pass complete short left to Stone Smartt for 19 yards (tackle by Kris Abrams-Draine),2.77,4.58,16.0,2024,225
3.0,4:28,1.0,10.0,DEN 15,24.0,13.0,Justin Herbert sacked by Dondrea Tillman for -10 yards,4.58,2.67,16.0,2024,225
3.0,3:52,2.0,20.0,DEN 25,24.0,13.0,Justin Herbert pass complete short right to Ladd McConkey for 7 yards (tackle by Ja'Quan McMillian),2.67,2.89,16.0,2024,225
3.0,3:23,3.0,13.0,DEN 18,24.0,13.0,"Justin Herbert scrambles up the middle for 7 yards (tackle by Justin Strnad). Penalty on Justin Strnad: Unnecessary Roughness / Defense, 6 yards (accepted)",2.89,6.06,16.0,2024,225
3.0,3:02,1.0,5.0,DEN 5,24.0,19.0,"Gus Edwards left end for 5 yards, touchdown",6.06,7.0,16.0,2024,225
3.0,2:58,,,DEN 2,24.0,19.0,"Two Point Attempt: Justin Herbert rushes, conversion fails.",1.0,-1.0,16.0,2024,225
3.0,2:58,,,LAC 35,24.0,19.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
3.0,2:58,1.0,10.0,DEN 30,24.0,19.0,Blake Watson right guard for -1 yards (tackle by Poona Ford),0.94,0.26,16.0,2024,225
3.0,2:18,2.0,11.0,DEN 29,24.0,19.0,Bo Nix pass complete short right to Javonte Williams for 3 yards (tackle by Daiyan Henley),0.26,-0.03,16.0,2024,225
3.0,1:32,3.0,8.0,DEN 32,24.0,19.0,Bo Nix pass complete short right to Javonte Williams for 1 yard (tackle by Derwin James),-0.03,-1.18,16.0,2024,225
3.0,0:52,4.0,7.0,DEN 33,24.0,19.0,Riley Dixon punts 45 yards out of bounds,-1.18,-0.41,16.0,2024,225
3.0,0:45,1.0,10.0,LAC 22,24.0,19.0,Justin Herbert pass complete short left to Josh Palmer for 12 yards (tackle by Patrick Surtain),0.41,1.2,16.0,2024,225
3.0,0:09,1.0,10.0,LAC 34,24.0,19.0,Gus Edwards up the middle for 4 yards (tackle by Malcolm Roach and Eyioma Uwazurike),1.2,1.2,16.0,2024,225
4.0,15:00,2.0,6.0,LAC 38,24.0,19.0,"Justin Herbert pass incomplete short right intended for Scott Matlock. Penalty on Jonathon Cooper: Horse Collar Tackle, 15 yards (accepted) (no play)",1.2,2.46,16.0,2024,225
4.0,14:55,1.0,10.0,DEN 47,24.0,19.0,Justin Herbert pass incomplete short middle intended for Gus Edwards (defended by D.J. Jones),2.46,1.91,16.0,2024,225
4.0,14:50,2.0,10.0,DEN 47,24.0,19.0,"Justin Herbert pass complete short left to Kimani Vidal for no gain (tackle by Cody Barton). Penalty on Zach Allen: Defensive Offside, 5 yards (accepted) (no play)",1.91,2.59,16.0,2024,225
4.0,14:22,2.0,5.0,DEN 42,24.0,19.0,"Kimani Vidal right guard for no gain. Kimani Vidal fumbles (tackle by Dondrea Tillman, recovered by Kimani Vidal at DEN-42",2.59,1.88,16.0,2024,225
4.0,13:36,3.0,5.0,DEN 42,24.0,19.0,"Justin Herbert pass complete short right to Quentin Johnston for 6 yards (tackle by Patrick Surtain). Penalty on Dondrea Tillman: Defensive Offside, 5 yards (declined)",1.88,3.18,16.0,2024,225
4.0,13:14,1.0,10.0,DEN 36,24.0,19.0,Justin Herbert pass complete short middle to Ladd McConkey for 17 yards (tackle by Patrick Surtain and P.J. Locke),3.18,4.31,16.0,2024,225
4.0,12:29,1.0,10.0,DEN 19,24.0,25.0,"Justin Herbert pass complete deep left to Derius Davis for 19 yards, touchdown",4.31,7.0,16.0,2024,225
4.0,12:23,,,DEN 2,24.0,27.0,Two Point Attempt: Justin Herbert pass complete to to Josh Palmer for no gain,1.0,1.0,16.0,2024,225
4.0,12:23,,,LAC 35,24.0,27.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
4.0,12:23,1.0,10.0,DEN 30,24.0,27.0,Audric Estime right guard for 5 yards (tackle by Tarheeb Still),0.94,1.07,16.0,2024,225
4.0,11:39,2.0,5.0,DEN 35,24.0,27.0,Bo Nix pass incomplete short left,1.07,0.37,16.0,2024,225
4.0,11:35,3.0,5.0,DEN 35,24.0,27.0,Bo Nix pass complete short left to Michael Burton for 13 yards (tackle by Kendall Williamson),0.37,2.13,16.0,2024,225
4.0,10:51,1.0,10.0,DEN 48,24.0,27.0,Bo Nix pass incomplete deep right intended for Marvin Mims (defended by Tarheeb Still),2.13,1.58,16.0,2024,225
4.0,10:43,2.0,10.0,DEN 48,24.0,27.0,Javonte Williams left guard for 2 yards (tackle by Tuli Tuipulotu),1.58,1.16,16.0,2024,225
4.0,10:02,3.0,8.0,DEN 50,24.0,27.0,Bo Nix pass incomplete short right intended for Blake Watson,1.16,-0.06,16.0,2024,225
4.0,9:55,4.0,8.0,DEN 50,24.0,27.0,Riley Dixon punts 45 yards downed by Tremon Smith,-0.06,0.38,16.0,2024,225
4.0,9:48,1.0,10.0,LAC 5,24.0,27.0,Justin Herbert pass incomplete deep left intended for Quentin Johnston,-0.38,-0.78,16.0,2024,225
4.0,9:42,2.0,10.0,LAC 5,24.0,27.0,Justin Herbert pass complete short left to Quentin Johnston for 6 yards (tackle by Kris Abrams-Draine),-0.78,-0.72,16.0,2024,225
4.0,8:58,3.0,4.0,LAC 11,24.0,27.0,Justin Herbert pass complete short left to Hayden Hurst for 8 yards (tackle by P.J. Locke and Justin Strnad),-0.72,0.15,16.0,2024,225
4.0,8:12,1.0,10.0,LAC 19,24.0,27.0,Gus Edwards up the middle for 1 yard (tackle by Brandon Jones),0.15,-0.2,16.0,2024,225
4.0,7:29,2.0,9.0,LAC 20,24.0,27.0,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by Jonathon Cooper),-0.2,-0.94,16.0,2024,225
4.0,7:26,3.0,9.0,LAC 20,24.0,27.0,Justin Herbert sacked by Drew Sanders for -11 yards,-0.94,-2.49,16.0,2024,225
4.0,6:48,4.0,20.0,LAC 9,24.0,27.0,"JK Scott punts 46 yards, fair catch by Marvin Mims at DEN-45",-2.49,-1.93,16.0,2024,225
4.0,6:41,1.0,10.0,DEN 45,24.0,27.0,Bo Nix sacked by Bud Dupree for -10 yards,1.93,0.03,16.0,2024,225
4.0,5:56,2.0,20.0,DEN 35,24.0,27.0,Audric Estime up the middle for 7 yards (tackle by Joey Bosa),0.03,0.3,16.0,2024,225
4.0,5:16,3.0,13.0,DEN 42,24.0,27.0,Bo Nix pass complete short middle to Lucas Krull for 7 yards (tackle by Derwin James),0.3,-0.13,16.0,2024,225
4.0,4:34,4.0,6.0,DEN 49,24.0,27.0,"Riley Dixon punts 41 yards, fair catch by Derius Davis at LAC-10",-0.13,0.38,16.0,2024,225
4.0,4:28,1.0,10.0,LAC 10,24.0,27.0,Gus Edwards right end for no gain (tackle by Cody Barton and John Franklin-Myers),-0.38,-0.78,16.0,2024,225
4.0,3:46,2.0,10.0,LAC 10,24.0,27.0,Justin Herbert pass incomplete short left intended for Quentin Johnston,-0.78,-1.42,16.0,2024,225
4.0,3:43,3.0,10.0,LAC 10,24.0,27.0,Justin Herbert scrambles right end for 16 yards (tackle by Ja'Quan McMillian),-1.42,0.67,16.0,2024,225
4.0,3:35,1.0,10.0,LAC 26,24.0,27.0,Gus Edwards up the middle for 43 yards (tackle by Justin Strnad),0.67,3.51,16.0,2024,225
4.0,2:42,1.0,10.0,DEN 31,24.0,27.0,Gus Edwards right end for -3 yards (tackle by Jonah Elliss and Brandon Jones),3.51,2.56,16.0,2024,225
4.0,2:36,,,,,,Timeout #1 by Denver Broncos,,,16.0,2024,225
4.0,2:36,2.0,13.0,DEN 34,24.0,33.0,"Justin Herbert pass complete short middle to Hassan Haskins for 34 yards, touchdown",2.56,7.0,16.0,2024,225
4.0,2:27,,,DEN 15,24.0,34.0,Cameron Dicker kicks extra point good,0.0,0.0,16.0,2024,225
4.0,2:27,,,LAC 35,24.0,34.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,225
4.0,2:27,1.0,10.0,DEN 30,24.0,34.0,Bo Nix pass complete short right to Courtland Sutton for 11 yards (tackle by Kristian Fulton),0.94,1.66,16.0,2024,225
4.0,2:23,1.0,10.0,DEN 41,24.0,34.0,Bo Nix pass complete short right to Troy Franklin for 7 yards (tackle by Daiyan Henley),1.66,2.07,16.0,2024,225
4.0,2:03,2.0,3.0,DEN 48,24.0,34.0,"Bo Nix scrambles up the middle for no gain, lateral to Javonte Williams for no gain (tackle by Deane Leonard). Penalty on Bo Nix: Illegal Forward Pass, 5 yards (declined) . Penalty on Garett Bolles: Offensive Holding, 10 yards (accepted) (no play)",2.07,0.72,16.0,2024,225
4.0,1:54,2.0,13.0,DEN 38,24.0,34.0,Bo Nix pass incomplete short right intended for Javonte Williams,0.72,0.04,16.0,2024,225
4.0,1:49,3.0,13.0,DEN 38,24.0,34.0,Bo Nix pass complete short right to Lucas Krull for 10 yards (tackle by Kristian Fulton and Daiyan Henley),0.04,-0.19,16.0,2024,225
4.0,1:26,,,,,,Timeout #1 by Los Angeles Chargers,,,16.0,2024,225
4.0,1:26,4.0,3.0,DEN 48,24.0,34.0,Bo Nix pass complete short middle to Lucas Krull for 4 yards (tackle by Tony Jefferson),-0.19,2.39,16.0,2024,225
4.0,1:08,1.0,10.0,LAC 48,24.0,34.0,Bo Nix pass complete short left to Javonte Williams for 11 yards (tackle by Daiyan Henley),2.39,3.12,16.0,2024,225
4.0,1:02,1.0,10.0,LAC 37,27.0,34.0,Wil Lutz 55 yard field goal good,3.12,3.0,16.0,2024,225
4.0,0:57,,,,,,Timeout #2 by Los Angeles Chargers,,,16.0,2024,225
4.0,0:57,,,DEN 35,27.0,34.0,"Wil Lutz kicks onside 11 yards, returned by Nick Niemann for no gain",0.0,2.52,16.0,2024,225
4.0,0:56,1.0,10.0,DEN 46,27.0,34.0,Justin Herbert kneels for -5 yards,2.52,1.3,16.0,2024,225
4.0,0:53,,,,,,Timeout #2 by Denver Broncos,,,16.0,2024,225
4.0,0:53,2.0,15.0,LAC 49,27.0,34.0,Justin Herbert kneels for -5 yards,1.3,-0.03,16.0,2024,225
4.0,0:53,,,,,,Timeout #3 by Denver Broncos,,,16.0,2024,225
4.0,0:48,3.0,20.0,LAC 44,27.0,34.0,Justin Herbert kneels for -7 yards,-0.03,-0.91,16.0,2024,225
4.0,0:04,4.0,27.0,LAC 37,27.0,34.0,"Penalty on Justin Herbert: Delay of Game, 5 yards (accepted) (no play)",-0.91,-1.24,16.0,2024,225
4.0,0:04,4.0,32.0,LAC 32,27.0,34.0,Justin Herbert pass incomplete deep right,-1.24,1.07,16.0,2024,225
