Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA,week,year,game_id
2.0,3:22,3.0,11.0,JAX 46,7.0,13.0,"Penalty on Cody Whitehair: False Start, 5 yards (accepted) (no play)",1.22,0.56,16.0,2024,237
2.0,3:22,3.0,16.0,LVR 49,7.0,13.0,"Alexander Mattison up the middle for no gain (tackle by Jarrian Jones). Penalty on Josh Hines-Allen: Defensive Offside, 5 yards (accepted) (no play)",0.56,1.22,16.0,2024,237
2.0,3:03,3.0,11.0,JAX 46,7.0,13.0,"Aidan O'Connell pass incomplete deep left intended for Brock Bowers. Penalty on Travon Walker: Defensive Offside, 5 yards (accepted) (no play)",1.22,1.88,16.0,2024,237
2.0,2:58,3.0,6.0,JAX 41,7.0,13.0,Aidan O'Connell pass incomplete short middle intended for Alexander Mattison (defended by Andrew Wingard),1.88,0.53,16.0,2024,237
2.0,2:52,4.0,6.0,JAX 41,7.0,13.0,"AJ Cole punts 31 yards, fair catch by Devin Duvernay at JAC-10",0.53,0.38,16.0,2024,237
2.0,2:46,1.0,10.0,JAX 10,7.0,13.0,Travis Etienne up the middle for 3 yards (tackle by Jonah Laulu),-0.38,-0.56,16.0,2024,237
2.0,2:02,,,,,,Timeout #1 by Jacksonville Jaguars,,,16.0,2024,237
2.0,2:02,2.0,7.0,JAX 13,7.0,13.0,Mac Jones pass complete short left to Brian Thomas for 4 yards (tackle by Darnay Holmes),-0.56,-0.6,16.0,2024,237
2.0,1:56,3.0,3.0,JAX 17,7.0,13.0,Mac Jones pass complete short middle to Parker Washington for 8 yards (tackle by Jack Jones),-0.6,0.61,16.0,2024,237
2.0,1:30,1.0,10.0,JAX 25,7.0,13.0,Mac Jones pass incomplete short right intended for Brian Thomas,0.61,0.06,16.0,2024,237
2.0,1:25,2.0,10.0,JAX 25,7.0,13.0,Mac Jones pass complete short middle to Travis Etienne for 4 yards (tackle by Tre'von Moehrig),0.06,-0.1,16.0,2024,237
2.0,0:49,3.0,6.0,JAX 29,7.0,13.0,Mac Jones pass complete short left to Brian Thomas for 7 yards (tackle by Darnay Holmes and Tre'von Moehrig),-0.1,1.33,16.0,2024,237
2.0,0:42,,,,,,Timeout #2 by Jacksonville Jaguars,,,16.0,2024,237
2.0,0:42,1.0,10.0,JAX 36,7.0,13.0,Mac Jones pass complete short middle to Brian Thomas for 4 yards (tackle by Robert Spillane),1.33,1.33,16.0,2024,237
2.0,0:23,2.0,6.0,JAX 40,7.0,13.0,Mac Jones pass complete short right to Parker Washington for 17 yards (tackle by Isaiah Pola-Mao and Robert Spillane),1.33,2.72,16.0,2024,237
2.0,0:15,,,,,,Timeout #3 by Jacksonville Jaguars,,,16.0,2024,237
2.0,0:15,1.0,10.0,LVR 43,7.0,13.0,"Mac Jones pass complete short middle to Brenton Strange for 9 yards. Brenton Strange fumbles (forced by Isaiah Pola-Mao), recovered by Thomas Harper at LV-33 (tackle by Isaiah Pola-Mao)",2.72,-1.14,16.0,2024,237
2.0,0:09,1.0,10.0,LVR 33,7.0,13.0,Aidan O'Connell kneels for -1 yards,1.14,0.46,16.0,2024,237
3.0,15:00,,,JAX 35,7.0,13.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
3.0,15:00,1.0,10.0,LVR 30,7.0,13.0,Aidan O'Connell pass incomplete short middle intended for Alexander Mattison,0.94,0.39,16.0,2024,237
3.0,14:55,2.0,10.0,LVR 30,7.0,13.0,Aidan O'Connell pass complete short right to Alexander Mattison for 5 yards (tackle by Jarrian Jones),0.39,0.37,16.0,2024,237
3.0,14:13,3.0,5.0,LVR 35,7.0,13.0,Aidan O'Connell pass incomplete short left intended for Brock Bowers,0.37,-1.04,16.0,2024,237
3.0,14:07,4.0,5.0,LVR 35,7.0,13.0,"AJ Cole punts 48 yards, returned by Devin Duvernay for 8 yards (tackle by Amari Burney and Isaiah Pola-Mao)",-1.04,-0.61,16.0,2024,237
3.0,13:57,1.0,10.0,JAX 25,7.0,13.0,"Mac Jones pass complete short right to Brian Thomas for no gain (tackle by Decamerion Richardson). Penalty on Tim Jones: Offensive Pass Interference, 10 yards (accepted) (no play)",0.61,-0.41,16.0,2024,237
3.0,13:31,1.0,20.0,JAX 15,7.0,13.0,Mac Jones pass complete short middle to Parker Washington for 7 yards (tackle by Divine Deablo and Isaiah Pola-Mao),-0.41,-0.34,16.0,2024,237
3.0,12:58,2.0,13.0,JAX 22,7.0,13.0,Mac Jones pass complete short right to Parker Washington for 12 yards,-0.34,0.56,16.0,2024,237
3.0,12:20,3.0,1.0,JAX 34,7.0,13.0,Tank Bigsby right guard for 6 yards (tackle by Robert Spillane),0.56,1.6,16.0,2024,237
3.0,11:37,1.0,10.0,JAX 40,7.0,13.0,Tank Bigsby left tackle for 4 yards (tackle by Robert Spillane),1.6,1.59,16.0,2024,237
3.0,11:12,2.0,6.0,JAX 44,7.0,13.0,Tank Bigsby right end for 6 yards (tackle by Thomas Harper),1.59,2.26,16.0,2024,237
3.0,10:33,1.0,10.0,JAX 50,7.0,13.0,Tank Bigsby right end for 6 yards (tackle by Thomas Harper),2.26,2.52,16.0,2024,237
3.0,10:00,2.0,4.0,LVR 44,7.0,13.0,Travis Etienne right end for -1 yards (tackle by Decamerion Richardson),2.52,1.69,16.0,2024,237
3.0,9:21,3.0,5.0,LVR 45,7.0,13.0,Mac Jones sacked by K'Lavon Chaisson for -11 yards,1.69,-0.46,16.0,2024,237
3.0,8:44,4.0,16.0,JAX 44,7.0,13.0,Logan Cooke punts 36 yards out of bounds,-0.46,-0.28,16.0,2024,237
3.0,8:38,1.0,10.0,LVR 20,7.0,13.0,Alexander Mattison up the middle for 6 yards (tackle by Tyler Lacy and Jeremiah Ledbetter),0.28,0.54,16.0,2024,237
3.0,8:15,2.0,4.0,LVR 26,7.0,13.0,Alexander Mattison left guard for 3 yards (tackle by Myles Cole),0.54,0.23,16.0,2024,237
3.0,7:33,3.0,1.0,LVR 29,7.0,13.0,"Aidan O'Connell pass complete short right to Brock Bowers for 6 yards (tackle by Deantre Prince). Penalty on Foyesade Oluokun: Defensive Holding, 5 yards (declined)",0.23,1.27,16.0,2024,237
3.0,7:10,1.0,10.0,LVR 35,7.0,13.0,Alexander Mattison right guard for -1 yards (tackle by Myles Cole),1.27,0.59,16.0,2024,237
3.0,6:32,2.0,11.0,LVR 34,7.0,13.0,"Aidan O'Connell pass complete deep left to Tre Tucker for no gain (tackle by Montaric Brown). Penalty on Kolton Miller: Offensive Holding, 9 yards (accepted) (no play)",0.59,-0.63,16.0,2024,237
3.0,6:06,2.0,20.0,LVR 25,7.0,13.0,Aidan O'Connell pass incomplete short middle intended for Michael Mayer,-0.63,-1.29,16.0,2024,237
3.0,6:02,3.0,20.0,LVR 25,7.0,13.0,Ameer Abdullah right guard for 6 yards (tackle by Jarrian Jones and Josh Hines-Allen),-1.29,-1.31,16.0,2024,237
3.0,5:19,4.0,14.0,LVR 31,7.0,13.0,"AJ Cole punts 60 yards, recovered by Devin Duvernay at JAC-9",-1.31,0.38,16.0,2024,237
3.0,5:09,1.0,10.0,JAX 9,7.0,13.0,Mac Jones pass complete short left to Travis Etienne for 11 yards (tackle by Divine Deablo),-0.38,0.28,16.0,2024,237
3.0,4:25,1.0,10.0,JAX 20,7.0,13.0,Mac Jones pass incomplete short middle,0.28,-0.27,16.0,2024,237
3.0,4:14,2.0,10.0,JAX 20,7.0,13.0,"Mac Jones pass incomplete deep left intended for Brian Thomas. Penalty on Mitch Morse: Offensive Holding, 10 yards (accepted) (no play)",-0.27,-1.51,16.0,2024,237
3.0,4:14,2.0,20.0,JAX 10,7.0,13.0,Mac Jones pass incomplete short left intended for Brenton Strange (defended by Divine Deablo),-1.51,-2.59,16.0,2024,237
3.0,4:10,3.0,20.0,JAX 10,7.0,13.0,Mac Jones pass complete short middle to Devin Duvernay for 3 yards (tackle by Darnay Holmes),-2.59,-2.49,16.0,2024,237
3.0,3:35,4.0,17.0,JAX 13,7.0,13.0,Logan Cooke punts 20 yards out of bounds,-2.49,-3.38,16.0,2024,237
3.0,3:28,1.0,10.0,JAX 33,7.0,13.0,Aidan O'Connell pass complete short left to Brock Bowers for 8 yards (tackle by Tyson Campbell),3.38,3.92,16.0,2024,237
3.0,3:05,2.0,2.0,JAX 25,7.0,13.0,Aidan O'Connell pass complete short right to Brock Bowers for -3 yards (tackle by Montaric Brown),3.92,2.81,16.0,2024,237
3.0,2:27,3.0,5.0,JAX 28,7.0,13.0,Aidan O'Connell pass incomplete short middle intended for Terrace Marshall (defended by Maason Smith),2.81,1.63,16.0,2024,237
3.0,2:22,4.0,5.0,JAX 28,7.0,13.0,Daniel Carlson 46 yard field goal no good,1.63,-1.33,16.0,2024,237
3.0,2:18,1.0,10.0,JAX 36,7.0,13.0,Tank Bigsby left tackle for 1 yard (tackle by Zachary Carter),1.33,0.93,16.0,2024,237
3.0,1:44,2.0,9.0,JAX 37,7.0,13.0,Mac Jones pass complete short left to Tank Bigsby for 1 yard (tackle by Decamerion Richardson and Amari Burney),0.93,0.37,16.0,2024,237
3.0,1:03,3.0,8.0,JAX 38,13.0,13.0,"Mac Jones pass complete deep left to Brian Thomas for 62 yards, touchdown",0.37,7.0,16.0,2024,237
3.0,0:54,,,LVR 15,14.0,13.0,Cam Little kicks extra point good,0.0,0.0,16.0,2024,237
3.0,0:54,,,JAX 35,14.0,13.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
3.0,0:54,1.0,10.0,LVR 30,14.0,13.0,Aidan O'Connell pass incomplete deep right intended for Tre Tucker (defended by Andrew Wingard),0.94,0.39,16.0,2024,237
3.0,0:43,2.0,10.0,LVR 30,14.0,13.0,"Aidan O'Connell pass incomplete deep left intended for Tre Tucker. Penalty on Montaric Brown: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.39,1.27,16.0,2024,237
3.0,0:43,1.0,10.0,LVR 35,14.0,13.0,Ameer Abdullah left guard for 6 yards (tackle by Foyesade Oluokun),1.27,1.53,16.0,2024,237
3.0,0:06,2.0,4.0,LVR 41,14.0,13.0,Aidan O'Connell pass incomplete short right intended for Tre Tucker (defended by Tyson Campbell),1.53,0.83,16.0,2024,237
4.0,15:00,3.0,4.0,LVR 41,14.0,13.0,Aidan O'Connell pass complete short right to Brock Bowers for 5 yards (tackle by Antonio Johnson),0.83,1.99,16.0,2024,237
4.0,14:22,1.0,10.0,LVR 46,14.0,13.0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Andrew Wingard),1.99,1.45,16.0,2024,237
4.0,14:17,2.0,10.0,LVR 46,14.0,13.0,Aidan O'Connell pass complete short middle to Brock Bowers for 7 yards (tackle by Andrew Wingard),1.45,1.69,16.0,2024,237
4.0,13:39,3.0,3.0,JAX 47,14.0,13.0,Aidan O'Connell pass complete short left to Ameer Abdullah for 12 yards (tackle by Devin Lloyd),1.69,3.25,16.0,2024,237
4.0,12:50,1.0,10.0,JAX 35,14.0,13.0,Aidan O'Connell pass complete short middle to Ameer Abdullah for 11 yards (tackle by Foyesade Oluokun),3.25,3.97,16.0,2024,237
4.0,12:14,1.0,10.0,JAX 24,14.0,13.0,Aidan O'Connell pass complete short right to Brock Bowers for 17 yards (tackle by Jarrian Jones),3.97,5.6,16.0,2024,237
4.0,11:30,1.0,7.0,JAX 7,14.0,19.0,"Ameer Abdullah right guard for 7 yards, touchdown",5.6,7.0,16.0,2024,237
4.0,11:26,,,JAX 2,14.0,19.0,Two Point Attempt: Aidan O'Connell pass incomplete intended for,1.0,-1.0,16.0,2024,237
4.0,11:26,,,LVR 35,14.0,19.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,237
4.0,11:26,1.0,10.0,JAX 30,14.0,19.0,Travis Etienne right end for -4 yards (tackle by Robert Spillane and Charles Snowden),0.94,-0.15,16.0,2024,237
4.0,10:49,2.0,14.0,JAX 26,14.0,19.0,Mac Jones pass complete short middle to Brian Thomas for 6 yards (tackle by Darnay Holmes and Divine Deablo),-0.15,-0.03,16.0,2024,237
4.0,10:06,3.0,8.0,JAX 32,14.0,19.0,Mac Jones pass complete short right to Josiah Deguara for 4 yards (tackle by Darnay Holmes),-0.03,-0.98,16.0,2024,237
4.0,9:27,4.0,4.0,JAX 36,14.0,19.0,Logan Cooke punts 44 yards out of bounds,-0.98,-0.28,16.0,2024,237
4.0,9:20,1.0,10.0,LVR 20,14.0,19.0,Alexander Mattison right tackle for 1 yard (tackle by Devin Lloyd and DaVon Hamilton),0.28,-0.13,16.0,2024,237
4.0,8:41,2.0,9.0,LVR 21,14.0,19.0,Aidan O'Connell pass complete short left to Brock Bowers for 9 yards (tackle by Tyson Campbell),-0.13,0.94,16.0,2024,237
4.0,7:54,1.0,10.0,LVR 30,14.0,19.0,Alexander Mattison left tackle for 1 yard (tackle by Tyson Campbell and Josh Hines-Allen),0.94,0.53,16.0,2024,237
4.0,7:12,2.0,9.0,LVR 31,14.0,19.0,Aidan O'Connell pass complete short left to Alexander Mattison for 5 yards (tackle by Foyesade Oluokun),0.53,0.5,16.0,2024,237
4.0,6:32,3.0,4.0,LVR 36,14.0,19.0,Aidan O'Connell pass complete short right to Brock Bowers for 5 yards (tackle by Montaric Brown),0.5,1.66,16.0,2024,237
4.0,5:50,1.0,10.0,LVR 41,14.0,19.0,Aidan O'Connell pass complete short left to Ameer Abdullah for 9 yards (tackle by Foyesade Oluokun),1.66,2.34,16.0,2024,237
4.0,5:03,2.0,1.0,LVR 50,14.0,19.0,Aidan O'Connell up the middle for 2 yards (tackle by Andre Cisco and Arik Armstead),2.34,2.39,16.0,2024,237
4.0,4:24,,,,,,Timeout #1 by Las Vegas Raiders,,,16.0,2024,237
4.0,4:24,1.0,10.0,JAX 48,14.0,19.0,Ameer Abdullah left guard for -2 yards (tackle by Maason Smith),2.39,1.58,16.0,2024,237
4.0,3:46,2.0,12.0,LVR 50,14.0,19.0,"Aidan O'Connell pass complete short left to Brock Bowers for no gain (tackle by Foyesade Oluokun). Penalty on Terrace Marshall: Offensive Pass Interference, 10 yards (accepted) (no play)",1.58,0.23,16.0,2024,237
4.0,3:39,2.0,22.0,LVR 40,14.0,19.0,Ameer Abdullah left guard for 6 yards (tackle by Travon Walker),0.23,0.37,16.0,2024,237
4.0,2:59,3.0,16.0,LVR 46,14.0,19.0,Aidan O'Connell pass complete short middle to Ameer Abdullah for 6 yards (tackle by Andre Cisco and Foyesade Oluokun),0.37,0.07,16.0,2024,237
4.0,2:52,,,,,,Timeout #1 by Jacksonville Jaguars,,,16.0,2024,237
