Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA,week,year,game_id
2.0,11:30,1.0,10.0,DAL 30,7.0,10.0,Cooper Rush pass complete deep middle to CeeDee Lamb for 34 yards (tackle by Christian Izien),0.94,3.18,16.0,2024,239
2.0,10:50,1.0,10.0,TAM 36,7.0,10.0,Rico Dowdle left end for 2 yards (tackle by YaYa Diaby),3.18,2.91,16.0,2024,239
2.0,10:11,2.0,8.0,TAM 34,7.0,10.0,"Cooper Rush pass incomplete short left intended for CeeDee Lamb. Penalty on CeeDee Lamb: Illegal Motion, 5 yards (accepted) (no play)",2.91,2.23,16.0,2024,239
2.0,10:05,2.0,13.0,TAM 39,7.0,10.0,Cooper Rush pass complete short middle to Rico Dowdle for 8 yards (tackle by Christian Izien),2.23,2.61,16.0,2024,239
2.0,9:25,3.0,5.0,TAM 31,7.0,10.0,Cooper Rush pass incomplete deep right intended for CeeDee Lamb,2.61,1.35,16.0,2024,239
2.0,9:20,4.0,5.0,TAM 31,7.0,13.0,Brandon Aubrey 49 yard field goal good,1.35,3.0,16.0,2024,239
2.0,9:15,,,DAL 35,7.0,13.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.94,16.0,2024,239
2.0,9:15,1.0,10.0,TAM 30,7.0,13.0,Bucky Irving right tackle for 5 yards (tackle by Mazi Smith),0.94,1.07,16.0,2024,239
2.0,8:38,2.0,5.0,TAM 35,7.0,13.0,Bucky Irving up the middle for 4 yards (tackle by Nick Vigil),1.07,0.89,16.0,2024,239
2.0,7:58,3.0,1.0,TAM 39,7.0,13.0,Rachaad White right guard for 2 yards (tackle by Amani Oruwariye and Damone Clark),0.89,1.66,16.0,2024,239
2.0,7:21,1.0,10.0,TAM 41,7.0,13.0,Baker Mayfield pass complete short left to Bucky Irving for 7 yards (tackle by Nick Vigil),1.66,2.07,16.0,2024,239
2.0,6:39,2.0,3.0,TAM 48,7.0,13.0,Bucky Irving up the middle for 7 yards (tackle by Micah Parsons),2.07,2.59,16.0,2024,239
2.0,5:56,1.0,10.0,DAL 45,7.0,13.0,Baker Mayfield pass complete short right to Bucky Irving for 5 yards (tackle by Chauncey Golston),2.59,2.72,16.0,2024,239
2.0,5:11,2.0,5.0,DAL 40,7.0,13.0,"Baker Mayfield pass complete deep left to Jalen McMillan for 16 yards (tackle by DaRon Bland) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Baker Mayfield pass incomplete deep left intended for Jalen McMillan (defended by DaRon Bland)",2.72,2.01,16.0,2024,239
2.0,5:07,3.0,5.0,DAL 40,7.0,13.0,Baker Mayfield sacked by Chauncey Golston for -5 yards,2.01,0.27,16.0,2024,239
2.0,4:23,4.0,10.0,DAL 45,7.0,13.0,"Jack Browning punts 45 yards, touchback.",0.27,-0.28,16.0,2024,239
2.0,4:14,1.0,10.0,DAL 20,7.0,13.0,Cooper Rush pass incomplete short right intended for Jake Ferguson,0.28,-0.27,16.0,2024,239
2.0,4:10,2.0,10.0,DAL 20,7.0,13.0,Rico Dowdle right tackle for 1 yard (tackle by Greg Gaines),-0.27,-0.82,16.0,2024,239
2.0,3:31,3.0,9.0,DAL 21,7.0,13.0,Cooper Rush pass complete short left to Jalen Tolbert for 10 yards (tackle by Christian Izien),-0.82,1.0,16.0,2024,239
2.0,3:08,1.0,10.0,DAL 31,7.0,13.0,Cooper Rush pass incomplete short middle intended for Hunter Luepke,1.0,0.46,16.0,2024,239
2.0,3:05,2.0,10.0,DAL 31,7.0,13.0,Cooper Rush pass complete short right to Jake Ferguson for 6 yards (tackle by YaYa Diaby),0.46,0.56,16.0,2024,239
2.0,2:31,3.0,4.0,DAL 37,7.0,13.0,"Cooper Rush pass complete deep right to CeeDee Lamb for 52 yards (tackle by Zyon McCollum and Christian Izien). Penalty on Zyon McCollum: Defensive Holding, 5 yards (declined)",0.56,4.84,16.0,2024,239
2.0,2:00,1.0,10.0,TAM 11,7.0,13.0,KaVontae Turpin right tackle for no gain (tackle by Vita Vea),4.84,4.14,16.0,2024,239
2.0,1:55,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,16.0,2024,239
2.0,1:55,2.0,10.0,TAM 11,7.0,13.0,"Cooper Rush pass complete short middle to CeeDee Lamb for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Cooper Rush pass complete short middle to CeeDee Lamb for 10 yards (tackle by Christian Izien)",4.14,6.97,16.0,2024,239
2.0,1:48,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,16.0,2024,239
2.0,1:48,1.0,1.0,TAM 1,7.0,19.0,"Ezekiel Elliott left tackle for 1 yard, touchdown",6.97,7.0,16.0,2024,239
