Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA,week,year,game_id
1.0,9:23,1.0,10.0,HOU 40,0.0,3.0,David Montgomery left tackle for 5 yards (tackle by Rasheem Green and Jonathan Owens),2.92,3.05,3.0,2022,36
1.0,8:45,2.0,5.0,HOU 35,0.0,3.0,"Justin Fields pass incomplete short right. Penalty on Jerry Hughes: Roughing the Passer, 15 yards (offset) . Penalty on Justin Fields: Intentional Grounding, 10 yards (offset) (no play)",3.05,3.05,3.0,2022,36
1.0,8:40,2.0,5.0,HOU 35,0.0,3.0,Khalil Herbert left tackle for 8 yards (tackle by Steven Nelson and Jalen Pitre),3.05,3.78,3.0,2022,36
1.0,8:05,1.0,10.0,HOU 27,0.0,3.0,Justin Fields pass complete short left to Darnell Mooney for 5 yards (tackle by Steven Nelson),3.78,3.91,3.0,2022,36
1.0,7:29,2.0,5.0,HOU 22,0.0,3.0,Khalil Herbert right tackle for 11 yards (tackle by Jonathan Owens),3.91,4.84,3.0,2022,36
1.0,6:52,1.0,10.0,HOU 11,0.0,9.0,"Khalil Herbert left tackle for 11 yards, touchdown",4.84,7.0,3.0,2022,36
1.0,6:45,,,HOU 15,0.0,10.0,Cairo Santos kicks extra point good,0.0,0.0,3.0,2022,36
1.0,6:45,,,CHI 35,0.0,10.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,36
1.0,6:45,1.0,10.0,HOU 25,0.0,10.0,Dameon Pierce right end for 3 yards (tackle by Roquan Smith),0.61,0.47,3.0,2022,36
1.0,6:16,2.0,7.0,HOU 28,0.0,10.0,Davis Mills pass incomplete short right intended for Brandin Cooks,0.47,-0.23,3.0,2022,36
1.0,6:09,3.0,7.0,HOU 28,0.0,10.0,Davis Mills pass complete deep middle to Chris Moore for 52 yards (tackle by Jaquan Brisker),-0.23,4.24,3.0,2022,36
1.0,5:31,1.0,10.0,CHI 20,0.0,10.0,"Dameon Pierce right guard for 7 yards. Dameon Pierce fumbles (forced by Eddie Jackson), recovered by A.J. Cann at CHI-11",4.24,5.26,3.0,2022,36
1.0,4:59,2.0,1.0,CHI 11,0.0,10.0,Dameon Pierce right guard for 5 yards (tackle by Jaquan Brisker and Roquan Smith),5.26,5.83,3.0,2022,36
1.0,4:25,1.0,6.0,CHI 6,0.0,10.0,Dameon Pierce right end for 2 yards (tackle by Kindle Vildor and Joe Thomas),5.83,5.34,3.0,2022,36
1.0,3:46,2.0,4.0,CHI 4,6.0,10.0,"Davis Mills pass complete short left to Jordan Akins for 4 yards, touchdown",5.34,7.0,3.0,2022,36
1.0,3:40,,,CHI 15,7.0,10.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,3.0,2022,36
1.0,3:40,,,HOU 35,7.0,10.0,"Ka'imi Fairbairn kicks off 62 yards, returned by Trestan Ebner for 17 yards (tackle by Garret Wallow)",0.0,0.28,3.0,2022,36
1.0,3:33,1.0,10.0,CHI 20,7.0,10.0,Trestan Ebner right guard for -1 yards (tackle by Maliek Collins),0.28,-0.46,3.0,2022,36
1.0,2:55,2.0,11.0,CHI 19,7.0,10.0,"Justin Fields pass deep middle intended for Cole Kmet is intercepted by Jalen Pitre at CHI-43 and returned for 2 yards. Jalen Pitre fumbles (forced by Cole Kmet) Replay Assistant challenged the pass interception ruling, and the play was upheld., recovered by Jalen Pitre at CHI-41",-0.46,-2.85,3.0,2022,36
1.0,2:46,1.0,10.0,CHI 41,7.0,10.0,Davis Mills pass complete deep middle to Brandin Cooks for 17 yards (tackle by Kindle Vildor),2.85,3.97,3.0,2022,36
1.0,2:10,1.0,10.0,CHI 24,7.0,10.0,Davis Mills pass complete short right to Nico Collins for 19 yards (tackle by Eddie Jackson),3.97,6.06,3.0,2022,36
1.0,1:31,1.0,5.0,CHI 5,7.0,10.0,Dameon Pierce left tackle for -2 yards (tackle by Roquan Smith),6.06,4.76,3.0,2022,36
1.0,0:50,2.0,7.0,CHI 7,7.0,10.0,Davis Mills pass short middle (defended by Kindle Vildor) intended for Brandin Cooks is intercepted by Eddie Jackson in end zone and returned for no gain,4.76,-0.28,3.0,2022,36
1.0,0:45,1.0,10.0,CHI 20,7.0,10.0,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",0.28,-0.31,3.0,2022,36
1.0,0:45,1.0,15.0,CHI 15,7.0,10.0,Justin Fields pass complete short left to Khalil Herbert for 5 yards (tackle by Roy Lopez),-0.31,-0.27,3.0,2022,36
2.0,15:00,2.0,10.0,CHI 20,7.0,10.0,Justin Fields sacked by Jerry Hughes for -7 yards,-0.27,-2.19,3.0,2022,36
2.0,14:19,3.0,17.0,CHI 13,7.0,10.0,Khalil Herbert left tackle for 10 yards (tackle by Steven Nelson and Jonathan Owens),-2.19,-1.83,3.0,2022,36
2.0,13:46,4.0,7.0,CHI 23,7.0,10.0,"Trenton Gill punts 46 yards, fair catch by Desmond King at HOU-31",-1.83,-1.0,3.0,2022,36
2.0,13:39,1.0,10.0,HOU 31,7.0,10.0,Rex Burkhead left guard for 4 yards (tackle by Roquan Smith and Eddie Jackson),1.0,1.0,3.0,2022,36
2.0,13:06,2.0,6.0,HOU 35,7.0,10.0,Davis Mills pass incomplete short left intended for Nico Collins,1.0,0.3,3.0,2022,36
2.0,13:01,3.0,6.0,HOU 35,7.0,10.0,"Davis Mills pass complete short middle to Rex Burkhead for no gain (tackle by Nicholas Morrow). Penalty on Jaylon Jones: Defensive Holding, 5 yards (accepted) (no play)",0.3,1.6,3.0,2022,36
2.0,12:40,1.0,10.0,HOU 40,7.0,10.0,Davis Mills pass incomplete short right intended for Brandin Cooks (defended by Kindle Vildor),1.6,1.05,3.0,2022,36
2.0,12:35,2.0,10.0,HOU 40,7.0,10.0,Dameon Pierce left end for 4 yards (tackle by Roquan Smith and Al-Quadin Muhammad),1.05,0.89,3.0,2022,36
2.0,12:00,3.0,6.0,HOU 44,7.0,10.0,Davis Mills pass incomplete deep left intended for Pharaoh Brown,0.89,-0.46,3.0,2022,36
2.0,11:54,4.0,6.0,HOU 44,7.0,10.0,"Cameron Johnston punts 46 yards, fair catch by Dante Pettis at CHI-10",-0.46,0.38,3.0,2022,36
2.0,11:47,1.0,10.0,CHI 10,7.0,10.0,Khalil Herbert left guard for 1 yard (tackle by Kamu Grugier-Hill and Ogbonnia Okoronkwo),-0.38,-0.71,3.0,2022,36
2.0,11:10,2.0,9.0,CHI 11,7.0,10.0,Khalil Herbert left end for 3 yards (tackle by Rasheem Green),-0.71,-0.95,3.0,2022,36
2.0,10:31,3.0,6.0,CHI 14,7.0,10.0,Trestan Ebner left guard for 2 yards (tackle by Christian Kirksey and Jonathan Owens),-0.95,-2.39,3.0,2022,36
2.0,9:53,4.0,4.0,CHI 16,7.0,10.0,"Trenton Gill punts 56 yards, returned by Desmond King for 31 yards (tackle by Khari Blasingame)",-2.39,-2.85,3.0,2022,36
2.0,9:39,1.0,10.0,CHI 41,7.0,10.0,Dameon Pierce right end for 24 yards (tackle by Eddie Jackson and Jaquan Brisker),2.85,4.44,3.0,2022,36
2.0,9:04,1.0,10.0,CHI 17,7.0,10.0,Dameon Pierce left tackle for 9 yards (tackle by Eddie Jackson),4.44,5.48,3.0,2022,36
2.0,8:25,2.0,1.0,CHI 8,7.0,10.0,Dameon Pierce left end for 7 yards (tackle by Roquan Smith and Al-Quadin Muhammad),5.48,6.97,3.0,2022,36
2.0,7:37,1.0,1.0,CHI 1,13.0,10.0,"Dameon Pierce left tackle for 1 yard, touchdown",6.97,7.0,3.0,2022,36
2.0,7:32,,,CHI 15,14.0,10.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,3.0,2022,36
2.0,7:32,,,HOU 35,14.0,10.0,"Ka'imi Fairbairn kicks off 62 yards, returned by Trestan Ebner for 15 yards (tackle by Neville Hewitt and M.J. Stewart)",0.0,0.04,3.0,2022,36
2.0,7:26,1.0,10.0,CHI 18,14.0,10.0,Justin Fields pass incomplete short right intended for Trestan Ebner,0.04,-0.49,3.0,2022,36
2.0,7:21,2.0,10.0,CHI 18,14.0,10.0,Justin Fields scrambles right end for 6 yards (tackle by Christian Kirksey),-0.49,-0.4,3.0,2022,36
2.0,6:34,3.0,4.0,CHI 24,14.0,10.0,Justin Fields scrambles right guard for 7 yards (tackle by Desmond King),-0.4,1.0,3.0,2022,36
2.0,5:55,1.0,10.0,CHI 31,14.0,10.0,Trestan Ebner right end for 7 yards (tackle by Jonathan Owens),1.0,1.41,3.0,2022,36
2.0,5:19,2.0,3.0,CHI 38,14.0,10.0,Trestan Ebner left guard for 6 yards (tackle by Christian Kirksey and Jalen Pitre),1.41,1.86,3.0,2022,36
2.0,4:43,1.0,10.0,CHI 44,14.0,10.0,Justin Fields pass incomplete short left intended for Darnell Mooney,1.86,1.32,3.0,2022,36
2.0,4:38,2.0,10.0,CHI 44,14.0,10.0,Trestan Ebner left guard for 5 yards (tackle by Desmond King),1.32,1.29,3.0,2022,36
2.0,4:05,3.0,5.0,CHI 49,14.0,10.0,Justin Fields pass complete deep left to Cole Kmet for 24 yards (tackle by Kamu Grugier-Hill),1.29,3.78,3.0,2022,36
2.0,3:27,1.0,10.0,HOU 27,14.0,10.0,Trestan Ebner left tackle for 2 yards (tackle by Rasheem Green and Steven Nelson),3.78,3.5,3.0,2022,36
2.0,2:48,2.0,8.0,HOU 25,14.0,10.0,"Justin Fields aborted snap, recovered by Trestan Ebner at HOU-28 Trestan Ebner for 2 yards (tackle by Desmond King)",3.5,3.07,3.0,2022,36
2.0,2:00,3.0,6.0,HOU 23,14.0,10.0,Justin Fields sacked by Jerry Hughes for -9 yards,3.07,1.24,3.0,2022,36
2.0,1:53,,,,,,Timeout #1 by Houston Texans,,,3.0,2022,36
2.0,1:53,4.0,15.0,HOU 32,14.0,13.0,Cairo Santos 50 yard field goal good,1.24,3.0,3.0,2022,36
2.0,1:48,,,CHI 35,14.0,13.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,36
2.0,1:48,1.0,10.0,HOU 25,14.0,13.0,Davis Mills pass complete short right to Jordan Akins for 2 yards (tackle by Kyler Gordon and Nicholas Morrow),0.61,0.33,3.0,2022,36
2.0,1:23,2.0,8.0,HOU 27,14.0,13.0,Davis Mills pass complete short right to Chris Moore for 7 yards (tackle by Roquan Smith),0.33,0.56,3.0,2022,36
2.0,1:17,3.0,1.0,HOU 34,14.0,13.0,"Davis Mills pass incomplete short right. Penalty on Tytus Howard: Ineligible Downfield Pass, 5 yards (declined)",0.56,-1.11,3.0,2022,36
2.0,1:11,4.0,1.0,HOU 34,14.0,13.0,Cameron Johnston punts 56 yards out of bounds,-1.11,0.38,3.0,2022,36
2.0,1:04,1.0,10.0,CHI 10,14.0,13.0,Justin Fields pass incomplete short right intended for Darnell Mooney,-0.38,-0.78,3.0,2022,36
2.0,1:01,2.0,10.0,CHI 10,14.0,13.0,"Justin Fields up the middle for 5 yards (tackle by Jonathan Owens). Penalty on Cole Kmet: Offensive Holding, 7 yards (accepted)",-0.78,-0.93,3.0,2022,36
2.0,0:54,2.0,12.0,CHI 8,14.0,13.0,Khalil Herbert left guard for 11 yards (tackle by Desmond King and Jonathan Owens),-0.93,-0.37,3.0,2022,36
2.0,0:46,,,,,,Timeout #2 by Houston Texans,,,3.0,2022,36
2.0,0:46,3.0,1.0,CHI 19,14.0,13.0,Khalil Herbert right tackle for 9 yards (tackle by Derek Stingley and Jonathan Owens),-0.37,0.81,3.0,2022,36
2.0,0:21,1.0,10.0,CHI 28,14.0,13.0,Justin Fields sacked by and Jonathan Greenard for no gain and Rasheem Green for no gain,0.81,0.26,3.0,2022,36
3.0,15:00,,,CHI 35,14.0,13.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,36
3.0,15:00,1.0,10.0,HOU 25,14.0,13.0,Davis Mills pass complete short left to Dameon Pierce for 12 yards (tackle by Eddie Jackson),0.61,1.4,3.0,2022,36
3.0,14:31,1.0,10.0,HOU 37,14.0,13.0,Davis Mills pass complete short middle to Jordan Akins for 25 yards (tackle by Kyler Gordon and Eddie Jackson),1.4,3.05,3.0,2022,36
3.0,13:50,1.0,10.0,CHI 38,14.0,13.0,Dameon Pierce right tackle for 4 yards (tackle by Roquan Smith and Jaylon Jones),3.05,3.05,3.0,2022,36
3.0,13:18,2.0,6.0,CHI 34,14.0,13.0,"Davis Mills pass incomplete short right intended for Brandin Cooks. Penalty on Kindle Vildor: Illegal Contact, 5 yards (accepted) (no play)",3.05,3.64,3.0,2022,36
3.0,13:12,1.0,10.0,CHI 29,14.0,13.0,Davis Mills pass incomplete deep left intended for Brandin Cooks,3.64,3.1,3.0,2022,36
3.0,13:08,2.0,10.0,CHI 29,14.0,13.0,Dameon Pierce right tackle for 2 yards (tackle by Armon Watts),3.1,2.68,3.0,2022,36
3.0,12:20,3.0,8.0,CHI 27,14.0,13.0,Davis Mills pass complete short left to Pharaoh Brown for 6 yards (tackle by Eddie Jackson and Roquan Smith),2.68,2.18,3.0,2022,36
3.0,11:30,4.0,2.0,CHI 21,17.0,13.0,Ka'imi Fairbairn 39 yard field goal good,2.18,3.0,3.0,2022,36
3.0,11:25,,,HOU 35,17.0,13.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,36
3.0,11:25,1.0,10.0,CHI 25,17.0,13.0,Khalil Herbert right guard for 52 yards (tackle by Derek Stingley),0.61,4.04,3.0,2022,36
3.0,10:34,1.0,10.0,HOU 23,17.0,13.0,Justin Fields pass complete short middle to Equanimeous St. Brown for 20 yards (tackle by Jonathan Owens),4.04,6.51,3.0,2022,36
3.0,9:53,1.0,3.0,HOU 3,17.0,13.0,Khalil Herbert left guard for -2 yards (tackle by Jalen Pitre and Jerry Hughes),6.51,5.15,3.0,2022,36
3.0,9:11,2.0,5.0,HOU 5,17.0,13.0,Khalil Herbert right guard for 4 yards (tackle by Rasheem Green),5.15,5.17,3.0,2022,36
3.0,8:29,3.0,1.0,HOU 1,17.0,19.0,"Khalil Herbert left tackle for 1 yard, touchdown",5.17,7.0,3.0,2022,36
3.0,8:25,,,HOU 15,17.0,20.0,Cairo Santos kicks extra point good,0.0,0.0,3.0,2022,36
3.0,8:25,,,CHI 35,17.0,20.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,36
3.0,8:25,1.0,10.0,HOU 25,17.0,20.0,Dameon Pierce right guard for 6 yards (tackle by Roquan Smith and Joe Thomas),0.61,0.87,3.0,2022,36
3.0,7:51,2.0,4.0,HOU 31,17.0,20.0,Dameon Pierce right end for 6 yards (tackle by Roquan Smith and Kyler Gordon),0.87,1.4,3.0,2022,36
3.0,7:08,1.0,10.0,HOU 37,17.0,20.0,Dameon Pierce right end for no gain (tackle by Roquan Smith),1.4,0.86,3.0,2022,36
3.0,6:28,2.0,10.0,HOU 37,17.0,20.0,Davis Mills pass complete short right to Dameon Pierce for 9 yards (tackle by Nicholas Morrow and Justin Jones),0.86,1.36,3.0,2022,36
3.0,5:40,3.0,1.0,HOU 46,17.0,20.0,Davis Mills pass incomplete short left intended for Brandin Cooks (defended by Kyler Gordon),1.36,-0.32,3.0,2022,36
3.0,5:38,4.0,1.0,HOU 46,17.0,20.0,M.J. Stewart right guard for 3 yards (tackle by Robert Quinn),-0.32,2.19,3.0,2022,36
3.0,4:52,1.0,10.0,HOU 49,17.0,20.0,Davis Mills pass complete short middle to Nico Collins for 22 yards (tackle by Kindle Vildor and Roquan Smith),2.19,3.64,3.0,2022,36
3.0,4:07,1.0,10.0,CHI 29,17.0,20.0,Davis Mills pass incomplete deep left intended for Nico Collins,3.64,3.1,3.0,2022,36
3.0,4:02,2.0,10.0,CHI 29,17.0,20.0,Dameon Pierce right guard for 3 yards (tackle by Angelo Blackson and Roquan Smith),3.1,2.81,3.0,2022,36
3.0,3:26,3.0,7.0,CHI 26,17.0,20.0,Davis Mills pass complete short right to Phillip Dorsett for 15 yards (tackle by Jaquan Brisker),2.81,4.84,3.0,2022,36
3.0,2:48,1.0,10.0,CHI 11,17.0,20.0,Davis Mills pass complete short right to Rex Burkhead for 6 yards (tackle by Joe Thomas),4.84,5.28,3.0,2022,36
3.0,2:16,2.0,4.0,CHI 5,17.0,20.0,Rex Burkhead right tackle for 3 yards (tackle by Jaquan Brisker and Joe Thomas),5.28,5.12,3.0,2022,36
3.0,1:33,3.0,1.0,CHI 2,17.0,20.0,Dameon Pierce right tackle for -3 yards (tackle by Roquan Smith),5.12,3.01,3.0,2022,36
3.0,0:58,4.0,4.0,CHI 5,20.0,20.0,Ka'imi Fairbairn 23 yard field goal good,3.01,3.0,3.0,2022,36
3.0,0:54,,,HOU 35,20.0,20.0,"Ka'imi Fairbairn kicks off 63 yards, returned by Trestan Ebner for 20 yards (tackle by Eric Murray)",0.0,0.41,3.0,2022,36
3.0,0:47,1.0,10.0,CHI 22,20.0,20.0,Justin Fields pass incomplete short right intended for Jake Tonges,0.41,-0.13,3.0,2022,36
3.0,0:41,2.0,10.0,CHI 22,20.0,20.0,Khalil Herbert right guard for 4 yards (tackle by Christian Kirksey),-0.13,-0.29,3.0,2022,36
4.0,15:00,3.0,6.0,CHI 26,20.0,20.0,Justin Fields pass deep middle intended for Darnell Mooney is intercepted by Jalen Pitre at HOU-41 and returned for 20 yards (tackle by Khalil Herbert),-0.29,-2.98,3.0,2022,36
4.0,14:49,1.0,10.0,CHI 39,20.0,20.0,Davis Mills pass complete short left to Rex Burkhead for 4 yards (tackle by Joe Thomas),2.98,2.98,3.0,2022,36
4.0,14:14,2.0,6.0,CHI 35,20.0,20.0,Davis Mills sacked by Justin Jones for -8 yards,2.98,1.22,3.0,2022,36
4.0,13:35,3.0,14.0,CHI 43,20.0,20.0,Davis Mills pass complete short middle to Pharaoh Brown for -5 yards (tackle by Nicholas Morrow),1.22,0.07,3.0,2022,36
4.0,12:49,4.0,19.0,CHI 48,20.0,20.0,Cameron Johnston punts 40 yards downed by Tremon Smith,0.07,0.38,3.0,2022,36
4.0,12:38,1.0,10.0,CHI 8,20.0,20.0,Khalil Herbert right tackle for 8 yards (tackle by Jerry Hughes),-0.38,-0.09,3.0,2022,36
4.0,11:52,2.0,2.0,CHI 16,20.0,20.0,Khalil Herbert right guard for 6 yards (tackle by Rasheem Green and Christian Kirksey),-0.09,0.41,3.0,2022,36
4.0,11:12,1.0,10.0,CHI 22,20.0,20.0,Khalil Herbert right guard for 2 yards (tackle by Rasheem Green and Roy Lopez),0.41,0.14,3.0,2022,36
4.0,10:35,2.0,8.0,CHI 24,20.0,20.0,Equanimeous St. Brown right end for 2 yards (tackle by Jalen Pitre),0.14,-0.29,3.0,2022,36
4.0,9:56,3.0,6.0,CHI 26,20.0,20.0,Justin Fields pass complete short middle to Cole Kmet for 16 yards (tackle by Jonathan Owens and Christian Kirksey),-0.29,1.73,3.0,2022,36
4.0,9:01,1.0,10.0,CHI 42,20.0,20.0,"Penalty on Sam Mustipher: False Start, 5 yards (accepted) (no play)",1.73,1.4,3.0,2022,36
4.0,9:01,1.0,15.0,CHI 37,20.0,20.0,Justin Fields pass complete deep middle to Darnell Mooney for 18 yards (tackle by Jalen Pitre),1.4,2.59,3.0,2022,36
4.0,8:24,1.0,10.0,HOU 45,20.0,20.0,"Justin Fields scrambles right guard for 1 yard (tackle by Desmond King) Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",2.59,2.18,3.0,2022,36
4.0,7:51,2.0,9.0,HOU 44,20.0,20.0,Khalil Herbert right tackle for -4 yards (tackle by Jonathan Greenard),2.18,0.96,3.0,2022,36
4.0,7:26,3.0,13.0,HOU 48,20.0,20.0,"Penalty on HOU: Illegal Substitution, 5 yards (accepted) (no play)",0.96,1.62,3.0,2022,36
4.0,7:26,3.0,8.0,HOU 43,20.0,20.0,Justin Fields sacked by Derek Stingley for no gain,1.62,0.4,3.0,2022,36
4.0,6:46,4.0,8.0,HOU 43,20.0,20.0,"Penalty on Sterling Weatherford: False Start, 5 yards (accepted) (no play)",0.4,0.07,3.0,2022,36
4.0,6:46,4.0,13.0,HOU 48,20.0,20.0,"Trenton Gill punts 39 yards, fair catch by Desmond King at HOU-9",0.07,0.38,3.0,2022,36
4.0,6:39,1.0,10.0,HOU 9,20.0,20.0,"Dameon Pierce right guard for -4 yards. Dameon Pierce fumbles (forced by Al-Quadin Muhammad) (tackle by Kindle Vildor), recovered by Tytus Howard at HOU-6",-0.38,-1.0,3.0,2022,36
4.0,5:52,2.0,13.0,HOU 6,20.0,20.0,Davis Mills pass complete short right to Rex Burkhead for 3 yards (tackle by Jaquan Brisker),-1.0,-1.42,3.0,2022,36
4.0,5:17,3.0,10.0,HOU 9,20.0,20.0,Davis Mills pass complete short middle to Pharaoh Brown for 30 yards (tackle by Kindle Vildor and Nicholas Morrow),-1.42,1.53,3.0,2022,36
4.0,4:32,1.0,10.0,HOU 39,20.0,20.0,"Rex Burkhead left tackle for no gain (tackle by Mike Pennel). Penalty on Scott Quessenberry: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87,3.0,2022,36
4.0,4:27,1.0,20.0,HOU 29,20.0,20.0,Rex Burkhead left guard for 2 yards (tackle by Roquan Smith and Armon Watts),0.87,-0.09,3.0,2022,36
4.0,3:56,2.0,18.0,HOU 31,20.0,20.0,Davis Mills pass incomplete deep right intended for O.J. Howard,-0.09,-0.76,3.0,2022,36
4.0,3:50,3.0,18.0,HOU 31,20.0,20.0,Davis Mills pass complete short middle to Rex Burkhead for 8 yards (tackle by Nicholas Morrow),-0.76,-0.78,3.0,2022,36
4.0,3:14,4.0,10.0,HOU 39,20.0,20.0,"Cameron Johnston punts 49 yards, returned by Dante Pettis for no gain (tackle by Grayland Arnold)",-0.78,0.35,3.0,2022,36
4.0,3:05,1.0,10.0,CHI 12,20.0,20.0,Khalil Herbert left guard for 19 yards (tackle by Jonathan Owens),-0.35,1.0,3.0,2022,36
4.0,2:58,1.0,10.0,CHI 31,20.0,20.0,Khalil Herbert right guard for 2 yards (tackle by Jalen Pitre),1.0,0.73,3.0,2022,36
4.0,2:18,2.0,8.0,CHI 33,20.0,20.0,Justin Fields sacked by Jalen Pitre for -8 yards,0.73,-1.02,3.0,2022,36
4.0,2:00,3.0,16.0,CHI 25,20.0,20.0,Justin Fields pass complete short right to Khalil Herbert for 7 yards (tackle by Desmond King),-1.02,-1.24,3.0,2022,36
4.0,1:52,,,,,,Timeout #1 by Houston Texans,,,3.0,2022,36
4.0,1:52,4.0,9.0,CHI 32,20.0,20.0,"Trenton Gill punts 41 yards out of bounds. Penalty on Jonathan Owens: Offensive Holding, 10 yards (accepted)",-1.24,0.06,3.0,2022,36
4.0,1:42,1.0,10.0,HOU 17,20.0,20.0,Davis Mills pass complete short left to Brandin Cooks for 5 yards (tackle by Jaylon Jones),-0.06,0.21,3.0,2022,36
4.0,1:37,2.0,5.0,HOU 22,20.0,20.0,Davis Mills pass complete short left to Chris Moore for 4 yards (tackle by Kyler Gordon),0.21,-0.12,3.0,2022,36
4.0,1:14,3.0,1.0,HOU 26,20.0,20.0,Davis Mills pass short left (defended by Angelo Blackson) intended for Rex Burkhead is intercepted by Roquan Smith at HOU-30 and returned for 18 yards (tackle by Davis Mills),-0.12,-4.78,3.0,2022,36
4.0,1:05,1.0,10.0,HOU 12,20.0,20.0,Khalil Herbert left guard for 1 yard (tackle by Jalen Pitre and Steven Nelson),4.78,4.27,3.0,2022,36
4.0,1:01,,,,,,Timeout #2 by Houston Texans,,,3.0,2022,36
4.0,1:01,2.0,9.0,HOU 11,20.0,20.0,Justin Fields kneels for no gain,4.27,3.29,3.0,2022,36
4.0,0:18,,,,,,Timeout #1 by Chicago Bears,,,3.0,2022,36
4.0,0:18,3.0,9.0,HOU 11,20.0,20.0,Justin Fields kneels for -1 yards,3.29,2.63,3.0,2022,36
4.0,0:03,,,,,,Timeout #2 by Chicago Bears,,,3.0,2022,36
4.0,0:03,4.0,10.0,HOU 12,20.0,23.0,Cairo Santos 30 yard field goal good,2.63,3.0,3.0,2022,36
