Quarter,Time,Down,ToGo,Location,LVR,TEN,Detail,EPB,EPA,week,year,game_id
1.0,5:09,3.0,15.0,TEN 41,0.0,7.0,Derek Carr pass complete deep middle to Mack Hollins for 20 yards (tackle by Terrance Mitchell),1.29,4.17,3.0,2022,41
1.0,4:23,1.0,10.0,TEN 21,0.0,7.0,Josh Jacobs right guard for 10 yards (tackle by Roger McCreary and Derrek Tuszka),4.17,4.84,3.0,2022,41
1.0,3:48,1.0,10.0,TEN 11,0.0,7.0,Josh Jacobs right guard for 2 yards (tackle by David Long),4.84,4.51,3.0,2022,41
1.0,3:01,2.0,8.0,TEN 9,0.0,7.0,Derek Carr pass complete short right to Darren Waller for 6 yards (tackle by Terrance Mitchell),4.51,4.89,3.0,2022,41
1.0,2:26,3.0,2.0,TEN 3,0.0,7.0,Derek Carr pass incomplete short right intended for Davante Adams,4.89,3.05,3.0,2022,41
1.0,2:21,4.0,2.0,TEN 3,3.0,7.0,Daniel Carlson 21 yard field goal good,3.05,3.0,3.0,2022,41
1.0,2:19,,,LVR 35,3.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,41
1.0,2:19,1.0,10.0,TEN 25,3.0,7.0,Derrick Henry right tackle for 2 yards (tackle by Jayon Brown and Rock Ya-Sin),0.61,0.33,3.0,2022,41
1.0,1:39,2.0,8.0,TEN 27,3.0,7.0,Ryan Tannehill pass complete short middle to Derrick Henry for 13 yards (tackle by Duron Harmon),0.33,1.6,3.0,2022,41
1.0,0:55,1.0,10.0,TEN 40,3.0,7.0,Derrick Henry left tackle for 5 yards (tackle by Andrew Billings and Maxx Crosby),1.6,1.73,3.0,2022,41
1.0,0:25,2.0,5.0,TEN 45,3.0,7.0,Ryan Tannehill pass complete deep left to Robert Woods for 41 yards (tackle by Duron Harmon and Johnathan Abram),1.73,4.65,3.0,2022,41
2.0,15:00,1.0,10.0,LVR 14,3.0,7.0,Ryan Tannehill pass complete short left to Treylon Burks for 13 yards (tackle by Nate Hobbs and Duron Harmon),4.65,6.97,3.0,2022,41
2.0,14:29,1.0,1.0,LVR 1,3.0,13.0,"Derrick Henry up the middle for 1 yard, touchdown",6.97,7.0,3.0,2022,41
2.0,14:25,,,LVR 15,3.0,14.0,Randy Bullock kicks extra point good,0.0,0.0,3.0,2022,41
2.0,14:25,,,TEN 35,3.0,14.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,41
2.0,14:25,1.0,10.0,LVR 25,3.0,14.0,Derek Carr pass complete deep right to Foster Moreau for 22 yards (tackle by Amani Hooker),0.61,2.06,3.0,2022,41
2.0,13:44,1.0,10.0,LVR 47,3.0,14.0,Josh Jacobs up the middle for 3 yards (tackle by David Long),2.06,1.92,3.0,2022,41
2.0,12:59,2.0,7.0,LVR 50,3.0,14.0,Derek Carr pass complete short right to Foster Moreau for 14 yards (tackle by Terrance Mitchell),1.92,3.18,3.0,2022,41
2.0,12:23,1.0,10.0,TEN 36,3.0,14.0,Derek Carr pass complete short middle to Josh Jacobs for 6 yards (tackle by Terrance Mitchell and Zach Cunningham),3.18,3.45,3.0,2022,41
2.0,11:45,2.0,4.0,TEN 30,3.0,14.0,Derek Carr pass complete short left to Davante Adams for 18 yards (tackle by Kevin Byard),3.45,4.78,3.0,2022,41
2.0,10:59,1.0,10.0,TEN 12,3.0,14.0,Josh Jacobs right end for 11 yards (tackle by Roger McCreary),4.78,6.97,3.0,2022,41
2.0,10:14,1.0,1.0,TEN 1,3.0,14.0,"Penalty on Jermaine Eluemunor: False Start, 4 yards (accepted) (no play)",6.97,6.06,3.0,2022,41
2.0,9:49,1.0,5.0,TEN 5,9.0,14.0,"Derek Carr pass complete short middle to Davante Adams for 5 yards, touchdown",6.06,7.0,3.0,2022,41
2.0,9:44,,,TEN 15,10.0,14.0,Daniel Carlson kicks extra point good,0.0,0.0,3.0,2022,41
2.0,9:44,,,LVR 35,10.0,14.0,"Daniel Carlson kicks off 63 yards, returned by Hassan Haskins for 29 yards (tackle by Luke Masterson). Penalty on Joseph Jones: Defensive Holding, 10 yards (accepted)",0.0,0.34,3.0,2022,41
2.0,9:35,1.0,10.0,TEN 21,10.0,14.0,Derrick Henry up the middle for no gain (tackle by Malcolm Koonce),0.34,-0.2,3.0,2022,41
2.0,8:55,2.0,10.0,TEN 21,10.0,14.0,Ryan Tannehill pass complete short right to Robert Woods for 7 yards (tackle by Rock Ya-Sin),-0.2,0.04,3.0,2022,41
2.0,8:05,3.0,3.0,TEN 28,10.0,14.0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 10 yards (tackle by Rock Ya-Sin),0.04,1.47,3.0,2022,41
2.0,7:27,1.0,10.0,TEN 38,10.0,14.0,Derrick Henry left tackle for 10 yards (tackle by Nate Hobbs),1.47,2.13,3.0,2022,41
2.0,6:44,1.0,10.0,TEN 48,10.0,14.0,Ryan Tannehill pass complete deep right to Robert Woods for 21 yards (tackle by Rock Ya-Sin),2.13,3.51,3.0,2022,41
2.0,6:10,1.0,10.0,LVR 31,10.0,14.0,Derrick Henry up the middle for 6 yards (tackle by Andrew Billings and Matthew Butler),3.51,3.78,3.0,2022,41
2.0,5:33,2.0,4.0,LVR 25,10.0,14.0,Derrick Henry left tackle for 24 yards (tackle by Johnathan Abram),3.78,6.97,3.0,2022,41
2.0,4:57,1.0,1.0,LVR 1,10.0,20.0,"Ryan Tannehill up the middle for 1 yard, touchdown",6.97,7.0,3.0,2022,41
2.0,4:55,,,LVR 15,10.0,21.0,Randy Bullock kicks extra point good,0.0,0.0,3.0,2022,41
2.0,4:55,,,TEN 35,10.0,21.0,"Randy Bullock kicks off 64 yards, returned by Ameer Abdullah for 23 yards (tackle by Lonnie Johnson)",0.0,0.54,3.0,2022,41
2.0,4:49,1.0,10.0,LVR 24,10.0,21.0,Derek Carr pass complete short middle to Josh Jacobs for 9 yards (tackle by Derrek Tuszka and Zach Cunningham),0.54,1.21,3.0,2022,41
2.0,4:08,2.0,1.0,LVR 33,10.0,21.0,Josh Jacobs up the middle for 4 yards (tackle by Wyatt Ray and David Long),1.21,1.4,3.0,2022,41
2.0,3:28,1.0,10.0,LVR 37,10.0,21.0,Josh Jacobs left guard for 3 yards (tackle by David Long and Roger McCreary),1.4,1.26,3.0,2022,41
2.0,2:39,2.0,7.0,LVR 40,10.0,21.0,Derek Carr pass incomplete short right intended for Foster Moreau,1.26,0.56,3.0,2022,41
2.0,2:35,3.0,7.0,LVR 40,10.0,21.0,Derek Carr pass incomplete deep left intended for Darren Waller,0.56,-0.72,3.0,2022,41
2.0,2:30,4.0,7.0,LVR 40,10.0,21.0,"AJ Cole punts 47 yards, fair catch by Robert Woods at TEN-13",-0.72,0.32,3.0,2022,41
2.0,2:23,1.0,10.0,TEN 13,10.0,21.0,Ryan Tannehill pass complete short middle to Geoff Swaim for 13 yards (tackle by Divine Deablo),-0.32,0.67,3.0,2022,41
2.0,2:00,1.0,10.0,TEN 26,10.0,21.0,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by Amik Robertson),0.67,0.13,3.0,2022,41
2.0,1:57,2.0,10.0,TEN 26,10.0,21.0,Ryan Tannehill pass complete short right to Geoff Swaim for 4 yards (tackle by Johnathan Abram),0.13,-0.03,3.0,2022,41
2.0,1:14,3.0,6.0,TEN 30,10.0,21.0,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by Divine Deablo),-0.03,-1.37,3.0,2022,41
2.0,1:09,4.0,6.0,TEN 30,10.0,21.0,"Ryan Stonehouse punts 57 yards, fair catch by Keelan Cole at LV-13",-1.37,0.32,3.0,2022,41
2.0,1:02,1.0,10.0,LVR 13,10.0,21.0,Derek Carr pass complete short left to Brandon Bolden for 6 yards (tackle by Kristian Fulton),-0.32,0.03,3.0,2022,41
2.0,0:44,2.0,4.0,LVR 19,10.0,21.0,Derek Carr pass incomplete short left,0.03,-0.71,3.0,2022,41
2.0,0:38,3.0,4.0,LVR 19,10.0,21.0,Derek Carr sacked by Rashad Weaver for -7 yards,-0.71,-2.49,3.0,2022,41
2.0,0:34,,,,,,Timeout #1 by Tennessee Titans,,,3.0,2022,41
2.0,0:34,4.0,11.0,LVR 12,10.0,21.0,"AJ Cole punts 58 yards, returned by Robert Woods for 21 yards (tackle by Jesper Horsted and Roderic Teamer)",-2.49,-2.32,3.0,2022,41
2.0,0:21,1.0,10.0,LVR 49,10.0,21.0,Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 15 yards (tackle by Divine Deablo),2.32,3.31,3.0,2022,41
2.0,0:17,,,,,,Timeout #2 by Tennessee Titans,,,3.0,2022,41
2.0,0:17,1.0,10.0,LVR 34,10.0,21.0,Dontrell Hilliard right tackle for 4 yards (tackle by Maxx Crosby and Divine Deablo),3.31,3.18,3.0,2022,41
2.0,0:04,,,,,,Timeout #3 by Tennessee Titans,,,3.0,2022,41
2.0,0:04,,,,,,Timeout #1 by Las Vegas Raiders,,,3.0,2022,41
2.0,0:04,2.0,7.0,LVR 31,10.0,24.0,Randy Bullock 48 yard field goal good,3.18,3.0,3.0,2022,41
3.0,15:00,,,TEN 35,10.0,24.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,41
3.0,15:00,1.0,10.0,LVR 25,10.0,24.0,Josh Jacobs left end for 1 yard (tackle by Roger McCreary and Kristian Fulton),0.61,0.2,3.0,2022,41
3.0,14:18,2.0,9.0,LVR 26,10.0,24.0,Derek Carr scrambles right end for 11 yards (tackle by Terrance Mitchell),0.2,1.4,3.0,2022,41
3.0,13:41,1.0,10.0,LVR 37,10.0,24.0,Josh Jacobs up the middle for 13 yards (tackle by Zach Cunningham and Kevin Byard),1.4,2.26,3.0,2022,41
3.0,12:55,1.0,10.0,TEN 50,10.0,24.0,Brandon Bolden right end for 12 yards (tackle by Roger McCreary),2.26,3.05,3.0,2022,41
3.0,12:22,1.0,10.0,TEN 38,10.0,24.0,Brandon Bolden left tackle for 2 yards (tackle by David Long and Kristian Fulton),3.05,2.78,3.0,2022,41
3.0,11:39,2.0,8.0,TEN 36,10.0,24.0,Mack Hollins pass complete short left to Josh Jacobs for 4 yards (tackle by Zach Cunningham),2.78,2.61,3.0,2022,41
3.0,11:20,3.0,4.0,TEN 32,10.0,24.0,Brandon Bolden left end for 3 yards (tackle by Amani Hooker),2.61,1.62,3.0,2022,41
3.0,10:39,4.0,1.0,TEN 29,10.0,24.0,Derek Carr pass complete short right to Mack Hollins for 4 yards (tackle by Roger McCreary),1.62,3.91,3.0,2022,41
3.0,10:01,1.0,10.0,TEN 25,10.0,24.0,Josh Jacobs left end for 5 yards (tackle by DeMarcus Walker),3.91,4.04,3.0,2022,41
3.0,9:17,2.0,5.0,TEN 20,10.0,24.0,Derek Carr pass complete to Mack Hollins for 5 yards,4.04,4.58,3.0,2022,41
3.0,8:44,1.0,10.0,TEN 15,10.0,24.0,Josh Jacobs up the middle for 3 yards (tackle by Teair Tart and Jeffery Simmons),4.58,4.45,3.0,2022,41
3.0,8:04,2.0,7.0,TEN 12,10.0,24.0,Derek Carr pass complete short middle to Davante Adams for 3 yards (tackle by Kevin Byard and Kristian Fulton),4.45,4.22,3.0,2022,41
3.0,7:20,3.0,4.0,TEN 9,10.0,24.0,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",4.22,3.24,3.0,2022,41
3.0,7:05,,,,,,Timeout #1 by Las Vegas Raiders,,,3.0,2022,41
3.0,7:05,3.0,9.0,TEN 14,10.0,24.0,Derek Carr pass incomplete short right intended for Mack Hollins (defended by Jeffery Simmons),3.24,2.51,3.0,2022,41
3.0,7:01,4.0,9.0,TEN 14,13.0,24.0,Daniel Carlson 32 yard field goal good,2.51,3.0,3.0,2022,41
3.0,6:57,,,LVR 35,13.0,24.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,41
3.0,6:57,1.0,10.0,TEN 25,13.0,24.0,Derrick Henry up the middle for no gain (tackle by Johnathan Hankins and Maxx Crosby),0.61,0.06,3.0,2022,41
3.0,6:25,2.0,10.0,TEN 25,13.0,24.0,"Penalty on TEN: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.06,-0.61,3.0,2022,41
3.0,6:08,2.0,15.0,TEN 20,13.0,24.0,"Ryan Tannehill pass complete to Derrick Henry for no gain (tackle by Divine Deablo and Bilal Nichols). Penalty on Nicholas Petit-Frere: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.61,-1.43,3.0,2022,41
3.0,5:40,2.0,20.0,TEN 15,13.0,24.0,Ryan Tannehill pass complete short middle to Derrick Henry for 9 yards (tackle by Jayon Brown),-1.43,-0.76,3.0,2022,41
3.0,4:51,3.0,11.0,TEN 24,13.0,24.0,Ryan Tannehill pass deep left intended for Robert Woods is intercepted by Duron Harmon at TEN-44 and returned for 13 yards (tackle by Austin Hooper),-0.76,-3.51,3.0,2022,41
3.0,4:47,1.0,10.0,TEN 31,13.0,24.0,"Derek Carr pass complete deep right to Darren Waller for no gain. Penalty on Jermaine Eluemunor: Offensive Holding, 10 yards (accepted) (no play)",3.51,2.85,3.0,2022,41
3.0,4:25,1.0,20.0,TEN 41,13.0,24.0,Derek Carr pass complete short left to Davante Adams for 7 yards (tackle by Roger McCreary),2.85,2.56,3.0,2022,41
3.0,3:50,2.0,13.0,TEN 34,13.0,24.0,Derek Carr pass incomplete short left intended for Davante Adams,2.56,1.88,3.0,2022,41
3.0,3:45,3.0,13.0,TEN 34,13.0,24.0,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",1.88,1.22,3.0,2022,41
3.0,3:45,3.0,18.0,TEN 39,13.0,24.0,Derek Carr pass complete short left to Brandon Bolden for -2 yards (tackle by Jeffery Simmons and David Long),1.22,0.53,3.0,2022,41
3.0,3:05,4.0,20.0,TEN 41,13.0,24.0,"AJ Cole punts 41 yards, touchback. LVR challenged the touchback ruling, and the original play was overturned. AJ Cole punts 39 yards downed by Mack Hollins",0.53,0.38,3.0,2022,41
3.0,2:56,1.0,10.0,TEN 2,13.0,24.0,Derrick Henry left guard for 1 yard (tackle by Jayon Brown),-0.38,-0.71,3.0,2022,41
3.0,2:16,2.0,9.0,TEN 3,13.0,24.0,Ryan Tannehill pass incomplete short middle intended for Robert Woods (defended by Jayon Brown),-0.71,-1.3,3.0,2022,41
3.0,2:13,3.0,9.0,TEN 3,13.0,24.0,Ryan Tannehill pass complete short middle to Dontrell Hilliard for 30 yards (tackle by Rock Ya-Sin and Divine Deablo),-1.3,1.14,3.0,2022,41
3.0,1:22,1.0,10.0,TEN 33,13.0,24.0,Derrick Henry left tackle for 4 yards (tackle by Divine Deablo),1.14,1.13,3.0,2022,41
3.0,0:39,2.0,6.0,TEN 37,13.0,24.0,Derrick Henry right tackle for 13 yards (tackle by Jayon Brown and Duron Harmon),1.13,2.26,3.0,2022,41
4.0,15:00,1.0,10.0,TEN 50,13.0,24.0,Derrick Henry left tackle for 2 yards (tackle by Andrew Billings),2.26,1.98,3.0,2022,41
4.0,14:18,2.0,8.0,LVR 48,13.0,24.0,Ryan Tannehill pass complete short left to Derrick Henry for 7 yards (tackle by Nate Hobbs),1.98,2.21,3.0,2022,41
4.0,13:41,3.0,1.0,LVR 41,13.0,24.0,Derrick Henry up the middle for -3 yards (tackle by Maxx Crosby and Chandler Jones),2.21,0.33,3.0,2022,41
4.0,12:58,4.0,4.0,LVR 44,13.0,24.0,Ryan Tannehill pass incomplete short middle intended for Treylon Burks,0.33,-1.93,3.0,2022,41
4.0,12:54,1.0,10.0,LVR 45,13.0,24.0,Josh Jacobs right end for 4 yards (tackle by David Long and DeMarcus Walker),1.93,1.65,3.0,2022,41
4.0,12:09,2.0,8.0,LVR 47,13.0,24.0,Derek Carr pass complete short right to Foster Moreau for 8 yards (tackle by Roger McCreary),1.65,2.65,3.0,2022,41
4.0,11:23,1.0,10.0,TEN 44,13.0,24.0,Derek Carr pass complete deep middle to Darren Waller for 17 yards (tackle by Amani Hooker),2.65,3.78,3.0,2022,41
4.0,11:17,1.0,10.0,TEN 27,13.0,24.0,"Penalty on Amani Hooker: Personal Foul / Defense, 14 yards (accepted) (no play)",3.78,4.65,3.0,2022,41
4.0,10:55,1.0,10.0,TEN 14,13.0,24.0,Josh Jacobs right guard for 3 yards (tackle by Naquan Jones and Kevin Byard),4.65,4.58,3.0,2022,41
4.0,10:16,2.0,7.0,TEN 10,13.0,24.0,Josh Jacobs left end for 4 yards. Josh Jacobs fumbles (forced by Amani Hooker) (tackle by Rashad Weaver and Amani Hooker). Josh Jacobs fumbles out of bounds,4.58,4.56,3.0,2022,41
4.0,9:33,3.0,3.0,TEN 6,13.0,24.0,Derek Carr pass short middle intended for Darren Waller is intercepted by Kevin Byard in end zone and returned for 24 yards (tackle by Jakob Johnson),4.56,-0.28,3.0,2022,41
4.0,9:22,1.0,10.0,TEN 20,13.0,24.0,Ryan Tannehill pass incomplete short right,0.28,-0.27,3.0,2022,41
4.0,9:17,2.0,10.0,TEN 20,13.0,24.0,Derrick Henry right tackle for 2 yards (tackle by Maxx Crosby),-0.27,-0.69,3.0,2022,41
4.0,8:33,3.0,8.0,TEN 22,13.0,24.0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 15 yards (tackle by Roderic Teamer),-0.69,1.4,3.0,2022,41
4.0,7:51,1.0,10.0,TEN 37,13.0,24.0,Derrick Henry left tackle for 1 yard (tackle by Divine Deablo),1.4,0.86,3.0,2022,41
4.0,7:08,2.0,10.0,TEN 37,13.0,24.0,Ryan Tannehill pass incomplete short right intended for Derrick Henry,0.86,0.17,3.0,2022,41
4.0,7:05,,,,,,Timeout #1 by Tennessee Titans,,,3.0,2022,41
4.0,7:05,3.0,10.0,TEN 37,13.0,24.0,Ryan Tannehill pass complete short right to Austin Hooper for 8 yards (tackle by Roderic Teamer),0.17,-0.32,3.0,2022,41
4.0,6:17,4.0,1.0,TEN 46,13.0,24.0,"Ryan Stonehouse punts 54 yards, touchback.",-0.32,-0.28,3.0,2022,41
4.0,6:08,1.0,10.0,LVR 20,13.0,24.0,"Derek Carr pass incomplete deep left intended for Mack Hollins. Penalty on Roger McCreary: Illegal Use of Hands / Defense, 5 yards (offset) . Penalty on Alex Bars: Offensive Holding, 10 yards (offset) (no play)",0.28,0.28,3.0,2022,41
4.0,6:02,1.0,10.0,LVR 20,13.0,24.0,"Derek Carr pass complete deep left to Mack Hollins for 60 yards (tackle by Amani Hooker). Penalty on Alex Bars: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",0.28,3.25,3.0,2022,41
4.0,5:34,1.0,10.0,TEN 35,13.0,24.0,Derek Carr pass complete short right to Darren Waller for -1 yards (tackle by Terrance Mitchell and Dylan Cole),3.25,2.57,3.0,2022,41
4.0,4:54,2.0,11.0,TEN 36,13.0,24.0,Derek Carr pass complete short left to Keelan Cole for 12 yards (tackle by Roger McCreary),2.57,3.97,3.0,2022,41
4.0,4:18,1.0,10.0,TEN 24,13.0,24.0,Derek Carr pass incomplete short middle,3.97,3.43,3.0,2022,41
4.0,4:15,2.0,10.0,TEN 24,13.0,24.0,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Roger McCreary),3.43,3.75,3.0,2022,41
4.0,3:37,3.0,3.0,TEN 17,13.0,24.0,Derek Carr pass incomplete deep left intended for Mack Hollins (defended by Kristian Fulton),3.75,2.41,3.0,2022,41
4.0,3:33,4.0,3.0,TEN 17,16.0,24.0,Daniel Carlson 35 yard field goal good,2.41,3.0,3.0,2022,41
4.0,3:29,,,LVR 35,16.0,24.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,41
4.0,3:29,1.0,10.0,TEN 25,16.0,24.0,Derrick Henry up the middle for 1 yard (tackle by Johnathan Hankins and Maxx Crosby),0.61,0.2,3.0,2022,41
4.0,3:25,,,,,,Timeout #2 by Las Vegas Raiders,,,3.0,2022,41
4.0,3:25,2.0,9.0,TEN 26,16.0,24.0,"Ryan Tannehill sacked by Maxx Crosby for -12 yards. Ryan Tannehill fumbles (forced by Maxx Crosby), recovered by Nick Westbrook-Ikhine at TEN-14",0.2,-2.55,3.0,2022,41
4.0,3:16,,,,,,Timeout #3 by Las Vegas Raiders,,,3.0,2022,41
4.0,3:16,3.0,21.0,TEN 14,16.0,24.0,"Dontrell Hilliard up the middle for 10 yards (tackle by Johnathan Abram and Clelin Ferrell). Penalty on Nate Davis: Offensive Holding, 10 yards (declined)",-2.55,-1.77,3.0,2022,41
4.0,3:09,4.0,11.0,TEN 24,16.0,24.0,"Ryan Stonehouse punts 70 yards, returned by Keelan Cole for 13 yards (tackle by Joseph Jones)",-1.77,-0.15,3.0,2022,41
4.0,2:57,1.0,10.0,LVR 19,16.0,24.0,Derek Carr pass complete short middle to Josh Jacobs for 13 yards (tackle by Amani Hooker),0.15,1.07,3.0,2022,41
4.0,2:27,1.0,10.0,LVR 32,16.0,24.0,Derek Carr pass incomplete short right,1.07,0.53,3.0,2022,41
4.0,2:24,2.0,10.0,LVR 32,16.0,24.0,Derek Carr pass incomplete deep middle intended for Davante Adams,0.53,-0.16,3.0,2022,41
4.0,2:19,3.0,10.0,LVR 32,16.0,24.0,Derek Carr pass incomplete deep middle intended for Keelan Cole,-0.16,-1.24,3.0,2022,41
4.0,2:13,4.0,10.0,LVR 32,16.0,24.0,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",-1.24,-1.57,3.0,2022,41
4.0,2:13,,,,,,Timeout #2 by Tennessee Titans,,,3.0,2022,41
4.0,2:13,4.0,15.0,LVR 27,16.0,24.0,Derek Carr pass complete deep right to Mack Hollins for 48 yards (tackle by Terrance Mitchell),-1.57,3.91,3.0,2022,41
4.0,2:00,1.0,10.0,TEN 25,16.0,24.0,Derek Carr pass complete short right to Mack Hollins for 5 yards (tackle by Terrance Mitchell),3.91,4.04,3.0,2022,41
4.0,1:56,2.0,5.0,TEN 20,16.0,24.0,Derek Carr scrambles right tackle for 6 yards (tackle by Dylan Cole),4.04,4.65,3.0,2022,41
4.0,1:49,1.0,10.0,TEN 14,16.0,24.0,Derek Carr pass incomplete short middle intended for Davante Adams (defended by Teair Tart),4.65,4.0,3.0,2022,41
4.0,1:44,2.0,10.0,TEN 14,16.0,24.0,Derek Carr pass incomplete short right intended for Davante Adams (defended by Dylan Cole),4.0,3.11,3.0,2022,41
4.0,1:41,3.0,10.0,TEN 14,16.0,24.0,Derek Carr pass incomplete short right intended for Keelan Cole (defended by Roger McCreary),3.11,2.51,3.0,2022,41
4.0,1:37,4.0,10.0,TEN 14,16.0,24.0,"Derek Carr pass incomplete intended for Darren Waller. Penalty on Lonnie Johnson: Defensive Holding, 5 yards (accepted) (no play)",2.51,5.14,3.0,2022,41
4.0,1:32,1.0,9.0,TEN 9,16.0,24.0,Derek Carr pass incomplete short right,5.14,4.38,3.0,2022,41
4.0,1:26,2.0,9.0,TEN 9,16.0,24.0,Derek Carr pass incomplete short left intended for Mack Hollins,4.38,3.36,3.0,2022,41
4.0,1:22,,,,,,Timeout #3 by Tennessee Titans,,,3.0,2022,41
4.0,1:22,3.0,9.0,TEN 9,16.0,24.0,Derek Carr pass incomplete short left intended for Keelan Cole,3.36,2.83,3.0,2022,41
4.0,1:18,4.0,9.0,TEN 9,22.0,24.0,"Derek Carr pass complete short right to Mack Hollins for 9 yards, touchdown",2.83,7.0,3.0,2022,41
4.0,1:14,,,TEN 2,22.0,24.0,Two Point Attempt: Derek Carr pass incomplete intended for Darren Waller,1.0,-1.0,3.0,2022,41
4.0,1:14,,,LVR 35,22.0,24.0,"Daniel Carlson kicks onside 9 yards, returned by Austin Hooper for 2 yards",0.0,2.79,3.0,2022,41
4.0,1:13,1.0,10.0,LVR 42,22.0,24.0,Ryan Tannehill kneels for -1 yards,2.79,2.11,3.0,2022,41
4.0,0:39,2.0,11.0,LVR 43,22.0,24.0,Ryan Tannehill kneels for -1 yards,2.11,1.29,3.0,2022,41
