Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA,week,year,game_id
2.0,9:54,1.0,10.0,NYJ 15,14.0,6.0,Joe Mixon left end for 9 yards (tackle by Sheldon Rankins),4.58,5.6,3.0,2022,37
2.0,9:19,2.0,1.0,NYJ 6,14.0,6.0,Joe Mixon up the middle for 2 yards (tackle by Sheldon Rankins),5.6,6.28,3.0,2022,37
2.0,8:41,1.0,4.0,NYJ 4,14.0,6.0,Joe Burrow pass incomplete short right intended for Joe Mixon,6.28,5.34,3.0,2022,37
2.0,8:36,2.0,4.0,NYJ 4,14.0,6.0,Joe Mixon right tackle for no gain (tackle by Jermaine Johnson and Jordan Whitehead),5.34,4.49,3.0,2022,37
2.0,7:58,3.0,4.0,NYJ 4,14.0,6.0,"Joe Burrow pass complete to Ja'Marr Chase for 3 yards NYJ challenged the pass completion ruling, and the original play was overturned. Joe Burrow pass incomplete short left intended for Ja'Marr Chase",4.49,3.03,3.0,2022,37
2.0,7:50,4.0,4.0,NYJ 4,17.0,6.0,Evan McPherson 22 yard field goal good,3.03,3.0,3.0,2022,37
2.0,7:48,,,CIN 35,17.0,6.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
2.0,7:48,1.0,10.0,NYJ 25,17.0,6.0,Joe Flacco pass complete short middle to Garrett Wilson for 13 yards (tackle by Jessie Bates),0.61,1.47,3.0,2022,37
2.0,7:26,1.0,10.0,NYJ 38,17.0,6.0,Michael Carter left end for -2 yards (tackle by Mike Hilton and D.J. Reader),1.47,0.65,3.0,2022,37
2.0,6:49,2.0,12.0,NYJ 36,17.0,6.0,Joe Flacco pass incomplete deep left intended for Elijah Moore,0.65,-0.03,3.0,2022,37
2.0,6:44,3.0,12.0,NYJ 36,17.0,6.0,"Joe Flacco pass intended for Braxton Berrios is intercepted by Logan Wilson at CIN-34 and returned for 41 yards. Logan Wilson fumbles (forced by George Fant), recovered by Tre Flowers at NYJ-25",-0.03,-3.91,3.0,2022,37
2.0,6:26,1.0,10.0,NYJ 25,17.0,6.0,Joe Burrow pass incomplete short left intended for Joe Mixon,3.91,3.36,3.0,2022,37
2.0,6:20,2.0,10.0,NYJ 25,17.0,6.0,Joe Burrow pass incomplete short middle intended for Hayden Hurst,3.36,2.68,3.0,2022,37
2.0,6:16,3.0,10.0,NYJ 25,17.0,6.0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",2.68,2.01,3.0,2022,37
2.0,6:16,3.0,15.0,NYJ 30,17.0,6.0,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Quincy Williams),2.01,1.8,3.0,2022,37
2.0,5:31,4.0,10.0,NYJ 25,20.0,6.0,Evan McPherson 43 yard field goal good,1.8,3.0,3.0,2022,37
2.0,5:28,,,CIN 35,20.0,6.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
2.0,5:28,1.0,10.0,NYJ 25,20.0,6.0,Joe Flacco pass incomplete deep right intended for Corey Davis (defended by Chidobe Awuzie),0.61,0.06,3.0,2022,37
2.0,5:22,2.0,10.0,NYJ 25,20.0,6.0,Breece Hall left guard for 2 yards (tackle by Trey Hendrickson and Cameron Sample),0.06,-0.36,3.0,2022,37
2.0,4:48,3.0,8.0,NYJ 27,20.0,6.0,Joe Flacco pass incomplete short left intended for Corey Davis,-0.36,-1.57,3.0,2022,37
2.0,4:43,4.0,8.0,NYJ 27,20.0,6.0,"Braden Mann punts 47 yards, returned by Trent Taylor for 8 yards (tackle by Brandin Echols)",-1.57,-1.2,3.0,2022,37
2.0,4:33,1.0,10.0,CIN 34,20.0,6.0,Joe Mixon for -1 yards (tackle by Quincy Williams and Micheal Clemons),1.2,0.52,3.0,2022,37
2.0,3:54,2.0,11.0,CIN 33,20.0,6.0,Joe Burrow pass complete short left to Samaje Perine for 2 yards (tackle by Quincy Williams),0.52,0.1,3.0,2022,37
2.0,3:14,3.0,9.0,CIN 35,20.0,6.0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Sauce Gardner),0.1,-1.04,3.0,2022,37
2.0,3:07,4.0,9.0,CIN 35,20.0,6.0,"Kevin Huber punts 46 yards, fair catch by Braxton Berrios at NYJ-19",-1.04,-0.15,3.0,2022,37
2.0,3:00,1.0,10.0,NYJ 19,20.0,6.0,Breece Hall up the middle for 5 yards (tackle by B.J. Hill),0.15,0.34,3.0,2022,37
2.0,2:34,2.0,5.0,NYJ 24,20.0,6.0,"Joe Flacco pass complete short right to Tyler Conklin for no gain (tackle by Sam Hubbard and Logan Wilson). Penalty on Laken Tomlinson: Ineligible Downfield Pass, 5 yards (declined) . Penalty on George Fant: Offensive Holding, 10 yards (accepted) (no play)",0.34,-1.11,3.0,2022,37
2.0,2:10,2.0,15.0,NYJ 14,20.0,6.0,Joe Flacco pass complete short left to Breece Hall for 11 yards (tackle by Logan Wilson and Akeem Davis-Gaither),-1.11,-0.29,3.0,2022,37
2.0,2:00,3.0,4.0,NYJ 25,20.0,6.0,Joe Flacco pass complete short right to Breece Hall for 7 yards (tackle by Vonn Bell),-0.29,1.07,3.0,2022,37
2.0,1:44,1.0,10.0,NYJ 32,20.0,6.0,Joe Flacco pass incomplete short middle,1.07,0.53,3.0,2022,37
2.0,1:39,2.0,10.0,NYJ 32,20.0,6.0,Joe Flacco pass complete short right to Breece Hall for 4 yards (tackle by Logan Wilson),0.53,0.37,3.0,2022,37
2.0,1:03,3.0,6.0,NYJ 36,20.0,6.0,Joe Flacco pass incomplete short right intended for Breece Hall,0.37,-0.98,3.0,2022,37
2.0,0:59,4.0,6.0,NYJ 36,20.0,6.0,Braden Mann punts 52 yards out of bounds,-0.98,0.35,3.0,2022,37
2.0,0:52,1.0,10.0,CIN 12,20.0,6.0,Joe Burrow pass incomplete short left intended for Joe Mixon,-0.35,-0.78,3.0,2022,37
2.0,0:49,2.0,10.0,CIN 12,20.0,6.0,Joe Burrow pass incomplete short middle intended for Joe Mixon,-0.78,-1.42,3.0,2022,37
2.0,0:43,3.0,10.0,CIN 12,20.0,6.0,Joe Burrow sacked by Quinnen Williams for -7 yards,-1.42,-2.49,3.0,2022,37
2.0,0:40,,,,,,Timeout #1 by New York Jets,,,3.0,2022,37
2.0,0:40,4.0,17.0,CIN 5,20.0,6.0,"Kevin Huber punts 52 yards, returned by Braxton Berrios for 10 yards (tackle by Michael Thomas)",-2.49,-2.46,3.0,2022,37
2.0,0:30,1.0,10.0,CIN 47,20.0,6.0,Joe Flacco pass incomplete short right intended for Breece Hall,2.46,1.91,3.0,2022,37
2.0,0:27,2.0,10.0,CIN 47,20.0,6.0,Joe Flacco pass complete short left to Tyler Conklin for 8 yards (tackle by Logan Wilson and Mike Hilton),1.91,2.28,3.0,2022,37
2.0,0:19,,,,,,Timeout #2 by New York Jets,,,3.0,2022,37
2.0,0:19,3.0,2.0,CIN 39,20.0,6.0,Joe Flacco pass complete short right to Breece Hall for 5 yards (tackle by Mike Hilton),2.28,3.31,3.0,2022,37
2.0,0:12,,,,,,Timeout #3 by New York Jets,,,3.0,2022,37
2.0,0:12,1.0,10.0,CIN 34,20.0,6.0,Joe Flacco pass incomplete deep right,3.31,2.77,3.0,2022,37
2.0,0:07,2.0,10.0,CIN 34,20.0,6.0,Joe Flacco pass incomplete short right,2.77,2.08,3.0,2022,37
2.0,0:02,3.0,10.0,CIN 34,20.0,9.0,"Greg Zuerlein 52 yard field goal good. Penalty on Chidobe Awuzie: Defensive Offside, 5 yards (declined)",2.08,3.0,3.0,2022,37
3.0,15:00,,,CIN 35,20.0,9.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
3.0,15:00,1.0,10.0,NYJ 25,20.0,9.0,Joe Flacco pass incomplete deep right intended for Elijah Moore,0.61,0.06,3.0,2022,37
3.0,14:55,2.0,10.0,NYJ 25,20.0,9.0,Michael Carter up the middle for 6 yards (tackle by B.J. Hill and Akeem Davis-Gaither),0.06,0.17,3.0,2022,37
3.0,14:18,3.0,4.0,NYJ 31,20.0,9.0,"Joe Flacco sacked by Trey Hendrickson for -8 yards. Joe Flacco fumbles (forced by Trey Hendrickson), recovered by B.J. Hill at NYJ-23 and returned for -1 yards",0.17,-3.97,3.0,2022,37
3.0,14:08,1.0,10.0,NYJ 24,20.0,9.0,Joe Burrow pass complete short right to Tyler Boyd for 14 yards (tackle by Michael Carter),3.97,4.91,3.0,2022,37
3.0,13:28,1.0,10.0,NYJ 10,20.0,9.0,Joe Burrow scrambles for 5 yards (tackle by C.J. Mosley),4.91,5.15,3.0,2022,37
3.0,12:48,2.0,5.0,NYJ 5,20.0,9.0,Joe Mixon for no gain (tackle by Quincy Williams),5.15,4.26,3.0,2022,37
3.0,12:05,3.0,5.0,NYJ 5,26.0,9.0,"Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards, touchdown",4.26,7.0,3.0,2022,37
3.0,12:02,,,NYJ 15,27.0,9.0,Evan McPherson kicks extra point good,0.0,0.0,3.0,2022,37
3.0,12:02,,,CIN 35,27.0,9.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
3.0,12:02,1.0,10.0,NYJ 25,27.0,9.0,"Michael Carter right guard for 2 yards (tackle by Akeem Davis-Gaither). Penalty on Zachary Carter: Illegal Use of Hands / Defense, 5 yards (accepted)",0.61,1.07,3.0,2022,37
3.0,11:44,1.0,10.0,NYJ 32,27.0,9.0,Joe Flacco pass complete deep right to Corey Davis for 22 yards (tackle by Vonn Bell),1.07,2.52,3.0,2022,37
3.0,11:09,1.0,10.0,CIN 46,27.0,9.0,Joe Flacco pass incomplete deep right intended for Elijah Moore,2.52,1.98,3.0,2022,37
3.0,11:02,,,,,,Timeout #1 by New York Jets,,,3.0,2022,37
3.0,11:02,2.0,10.0,CIN 46,27.0,9.0,Joe Flacco pass complete short left to C.J. Uzomah for 5 yards (tackle by Akeem Davis-Gaither),1.98,1.95,3.0,2022,37
3.0,10:28,3.0,5.0,CIN 41,27.0,9.0,Joe Flacco pass incomplete short left intended for Garrett Wilson (defended by Eli Apple),1.95,0.53,3.0,2022,37
3.0,10:23,4.0,5.0,CIN 41,27.0,9.0,Joe Flacco pass incomplete deep right intended for Elijah Moore (defended by Chidobe Awuzie),0.53,-1.66,3.0,2022,37
3.0,10:16,1.0,10.0,CIN 41,27.0,9.0,Ja'Marr Chase left end for -1 yards (tackle by Micheal Clemons),1.66,0.99,3.0,2022,37
3.0,9:41,2.0,11.0,CIN 40,27.0,9.0,Joe Burrow pass complete short right to Ja'Marr Chase for 10 yards (tackle by Lamarcus Joyner),0.99,1.62,3.0,2022,37
3.0,9:03,,,,,,Timeout #1 by Cincinnati Bengals,,,3.0,2022,37
3.0,9:03,3.0,1.0,CIN 50,27.0,9.0,Joe Burrow pass complete short right to Ja'Marr Chase for 2 yards (tackle by Lamarcus Joyner),1.62,2.39,3.0,2022,37
3.0,8:28,1.0,10.0,NYJ 48,27.0,9.0,Joe Burrow pass complete short left to Ja'Marr Chase for 4 yards (tackle by Kwon Alexander),2.39,2.25,3.0,2022,37
3.0,7:39,2.0,7.0,NYJ 45,27.0,9.0,Joe Mixon left guard for 6 yards (tackle by Quinnen Williams and C.J. Mosley),2.25,3.05,3.0,2022,37
3.0,7:02,1.0,10.0,NYJ 38,27.0,9.0,Joe Mixon up the middle for 3 yards (tackle by Sheldon Rankins),3.05,2.91,3.0,2022,37
3.0,6:24,2.0,7.0,NYJ 35,27.0,9.0,Joe Burrow pass complete short right to Hayden Hurst for 7 yards (tackle by Quincy Williams),2.91,3.71,3.0,2022,37
3.0,5:46,1.0,10.0,NYJ 28,27.0,9.0,Joe Burrow pass incomplete short middle,3.71,3.17,3.0,2022,37
3.0,5:39,2.0,10.0,NYJ 28,27.0,9.0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Jordan Whitehead),3.17,3.14,3.0,2022,37
3.0,4:58,3.0,5.0,NYJ 23,27.0,9.0,Joe Burrow pass complete short right to Chris Evans for 4 yards (tackle by Quincy Williams),3.14,2.34,3.0,2022,37
3.0,4:17,,,,,,Timeout #2 by Cincinnati Bengals,,,3.0,2022,37
3.0,4:17,4.0,1.0,NYJ 19,27.0,9.0,Ja'Marr Chase right end for -1 yards (tackle by Sauce Gardner),2.34,-0.28,3.0,2022,37
3.0,4:13,1.0,10.0,NYJ 20,27.0,9.0,Joe Flacco pass complete short right to Tyler Conklin for 4 yards (tackle by Akeem Davis-Gaither),0.28,0.27,3.0,2022,37
3.0,3:34,2.0,6.0,NYJ 24,27.0,9.0,Joe Flacco pass incomplete short middle intended for Michael Carter,0.27,-0.43,3.0,2022,37
3.0,3:29,3.0,6.0,NYJ 24,27.0,9.0,Joe Flacco pass complete short left to Tyler Conklin for 18 yards (tackle by Chidobe Awuzie),-0.43,1.73,3.0,2022,37
3.0,3:01,1.0,10.0,NYJ 42,27.0,9.0,Breece Hall left guard for 9 yards (tackle by Akeem Davis-Gaither and Zachary Carter),1.73,2.4,3.0,2022,37
3.0,2:32,2.0,1.0,CIN 49,27.0,9.0,Joe Flacco pass incomplete short left intended for Garrett Wilson (defended by Mike Hilton),2.4,1.69,3.0,2022,37
3.0,2:30,3.0,1.0,CIN 49,27.0,9.0,Joe Flacco pass complete short right to Tyler Conklin for 13 yards (tackle by Vonn Bell),1.69,3.18,3.0,2022,37
3.0,1:59,1.0,10.0,CIN 36,27.0,9.0,Michael Carter up the middle for 9 yards (tackle by Akeem Davis-Gaither and Joseph Ossai),3.18,3.85,3.0,2022,37
3.0,1:37,2.0,1.0,CIN 27,27.0,9.0,Michael Carter left tackle for 2 yards (tackle by Josh Tupou),3.85,3.91,3.0,2022,37
3.0,1:02,1.0,10.0,CIN 25,27.0,9.0,Joe Flacco pass incomplete short right intended for Garrett Wilson (defended by B.J. Hill),3.91,3.36,3.0,2022,37
3.0,0:58,2.0,10.0,CIN 25,27.0,9.0,Joe Flacco pass incomplete deep middle intended for Garrett Wilson,3.36,2.68,3.0,2022,37
3.0,0:52,3.0,10.0,CIN 25,27.0,9.0,Joe Flacco pass incomplete deep left intended for Breece Hall,2.68,1.8,3.0,2022,37
3.0,0:45,4.0,10.0,CIN 25,27.0,12.0,Greg Zuerlein 43 yard field goal good,1.8,3.0,3.0,2022,37
3.0,0:41,,,NYJ 35,27.0,12.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,37
3.0,0:41,1.0,10.0,CIN 25,27.0,12.0,Joe Mixon right end for 2 yards (tackle by Sheldon Rankins),0.61,0.33,3.0,2022,37
4.0,15:00,2.0,8.0,CIN 27,27.0,12.0,Joe Burrow sacked by Sheldon Rankins for -7 yards,0.33,-1.29,3.0,2022,37
4.0,14:19,3.0,15.0,CIN 20,27.0,12.0,Joe Burrow pass incomplete deep left intended for Tyler Boyd (defended by Jordan Whitehead),-1.29,-2.03,3.0,2022,37
4.0,14:10,4.0,15.0,CIN 20,27.0,12.0,Kevin Huber punts 44 yards downed by Michael Thomas,-2.03,-1.33,3.0,2022,37
4.0,14:00,1.0,10.0,NYJ 36,27.0,12.0,Michael Carter left guard for 3 yards (tackle by Mike Hilton),1.33,1.2,3.0,2022,37
4.0,13:36,2.0,7.0,NYJ 39,27.0,12.0,Joe Flacco pass complete short right to Tyler Conklin for 6 yards (tackle by Akeem Davis-Gaither),1.2,1.29,3.0,2022,37
4.0,13:01,3.0,1.0,NYJ 45,27.0,12.0,Breece Hall up the middle for 3 yards (tackle by B.J. Hill and Jessie Bates),1.29,2.13,3.0,2022,37
4.0,12:38,1.0,10.0,NYJ 48,27.0,12.0,Joe Flacco pass complete short right to Breece Hall for 8 yards (tackle by Akeem Davis-Gaither),2.13,2.66,3.0,2022,37
4.0,12:11,2.0,2.0,CIN 44,27.0,12.0,Breece Hall up the middle for 16 yards (tackle by Jessie Bates),2.66,3.71,3.0,2022,37
4.0,11:40,1.0,10.0,CIN 28,27.0,12.0,Joe Flacco pass incomplete short right,3.71,3.17,3.0,2022,37
4.0,11:35,2.0,10.0,CIN 28,27.0,12.0,Joe Flacco pass complete short left to Elijah Moore for 10 yards (tackle by Eli Apple),3.17,4.37,3.0,2022,37
4.0,11:13,1.0,10.0,CIN 18,27.0,12.0,Michael Carter left end for 4 yards (tackle by Vonn Bell and Sam Hubbard),4.37,4.43,3.0,2022,37
4.0,10:37,2.0,6.0,CIN 14,27.0,12.0,"Joe Flacco pass incomplete short left intended for Corey Davis. Penalty on Corey Davis: Unnecessary Roughness / Offense, 15 yards (accepted)",4.43,1.68,3.0,2022,37
4.0,10:30,3.0,21.0,CIN 29,27.0,12.0,"Joe Flacco pass complete to Garrett Wilson for 15 yards (tackle by Chidobe Awuzie) CIN challenged the pass completion ruling, and the play was upheld.",1.68,2.53,3.0,2022,37
4.0,10:09,4.0,6.0,CIN 14,27.0,12.0,"Joe Flacco sacked by and Trey Hendrickson for -11 yards and B.J. Hill for -11 yards. Joe Flacco fumbles (forced by B.J. Hill), recovered by B.J. Hill at CIN-25 and returned for 1 yard",2.53,-0.61,3.0,2022,37
4.0,10:03,1.0,10.0,CIN 25,27.0,12.0,Joe Burrow pass complete short right to Mitchell Wilcox for 9 yards (tackle by C.J. Mosley),0.61,1.28,3.0,2022,37
4.0,9:19,2.0,1.0,CIN 34,27.0,12.0,Samaje Perine up the middle for 7 yards (tackle by Marcell Harris and C.J. Mosley),1.28,1.66,3.0,2022,37
4.0,8:35,1.0,10.0,CIN 41,27.0,12.0,Samaje Perine right tackle for 7 yards (tackle by C.J. Mosley and Kwon Alexander),1.66,2.07,3.0,2022,37
4.0,7:43,2.0,3.0,CIN 48,27.0,12.0,Samaje Perine right guard for 5 yards (tackle by Micheal Clemons),2.07,2.46,3.0,2022,37
4.0,6:58,1.0,10.0,NYJ 47,27.0,12.0,Samaje Perine left guard for 4 yards (tackle by Marcell Harris),2.46,2.45,3.0,2022,37
4.0,6:16,2.0,6.0,NYJ 43,27.0,12.0,Samaje Perine up the middle for 5 yards (tackle by C.J. Mosley),2.45,2.41,3.0,2022,37
