Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA,week,year,game_id
3.0,11:52,3.0,1.0,ARI 20,13.0,6.0,James Conner up the middle for no gain (tackle by Aaron Donald and Bobby Wagner),-0.37,-2.03,3.0,2022,45
3.0,11:21,4.0,1.0,ARI 20,13.0,6.0,James Conner up the middle for 5 yards (tackle by Aaron Donald and Leonard Floyd),-2.03,0.61,3.0,2022,45
3.0,10:59,1.0,10.0,ARI 25,13.0,6.0,James Conner up the middle for 4 yards (tackle by A'Shawn Robinson),0.61,0.6,3.0,2022,45
3.0,10:29,2.0,6.0,ARI 29,13.0,6.0,Kyler Murray pass complete short middle to Greg Dortch for 4 yards (tackle by Ernest Jones and Taylor Rapp),0.6,0.43,3.0,2022,45
3.0,9:46,3.0,2.0,ARI 33,13.0,6.0,Kyler Murray pass complete short left to Marquise Brown for 10 yards (tackle by Derion Kendrick),0.43,1.8,3.0,2022,45
3.0,9:05,1.0,10.0,ARI 43,13.0,6.0,Darrel Williams up the middle for 7 yards (tackle by Bobby Wagner and Grant Haley),1.8,2.2,3.0,2022,45
3.0,8:27,2.0,3.0,ARI 50,13.0,6.0,Kyler Murray pass incomplete short left intended for Darrel Williams,2.2,1.49,3.0,2022,45
3.0,8:23,3.0,3.0,ARI 50,13.0,6.0,James Conner left end for 6 yards (tackle by Bobby Wagner),1.49,2.65,3.0,2022,45
3.0,7:43,1.0,10.0,LAR 44,13.0,6.0,Kyler Murray pass complete short right to James Conner for 7 yards (tackle by A'Shawn Robinson),2.65,3.06,3.0,2022,45
3.0,7:13,2.0,3.0,LAR 37,13.0,6.0,Eno Benjamin left tackle for 5 yards (tackle by Bobby Wagner and Nick Scott),3.06,3.45,3.0,2022,45
3.0,6:47,1.0,10.0,LAR 32,13.0,6.0,Kyler Murray pass complete short right to Greg Dortch for 2 yards (tackle by Grant Haley),3.45,3.24,3.0,2022,45
3.0,6:04,2.0,7.0,LAR 30,13.0,6.0,Eno Benjamin up the middle for -1 yards (tackle by Aaron Donald),3.24,2.41,3.0,2022,45
3.0,5:19,3.0,8.0,LAR 31,13.0,6.0,Kyler Murray pass incomplete deep right intended for Andy Isabella,2.41,1.32,3.0,2022,45
3.0,5:15,4.0,8.0,LAR 31,13.0,9.0,Matt Prater 49 yard field goal good,1.32,3.0,3.0,2022,45
3.0,5:10,,,ARI 35,13.0,9.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
3.0,5:10,1.0,10.0,LAR 25,13.0,9.0,"Cam Akers up the middle for no gain (tackle by Budda Baker). Penalty on Coleman Shelton: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,3.0,2022,45
3.0,4:44,1.0,20.0,LAR 15,13.0,9.0,Cam Akers up the middle for 9 yards (tackle by Marco Wilson),-0.41,-0.07,3.0,2022,45
3.0,4:22,2.0,11.0,LAR 24,13.0,9.0,Matthew Stafford pass incomplete deep middle intended for Cooper Kupp,-0.07,-0.76,3.0,2022,45
3.0,4:16,3.0,11.0,LAR 24,13.0,9.0,Matthew Stafford pass complete short middle to Cooper Kupp for 11 yards (tackle by Jalen Thompson),-0.76,1.27,3.0,2022,45
3.0,3:35,1.0,10.0,LAR 35,13.0,9.0,Matthew Stafford pass complete short right to Tyler Higbee for 26 yards (tackle by Jalen Thompson),1.27,2.98,3.0,2022,45
3.0,2:55,1.0,10.0,ARI 39,13.0,9.0,Cam Akers up the middle for 5 yards (tackle by Michael Dogbe),2.98,3.12,3.0,2022,45
3.0,2:25,2.0,5.0,ARI 34,13.0,9.0,Cam Akers up the middle for 14 yards (tackle by Jace Whittaker),3.12,4.24,3.0,2022,45
3.0,1:51,1.0,10.0,ARI 20,13.0,9.0,Cam Akers up the middle for 6 yards (tackle by Ben Niemann and Jalen Thompson),4.24,4.64,3.0,2022,45
3.0,1:07,2.0,4.0,ARI 14,19.0,9.0,"Cam Akers left tackle for 14 yards, touchdown",4.64,7.0,3.0,2022,45
3.0,1:00,,,ARI 15,20.0,9.0,Matt Gay kicks extra point good,0.0,0.0,3.0,2022,45
3.0,1:00,,,LAR 35,20.0,9.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,45
3.0,1:00,1.0,10.0,ARI 25,20.0,9.0,Kyler Murray pass complete short left to Marquise Brown for 5 yards (tackle by Bobby Wagner),0.61,0.74,3.0,2022,45
3.0,0:24,2.0,5.0,ARI 30,20.0,9.0,"Penalty on Darrel Williams: False Start, 5 yards (accepted) (no play)",0.74,0.06,3.0,2022,45
3.0,0:09,2.0,10.0,ARI 25,20.0,9.0,Kyler Murray pass incomplete deep left intended for Marquise Brown,0.06,-0.62,3.0,2022,45
3.0,0:03,3.0,10.0,ARI 25,20.0,9.0,Kyler Murray pass complete short left to Andy Isabella for 11 yards (tackle by Terrell Burgess),-0.62,1.33,3.0,2022,45
4.0,15:00,1.0,10.0,ARI 36,20.0,9.0,"Kyler Murray for no gain. Kyler Murray fumbles, recovered by Kyler Murray at ARI-36 to Zach Ertz for 4 yards Kyler Murray pass complete short right (tackle by Derion Kendrick)",1.33,1.33,3.0,2022,45
4.0,14:18,2.0,6.0,ARI 40,20.0,9.0,James Conner left tackle for 7 yards (tackle by Ernest Jones and Terrell Burgess),1.33,2.06,3.0,2022,45
4.0,13:53,1.0,10.0,ARI 47,20.0,9.0,Kyler Murray pass complete short left to Greg Dortch for 10 yards (tackle by Jalen Ramsey),2.06,2.72,3.0,2022,45
4.0,13:23,1.0,10.0,LAR 43,20.0,9.0,Kyler Murray pass incomplete deep right intended for Andre Baccellia,2.72,2.18,3.0,2022,45
4.0,13:20,2.0,10.0,LAR 43,20.0,9.0,Kyler Murray pass complete short left to Marquise Brown for 11 yards (tackle by Jalen Ramsey),2.18,3.45,3.0,2022,45
4.0,12:58,1.0,10.0,LAR 32,20.0,9.0,Eno Benjamin up the middle for 3 yards (tackle by Greg Gaines),3.45,3.31,3.0,2022,45
4.0,12:20,2.0,7.0,LAR 29,20.0,9.0,Kyler Murray pass complete short right to Andre Baccellia for 3 yards (tackle by Derion Kendrick),3.31,3.01,3.0,2022,45
4.0,11:39,3.0,4.0,LAR 26,20.0,9.0,Kyler Murray pass incomplete short left intended for Marquise Brown,3.01,1.81,3.0,2022,45
4.0,11:35,,,,,,Timeout #1 by Arizona Cardinals,,,3.0,2022,45
4.0,11:35,4.0,4.0,LAR 26,20.0,9.0,Kyler Murray pass incomplete short left intended for Marquise Brown (defended by Derion Kendrick),1.81,-0.67,3.0,2022,45
4.0,11:29,1.0,10.0,LAR 26,20.0,9.0,Cam Akers right tackle for -2 yards (tackle by Zach Allen),0.67,-0.14,3.0,2022,45
4.0,10:47,2.0,12.0,LAR 24,20.0,9.0,Matthew Stafford pass complete short left to Brandon Powell for 11 yards (tackle by Markus Golden),-0.14,0.63,3.0,2022,45
4.0,10:02,3.0,1.0,LAR 35,20.0,9.0,Matthew Stafford pass complete short left to Ben Skowronek for 32 yards (tackle by Jalen Thompson),0.63,3.38,3.0,2022,45
