Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA,week,year,game_id
2.0,14:16,,,CAR 35,0.0,10.0,"Eddy Pineiro kicks off 61 yards, returned by Dwayne Washington for 16 yards. Dwayne Washington fumbles. Dwayne Washington fumbles, recovered by Dwayne Washington at NO-9 and returned for 16 yards (tackle by Cory Littleton)",0.0,0.61,3.0,2022,35
2.0,14:09,1.0,10.0,NOR 25,0.0,10.0,Jameis Winston pass complete short left to Nick Vannett for 5 yards (tackle by Cory Littleton),0.61,0.74,3.0,2022,35
2.0,13:37,2.0,5.0,NOR 30,0.0,10.0,Alvin Kamara left end for 2 yards (tackle by Frankie Luvu),0.74,0.3,3.0,2022,35
2.0,13:03,3.0,3.0,NOR 32,0.0,10.0,"Mark Ingram for no gain. Penalty on Erik McCoy: Offensive Holding, 10 yards (accepted) (no play)",0.3,-1.02,3.0,2022,35
2.0,12:30,3.0,13.0,NOR 22,0.0,10.0,Jameis Winston pass complete short right to Chris Olave for 4 yards (tackle by Myles Hartsfield),-1.02,-1.63,3.0,2022,35
2.0,11:52,4.0,10.0,NOR 26,0.0,10.0,"Blake Gillikin punts 45 yards, fair catch by Shi Smith at CAR-29",-1.63,-0.87,3.0,2022,35
2.0,11:44,1.0,10.0,CAR 29,0.0,10.0,Christian McCaffrey up the middle for 5 yards (tackle by Shy Tuttle),0.87,1.0,3.0,2022,35
2.0,11:22,2.0,5.0,CAR 34,0.0,10.0,Baker Mayfield pass incomplete short right intended for Christian McCaffrey,1.0,0.3,3.0,2022,35
2.0,11:18,3.0,5.0,CAR 34,0.0,10.0,Baker Mayfield sacked by and Carl Granderson for -9 yards and J.T. Gray for -9 yards,0.3,-1.7,3.0,2022,35
2.0,10:32,4.0,14.0,CAR 25,0.0,10.0,"Penalty on Sam Franklin: False Start, 5 yards (accepted) (no play)",-1.7,-2.03,3.0,2022,35
2.0,10:19,4.0,19.0,CAR 20,0.0,10.0,"Johnny Hekker punts 59 yards, returned by Jarvis Landry for 14 yards (tackle by Ian Thomas and Sam Franklin)",-2.03,-1.27,3.0,2022,35
2.0,10:05,1.0,10.0,NOR 35,0.0,10.0,"Jameis Winston pass incomplete intended for Chris Olave. Penalty on Chris Olave: Offensive Offside, 5 yards (accepted) (no play)",1.27,0.94,3.0,2022,35
2.0,9:58,1.0,15.0,NOR 30,0.0,10.0,"Penalty on Adam Trautman: False Start, 5 yards (accepted) (no play)",0.94,0.61,3.0,2022,35
2.0,9:58,1.0,20.0,NOR 25,0.0,10.0,Jameis Winston pass complete short right to Chris Olave for 12 yards (tackle by C.J. Henderson),0.61,0.99,3.0,2022,35
2.0,9:28,2.0,8.0,NOR 37,0.0,10.0,Alvin Kamara right tackle for 1 yard (tackle by Cory Littleton),0.99,0.43,3.0,2022,35
2.0,8:44,3.0,7.0,NOR 38,0.0,10.0,Jameis Winston pass incomplete short left intended for Juwan Johnson (defended by Shaq Thompson),0.43,-0.85,3.0,2022,35
2.0,8:39,4.0,7.0,NOR 38,0.0,10.0,"Blake Gillikin punts 44 yards, fair catch by Shi Smith at CAR-18",-0.85,-0.04,3.0,2022,35
2.0,8:32,1.0,10.0,CAR 18,0.0,10.0,Christian McCaffrey up the middle for 6 yards (tackle by Justin Evans and David Onyemata),0.04,0.41,3.0,2022,35
2.0,7:52,2.0,4.0,CAR 24,0.0,10.0,Baker Mayfield pass complete short right to Giovanni Ricci for 15 yards (tackle by Pete Werner),0.41,1.53,3.0,2022,35
2.0,7:04,1.0,10.0,CAR 39,0.0,10.0,Chuba Hubbard right guard for 14 yards (tackle by Shy Tuttle),1.53,2.46,3.0,2022,35
2.0,6:27,1.0,10.0,NOR 47,0.0,10.0,D.J. Moore left end for 9 yards (tackle by Tyrann Mathieu),2.46,3.13,3.0,2022,35
2.0,5:49,2.0,1.0,NOR 38,0.0,10.0,Christian McCaffrey right guard for no gain (tackle by Pete Werner),3.13,2.41,3.0,2022,35
2.0,5:22,3.0,1.0,NOR 38,0.0,10.0,Christian McCaffrey up the middle for 2 yards (tackle by Cameron Jordan),2.41,3.18,3.0,2022,35
2.0,4:41,1.0,10.0,NOR 36,0.0,10.0,Baker Mayfield pass incomplete short right,3.18,2.64,3.0,2022,35
2.0,4:36,2.0,10.0,NOR 36,0.0,10.0,Baker Mayfield pass complete short left to Christian McCaffrey for -1 yards (tackle by Payton Turner and Demario Davis),2.64,1.82,3.0,2022,35
2.0,3:54,3.0,11.0,NOR 37,0.0,10.0,Baker Mayfield pass complete short middle to Tommy Tremble for 7 yards (tackle by P.J. Williams),1.82,1.48,3.0,2022,35
2.0,3:00,,,,,,Timeout #1 by Carolina Panthers,,,3.0,2022,35
2.0,3:00,4.0,3.0,NOR 30,0.0,13.0,Eddy Pineiro 48 yard field goal good,1.48,3.0,3.0,2022,35
2.0,2:56,,,CAR 35,0.0,13.0,"Eddy Pineiro kicks off 70 yards, returned by Dwayne Washington for 24 yards (tackle by Stantley Thomas-Oliver)",0.0,0.15,3.0,2022,35
2.0,2:50,1.0,10.0,NOR 19,0.0,13.0,Jameis Winston pass incomplete short left intended for Alvin Kamara,0.15,-0.39,3.0,2022,35
2.0,2:46,2.0,10.0,NOR 19,0.0,13.0,Alvin Kamara right tackle for 4 yards (tackle by Derrick Brown and Yetur Gross-Matos),-0.39,-0.55,3.0,2022,35
2.0,2:00,3.0,6.0,NOR 23,0.0,13.0,Jameis Winston pass complete short left to Michael Thomas for 6 yards (tackle by Myles Hartsfield),-0.55,0.87,3.0,2022,35
2.0,1:25,1.0,10.0,NOR 29,0.0,13.0,Jameis Winston pass incomplete deep right intended for Jarvis Landry,0.87,0.33,3.0,2022,35
2.0,1:27,2.0,10.0,NOR 29,0.0,13.0,Alvin Kamara left tackle for 4 yards (tackle by Marquis Haynes and Yetur Gross-Matos),0.33,0.17,3.0,2022,35
2.0,0:52,3.0,6.0,NOR 33,0.0,13.0,Jameis Winston pass complete deep right to Chris Olave for 49 yards (tackle by C.J. Henderson),0.17,4.37,3.0,2022,35
2.0,0:46,,,,,,Timeout #1 by New Orleans Saints,,,3.0,2022,35
2.0,0:46,1.0,10.0,CAR 18,0.0,13.0,Jameis Winston pass complete short left to Chris Olave for 7 yards (tackle by C.J. Henderson),4.37,5.01,3.0,2022,35
2.0,0:42,2.0,3.0,CAR 11,0.0,13.0,Jameis Winston pass incomplete short right intended for Alvin Kamara (defended by Derrick Brown),5.01,4.26,3.0,2022,35
2.0,0:37,3.0,3.0,CAR 11,0.0,13.0,Jameis Winston pass incomplete short right intended for Jarvis Landry,4.26,2.8,3.0,2022,35
2.0,0:33,4.0,3.0,CAR 11,0.0,13.0,Wil Lutz 30 yard field goal no good blocked by Henry Anderson,2.8,-0.54,3.0,2022,35
2.0,0:27,1.0,10.0,CAR 24,0.0,13.0,Baker Mayfield sacked by Cameron Jordan for -10 yards,0.54,-1.47,3.0,2022,35
2.0,0:18,,,,,,Timeout #2 by Carolina Panthers,,,3.0,2022,35
2.0,0:18,2.0,20.0,CAR 14,0.0,13.0,Christian McCaffrey for 4 yards (tackle by Cameron Jordan and Demario Davis),-1.47,-1.64,3.0,2022,35
3.0,15:00,,,CAR 35,0.0,13.0,"Eddy Pineiro kicks off 65 yards, returned by Dwayne Washington for 16 yards (tackle by Chuba Hubbard). Penalty on Daniel Sorensen: Offensive Holding, 8 yards (accepted) CAR challenged the runner was down by contact ruling, and the play was upheld.",0.0,-0.38,3.0,2022,35
3.0,14:54,1.0,10.0,NOR 8,0.0,13.0,Alvin Kamara left guard for 6 yards (tackle by Frankie Luvu),-0.38,-0.39,3.0,2022,35
3.0,14:19,2.0,5.0,NOR 14,0.0,13.0,Alvin Kamara left tackle for 8 yards (tackle by Jeremy Chinn and Xavier Woods),-0.39,0.41,3.0,2022,35
3.0,13:41,1.0,10.0,NOR 22,0.0,13.0,Jameis Winston pass complete short left to Jarvis Landry for 13 yards (tackle by Xavier Woods),0.41,1.27,3.0,2022,35
3.0,13:03,1.0,10.0,NOR 35,0.0,13.0,Mark Ingram up the middle for 7 yards (tackle by Jaycee Horn and Jeremy Chinn),1.27,1.67,3.0,2022,35
3.0,12:29,2.0,3.0,NOR 42,0.0,13.0,Alvin Kamara left guard for 4 yards (tackle by Marquis Haynes),1.67,1.99,3.0,2022,35
3.0,11:54,1.0,10.0,NOR 46,0.0,13.0,Jameis Winston pass complete short right to Michael Thomas for 7 yards (tackle by C.J. Henderson),1.99,2.4,3.0,2022,35
3.0,11:18,2.0,3.0,CAR 47,0.0,13.0,Alvin Kamara right tackle for 2 yards (tackle by Henry Anderson),2.4,1.88,3.0,2022,35
3.0,10:32,3.0,2.0,CAR 45,0.0,13.0,Jameis Winston pass complete short left to Chris Olave for 6 yards (tackle by Jeremy Chinn),1.88,2.98,3.0,2022,35
3.0,10:04,1.0,10.0,CAR 39,0.0,13.0,Mark Ingram left end for -2 yards (tackle by Henry Anderson and Daviyon Nixon),2.98,2.17,3.0,2022,35
3.0,9:26,2.0,12.0,CAR 41,0.0,13.0,Jameis Winston pass complete deep right to Tre'Quan Smith for 23 yards (tackle by Jeremy Chinn),2.17,4.37,3.0,2022,35
3.0,8:47,1.0,10.0,CAR 18,0.0,13.0,Alvin Kamara up the middle for -1 yards (tackle by Matthew Ioannidis),4.37,3.67,3.0,2022,35
3.0,8:06,2.0,11.0,CAR 19,0.0,13.0,Jameis Winston pass incomplete deep right intended for Alvin Kamara,3.67,2.97,3.0,2022,35
3.0,7:58,3.0,11.0,CAR 19,0.0,13.0,Jameis Winston sacked by Jeremy Chinn for -11 yards,2.97,1.41,3.0,2022,35
3.0,7:16,4.0,22.0,CAR 30,0.0,13.0,Wil Lutz 48 yard field goal no good,1.41,-1.47,3.0,2022,35
3.0,7:16,1.0,10.0,CAR 38,0.0,13.0,Christian McCaffrey left end for 18 yards (tackle by P.J. Williams),1.47,2.65,3.0,2022,35
3.0,6:41,1.0,10.0,NOR 44,0.0,13.0,D.J. Moore for 4 yards (tackle by Bradley Roby and P.J. Williams),2.65,2.65,3.0,2022,35
3.0,5:58,2.0,6.0,NOR 40,0.0,13.0,Baker Mayfield pass incomplete short middle intended for D.J. Moore (defended by Bradley Roby),2.65,1.95,3.0,2022,35
3.0,5:53,3.0,6.0,NOR 40,0.0,13.0,Christian McCaffrey up the middle for 2 yards (tackle by J.T. Gray and Carl Granderson),1.95,0.72,3.0,2022,35
3.0,5:13,4.0,4.0,NOR 38,0.0,13.0,Baker Mayfield pass incomplete short middle intended for Giovanni Ricci (defended by Demario Davis),0.72,-1.47,3.0,2022,35
3.0,5:06,1.0,10.0,NOR 38,0.0,13.0,Alvin Kamara left guard for 6 yards (tackle by Jaycee Horn),1.47,1.73,3.0,2022,35
3.0,4:22,2.0,4.0,NOR 44,0.0,13.0,Jameis Winston pass incomplete deep right intended for Tre'Quan Smith,1.73,1.02,3.0,2022,35
3.0,4:23,3.0,4.0,NOR 44,0.0,13.0,"Jameis Winston aborted snap, recovered by Jameis Winston at NO-42 and returned for -2 yards Jameis Winston for no gain. Penalty on Chris Olave: Illegal Shift, 5 yards (declined)",1.02,-0.46,3.0,2022,35
3.0,4:06,4.0,4.0,NOR 44,0.0,13.0,"Blake Gillikin punts 49 yards, returned by Shi Smith for 10 yards (tackle by Zach Wood and Zack Baun)",-0.46,-0.15,3.0,2022,35
3.0,3:49,1.0,10.0,CAR 19,0.0,13.0,Baker Mayfield pass complete short right to Christian McCaffrey for 8 yards (tackle by Demario Davis and Tanoh Kpassagnon),0.15,0.75,3.0,2022,35
3.0,3:13,2.0,2.0,CAR 27,0.0,13.0,Christian McCaffrey left tackle for no gain (tackle by Kaden Elliss),0.75,-0.03,3.0,2022,35
3.0,2:34,3.0,2.0,CAR 27,0.0,13.0,Baker Mayfield pass complete deep left to Shi Smith for 24 yards (tackle by Bradley Roby),-0.03,2.32,3.0,2022,35
3.0,2:02,1.0,10.0,NOR 49,0.0,13.0,Baker Mayfield pass incomplete short right intended for Robbie Anderson,2.32,1.78,3.0,2022,35
3.0,1:56,2.0,10.0,NOR 49,0.0,13.0,Christian McCaffrey right tackle for 5 yards (tackle by Paulson Adebo),1.78,1.75,3.0,2022,35
3.0,1:15,3.0,5.0,NOR 44,0.0,13.0,Baker Mayfield pass incomplete deep left intended for Robbie Anderson,1.75,0.33,3.0,2022,35
3.0,1:09,4.0,5.0,NOR 44,0.0,13.0,Johnny Hekker punts 33 yards downed by Giovanni Ricci,0.33,0.37,3.0,2022,35
3.0,0:59,1.0,10.0,NOR 11,0.0,13.0,Jameis Winston pass incomplete short right intended for Chris Olave (defended by Jaycee Horn),-0.37,-0.78,3.0,2022,35
3.0,0:56,2.0,10.0,NOR 11,0.0,13.0,Alvin Kamara right guard for -1 yards (tackle by Marquan McCall),-0.78,-1.54,3.0,2022,35
3.0,0:19,3.0,11.0,NOR 10,0.0,13.0,Jameis Winston pass complete short left to Chris Olave for 12 yards (tackle by Donte Jackson),-1.54,0.41,3.0,2022,35
4.0,15:00,1.0,10.0,NOR 22,0.0,13.0,Jameis Winston pass complete short right to Chris Olave for 8 yards (tackle by Keith Taylor),0.41,0.95,3.0,2022,35
4.0,14:29,2.0,2.0,NOR 30,0.0,13.0,Jameis Winston pass complete short right to Michael Thomas for 16 yards (tackle by Myles Hartsfield),0.95,1.99,3.0,2022,35
4.0,14:06,1.0,10.0,NOR 46,0.0,13.0,Jameis Winston pass complete short right to Adam Trautman for 9 yards,1.99,2.67,3.0,2022,35
4.0,13:53,2.0,1.0,CAR 45,0.0,13.0,Jameis Winston pass complete short left to Tre'Quan Smith for 11 yards (tackle by C.J. Henderson),2.67,3.31,3.0,2022,35
4.0,13:15,1.0,10.0,CAR 34,0.0,13.0,Jameis Winston pass complete short middle to Alvin Kamara for 6 yards (tackle by Frankie Luvu),3.31,3.58,3.0,2022,35
4.0,12:53,2.0,4.0,CAR 28,0.0,13.0,Jameis Winston pass complete short right to Tre'Quan Smith for 23 yards (tackle by Shaq Thompson),3.58,6.06,3.0,2022,35
4.0,12:35,1.0,5.0,CAR 5,6.0,13.0,"Mark Ingram up the middle for 5 yards, touchdown",6.06,7.0,3.0,2022,35
4.0,12:31,,,CAR 15,7.0,13.0,Wil Lutz kicks extra point good,0.0,0.0,3.0,2022,35
4.0,12:31,,,NOR 35,7.0,13.0,"Wil Lutz kicks off 68 yards, returned by Laviska Shenault for 36 yards (tackle by Daniel Sorensen)",0.0,1.14,3.0,2022,35
4.0,12:25,1.0,10.0,CAR 33,7.0,13.0,Baker Mayfield pass incomplete short right intended for D.J. Moore,1.14,0.59,3.0,2022,35
4.0,12:19,2.0,10.0,CAR 33,7.0,19.0,"Baker Mayfield pass complete short left to Laviska Shenault for 67 yards, touchdown",0.59,7.0,3.0,2022,35
4.0,12:06,,,NOR 2,7.0,19.0,"Two Point Attempt: Christian McCaffrey rushes, conversion fails.",1.0,-1.0,3.0,2022,35
4.0,12:06,,,CAR 35,7.0,19.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,35
4.0,12:06,1.0,10.0,NOR 25,7.0,19.0,Jameis Winston pass complete short right to Chris Olave for 11 yards,0.61,1.33,3.0,2022,35
4.0,11:30,1.0,10.0,NOR 36,7.0,19.0,Jameis Winston pass incomplete short left intended for Alvin Kamara (defended by Jeremy Chinn),1.33,0.79,3.0,2022,35
4.0,11:25,2.0,10.0,NOR 36,7.0,19.0,Jameis Winston pass (defended by Jaycee Horn) intended for Chris Olave is intercepted by Derrick Brown at NO-35 and returned for no gain (tackle by Erik McCoy),0.79,-3.25,3.0,2022,35
4.0,11:19,1.0,10.0,NOR 35,7.0,19.0,Baker Mayfield pass complete short right to Ian Thomas for 4 yards (tackle by Pete Werner),3.25,3.24,3.0,2022,35
4.0,10:36,2.0,6.0,NOR 31,7.0,19.0,Christian McCaffrey up the middle for 2 yards (tackle by Kentavius Street),3.24,2.81,3.0,2022,35
4.0,9:57,3.0,4.0,NOR 29,7.0,19.0,Christian McCaffrey left end for 9 yards (tackle by Shy Tuttle),2.81,4.24,3.0,2022,35
4.0,9:14,1.0,10.0,NOR 20,7.0,19.0,Baker Mayfield pass incomplete deep left intended for Christian McCaffrey (defended by P.J. Williams),4.24,3.69,3.0,2022,35
4.0,9:07,2.0,10.0,NOR 20,7.0,19.0,Chuba Hubbard up the middle for 4 yards (tackle by David Onyemata),3.69,3.52,3.0,2022,35
4.0,8:28,3.0,6.0,NOR 16,7.0,19.0,Baker Mayfield pass incomplete short left intended for D.J. Moore,3.52,2.4,3.0,2022,35
4.0,8:23,4.0,6.0,NOR 16,7.0,22.0,Eddy Pineiro 34 yard field goal good,2.4,3.0,3.0,2022,35
4.0,8:19,,,CAR 35,7.0,22.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,35
4.0,8:19,1.0,10.0,NOR 25,7.0,22.0,Jameis Winston pass incomplete short right intended for Alvin Kamara,0.61,0.06,3.0,2022,35
4.0,8:14,2.0,10.0,NOR 25,7.0,22.0,"Jameis Winston pass complete to Chris Olave for no gain. Penalty on Erik McCoy: Offensive Holding, 10 yards (accepted) (no play)",0.06,-1.43,3.0,2022,35
4.0,7:49,2.0,20.0,NOR 15,7.0,22.0,Jameis Winston pass complete short middle to Alvin Kamara for 6 yards (tackle by Shaq Thompson),-1.43,-1.15,3.0,2022,35
4.0,7:01,3.0,14.0,NOR 21,7.0,22.0,Jameis Winston pass incomplete short right,-1.15,-1.96,3.0,2022,35
4.0,7:02,4.0,14.0,NOR 21,7.0,22.0,"Blake Gillikin punts 55 yards, returned by Shi Smith for no gain (tackle by Daniel Sorensen). Penalty on Keith Taylor: Offensive Holding, 10 yards (accepted) . Penalty on Keith Taylor: Offensive Holding, 10 yards (declined)",-1.96,0.28,3.0,2022,35
4.0,6:50,1.0,10.0,CAR 14,7.0,22.0,Christian McCaffrey up the middle for 1 yard (tackle by Pete Werner and Tanoh Kpassagnon),-0.28,-0.64,3.0,2022,35
4.0,6:07,2.0,9.0,CAR 15,7.0,22.0,Christian McCaffrey left guard for 5 yards (tackle by Pete Werner),-0.64,-0.68,3.0,2022,35
4.0,5:21,3.0,4.0,CAR 20,7.0,22.0,"Christian McCaffrey for no gain (tackle by P.J. Williams). Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (accepted) (no play)",-0.68,-1.89,3.0,2022,35
4.0,4:50,3.0,14.0,CAR 10,7.0,22.0,Baker Mayfield pass complete short middle to Laviska Shenault for 23 yards (tackle by Tyrann Mathieu and P.J. Williams),-1.89,1.14,3.0,2022,35
4.0,4:32,,,,,,Timeout #1 by New Orleans Saints,,,3.0,2022,35
4.0,4:32,1.0,10.0,CAR 33,7.0,22.0,Christian McCaffrey up the middle for 2 yards (tackle by Shy Tuttle and Cameron Jordan),1.14,0.86,3.0,2022,35
4.0,4:28,,,,,,Timeout #2 by New Orleans Saints,,,3.0,2022,35
4.0,4:28,2.0,8.0,CAR 35,7.0,22.0,Christian McCaffrey left guard for 5 yards (tackle by Shy Tuttle),0.86,0.83,3.0,2022,35
4.0,4:22,,,,,,Timeout #3 by New Orleans Saints,,,3.0,2022,35
4.0,4:22,3.0,3.0,CAR 40,7.0,22.0,Christian McCaffrey up the middle for 1 yard (tackle by Shy Tuttle and P.J. Williams),0.83,-0.65,3.0,2022,35
4.0,3:37,4.0,2.0,CAR 41,7.0,22.0,Johnny Hekker punts 49 yards downed by Stantley Thomas-Oliver,-0.65,0.38,3.0,2022,35
4.0,3:28,1.0,10.0,NOR 10,7.0,22.0,Jameis Winston pass complete deep left to Chris Olave for 38 yards (tackle by Jeremy Chinn),-0.38,2.13,3.0,2022,35
4.0,2:55,1.0,10.0,NOR 48,7.0,22.0,Jameis Winston pass complete deep right to Tre'Quan Smith for 48 yards (tackle by Jeremy Chinn),2.13,6.28,3.0,2022,35
4.0,2:29,1.0,4.0,CAR 4,13.0,22.0,"Jameis Winston pass complete short right to Marquez Callaway for 4 yards, touchdown",6.28,7.0,3.0,2022,35
4.0,2:22,,,CAR 15,14.0,22.0,Wil Lutz kicks extra point good,0.0,0.0,3.0,2022,35
4.0,2:22,,,,,,Timeout #2 by Carolina Panthers,,,3.0,2022,35
4.0,2:22,,,NOR 35,14.0,22.0,"Wil Lutz kicks onside 19 yards, returned by D.J. Moore for no gain",0.0,1.99,3.0,2022,35
4.0,2:21,1.0,10.0,CAR 46,14.0,22.0,Christian McCaffrey for 1 yard (tackle by Pete Werner and Shy Tuttle),1.99,1.59,3.0,2022,35
4.0,2:00,2.0,9.0,CAR 47,14.0,22.0,Christian McCaffrey right tackle for 4 yards (tackle by David Onyemata),1.59,1.42,3.0,2022,35
