Quarter,Time,Down,ToGo,Location,KAN,IND,Detail,EPB,EPA,week,year,game_id
1.0,7:09,4.0,7.0,IND 42,0.0,7.0,Matt Haack punts 57 yards downed by Kylen Granson,-0.59,0.38,3.0,2022,38
1.0,6:55,1.0,10.0,KAN 1,0.0,7.0,Clyde Edwards-Helaire up the middle for no gain (tackle by Grover Stewart),-0.38,-0.78,3.0,2022,38
1.0,6:17,2.0,10.0,KAN 1,0.0,7.0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 3 yards (tackle by Bobby Okereke),-0.78,-1.07,3.0,2022,38
1.0,5:37,3.0,7.0,KAN 4,0.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Stephon Gilmore),-1.07,-2.49,3.0,2022,38
1.0,4:55,4.0,1.0,KAN 10,0.0,7.0,"Tommy Townsend punts 58 yards, returned by Nyheim Hines for 10 yards (tackle by Dicaprio Bootle and Elijah Lee)",-2.49,-1.73,3.0,2022,38
1.0,4:42,1.0,10.0,IND 42,0.0,7.0,Matt Ryan scrambles right end for 3 yards (tackle by Carlos Dunlap),1.73,1.59,3.0,2022,38
1.0,4:03,2.0,7.0,IND 45,0.0,7.0,Matt Ryan pass complete short middle to Nyheim Hines for 6 yards (tackle by L'Jarius Sneed),1.59,1.69,3.0,2022,38
1.0,3:29,3.0,1.0,KAN 49,0.0,7.0,Jonathan Taylor left tackle for no gain (tackle by George Karlaftis and Khalen Saunders),1.69,0.0,3.0,2022,38
1.0,2:47,4.0,1.0,KAN 49,0.0,7.0,"Matt Ryan sacked by L'Jarius Sneed for -10 yards. Matt Ryan fumbles (forced by L'Jarius Sneed), recovered by Jonathan Taylor at IND-35",0.0,-3.25,3.0,2022,38
1.0,2:37,1.0,10.0,IND 35,0.0,7.0,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 6 yards (tackle by Isaiah Rodgers),3.25,3.51,3.0,2022,38
1.0,2:02,2.0,4.0,IND 29,0.0,7.0,Clyde Edwards-Helaire right end for -3 yards (tackle by Zaire Franklin),3.51,2.41,3.0,2022,38
1.0,1:19,3.0,7.0,IND 32,0.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 29 yards (tackle by Bobby Okereke),2.41,6.51,3.0,2022,38
1.0,0:39,1.0,3.0,IND 3,6.0,7.0,"Patrick Mahomes pass complete short right to Travis Kelce for 3 yards, touchdown",6.51,7.0,3.0,2022,38
1.0,0:34,,,IND 15,6.0,7.0,Matt Ammendola kicks extra point no good,0.0,-1.0,3.0,2022,38
1.0,0:34,,,KAN 35,6.0,7.0,"Matt Ammendola kicks off 62 yards, returned by Isaiah Rodgers for 26 yards (tackle by Jody Fortson)",0.0,0.87,3.0,2022,38
1.0,0:29,1.0,10.0,IND 29,6.0,7.0,Jonathan Taylor right tackle for 5 yards (tackle by Darius Harris),0.87,1.0,3.0,2022,38
2.0,15:00,2.0,5.0,IND 34,6.0,7.0,Jonathan Taylor left guard for 1 yard (tackle by Malik Herring and Darius Harris),1.0,0.43,3.0,2022,38
2.0,14:26,3.0,4.0,IND 35,6.0,7.0,Matt Ryan pass complete short right to Nyheim Hines for 8 yards (tackle by Rashad Fenton),0.43,1.8,3.0,2022,38
2.0,13:48,1.0,10.0,IND 43,6.0,7.0,Matt Ryan pass complete short middle to Alec Pierce for 17 yards (tackle by Jaylen Watson),1.8,2.92,3.0,2022,38
2.0,13:06,1.0,10.0,KAN 40,6.0,7.0,Matt Ryan pass incomplete short middle intended for Michael Pittman,2.92,2.37,3.0,2022,38
2.0,13:00,2.0,10.0,KAN 40,6.0,7.0,Matt Ryan pass complete short right to Michael Pittman for 7 yards (tackle by Darius Harris and Jaylen Watson),2.37,2.61,3.0,2022,38
2.0,12:21,3.0,3.0,KAN 33,6.0,7.0,Matt Ryan pass complete short middle to Ashton Dulin for 7 yards (tackle by Rashad Fenton),2.61,3.84,3.0,2022,38
2.0,11:39,1.0,10.0,KAN 26,6.0,7.0,Jonathan Taylor right end for 3 yards (tackle by Khalen Saunders and L'Jarius Sneed),3.84,3.7,3.0,2022,38
2.0,11:05,2.0,7.0,KAN 23,6.0,7.0,Jonathan Taylor up the middle for no gain (tackle by Khalen Saunders and George Karlaftis),3.7,3.01,3.0,2022,38
2.0,10:24,3.0,7.0,KAN 23,6.0,7.0,Matt Ryan pass complete short left to Michael Pittman for -2 yards (tackle by Juan Thornhill),3.01,1.8,3.0,2022,38
2.0,9:44,4.0,9.0,KAN 25,6.0,10.0,Chase McLaughlin 43 yard field goal good,1.8,3.0,3.0,2022,38
2.0,9:40,,,IND 35,6.0,10.0,"Chase McLaughlin kicks off 64 yards, returned by Isiah Pacheco for 14 yards (tackle by Julian Blackmon)",0.0,-0.22,3.0,2022,38
2.0,9:35,1.0,10.0,KAN 15,6.0,10.0,Patrick Mahomes pass complete short middle to Mecole Hardman for 2 yards (tackle by Isaiah Rodgers),-0.22,-0.44,3.0,2022,38
2.0,8:57,2.0,8.0,KAN 17,6.0,10.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 9 yards (tackle by Zaire Franklin),-0.44,0.67,3.0,2022,38
2.0,8:37,1.0,10.0,KAN 26,6.0,10.0,Patrick Mahomes sacked by Yannick Ngakoue for -5 yards,0.67,-0.55,3.0,2022,38
2.0,7:53,2.0,15.0,KAN 21,6.0,10.0,"Patrick Mahomes pass incomplete short right. Penalty on Zaire Franklin: Defensive Pass Interference, 9 yards (accepted) (no play)",-0.55,0.94,3.0,2022,38
2.0,7:48,1.0,10.0,KAN 30,6.0,10.0,Jerick McKinnon right tackle for 3 yards (tackle by Dayo Odeyingbo and Zaire Franklin),0.94,0.8,3.0,2022,38
2.0,7:15,2.0,7.0,KAN 33,6.0,10.0,Patrick Mahomes scrambles left end for 7 yards (tackle by Kenny Moore),0.8,1.6,3.0,2022,38
2.0,6:43,1.0,10.0,KAN 40,6.0,10.0,Jerick McKinnon up the middle for 4 yards (tackle by Bobby Okereke and Grover Stewart),1.6,1.59,3.0,2022,38
2.0,6:24,2.0,6.0,KAN 44,6.0,10.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Stephon Gilmore),1.59,2.32,3.0,2022,38
2.0,5:50,1.0,10.0,IND 49,6.0,10.0,Clyde Edwards-Helaire left end for 1 yard (tackle by Zaire Franklin),2.32,1.92,3.0,2022,38
2.0,5:08,,,,,,Timeout #1 by Kansas City Chiefs,,,3.0,2022,38
2.0,5:08,2.0,9.0,IND 48,6.0,10.0,Patrick Mahomes pass incomplete short left,1.92,1.22,3.0,2022,38
2.0,5:01,3.0,9.0,IND 48,6.0,10.0,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster (defended by Rodney McLeod),1.22,0.07,3.0,2022,38
2.0,4:54,4.0,9.0,IND 48,6.0,10.0,Tommy Townsend punts 47 yards downed by Justin Watson,0.07,0.38,3.0,2022,38
2.0,4:46,1.0,10.0,IND 1,6.0,10.0,Matt Ryan pass complete deep right to Alec Pierce for 30 yards (tackle by Jaylen Watson),-0.38,1.0,3.0,2022,38
2.0,4:08,1.0,10.0,IND 31,6.0,10.0,Jonathan Taylor right tackle for 1 yard (tackle by Justin Reid and Khalen Saunders),1.0,0.6,3.0,2022,38
2.0,3:33,2.0,9.0,IND 32,6.0,10.0,"Matt Ryan sacked by Carlos Dunlap for -5 yards. Matt Ryan fumbles (forced by Carlos Dunlap), recovered by L'Jarius Sneed at IND-26 and returned for 5 yards (tackle by Danny Pinter)",0.6,-4.17,3.0,2022,38
2.0,3:23,1.0,10.0,IND 21,6.0,10.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 10 yards (tackle by Zaire Franklin),4.17,4.84,3.0,2022,38
2.0,2:50,1.0,10.0,IND 11,6.0,10.0,Patrick Mahomes pass complete short middle to Clyde Edwards-Helaire for 9 yards (tackle by Bobby Okereke and Zaire Franklin),4.84,5.85,3.0,2022,38
2.0,2:13,2.0,1.0,IND 2,6.0,10.0,Travis Kelce up the middle for 1 yard (tackle by DeForest Buckner and Rodney McLeod),5.85,6.97,3.0,2022,38
2.0,2:00,1.0,1.0,IND 1,6.0,10.0,Clyde Edwards-Helaire left guard for no gain (tackle by DeForest Buckner and E.J. Speed),6.97,5.91,3.0,2022,38
2.0,1:54,,,,,,Timeout #1 by Indianapolis Colts,,,3.0,2022,38
2.0,1:54,2.0,1.0,IND 1,6.0,10.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce. Penalty on Bobby Okereke: Defensive Holding (accepted) (no play),5.91,6.97,3.0,2022,38
2.0,1:50,1.0,1.0,IND 1,12.0,10.0,"Clyde Edwards-Helaire right tackle for 1 yard, touchdown",6.97,7.0,3.0,2022,38
2.0,1:46,,,IND 2,14.0,10.0,"Two Point Attempt: Patrick Mahomes pass complete to to Travis Kelce for no gain Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",1.0,1.0,3.0,2022,38
2.0,1:46,,,KAN 35,14.0,10.0,"Matt Ammendola kicks off 65 yards, touchback.. Penalty on Deon Bush: Illegal Formation, 5 yards (accepted)",0.0,0.94,3.0,2022,38
2.0,1:46,1.0,10.0,IND 30,14.0,10.0,Matt Ryan pass incomplete short right intended for Alec Pierce,0.94,0.39,3.0,2022,38
2.0,1:43,2.0,10.0,IND 30,14.0,10.0,Matt Ryan pass incomplete short right intended for Nyheim Hines,0.39,-0.3,3.0,2022,38
2.0,1:38,3.0,10.0,IND 30,14.0,10.0,"Matt Ryan pass incomplete intended for Parris Campbell. Penalty on L'Jarius Sneed: Defensive Holding, 5 yards (accepted) (no play)",-0.3,1.27,3.0,2022,38
2.0,1:33,1.0,10.0,IND 35,14.0,10.0,Matt Ryan sacked by Frank Clark for -11 yards,1.27,-0.76,3.0,2022,38
2.0,0:58,2.0,21.0,IND 24,14.0,10.0,Matt Ryan pass complete short left to Nyheim Hines for 1 yard (tackle by Tershawn Wharton and Chris Jones),-0.76,-1.29,3.0,2022,38
2.0,0:50,,,,,,Timeout #2 by Kansas City Chiefs,,,3.0,2022,38
2.0,0:50,3.0,20.0,IND 25,14.0,10.0,Nyheim Hines up the middle for 1 yard (tackle by Tershawn Wharton),-1.29,-1.63,3.0,2022,38
2.0,0:44,,,,,,Timeout #3 by Kansas City Chiefs,,,3.0,2022,38
2.0,0:44,4.0,19.0,IND 26,14.0,10.0,"Matt Haack punts 40 yards, returned by Skyy Moore for 12 yards (tackle by Tony Brown and Luke Rhodes)",-1.63,-1.99,3.0,2022,38
2.0,0:34,1.0,10.0,KAN 46,14.0,10.0,"Patrick Mahomes pass incomplete deep middle intended for Justin Watson. Penalty on Trey Smith: Offensive Holding, 10 yards (accepted) (no play)",1.99,1.33,3.0,2022,38
2.0,0:29,1.0,20.0,KAN 36,14.0,10.0,Patrick Mahomes pass incomplete deep middle intended for JuJu Smith-Schuster,1.33,0.1,3.0,2022,38
2.0,0:20,2.0,20.0,KAN 36,14.0,10.0,Jerick McKinnon up the middle for 6 yards (tackle by Bobby Okereke and Zaire Franklin),0.1,0.23,3.0,2022,38
3.0,15:00,,,IND 35,14.0,10.0,"Chase McLaughlin kicks off 63 yards, returned by Isiah Pacheco for 29 yards (tackle by Rodney McLeod)",0.0,1.0,3.0,2022,38
3.0,14:54,1.0,10.0,KAN 31,14.0,10.0,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",1.0,0.67,3.0,2022,38
3.0,14:54,1.0,15.0,KAN 26,14.0,10.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 11 yards (tackle by Stephon Gilmore),0.67,1.27,3.0,2022,38
3.0,14:22,2.0,4.0,KAN 37,14.0,10.0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 16 yards (tackle by Rodney McLeod),1.27,2.46,3.0,2022,38
3.0,13:49,1.0,10.0,IND 47,14.0,10.0,Isiah Pacheco left guard for 5 yards (tackle by Bobby Okereke and Ifeadi Odenigbo),2.46,2.59,3.0,2022,38
3.0,13:12,2.0,5.0,IND 42,14.0,10.0,Patrick Mahomes scrambles left end for 6 yards (tackle by Rodney McLeod),2.59,3.18,3.0,2022,38
3.0,12:36,1.0,10.0,IND 36,14.0,10.0,Isiah Pacheco right tackle for 4 yards (tackle by DeForest Buckner),3.18,3.18,3.0,2022,38
3.0,12:01,2.0,6.0,IND 32,14.0,10.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 8 yards (tackle by Brandon Facyson),3.18,3.97,3.0,2022,38
3.0,11:31,1.0,10.0,IND 24,14.0,10.0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 9 yards (tackle by Zaire Franklin and Yannick Ngakoue),3.97,4.85,3.0,2022,38
3.0,10:51,2.0,1.0,IND 15,14.0,10.0,Patrick Mahomes pass incomplete short right intended for Jerick McKinnon,4.85,4.17,3.0,2022,38
3.0,10:45,3.0,1.0,IND 15,14.0,10.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,4.17,2.59,3.0,2022,38
3.0,10:42,4.0,1.0,IND 15,14.0,10.0,Michael Burton up the middle for 2 yards (tackle by Bobby Okereke),2.59,4.71,3.0,2022,38
3.0,10:01,1.0,10.0,IND 13,14.0,10.0,Patrick Mahomes scrambles right end for 10 yards (tackle by Rodney Thomas),4.71,6.51,3.0,2022,38
3.0,9:23,1.0,3.0,IND 3,14.0,10.0,Jerick McKinnon right guard for 1 yard (tackle by Kenny Moore),6.51,5.72,3.0,2022,38
3.0,8:48,2.0,2.0,IND 2,14.0,10.0,Isiah Pacheco up the middle for no gain (tackle by DeForest Buckner and Rodney McLeod),5.72,4.95,3.0,2022,38
3.0,8:07,3.0,2.0,IND 2,14.0,10.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce (defended by Kenny Moore),4.95,3.25,3.0,2022,38
3.0,7:59,4.0,2.0,IND 2,14.0,10.0,"Penalty on KAN: Delay of Game, 5 yards (accepted) (no play)",3.25,2.97,3.0,2022,38
3.0,7:59,4.0,7.0,IND 7,17.0,10.0,Matt Ammendola 26 yard field goal good,2.97,3.0,3.0,2022,38
3.0,7:56,,,KAN 35,17.0,10.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,38
3.0,7:56,1.0,10.0,IND 25,17.0,10.0,Matt Ryan pass complete short right to Jonathan Taylor for 7 yards (tackle by Jaylen Watson),0.61,1.01,3.0,2022,38
3.0,7:26,2.0,3.0,IND 32,17.0,10.0,Jonathan Taylor up the middle for 5 yards (tackle by Nick Bolton and Justin Reid),1.01,1.4,3.0,2022,38
3.0,7:01,1.0,10.0,IND 37,17.0,10.0,Matt Ryan pass complete short right to Kylen Granson for 2 yards (tackle by Darius Harris),1.4,1.13,3.0,2022,38
3.0,6:23,2.0,8.0,IND 39,17.0,10.0,Matt Ryan pass incomplete short right intended for Jelani Woods,1.13,0.43,3.0,2022,38
3.0,6:17,3.0,8.0,IND 39,17.0,10.0,Matt Ryan pass complete short middle to Jonathan Taylor for 9 yards (tackle by Nick Bolton and Bryan Cook),0.43,2.13,3.0,2022,38
3.0,5:36,1.0,10.0,IND 48,17.0,10.0,Matt Ryan pass complete short left to Michael Pittman for 26 yards (tackle by L'Jarius Sneed and Juan Thornhill),2.13,3.84,3.0,2022,38
3.0,4:57,1.0,10.0,KAN 26,17.0,10.0,Jonathan Taylor right tackle for 7 yards (tackle by Juan Thornhill and Nick Bolton),3.84,4.27,3.0,2022,38
3.0,4:23,2.0,3.0,KAN 19,17.0,10.0,Jonathan Taylor right end for -3 yards (tackle by Darius Harris and Carlos Dunlap),4.27,3.14,3.0,2022,38
3.0,3:39,3.0,6.0,KAN 22,17.0,10.0,Matt Ryan sacked by Nick Bolton for -11 yards,3.14,1.15,3.0,2022,38
3.0,2:59,4.0,17.0,KAN 33,17.0,13.0,Chase McLaughlin 51 yard field goal good,1.15,3.0,3.0,2022,38
3.0,2:53,,,IND 35,17.0,13.0,"Chase McLaughlin kicks off 66 yards, returned by Isiah Pacheco for 13 yards. Isiah Pacheco fumbles, recovered by Isiah Pacheco at KC-10 and returned for 2 yards (tackle by Grant Stuard)",0.0,-0.35,3.0,2022,38
3.0,2:48,1.0,10.0,KAN 12,17.0,13.0,Clyde Edwards-Helaire up the middle for 4 yards (tackle by Kwity Paye),-0.35,-0.37,3.0,2022,38
3.0,2:11,2.0,6.0,KAN 16,17.0,13.0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 2 yards (tackle by Stephon Gilmore),-0.37,-0.72,3.0,2022,38
3.0,1:27,3.0,4.0,KAN 18,17.0,13.0,Patrick Mahomes pass complete short right to Travis Kelce for 20 yards (tackle by Rodney Thomas),-0.72,1.47,3.0,2022,38
3.0,0:52,,,,,,Timeout #1 by Indianapolis Colts,,,3.0,2022,38
3.0,0:52,1.0,10.0,KAN 38,17.0,13.0,Patrick Mahomes pass complete short left to Noah Gray for 26 yards (tackle by Zaire Franklin),1.47,3.18,3.0,2022,38
3.0,0:18,1.0,10.0,IND 36,17.0,13.0,Jerick McKinnon right tackle for 4 yards (tackle by Zaire Franklin),3.18,3.18,3.0,2022,38
4.0,15:00,2.0,6.0,IND 32,17.0,13.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 9 yards (tackle by Stephon Gilmore),3.18,4.04,3.0,2022,38
4.0,14:29,1.0,10.0,IND 23,17.0,13.0,Jerick McKinnon right end for -1 yards (tackle by Kwity Paye),4.04,3.36,3.0,2022,38
4.0,13:54,2.0,11.0,IND 24,17.0,13.0,Patrick Mahomes pass incomplete,3.36,2.68,3.0,2022,38
4.0,13:41,3.0,11.0,IND 24,17.0,13.0,Patrick Mahomes pass incomplete short right intended for Justin Watson,2.68,1.87,3.0,2022,38
4.0,13:29,4.0,11.0,IND 24,17.0,13.0,"Tommy Townsend pass incomplete short left intended for Noah Gray. Penalty on Geron Christian: Ineligible Downfield Pass, 5 yards (declined)",1.87,-0.54,3.0,2022,38
4.0,13:29,1.0,10.0,IND 24,17.0,13.0,Jonathan Taylor right tackle for 5 yards (tackle by Khalen Saunders),0.54,0.67,3.0,2022,38
4.0,12:49,2.0,5.0,IND 29,17.0,13.0,Matt Ryan pass complete short right to Michael Pittman for 6 yards (tackle by Jaylen Watson),0.67,1.27,3.0,2022,38
4.0,12:20,1.0,10.0,IND 35,17.0,13.0,Matt Ryan pass complete short middle to Michael Pittman for 25 yards (tackle by Darius Harris),1.27,2.92,3.0,2022,38
4.0,11:36,1.0,10.0,KAN 40,17.0,13.0,Matt Ryan pass complete short left to Nyheim Hines for 4 yards (tackle by Darius Harris),2.92,2.91,3.0,2022,38
4.0,11:02,2.0,6.0,KAN 36,17.0,13.0,Matt Ryan pass incomplete short right intended for Mo Alie-Cox,2.91,2.21,3.0,2022,38
4.0,10:58,3.0,6.0,KAN 36,17.0,13.0,"Matt Ryan pass complete short middle to Kylen Granson for 6 yards (tackle by Justin Reid) KAN challenged the first down ruling, and the original play was overturned. Matt Ryan pass complete short middle to Kylen Granson for 5 yards (tackle by Justin Reid)",2.21,1.41,3.0,2022,38
4.0,10:50,4.0,1.0,KAN 31,17.0,13.0,Jonathan Taylor up the middle for no gain (tackle by Nick Bolton and Darius Harris),1.41,-1.0,3.0,2022,38
4.0,10:47,1.0,10.0,KAN 31,17.0,13.0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by Zaire Franklin),1.0,0.46,3.0,2022,38
4.0,10:43,2.0,10.0,KAN 31,17.0,13.0,Clyde Edwards-Helaire left tackle for -3 yards (tackle by Dayo Odeyingbo),0.46,-0.63,3.0,2022,38
4.0,10:07,3.0,13.0,KAN 28,17.0,13.0,Patrick Mahomes pass complete deep right to JuJu Smith-Schuster for 53 yards (tackle by Brandon Facyson),-0.63,4.31,3.0,2022,38
4.0,9:29,1.0,10.0,IND 19,17.0,13.0,Jerick McKinnon up the middle for 3 yards (tackle by Zaire Franklin),4.31,4.18,3.0,2022,38
4.0,8:52,2.0,7.0,IND 16,17.0,13.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,4.18,3.41,3.0,2022,38
4.0,8:48,3.0,7.0,IND 16,17.0,13.0,"Patrick Mahomes pass incomplete short right. Penalty on Andrew Wylie: Offensive Holding, 10 yards (declined)",3.41,2.38,3.0,2022,38
4.0,8:41,4.0,7.0,IND 16,17.0,13.0,Matt Ammendola 34 yard field goal no good,2.38,-0.54,3.0,2022,38
4.0,8:38,1.0,10.0,IND 24,17.0,13.0,Matt Ryan pass complete short left to Jonathan Taylor for 4 yards (tackle by Khalen Saunders),0.54,0.54,3.0,2022,38
4.0,8:02,2.0,6.0,IND 28,17.0,13.0,Jonathan Taylor up the middle for 3 yards (tackle by Darius Harris),0.54,0.23,3.0,2022,38
4.0,7:26,3.0,3.0,IND 31,17.0,13.0,Matt Ryan pass complete short right to Parris Campbell for 2 yards (tackle by L'Jarius Sneed),0.23,-1.18,3.0,2022,38
4.0,6:39,4.0,1.0,IND 33,17.0,13.0,Matt Ryan up the middle for 2 yards (tackle by George Karlaftis),-1.18,1.27,3.0,2022,38
4.0,5:59,1.0,10.0,IND 35,17.0,13.0,Matt Ryan pass incomplete short left,1.27,0.72,3.0,2022,38
4.0,5:51,2.0,10.0,IND 35,17.0,13.0,Matt Ryan pass complete short left to Nyheim Hines for 4 yards (tackle by Nick Bolton),0.72,0.56,3.0,2022,38
4.0,5:06,3.0,6.0,IND 39,17.0,13.0,Matt Ryan sacked by Nick Bolton for -8 yards,0.56,-1.31,3.0,2022,38
4.0,5:06,4.0,14.0,IND 31,17.0,13.0,"Penalty on Chris Jones: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",-1.31,1.99,3.0,2022,38
4.0,4:48,1.0,10.0,IND 46,17.0,13.0,Matt Ryan pass complete short left to Michael Pittman for 7 yards (tackle by Rashad Fenton and Carlos Dunlap),1.99,2.4,3.0,2022,38
4.0,4:12,2.0,3.0,KAN 47,17.0,13.0,Nyheim Hines right guard for -1 yards (tackle by Chris Jones and Justin Reid),2.4,1.55,3.0,2022,38
4.0,3:34,3.0,4.0,KAN 48,17.0,13.0,Matt Ryan pass complete short right to Michael Pittman for 4 yards (tackle by Juan Thornhill),1.55,2.65,3.0,2022,38
4.0,3:04,1.0,10.0,KAN 44,17.0,13.0,Matt Ryan pass complete short middle to Parris Campbell for 8 yards (tackle by Nick Bolton and Darius Harris),2.65,3.19,3.0,2022,38
4.0,2:32,2.0,2.0,KAN 36,17.0,13.0,Nyheim Hines right tackle for 7 yards (tackle by Justin Reid and Juan Thornhill),3.19,3.64,3.0,2022,38
4.0,2:00,1.0,10.0,KAN 29,17.0,13.0,"Matt Ryan pass complete short left to Michael Pittman for no gain (tackle by Frank Clark). Penalty on Matt Pryor: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.98,3.0,2022,38
4.0,1:55,1.0,20.0,KAN 39,17.0,13.0,Jonathan Taylor left tackle for 13 yards (tackle by L'Jarius Sneed),2.98,3.51,3.0,2022,38
4.0,1:17,2.0,7.0,KAN 26,17.0,13.0,Matt Ryan pass complete short right to Alec Pierce for 14 yards (tackle by Jaylen Watson),3.51,4.78,3.0,2022,38
4.0,0:35,1.0,10.0,KAN 12,17.0,13.0,(defended by Jaylen Watson) Matt Ryan pass incomplete short middle intended for Alec Pierce (defended by Jaylen Watson),4.78,4.1,3.0,2022,38
4.0,0:29,2.0,10.0,KAN 12,17.0,19.0,"Matt Ryan pass complete short middle to Jelani Woods for 12 yards, touchdown",4.1,7.0,3.0,2022,38
4.0,0:24,,,KAN 15,17.0,20.0,Chase McLaughlin kicks extra point good,0.0,0.0,3.0,2022,38
4.0,0:24,,,IND 35,17.0,20.0,"Chase McLaughlin kicks off 63 yards, returned by Isiah Pacheco for 13 yards (tackle by Ben Banogu and Tony Brown). Penalty on E.J. Speed: Unnecessary Roughness / Defense, 15 yards (accepted)",0.0,0.94,3.0,2022,38
