Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA,week,year,game_id
2.0,11:59,,,BUF 35,14.0,7.0,"Tyler Bass kicks off 65 yards, returned by Raheem Mostert for 17 yards (tackle by Baylon Spector)",0.0,-0.06,3.0,2022,34
2.0,11:54,1.0,10.0,MIA 17,14.0,7.0,Raheem Mostert for 4 yards (tackle by Taron Johnson),-0.06,0.08,3.0,2022,34
2.0,11:20,2.0,6.0,MIA 21,14.0,7.0,"Tua Tagovailoa pass complete short right to Tyreek Hill for 11 yards (tackle by Jaquan Johnson). Penalty on DaQuan Jones: Defensive Offside, 5 yards (declined)",0.08,1.07,3.0,2022,34
2.0,10:52,1.0,10.0,MIA 32,14.0,7.0,Tua Tagovailoa pass complete short left to Durham Smythe for 13 yards (tackle by Kaiir Elam and Taron Johnson),1.07,1.93,3.0,2022,34
2.0,10:10,1.0,10.0,MIA 45,14.0,7.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 17 yards (tackle by Tremaine Edmunds),1.93,3.05,3.0,2022,34
2.0,9:29,1.0,10.0,BUF 38,14.0,7.0,Tua Tagovailoa pass complete short right to Mike Gesicki for 6 yards (tackle by Jaquan Johnson),3.05,3.32,3.0,2022,34
2.0,8:54,2.0,4.0,BUF 32,14.0,7.0,Raheem Mostert up the middle for 9 yards (tackle by Shaq Lawson and Jaquan Johnson),3.32,4.04,3.0,2022,34
2.0,8:13,1.0,10.0,BUF 23,14.0,7.0,Jaylen Waddle right end for 9 yards (tackle by Kaiir Elam),4.04,4.95,3.0,2022,34
2.0,7:31,2.0,1.0,BUF 14,14.0,7.0,Raheem Mostert right tackle for 3 yards (tackle by DaQuan Jones and Jaquan Johnson),4.95,4.84,3.0,2022,34
2.0,6:51,1.0,10.0,BUF 11,14.0,13.0,"Tua Tagovailoa pass complete to River Cracraft for 11 yards, touchdown",4.84,7.0,3.0,2022,34
2.0,6:45,,,BUF 15,14.0,14.0,Jason Sanders kicks extra point good,0.0,0.0,3.0,2022,34
2.0,6:45,,,MIA 35,14.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,34
2.0,6:45,1.0,10.0,BUF 25,14.0,14.0,Josh Allen pass complete short right to Gabriel Davis for 8 yards (tackle by Brandon Jones),0.61,1.14,3.0,2022,34
2.0,6:10,2.0,2.0,BUF 33,14.0,14.0,Josh Allen pass complete short left to Stefon Diggs for 10 yards (tackle by Jerome Baker),1.14,1.8,3.0,2022,34
2.0,5:32,1.0,10.0,BUF 43,14.0,14.0,Josh Allen pass complete short middle to Devin Singletary for 6 yards (tackle by Jerome Baker),1.8,2.06,3.0,2022,34
2.0,4:50,2.0,4.0,BUF 49,14.0,14.0,Isaiah McKenzie for 6 yards (tackle by Nik Needham),2.06,2.59,3.0,2022,34
2.0,4:15,1.0,10.0,MIA 45,14.0,14.0,Josh Allen pass incomplete short right intended for James Cook,2.59,2.04,3.0,2022,34
2.0,4:09,2.0,10.0,MIA 45,14.0,14.0,Josh Allen pass incomplete deep right intended for Stefon Diggs,2.04,1.36,3.0,2022,34
2.0,4:03,,,,,,Timeout #2 by Buffalo Bills,,,3.0,2022,34
2.0,4:03,3.0,10.0,MIA 45,14.0,14.0,Josh Allen pass incomplete short middle intended for Stefon Diggs (defended by Xavien Howard),1.36,0.27,3.0,2022,34
2.0,3:55,4.0,10.0,MIA 45,14.0,14.0,"Sam Martin punts 31 yards, fair catch by Jevon Holland at MIA-14",0.27,0.28,3.0,2022,34
