Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA,week,year,game_id
2.0,10:00,3.0,9.0,BAL 39,7.0,3.0,Damien Harris right guard for 6 yards (tackle by Brandon Copeland),1.82,1.19,3.0,2022,40
2.0,9:27,4.0,3.0,BAL 33,7.0,3.0,Mac Jones pass complete short left to Kendrick Bourne for no gain (tackle by Marlon Humphrey),1.19,-1.14,3.0,2022,40
2.0,9:19,1.0,10.0,BAL 33,7.0,3.0,Lamar Jackson sacked by Deatrich Wise for -1 yards,1.14,0.46,3.0,2022,40
2.0,8:30,2.0,11.0,BAL 32,7.0,3.0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,0.46,-0.23,3.0,2022,40
2.0,8:24,3.0,11.0,BAL 32,7.0,3.0,"Penalty on Morgan Moses: False Start, 5 yards (accepted) (no play)",-0.23,-0.89,3.0,2022,40
2.0,8:24,3.0,16.0,BAL 27,7.0,3.0,Lamar Jackson pass deep right intended for Rashod Bateman is intercepted by Jonathan Jones at BAL-47 and returned for 15 yards (tackle by Patrick Ricard),-0.89,-3.45,3.0,2022,40
2.0,8:12,1.0,10.0,BAL 32,7.0,3.0,Mac Jones pass complete short left to Jonnu Smith for 5 yards (tackle by Josh Bynes),3.45,3.58,3.0,2022,40
2.0,7:39,2.0,5.0,BAL 27,7.0,3.0,Rhamondre Stevenson left guard for 6 yards (tackle by Josh Bynes),3.58,4.17,3.0,2022,40
2.0,7:22,1.0,10.0,BAL 21,7.0,3.0,Mac Jones pass incomplete deep left intended for DeVante Parker (defended by Brandon Stephens),4.17,3.63,3.0,2022,40
2.0,7:15,2.0,10.0,BAL 21,7.0,3.0,Rhamondre Stevenson right tackle for 16 yards (tackle by Marcus Williams),3.63,6.06,3.0,2022,40
2.0,6:34,1.0,5.0,BAL 5,7.0,3.0,Rhamondre Stevenson left tackle for 2 yards (tackle by Broderick Washington),6.06,5.53,3.0,2022,40
2.0,6:04,2.0,3.0,BAL 3,7.0,9.0,"Mac Jones scrambles left tackle for 3 yards, touchdown",5.53,7.0,3.0,2022,40
2.0,5:58,,,BAL 15,7.0,10.0,Nick Folk kicks extra point good,0.0,0.0,3.0,2022,40
2.0,5:58,,,NWE 35,7.0,10.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
2.0,5:58,1.0,10.0,BAL 25,7.0,10.0,Devin Duvernay left end for -4 yards (tackle by Deatrich Wise),0.61,-0.48,3.0,2022,40
2.0,5:19,2.0,14.0,BAL 21,7.0,10.0,Lamar Jackson left end for 17 yards (tackle by Christian Barmore),-0.48,1.47,3.0,2022,40
2.0,4:34,1.0,10.0,BAL 38,7.0,10.0,J.K. Dobbins left guard for 3 yards (tackle by Davon Godchaux and Mack Wilson),1.47,1.33,3.0,2022,40
2.0,3:52,2.0,7.0,BAL 41,7.0,10.0,Lamar Jackson pass complete short right to J.K. Dobbins for 11 yards (tackle by Ja'Whaun Bentley),1.33,2.39,3.0,2022,40
2.0,3:16,1.0,10.0,NWE 48,7.0,10.0,Justice Hill left guard for 11 yards (tackle by Adrian Phillips),2.39,3.12,3.0,2022,40
2.0,2:34,1.0,10.0,NWE 37,7.0,10.0,Lamar Jackson pass complete short right to Josh Oliver for 7 yards (tackle by Jabrill Peppers and Davon Godchaux),3.12,3.52,3.0,2022,40
2.0,2:00,2.0,3.0,NWE 30,7.0,10.0,Lamar Jackson right guard for 11 yards (tackle by Mack Wilson),3.52,4.31,3.0,2022,40
2.0,1:23,1.0,10.0,NWE 19,7.0,10.0,J.K. Dobbins left tackle for 3 yards (tackle by Adrian Phillips and Mack Wilson),4.31,4.18,3.0,2022,40
2.0,0:36,2.0,7.0,NWE 16,13.0,10.0,"Lamar Jackson pass complete deep middle to Mark Andrews for 16 yards, touchdown",4.18,7.0,3.0,2022,40
2.0,0:30,,,NWE 15,14.0,10.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2022,40
2.0,0:30,,,BAL 35,14.0,10.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
2.0,0:30,1.0,10.0,NWE 25,14.0,10.0,Mac Jones pass complete short right to Rhamondre Stevenson for 11 yards (tackle by Patrick Queen and Marcus Williams),0.61,1.33,3.0,2022,40
2.0,0:21,,,,,,Timeout #2 by New England Patriots,,,3.0,2022,40
2.0,0:21,1.0,10.0,NWE 36,14.0,10.0,Mac Jones pass incomplete deep right intended for Nelson Agholor,1.33,0.79,3.0,2022,40
2.0,0:15,2.0,10.0,NWE 36,14.0,10.0,Mac Jones pass complete deep middle to Kendrick Bourne for 22 yards (tackle by Damarion Williams),0.79,2.79,3.0,2022,40
2.0,0:08,,,,,,Timeout #3 by New England Patriots,,,3.0,2022,40
2.0,0:08,1.0,10.0,BAL 42,14.0,10.0,Mac Jones pass complete short left to Kendrick Bourne for 10 yards (tackle by Kyle Hamilton),2.79,3.45,3.0,2022,40
2.0,0:01,,,,,,Timeout #1 by Baltimore Ravens,,,3.0,2022,40
2.0,0:01,1.0,10.0,BAL 32,14.0,13.0,Nick Folk 50 yard field goal good,3.45,3.0,3.0,2022,40
3.0,15:00,,,BAL 35,14.0,13.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
3.0,15:00,1.0,10.0,NWE 25,14.0,13.0,Damien Harris up the middle for 2 yards (tackle by Chuck Clark),0.61,0.33,3.0,2022,40
3.0,14:25,2.0,8.0,NWE 27,14.0,13.0,"Mac Jones pass complete deep left to DeVante Parker for 36 yards (tackle by Brandon Stephens). Penalty on Brandon Stephens: Defensive Holding, 5 yards (declined)",0.33,3.12,3.0,2022,40
3.0,14:07,1.0,10.0,BAL 37,14.0,13.0,Damien Harris left guard for 10 yards (tackle by Josh Bynes and Odafe Oweh),3.12,3.78,3.0,2022,40
3.0,13:23,1.0,10.0,BAL 27,14.0,13.0,Damien Harris up the middle for no gain (tackle by Calais Campbell and Broderick Washington),3.78,3.23,3.0,2022,40
3.0,12:50,2.0,10.0,BAL 27,14.0,13.0,Mac Jones pass complete deep left to DeVante Parker for 25 yards,3.23,6.74,3.0,2022,40
3.0,12:22,,,,,,Timeout #1 by Baltimore Ravens,,,3.0,2022,40
3.0,12:22,1.0,2.0,BAL 2,14.0,13.0,Mac Jones pass incomplete short left intended for Damien Harris (defended by Patrick Queen),6.74,5.72,3.0,2022,40
3.0,12:19,2.0,2.0,BAL 2,14.0,19.0,"Damien Harris up the middle for 2 yards, touchdown",5.72,7.0,3.0,2022,40
3.0,12:14,,,BAL 15,14.0,20.0,Nick Folk kicks extra point good,0.0,0.0,3.0,2022,40
3.0,12:14,,,NWE 35,14.0,20.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
3.0,12:14,1.0,10.0,BAL 25,14.0,20.0,J.K. Dobbins left tackle for 5 yards (tackle by Ja'Whaun Bentley and Adrian Phillips),0.61,0.74,3.0,2022,40
3.0,11:50,2.0,5.0,BAL 30,14.0,20.0,Lamar Jackson pass incomplete deep right intended for Mark Andrews,0.74,0.04,3.0,2022,40
3.0,11:44,3.0,5.0,BAL 30,14.0,20.0,Lamar Jackson pass complete short middle to Devin Duvernay for 21 yards (tackle by Adrian Phillips and Devin McCourty),0.04,2.32,3.0,2022,40
3.0,10:59,1.0,10.0,NWE 49,14.0,20.0,Justice Hill left tackle for 9 yards (tackle by Christian Barmore),2.32,3.0,3.0,2022,40
3.0,10:17,2.0,1.0,NWE 40,14.0,20.0,Justice Hill right tackle for 34 yards (tackle by Jonathan Jones),3.0,5.83,3.0,2022,40
3.0,9:30,1.0,6.0,NWE 6,14.0,20.0,J.K. Dobbins left guard for 4 yards (tackle by Deatrich Wise and Mack Wilson),5.83,5.72,3.0,2022,40
3.0,8:51,2.0,2.0,NWE 2,14.0,20.0,"Penalty on NWE: Defensive Too Many Men on Field, 1 yard (accepted) (no play)",5.72,5.91,3.0,2022,40
3.0,8:44,2.0,1.0,NWE 1,20.0,20.0,"Lamar Jackson pass complete short middle to Josh Oliver for 1 yard, touchdown",5.91,7.0,3.0,2022,40
3.0,8:39,,,NWE 15,21.0,20.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2022,40
3.0,8:39,,,BAL 35,21.0,20.0,"Justin Tucker kicks off 63 yards, returned by Marcus Jones for 19 yards (tackle by Del'Shawn Phillips)",0.0,0.34,3.0,2022,40
3.0,8:34,1.0,10.0,NWE 21,21.0,20.0,Rhamondre Stevenson right guard for 4 yards (tackle by Odafe Oweh),0.34,0.34,3.0,2022,40
3.0,8:03,2.0,6.0,NWE 25,21.0,20.0,Mac Jones pass complete short middle to Hunter Henry for 8 yards (tackle by Patrick Queen),0.34,1.14,3.0,2022,40
3.0,7:34,1.0,10.0,NWE 33,21.0,20.0,Rhamondre Stevenson right guard for 3 yards (tackle by Justin Madubuike and Josh Bynes),1.14,1.0,3.0,2022,40
3.0,6:52,2.0,7.0,NWE 36,21.0,20.0,Mac Jones pass incomplete short left intended for Lil'Jordan Humphrey,1.0,0.3,3.0,2022,40
3.0,6:41,3.0,7.0,NWE 36,21.0,20.0,"Mac Jones sacked by Justin Madubuike for -5 yards. Penalty on David Andrews: Offensive Holding, 10 yards (declined)",0.3,-1.31,3.0,2022,40
3.0,6:30,4.0,12.0,NWE 31,21.0,20.0,"Jake Bailey punts 56 yards, returned by Devin Duvernay for 43 yards (tackle by Jake Bailey)",-1.31,-2.65,3.0,2022,40
3.0,6:18,1.0,10.0,NWE 44,21.0,20.0,Lamar Jackson up the middle for 38 yards (tackle by Devin McCourty),2.65,5.83,3.0,2022,40
3.0,5:39,1.0,6.0,NWE 6,21.0,20.0,Lamar Jackson pass incomplete short right,5.83,4.95,3.0,2022,40
3.0,5:28,2.0,6.0,NWE 6,21.0,20.0,Devin Duvernay left end for 2 yards (tackle by Jalen Mills),4.95,4.49,3.0,2022,40
3.0,4:47,3.0,4.0,NWE 4,27.0,20.0,"Lamar Jackson pass complete short right to Devin Duvernay for 4 yards, touchdown",4.49,7.0,3.0,2022,40
3.0,4:41,,,NWE 15,28.0,20.0,Justin Tucker kicks extra point good,0.0,0.0,3.0,2022,40
3.0,4:41,,,BAL 35,28.0,20.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
3.0,4:41,1.0,10.0,NWE 25,28.0,20.0,Damien Harris up the middle for 3 yards (tackle by Broderick Washington),0.61,0.47,3.0,2022,40
3.0,4:09,2.0,7.0,NWE 28,28.0,20.0,Mac Jones pass short middle intended for DeVante Parker is intercepted by Josh Bynes at NE-43 and returned for no gain (tackle by DeVante Parker),0.47,-2.72,3.0,2022,40
3.0,4:04,1.0,10.0,NWE 43,28.0,20.0,Justice Hill left tackle for 4 yards (tackle by Jabrill Peppers and Jahlani Tavai),2.72,2.72,3.0,2022,40
3.0,3:22,2.0,6.0,NWE 39,28.0,20.0,Justice Hill right guard for 1 yard (tackle by Daniel Ekuale),2.72,2.15,3.0,2022,40
3.0,2:46,3.0,5.0,NWE 38,28.0,20.0,Lamar Jackson pass incomplete deep right intended for Rashod Bateman,2.15,0.72,3.0,2022,40
3.0,2:38,4.0,5.0,NWE 38,31.0,20.0,Justin Tucker 56 yard field goal good,0.72,3.0,3.0,2022,40
3.0,2:33,,,BAL 35,31.0,20.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
3.0,2:33,1.0,10.0,NWE 25,31.0,20.0,Mac Jones pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Josh Bynes),0.61,1.01,3.0,2022,40
3.0,1:55,2.0,3.0,NWE 32,31.0,20.0,Rhamondre Stevenson right guard for 18 yards (tackle by Chuck Clark),1.01,2.26,3.0,2022,40
3.0,1:15,1.0,10.0,NWE 50,31.0,20.0,Mac Jones pass complete deep right to DeVante Parker for 24 yards (tackle by Chuck Clark),2.26,3.84,3.0,2022,40
3.0,0:30,1.0,10.0,BAL 26,31.0,20.0,Rhamondre Stevenson left guard for -3 yards (tackle by Justin Madubuike),3.84,2.89,3.0,2022,40
4.0,15:00,2.0,13.0,BAL 29,31.0,20.0,Mac Jones pass complete short right to Rhamondre Stevenson for 4 yards (tackle by Josh Bynes),2.89,2.74,3.0,2022,40
4.0,14:21,3.0,9.0,BAL 25,31.0,20.0,Mac Jones scrambles right end for 8 yards (tackle by Chuck Clark),2.74,2.46,3.0,2022,40
4.0,13:38,,,,,,Timeout #1 by New England Patriots,,,3.0,2022,40
4.0,13:38,4.0,1.0,BAL 17,31.0,20.0,Mac Jones pass complete short left to Jonnu Smith for 8 yards (tackle by Chuck Clark),2.46,5.14,3.0,2022,40
4.0,13:07,1.0,9.0,BAL 9,31.0,20.0,Mac Jones pass complete short left to Jonnu Smith for 8 yards (tackle by Marcus Williams),5.14,5.91,3.0,2022,40
4.0,12:45,2.0,1.0,BAL 1,31.0,26.0,"Rhamondre Stevenson right guard for 1 yard, touchdown",5.91,7.0,3.0,2022,40
4.0,12:39,,,BAL 2,31.0,26.0,"Two Point Attempt: Mac Jones rushes, conversion succeeds. Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Two Point Attempt: Mac Jones pass complete to to Rhamondre Stevenson for no gain",1.0,-1.0,3.0,2022,40
4.0,12:39,,,NWE 35,31.0,26.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
4.0,12:39,1.0,10.0,BAL 25,31.0,26.0,"Lamar Jackson pass complete to Rashod Bateman for 24 yards. Rashod Bateman fumbles (forced by Jonathan Jones), recovered by Jabrill Peppers at NE-49 and returned for 12 yards (tackle by Rashod Bateman and Ben Powers)",0.61,-2.98,3.0,2022,40
4.0,12:25,1.0,10.0,BAL 39,31.0,26.0,Mac Jones pass complete short right to Damien Harris for 9 yards (tackle by Josh Bynes and Malik Harrison),2.98,3.66,3.0,2022,40
4.0,11:52,2.0,1.0,BAL 30,31.0,26.0,Damien Harris up the middle for 5 yards (tackle by Broderick Washington),3.66,3.91,3.0,2022,40
4.0,11:23,1.0,10.0,BAL 25,31.0,26.0,Mac Jones scrambles left end for 15 yards (tackle by Josh Bynes),3.91,4.91,3.0,2022,40
4.0,10:44,1.0,10.0,BAL 10,31.0,26.0,Mac Jones pass complete short left to Damien Harris for -4 yards (tackle by Marcus Williams),4.91,3.58,3.0,2022,40
4.0,9:58,2.0,14.0,BAL 14,31.0,26.0,Damien Harris up the middle for 4 yards (tackle by Odafe Oweh),3.58,3.13,3.0,2022,40
4.0,9:13,3.0,10.0,BAL 10,31.0,26.0,Mac Jones pass short left intended for DeVante Parker is intercepted by Marlon Humphrey in end zone and returned for no gain,3.13,-0.28,3.0,2022,40
4.0,9:06,1.0,10.0,BAL 20,31.0,26.0,Justice Hill left tackle for 1 yard (tackle by Jabrill Peppers and Adrian Phillips),0.28,-0.13,3.0,2022,40
4.0,8:23,2.0,9.0,BAL 21,31.0,26.0,Lamar Jackson pass complete deep left to Mark Andrews for 25 yards (tackle by Devin McCourty),-0.13,1.99,3.0,2022,40
4.0,7:48,1.0,10.0,BAL 46,31.0,26.0,Lamar Jackson right guard for 2 yards (tackle by Christian Barmore),1.99,1.72,3.0,2022,40
4.0,6:55,2.0,8.0,BAL 48,31.0,26.0,Lamar Jackson pass incomplete short right,1.72,1.03,3.0,2022,40
4.0,6:47,3.0,8.0,BAL 48,31.0,26.0,Lamar Jackson pass incomplete intended for Demarcus Robinson,1.03,-0.19,3.0,2022,40
4.0,6:43,4.0,8.0,BAL 48,31.0,26.0,Jordan Stout punts 23 yards out of bounds,-0.19,-0.87,3.0,2022,40
4.0,6:36,1.0,10.0,NWE 29,31.0,26.0,Mac Jones pass incomplete deep right intended for DeVante Parker,0.87,0.33,3.0,2022,40
4.0,6:32,2.0,10.0,NWE 29,31.0,26.0,Rhamondre Stevenson for 4 yards (tackle by Patrick Queen),0.33,0.17,3.0,2022,40
4.0,5:44,3.0,6.0,NWE 33,31.0,26.0,"Mac Jones pass complete deep middle to Nelson Agholor for 28 yards. Nelson Agholor fumbles (forced by Kyle Hamilton), recovered by Marcus Peters at BAL-27 (tackle by Kyle Hamilton)",0.17,-0.74,3.0,2022,40
4.0,5:35,1.0,10.0,BAL 27,31.0,26.0,Lamar Jackson pass incomplete deep left intended for Mark Andrews,0.74,0.2,3.0,2022,40
4.0,5:28,2.0,10.0,BAL 27,31.0,26.0,Lamar Jackson pass complete short left to Rashod Bateman for 35 yards (tackle by Devin McCourty),0.2,3.05,3.0,2022,40
4.0,4:44,1.0,10.0,NWE 38,31.0,26.0,J.K. Dobbins right guard for no gain (tackle by Jabrill Peppers and Ja'Whaun Bentley),3.05,2.51,3.0,2022,40
4.0,4:08,2.0,10.0,NWE 38,31.0,26.0,Lamar Jackson left end for 20 yards (tackle by Devin McCourty),2.51,4.37,3.0,2022,40
4.0,3:20,1.0,10.0,NWE 18,31.0,26.0,Lamar Jackson pass complete short right to Mark Andrews for 3 yards (tackle by Adrian Phillips and Myles Bryant),4.37,4.25,3.0,2022,40
4.0,3:12,,,,,,Timeout #2 by New England Patriots,,,3.0,2022,40
4.0,3:12,2.0,7.0,NWE 15,31.0,26.0,Lamar Jackson pass complete short right to Mark Andrews for 6 yards (tackle by Adrian Phillips),4.25,4.74,3.0,2022,40
4.0,3:07,3.0,1.0,NWE 9,37.0,26.0,"Lamar Jackson right guard for 9 yards, touchdown",4.74,7.0,3.0,2022,40
4.0,3:00,,,NWE 15,37.0,26.0,Justin Tucker kicks extra point no good,0.0,-1.0,3.0,2022,40
4.0,3:00,,,BAL 35,37.0,26.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,40
4.0,3:00,1.0,10.0,NWE 25,37.0,26.0,Mac Jones pass incomplete short left intended for Rhamondre Stevenson,0.61,0.06,3.0,2022,40
4.0,2:56,2.0,10.0,NWE 25,37.0,26.0,Mac Jones sacked by Brandon Copeland for -7 yards,0.06,-1.72,3.0,2022,40
4.0,2:26,3.0,17.0,NWE 18,37.0,26.0,"Mac Jones pass complete deep middle to Kendrick Bourne for 26 yards. Kendrick Bourne fumbles (forced by Marcus Peters), recovered by Kendrick Bourne at NE-44 (tackle by Marcus Peters)",-1.72,1.86,3.0,2022,40
4.0,2:02,1.0,10.0,NWE 44,37.0,26.0,Mac Jones pass deep middle intended for Kendrick Bourne is intercepted by Marcus Peters at BAL-36 and returned for 8 yards,1.86,-1.86,3.0,2022,40
4.0,1:55,1.0,10.0,BAL 44,37.0,26.0,Lamar Jackson kneels for -1 yards,1.86,1.18,3.0,2022,40
4.0,1:13,2.0,11.0,BAL 43,37.0,26.0,Lamar Jackson kneels for -1 yards,1.18,0.37,3.0,2022,40
4.0,0:30,3.0,12.0,BAL 42,37.0,26.0,Lamar Jackson kneels for -1 yards,0.37,-0.65,3.0,2022,40
