Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA,week,year,game_id
2.0,8:38,2.0,10.0,LAC 46,13.0,0.0,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Tre Herndon),1.45,2.72,3.0,2022,43
2.0,8:10,1.0,10.0,JAX 43,13.0,0.0,Justin Herbert pass complete short middle to Sony Michel for 9 yards (tackle by Devin Lloyd and Foyesade Oluokun),2.72,3.39,3.0,2022,43
2.0,7:29,2.0,1.0,JAX 34,13.0,0.0,Justin Herbert pass complete short middle to DeAndre Carter for 8 yards (tackle by Darious Williams and Rayshawn Jenkins),3.39,3.84,3.0,2022,43
2.0,6:57,1.0,10.0,JAX 26,13.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Darious Williams),3.84,4.58,3.0,2022,43
2.0,6:16,1.0,10.0,JAX 15,13.0,6.0,"Justin Herbert pass complete short left to Mike Williams for 15 yards, touchdown",4.58,7.0,3.0,2022,43
2.0,6:10,,,JAX 15,13.0,7.0,Dustin Hopkins kicks extra point good,0.0,0.0,3.0,2022,43
2.0,6:10,,,LAC 35,13.0,7.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
2.0,6:10,1.0,10.0,JAX 25,13.0,7.0,James Robinson right guard for 5 yards (tackle by Michael Davis),0.61,0.74,3.0,2022,43
2.0,5:37,2.0,5.0,JAX 30,13.0,7.0,James Robinson right tackle for no gain (tackle by Sebastian Joseph-Day and Kyle Van Noy),0.74,0.04,3.0,2022,43
2.0,4:55,3.0,5.0,JAX 30,13.0,7.0,Trevor Lawrence pass complete short middle to Zay Jones for 14 yards (tackle by Asante Samuel),0.04,1.86,3.0,2022,43
2.0,4:12,1.0,10.0,JAX 44,13.0,7.0,"Trevor Lawrence pass complete deep right to Christian Kirk for 35 yards (tackle by Nasir Adderley). Penalty on Alohi Gilman: Defensive Holding, 5 yards (declined)",1.86,4.17,3.0,2022,43
2.0,4:03,1.0,10.0,LAC 21,13.0,7.0,Trevor Lawrence pass complete short left to James Robinson for 7 yards (tackle by Drue Tranquill),4.17,4.74,3.0,2022,43
2.0,3:13,2.0,3.0,LAC 14,13.0,7.0,James Robinson up the middle for 1 yard (tackle by Drue Tranquill),4.74,4.24,3.0,2022,43
2.0,2:32,3.0,2.0,LAC 13,13.0,7.0,Trevor Lawrence pass complete short left to Zay Jones for 3 yards (tackle by Michael Davis),4.24,4.91,3.0,2022,43
2.0,2:00,1.0,10.0,LAC 10,13.0,7.0,James Robinson left end for -1 yards (tackle by Kyle Van Noy and Michael Davis),4.91,4.02,3.0,2022,43
2.0,1:15,2.0,11.0,LAC 11,13.0,7.0,"Trevor Lawrence pass complete short left to Evan Engram for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by Drue Tranquill)",4.02,3.12,3.0,2022,43
2.0,1:15,3.0,11.0,LAC 11,13.0,7.0,Trevor Lawrence scrambles up the middle for 6 yards (tackle by Derwin James),3.12,3.01,3.0,2022,43
2.0,1:04,,,,,,Timeout #1 by Los Angeles Chargers,,,3.0,2022,43
2.0,1:04,4.0,5.0,LAC 5,16.0,7.0,Riley Patterson 23 yard field goal good,3.01,3.0,3.0,2022,43
2.0,1:02,,,JAX 35,16.0,7.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
2.0,1:02,1.0,10.0,LAC 25,16.0,7.0,Justin Herbert pass complete short right to Austin Ekeler for 12 yards (tackle by Devin Lloyd and Travon Walker),0.61,1.4,3.0,2022,43
2.0,0:36,1.0,10.0,LAC 37,16.0,7.0,"Penalty on Trey Pipkins: False Start, 5 yards (accepted) (no play)",1.4,1.07,3.0,2022,43
2.0,0:38,,,,,,Timeout #2 by Los Angeles Chargers,,,3.0,2022,43
2.0,0:38,1.0,15.0,LAC 32,16.0,7.0,Justin Herbert pass complete short left to Austin Ekeler for 4 yards (tackle by Devin Lloyd),1.07,0.72,3.0,2022,43
2.0,0:30,2.0,11.0,LAC 36,16.0,7.0,Justin Herbert pass incomplete short middle intended for Gerald Everett,0.72,0.04,3.0,2022,43
2.0,0:27,3.0,11.0,LAC 36,16.0,7.0,Justin Herbert pass incomplete deep left intended for Mike Williams,0.04,-0.98,3.0,2022,43
2.0,0:23,4.0,11.0,LAC 36,16.0,7.0,"JK Scott punts 41 yards, returned by Jamal Agnew for -2 yards (tackle by Drue Tranquill)",-0.98,-0.34,3.0,2022,43
2.0,0:11,1.0,10.0,JAX 21,16.0,7.0,Trevor Lawrence kneels for -1 yards,0.34,-0.34,3.0,2022,43
3.0,15:00,,,JAX 35,16.0,7.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
3.0,15:00,1.0,10.0,LAC 25,16.0,7.0,"Austin Ekeler left end for 2 yards (tackle by Devin Lloyd and Andre Cisco). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted)",0.61,-0.15,3.0,2022,43
3.0,14:48,1.0,18.0,LAC 17,16.0,7.0,Justin Herbert pass incomplete deep right intended for Mike Williams,-0.15,-1.15,3.0,2022,43
3.0,14:41,2.0,18.0,LAC 17,16.0,7.0,Austin Ekeler right guard for 3 yards (tackle by Foyesade Oluokun and Travon Walker),-1.15,-1.29,3.0,2022,43
3.0,14:01,3.0,15.0,LAC 20,16.0,7.0,Justin Herbert pass complete deep middle to Jalen Guyton for 54 yards (tackle by Rayshawn Jenkins),-1.29,3.84,3.0,2022,43
3.0,13:27,1.0,10.0,JAX 26,16.0,7.0,Sony Michel left end for 2 yards (tackle by Roy Robertson-Harris),3.84,3.57,3.0,2022,43
3.0,12:55,2.0,8.0,JAX 24,16.0,7.0,Justin Herbert pass complete short right to Josh Palmer for 17 yards (tackle by Tre Herndon),3.57,5.6,3.0,2022,43
3.0,12:11,1.0,7.0,JAX 7,16.0,7.0,Justin Herbert pass incomplete short right,5.6,4.76,3.0,2022,43
3.0,12:05,2.0,7.0,JAX 7,16.0,7.0,Justin Herbert pass incomplete short right,4.76,3.81,3.0,2022,43
3.0,11:58,3.0,7.0,JAX 7,16.0,7.0,Justin Herbert pass incomplete short middle,3.81,2.97,3.0,2022,43
3.0,11:54,4.0,7.0,JAX 7,16.0,10.0,Dustin Hopkins 25 yard field goal good,2.97,3.0,3.0,2022,43
3.0,11:51,,,LAC 35,16.0,10.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
3.0,11:51,1.0,10.0,JAX 25,16.0,10.0,Trevor Lawrence pass complete short right to Zay Jones for 16 yards (tackle by Derwin James),0.61,1.66,3.0,2022,43
3.0,11:17,1.0,10.0,JAX 41,16.0,10.0,Trevor Lawrence pass incomplete short left intended for Jamycal Hasty,1.66,1.12,3.0,2022,43
3.0,11:12,2.0,10.0,JAX 41,16.0,10.0,Trevor Lawrence pass complete short right to Christian Kirk for 9 yards,1.12,1.62,3.0,2022,43
3.0,11:01,3.0,1.0,JAX 50,16.0,10.0,Trevor Lawrence pass incomplete short middle intended for Christian Kirk,1.62,-0.06,3.0,2022,43
3.0,10:47,4.0,1.0,JAX 50,22.0,10.0,"James Robinson left tackle for 50 yards, touchdown",-0.06,7.0,3.0,2022,43
3.0,10:38,,,LAC 15,23.0,10.0,Riley Patterson kicks extra point good,0.0,0.0,3.0,2022,43
3.0,10:38,,,JAX 35,23.0,10.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
3.0,10:38,1.0,10.0,LAC 25,23.0,10.0,Justin Herbert pass incomplete deep right intended for Gerald Everett (defended by Devin Lloyd),0.61,0.06,3.0,2022,43
3.0,10:33,2.0,10.0,LAC 25,23.0,10.0,Justin Herbert pass incomplete short left intended for Josh Palmer,0.06,-0.62,3.0,2022,43
3.0,10:28,3.0,10.0,LAC 25,23.0,10.0,Justin Herbert pass complete short left to DeAndre Carter for 6 yards (tackle by Devin Lloyd),-0.62,-1.31,3.0,2022,43
3.0,9:56,4.0,4.0,LAC 31,23.0,10.0,"JK Scott punts 42 yards, returned by Jamal Agnew for 13 yards (tackle by Chris Rumph and Ja'Sir Taylor)",-1.31,-1.6,3.0,2022,43
3.0,9:42,1.0,10.0,JAX 40,23.0,10.0,James Robinson left tackle for 2 yards (tackle by Jerry Tillery and Sebastian Joseph-Day),1.6,1.32,3.0,2022,43
3.0,9:08,2.0,8.0,JAX 42,23.0,10.0,Trevor Lawrence pass complete short right to Travis Etienne for 9 yards (tackle by Asante Samuel and Nasir Adderley),1.32,2.32,3.0,2022,43
3.0,8:30,1.0,10.0,LAC 49,23.0,10.0,"Penalty on Kyle Van Noy: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.32,3.05,3.0,2022,43
3.0,8:26,1.0,5.0,LAC 44,23.0,10.0,Travis Etienne up the middle for -1 yards (tackle by Kenneth Murray),3.05,2.32,3.0,2022,43
3.0,7:40,2.0,6.0,LAC 45,23.0,10.0,Travis Etienne up the middle for 6 yards (tackle by Khalil Mack),2.32,2.98,3.0,2022,43
3.0,7:12,1.0,10.0,LAC 39,23.0,10.0,Travis Etienne up the middle for 5 yards (tackle by Otito Ogbonnia),2.98,3.12,3.0,2022,43
3.0,6:33,2.0,5.0,LAC 34,23.0,10.0,Trevor Lawrence pass complete short left to Christian Kirk for 6 yards (tackle by Asante Samuel),3.12,3.71,3.0,2022,43
3.0,5:58,1.0,10.0,LAC 28,23.0,10.0,Travis Etienne left guard for -2 yards (tackle by Sebastian Joseph-Day),3.71,2.9,3.0,2022,43
3.0,5:17,2.0,12.0,LAC 30,23.0,10.0,Trevor Lawrence pass complete short middle to Zay Jones for 15 yards (tackle by Derwin James and Michael Davis),2.9,4.58,3.0,2022,43
3.0,4:40,1.0,10.0,LAC 15,23.0,10.0,Travis Etienne left tackle for 9 yards (tackle by Drue Tranquill and Bryce Callahan),4.58,5.6,3.0,2022,43
3.0,4:00,2.0,1.0,LAC 6,23.0,10.0,Evan Engram up the middle for no gain (tackle by Drue Tranquill),5.6,4.9,3.0,2022,43
3.0,3:18,3.0,1.0,LAC 6,23.0,10.0,James Robinson right guard for no gain (tackle by Sebastian Joseph-Day),4.9,3.02,3.0,2022,43
3.0,2:40,4.0,1.0,LAC 6,23.0,10.0,Trevor Lawrence up the middle for 2 yards (tackle by Derwin James and Drue Tranquill),3.02,6.28,3.0,2022,43
3.0,1:56,1.0,4.0,LAC 4,23.0,10.0,James Robinson up the middle for no gain (tackle by Otito Ogbonnia and Chris Rumph),6.28,5.34,3.0,2022,43
3.0,1:18,2.0,4.0,LAC 4,29.0,10.0,"Trevor Lawrence pass complete short right to Christian Kirk for 4 yards, touchdown",5.34,7.0,3.0,2022,43
3.0,1:15,,,,,,Timeout #1 by Jacksonville Jaguars,,,3.0,2022,43
3.0,1:15,,,LAC 2,31.0,10.0,Two Point Attempt: Trevor Lawrence pass complete to to Evan Engram for no gain,1.0,1.0,3.0,2022,43
3.0,1:15,,,JAX 35,31.0,10.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,3.0,2022,43
3.0,1:15,1.0,10.0,LAC 25,31.0,10.0,Sony Michel left tackle for 6 yards (tackle by Devin Lloyd),0.61,0.87,3.0,2022,43
3.0,0:58,2.0,4.0,LAC 31,31.0,10.0,"Justin Herbert pass incomplete deep left intended for Josh Palmer. Penalty on Storm Norton: Offensive Holding, 10 yards (accepted) (no play)",0.87,-0.48,3.0,2022,43
3.0,0:52,2.0,14.0,LAC 21,31.0,10.0,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Rayshawn Jenkins),-0.48,-0.23,3.0,2022,43
3.0,0:29,3.0,7.0,LAC 28,31.0,10.0,Justin Herbert pass complete short left to Josh Palmer for 45 yards (tackle by Tyson Campbell),-0.23,3.78,3.0,2022,43
4.0,15:00,1.0,10.0,JAX 27,31.0,10.0,DeAndre Carter right end for -5 yards (tackle by Tyson Campbell),3.78,2.56,3.0,2022,43
4.0,14:22,2.0,15.0,JAX 32,31.0,10.0,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Devin Lloyd),2.56,1.88,3.0,2022,43
4.0,14:16,3.0,15.0,JAX 32,31.0,10.0,"Justin Herbert pass incomplete short right intended for Josh Palmer. Penalty on Storm Norton: Offensive Holding, 10 yards (declined)",1.88,1.24,3.0,2022,43
4.0,14:10,4.0,15.0,JAX 32,31.0,10.0,Justin Herbert pass incomplete deep right intended for Mike Williams,1.24,-1.07,3.0,2022,43
4.0,14:04,1.0,10.0,JAX 32,31.0,10.0,Trevor Lawrence pass complete short right to Zay Jones for 6 yards (tackle by Drue Tranquill),1.07,1.34,3.0,2022,43
4.0,13:32,2.0,4.0,JAX 38,31.0,10.0,James Robinson right guard for 1 yard (tackle by Khalil Mack),1.34,0.76,3.0,2022,43
4.0,12:46,3.0,3.0,JAX 39,31.0,10.0,James Robinson right tackle for 3 yards (tackle by Austin Johnson),0.76,1.73,3.0,2022,43
4.0,12:05,1.0,10.0,JAX 42,31.0,10.0,James Robinson right tackle for no gain (tackle by Khalil Mack and Austin Johnson),1.73,1.19,3.0,2022,43
4.0,11:25,2.0,10.0,JAX 42,31.0,10.0,Trevor Lawrence pass complete short right to Christian Kirk for 4 yards (tackle by Michael Davis),1.19,1.03,3.0,2022,43
4.0,10:43,3.0,6.0,JAX 46,31.0,10.0,Trevor Lawrence pass complete short middle to Marvin Jones for 8 yards (tackle by Michael Davis),1.03,2.52,3.0,2022,43
4.0,10:06,1.0,10.0,LAC 46,31.0,10.0,Travis Etienne up the middle for -4 yards (tackle by Sebastian Joseph-Day),2.52,1.44,3.0,2022,43
4.0,9:27,2.0,14.0,LAC 50,31.0,10.0,Trevor Lawrence pass complete short left to Zay Jones for 8 yards (tackle by Drue Tranquill),1.44,1.82,3.0,2022,43
4.0,8:42,3.0,6.0,LAC 42,31.0,10.0,Trevor Lawrence pass complete short right to Travis Etienne for 16 yards (tackle by Bryce Callahan),1.82,3.84,3.0,2022,43
4.0,7:54,1.0,10.0,LAC 26,31.0,10.0,Travis Etienne up the middle for 8 yards (tackle by Michael Davis),3.84,4.45,3.0,2022,43
4.0,7:08,2.0,2.0,LAC 18,31.0,10.0,Travis Etienne left end for 9 yards (tackle by Otito Ogbonnia),4.45,5.14,3.0,2022,43
4.0,6:24,1.0,9.0,LAC 9,31.0,10.0,Travis Etienne right guard for -1 yards (tackle by Otito Ogbonnia),5.14,4.19,3.0,2022,43
4.0,5:40,2.0,10.0,LAC 10,31.0,10.0,Trevor Lawrence pass complete short left to Zay Jones for -1 yards (tackle by Bryce Callahan),4.19,3.12,3.0,2022,43
4.0,4:59,3.0,11.0,LAC 11,37.0,10.0,"Trevor Lawrence pass complete short left to Marvin Jones for 11 yards, touchdown",3.12,7.0,3.0,2022,43
4.0,4:54,,,LAC 15,38.0,10.0,Riley Patterson kicks extra point good,0.0,0.0,3.0,2022,43
4.0,4:54,,,JAX 35,38.0,10.0,"Riley Patterson kicks off 67 yards, returned by DeAndre Carter for 27 yards (tackle by Tre Herndon and Tim Jones)",0.0,0.61,3.0,2022,43
4.0,4:47,1.0,10.0,LAC 25,38.0,10.0,Justin Herbert pass complete short left to Austin Ekeler for 4 yards (tackle by Tyson Campbell),0.61,0.6,3.0,2022,43
4.0,4:41,2.0,6.0,LAC 29,38.0,10.0,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by Darious Williams),0.6,-0.1,3.0,2022,43
4.0,4:37,3.0,6.0,LAC 29,38.0,10.0,Justin Herbert scrambles for 7 yards (tackle by Foyesade Oluokun),-0.1,1.33,3.0,2022,43
4.0,4:30,1.0,10.0,LAC 36,38.0,10.0,Justin Herbert pass complete to Austin Ekeler for 10 yards (tackle by Andre Cisco and Darious Williams),1.33,1.99,3.0,2022,43
4.0,3:47,1.0,10.0,LAC 46,38.0,10.0,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Foyesade Oluokun),1.99,2.26,3.0,2022,43
4.0,3:10,2.0,4.0,JAX 48,38.0,10.0,Justin Herbert pass complete to Josh Palmer for 6 yards (tackle by Tre Herndon),2.26,2.79,3.0,2022,43
4.0,2:35,1.0,10.0,JAX 42,38.0,10.0,Justin Herbert pass complete short middle to Jalen Guyton for 10 yards (tackle by Devin Lloyd),2.79,3.45,3.0,2022,43
4.0,2:00,1.0,10.0,JAX 32,38.0,10.0,Justin Herbert pass incomplete deep left intended for Jalen Guyton (defended by Tre Herndon),3.45,2.9,3.0,2022,43
4.0,1:54,2.0,10.0,JAX 32,38.0,10.0,Justin Herbert pass complete short right to Joshua Kelley for -2 yards (tackle by Arden Key and Andre Cisco),2.9,1.95,3.0,2022,43
4.0,1:19,3.0,12.0,JAX 34,38.0,10.0,Justin Herbert pass complete short right to Josh Palmer for 13 yards (tackle by Tre Herndon),1.95,4.17,3.0,2022,43
4.0,1:08,1.0,10.0,JAX 21,38.0,10.0,"Justin Herbert pass incomplete intended for Josh Palmer. Penalty on Foyesade Oluokun: Defensive Holding, 5 yards (accepted) (no play)",4.17,4.51,3.0,2022,43
4.0,1:03,1.0,10.0,JAX 16,38.0,10.0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Josh Allen),4.51,3.9,3.0,2022,43
4.0,0:57,2.0,10.0,JAX 16,38.0,10.0,Justin Herbert pass complete short left to Joshua Kelley for 8 yards (tackle by Foyesade Oluokun),3.9,4.62,3.0,2022,43
4.0,0:45,3.0,2.0,JAX 8,38.0,10.0,Joshua Kelley left tackle for -3 yards (tackle by Adam Gotsis),4.62,2.75,3.0,2022,43
4.0,0:06,4.0,5.0,JAX 11,38.0,10.0,Justin Herbert pass incomplete short right intended for DeAndre Carter,2.75,0.37,3.0,2022,43
