Quarter,Time,Down,ToGo,Location,HOU,CAR,Detail,EPB,EPA,week,year,game_id
2.0,13:13,,,HOU 35,7.0,0.0,"Ka'imi Fairbairn kicks off 62 yards, returned by Raheem Blackshear for 31 yards (tackle by Tavierre Thomas and Grayland Arnold)",0.0,1.2,8.0,2023,108
2.0,13:06,1.0,10.0,CAR 34,7.0,0.0,Chuba Hubbard left guard for 1 yard (tackle by Denzel Perryman and Tavierre Thomas),1.2,0.79,8.0,2023,108
2.0,12:26,2.0,9.0,CAR 35,7.0,0.0,"Bryce Young sacked by. Bryce Young fumbles (forced by Jonathan Greenard), recovered by Raheem Blackshear at CAR-32. Penalty on Jonathan Greenard: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.79,2.26,8.0,2023,108
2.0,12:16,1.0,10.0,CAR 50,7.0,0.0,Bryce Young pass complete short middle to Adam Thielen for 9 yards (tackle by Jimmie Ward),2.26,2.79,8.0,2023,108
2.0,11:38,2.0,2.0,HOU 42,7.0,0.0,Bryce Young pass incomplete short right intended for Adam Thielen (defended by Christian Harris),2.79,2.21,8.0,2023,108
2.0,11:30,3.0,1.0,HOU 41,7.0,0.0,Chuba Hubbard up the middle for 3 yards (tackle by Denzel Perryman),2.21,3.05,8.0,2023,108
2.0,10:55,1.0,10.0,HOU 38,7.0,0.0,Bryce Young pass complete short left to Adam Thielen for 2 yards (tackle by Tavierre Thomas),3.05,2.78,8.0,2023,108
2.0,10:20,2.0,8.0,HOU 36,7.0,0.0,Bryce Young pass complete deep left to Adam Thielen for 31 yards (tackle by Tavierre Thomas),2.78,6.06,8.0,2023,108
2.0,9:44,1.0,5.0,HOU 5,7.0,0.0,Chuba Hubbard up the middle for 3 yards (tackle by Jalen Pitre and Jimmie Ward),6.06,5.72,8.0,2023,108
2.0,9:17,2.0,2.0,HOU 2,7.0,0.0,Chuba Hubbard up the middle for 1 yard (tackle by Denzel Perryman and Hassan Ridgeway),5.72,5.17,8.0,2023,108
2.0,8:31,3.0,1.0,HOU 1,7.0,0.0,Chuba Hubbard right guard for -1 yards (tackle by Maliek Collins and Jonathan Greenard),5.17,3.25,8.0,2023,108
2.0,7:46,4.0,2.0,HOU 2,7.0,0.0,Bryce Young pass incomplete short left intended for Adam Thielen,3.25,0.38,8.0,2023,108
2.0,7:43,1.0,10.0,HOU 2,7.0,0.0,Dameon Pierce right tackle for 6 yards (tackle by Frankie Luvu and Kamu Grugier-Hill),-0.38,-0.34,8.0,2023,108
2.0,7:03,2.0,4.0,HOU 8,7.0,0.0,C.J. Stroud pass complete short left to Tank Dell for 9 yards (tackle by Donte Jackson),-0.34,-0.06,8.0,2023,108
2.0,6:27,1.0,10.0,HOU 17,7.0,0.0,C.J. Stroud pass incomplete short middle intended for Noah Brown,-0.06,-0.58,8.0,2023,108
2.0,6:22,2.0,10.0,HOU 17,7.0,0.0,Dameon Pierce right tackle for 3 yards (tackle by Derrick Brown and Jammie Robinson),-0.58,-0.87,8.0,2023,108
2.0,5:41,3.0,7.0,HOU 20,7.0,0.0,C.J. Stroud sacked by Brian Burns for -10 yards,-0.87,-2.49,8.0,2023,108
2.0,5:04,4.0,17.0,HOU 10,7.0,0.0,"Cameron Johnston punts 53 yards, returned by Ihmir Smith-Marsette for 3 yards (tackle by Ka'dar Hollman)",-2.49,-1.6,8.0,2023,108
2.0,4:53,1.0,10.0,CAR 40,7.0,0.0,Bryce Young pass incomplete deep left intended for DJ Chark,1.6,1.05,8.0,2023,108
2.0,4:48,2.0,10.0,CAR 40,7.0,0.0,Bryce Young pass incomplete deep right intended for DJ Chark (defended by Jimmie Ward),1.05,0.37,8.0,2023,108
2.0,4:40,3.0,10.0,CAR 40,7.0,0.0,"Bryce Young sacked by and Will Anderson for no gain and Jalen Pitre for no gain. Penalty on Ka'dar Hollman: Defensive Holding, 5 yards (accepted) (no play)",0.37,1.93,8.0,2023,108
2.0,4:17,1.0,10.0,CAR 45,7.0,0.0,Chuba Hubbard up the middle for 4 yards (tackle by Blake Cashman and Jimmie Ward),1.93,1.92,8.0,2023,108
2.0,3:49,2.0,6.0,CAR 49,7.0,0.0,Bryce Young pass complete short right to Stephen Sullivan for 13 yards (tackle by Shaquill Griffin),1.92,3.05,8.0,2023,108
2.0,3:06,1.0,10.0,HOU 38,7.0,0.0,Bryce Young pass complete deep middle to DJ Chark for 20 yards (tackle by Steven Nelson),3.05,4.37,8.0,2023,108
2.0,2:28,1.0,10.0,HOU 18,7.0,0.0,Bryce Young pass complete short middle to Terrace Marshall for 9 yards (tackle by Jalen Pitre),4.37,5.42,8.0,2023,108
2.0,2:00,2.0,1.0,HOU 9,7.0,0.0,"Penalty on Kurt Hinish: Encroachment, 5 yards (accepted) (no play)",5.42,6.28,8.0,2023,108
2.0,2:00,1.0,4.0,HOU 4,7.0,0.0,"Chuba Hubbard right tackle for no gain (tackle by Blake Cashman). Penalty on Bradley Bozeman: Offensive Holding, 10 yards (accepted) (no play)",6.28,4.44,8.0,2023,108
2.0,1:56,1.0,14.0,HOU 14,7.0,0.0,Bryce Young pass complete short middle to Adam Thielen for 10 yards (tackle by Tavierre Thomas and Blake Cashman),4.44,5.34,8.0,2023,108
2.0,1:46,,,,,,Timeout #1 by Houston Texans,,,8.0,2023,108
2.0,1:46,2.0,4.0,HOU 4,7.0,0.0,Bryce Young scrambles left end for 3 yards (tackle by Maliek Collins),5.34,5.17,8.0,2023,108
2.0,1:39,,,,,,Timeout #2 by Houston Texans,,,8.0,2023,108
2.0,1:39,3.0,1.0,HOU 1,7.0,6.0,"Bryce Young pass complete short right to Tommy Tremble for 1 yard, touchdown",5.17,7.0,8.0,2023,108
2.0,1:35,,,HOU 15,7.0,6.0,Eddy Pineiro kicks extra point no good,0.0,-1.0,8.0,2023,108
2.0,1:35,,,CAR 35,7.0,6.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,108
2.0,1:35,1.0,10.0,HOU 25,7.0,6.0,C.J. Stroud sacked by Frankie Luvu for -11 yards,0.61,-1.54,8.0,2023,108
2.0,1:28,,,,,,Timeout #1 by Carolina Panthers,,,8.0,2023,108
2.0,1:28,2.0,21.0,HOU 14,7.0,6.0,Devin Singletary left guard for 2 yards (tackle by DeShawn Williams),-1.54,-2.14,8.0,2023,108
2.0,1:24,,,,,,Timeout #2 by Carolina Panthers,,,8.0,2023,108
2.0,1:24,3.0,19.0,HOU 16,7.0,6.0,C.J. Stroud pass complete short left to Dalton Schultz for -4 yards (tackle by Donte Jackson),-2.14,-2.49,8.0,2023,108
2.0,1:20,,,,,,Timeout #3 by Carolina Panthers,,,8.0,2023,108
2.0,1:20,4.0,23.0,HOU 12,7.0,6.0,"Cameron Johnston punts 74 yards, returned by Ihmir Smith-Marsette for 5 yards (tackle by D'Angelo Ross and Jake Hansen)",-2.49,-0.15,8.0,2023,108
2.0,1:06,1.0,10.0,CAR 19,7.0,6.0,Bryce Young pass complete short left to Jonathan Mingo for 6 yards (tackle by Will Anderson and Jimmie Ward),0.15,0.48,8.0,2023,108
2.0,0:42,2.0,4.0,CAR 25,7.0,6.0,Bryce Young pass complete short right to DJ Chark for 3 yards (tackle by Shaquill Griffin),0.48,0.1,8.0,2023,108
2.0,0:20,3.0,1.0,CAR 28,7.0,6.0,Bryce Young pass complete short right to Tommy Tremble for 3 yards (tackle by Shaquill Griffin),0.1,1.0,8.0,2023,108
2.0,0:20,1.0,10.0,CAR 31,7.0,6.0,Bryce Young sacked by and Maliek Collins for -8 yards and Jonathan Greenard for -8 yards,1.0,-0.62,8.0,2023,108
3.0,15:00,,,HOU 35,7.0,6.0,"Ka'imi Fairbairn kicks off 66 yards, returned by Raheem Blackshear for 24 yards (tackle by Grayland Arnold and D'Angelo Ross)",0.0,0.48,8.0,2023,108
3.0,14:52,1.0,10.0,CAR 23,7.0,6.0,Bryce Young pass incomplete short middle intended for Tommy Tremble (defended by Jalen Pitre),0.48,-0.07,8.0,2023,108
3.0,14:49,2.0,10.0,CAR 23,7.0,6.0,Chuba Hubbard right guard for 8 yards (tackle by Henry To'oTo'o and Jimmie Ward),-0.07,0.3,8.0,2023,108
3.0,14:12,3.0,2.0,CAR 31,7.0,6.0,Bryce Young scrambles right end for 3 yards (tackle by Kurt Hinish),0.3,1.2,8.0,2023,108
3.0,13:38,1.0,10.0,CAR 34,7.0,6.0,Miles Sanders left guard for -4 yards (tackle by Khalil Davis and Jalen Pitre),1.2,0.12,8.0,2023,108
3.0,12:58,2.0,14.0,CAR 30,7.0,6.0,Bryce Young pass complete deep left to Jonathan Mingo for 40 yards (tackle by Jimmie Ward),0.12,3.58,8.0,2023,108
3.0,12:17,1.0,10.0,HOU 30,7.0,6.0,Raheem Blackshear right guard for no gain (tackle by Kurt Hinish),3.58,3.03,8.0,2023,108
3.0,11:41,2.0,10.0,HOU 30,7.0,6.0,Bryce Young pass incomplete short middle intended for Adam Thielen,3.03,2.34,8.0,2023,108
3.0,11:35,3.0,10.0,HOU 30,7.0,6.0,Bryce Young pass complete short left to Adam Thielen for 2 yards (tackle by Tavierre Thomas and Henry To'oTo'o),2.34,1.59,8.0,2023,108
3.0,10:50,4.0,8.0,HOU 28,7.0,9.0,Eddy Pineiro 46 yard field goal good,1.59,3.0,8.0,2023,108
3.0,10:46,,,CAR 35,7.0,9.0,"Eddy Pineiro kicks off 65 yards, returned by Mike Boone for 19 yards (tackle by DJ Johnson and Jammie Robinson)",0.0,0.15,8.0,2023,108
3.0,10:41,1.0,10.0,HOU 19,7.0,9.0,Devin Singletary up the middle for 3 yards (tackle by Xavier Woods),0.15,0.07,8.0,2023,108
3.0,10:05,2.0,7.0,HOU 22,7.0,9.0,"C.J. Stroud pass complete short left to Andrew Beck for 8 yards. Andrew Beck fumbles (forced by Donte Jackson), recovered by Xavier Woods at HOU-32 and returned for 5 yards (tackle by Devin Singletary)",0.07,-3.78,8.0,2023,108
3.0,9:55,1.0,10.0,HOU 27,7.0,9.0,Chuba Hubbard up the middle for 2 yards (tackle by Shaquill Griffin and Dylan Horton),3.78,3.5,8.0,2023,108
3.0,9:14,2.0,8.0,HOU 25,7.0,9.0,Bryce Young pass complete short right to Raheem Blackshear for 7 yards (tackle by Jimmie Ward),3.5,3.84,8.0,2023,108
3.0,8:48,3.0,1.0,HOU 18,7.0,9.0,Raheem Blackshear up the middle for -1 yards (tackle by Denzel Perryman),3.84,2.31,8.0,2023,108
3.0,8:02,4.0,2.0,HOU 19,7.0,12.0,Eddy Pineiro 37 yard field goal good,2.31,3.0,8.0,2023,108
3.0,7:58,,,CAR 35,7.0,12.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,108
3.0,7:58,1.0,10.0,HOU 25,7.0,12.0,Dameon Pierce up the middle for 2 yards (tackle by Deion Jones and Troy Hill),0.61,0.33,8.0,2023,108
3.0,7:19,2.0,8.0,HOU 27,7.0,12.0,C.J. Stroud pass incomplete short middle intended for Dalton Schultz (defended by Frankie Luvu),0.33,-0.36,8.0,2023,108
3.0,7:15,3.0,8.0,HOU 27,7.0,12.0,C.J. Stroud pass complete short middle to Dalton Schultz for 9 yards (tackle by C.J. Henderson),-0.36,1.33,8.0,2023,108
3.0,6:30,1.0,10.0,HOU 36,7.0,12.0,"C.J. Stroud pass complete deep middle to Noah Brown for no gain (tackle by Xavier Woods). Penalty on Shaq Mason: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.33,1.0,8.0,2023,108
3.0,5:59,1.0,15.0,HOU 31,7.0,12.0,Dameon Pierce right tackle for 4 yards (tackle by Jammie Robinson and Derrick Brown),1.0,0.66,8.0,2023,108
3.0,5:20,2.0,11.0,HOU 35,7.0,12.0,Dameon Pierce right guard for 16 yards (tackle by Jammie Robinson),0.66,2.32,8.0,2023,108
3.0,4:37,1.0,10.0,CAR 49,7.0,12.0,C.J. Stroud pass complete deep left to Noah Brown for 31 yards (tackle by Jammie Robinson),2.32,4.37,8.0,2023,108
3.0,4:15,1.0,10.0,CAR 18,7.0,12.0,Devin Singletary left end for 9 yards (tackle by Xavier Woods),4.37,5.42,8.0,2023,108
3.0,3:31,2.0,1.0,CAR 9,7.0,12.0,C.J. Stroud pass complete short right to Nico Collins for 1 yard (tackle by C.J. Henderson and Kamu Grugier-Hill),5.42,5.37,8.0,2023,108
3.0,2:47,1.0,8.0,CAR 8,7.0,12.0,Devin Singletary up the middle for 7 yards (tackle by Xavier Woods and Sam Franklin),5.37,5.91,8.0,2023,108
3.0,2:05,2.0,1.0,CAR 1,7.0,12.0,Andrew Beck up the middle for no gain (tackle by Derrick Brown and Shy Tuttle),5.91,5.17,8.0,2023,108
3.0,1:24,3.0,1.0,CAR 1,7.0,12.0,Dameon Pierce left tackle for no gain (tackle by Troy Hill and Frankie Luvu),5.17,3.55,8.0,2023,108
3.0,0:42,4.0,1.0,CAR 1,13.0,12.0,"C.J. Stroud up the middle for 1 yard, touchdown",3.55,7.0,8.0,2023,108
3.0,0:35,,,CAR 2,13.0,12.0,Two Point Attempt: C.J. Stroud pass incomplete intended for intended for Dalton Schultz,1.0,-1.0,8.0,2023,108
3.0,0:35,,,HOU 35,13.0,12.0,"Ka'imi Fairbairn kicks off 64 yards, returned by Raheem Blackshear for 52 yards (tackle by Ka'imi Fairbairn)",0.0,2.46,8.0,2023,108
3.0,0:27,1.0,10.0,HOU 47,13.0,12.0,Chuba Hubbard left tackle for -3 yards (tackle by Blake Cashman),2.46,1.51,8.0,2023,108
4.0,15:00,2.0,13.0,HOU 50,13.0,12.0,Bryce Young pass complete short middle to Adam Thielen for 5 yards (tackle by Denzel Perryman),1.51,1.49,8.0,2023,108
4.0,14:23,3.0,8.0,HOU 45,13.0,12.0,Bryce Young sacked by Jonathan Greenard for -12 yards,1.49,-0.52,8.0,2023,108
4.0,13:40,4.0,20.0,CAR 43,13.0,12.0,"Johnny Hekker punts 36 yards, fair catch by Tank Dell at HOU-21",-0.52,-0.34,8.0,2023,108
4.0,13:32,1.0,10.0,HOU 21,13.0,12.0,Tank Dell left end for 7 yards (tackle by Frankie Luvu),0.34,0.75,8.0,2023,108
4.0,12:58,2.0,3.0,HOU 28,13.0,12.0,Devin Singletary left tackle for 4 yards (tackle by LaBryan Ray and DJ Johnson),0.75,1.07,8.0,2023,108
4.0,12:17,1.0,10.0,HOU 32,13.0,12.0,Devin Singletary right tackle for 1 yard (tackle by Frankie Luvu),1.07,0.66,8.0,2023,108
4.0,11:32,2.0,9.0,HOU 33,13.0,12.0,C.J. Stroud pass incomplete short middle intended for Dalton Schultz (defended by Frankie Luvu),0.66,-0.03,8.0,2023,108
4.0,11:26,3.0,9.0,HOU 33,13.0,12.0,C.J. Stroud pass complete short left to Nico Collins for 6 yards (tackle by Troy Hill and Frankie Luvu),-0.03,-0.78,8.0,2023,108
4.0,10:45,4.0,3.0,HOU 39,13.0,12.0,"Cameron Johnston punts 44 yards, returned by Ihmir Smith-Marsette for 4 yards (tackle by D'Angelo Ross)",-0.78,-0.34,8.0,2023,108
4.0,10:36,1.0,10.0,CAR 21,13.0,12.0,Bryce Young sacked by and Maliek Collins for -9 yards and Denzel Perryman for -9 yards,0.34,-1.44,8.0,2023,108
4.0,10:00,2.0,19.0,CAR 12,13.0,12.0,Raheem Blackshear right end for 6 yards (tackle by Denzel Perryman),-1.44,-1.41,8.0,2023,108
4.0,9:24,3.0,13.0,CAR 18,13.0,12.0,Bryce Young sacked by Maliek Collins for -9 yards,-1.41,-2.49,8.0,2023,108
4.0,8:44,4.0,22.0,CAR 9,13.0,12.0,"Johnny Hekker punts 63 yards, returned by Tank Dell for 20 yards (tackle by Kamu Grugier-Hill)",-2.49,-2.13,8.0,2023,108
4.0,8:30,1.0,10.0,HOU 48,13.0,12.0,Dameon Pierce right tackle for 2 yards (tackle by Amare Barno and LaBryan Ray),2.13,1.85,8.0,2023,108
4.0,7:57,2.0,8.0,HOU 50,13.0,12.0,C.J. Stroud pass complete short right to Devin Singletary for 10 yards (tackle by Frankie Luvu and C.J. Henderson),1.85,2.92,8.0,2023,108
4.0,7:17,1.0,10.0,CAR 40,13.0,12.0,Devin Singletary up the middle for 5 yards (tackle by Derrick Brown),2.92,3.05,8.0,2023,108
4.0,6:31,2.0,5.0,CAR 35,13.0,12.0,C.J. Stroud pass incomplete deep right intended for Nico Collins,3.05,2.34,8.0,2023,108
4.0,6:28,3.0,5.0,CAR 35,13.0,12.0,"Penalty on HOU: Delay of Game, 5 yards (accepted) (no play)",2.34,1.68,8.0,2023,108
4.0,6:28,3.0,10.0,CAR 40,13.0,12.0,C.J. Stroud pass incomplete deep right intended for Tank Dell,1.68,0.59,8.0,2023,108
4.0,6:23,4.0,10.0,CAR 40,13.0,12.0,"Cameron Johnston punts 31 yards, fair catch by Ihmir Smith-Marsette at CAR-9",0.59,0.38,8.0,2023,108
4.0,6:17,1.0,10.0,CAR 9,13.0,12.0,Bryce Young pass incomplete short right intended for Hayden Hurst,-0.38,-0.78,8.0,2023,108
4.0,6:13,2.0,10.0,CAR 9,13.0,12.0,Bryce Young pass complete short right to Chuba Hubbard for 12 yards (tackle by Shaquill Griffin),-0.78,0.34,8.0,2023,108
4.0,5:46,1.0,10.0,CAR 21,13.0,12.0,"Bryce Young pass incomplete short left intended for Chuba Hubbard. Penalty on Will Anderson: Defensive Offside, 5 yards (accepted) (no play)",0.34,1.07,8.0,2023,108
4.0,5:40,1.0,5.0,CAR 26,13.0,12.0,"Bryce Young pass incomplete short right intended for Jonathan Mingo. Penalty on Shaquill Griffin: Defensive Pass Interference, 8 yards (accepted) (no play)",1.07,1.2,8.0,2023,108
4.0,5:37,1.0,10.0,CAR 34,13.0,12.0,Bryce Young pass complete short right to Jonathan Mingo for 11 yards (tackle by Shaquill Griffin),1.2,1.93,8.0,2023,108
4.0,5:10,1.0,10.0,CAR 45,13.0,12.0,Bryce Young sacked by Jonathan Greenard for -9 yards,1.93,0.17,8.0,2023,108
4.0,4:28,2.0,19.0,CAR 36,13.0,12.0,Bryce Young scrambles left end for 7 yards (tackle by Denzel Perryman),0.17,0.43,8.0,2023,108
4.0,4:08,3.0,12.0,CAR 43,13.0,12.0,Bryce Young pass complete short right to Adam Thielen for 10 yards (tackle by Jonathan Greenard),0.43,0.13,8.0,2023,108
4.0,3:21,4.0,2.0,HOU 47,13.0,12.0,Bryce Young pass complete short left to Adam Thielen for 3 yards (tackle by Henry To'oTo'o),0.13,2.65,8.0,2023,108
4.0,2:42,1.0,10.0,HOU 44,13.0,12.0,Bryce Young pass complete short left to Chuba Hubbard for 14 yards (tackle by Steven Nelson),2.65,3.58,8.0,2023,108
4.0,2:00,1.0,10.0,HOU 30,13.0,12.0,Chuba Hubbard up the middle for 4 yards (tackle by Blake Cashman and Hassan Ridgeway),3.58,3.57,8.0,2023,108
4.0,1:55,,,,,,Timeout #1 by Houston Texans,,,8.0,2023,108
4.0,1:55,2.0,6.0,HOU 26,13.0,12.0,Chuba Hubbard up the middle for 4 yards (tackle by Will Anderson and Denzel Perryman),3.57,3.4,8.0,2023,108
4.0,1:50,,,,,,Timeout #2 by Houston Texans,,,8.0,2023,108
4.0,1:50,3.0,2.0,HOU 22,13.0,12.0,Chuba Hubbard up the middle for 3 yards (tackle by Jalen Pitre),3.4,4.31,8.0,2023,108
4.0,1:45,,,,,,Timeout #3 by Houston Texans,,,8.0,2023,108
4.0,1:45,1.0,10.0,HOU 19,13.0,12.0,Chuba Hubbard up the middle for 1 yard (tackle by Jimmie Ward and Maliek Collins),4.31,3.88,8.0,2023,108
4.0,1:02,2.0,9.0,HOU 18,13.0,12.0,Chuba Hubbard left guard for no gain (tackle by Jonathan Greenard),3.88,3.14,8.0,2023,108
4.0,0:22,,,,,,Timeout #1 by Carolina Panthers,,,8.0,2023,108
4.0,0:22,3.0,9.0,HOU 18,13.0,12.0,Bryce Young right end for -2 yards (tackle by Jalen Pitre),3.14,2.12,8.0,2023,108
4.0,0:03,,,,,,Timeout #2 by Carolina Panthers,,,8.0,2023,108
4.0,0:03,4.0,11.0,HOU 20,13.0,12.0,"Penalty on Jalen Pitre: Defensive Offside, 5 yards (declined) Penalty on Tavierre Thomas: Unnecessary Roughness / Defense, 10 yards (accepted) (no play)",2.12,4.91,8.0,2023,108
4.0,0:03,1.0,10.0,HOU 10,13.0,12.0,"Penalty on Tavierre Thomas: Unsportsmanlike Conduct / Defense, 5 yards (accepted) (no play)",4.91,6.06,8.0,2023,108
4.0,0:03,1.0,5.0,HOU 5,13.0,15.0,Eddy Pineiro 23 yard field goal good,6.06,3.0,8.0,2023,108
