Quarter,Time,Down,ToGo,Location,ATL,TEN,Detail,EPB,EPA,week,year,game_id
1.0,9:12,2.0,9.0,TEN 26,3.0,0.0,Will Levis pass complete short right to Tyjae Spears for 5 yards (tackle by Lorenzo Carter),0.2,0.17,8.0,2023,111
1.0,8:31,3.0,4.0,TEN 31,3.0,0.0,Will Levis pass complete short middle to Chigoziem Okonkwo for 3 yards (tackle by Kaden Elliss),0.17,-1.11,8.0,2023,111
1.0,7:46,4.0,1.0,TEN 34,3.0,0.0,Amani Hooker up the middle for 2 yards (tackle by DeAngelo Malone and Richie Grant),-1.11,1.33,8.0,2023,111
1.0,7:09,1.0,10.0,TEN 36,3.0,0.0,Will Levis pass incomplete deep right intended for Treylon Burks (defended by Richie Grant),1.33,0.79,8.0,2023,111
1.0,7:02,2.0,10.0,TEN 36,3.0,0.0,Tyjae Spears right guard for 2 yards (tackle by Calais Campbell),0.79,0.37,8.0,2023,111
1.0,6:24,3.0,8.0,TEN 38,3.0,0.0,Will Levis pass complete short left to Kyle Philips for 6 yards,0.37,-0.46,8.0,2023,111
1.0,5:52,4.0,2.0,TEN 44,3.0,0.0,Ryan Stonehouse punts 41 yards out of bounds,-0.46,0.22,8.0,2023,111
1.0,5:46,1.0,10.0,ATL 15,3.0,0.0,Bijan Robinson right end for 6 yards (tackle by Jack Gibbens and Sean Murphy-Bunting),-0.22,0.21,8.0,2023,111
1.0,5:12,2.0,4.0,ATL 21,3.0,0.0,Desmond Ridder sacked by Jeffery Simmons for -10 yards,0.21,-1.89,8.0,2023,111
1.0,4:35,3.0,14.0,ATL 11,3.0,0.0,Desmond Ridder pass incomplete deep middle intended for Kyle Pitts,-1.89,-2.49,8.0,2023,111
1.0,4:30,4.0,14.0,ATL 11,3.0,0.0,"Bradley Pinion punts 55 yards, returned by Eric Garror for 15 yards (tackle by Richie Grant). Penalty on Monty Rice: Offensive Holding, 10 yards (accepted)",-2.49,-1.53,8.0,2023,111
1.0,4:20,1.0,10.0,TEN 39,3.0,0.0,Derrick Henry right end for 7 yards (tackle by Lorenzo Carter),1.53,1.93,8.0,2023,111
1.0,3:43,2.0,3.0,TEN 46,3.0,0.0,Derrick Henry left guard for 2 yards (tackle by Lorenzo Carter),1.93,1.49,8.0,2023,111
1.0,3:10,3.0,1.0,TEN 48,3.0,0.0,Will Levis pass complete short right to Derrick Henry for 5 yards (tackle by Arnold Ebiketie),1.49,2.46,8.0,2023,111
1.0,2:37,1.0,10.0,ATL 47,3.0,6.0,"Will Levis pass complete deep left to DeAndre Hopkins for 47 yards, touchdown",2.46,7.0,8.0,2023,111
1.0,2:28,,,ATL 15,3.0,7.0,Nick Folk kicks extra point good,0.0,0.0,8.0,2023,111
1.0,2:28,,,TEN 35,3.0,7.0,"Nick Folk kicks off 70 yards, returned by Cordarrelle Patterson for 29 yards (tackle by K'Von Wallace)",0.0,0.54,8.0,2023,111
1.0,2:23,1.0,10.0,ATL 24,3.0,7.0,Desmond Ridder pass complete short right to Drake London for 12 yards (tackle by Amani Hooker),0.54,1.33,8.0,2023,111
1.0,1:56,1.0,10.0,ATL 36,3.0,7.0,Tyler Allgeier left end for 1 yard (tackle by Kyle Peko and Kristian Fulton),1.33,0.93,8.0,2023,111
1.0,1:16,2.0,9.0,ATL 37,3.0,7.0,Desmond Ridder pass complete short right to MyCole Pruitt for 3 yards (tackle by Eric Garror),0.93,0.63,8.0,2023,111
1.0,0:45,3.0,6.0,ATL 40,3.0,7.0,Desmond Ridder pass complete short left to Drake London for 5 yards (tackle by Kristian Fulton and Azeez Al-Shaair),0.63,-0.39,8.0,2023,111
2.0,15:00,4.0,1.0,ATL 45,3.0,7.0,"Bradley Pinion punts 42 yards, fair catch by Eric Garror at TEN-13",-0.39,0.32,8.0,2023,111
2.0,14:53,1.0,10.0,TEN 13,3.0,7.0,Derrick Henry left end for 2 yards (tackle by Kaden Elliss),-0.32,-0.57,8.0,2023,111
2.0,14:27,2.0,8.0,TEN 15,3.0,7.0,Will Levis pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by DeAundre Alford),-0.57,0.74,8.0,2023,111
2.0,13:42,1.0,10.0,TEN 27,3.0,7.0,Will Levis sacked by Bud Dupree for -2 yards,0.74,-0.07,8.0,2023,111
2.0,13:00,2.0,12.0,TEN 25,3.0,7.0,Will Levis pass incomplete short right intended for Tyjae Spears (defended by AJ Terrell),-0.07,-0.76,8.0,2023,111
2.0,12:55,3.0,12.0,TEN 25,3.0,7.0,Will Levis pass complete short left to Kyle Philips for 10 yards (tackle by DeAundre Alford),-0.76,-1.04,8.0,2023,111
2.0,12:17,4.0,2.0,TEN 35,3.0,7.0,"Ryan Stonehouse punts 64 yards, returned by Mike Hughes for 6 yards (tackle by Kevin Rader and Joseph Jones)",-1.04,0.38,8.0,2023,111
2.0,12:04,1.0,10.0,ATL 7,3.0,7.0,Bijan Robinson right end for 2 yards (tackle by Jeffery Simmons),-0.38,-0.63,8.0,2023,111
2.0,11:30,2.0,8.0,ATL 9,3.0,7.0,Desmond Ridder pass incomplete short left intended for Bijan Robinson (defended by Denico Autry),-0.63,-1.19,8.0,2023,111
2.0,11:25,3.0,8.0,ATL 9,3.0,7.0,Desmond Ridder pass incomplete short right intended for Bijan Robinson,-1.19,-2.49,8.0,2023,111
2.0,11:23,4.0,8.0,ATL 9,3.0,7.0,"Bradley Pinion punts 60 yards, returned by Eric Garror for 1 yard (tackle by Mack Hollins)",-2.49,-1.07,8.0,2023,111
2.0,11:13,1.0,10.0,TEN 32,3.0,7.0,Derrick Henry left end for 7 yards (tackle by Jeff Okudah),1.07,1.47,8.0,2023,111
2.0,10:35,2.0,3.0,TEN 39,3.0,7.0,Will Levis pass incomplete deep left intended for DeAndre Hopkins,1.47,0.76,8.0,2023,111
2.0,10:29,3.0,3.0,TEN 39,3.0,7.0,Will Levis pass incomplete deep left intended for Treylon Burks,0.76,-0.78,8.0,2023,111
2.0,10:23,4.0,3.0,TEN 39,3.0,7.0,"Ryan Stonehouse punts 54 yards, fair catch by Mike Hughes at ATL-7",-0.78,0.38,8.0,2023,111
2.0,10:16,1.0,10.0,ATL 7,3.0,7.0,Tyler Allgeier left guard for 9 yards (tackle by Kristian Fulton and Azeez Al-Shaair),-0.38,-0.02,8.0,2023,111
2.0,9:52,2.0,1.0,ATL 16,3.0,7.0,Tyler Allgeier right tackle for -2 yards (tackle by Azeez Al-Shaair and Arden Key),-0.02,-0.6,8.0,2023,111
2.0,9:31,3.0,3.0,ATL 14,3.0,7.0,Desmond Ridder pass complete short middle to Kyle Pitts for 10 yards (tackle by Eric Garror),-0.6,0.54,8.0,2023,111
2.0,9:08,1.0,10.0,ATL 24,3.0,7.0,Desmond Ridder pass complete short middle to Kyle Pitts for 11 yards (tackle by Elijah Molden),0.54,1.27,8.0,2023,111
2.0,8:49,1.0,10.0,ATL 35,3.0,7.0,Desmond Ridder pass complete short left to Drake London for 5 yards (tackle by Eric Garror),1.27,1.4,8.0,2023,111
2.0,8:27,2.0,5.0,ATL 40,3.0,7.0,"Desmond Ridder sacked by Jeffery Simmons for -4 yards. Desmond Ridder fumbles (forced by Jeffery Simmons), recovered by Azeez Al-Shaair at ATL-33 (tackle by Jeffery Simmons)",1.4,-3.38,8.0,2023,111
2.0,8:17,1.0,10.0,ATL 33,3.0,7.0,Will Levis pass complete short right to Derrick Henry for 8 yards (tackle by Richie Grant),3.38,3.92,8.0,2023,111
2.0,7:38,2.0,2.0,ATL 25,3.0,7.0,Derrick Henry up the middle for 1 yard (tackle by Ta'Quon Graham and Jessie Bates),3.92,3.34,8.0,2023,111
2.0,6:55,3.0,1.0,ATL 24,3.0,7.0,Chigoziem Okonkwo up the middle for 4 yards (tackle by Jessie Bates),3.34,4.24,8.0,2023,111
2.0,6:18,1.0,10.0,ATL 20,3.0,7.0,Malik Willis up the middle for 4 yards (tackle by Kaden Elliss and Richie Grant),4.24,4.28,8.0,2023,111
2.0,5:32,2.0,6.0,ATL 16,3.0,13.0,"Will Levis pass complete short middle to DeAndre Hopkins for 16 yards, touchdown",4.28,7.0,8.0,2023,111
2.0,5:27,,,ATL 15,3.0,14.0,Nick Folk kicks extra point good,0.0,0.0,8.0,2023,111
2.0,5:27,,,TEN 35,3.0,14.0,"Nick Folk kicks off 62 yards, returned by Keith Smith for 10 yards (tackle by Terrell Edmunds and Matthew Jackson)",0.0,-0.32,8.0,2023,111
2.0,5:22,1.0,10.0,ATL 13,3.0,14.0,Desmond Ridder left end for 23 yards (tackle by Amani Hooker),-0.32,1.33,8.0,2023,111
2.0,4:51,1.0,10.0,ATL 36,3.0,14.0,"Penalty on Chris Lindstrom: False Start, 5 yards (accepted) (no play)",1.33,1.0,8.0,2023,111
2.0,4:37,1.0,15.0,ATL 31,3.0,14.0,Desmond Ridder pass incomplete deep left intended for Drake London (defended by Kristian Fulton),1.0,0.12,8.0,2023,111
2.0,4:33,2.0,15.0,ATL 31,3.0,14.0,Desmond Ridder sacked by Jack Gibbens for -9 yards,0.12,-1.75,8.0,2023,111
2.0,4:08,3.0,24.0,ATL 22,3.0,14.0,Desmond Ridder pass complete short middle to Jonnu Smith for 13 yards (tackle by Terrell Edmunds and Elijah Molden),-1.75,-1.04,8.0,2023,111
2.0,3:26,4.0,11.0,ATL 35,3.0,14.0,"Bradley Pinion punts 52 yards, returned by Eric Garror for 9 yards (tackle by John FitzPatrick)",-1.04,-0.41,8.0,2023,111
2.0,3:17,1.0,10.0,TEN 22,3.0,14.0,Derrick Henry right tackle for 6 yards (tackle by Kaden Elliss and Ta'Quon Graham),0.41,0.68,8.0,2023,111
2.0,2:36,2.0,4.0,TEN 28,3.0,14.0,Derrick Henry left tackle for 5 yards (tackle by Nathan Landman),0.68,1.14,8.0,2023,111
2.0,2:00,1.0,10.0,TEN 33,3.0,14.0,Will Levis pass incomplete deep right intended for Chigoziem Okonkwo,1.14,0.59,8.0,2023,111
2.0,1:54,2.0,10.0,TEN 33,3.0,14.0,Tyjae Spears right end for 2 yards (tackle by Kaden Elliss and Mike Hughes),0.59,0.17,8.0,2023,111
2.0,1:49,,,,,,Timeout #1 by Atlanta Falcons,,,8.0,2023,111
2.0,1:49,3.0,8.0,TEN 35,3.0,14.0,Will Levis pass complete short right to Chigoziem Okonkwo for -2 yards (tackle by Jeff Okudah),0.17,-1.18,8.0,2023,111
2.0,1:44,,,,,,Timeout #2 by Atlanta Falcons,,,8.0,2023,111
2.0,1:44,4.0,10.0,TEN 33,3.0,14.0,Ryan Stonehouse punts 55 yards out of bounds,-1.18,0.35,8.0,2023,111
2.0,1:33,1.0,10.0,ATL 12,3.0,14.0,Desmond Ridder sacked by Denico Autry for -10 yards,-0.35,-1.51,8.0,2023,111
2.0,1:23,,,,,,Timeout #1 by Tennessee Titans,,,8.0,2023,111
2.0,1:23,2.0,20.0,ATL 2,3.0,14.0,Bijan Robinson right tackle for 2 yards (tackle by Azeez Al-Shaair),-1.51,-2.36,8.0,2023,111
2.0,1:19,,,,,,Timeout #2 by Tennessee Titans,,,8.0,2023,111
2.0,1:19,3.0,18.0,ATL 4,3.0,14.0,Bijan Robinson right tackle for no gain (tackle by Arden Key and Denico Autry),-2.36,-2.49,8.0,2023,111
2.0,1:13,,,,,,Timeout #3 by Tennessee Titans,,,8.0,2023,111
2.0,1:13,4.0,18.0,ATL 4,3.0,14.0,"Bradley Pinion punts 46 yards, returned by Eric Garror for 7 yards (tackle by DeAngelo Malone)",-2.49,-2.72,8.0,2023,111
2.0,1:02,1.0,10.0,ATL 43,3.0,14.0,"Penalty on Will Levis: False Start, 5 yards (accepted) (no play)",2.72,2.39,8.0,2023,111
2.0,1:02,1.0,15.0,ATL 48,3.0,14.0,Will Levis pass incomplete short middle intended for DeAndre Hopkins,2.39,1.5,8.0,2023,111
2.0,0:57,2.0,15.0,ATL 48,3.0,14.0,Will Levis pass complete short right to Kyle Philips for 8 yards (tackle by Jeff Okudah),1.5,1.88,8.0,2023,111
2.0,0:41,3.0,7.0,ATL 40,3.0,14.0,Will Levis pass incomplete deep right intended for Nick Westbrook-Ikhine,1.88,0.59,8.0,2023,111
2.0,0:35,4.0,7.0,ATL 40,3.0,14.0,Ryan Stonehouse punts 32 yards downed by Chris Moore,0.59,0.38,8.0,2023,111
2.0,0:28,1.0,10.0,ATL 8,3.0,14.0,Desmond Ridder kneels for -1 yards,-0.38,-0.85,8.0,2023,111
3.0,15:00,,,TEN 35,3.0,14.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
3.0,15:00,1.0,10.0,ATL 25,3.0,14.0,Bijan Robinson up the middle for 25 yards (tackle by Kristian Fulton and Denico Autry),0.61,2.26,8.0,2023,111
3.0,14:21,1.0,10.0,ATL 50,3.0,14.0,Bijan Robinson right guard for 4 yards (tackle by Jeffery Simmons and Denico Autry),2.26,2.25,8.0,2023,111
3.0,13:57,2.0,6.0,TEN 46,3.0,14.0,Taylor Heinicke pass complete short right to Van Jefferson for 7 yards (tackle by Sean Murphy-Bunting and Azeez Al-Shaair),2.25,2.98,8.0,2023,111
3.0,13:29,1.0,10.0,TEN 39,3.0,14.0,Tyler Allgeier right end for 6 yards (tackle by Jack Gibbens),2.98,3.25,8.0,2023,111
3.0,12:56,2.0,4.0,TEN 33,3.0,14.0,Tyler Allgeier right tackle for 2 yards (tackle by Harold Landry and Trevis Gipson),3.25,2.81,8.0,2023,111
3.0,12:16,3.0,2.0,TEN 31,3.0,14.0,Taylor Heinicke pass incomplete short right intended for Drake London,2.81,1.4,8.0,2023,111
3.0,12:11,4.0,2.0,TEN 31,6.0,14.0,Younghoe Koo 49 yard field goal good,1.4,3.0,8.0,2023,111
3.0,12:06,,,ATL 35,6.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
3.0,12:06,1.0,10.0,TEN 25,6.0,14.0,Derrick Henry right tackle for 5 yards (tackle by Nathan Landman),0.61,0.74,8.0,2023,111
3.0,11:25,2.0,5.0,TEN 30,6.0,14.0,Will Levis pass complete short right to Derrick Henry for 4 yards (tackle by DeAundre Alford),0.74,0.56,8.0,2023,111
3.0,10:49,3.0,1.0,TEN 34,6.0,14.0,Will Levis up the middle for 3 yards (tackle by Nathan Landman and Richie Grant),0.56,1.4,8.0,2023,111
3.0,10:19,1.0,10.0,TEN 37,6.0,14.0,Will Levis scrambles right end for 5 yards (tackle by Jessie Bates),1.4,1.53,8.0,2023,111
3.0,9:42,2.0,5.0,TEN 42,6.0,14.0,Derrick Henry left guard for 9 yards (tackle by AJ Terrell),1.53,2.32,8.0,2023,111
3.0,9:03,1.0,10.0,ATL 49,6.0,14.0,Will Levis pass incomplete short left,2.32,1.78,8.0,2023,111
3.0,8:58,2.0,10.0,ATL 49,6.0,14.0,Will Levis pass complete short right to DeAndre Hopkins for 4 yards (tackle by Kaden Elliss),1.78,1.62,8.0,2023,111
3.0,8:14,3.0,6.0,ATL 45,6.0,14.0,Will Levis up the middle for 3 yards (tackle by Richie Grant and DeAundre Alford),1.62,0.46,8.0,2023,111
3.0,7:31,4.0,3.0,ATL 42,6.0,14.0,"Will Levis pass complete short right to Treylon Burks for 3 yards. Penalty on DeAndre Hopkins: Offensive Pass Interference, 9 yards (accepted) (no play)",0.46,-0.13,8.0,2023,111
3.0,7:16,4.0,12.0,TEN 49,6.0,14.0,"Ryan Stonehouse punts 51 yards, touchback.",-0.13,-0.28,8.0,2023,111
3.0,7:08,1.0,10.0,ATL 20,6.0,14.0,Cordarrelle Patterson left guard for 4 yards (tackle by Azeez Al-Shaair),0.28,0.27,8.0,2023,111
3.0,6:37,2.0,6.0,ATL 24,6.0,14.0,Taylor Heinicke pass complete short right to Kyle Pitts for 14 yards (tackle by Amani Hooker),0.27,1.47,8.0,2023,111
3.0,6:05,1.0,10.0,ATL 38,6.0,14.0,Bijan Robinson left end for -3 yards (tackle by Jeffery Simmons),1.47,0.52,8.0,2023,111
3.0,5:24,2.0,13.0,ATL 35,6.0,14.0,Taylor Heinicke pass incomplete short left intended for Bijan Robinson,0.52,-0.16,8.0,2023,111
3.0,5:20,3.0,13.0,ATL 35,6.0,14.0,Taylor Heinicke pass complete short right to KhaDarel Hodge for 14 yards (tackle by Amani Hooker),-0.16,2.19,8.0,2023,111
3.0,4:45,1.0,10.0,ATL 49,6.0,14.0,Bijan Robinson left end for 6 yards (tackle by Azeez Al-Shaair),2.19,2.46,8.0,2023,111
3.0,4:06,2.0,4.0,TEN 45,6.0,14.0,Taylor Heinicke pass complete deep left to Drake London for 21 yards (tackle by Jack Gibbens and Elijah Molden),2.46,3.97,8.0,2023,111
3.0,3:53,1.0,10.0,TEN 24,6.0,14.0,Taylor Heinicke pass incomplete deep left intended for Mack Hollins,3.97,3.43,8.0,2023,111
3.0,3:48,2.0,10.0,TEN 24,6.0,14.0,Cordarrelle Patterson left tackle for 3 yards (tackle by Kristian Fulton and Elijah Molden),3.43,3.14,8.0,2023,111
3.0,3:12,3.0,7.0,TEN 21,6.0,14.0,Taylor Heinicke pass incomplete short right intended for Bijan Robinson,3.14,2.06,8.0,2023,111
3.0,3:06,4.0,7.0,TEN 21,9.0,14.0,Younghoe Koo 39 yard field goal good,2.06,3.0,8.0,2023,111
3.0,3:02,,,ATL 35,9.0,14.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
3.0,3:02,1.0,10.0,TEN 25,9.0,14.0,Derrick Henry left guard for 14 yards (tackle by Jeff Okudah),0.61,1.53,8.0,2023,111
3.0,2:28,1.0,10.0,TEN 39,9.0,14.0,Derrick Henry up the middle for no gain (tackle by Nathan Landman and Zach Harrison),1.53,0.99,8.0,2023,111
3.0,1:46,2.0,10.0,TEN 39,9.0,20.0,"Will Levis pass complete deep right to DeAndre Hopkins for 61 yards, touchdown",0.99,7.0,8.0,2023,111
3.0,1:37,,,ATL 15,9.0,21.0,Nick Folk kicks extra point good,0.0,0.0,8.0,2023,111
3.0,1:37,,,TEN 35,9.0,21.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
3.0,1:37,1.0,10.0,ATL 25,9.0,21.0,Tyler Allgeier up the middle for 1 yard (tackle by Teair Tart and Azeez Al-Shaair),0.61,0.2,8.0,2023,111
3.0,1:03,2.0,9.0,ATL 26,9.0,21.0,"Taylor Heinicke pass complete deep right to KhaDarel Hodge for 52 yards (tackle by Amani Hooker). Penalty on Eric Garror: Defensive Holding, 5 yards (declined)",0.2,4.11,8.0,2023,111
3.0,0:33,1.0,10.0,TEN 22,9.0,21.0,Taylor Heinicke pass complete short left to Mack Hollins for 7 yards (tackle by Kristian Fulton),4.11,4.65,8.0,2023,111
4.0,15:00,2.0,3.0,TEN 15,9.0,21.0,Bijan Robinson up the middle for 2 yards (tackle by Azeez Al-Shaair),4.65,4.39,8.0,2023,111
4.0,14:22,3.0,1.0,TEN 13,15.0,21.0,"Bijan Robinson left end for 13 yards, touchdown",4.39,7.0,8.0,2023,111
4.0,14:17,,,TEN 15,16.0,21.0,Younghoe Koo kicks extra point good,0.0,0.0,8.0,2023,111
4.0,14:17,,,ATL 35,16.0,21.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
4.0,14:17,1.0,10.0,TEN 25,16.0,21.0,Will Levis pass complete short middle to Chris Moore for no gain (no play),0.61,0.28,8.0,2023,111
4.0,13:58,1.0,15.0,TEN 20,16.0,21.0,Derrick Henry up the middle for 6 yards (tackle by Kaden Elliss and Jessie Bates),0.28,0.2,8.0,2023,111
4.0,13:12,2.0,9.0,TEN 26,16.0,21.0,Derrick Henry left end for 2 yards (tackle by Nathan Landman),0.2,-0.23,8.0,2023,111
4.0,12:28,3.0,7.0,TEN 28,16.0,21.0,Will Levis pass incomplete short right,-0.23,-1.5,8.0,2023,111
4.0,12:23,4.0,7.0,TEN 28,16.0,21.0,"Ryan Stonehouse punts 72 yards, touchback.",-1.5,-0.28,8.0,2023,111
4.0,12:15,1.0,10.0,ATL 20,16.0,21.0,Taylor Heinicke pass incomplete short right,0.28,-0.27,8.0,2023,111
4.0,12:11,2.0,10.0,ATL 20,16.0,21.0,"Taylor Heinicke pass incomplete short right intended for Bijan Robinson. Penalty on Drew Dalman: Ineligible Downfield Pass, 5 yards (declined)",-0.27,-0.96,8.0,2023,111
4.0,12:05,3.0,10.0,ATL 20,16.0,21.0,Taylor Heinicke pass incomplete deep right intended for Van Jefferson (defended by Amani Hooker),-0.96,-2.03,8.0,2023,111
4.0,12:00,4.0,10.0,ATL 20,16.0,21.0,"Bradley Pinion punts 50 yards, returned by Eric Garror for no gain (tackle by John FitzPatrick). Penalty on Tre Avery: Unnecessary Roughness / Offense, 15 yards (accepted)",-2.03,0.22,8.0,2023,111
4.0,11:51,1.0,10.0,TEN 15,16.0,21.0,Derrick Henry left tackle for 3 yards (tackle by Lorenzo Carter),-0.22,-0.28,8.0,2023,111
4.0,11:12,2.0,7.0,TEN 18,16.0,21.0,Will Levis pass complete short right to Tyjae Spears for 3 yards (tackle by AJ Terrell),-0.28,-0.63,8.0,2023,111
4.0,10:27,3.0,4.0,TEN 21,16.0,21.0,Will Levis pass complete short right to Chigoziem Okonkwo for 10 yards (tackle by Richie Grant),-0.63,1.0,8.0,2023,111
4.0,9:44,1.0,10.0,TEN 31,16.0,21.0,Will Levis pass incomplete short left,1.0,0.46,8.0,2023,111
4.0,9:40,2.0,10.0,TEN 31,16.0,21.0,Tyjae Spears left guard for 23 yards (tackle by Richie Grant),0.46,2.52,8.0,2023,111
4.0,8:51,1.0,10.0,ATL 46,16.0,21.0,Will Levis pass complete short left to Derrick Henry for 4 yards (tackle by Nathan Landman and AJ Terrell),2.52,2.52,8.0,2023,111
4.0,8:09,2.0,6.0,ATL 42,16.0,21.0,"Derrick Henry right tackle for 5 yards (tackle by Zach Harrison and Nathan Landman). Penalty on David Onyemata: Defensive Holding, 5 yards (accepted)",2.52,3.45,8.0,2023,111
4.0,7:49,1.0,10.0,ATL 32,16.0,21.0,Derrick Henry left tackle for -1 yards (tackle by David Onyemata and Jessie Bates),3.45,2.77,8.0,2023,111
4.0,7:06,2.0,11.0,ATL 33,16.0,27.0,"Will Levis pass complete deep left to Nick Westbrook-Ikhine for 33 yards, touchdown",2.77,7.0,8.0,2023,111
4.0,6:59,,,ATL 15,16.0,28.0,Nick Folk kicks extra point good,0.0,0.0,8.0,2023,111
4.0,6:59,,,TEN 35,16.0,28.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,111
4.0,6:59,1.0,10.0,ATL 25,16.0,28.0,Taylor Heinicke sacked by Harold Landry for -8 yards,0.61,-1.15,8.0,2023,111
4.0,6:29,2.0,18.0,ATL 17,16.0,28.0,Taylor Heinicke pass complete short left to Scott Miller for 6 yards (tackle by Elijah Molden),-1.15,-0.89,8.0,2023,111
4.0,6:06,3.0,12.0,ATL 23,16.0,28.0,Taylor Heinicke scrambles up the middle for 11 yards (tackle by Azeez Al-Shaair),-0.89,-1.11,8.0,2023,111
4.0,5:38,4.0,1.0,ATL 34,16.0,28.0,Taylor Heinicke pass complete short middle to Van Jefferson for 11 yards (tackle by Amani Hooker),-1.11,1.93,8.0,2023,111
4.0,5:20,1.0,10.0,ATL 45,16.0,28.0,Taylor Heinicke pass complete short left to KhaDarel Hodge for 9 yards (tackle by Eric Garror),1.93,2.6,8.0,2023,111
4.0,4:55,2.0,1.0,TEN 46,16.0,28.0,Tyler Allgeier left tackle for 9 yards (tackle by Elijah Molden and Kristian Fulton),2.6,3.12,8.0,2023,111
4.0,4:25,1.0,10.0,TEN 37,16.0,28.0,Taylor Heinicke pass complete short left to Mack Hollins for 20 yards (tackle by Kristian Fulton),3.12,4.44,8.0,2023,111
4.0,3:54,1.0,10.0,TEN 17,16.0,28.0,"Taylor Heinicke sacked by Harold Landry for no gain. Penalty on Harold Landry: Roughing the Passer, 9 yards (accepted) (no play)",4.44,5.37,8.0,2023,111
4.0,3:50,1.0,8.0,TEN 8,22.0,28.0,"Taylor Heinicke pass complete short right to Scott Miller for 8 yards, touchdown",5.37,7.0,8.0,2023,111
4.0,3:46,,,TEN 15,23.0,28.0,Younghoe Koo kicks extra point good,0.0,0.0,8.0,2023,111
4.0,3:46,,,ATL 35,23.0,28.0,"Bradley Pinion kicks off 51 yards, returned by Kyle Philips for 13 yards (tackle by Micah Abernathy)",0.0,0.74,8.0,2023,111
4.0,3:43,1.0,10.0,TEN 27,23.0,28.0,Derrick Henry right end for 7 yards (tackle by Jessie Bates),0.74,1.14,8.0,2023,111
4.0,3:35,2.0,3.0,TEN 34,23.0,28.0,Derrick Henry left guard for 6 yards (tackle by Bud Dupree),1.14,1.6,8.0,2023,111
4.0,2:51,1.0,10.0,TEN 40,23.0,28.0,Derrick Henry right tackle for 4 yards (tackle by Richie Grant),1.6,1.59,8.0,2023,111
4.0,2:42,,,,,,Timeout #1 by Atlanta Falcons,,,8.0,2023,111
4.0,2:42,2.0,6.0,TEN 44,23.0,28.0,Derrick Henry right tackle for 2 yards (tackle by David Onyemata),1.59,1.16,8.0,2023,111
