Quarter,Time,Down,ToGo,Location,JAX,PIT,Detail,EPB,EPA,week,year,game_id
1.0,9:38,3.0,6.0,PIT 29,3.0,0.0,Kenny Pickett pass incomplete short right intended for Diontae Johnson,-0.1,-1.44,8.0,2023,113
1.0,9:33,4.0,6.0,PIT 29,3.0,0.0,"Pressley Harvin punts 51 yards, returned by Jamal Agnew for 12 yards (tackle by Miles Boykin)",-1.44,-1.07,8.0,2023,113
1.0,9:23,1.0,10.0,JAX 32,3.0,0.0,Trevor Lawrence sacked by and Alex Highsmith for -7 yards and Elandon Roberts for -7 yards,1.07,-0.42,8.0,2023,113
1.0,8:53,2.0,17.0,JAX 25,3.0,0.0,Trevor Lawrence scrambles left tackle for 10 yards (tackle by Kwon Alexander),-0.42,0.23,8.0,2023,113
1.0,8:06,3.0,7.0,JAX 35,3.0,0.0,Trevor Lawrence pass complete deep middle to Calvin Ridley for 26 yards (tackle by Joey Porter),0.23,2.98,8.0,2023,113
1.0,7:23,1.0,10.0,PIT 39,3.0,0.0,Travis Etienne up the middle for no gain (tackle by Cole Holcomb),2.98,2.44,8.0,2023,113
1.0,6:43,2.0,10.0,PIT 39,3.0,0.0,Trevor Lawrence pass incomplete short middle intended for Travis Etienne (defended by T.J. Watt),2.44,1.75,8.0,2023,113
1.0,6:39,3.0,10.0,PIT 39,3.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 7 yards (tackle by Keanu Neal and Cole Holcomb),1.75,1.29,8.0,2023,113
1.0,5:59,4.0,3.0,PIT 32,6.0,0.0,Brandon McManus 51 yard field goal good,1.29,3.0,8.0,2023,113
1.0,5:54,,,JAX 35,6.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,113
1.0,5:54,1.0,10.0,PIT 25,6.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 8 yards (tackle by Andrew Wingard),0.61,1.14,8.0,2023,113
1.0,5:19,2.0,2.0,PIT 33,6.0,0.0,Jaylen Warren right guard for no gain (tackle by Josh Allen),1.14,0.43,8.0,2023,113
1.0,4:41,3.0,2.0,PIT 33,6.0,0.0,Kenny Pickett pass incomplete deep left intended for George Pickens (defended by Darious Williams),0.43,-1.18,8.0,2023,113
1.0,4:35,4.0,2.0,PIT 33,6.0,0.0,"Pressley Harvin punts 47 yards, fair catch by Jamal Agnew at JAC-20",-1.18,-0.28,8.0,2023,113
1.0,4:27,1.0,10.0,JAX 20,6.0,0.0,Travis Etienne left guard for 5 yards (tackle by Cole Holcomb and Isaiahh Loudermilk),0.28,0.41,8.0,2023,113
1.0,3:55,2.0,5.0,JAX 25,6.0,0.0,Travis Etienne right guard for 1 yard (tackle by Isaiahh Loudermilk),0.41,-0.16,8.0,2023,113
1.0,3:14,3.0,4.0,JAX 26,6.0,0.0,"Trevor Lawrence pass complete deep left to Christian Kirk for 29 yards (tackle by Miles Killebrew). Penalty on Keanu Neal: Roughing the Passer, 15 yards (accepted)",-0.16,3.58,8.0,2023,113
1.0,2:42,1.0,10.0,PIT 30,6.0,0.0,Travis Etienne right tackle for 7 yards (tackle by Keeanu Benton and Chandon Sullivan),3.58,3.98,8.0,2023,113
1.0,2:08,2.0,3.0,PIT 23,6.0,0.0,"Travis Etienne right end for no gain (tackle by Joey Porter). Penalty on Anton Harrison: Offensive Holding, 10 yards (offset) . Penalty on Joey Porter: Face Mask (15 Yards), 15 yards (offset) (no play)",3.98,3.98,8.0,2023,113
1.0,1:47,2.0,3.0,PIT 23,6.0,0.0,Travis Etienne right guard for no gain (tackle by Markus Golden and Cole Holcomb),3.98,3.27,8.0,2023,113
1.0,1:08,3.0,3.0,PIT 23,6.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by Damontae Kazee),3.27,4.37,8.0,2023,113
1.0,0:30,1.0,10.0,PIT 18,6.0,0.0,"Trevor Lawrence pass complete short middle to Evan Engram for -9 yards. Evan Engram fumbles (forced by Kwon Alexander), recovered by Cole Holcomb at PIT-29 (tackle by Anton Harrison)",4.37,-0.87,8.0,2023,113
1.0,0:23,1.0,10.0,PIT 29,6.0,0.0,Calvin Austin right end for no gain (tackle by Andrew Wingard),0.87,0.33,8.0,2023,113
2.0,15:00,2.0,10.0,PIT 29,6.0,0.0,Kenny Pickett pass complete short right to Najee Harris for 3 yards (tackle by Andrew Wingard and Foyesade Oluokun),0.33,0.04,8.0,2023,113
2.0,14:20,3.0,7.0,PIT 32,6.0,0.0,Kenny Pickett pass complete short left to Jaylen Warren for -1 yards (tackle by Tre Herndon),0.04,-1.31,8.0,2023,113
2.0,13:46,4.0,8.0,PIT 31,6.0,0.0,"Pressley Harvin punts 45 yards, returned by Jamal Agnew for 13 yards (tackle by Christian Kuntz and Nick Herbig)",-1.31,-1.4,8.0,2023,113
2.0,13:35,1.0,10.0,JAX 37,6.0,0.0,Trevor Lawrence pass complete short right to Calvin Ridley for 9 yards (tackle by Joey Porter),1.4,2.07,8.0,2023,113
2.0,13:01,2.0,1.0,JAX 46,6.0,0.0,Travis Etienne up the middle for 8 yards (tackle by Damontae Kazee),2.07,2.52,8.0,2023,113
2.0,12:24,1.0,10.0,PIT 46,6.0,0.0,Travis Etienne right tackle for 1 yard (tackle by Elandon Roberts),2.52,2.11,8.0,2023,113
2.0,11:46,2.0,9.0,PIT 45,6.0,0.0,Trevor Lawrence pass complete deep right to Calvin Ridley for 27 yards (tackle by Damontae Kazee),2.11,4.37,8.0,2023,113
2.0,11:03,1.0,10.0,PIT 18,6.0,0.0,Travis Etienne left tackle for 12 yards (tackle by Damontae Kazee),4.37,5.83,8.0,2023,113
2.0,10:24,1.0,6.0,PIT 6,6.0,0.0,Trevor Lawrence pass short right intended for Calvin Ridley is intercepted by Damontae Kazee in end zone and returned for 7 yards (tackle by Luke Farrell),5.83,0.38,8.0,2023,113
2.0,10:15,1.0,10.0,PIT 2,6.0,0.0,Najee Harris right guard for 1 yard (tackle by Rayshawn Jenkins),-0.38,-0.71,8.0,2023,113
2.0,9:38,2.0,9.0,PIT 3,6.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 12 yards (tackle by Montaric Brown),-0.71,-0.22,8.0,2023,113
2.0,9:10,1.0,10.0,PIT 15,6.0,0.0,"Kenny Pickett pass incomplete deep middle intended for Calvin Austin. Penalty on Foyesade Oluokun: Defensive Pass Interference, 32 yards (accepted) (no play)",-0.22,2.06,8.0,2023,113
2.0,9:04,1.0,10.0,PIT 47,6.0,0.0,Jaylen Warren up the middle for 3 yards (tackle by Foyesade Oluokun and Montaric Brown),2.06,1.92,8.0,2023,113
2.0,8:27,2.0,7.0,JAX 50,6.0,0.0,Calvin Austin right end for 10 yards (tackle by Andrew Wingard),1.92,2.92,8.0,2023,113
2.0,7:52,1.0,10.0,JAX 40,6.0,0.0,Kenny Pickett pass complete deep left to Diontae Johnson for 16 yards,2.92,3.97,8.0,2023,113
2.0,7:10,1.0,10.0,JAX 24,6.0,0.0,Jaylen Warren right guard for 1 yard (tackle by Folorunso Fatukasi),3.97,3.57,8.0,2023,113
2.0,6:35,2.0,9.0,JAX 23,6.0,0.0,Kenny Pickett pass complete short left to Diontae Johnson for 6 yards (tackle by Darious Williams),3.57,3.75,8.0,2023,113
2.0,5:57,3.0,3.0,JAX 17,6.0,0.0,Kenny Pickett pass complete short right to Diontae Johnson for 9 yards,3.75,5.37,8.0,2023,113
2.0,5:23,1.0,8.0,JAX 8,6.0,0.0,Najee Harris right guard for 3 yards (tackle by Foyesade Oluokun),5.37,5.15,8.0,2023,113
2.0,4:45,2.0,5.0,JAX 5,6.0,0.0,Kenny Pickett pass complete short middle to Connor Heyward for no gain (tackle by Andrew Wingard),5.15,4.26,8.0,2023,113
2.0,4:05,3.0,5.0,JAX 5,6.0,0.0,Kenny Pickett pass incomplete short middle intended for Diontae Johnson,4.26,3.01,8.0,2023,113
2.0,4:01,4.0,5.0,JAX 5,6.0,3.0,Chris Boswell 22 yard field goal good,3.01,3.0,8.0,2023,113
2.0,3:59,,,PIT 35,6.0,3.0,"Chris Boswell kicks off 49 yards, returned by Daniel Thomas for 21 yards (tackle by James Pierre)",0.0,1.4,8.0,2023,113
2.0,3:54,1.0,10.0,JAX 37,6.0,3.0,Trevor Lawrence pass complete short left to Calvin Ridley for 6 yards (tackle by Cole Holcomb),1.4,1.67,8.0,2023,113
2.0,3:23,2.0,4.0,JAX 43,6.0,3.0,Travis Etienne left tackle for 10 yards (tackle by Keanu Neal),1.67,2.46,8.0,2023,113
2.0,2:45,1.0,10.0,PIT 47,6.0,3.0,Travis Etienne right guard for 3 yards (tackle by Larry Ogunjobi and Chandon Sullivan),2.46,2.32,8.0,2023,113
2.0,2:06,2.0,7.0,PIT 44,6.0,3.0,Trevor Lawrence pass incomplete short middle intended for Christian Kirk,2.32,1.62,8.0,2023,113
2.0,2:02,3.0,7.0,PIT 44,6.0,3.0,"Trevor Lawrence pass complete to Evan Engram for no gain (tackle by Damontae Kazee). Penalty on James Pierre: Defensive Holding, 5 yards (accepted) (no play)",1.62,2.98,8.0,2023,113
2.0,1:57,1.0,10.0,PIT 39,6.0,3.0,Trevor Lawrence pass complete short right to Travis Etienne for 11 yards (tackle by Markus Golden),2.98,3.71,8.0,2023,113
2.0,1:49,1.0,10.0,PIT 28,6.0,3.0,Travis Etienne up the middle for 4 yards (tackle by DeMarvin Leal),3.71,3.71,8.0,2023,113
2.0,1:17,,,,,,Timeout #1 by Jacksonville Jaguars,,,8.0,2023,113
2.0,1:17,2.0,6.0,PIT 24,6.0,3.0,Trevor Lawrence pass complete short right to Calvin Ridley for 4 yards (tackle by Keanu Neal),3.71,3.53,8.0,2023,113
2.0,1:10,,,,,,Timeout #1 by Pittsburgh Steelers,,,8.0,2023,113
2.0,1:10,3.0,2.0,PIT 20,6.0,3.0,Trevor Lawrence pass complete short left to Evan Engram for no gain (tackle by Cole Holcomb),3.53,2.25,8.0,2023,113
2.0,1:07,,,,,,Timeout #2 by Pittsburgh Steelers,,,8.0,2023,113
2.0,1:07,4.0,2.0,PIT 20,9.0,3.0,Brandon McManus 38 yard field goal good,2.25,3.0,8.0,2023,113
2.0,1:04,,,JAX 35,9.0,3.0,"Brandon McManus kicks off 69 yards, returned by Godwin Igwebuike for 36 yards (tackle by Caleb Johnson)",0.0,1.07,8.0,2023,113
2.0,0:59,1.0,10.0,PIT 32,9.0,3.0,Kenny Pickett pass complete short right to Connor Heyward for 9 yards (tackle by Foyesade Oluokun),1.07,1.74,8.0,2023,113
2.0,0:38,2.0,1.0,PIT 41,9.0,3.0,"Kenny Pickett pass complete short left to Diontae Johnson for 11 yards. Penalty on Devin Lloyd: Defensive Holding, 5 yards (declined)",1.74,2.39,8.0,2023,113
2.0,0:34,1.0,10.0,JAX 48,9.0,3.0,"Kenny Pickett scrambles left end for 10 yards (tackle by Foyesade Oluokun) Replay Assistant challenged the short of the line to gain ruling, and the original play was overturned. Kenny Pickett scrambles left end for 10 yards. Kenny Pickett fumbles, ball out of bounds at JAC-38 (forced by Foyesade Oluokun). Kenny Pickett fumbles out of bounds",2.39,3.05,8.0,2023,113
2.0,0:17,1.0,10.0,JAX 38,9.0,3.0,Kenny Pickett pass incomplete short middle,3.05,2.51,8.0,2023,113
2.0,0:14,,,,,,Timeout #3 by Pittsburgh Steelers,,,8.0,2023,113
2.0,0:14,2.0,10.0,JAX 38,9.0,3.0,Mitchell Trubisky pass incomplete deep left intended for Diontae Johnson,2.51,1.82,8.0,2023,113
2.0,0:06,3.0,10.0,JAX 38,9.0,3.0,"Chris Boswell yard field goal good. Penalty on Isaac Seumalo: Offensive Offside, 5 yards (accepted) (no play)",1.82,1.16,8.0,2023,113
2.0,0:02,3.0,15.0,JAX 43,9.0,3.0,Chris Boswell 61 yard field goal no good,1.16,2.26,8.0,2023,113
3.0,15:00,,,PIT 35,9.0,3.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,113
3.0,15:00,1.0,10.0,JAX 25,9.0,3.0,Trevor Lawrence pass complete short left to Evan Engram for 8 yards (tackle by Cole Holcomb),0.61,1.14,8.0,2023,113
3.0,14:26,2.0,2.0,JAX 33,9.0,3.0,Travis Etienne right guard for 3 yards (tackle by Larry Ogunjobi and Cole Holcomb),1.14,1.33,8.0,2023,113
3.0,13:47,1.0,10.0,JAX 36,9.0,3.0,Trevor Lawrence pass complete short right to Luke Farrell for 5 yards (tackle by Elandon Roberts),1.33,1.47,8.0,2023,113
3.0,13:11,2.0,5.0,JAX 41,9.0,3.0,Trevor Lawrence pass complete short left to Christian Kirk for 10 yards,1.47,2.32,8.0,2023,113
3.0,13:04,1.0,10.0,PIT 49,9.0,3.0,Trevor Lawrence pass complete short left to Christian Kirk for no gain (tackle by Keanu Neal),2.32,1.78,8.0,2023,113
3.0,12:29,2.0,10.0,PIT 49,9.0,3.0,Tank Bigsby left guard for 9 yards (tackle by Keanu Neal),1.78,2.28,8.0,2023,113
3.0,11:44,3.0,1.0,PIT 40,9.0,3.0,Tank Bigsby right guard for 1 yard (tackle by Montravius Adams),2.28,2.98,8.0,2023,113
3.0,11:08,1.0,10.0,PIT 39,9.0,3.0,D'Ernest Johnson right guard for 4 yards (tackle by Armon Watts and Montravius Adams),2.98,2.98,8.0,2023,113
3.0,10:27,2.0,6.0,PIT 35,9.0,3.0,"Tank Bigsby right guard for -1 yards. Tank Bigsby fumbles (forced by Nick Herbig) (tackle by Joey Porter), recovered by Keanu Neal at PIT-36 Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",2.98,-1.33,8.0,2023,113
3.0,10:22,1.0,10.0,PIT 36,9.0,3.0,Najee Harris right tackle for no gain (tackle by Travon Walker and Devin Lloyd),1.33,0.79,8.0,2023,113
3.0,9:43,2.0,10.0,PIT 36,9.0,3.0,Mitchell Trubisky pass incomplete short middle intended for Connor Heyward (defended by Andrew Wingard),0.79,0.1,8.0,2023,113
3.0,9:38,3.0,10.0,PIT 36,9.0,3.0,Mitchell Trubisky sacked by Josh Allen for -9 yards,0.1,-1.57,8.0,2023,113
3.0,9:07,4.0,19.0,PIT 27,9.0,3.0,"Pressley Harvin punts 52 yards, returned by Jamal Agnew for 9 yards (tackle by Miles Killebrew)",-1.57,-0.94,8.0,2023,113
3.0,8:57,1.0,10.0,JAX 30,9.0,3.0,Trevor Lawrence sacked by Elandon Roberts for -6 yards,0.94,-0.42,8.0,2023,113
3.0,8:14,2.0,16.0,JAX 24,9.0,3.0,Trevor Lawrence pass incomplete deep right intended for Calvin Ridley,-0.42,-1.09,8.0,2023,113
3.0,8:09,3.0,16.0,JAX 24,9.0,3.0,Trevor Lawrence pass complete short right to Calvin Ridley for 11 yards (tackle by Joey Porter),-1.09,-1.04,8.0,2023,113
3.0,7:37,4.0,5.0,JAX 35,9.0,3.0,"Logan Cooke punts 54 yards, fair catch by Calvin Austin at PIT-11",-1.04,0.37,8.0,2023,113
3.0,7:33,1.0,10.0,PIT 11,9.0,3.0,Mitchell Trubisky scrambles right end for 5 yards (tackle by Devin Lloyd),-0.37,-0.3,8.0,2023,113
3.0,6:58,2.0,5.0,PIT 16,9.0,3.0,Jaylen Warren left tackle for 8 yards (tackle by Devin Lloyd),-0.3,0.54,8.0,2023,113
3.0,6:15,1.0,10.0,PIT 24,9.0,3.0,Mitchell Trubisky pass incomplete deep left intended for Diontae Johnson,0.54,0.0,8.0,2023,113
3.0,6:09,2.0,10.0,PIT 24,9.0,3.0,Najee Harris right tackle for 3 yards (tackle by Foyesade Oluokun and Andrew Wingard),0.0,-0.3,8.0,2023,113
3.0,5:28,3.0,7.0,PIT 27,9.0,3.0,"Mitchell Trubisky pass complete deep right to George Pickens for no gain (tackle by Montaric Brown) JAX challenged the pass completion ruling, and the original play was overturned. Mitchell Trubisky pass incomplete deep right intended for George Pickens",-0.3,-1.57,8.0,2023,113
3.0,5:24,4.0,7.0,PIT 27,9.0,3.0,Pressley Harvin punts 29 yards out of bounds,-1.57,-1.86,8.0,2023,113
3.0,5:18,1.0,10.0,JAX 44,9.0,3.0,Trevor Lawrence pass incomplete short right intended for Travis Etienne,1.86,1.32,8.0,2023,113
3.0,5:14,2.0,10.0,JAX 44,15.0,3.0,"Trevor Lawrence pass complete deep right to Travis Etienne for 56 yards, touchdown",1.32,7.0,8.0,2023,113
3.0,5:05,,,PIT 2,17.0,3.0,"Two Point Attempt: Travis Etienne rushes, conversion succeeds.",1.0,1.0,8.0,2023,113
3.0,5:05,,,JAX 35,17.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,113
3.0,5:05,1.0,10.0,PIT 25,17.0,3.0,Mitchell Trubisky pass complete short left to Najee Harris for 4 yards (tackle by K'Lavon Chaisson),0.61,0.6,8.0,2023,113
3.0,4:40,2.0,6.0,PIT 29,17.0,3.0,Mitchell Trubisky pass complete short right to Diontae Johnson for 11 yards (tackle by Darious Williams),0.6,1.6,8.0,2023,113
3.0,3:59,1.0,10.0,PIT 40,17.0,3.0,Mitchell Trubisky pass incomplete short right intended for George Pickens (defended by K'Lavon Chaisson),1.6,1.05,8.0,2023,113
3.0,3:54,2.0,10.0,PIT 40,17.0,3.0,Mitchell Trubisky scrambles right end for 8 yards (tackle by Foyesade Oluokun),1.05,1.42,8.0,2023,113
3.0,3:15,3.0,2.0,PIT 48,17.0,3.0,Mitchell Trubisky pass complete short middle to Diontae Johnson for 12 yards (tackle by Rayshawn Jenkins),1.42,2.92,8.0,2023,113
3.0,2:22,1.0,10.0,JAX 40,17.0,3.0,Mitchell Trubisky pass complete short middle to Jaylen Warren for 11 yards (tackle by Devin Lloyd),2.92,3.64,8.0,2023,113
3.0,1:40,1.0,10.0,JAX 29,17.0,3.0,Jaylen Warren up the middle for 7 yards (tackle by Devin Lloyd and Tre Herndon),3.64,4.05,8.0,2023,113
3.0,0:59,2.0,3.0,JAX 22,17.0,9.0,"Mitchell Trubisky pass complete short left to George Pickens for 22 yards, touchdown",4.05,7.0,8.0,2023,113
3.0,0:53,,,JAX 15,17.0,10.0,Chris Boswell kicks extra point good,0.0,0.0,8.0,2023,113
3.0,0:53,,,PIT 35,17.0,10.0,"Chris Boswell kicks off 65 yards, returned by Jamal Agnew for 27 yards (tackle by Rodney Williams)",0.0,0.74,8.0,2023,113
3.0,0:47,1.0,10.0,JAX 27,17.0,10.0,Travis Etienne right end for 4 yards (tackle by Elandon Roberts),0.74,0.74,8.0,2023,113
4.0,15:00,2.0,6.0,JAX 31,17.0,10.0,Trevor Lawrence pass complete short left to Evan Engram for 5 yards (tackle by Keanu Neal),0.74,0.7,8.0,2023,113
4.0,14:28,3.0,1.0,JAX 36,17.0,10.0,Trevor Lawrence pass complete short left to Travis Etienne for 3 yards (tackle by Cole Holcomb),0.7,1.53,8.0,2023,113
4.0,13:52,1.0,10.0,JAX 39,17.0,10.0,"Penalty on Luke Farrell: False Start, 5 yards (accepted) (no play)",1.53,1.2,8.0,2023,113
4.0,13:52,1.0,15.0,JAX 34,17.0,10.0,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Damontae Kazee),1.2,1.26,8.0,2023,113
4.0,13:15,2.0,8.0,JAX 41,17.0,10.0,Travis Etienne right tackle for 3 yards (tackle by Larry Ogunjobi),1.26,0.96,8.0,2023,113
4.0,12:32,3.0,5.0,JAX 44,17.0,10.0,Trevor Lawrence pass complete short left to Evan Engram for 11 yards (tackle by Patrick Peterson),0.96,2.59,8.0,2023,113
4.0,11:55,1.0,10.0,PIT 45,17.0,10.0,Travis Etienne left tackle for 13 yards (tackle by Patrick Peterson),2.59,3.45,8.0,2023,113
4.0,11:12,1.0,10.0,PIT 32,17.0,10.0,Trevor Lawrence pass incomplete deep middle intended for Calvin Ridley,3.45,2.9,8.0,2023,113
4.0,11:07,2.0,10.0,PIT 32,17.0,10.0,Trevor Lawrence pass incomplete short middle intended for Travis Etienne,2.9,2.21,8.0,2023,113
4.0,11:04,3.0,10.0,PIT 32,17.0,10.0,Trevor Lawrence sacked by and T.J. Watt for -8 yards and Armon Watts for -8 yards,2.21,0.59,8.0,2023,113
4.0,10:14,4.0,18.0,PIT 40,17.0,10.0,"Logan Cooke punts 40 yards, touchback.",0.59,-0.28,8.0,2023,113
4.0,10:14,1.0,10.0,PIT 20,17.0,10.0,"Penalty on Travon Walker: Defensive Offside, 5 yards (accepted) (no play)",0.28,1.01,8.0,2023,113
4.0,10:03,1.0,5.0,PIT 25,17.0,10.0,Najee Harris up the middle for 2 yards (tackle by Roy Robertson-Harris and Folorunso Fatukasi),1.01,0.68,8.0,2023,113
4.0,9:26,,,,,,Timeout #1 by Pittsburgh Steelers,,,8.0,2023,113
4.0,9:26,2.0,3.0,PIT 27,17.0,10.0,Mitchell Trubisky pass deep right intended for Allen Robinson is intercepted by Andrew Wingard at JAC-41 and returned for no gain (tackle by Allen Robinson),0.68,-1.66,8.0,2023,113
4.0,9:20,1.0,10.0,JAX 41,17.0,10.0,Travis Etienne left tackle for 2 yards (tackle by Montravius Adams and Larry Ogunjobi),1.66,1.39,8.0,2023,113
4.0,8:39,2.0,8.0,JAX 43,17.0,10.0,Trevor Lawrence pass complete short middle to Evan Engram for 15 yards (tackle by Keanu Neal),1.39,2.79,8.0,2023,113
4.0,7:53,1.0,10.0,PIT 42,17.0,10.0,"Travis Etienne right guard for no gain (tackle by Alex Highsmith and Cole Holcomb). Penalty on Luke Fortner: Offensive Holding, 10 yards (accepted) (no play)",2.79,2.13,8.0,2023,113
4.0,7:30,1.0,20.0,JAX 48,17.0,10.0,Trevor Lawrence pass complete short middle to Evan Engram for 34 yards (tackle by Joey Porter),2.13,4.37,8.0,2023,113
4.0,6:41,1.0,10.0,PIT 18,17.0,10.0,Travis Etienne left guard for 1 yard (tackle by Alex Highsmith),4.37,3.94,8.0,2023,113
4.0,6:03,,,,,,Timeout #1 by Jacksonville Jaguars,,,8.0,2023,113
4.0,6:03,2.0,9.0,PIT 17,17.0,10.0,"Penalty on Luke Farrell: False Start, 5 yards (accepted) (no play)",3.94,3.29,8.0,2023,113
4.0,6:03,2.0,14.0,PIT 22,17.0,10.0,Travis Etienne left tackle for -1 yards (tackle by Miles Killebrew),3.29,2.48,8.0,2023,113
4.0,5:19,3.0,15.0,PIT 23,17.0,10.0,D'Ernest Johnson up the middle for 4 yards (tackle by T.J. Watt),2.48,2.18,8.0,2023,113
4.0,4:38,4.0,11.0,PIT 19,20.0,10.0,Brandon McManus 37 yard field goal good,2.18,3.0,8.0,2023,113
4.0,4:35,,,JAX 35,20.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,113
4.0,4:35,1.0,10.0,PIT 25,20.0,10.0,Mitchell Trubisky pass complete short left to Connor Heyward for 4 yards (tackle by Devin Lloyd),0.61,0.6,8.0,2023,113
4.0,4:17,2.0,6.0,PIT 29,20.0,10.0,Mitchell Trubisky pass complete short middle to Jaylen Warren for 4 yards (tackle by Dawuane Smoot),0.6,0.43,8.0,2023,113
4.0,3:52,3.0,2.0,PIT 33,20.0,10.0,Mitchell Trubisky pass complete short middle to Connor Heyward for 3 yards (tackle by Foyesade Oluokun),0.43,1.33,8.0,2023,113
4.0,3:33,1.0,10.0,PIT 36,20.0,10.0,Mitchell Trubisky pass complete short middle to Jaylen Warren for 5 yards (tackle by Devin Lloyd),1.33,1.47,8.0,2023,113
4.0,3:12,2.0,5.0,PIT 41,20.0,10.0,Mitchell Trubisky scrambles up the middle for 5 yards (tackle by Devin Lloyd),1.47,1.99,8.0,2023,113
4.0,3:05,1.0,10.0,PIT 46,20.0,10.0,Mitchell Trubisky pass incomplete short left intended for Rodney Williams,1.99,1.45,8.0,2023,113
4.0,3:01,2.0,10.0,PIT 46,20.0,10.0,Mitchell Trubisky sacked by Josh Allen for -6 yards,1.45,-0.03,8.0,2023,113
4.0,2:35,3.0,16.0,PIT 40,20.0,10.0,Mitchell Trubisky pass incomplete deep right intended for George Pickens (defended by Darious Williams),-0.03,-0.72,8.0,2023,113
4.0,2:30,4.0,16.0,PIT 40,20.0,10.0,Mitchell Trubisky pass incomplete short left intended for Jaylen Warren,-0.72,-2.92,8.0,2023,113
4.0,2:25,1.0,10.0,PIT 40,20.0,10.0,Travis Etienne up the middle for no gain (tackle by Alex Highsmith),2.92,2.37,8.0,2023,113
4.0,2:21,,,,,,Timeout #2 by Pittsburgh Steelers,,,8.0,2023,113
4.0,2:21,2.0,10.0,PIT 40,20.0,10.0,Travis Etienne right guard for -4 yards (tackle by Alex Highsmith),2.37,1.16,8.0,2023,113
4.0,2:17,,,,,,Timeout #3 by Pittsburgh Steelers,,,8.0,2023,113
4.0,2:17,3.0,14.0,PIT 44,20.0,10.0,"Penalty on Larry Ogunjobi: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.16,1.82,8.0,2023,113
