Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA,week,year,game_id
2.0,2:44,,,SFO 35,14.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,118
2.0,2:44,1.0,10.0,CIN 25,14.0,10.0,Joe Mixon up the middle for 12 yards (tackle by Tashaun Gipson),0.61,1.4,8.0,2023,118
2.0,2:00,1.0,10.0,CIN 37,14.0,10.0,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Isaiah Oliver),1.4,2.07,8.0,2023,118
2.0,1:54,2.0,1.0,CIN 46,14.0,10.0,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Deommodore Lenoir and Talanoa Hufanga),2.07,2.59,8.0,2023,118
2.0,1:35,1.0,10.0,SFO 45,14.0,10.0,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards,2.59,3.19,8.0,2023,118
2.0,1:23,2.0,1.0,SFO 37,14.0,10.0,Trayveon Williams up the middle for 7 yards (tackle by Arik Armstead and Clelin Ferrell),3.19,3.58,8.0,2023,118
2.0,1:02,1.0,10.0,SFO 30,14.0,10.0,Joe Burrow pass complete short middle to Tyler Boyd for 11 yards (tackle by Tashaun Gipson and Isaiah Oliver),3.58,4.31,8.0,2023,118
2.0,0:52,,,,,,Timeout #1 by Cincinnati Bengals,,,8.0,2023,118
2.0,0:52,1.0,10.0,SFO 19,14.0,10.0,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Dre Greenlaw and Fred Warner),4.31,5.36,8.0,2023,118
2.0,0:41,,,,,,Timeout #2 by Cincinnati Bengals,,,8.0,2023,118
2.0,0:41,2.0,1.0,SFO 10,14.0,10.0,Joe Burrow pass complete short left to Joe Mixon for 7 yards (tackle by Talanoa Hufanga),5.36,6.51,8.0,2023,118
2.0,0:38,,,,,,Timeout #2 by San Francisco 49ers,,,8.0,2023,118
2.0,0:38,1.0,3.0,SFO 3,14.0,10.0,"Joe Burrow pass complete short right to Irv Smith for -1 yards. Irv Smith fumbles (forced by Clelin Ferrell), recovered by Isaiah Oliver at SF-5 (tackle by Clelin Ferrell) (tackle by Clelin Ferrell) (tackle by Isaiah Oliver)",6.51,0.38,8.0,2023,118
2.0,0:31,1.0,10.0,SFO 5,14.0,10.0,Brock Purdy pass complete deep middle to George Kittle for 34 yards (tackle by Daxton Hill),-0.38,1.53,8.0,2023,118
2.0,0:24,,,,,,Timeout #3 by San Francisco 49ers,,,8.0,2023,118
2.0,0:24,1.0,10.0,SFO 39,14.0,10.0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,1.53,0.99,8.0,2023,118
2.0,0:19,2.0,10.0,SFO 39,14.0,10.0,Brock Purdy pass incomplete short left,0.99,0.3,8.0,2023,118
2.0,0:13,3.0,10.0,SFO 39,14.0,10.0,Christian McCaffrey right tackle for 16 yards (tackle by Logan Wilson and Nick Scott),0.3,2.59,8.0,2023,118
3.0,15:00,,,SFO 35,14.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,118
3.0,15:00,1.0,10.0,CIN 25,14.0,10.0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Charvarius Ward),0.61,0.06,8.0,2023,118
3.0,14:56,2.0,10.0,CIN 25,14.0,10.0,"Joe Burrow pass incomplete intended for Ja'Marr Chase. Penalty on Charvarius Ward: Defensive Pass Interference, 14 yards (accepted) (no play)",0.06,1.53,8.0,2023,118
3.0,14:52,1.0,10.0,CIN 39,14.0,10.0,Joe Mixon up the middle for 1 yard (tackle by Talanoa Hufanga and Arik Armstead),1.53,1.12,8.0,2023,118
3.0,14:16,2.0,9.0,CIN 40,14.0,10.0,Joe Burrow scrambles right tackle for 20 yards (tackle by Talanoa Hufanga),1.12,2.92,8.0,2023,118
3.0,13:31,1.0,10.0,SFO 40,14.0,10.0,Joe Mixon right end for 1 yard (tackle by Charvarius Ward and Clelin Ferrell),2.92,2.51,8.0,2023,118
3.0,12:49,2.0,9.0,SFO 39,14.0,10.0,Joe Burrow sacked by Arik Armstead for -7 yards,2.51,0.89,8.0,2023,118
3.0,12:06,3.0,16.0,SFO 46,14.0,10.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Talanoa Hufanga),0.89,0.72,8.0,2023,118
3.0,11:14,4.0,8.0,SFO 38,17.0,10.0,Evan McPherson 56 yard field goal good,0.72,3.0,8.0,2023,118
3.0,11:09,,,CIN 35,17.0,10.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,118
3.0,11:09,1.0,10.0,SFO 25,17.0,10.0,"Christian McCaffrey for no gain. Penalty on Spencer Burford: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,8.0,2023,118
3.0,10:49,1.0,20.0,SFO 15,17.0,10.0,Brock Purdy scrambles left end for 2 yards (tackle by D.J. Reader),-0.41,-1.15,8.0,2023,118
3.0,10:05,2.0,18.0,SFO 17,17.0,10.0,Brock Purdy pass complete deep middle to George Kittle for 32 yards (tackle by Daxton Hill),-1.15,2.19,8.0,2023,118
3.0,9:22,1.0,10.0,SFO 49,17.0,10.0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,2.19,1.65,8.0,2023,118
3.0,9:14,2.0,10.0,SFO 49,17.0,10.0,Christian McCaffrey up the middle for 3 yards (tackle by Cameron Sample),1.65,1.36,8.0,2023,118
3.0,8:34,3.0,7.0,CIN 48,17.0,10.0,Brock Purdy pass incomplete short middle intended for George Kittle,1.36,0.07,8.0,2023,118
3.0,8:30,4.0,7.0,CIN 48,17.0,10.0,"Mitch Wishnowsky punts 29 yards, fair catch by Trenton Irwin at CIN-19",0.07,-0.15,8.0,2023,118
3.0,8:22,1.0,10.0,CIN 19,17.0,10.0,Joe Mixon left end for 5 yards (tackle by Javon Kinlaw and Tashaun Gipson),0.15,0.34,8.0,2023,118
3.0,7:47,2.0,5.0,CIN 24,17.0,10.0,Ja'Marr Chase right end for -8 yards (tackle by Isaiah Oliver),0.34,-1.59,8.0,2023,118
3.0,7:05,3.0,13.0,CIN 16,17.0,10.0,Joe Burrow pass complete short right to Irv Smith for 11 yards (tackle by Fred Warner and Dre Greenlaw),-1.59,-1.57,8.0,2023,118
3.0,6:18,4.0,2.0,CIN 27,17.0,10.0,"Brad Robbins punts 49 yards, fair catch by Ray-Ray McCloud at SF-24",-1.57,-0.54,8.0,2023,118
3.0,6:09,1.0,10.0,SFO 24,17.0,10.0,Brock Purdy pass complete short left to Brandon Aiyuk for 15 yards (tackle by Cam Taylor-Britt),0.54,1.53,8.0,2023,118
3.0,5:30,1.0,10.0,SFO 39,17.0,10.0,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Myles Murphy),1.53,1.93,8.0,2023,118
3.0,4:50,2.0,3.0,SFO 46,17.0,10.0,Brock Purdy pass complete short right to George Kittle for 20 yards (tackle by Nick Scott),1.93,3.31,8.0,2023,118
3.0,4:03,1.0,10.0,CIN 34,17.0,10.0,Christian McCaffrey left tackle for 3 yards (tackle by Nick Scott and Sam Hubbard),3.31,3.18,8.0,2023,118
3.0,3:19,2.0,7.0,CIN 31,17.0,10.0,Christian McCaffrey up the middle for 6 yards (tackle by Sam Hubbard),3.18,3.27,8.0,2023,118
3.0,2:34,3.0,1.0,CIN 25,17.0,10.0,Kyle Juszczyk up the middle for 1 yard (tackle by B.J. Hill),3.27,3.97,8.0,2023,118
3.0,1:45,1.0,10.0,CIN 24,17.0,10.0,Christian McCaffrey right end for 4 yards (tackle by Germaine Pratt and Daxton Hill),3.97,3.97,8.0,2023,118
3.0,0:58,2.0,6.0,CIN 20,17.0,10.0,Brock Purdy scrambles left end for 12 yards (tackle by Logan Wilson),3.97,5.37,8.0,2023,118
3.0,0:15,1.0,8.0,CIN 8,17.0,10.0,"Brock Purdy pass short right intended for Elijah Mitchell is intercepted by Germaine Pratt at CIN-10 and returned for 9 yards (tackle by Brock Purdy). Penalty on Aaron Banks: Ineligible Downfield Pass, 5 yards (declined)",5.37,-0.15,8.0,2023,118
3.0,0:04,1.0,10.0,CIN 19,17.0,10.0,Joe Burrow pass complete deep left to Tee Higgins for 33 yards (tackle by Tashaun Gipson),0.15,2.39,8.0,2023,118
4.0,15:00,1.0,10.0,SFO 48,17.0,10.0,Joe Burrow sacked by and Clelin Ferrell for -3 yards and Nick Bosa for -3 yards,2.39,1.44,8.0,2023,118
4.0,14:14,2.0,13.0,CIN 49,17.0,10.0,Joe Mixon up the middle for 6 yards (tackle by Dre Greenlaw),1.44,1.55,8.0,2023,118
4.0,13:31,3.0,7.0,SFO 45,17.0,10.0,"Joe Burrow pass complete to Ja'Marr Chase for no gain. Ja'Marr Chase fumbles (forced by Charvarius Ward), recovered by Tashaun Gipson at SF-38 (tackle by Orlando Brown) Replay Assistant challenged the fumble ruling, and the original play was overturned. Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Charvarius Ward)",1.55,0.27,8.0,2023,118
4.0,13:26,4.0,7.0,SFO 45,17.0,10.0,"Brad Robbins punts 45 yards, touchback.",0.27,-0.28,8.0,2023,118
4.0,13:17,1.0,10.0,SFO 20,17.0,10.0,Brock Purdy pass short middle intended for Brandon Aiyuk is intercepted by Logan Wilson at SF-33 and returned for 16 yards (tackle by George Kittle),0.28,-4.44,8.0,2023,118
4.0,13:08,1.0,10.0,SFO 17,23.0,10.0,"Joe Burrow pass complete deep right to Ja'Marr Chase for 17 yards, touchdown",4.44,7.0,8.0,2023,118
4.0,13:04,,,SFO 15,24.0,10.0,Evan McPherson kicks extra point good,0.0,0.0,8.0,2023,118
4.0,13:04,,,CIN 35,24.0,10.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,118
4.0,13:04,1.0,10.0,SFO 25,24.0,10.0,Brock Purdy pass complete short right to Christian McCaffrey for 9 yards (tackle by Germaine Pratt and Logan Wilson),0.61,1.28,8.0,2023,118
4.0,12:27,2.0,1.0,SFO 34,24.0,10.0,Christian McCaffrey left tackle for 3 yards (tackle by Zachary Carter),1.28,1.4,8.0,2023,118
4.0,11:51,1.0,10.0,SFO 37,24.0,10.0,Brock Purdy pass complete deep right to Brandon Aiyuk for 25 yards (tackle by Logan Wilson),1.4,3.05,8.0,2023,118
4.0,11:09,1.0,10.0,CIN 38,24.0,10.0,Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards (tackle by Logan Wilson),3.05,3.18,8.0,2023,118
4.0,10:30,2.0,5.0,CIN 33,24.0,10.0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,3.18,2.48,8.0,2023,118
4.0,10:24,3.0,5.0,CIN 33,24.0,10.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 15 yards (tackle by Cam Taylor-Britt),2.48,4.37,8.0,2023,118
4.0,9:45,1.0,10.0,CIN 18,24.0,10.0,Christian McCaffrey up the middle for 4 yards (tackle by Logan Wilson),4.37,4.43,8.0,2023,118
4.0,9:09,2.0,6.0,CIN 14,24.0,10.0,Brock Purdy pass incomplete short middle intended for George Kittle,4.43,3.63,8.0,2023,118
4.0,9:03,3.0,6.0,CIN 14,24.0,10.0,Brock Purdy pass complete short middle to George Kittle for 10 yards (tackle by DJ Turner),3.63,6.28,8.0,2023,118
4.0,8:18,1.0,4.0,CIN 4,24.0,16.0,"Brock Purdy pass complete short middle to Christian McCaffrey for 4 yards, touchdown",6.28,7.0,8.0,2023,118
4.0,8:12,,,CIN 15,24.0,17.0,Jake Moody kicks extra point good,0.0,0.0,8.0,2023,118
4.0,8:12,,,SFO 35,24.0,17.0,"Jake Moody kicks off 55 yards, returned by Trayveon Williams for 12 yards (tackle by George Odum and Dee Winters)",0.0,0.41,8.0,2023,118
4.0,8:07,1.0,10.0,CIN 22,24.0,17.0,Joe Burrow pass complete short left to Trenton Irwin for 3 yards (tackle by Talanoa Hufanga),0.41,0.27,8.0,2023,118
4.0,7:33,2.0,7.0,CIN 25,24.0,17.0,Joe Burrow pass complete short right to Trenton Irwin for 21 yards (tackle by Talanoa Hufanga),0.27,1.99,8.0,2023,118
4.0,6:43,1.0,10.0,CIN 46,24.0,17.0,Ja'Marr Chase left end for no gain (tackle by Isaiah Oliver),1.99,1.45,8.0,2023,118
4.0,6:05,2.0,10.0,CIN 46,24.0,17.0,Joe Burrow pass complete deep left to Ja'Marr Chase for 20 yards,1.45,3.31,8.0,2023,118
4.0,5:31,1.0,10.0,SFO 34,24.0,17.0,Joe Mixon left tackle for 4 yards (tackle by Charvarius Ward and Fred Warner),3.31,3.31,8.0,2023,118
4.0,4:43,2.0,6.0,SFO 30,24.0,17.0,Joe Burrow scrambles right guard for 10 yards (tackle by Dre Greenlaw and Deommodore Lenoir),3.31,4.24,8.0,2023,118
4.0,4:24,,,,,,Timeout #1 by San Francisco 49ers,,,8.0,2023,118
4.0,4:24,1.0,10.0,SFO 20,24.0,17.0,Joe Mixon left end for 9 yards (tackle by Deommodore Lenoir),4.24,5.26,8.0,2023,118
4.0,3:49,2.0,1.0,SFO 11,24.0,17.0,Joe Burrow up the middle for 3 yards (tackle by Oren Burks),5.26,5.14,8.0,2023,118
4.0,3:43,,,,,,Timeout #2 by San Francisco 49ers,,,8.0,2023,118
4.0,3:43,1.0,9.0,SFO 9,24.0,17.0,Joe Mixon left tackle for 3 yards (tackle by Clelin Ferrell and Isaiah Oliver),5.14,5.15,8.0,2023,118
4.0,2:59,2.0,5.0,SFO 5,30.0,17.0,"Joe Mixon left end for 5 yards, touchdown",5.15,7.0,8.0,2023,118
4.0,2:54,,,SFO 15,31.0,17.0,Evan McPherson kicks extra point good,0.0,0.0,8.0,2023,118
4.0,2:54,,,CIN 35,31.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,118
4.0,2:54,1.0,10.0,SFO 25,31.0,17.0,Brock Purdy pass complete short right to George Kittle for 14 yards (tackle by Cam Taylor-Britt and Germaine Pratt),0.61,1.53,8.0,2023,118
4.0,2:32,1.0,10.0,SFO 39,31.0,17.0,Brock Purdy pass complete short middle to George Kittle for 8 yards (tackle by Logan Wilson),1.53,2.07,8.0,2023,118
4.0,2:16,2.0,2.0,SFO 47,31.0,17.0,Brock Purdy pass complete short middle to George Kittle for 18 yards (tackle by Logan Wilson),2.07,3.25,8.0,2023,118
4.0,2:03,1.0,10.0,CIN 35,31.0,17.0,Brock Purdy sacked by Sam Hubbard for -6 yards,3.25,1.89,8.0,2023,118
4.0,2:00,2.0,16.0,CIN 41,31.0,17.0,"Brock Purdy pass is intercepted by Daxton Hill at CIN-32 and returned for no gain. Penalty on D.J. Reader: Roughing the Passer, 15 yards (accepted) (no play)",1.89,3.84,8.0,2023,118
4.0,1:53,1.0,10.0,CIN 26,31.0,17.0,"Brock Purdy sacked by Trey Hendrickson for -12 yards. Brock Purdy fumbles (forced by Trey Hendrickson), recovered by B.J. Hill at CIN-38 (tackle by Trey Hendrickson)",3.84,-1.47,8.0,2023,118
4.0,1:45,1.0,10.0,CIN 38,31.0,17.0,Joe Mixon left tackle for -2 yards (tackle by Fred Warner),1.47,0.65,8.0,2023,118
4.0,1:42,,,,,,Timeout #3 by San Francisco 49ers,,,8.0,2023,118
4.0,1:42,2.0,12.0,CIN 36,31.0,17.0,Trayveon Williams up the middle for -1 yards (tackle by Tashaun Gipson and Fred Warner),0.65,-0.16,8.0,2023,118
4.0,0:57,,,,,,Timeout #1 by Cincinnati Bengals,,,8.0,2023,118
4.0,0:57,3.0,13.0,CIN 35,31.0,17.0,Joe Burrow kneels for -1 yards,-0.16,-1.11,8.0,2023,118
4.0,0:16,,,,,,Timeout #2 by Cincinnati Bengals,,,8.0,2023,118
4.0,0:16,4.0,14.0,CIN 34,31.0,17.0,Brad Robbins punts 46 yards out of bounds,-1.11,-0.28,8.0,2023,118
4.0,0:12,1.0,10.0,SFO 20,31.0,17.0,Brock Purdy pass complete short left to Christian McCaffrey for 28 yards (tackle by Jay Tufele),0.28,2.13,8.0,2023,118
4.0,0:04,1.0,10.0,SFO 48,31.0,17.0,Brock Purdy pass complete short right to Ray-Ray McCloud for 41 yards (tackle by Daxton Hill),2.13,4.84,8.0,2023,118
