Quarter,Time,Down,ToGo,Location,TAM,BUF,Detail,EPB,EPA,week,year,game_id
1.0,4:26,4.0,2.0,BUF 32,0.0,3.0,Chase McLaughlin 50 yard field goal no good blocked by Shaq Lawson,1.3,-1.6,8.0,2023,107
1.0,4:21,1.0,10.0,BUF 40,0.0,3.0,Josh Allen pass complete short middle to Stefon Diggs for 17 yards (tackle by Carlton Davis),1.6,2.72,8.0,2023,107
1.0,3:35,1.0,10.0,TAM 43,0.0,3.0,"Josh Allen pass complete to Gabriel Davis for no gain. Penalty on Trent Sherfield: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06,8.0,2023,107
1.0,3:11,1.0,20.0,BUF 47,0.0,3.0,Josh Allen pass complete short right to Gabriel Davis for 9 yards (tackle by Jamel Dean),2.06,2.04,8.0,2023,107
1.0,2:52,2.0,11.0,TAM 44,0.0,3.0,Josh Allen pass complete short left to James Cook for 6 yards (tackle by Shaquil Barrett and Lavonte David),2.04,2.15,8.0,2023,107
1.0,2:32,3.0,5.0,TAM 38,0.0,3.0,Josh Allen pass complete deep right to Khalil Shakir for 30 yards (tackle by Ryan Neal),2.15,5.37,8.0,2023,107
1.0,1:49,1.0,8.0,TAM 8,0.0,3.0,James Cook right guard for 4 yards (tackle by Jamel Dean),5.37,5.34,8.0,2023,107
1.0,1:07,2.0,4.0,TAM 4,0.0,3.0,Josh Allen pass complete short middle to Dalton Kincaid for 3 yards (tackle by Lavonte David),5.34,5.17,8.0,2023,107
1.0,0:38,3.0,1.0,TAM 1,0.0,3.0,Latavius Murray up the middle for no gain (tackle by Lavonte David and Shaquil Barrett),5.17,3.55,8.0,2023,107
2.0,15:00,4.0,1.0,TAM 1,0.0,3.0,Josh Allen pass incomplete short left intended for Dalton Kincaid (defended by Jamel Dean),3.55,0.38,8.0,2023,107
2.0,14:57,1.0,10.0,TAM 1,0.0,3.0,Chase Edmonds up the middle for 2 yards (tackle by Shaq Lawson),-0.38,-0.63,8.0,2023,107
2.0,14:17,2.0,8.0,TAM 3,0.0,3.0,Baker Mayfield pass incomplete short middle intended for Chase Edmonds (defended by Jordan Phillips),-0.63,-1.19,8.0,2023,107
2.0,14:09,3.0,8.0,TAM 3,0.0,3.0,Baker Mayfield pass incomplete short middle intended for Trey Palmer (defended by Terrel Bernard),-1.19,-2.49,8.0,2023,107
2.0,14:04,4.0,8.0,TAM 3,0.0,3.0,"Jake Camarda punts 44 yards, returned by Deonte Harty for 24 yards (tackle by Josh Hayes)",-2.49,-4.04,8.0,2023,107
2.0,13:48,1.0,10.0,TAM 23,0.0,3.0,James Cook right guard for 8 yards (tackle by Deadrin Senat and Ryan Neal),4.04,4.75,8.0,2023,107
2.0,13:09,2.0,2.0,TAM 15,0.0,3.0,James Cook right guard for 1 yard (tackle by Anthony Nelson),4.75,4.28,8.0,2023,107
2.0,12:33,3.0,1.0,TAM 14,0.0,3.0,Josh Allen left guard for 3 yards (tackle by Lavonte David and Ryan Neal),4.28,4.84,8.0,2023,107
2.0,11:54,1.0,10.0,TAM 11,0.0,3.0,Josh Allen sacked by YaYa Diaby for -2 yards,4.84,3.83,8.0,2023,107
2.0,11:10,2.0,12.0,TAM 13,0.0,9.0,"Josh Allen up the middle for 13 yards, touchdown",3.83,7.0,8.0,2023,107
2.0,11:03,,,TAM 15,0.0,10.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2023,107
2.0,11:03,,,BUF 35,0.0,10.0,"Tyler Bass kicks off 60 yards,",0.0,0.61,8.0,2023,107
2.0,11:03,1.0,10.0,TAM 25,0.0,10.0,Rachaad White left guard for 3 yards (tackle by Shaq Lawson),0.61,0.47,8.0,2023,107
2.0,10:33,2.0,7.0,TAM 28,0.0,10.0,Rachaad White left guard for 1 yard (tackle by Tyrel Dodson and A.J. Epenesa),0.47,-0.1,8.0,2023,107
2.0,9:54,3.0,6.0,TAM 29,0.0,10.0,Baker Mayfield pass complete short right to Chris Godwin for 31 yards (tackle by Taylor Rapp),-0.1,2.92,8.0,2023,107
2.0,9:14,1.0,10.0,BUF 40,0.0,10.0,"Rachaad White left end for 7 yards (tackle by Micah Hyde). Penalty on Trey Palmer: Offensive Holding, 10 yards (accepted)",2.92,2.72,8.0,2023,107
2.0,8:52,1.0,13.0,BUF 43,0.0,10.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",2.72,2.39,8.0,2023,107
2.0,8:36,1.0,18.0,BUF 48,0.0,10.0,Baker Mayfield pass incomplete short left intended for Rakim Jarrett,2.39,1.29,8.0,2023,107
2.0,8:28,2.0,18.0,BUF 48,0.0,10.0,Baker Mayfield pass complete short left to Chris Godwin for 9 yards (tackle by Tyrel Dodson and Jordan Poyer),1.29,1.82,8.0,2023,107
2.0,7:53,3.0,9.0,BUF 39,0.0,10.0,Baker Mayfield pass incomplete short left intended for Mike Evans,1.82,0.66,8.0,2023,107
2.0,7:45,4.0,9.0,BUF 39,3.0,10.0,Chase McLaughlin 57 yard field goal good,0.66,3.0,8.0,2023,107
2.0,7:40,,,TAM 35,3.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,107
2.0,7:40,1.0,10.0,BUF 25,3.0,10.0,Josh Allen pass short middle (defended by Antoine Winfield) intended for Dalton Kincaid is intercepted by William Gholston at BUF-23 and returned for no gain (tackle by Mitch Morse),0.61,-4.04,8.0,2023,107
2.0,7:33,1.0,10.0,BUF 23,3.0,10.0,Baker Mayfield pass complete short left to Rachaad White for 20 yards (tackle by Christian Benford and Jordan Poyer),4.04,6.51,8.0,2023,107
2.0,6:51,1.0,3.0,BUF 3,9.0,10.0,"Baker Mayfield pass complete short middle to Chris Godwin for 3 yards, touchdown",6.51,7.0,8.0,2023,107
2.0,6:46,,,BUF 15,10.0,10.0,Chase McLaughlin kicks extra point good,0.0,0.0,8.0,2023,107
2.0,6:46,,,TAM 35,10.0,10.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,107
2.0,6:46,1.0,10.0,BUF 25,10.0,10.0,James Cook right end for 18 yards (tackle by Ryan Neal and Devin White),0.61,1.8,8.0,2023,107
2.0,6:10,1.0,10.0,BUF 43,10.0,10.0,Josh Allen pass complete short left to Gabriel Davis for 14 yards (tackle by Carlton Davis),1.8,2.72,8.0,2023,107
2.0,5:35,1.0,10.0,TAM 43,10.0,10.0,Josh Allen pass complete short left to Gabriel Davis for 2 yards (tackle by Jamel Dean),2.72,2.45,8.0,2023,107
2.0,5:04,2.0,8.0,TAM 41,10.0,10.0,James Cook right guard for 5 yards (tackle by Ryan Neal),2.45,2.48,8.0,2023,107
2.0,4:37,3.0,2.0,TAM 36,10.0,10.0,James Cook for 4 yards (tackle by Ryan Neal),2.48,3.45,8.0,2023,107
2.0,3:59,1.0,10.0,TAM 32,10.0,10.0,Josh Allen pass complete short left to Stefon Diggs for 12 yards (tackle by Ryan Neal),3.45,4.24,8.0,2023,107
2.0,3:29,1.0,10.0,TAM 20,10.0,10.0,Josh Allen pass incomplete short left intended for Gabriel Davis,4.24,3.69,8.0,2023,107
2.0,3:27,2.0,10.0,TAM 20,10.0,10.0,James Cook left guard for -2 yards (tackle by Lavonte David and Antoine Winfield),3.69,2.74,8.0,2023,107
2.0,2:46,3.0,12.0,TAM 22,10.0,16.0,"Josh Allen pass complete short right to Dalton Kincaid for 22 yards, touchdown",2.74,7.0,8.0,2023,107
2.0,2:40,,,TAM 15,10.0,17.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2023,107
2.0,2:40,,,BUF 35,10.0,17.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,107
2.0,2:40,1.0,10.0,TAM 25,10.0,17.0,Rachaad White left guard for 15 yards (tackle by Jordan Poyer),0.61,1.6,8.0,2023,107
2.0,2:19,1.0,10.0,TAM 40,10.0,17.0,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Terrel Bernard),1.6,2.0,8.0,2023,107
2.0,2:00,2.0,3.0,TAM 47,10.0,17.0,Rachaad White left tackle for no gain (tackle by Ed Oliver and Gregory Rousseau),2.0,1.29,8.0,2023,107
2.0,1:21,3.0,3.0,TAM 47,10.0,17.0,Baker Mayfield pass complete short right to Chris Godwin for 5 yards (tackle by Dane Jackson),1.29,2.39,8.0,2023,107
2.0,0:57,1.0,10.0,BUF 48,10.0,17.0,Baker Mayfield pass complete short middle to Rachaad White for 6 yards (tackle by Terrel Bernard),2.39,2.66,8.0,2023,107
2.0,0:47,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,8.0,2023,107
2.0,0:47,2.0,4.0,BUF 42,10.0,17.0,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)",2.66,1.98,8.0,2023,107
2.0,0:47,2.0,9.0,BUF 47,10.0,17.0,Baker Mayfield sacked by Ed Oliver for -6 yards,1.98,0.5,8.0,2023,107
2.0,0:39,,,,,,Timeout #3 by Tampa Bay Buccaneers,,,8.0,2023,107
2.0,0:39,3.0,15.0,TAM 47,10.0,17.0,Baker Mayfield pass complete short right to Cade Otton for 12 yards (tackle by Dane Jackson),0.5,0.53,8.0,2023,107
2.0,0:19,,,,,,Timeout #1 by Buffalo Bills,,,8.0,2023,107
2.0,0:19,4.0,3.0,BUF 41,10.0,17.0,"Penalty on TAM: Delay of Game, 5 yards (accepted) (no play)",0.53,0.2,8.0,2023,107
2.0,0:19,4.0,8.0,BUF 46,10.0,17.0,"Jake Camarda punts 46 yards, touchback.",0.2,-0.28,8.0,2023,107
2.0,0:11,1.0,10.0,BUF 20,10.0,17.0,Josh Allen kneels for -1 yards,0.28,-0.46,8.0,2023,107
3.0,15:00,,,TAM 35,10.0,17.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,107
3.0,15:00,1.0,10.0,BUF 25,10.0,17.0,Josh Allen pass complete short left to Dalton Kincaid for 18 yards (tackle by Carlton Davis and Antoine Winfield),0.61,1.8,8.0,2023,107
3.0,14:28,1.0,10.0,BUF 43,10.0,17.0,Josh Allen pass complete short middle to Khalil Shakir for 9 yards (tackle by Lavonte David and Ryan Neal),1.8,2.47,8.0,2023,107
3.0,14:04,2.0,1.0,TAM 48,10.0,17.0,James Cook right guard for 4 yards (tackle by Jamel Dean),2.47,2.65,8.0,2023,107
3.0,13:39,1.0,10.0,TAM 44,10.0,17.0,"Josh Allen scrambles right tackle for 8 yards (tackle by Jamel Dean). Penalty on Ryan Neal: Defensive Holding, 5 yards (accepted)",2.65,3.51,8.0,2023,107
3.0,13:26,1.0,10.0,TAM 31,10.0,17.0,Josh Allen pass complete short right to Gabriel Davis for 11 yards (tackle by Lavonte David and Devin White),3.51,4.24,8.0,2023,107
3.0,12:46,1.0,10.0,TAM 20,10.0,17.0,Josh Allen pass complete short right to Stefon Diggs for 3 yards (tackle by Devin White),4.24,4.12,8.0,2023,107
3.0,12:11,2.0,7.0,TAM 17,10.0,17.0,Josh Allen pass complete short right to Gabriel Davis for 14 yards (tackle by Shaquil Barrett),4.12,6.51,8.0,2023,107
3.0,11:27,1.0,3.0,TAM 3,10.0,17.0,Latavius Murray left tackle for -1 yards (tackle by Anthony Nelson),6.51,5.34,8.0,2023,107
3.0,10:46,2.0,4.0,TAM 4,10.0,23.0,"Josh Allen pass complete short left to Gabriel Davis for 4 yards, touchdown",5.34,7.0,8.0,2023,107
3.0,10:40,,,TAM 15,10.0,24.0,Tyler Bass kicks extra point good,0.0,0.0,8.0,2023,107
3.0,10:40,,,BUF 35,10.0,24.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,107
3.0,10:40,1.0,10.0,TAM 25,10.0,24.0,Baker Mayfield left guard for 11 yards (tackle by Gregory Rousseau),0.61,1.33,8.0,2023,107
3.0,9:57,1.0,10.0,TAM 36,10.0,24.0,Rachaad White up the middle for 2 yards (tackle by Leonard Floyd and Poona Ford),1.33,1.06,8.0,2023,107
3.0,9:14,2.0,8.0,TAM 38,10.0,24.0,Rachaad White left guard for 3 yards (tackle by Leonard Floyd and Taron Johnson),1.06,0.76,8.0,2023,107
3.0,8:35,3.0,5.0,TAM 41,10.0,24.0,Baker Mayfield left guard for 2 yards (tackle by Terrel Bernard),0.76,-0.52,8.0,2023,107
3.0,7:40,4.0,3.0,TAM 43,10.0,24.0,"Jake Camarda punts 48 yards, returned by Deonte Harty for 9 yards (tackle by Ko Kieft and K.J. Britt). Penalty on Josh Hayes: Illegal Touch Kick, 5 yards (accepted)",-0.52,-0.48,8.0,2023,107
3.0,7:40,1.0,10.0,BUF 23,10.0,24.0,Latavius Murray right guard for 2 yards (tackle by Lavonte David),0.48,0.2,8.0,2023,107
3.0,7:06,2.0,8.0,BUF 25,10.0,24.0,Josh Allen pass complete short right to Latavius Murray for 4 yards (tackle by Ryan Neal and Devin White),0.2,0.04,8.0,2023,107
3.0,6:31,3.0,4.0,BUF 29,10.0,24.0,Josh Allen pass complete short left to Dalton Kincaid for 15 yards (tackle by Lavonte David),0.04,1.86,8.0,2023,107
3.0,5:49,1.0,10.0,BUF 44,10.0,24.0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Jamel Dean),1.86,1.99,8.0,2023,107
3.0,5:13,2.0,5.0,BUF 49,10.0,24.0,Josh Allen pass incomplete deep left intended for Stefon Diggs,1.99,1.29,8.0,2023,107
3.0,5:07,3.0,5.0,BUF 49,10.0,24.0,Josh Allen pass incomplete short left intended for Stefon Diggs (defended by Carlton Davis),1.29,-0.13,8.0,2023,107
3.0,5:03,4.0,5.0,BUF 49,10.0,24.0,Sam Martin punts 48 yards out of bounds,-0.13,0.38,8.0,2023,107
3.0,4:53,1.0,10.0,TAM 3,10.0,24.0,Chase Edmonds left end for 2 yards (tackle by Poona Ford and Tyrel Dodson),-0.38,-0.63,8.0,2023,107
3.0,4:11,2.0,8.0,TAM 5,10.0,24.0,Chase Edmonds up the middle for 1 yard (tackle by Taron Johnson),-0.63,-1.07,8.0,2023,107
3.0,3:34,3.0,7.0,TAM 6,10.0,24.0,Baker Mayfield pass complete short left to Chris Godwin for 6 yards (tackle by Jordan Poyer and Micah Hyde),-1.07,-2.49,8.0,2023,107
3.0,2:32,4.0,1.0,TAM 12,10.0,24.0,"Jake Camarda punts 61 yards, returned by Deonte Harty for no gain (tackle by SirVocea Dennis). Penalty on Siran Neal: Offensive Holding, 10 yards (accepted)",-2.49,0.06,8.0,2023,107
3.0,2:32,1.0,10.0,BUF 17,10.0,24.0,Josh Allen pass complete short left to Gabriel Davis for 8 yards (tackle by Ryan Neal),-0.06,0.62,8.0,2023,107
3.0,2:09,2.0,2.0,BUF 25,10.0,24.0,James Cook right guard for 3 yards (tackle by William Gholston and Greg Gaines),0.62,0.81,8.0,2023,107
3.0,1:36,1.0,10.0,BUF 28,10.0,24.0,Josh Allen pass complete short left to Stefon Diggs for 10 yards (tackle by Carlton Davis),0.81,1.47,8.0,2023,107
3.0,1:08,1.0,10.0,BUF 38,10.0,24.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,1.47,0.92,8.0,2023,107
3.0,1:05,2.0,10.0,BUF 38,10.0,24.0,Josh Allen pass incomplete short right intended for Stefon Diggs,0.92,0.23,8.0,2023,107
3.0,1:02,3.0,10.0,BUF 38,10.0,24.0,"Penalty on Calijah Kancey: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.23,0.89,8.0,2023,107
3.0,1:02,3.0,5.0,BUF 43,10.0,24.0,Josh Allen left guard for 9 yards (tackle by Antoine Winfield),0.89,2.39,8.0,2023,107
3.0,0:29,1.0,10.0,TAM 48,10.0,24.0,James Cook up the middle for 9 yards (tackle by Ryan Neal),2.39,3.06,8.0,2023,107
3.0,0:05,2.0,1.0,TAM 39,10.0,24.0,Josh Allen sacked by Anthony Nelson for -10 yards,3.06,1.03,8.0,2023,107
4.0,15:00,3.0,11.0,TAM 49,10.0,24.0,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Lavonte David and Devin White),1.03,0.46,8.0,2023,107
4.0,14:12,4.0,4.0,TAM 42,10.0,24.0,"Penalty on BUF: Delay of Game, 5 yards (accepted) (no play)",0.46,0.13,8.0,2023,107
4.0,14:12,4.0,9.0,TAM 47,10.0,24.0,Sam Martin punts 43 yards downed by Reggie Gilliam,0.13,0.38,8.0,2023,107
4.0,14:02,1.0,10.0,TAM 4,10.0,24.0,Baker Mayfield pass incomplete short middle,-0.38,-0.78,8.0,2023,107
4.0,13:56,2.0,10.0,TAM 4,10.0,24.0,Baker Mayfield right end for 6 yards (tackle by Dane Jackson),-0.78,-0.72,8.0,2023,107
4.0,13:14,3.0,4.0,TAM 10,10.0,24.0,Baker Mayfield pass incomplete short middle intended for Chris Godwin (defended by Jordan Poyer),-0.72,-2.49,8.0,2023,107
4.0,13:08,4.0,4.0,TAM 10,10.0,24.0,"Jake Camarda punts 63 yards, returned by Deonte Harty for 16 yards (tackle by Josh Hayes). Penalty on Cameron Lewis: Offensive Holding, 10 yards (accepted)",-2.49,-1.14,8.0,2023,107
4.0,12:58,1.0,10.0,BUF 33,10.0,24.0,James Cook right tackle for 1 yard (tackle by William Gholston and Christian Izien),1.14,0.73,8.0,2023,107
4.0,12:23,2.0,9.0,BUF 34,10.0,24.0,Josh Allen pass complete short right to Khalil Shakir for 14 yards (tackle by Ryan Neal),0.73,2.13,8.0,2023,107
4.0,11:44,1.0,10.0,BUF 48,10.0,24.0,Josh Allen pass complete short left to Stefon Diggs for 1 yard (tackle by Lavonte David),2.13,1.72,8.0,2023,107
4.0,11:10,2.0,9.0,BUF 49,10.0,24.0,Josh Allen pass incomplete short right intended for Gabriel Davis (defended by Jamel Dean) (defended by William Gholston),1.72,1.02,8.0,2023,107
4.0,11:00,3.0,9.0,BUF 49,10.0,24.0,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Ryan Neal),1.02,0.33,8.0,2023,107
4.0,10:14,4.0,2.0,TAM 44,10.0,24.0,"Penalty on BUF: Delay of Game, 5 yards (accepted) (no play)",0.33,0.0,8.0,2023,107
4.0,10:14,4.0,7.0,TAM 49,10.0,24.0,"Sam Martin punts 41 yards, recovered by Deven Thompkins at TB-8",0.0,0.38,8.0,2023,107
4.0,10:05,1.0,10.0,TAM 8,10.0,24.0,"Penalty on Luke Goedeke: False Start, 4 yards (accepted) (no play)",-0.38,-0.53,8.0,2023,107
4.0,10:05,1.0,14.0,TAM 4,10.0,24.0,Baker Mayfield pass incomplete short left intended for Trey Palmer,-0.53,-1.07,8.0,2023,107
4.0,10:01,2.0,14.0,TAM 4,10.0,24.0,Baker Mayfield pass complete short middle to Rachaad White for 20 yards (tackle by Taron Johnson),-1.07,0.54,8.0,2023,107
4.0,9:19,1.0,10.0,TAM 24,10.0,24.0,"Baker Mayfield pass complete deep left to Mike Evans for no gain. Penalty on Cody Mauch: Offensive Holding, 10 yards (accepted) (no play)",0.54,-0.5,8.0,2023,107
4.0,8:53,1.0,20.0,TAM 14,10.0,24.0,Baker Mayfield pass complete short right to Chase Edmonds for 9 yards (tackle by Tyrel Dodson and Terrel Bernard),-0.5,-0.14,8.0,2023,107
4.0,8:14,2.0,11.0,TAM 23,10.0,24.0,Baker Mayfield pass complete short left to Chase Edmonds for 7 yards (tackle by Tyrel Dodson),-0.14,0.1,8.0,2023,107
4.0,7:30,3.0,4.0,TAM 30,10.0,24.0,Baker Mayfield pass complete short right to Rachaad White for 9 yards (tackle by Terrel Bernard),0.1,1.53,8.0,2023,107
4.0,7:05,1.0,10.0,TAM 39,10.0,24.0,Baker Mayfield pass complete short right to Rakim Jarrett for 9 yards,1.53,2.2,8.0,2023,107
4.0,6:47,2.0,1.0,TAM 48,10.0,24.0,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Christian Benford),2.2,2.52,8.0,2023,107
4.0,6:34,1.0,10.0,BUF 46,10.0,24.0,Baker Mayfield pass complete short left to Trey Palmer for 7 yards (tackle by Taron Johnson and Dane Jackson),2.52,2.92,8.0,2023,107
4.0,5:44,2.0,3.0,BUF 39,10.0,24.0,Baker Mayfield sacked by A.J. Epenesa for -6 yards,2.92,1.42,8.0,2023,107
4.0,5:07,3.0,9.0,BUF 45,10.0,24.0,Baker Mayfield sacked by Taron Johnson for -1 yards,1.42,0.2,8.0,2023,107
4.0,4:13,4.0,10.0,BUF 46,10.0,24.0,"Baker Mayfield pass incomplete short right intended for Chris Godwin. Penalty on Taron Johnson: Illegal Contact, 5 yards (accepted) (no play)",0.2,2.85,8.0,2023,107
4.0,4:07,1.0,10.0,BUF 41,10.0,24.0,Baker Mayfield pass incomplete deep middle intended for Payne Durham (defended by Micah Hyde),2.85,2.31,8.0,2023,107
4.0,4:01,2.0,10.0,BUF 41,10.0,24.0,Baker Mayfield pass complete short right to Cade Otton for 2 yards (tackle by Micah Hyde),2.31,1.88,8.0,2023,107
4.0,3:21,3.0,8.0,BUF 39,10.0,24.0,Baker Mayfield pass incomplete short right intended for Rakim Jarrett,1.88,0.66,8.0,2023,107
4.0,3:11,4.0,8.0,BUF 39,10.0,24.0,"Baker Mayfield sacked by Jordan Phillips for no gain. Penalty on Jordan Phillips: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.66,3.97,8.0,2023,107
4.0,3:04,1.0,10.0,BUF 24,10.0,24.0,Baker Mayfield pass incomplete deep right intended for Mike Evans,3.97,3.43,8.0,2023,107
4.0,2:59,2.0,10.0,BUF 24,10.0,24.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Christian Benford),3.43,2.74,8.0,2023,107
4.0,2:56,3.0,10.0,BUF 24,10.0,24.0,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Christian Benford),2.74,1.87,8.0,2023,107
4.0,2:51,,,,,,Timeout #1 by Buffalo Bills,,,8.0,2023,107
4.0,2:51,4.0,10.0,BUF 24,16.0,24.0,"Baker Mayfield pass complete deep left to Mike Evans for 24 yards, touchdown",1.87,7.0,8.0,2023,107
4.0,2:44,,,BUF 2,18.0,24.0,Two Point Attempt: Baker Mayfield pass complete to to Cade Otton for no gain,1.0,1.0,8.0,2023,107
4.0,2:44,,,TAM 35,18.0,24.0,"Penalty on Nick Leverett: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",0.0,0.0,8.0,2023,107
4.0,2:44,,,TAM 20,18.0,24.0,"Jake Camarda kicks off 66 yards, returned by Khalil Shakir for 9 yards (tackle by Josh Hayes)",0.0,0.48,8.0,2023,107
4.0,2:41,1.0,10.0,BUF 23,18.0,24.0,James Cook left guard for 4 yards (tackle by Joe Tryon-Shoyinka and Lavonte David),0.48,0.47,8.0,2023,107
4.0,2:36,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,8.0,2023,107
4.0,2:36,2.0,6.0,BUF 27,18.0,24.0,Josh Allen right end for 1 yard (tackle by Shaquil Barrett),0.47,-0.1,8.0,2023,107
4.0,2:23,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,8.0,2023,107
