Quarter,Time,Down,ToGo,Location,LAR,DAL,Detail,EPB,EPA,week,year,game_id
1.0,3:27,3.0,2.0,DAL 50,3.0,7.0,Dak Prescott left end for 2 yards (tackle by Quentin Lake),1.55,2.39,8.0,2023,109
1.0,2:53,1.0,10.0,LAR 48,3.0,7.0,CeeDee Lamb left end for 12 yards (tackle by Ernest Jones and Derion Kendrick),2.39,3.18,8.0,2023,109
1.0,2:18,1.0,10.0,LAR 36,3.0,7.0,Dak Prescott pass incomplete short right intended for Michael Gallup (defended by Quentin Lake),3.18,2.64,8.0,2023,109
1.0,2:09,2.0,10.0,LAR 36,3.0,7.0,Tony Pollard left guard for 6 yards (tackle by Christian Rozeboom),2.64,2.74,8.0,2023,109
1.0,1:35,3.0,4.0,LAR 30,3.0,7.0,Dak Prescott sacked by Aaron Donald for -10 yards,2.74,0.59,8.0,2023,109
1.0,0:48,4.0,14.0,LAR 40,3.0,10.0,Brandon Aubrey 58 yard field goal good,0.59,3.0,8.0,2023,109
1.0,0:43,,,DAL 35,3.0,10.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
1.0,0:43,1.0,10.0,LAR 25,3.0,16.0,"Matthew Stafford pass short left intended for Cooper Kupp is intercepted by DaRon Bland at LA-30 and returned for 30 yards, touchdown",0.61,-7.0,8.0,2023,109
1.0,0:36,,,LAR 15,3.0,17.0,Brandon Aubrey kicks extra point good,0.0,0.0,8.0,2023,109
1.0,0:36,,,DAL 35,3.0,17.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
1.0,0:36,1.0,10.0,LAR 25,3.0,17.0,Matthew Stafford pass complete short right to Tyler Higbee for -3 yards (tackle by Jayron Kearse and Neville Gallimore),0.61,-0.34,8.0,2023,109
2.0,15:00,2.0,13.0,LAR 22,3.0,17.0,Royce Freeman left tackle for 10 yards (tackle by Donovan Wilson and Jayron Kearse),-0.34,0.3,8.0,2023,109
2.0,14:27,3.0,3.0,LAR 32,3.0,17.0,Matthew Stafford sacked by Micah Parsons for -9 yards,0.3,-1.83,8.0,2023,109
2.0,13:45,4.0,12.0,LAR 23,3.0,19.0,"Ethan Evans punts blocked by Sam Williams, safety.",-1.83,-2.0,8.0,2023,109
2.0,13:39,,,LAR 20,3.0,19.0,"Ethan Evans kicks off 56 yards, returned by KaVontae Turpin for 63 yards (tackle by Duke Shelley)",0.0,4.71,8.0,2023,109
2.0,13:29,1.0,10.0,LAR 13,3.0,19.0,Brandin Cooks left end for 3 yards (tackle by Ernest Jones),4.71,4.58,8.0,2023,109
2.0,12:50,2.0,7.0,LAR 10,3.0,25.0,"Dak Prescott pass complete short middle to CeeDee Lamb for 10 yards, touchdown",4.58,7.0,8.0,2023,109
2.0,12:45,,,LAR 15,3.0,26.0,Brandon Aubrey kicks extra point good,0.0,0.0,8.0,2023,109
2.0,12:45,,,DAL 35,3.0,26.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
2.0,12:45,1.0,10.0,LAR 25,3.0,26.0,Darrell Henderson left tackle for 2 yards (tackle by DaRon Bland and Damone Clark),0.61,0.33,8.0,2023,109
2.0,12:12,2.0,8.0,LAR 27,3.0,26.0,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Jourdan Lewis),0.33,0.3,8.0,2023,109
2.0,11:35,3.0,3.0,LAR 32,3.0,26.0,Matthew Stafford pass incomplete short right intended for Tutu Atwell,0.3,-1.24,8.0,2023,109
2.0,11:30,4.0,3.0,LAR 32,3.0,26.0,Ethan Evans punts 48 yards downed by Tre'Vius Tomlinson,-1.24,-0.28,8.0,2023,109
2.0,11:18,1.0,10.0,DAL 20,3.0,26.0,Dak Prescott pass complete short right to Jake Ferguson for 12 yards (tackle by Jordan Fuller),0.28,1.07,8.0,2023,109
2.0,10:38,1.0,10.0,DAL 32,3.0,26.0,Tony Pollard up the middle for -1 yards (tackle by Kobie Turner),1.07,0.39,8.0,2023,109
2.0,10:08,2.0,11.0,DAL 31,3.0,26.0,Tony Pollard up the middle for 3 yards (tackle by Byron Young),0.39,0.1,8.0,2023,109
2.0,9:23,3.0,8.0,DAL 34,3.0,26.0,Dak Prescott pass complete short middle to CeeDee Lamb for 21 yards (tackle by Jordan Fuller),0.1,2.59,8.0,2023,109
2.0,8:48,1.0,10.0,LAR 45,3.0,26.0,Tony Pollard right tackle for 4 yards (tackle by Jonah Williams and Aaron Donald),2.59,2.58,8.0,2023,109
2.0,8:16,2.0,6.0,LAR 41,3.0,26.0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb,2.58,1.88,8.0,2023,109
2.0,8:08,3.0,6.0,LAR 41,3.0,26.0,Dak Prescott pass complete short left to KaVontae Turpin for 13 yards (tackle by Derion Kendrick),1.88,3.71,8.0,2023,109
2.0,7:37,1.0,10.0,LAR 28,3.0,26.0,Rico Dowdle up the middle for 7 yards (tackle by Zach VanValkenburg and Russ Yeast),3.71,4.11,8.0,2023,109
2.0,7:00,2.0,3.0,LAR 21,3.0,26.0,Dak Prescott pass complete short right to Jake Ferguson for 12 yards (tackle by Jordan Fuller),4.11,5.14,8.0,2023,109
2.0,6:20,1.0,9.0,LAR 9,3.0,26.0,Dak Prescott pass short middle (defended by Kobie Turner) intended for Sean McKeon is intercepted by Jordan Fuller at LA-1 and returned for 18 yards (tackle by Dak Prescott),5.14,-0.15,8.0,2023,109
2.0,6:12,1.0,10.0,LAR 19,3.0,26.0,Matthew Stafford pass incomplete deep middle intended for Puka Nacua (defended by DaRon Bland),0.15,-0.39,8.0,2023,109
2.0,6:05,2.0,10.0,LAR 19,3.0,26.0,Darrell Henderson left tackle for 4 yards (tackle by Damone Clark),-0.39,-0.55,8.0,2023,109
2.0,5:19,3.0,6.0,LAR 23,3.0,26.0,"Matthew Stafford sacked by Micah Parsons for no gain. Matthew Stafford fumbles (forced by Micah Parsons), recovered by Jourdan Lewis at LA-29 Replay Assistant challenged the fumble ruling, and the original play was overturned. Matthew Stafford pass incomplete short middle intended for Puka Nacua (defended by Micah Parsons)",-0.55,-1.83,8.0,2023,109
2.0,5:15,4.0,6.0,LAR 23,3.0,26.0,"Ethan Evans punts 40 yards, returned by KaVontae Turpin for no gain (tackle by Tre'Vius Tomlinson)",-1.83,-1.4,8.0,2023,109
2.0,5:08,1.0,10.0,DAL 37,3.0,26.0,Dak Prescott pass complete short right to Luke Schoonmaker for 13 yards (tackle by Christian Rozeboom),1.4,2.26,8.0,2023,109
2.0,4:33,1.0,10.0,LAR 50,3.0,26.0,Dak Prescott pass complete short middle to CeeDee Lamb for 26 yards (tackle by Ernest Jones),2.26,3.97,8.0,2023,109
2.0,3:52,1.0,10.0,LAR 24,3.0,26.0,Dak Prescott pass complete short left to CeeDee Lamb for no gain (tackle by Quentin Lake),3.97,3.43,8.0,2023,109
2.0,3:14,2.0,10.0,LAR 24,3.0,26.0,Dak Prescott pass complete short left to Rico Dowdle for 2 yards (tackle by Christian Rozeboom),3.43,3.01,8.0,2023,109
2.0,2:34,,,,,,Timeout #1 by Dallas Cowboys,,,8.0,2023,109
2.0,2:34,3.0,8.0,LAR 22,3.0,32.0,"Dak Prescott pass complete deep right to CeeDee Lamb for 22 yards, touchdown",3.01,7.0,8.0,2023,109
2.0,2:27,,,LAR 15,3.0,33.0,Brandon Aubrey kicks extra point good,0.0,0.0,8.0,2023,109
2.0,2:27,,,DAL 35,3.0,33.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
2.0,2:27,1.0,10.0,LAR 25,3.0,33.0,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Stephon Gilmore),0.61,1.28,8.0,2023,109
2.0,2:06,2.0,1.0,LAR 34,3.0,33.0,Matthew Stafford pass incomplete short right intended for Puka Nacua,1.28,0.56,8.0,2023,109
2.0,2:02,3.0,1.0,LAR 34,3.0,33.0,"Royce Freeman left guard for no gain (tackle by Donovan Wilson). Penalty on Sam Williams: Defensive Offside, 5 yards (accepted) (no play)",0.56,1.53,8.0,2023,109
2.0,1:59,1.0,10.0,LAR 39,3.0,33.0,Matthew Stafford pass incomplete deep right intended for Tyler Higbee,1.53,0.99,8.0,2023,109
2.0,1:54,2.0,10.0,LAR 39,3.0,33.0,"Matthew Stafford pass complete short right to Puka Nacua for no gain (tackle by Donovan Wilson). Penalty on Steve Avila: Offensive Holding, 10 yards (accepted) (no play)",0.99,-0.36,8.0,2023,109
2.0,1:47,2.0,20.0,LAR 29,3.0,33.0,Matthew Stafford pass complete short right to Tyler Higbee for 12 yards (tackle by Stephon Gilmore),-0.36,0.56,8.0,2023,109
2.0,1:40,3.0,8.0,LAR 41,3.0,33.0,Matthew Stafford pass complete deep left to Tutu Atwell for 20 yards (tackle by DaRon Bland),0.56,2.98,8.0,2023,109
2.0,1:23,1.0,10.0,DAL 39,3.0,33.0,"Matthew Stafford scrambles left end for 9 yards (tackle by Donovan Wilson). Penalty on DaRon Bland: Defensive Holding, 5 yards (accepted)",2.98,3.91,8.0,2023,109
2.0,1:14,1.0,10.0,DAL 25,3.0,33.0,Royce Freeman up the middle for 5 yards (tackle by Chauncey Golston and Dorance Armstrong),3.91,4.04,8.0,2023,109
2.0,0:47,2.0,5.0,DAL 20,3.0,33.0,Royce Freeman up the middle for 6 yards (tackle by Markquese Bell and Sam Williams),4.04,4.65,8.0,2023,109
2.0,0:40,,,,,,Timeout #1 by Los Angeles Rams,,,8.0,2023,109
2.0,0:40,1.0,10.0,DAL 14,3.0,33.0,Matthew Stafford pass complete short left to Puka Nacua for 8 yards (tackle by Markquese Bell),4.65,5.47,8.0,2023,109
2.0,0:19,2.0,2.0,DAL 6,3.0,33.0,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Stephon Gilmore),5.47,4.73,8.0,2023,109
2.0,0:13,,,,,,Timeout #2 by Dallas Cowboys,,,8.0,2023,109
2.0,0:13,3.0,2.0,DAL 6,3.0,33.0,Darrell Henderson up the middle for 5 yards (tackle by Donovan Wilson and Osa Odighizuwa),4.73,6.97,8.0,2023,109
2.0,0:09,,,,,,Timeout #2 by Los Angeles Rams,,,8.0,2023,109
2.0,0:09,1.0,1.0,DAL 1,9.0,33.0,"Royce Freeman up the middle for 1 yard, touchdown",6.97,7.0,8.0,2023,109
2.0,0:04,,,DAL 2,9.0,33.0,Two Point Attempt: Matthew Stafford pass incomplete,1.0,-1.0,8.0,2023,109
2.0,0:04,,,LAR 35,9.0,33.0,"Ethan Evans kicks off 41 yards, returned by Rico Dowdle for 8 yards (tackle by Ben Skowronek)",0.0,1.27,8.0,2023,109
3.0,15:00,,,DAL 35,9.0,33.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
3.0,15:00,1.0,10.0,LAR 25,9.0,33.0,Darrell Henderson left end for 7 yards (tackle by Damone Clark),0.61,1.01,8.0,2023,109
3.0,14:32,2.0,3.0,LAR 32,9.0,33.0,Matthew Stafford pass complete short left to Darrell Henderson for 32 yards (tackle by Jourdan Lewis and DaRon Bland),1.01,3.18,8.0,2023,109
3.0,13:57,1.0,10.0,DAL 36,9.0,33.0,Darrell Henderson right guard for 2 yards (tackle by Osa Odighizuwa and Johnathan Hankins),3.18,2.91,8.0,2023,109
3.0,13:17,2.0,8.0,DAL 34,9.0,33.0,Royce Freeman left end for 10 yards (tackle by DaRon Bland),2.91,3.97,8.0,2023,109
3.0,12:46,1.0,10.0,DAL 24,9.0,33.0,Matthew Stafford pass complete short left to Tyler Higbee for 3 yards (tackle by Markquese Bell),3.97,3.84,8.0,2023,109
3.0,12:12,2.0,7.0,DAL 21,9.0,33.0,Darrell Henderson up the middle for 1 yard (tackle by Markquese Bell),3.84,3.27,8.0,2023,109
3.0,11:35,3.0,6.0,DAL 20,15.0,33.0,"Matthew Stafford pass complete short middle to Ben Skowronek for 20 yards, touchdown",3.27,7.0,8.0,2023,109
3.0,11:29,,,DAL 2,17.0,33.0,"Two Point Attempt: Tutu Atwell pass complete to to Matthew Stafford for no gain Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",1.0,1.0,8.0,2023,109
3.0,11:29,,,LAR 35,17.0,33.0,"Ethan Evans kicks off 74 yards, returned by KaVontae Turpin for 25 yards (tackle by Ben Skowronek and Troy Reeder)",0.0,-0.14,8.0,2023,109
3.0,11:23,1.0,10.0,DAL 16,17.0,33.0,Tony Pollard up the middle for 9 yards (tackle by Michael Hoecht and Ernest Jones),-0.14,0.69,8.0,2023,109
3.0,10:53,2.0,1.0,DAL 25,17.0,33.0,Tony Pollard right end for 7 yards (tackle by Ahkello Witherspoon),0.69,1.07,8.0,2023,109
3.0,10:18,1.0,10.0,DAL 32,17.0,33.0,Dak Prescott pass complete short left to Michael Gallup for 6 yards (tackle by Russ Yeast),1.07,1.34,8.0,2023,109
3.0,9:42,2.0,4.0,DAL 38,17.0,33.0,Rico Dowdle left tackle for 5 yards (tackle by Ernest Jones),1.34,1.8,8.0,2023,109
3.0,9:03,1.0,10.0,DAL 43,17.0,33.0,Dak Prescott pass complete short right to CeeDee Lamb for 4 yards (tackle by Ahkello Witherspoon),1.8,1.79,8.0,2023,109
3.0,8:24,2.0,6.0,DAL 47,17.0,33.0,Tony Pollard up the middle for 3 yards (tackle by Jordan Fuller),1.79,1.49,8.0,2023,109
3.0,7:40,3.0,3.0,DAL 50,17.0,33.0,"Penalty on KaVontae Turpin: False Start, 5 yards (accepted) (no play)",1.49,0.83,8.0,2023,109
3.0,7:15,3.0,8.0,DAL 45,17.0,33.0,Dak Prescott scrambles left end for 9 yards (tackle by Russ Yeast),0.83,2.52,8.0,2023,109
3.0,6:31,1.0,10.0,LAR 46,17.0,33.0,Dak Prescott scrambles right end for 1 yard (tackle by Christian Rozeboom),2.52,2.11,8.0,2023,109
3.0,5:53,2.0,9.0,LAR 45,17.0,33.0,Dak Prescott pass incomplete deep middle intended for Brandin Cooks (defended by Derion Kendrick),2.11,1.42,8.0,2023,109
3.0,5:46,3.0,9.0,LAR 45,17.0,33.0,Dak Prescott pass complete short right to CeeDee Lamb for 8 yards (tackle by Jordan Fuller),1.42,0.79,8.0,2023,109
3.0,5:09,,,,,,Timeout #1 by Dallas Cowboys,,,8.0,2023,109
3.0,5:09,4.0,1.0,LAR 37,17.0,33.0,Dak Prescott pass complete short right to Brandin Cooks for 5 yards (tackle by Quentin Lake),0.79,3.45,8.0,2023,109
3.0,4:30,1.0,10.0,LAR 32,17.0,33.0,Tony Pollard left end for 13 yards (tackle by Russ Yeast),3.45,4.31,8.0,2023,109
3.0,3:45,1.0,10.0,LAR 19,17.0,33.0,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Quentin Lake),4.31,3.75,8.0,2023,109
3.0,3:40,2.0,10.0,LAR 19,17.0,33.0,"Dak Prescott pass incomplete short left intended for Rico Dowdle. Penalty on Derion Kendrick: Defensive Pass Interference, 4 yards (accepted) (no play)",3.75,4.58,8.0,2023,109
3.0,3:32,1.0,10.0,LAR 15,17.0,33.0,Tony Pollard left tackle for no gain (tackle by Larrell Murchison and Kobie Turner),4.58,3.95,8.0,2023,109
3.0,2:59,2.0,10.0,LAR 15,17.0,33.0,Tony Pollard up the middle for 4 yards (tackle by Jonah Williams and Kobie Turner),3.95,3.78,8.0,2023,109
3.0,2:24,3.0,6.0,LAR 11,17.0,33.0,Dak Prescott pass complete short left to Tony Pollard for 2 yards (tackle by Christian Rozeboom),3.78,2.9,8.0,2023,109
3.0,1:36,4.0,4.0,LAR 9,17.0,36.0,Brandon Aubrey 27 yard field goal good,2.9,3.0,8.0,2023,109
3.0,1:32,,,DAL 35,17.0,36.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
3.0,1:32,1.0,10.0,LAR 25,17.0,36.0,Royce Freeman right guard for 7 yards (tackle by Damone Clark and Donovan Wilson),0.61,1.01,8.0,2023,109
3.0,0:51,2.0,3.0,LAR 32,17.0,36.0,Royce Freeman left guard for 1 yard (tackle by Mazi Smith),1.01,0.43,8.0,2023,109
3.0,0:06,3.0,2.0,LAR 33,17.0,36.0,Brett Rypien pass incomplete deep left intended for Tyler Higbee,0.43,-1.18,8.0,2023,109
4.0,15:00,4.0,2.0,LAR 33,17.0,36.0,Brett Rypien pass complete short right to Puka Nacua for 13 yards (tackle by Osa Odighizuwa),-1.18,1.99,8.0,2023,109
4.0,14:32,1.0,10.0,LAR 46,17.0,36.0,Brett Rypien pass incomplete short left intended for Cooper Kupp,1.99,1.45,8.0,2023,109
4.0,14:03,2.0,10.0,LAR 46,17.0,36.0,Darrell Henderson up the middle for -2 yards (tackle by Micah Parsons),1.45,0.5,8.0,2023,109
4.0,13:47,3.0,12.0,LAR 44,17.0,36.0,Brett Rypien pass complete short right to Darrell Henderson for 10 yards (tackle by Donovan Wilson),0.5,0.2,8.0,2023,109
4.0,13:24,4.0,2.0,DAL 46,17.0,36.0,Brett Rypien pass incomplete deep middle intended for Cooper Kupp,0.2,-1.99,8.0,2023,109
4.0,13:19,1.0,10.0,DAL 46,17.0,36.0,Dak Prescott pass complete deep left to CeeDee Lamb for 24 yards (tackle by Derion Kendrick),1.99,3.58,8.0,2023,109
4.0,13:08,1.0,10.0,LAR 30,17.0,36.0,Dak Prescott pass complete short left to Jake Ferguson for 5 yards (tackle by Derion Kendrick),3.58,3.71,8.0,2023,109
4.0,12:24,2.0,5.0,LAR 25,17.0,42.0,"Dak Prescott pass complete deep right to Brandin Cooks for 25 yards, touchdown",3.71,7.0,8.0,2023,109
4.0,12:19,,,LAR 15,17.0,43.0,Brandon Aubrey kicks extra point good,0.0,0.0,8.0,2023,109
4.0,12:19,,,DAL 35,17.0,43.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
4.0,12:19,1.0,10.0,LAR 25,17.0,43.0,Darrell Henderson left guard for 3 yards (tackle by Donovan Wilson),0.61,0.47,8.0,2023,109
4.0,11:43,2.0,7.0,LAR 28,17.0,43.0,Darrell Henderson right end for 1 yard (tackle by DeMarcus Lawrence),0.47,-0.1,8.0,2023,109
4.0,11:01,3.0,6.0,LAR 29,17.0,43.0,Brett Rypien pass incomplete short right intended for Cooper Kupp,-0.1,-1.44,8.0,2023,109
4.0,10:34,4.0,6.0,LAR 29,17.0,43.0,"Ethan Evans punts 58 yards, returned by KaVontae Turpin for no gain. Penalty on Nahshon Wright: Offensive Holding, 6 yards (accepted)",-1.44,0.38,8.0,2023,109
4.0,10:34,1.0,10.0,DAL 7,17.0,43.0,Rico Dowdle left guard for 1 yard (tackle by Aaron Donald and Christian Rozeboom),-0.38,-0.71,8.0,2023,109
4.0,9:57,2.0,9.0,DAL 8,17.0,43.0,Cooper Rush pass complete short right to Hunter Luepke for -2 yards (tackle by Ernest Jones),-0.71,-1.54,8.0,2023,109
4.0,9:10,3.0,11.0,DAL 6,17.0,43.0,Rico Dowdle left guard for 2 yards (tackle by Russ Yeast and Cory Durden),-1.54,-2.49,8.0,2023,109
4.0,8:30,4.0,9.0,DAL 8,17.0,43.0,"Bryan Anger punts 41 yards, returned by Austin Trammell for -5 yards (tackle by Sam Williams and Nahshon Wright)",-2.49,-1.99,8.0,2023,109
4.0,8:19,1.0,10.0,LAR 46,17.0,43.0,Royce Freeman up the middle for 6 yards (tackle by Rashaan Evans),1.99,2.26,8.0,2023,109
4.0,7:44,2.0,4.0,DAL 48,17.0,43.0,Tutu Atwell right end for 8 yards (tackle by Stephon Gilmore),2.26,2.92,8.0,2023,109
4.0,7:18,1.0,10.0,DAL 40,17.0,43.0,Brett Rypien pass complete short left to Tyler Higbee for 13 yards (tackle by Stephon Gilmore),2.92,3.78,8.0,2023,109
4.0,6:50,1.0,10.0,DAL 27,17.0,43.0,Brett Rypien pass complete short left to Cooper Kupp for 5 yards (tackle by DaRon Bland),3.78,3.91,8.0,2023,109
4.0,6:16,2.0,5.0,DAL 22,17.0,43.0,Brett Rypien pass incomplete short middle intended for Cooper Kupp (defended by Neville Gallimore),3.91,3.2,8.0,2023,109
4.0,6:12,3.0,5.0,DAL 22,17.0,43.0,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",3.2,2.54,8.0,2023,109
4.0,6:12,3.0,10.0,DAL 27,17.0,43.0,Royce Freeman up the middle for -2 yards (tackle by Dante Fowler),2.54,1.5,8.0,2023,109
4.0,5:34,4.0,12.0,DAL 29,20.0,43.0,Lucas Havrisik 47 yard field goal good,1.5,3.0,8.0,2023,109
4.0,5:31,,,LAR 35,20.0,43.0,"Lucas Havrisik kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,109
4.0,5:31,1.0,10.0,DAL 25,20.0,43.0,Rico Dowdle up the middle for 3 yards (tackle by Larrell Murchison),0.61,0.47,8.0,2023,109
4.0,4:24,,,,,,Timeout #2 by Dallas Cowboys,,,8.0,2023,109
4.0,4:24,2.0,7.0,DAL 28,20.0,43.0,Cooper Rush pass complete short right to Rico Dowdle for 5 yards (tackle by Christian Rozeboom),0.47,0.43,8.0,2023,109
4.0,4:04,3.0,2.0,DAL 33,20.0,43.0,Cooper Rush pass incomplete deep left intended for KaVontae Turpin,0.43,-1.18,8.0,2023,109
4.0,3:55,4.0,2.0,DAL 33,20.0,43.0,"Bryan Anger punts 52 yards, fair catch by Austin Trammell at LA-15",-1.18,0.22,8.0,2023,109
4.0,3:48,1.0,10.0,LAR 15,20.0,43.0,Darrell Henderson right tackle for 4 yards (tackle by Markquese Bell),-0.22,-0.11,8.0,2023,109
4.0,3:13,2.0,6.0,LAR 19,20.0,43.0,Brett Rypien pass complete short left to Tutu Atwell for 1 yard (tackle by Markquese Bell),-0.11,-0.76,8.0,2023,109
4.0,2:37,3.0,5.0,LAR 20,20.0,43.0,Brett Rypien sacked by Dorance Armstrong for -7 yards,-0.76,-2.49,8.0,2023,109
4.0,2:00,4.0,12.0,LAR 13,20.0,43.0,Ethan Evans punts 37 yards out of bounds,-2.49,-2.26,8.0,2023,109
4.0,1:53,1.0,10.0,DAL 50,20.0,43.0,Cooper Rush kneels for -1 yards,2.26,1.58,8.0,2023,109
4.0,1:13,2.0,11.0,DAL 49,20.0,43.0,Cooper Rush kneels for -1 yards,1.58,0.76,8.0,2023,109
4.0,0:37,3.0,12.0,DAL 48,20.0,43.0,Cooper Rush kneels for -1 yards,0.76,-0.26,8.0,2023,109
