Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA,week,year,game_id
2.0,7:30,4.0,1.0,NWE 8,7.0,7.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 2 yards (tackle by Myles Bryant),2.99,5.83,8.0,2023,114
2.0,7:06,1.0,6.0,NWE 6,7.0,7.0,Tua Tagovailoa pass complete short right to Salvon Ahmed for no gain (tackle by Kyle Dugger),5.83,4.95,8.0,2023,114
2.0,6:29,2.0,6.0,NWE 6,7.0,7.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill (defended by Jonathan Jones),4.95,4.04,8.0,2023,114
2.0,6:22,3.0,6.0,NWE 6,7.0,7.0,"Tua Tagovailoa pass incomplete short left intended for Tyreek Hill. Penalty on J.C. Jackson: Defensive Pass Interference, 5 yards (accepted) (no play)",4.04,6.97,8.0,2023,114
2.0,6:18,1.0,1.0,NWE 1,7.0,7.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill (defended by J.C. Jackson),6.97,5.91,8.0,2023,114
2.0,6:14,2.0,1.0,NWE 1,7.0,13.0,"Tua Tagovailoa pass complete short middle to Cedrick Wilson for 1 yard, touchdown",5.91,7.0,8.0,2023,114
2.0,6:10,,,NWE 15,7.0,14.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2023,114
2.0,6:10,,,MIA 35,7.0,14.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
2.0,6:10,1.0,10.0,NWE 25,7.0,14.0,Mac Jones pass complete short right to Kendrick Bourne for 6 yards (tackle by Eli Apple),0.61,0.87,8.0,2023,114
2.0,5:39,2.0,4.0,NWE 31,7.0,14.0,Rhamondre Stevenson up the middle for 6 yards (tackle by Jerome Baker and David Long),0.87,1.4,8.0,2023,114
2.0,5:03,1.0,10.0,NWE 37,7.0,14.0,Mac Jones pass incomplete short left intended for Rhamondre Stevenson,1.4,0.86,8.0,2023,114
2.0,4:58,2.0,10.0,NWE 37,7.0,14.0,Mac Jones pass complete short right to Demario Douglas for 13 yards (tackle by Brandon Jones),0.86,2.26,8.0,2023,114
2.0,4:13,1.0,10.0,MIA 50,7.0,14.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Christian Wilkins),2.26,1.85,8.0,2023,114
2.0,3:31,2.0,9.0,MIA 49,7.0,14.0,Rhamondre Stevenson right guard for 11 yards (tackle by DeShon Elliott),1.85,3.05,8.0,2023,114
2.0,2:58,1.0,10.0,MIA 38,7.0,14.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Christian Wilkins and Bradley Chubb),3.05,2.64,8.0,2023,114
2.0,2:21,2.0,9.0,MIA 37,7.0,14.0,Mac Jones pass complete short right to DeVante Parker for 14 yards (tackle by Brandon Jones),2.64,4.04,8.0,2023,114
2.0,2:00,1.0,10.0,MIA 23,7.0,14.0,Mac Jones pass short left intended for Kendrick Bourne is intercepted by Jalen Ramsey at MIA-11 and returned for 49 yards (tackle by Demario Douglas),4.04,-2.92,8.0,2023,114
2.0,1:48,1.0,10.0,NWE 40,7.0,14.0,Tua Tagovailoa pass incomplete short middle intended for Braxton Berrios (defended by Jack Jones),2.92,2.37,8.0,2023,114
2.0,1:44,2.0,10.0,NWE 40,7.0,14.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 11 yards (tackle by Adrian Phillips),2.37,3.64,8.0,2023,114
2.0,1:01,1.0,10.0,NWE 29,7.0,14.0,"Raheem Mostert left end for no gain (tackle by J.C. Jackson and Keion White). Penalty on Durham Smythe: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.98,8.0,2023,114
2.0,0:54,,,,,,Timeout #1 by Miami Dolphins,,,8.0,2023,114
2.0,0:54,1.0,20.0,NWE 39,7.0,14.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 6 yards (tackle by Jack Jones),2.98,2.56,8.0,2023,114
2.0,0:48,2.0,14.0,NWE 33,7.0,14.0,Tua Tagovailoa pass complete deep left to Jaylen Waddle for 17 yards (tackle by J.C. Jackson),2.56,4.51,8.0,2023,114
2.0,0:42,,,,,,Timeout #2 by Miami Dolphins,,,8.0,2023,114
2.0,0:42,1.0,10.0,NWE 16,7.0,14.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,4.51,3.9,8.0,2023,114
2.0,0:40,2.0,10.0,NWE 16,7.0,14.0,Tua Tagovailoa pass complete short right to Salvon Ahmed for 4 yards (tackle by Myles Bryant and Jahlani Tavai),3.9,3.73,8.0,2023,114
2.0,0:34,,,,,,Timeout #3 by Miami Dolphins,,,8.0,2023,114
2.0,0:34,3.0,6.0,NWE 12,7.0,14.0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,3.73,2.66,8.0,2023,114
2.0,0:29,4.0,6.0,NWE 12,7.0,17.0,Jason Sanders 30 yard field goal good,2.66,3.0,8.0,2023,114
2.0,0:26,,,MIA 35,7.0,17.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
2.0,0:26,1.0,10.0,NWE 25,7.0,17.0,Mac Jones kneels for -2 yards,0.61,-0.21,8.0,2023,114
3.0,15:00,,,NWE 35,7.0,17.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
3.0,15:00,1.0,10.0,MIA 25,7.0,17.0,"Tua Tagovailoa aborted snap, recovered by Anfernee Jennings at MIA-19",0.61,-4.31,8.0,2023,114
3.0,14:55,1.0,10.0,MIA 19,7.0,17.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Bradley Chubb and Zach Sieler),4.31,4.18,8.0,2023,114
3.0,14:17,2.0,7.0,MIA 16,7.0,17.0,Mac Jones pass complete short left to Demario Douglas for 2 yards (tackle by Kader Kohou),4.18,3.76,8.0,2023,114
3.0,13:31,3.0,5.0,MIA 14,7.0,17.0,Mac Jones sacked by Christian Wilkins for -6 yards,3.76,2.12,8.0,2023,114
3.0,12:49,4.0,11.0,MIA 20,10.0,17.0,Chad Ryland 38 yard field goal good,2.12,3.0,8.0,2023,114
3.0,12:45,,,NWE 35,10.0,17.0,"Chad Ryland kicks off 67 yards, returned by Braxton Berrios for 25 yards (tackle by Kyle Dugger)",0.0,0.48,8.0,2023,114
3.0,12:40,1.0,10.0,MIA 23,10.0,17.0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 22 yards (tackle by Myles Bryant),0.48,1.93,8.0,2023,114
3.0,12:00,1.0,10.0,MIA 45,10.0,17.0,"Penalty on Robert Jones: False Start, 5 yards (accepted) (no play)",1.93,1.6,8.0,2023,114
3.0,11:40,1.0,15.0,MIA 40,10.0,17.0,Raheem Mostert up the middle for 6 yards (tackle by Mack Wilson and Kyle Dugger),1.6,1.52,8.0,2023,114
3.0,10:57,2.0,9.0,MIA 46,10.0,17.0,Tua Tagovailoa pass incomplete deep right intended for Jaylen Waddle (defended by J.C. Jackson),1.52,0.83,8.0,2023,114
3.0,10:52,3.0,9.0,MIA 46,10.0,17.0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 23 yards (tackle by J.C. Jackson),0.83,3.51,8.0,2023,114
3.0,10:11,1.0,10.0,NWE 31,10.0,17.0,Jeff Wilson up the middle for 2 yards (tackle by Jahlani Tavai),3.51,3.24,8.0,2023,114
3.0,9:29,2.0,8.0,NWE 29,10.0,17.0,Tua Tagovailoa pass complete short left to Chase Claypool for 15 yards (tackle by Mack Wilson and Jonathan Jones),3.24,4.65,8.0,2023,114
3.0,8:46,1.0,10.0,NWE 14,10.0,17.0,Raheem Mostert up the middle for 6 yards (tackle by Jabrill Peppers),4.65,5.09,8.0,2023,114
3.0,8:21,2.0,4.0,NWE 8,10.0,17.0,Tua Tagovailoa pass complete short right to Durham Smythe for 7 yards (tackle by Kyle Dugger),5.09,6.97,8.0,2023,114
3.0,7:38,1.0,1.0,NWE 1,10.0,23.0,"Raheem Mostert left tackle for 1 yard, touchdown",6.97,7.0,8.0,2023,114
3.0,7:35,,,NWE 15,10.0,24.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2023,114
3.0,7:35,,,MIA 35,10.0,24.0,"Jason Sanders kicks off 66 yards, returned by Ty Montgomery for 24 yards (tackle by Justin Bethel and Chase Claypool)",0.0,0.48,8.0,2023,114
3.0,7:30,1.0,10.0,NWE 23,10.0,24.0,Mac Jones pass complete deep middle to Pharaoh Brown for 24 yards (tackle by Brandon Jones),0.48,2.06,8.0,2023,114
3.0,7:05,1.0,10.0,NWE 47,10.0,24.0,Ezekiel Elliott up the middle for no gain (tackle by Jaelan Phillips and Christian Wilkins),2.06,1.52,8.0,2023,114
3.0,6:26,2.0,10.0,NWE 47,10.0,24.0,Mac Jones pass incomplete short left intended for DeVante Parker (defended by DeShon Elliott),1.52,0.83,8.0,2023,114
3.0,6:21,3.0,10.0,NWE 47,10.0,24.0,Mac Jones pass incomplete short middle intended for Jalen Reagor,0.83,-0.26,8.0,2023,114
3.0,6:17,4.0,10.0,NWE 47,10.0,24.0,Bryce Baringer punts 49 yards downed by Brenden Schooler,-0.26,0.38,8.0,2023,114
3.0,6:06,1.0,10.0,MIA 4,10.0,24.0,Jeff Wilson right tackle for 2 yards (tackle by Mack Wilson and Keion White),-0.38,-0.63,8.0,2023,114
3.0,5:25,2.0,8.0,MIA 6,10.0,24.0,Tua Tagovailoa pass complete short left to Jeff Wilson for 7 yards (tackle by Kyle Dugger),-0.63,-0.37,8.0,2023,114
3.0,4:44,3.0,1.0,MIA 13,10.0,24.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 7 yards (tackle by Jack Jones and Jonathan Jones),-0.37,0.28,8.0,2023,114
3.0,4:09,1.0,10.0,MIA 20,10.0,24.0,"Tua Tagovailoa pass complete short middle to Durham Smythe for no gain (tackle by Jahlani Tavai). Penalty on Robert Jones: Offensive Holding, 10 yards (accepted) (no play)",0.28,-0.76,8.0,2023,114
3.0,3:43,1.0,20.0,MIA 10,10.0,24.0,Tua Tagovailoa pass complete short right to Jeff Wilson for 7 yards (tackle by Anfernee Jennings),-0.76,-0.79,8.0,2023,114
3.0,3:06,2.0,13.0,MIA 17,10.0,24.0,Tua Tagovailoa pass incomplete short left intended for Julian Hill,-0.79,-1.51,8.0,2023,114
3.0,2:48,3.0,13.0,MIA 17,10.0,24.0,Tua Tagovailoa pass complete short right to Salvon Ahmed for 20 yards (tackle by Jabrill Peppers),-1.51,1.4,8.0,2023,114
3.0,2:26,1.0,10.0,MIA 37,10.0,24.0,"Penalty on Jack Jones: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.4,2.13,8.0,2023,114
3.0,2:07,1.0,5.0,MIA 42,10.0,24.0,Salvon Ahmed right end for -1 yards (tackle by Mack Wilson),2.13,1.4,8.0,2023,114
3.0,1:25,2.0,6.0,MIA 41,10.0,24.0,Tua Tagovailoa pass incomplete short left,1.4,0.7,8.0,2023,114
3.0,1:21,3.0,6.0,MIA 41,10.0,24.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle (defended by Jahlani Tavai),0.7,-0.65,8.0,2023,114
3.0,1:18,4.0,6.0,MIA 41,10.0,24.0,"Jake Bailey punts 44 yards, fair catch by Demario Douglas at NE-15",-0.65,0.22,8.0,2023,114
3.0,1:11,1.0,10.0,NWE 15,10.0,24.0,Mac Jones sacked by Bradley Chubb for -5 yards,-0.22,-1.15,8.0,2023,114
3.0,0:29,2.0,15.0,NWE 10,10.0,24.0,Mac Jones pass complete short right to Mike Gesicki for 6 yards (tackle by Jerome Baker),-1.15,-1.25,8.0,2023,114
4.0,15:00,3.0,9.0,NWE 16,10.0,24.0,Mac Jones pass complete short right to Kendrick Bourne for 6 yards (tackle by Eli Apple),-1.25,-1.9,8.0,2023,114
4.0,14:46,4.0,3.0,NWE 22,10.0,24.0,Bryce Baringer punts 63 yards out of bounds,-1.9,0.22,8.0,2023,114
4.0,14:39,1.0,10.0,MIA 15,10.0,24.0,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,-0.22,-0.71,8.0,2023,114
4.0,14:36,2.0,10.0,MIA 15,10.0,24.0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,-0.71,-1.37,8.0,2023,114
4.0,14:31,,,,,,Timeout #1 by New England Patriots,,,8.0,2023,114
4.0,14:31,3.0,10.0,MIA 15,10.0,24.0,Tua Tagovailoa scrambles up the middle for 3 yards (tackle by Jahlani Tavai),-1.37,-2.24,8.0,2023,114
4.0,13:58,4.0,7.0,MIA 18,10.0,24.0,Jake Bailey punts 63 yards downed by Alec Ingold,-2.24,-0.15,8.0,2023,114
4.0,13:47,1.0,10.0,NWE 19,10.0,24.0,Ezekiel Elliott right guard for 5 yards (tackle by Andrew Van Ginkel and Jerome Baker),0.15,0.34,8.0,2023,114
4.0,13:16,2.0,5.0,NWE 24,10.0,24.0,Ezekiel Elliott up the middle for 17 yards (tackle by DeShon Elliott and Brandon Jones),0.34,1.66,8.0,2023,114
4.0,12:42,1.0,10.0,NWE 41,10.0,24.0,Mac Jones pass complete short right to Hunter Henry for 16 yards (tackle by Kader Kohou and Brandon Jones),1.66,2.72,8.0,2023,114
4.0,12:19,1.0,10.0,MIA 43,10.0,24.0,"Mac Jones pass complete short left to Demario Douglas for no gain (tackle by DeShon Elliott). Penalty on Atonio Mafi: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.72,2.39,8.0,2023,114
4.0,11:56,1.0,15.0,MIA 48,10.0,24.0,Mac Jones pass complete short left to Demario Douglas for 12 yards (tackle by David Long),2.39,3.12,8.0,2023,114
4.0,11:33,2.0,3.0,MIA 36,10.0,24.0,Ezekiel Elliott left guard for 7 yards (tackle by David Long and DeShon Elliott),3.12,3.64,8.0,2023,114
4.0,11:00,1.0,10.0,MIA 29,10.0,24.0,Rhamondre Stevenson up the middle for 2 yards (tackle by Jaelan Phillips),3.64,3.37,8.0,2023,114
4.0,10:34,2.0,8.0,MIA 27,10.0,24.0,Mac Jones pass complete short right to Hunter Henry for 8 yards (tackle by Brandon Jones),3.37,4.31,8.0,2023,114
4.0,10:13,1.0,10.0,MIA 19,10.0,24.0,Mac Jones pass complete short right to Rhamondre Stevenson for 9 yards (tackle by Jerome Baker),4.31,5.36,8.0,2023,114
4.0,9:46,2.0,1.0,MIA 10,10.0,24.0,Rhamondre Stevenson up the middle for 7 yards (tackle by DeShon Elliott and Jaelan Phillips),5.36,6.51,8.0,2023,114
4.0,9:17,1.0,3.0,MIA 3,10.0,24.0,Mac Jones pass incomplete short left intended for Demario Douglas,6.51,5.53,8.0,2023,114
4.0,9:12,2.0,3.0,MIA 3,10.0,24.0,Rhamondre Stevenson up the middle for no gain (tackle by Jaelan Phillips),5.53,4.72,8.0,2023,114
4.0,8:39,3.0,3.0,MIA 3,10.0,24.0,Mac Jones pass incomplete short right intended for Jalen Reagor (defended by Kader Kohou),4.72,3.04,8.0,2023,114
4.0,8:33,4.0,3.0,MIA 3,16.0,24.0,"Mac Jones pass complete short right to JuJu Smith-Schuster for 3 yards, touchdown",3.04,7.0,8.0,2023,114
4.0,8:30,,,MIA 15,17.0,24.0,Chad Ryland kicks extra point good,0.0,0.0,8.0,2023,114
4.0,8:30,,,NWE 35,17.0,24.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
4.0,8:30,1.0,10.0,MIA 25,17.0,24.0,Tua Tagovailoa pass complete short right to Braxton Berrios for 5 yards (tackle by Kyle Dugger),0.61,0.74,8.0,2023,114
4.0,7:57,2.0,5.0,MIA 30,17.0,24.0,Raheem Mostert left end for 10 yards (tackle by J.C. Jackson),0.74,1.6,8.0,2023,114
4.0,7:17,1.0,10.0,MIA 40,17.0,24.0,Raheem Mostert left tackle for 1 yard (tackle by Davon Godchaux),1.6,1.19,8.0,2023,114
4.0,6:34,2.0,9.0,MIA 41,17.0,24.0,Tua Tagovailoa pass incomplete deep right intended for Jaylen Waddle,1.19,0.5,8.0,2023,114
4.0,6:29,3.0,9.0,MIA 41,17.0,24.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 9 yards (tackle by Myles Bryant),0.5,2.26,8.0,2023,114
4.0,5:47,1.0,10.0,MIA 50,17.0,24.0,Raheem Mostert up the middle for 4 yards (tackle by Christian Barmore and Mack Wilson),2.26,2.25,8.0,2023,114
4.0,5:03,2.0,6.0,NWE 46,17.0,24.0,Tua Tagovailoa pass complete short left to Durham Smythe for 6 yards (tackle by Anfernee Jennings),2.25,2.92,8.0,2023,114
4.0,4:17,1.0,10.0,NWE 40,17.0,24.0,Raheem Mostert left guard for 6 yards (tackle by Jahlani Tavai),2.92,3.18,8.0,2023,114
4.0,3:37,2.0,4.0,NWE 34,17.0,24.0,Raheem Mostert up the middle for 3 yards (tackle by Davon Godchaux and Deatrich Wise),3.18,2.87,8.0,2023,114
4.0,2:49,,,,,,Timeout #1 by Miami Dolphins,,,8.0,2023,114
4.0,2:49,3.0,1.0,NWE 31,17.0,30.0,"Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 31 yards, touchdown",2.87,7.0,8.0,2023,114
4.0,2:43,,,NWE 15,17.0,31.0,Jason Sanders kicks extra point good,0.0,0.0,8.0,2023,114
4.0,2:43,,,MIA 35,17.0,31.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,8.0,2023,114
4.0,2:43,1.0,10.0,NWE 25,17.0,31.0,"Mac Jones pass intended for Mike Gesicki is intercepted by Brandon Jones at NE-46 and returned for 33 yards Replay Assistant challenged the pass interception ruling, and the original play was overturned. Mac Jones pass incomplete deep middle intended for Mike Gesicki",0.61,0.06,8.0,2023,114
4.0,2:40,2.0,10.0,NWE 25,17.0,31.0,Mac Jones pass complete short left to Mike Gesicki for 5 yards (tackle by Kader Kohou),0.06,0.04,8.0,2023,114
4.0,2:17,3.0,5.0,NWE 30,17.0,31.0,Mac Jones sacked by Jaelan Phillips for -9 yards,0.04,-1.96,8.0,2023,114
4.0,2:00,4.0,14.0,NWE 21,17.0,31.0,Mac Jones pass incomplete deep middle intended for Demario Douglas (defended by Brandon Jones),-1.96,-4.17,8.0,2023,114
4.0,1:52,1.0,10.0,NWE 21,17.0,31.0,"Penalty on JuJu Smith-Schuster: Unsportsmanlike Conduct / Defense, 10 yards (accepted) (no play)",4.17,4.91,8.0,2023,114
4.0,1:52,1.0,10.0,NWE 10,17.0,31.0,Tua Tagovailoa kneels for -1 yards,4.91,4.02,8.0,2023,114
4.0,1:14,2.0,11.0,NWE 11,17.0,31.0,Tua Tagovailoa kneels for -1 yards,4.02,3.1,8.0,2023,114
4.0,0:36,3.0,12.0,NWE 12,17.0,31.0,Tua Tagovailoa kneels for -1 yards,3.1,2.57,8.0,2023,114
