Quarter,Time,Down,ToGo,Location,LAR,GNB,Detail,EPB,EPA,week,year,game_id
1.0,4:20,1.0,10.0,LAR 26,0.0,3.0,Baker Mayfield sacked by Kingsley Enagbare for -1 yards,0.67,-0.01,15.0,2022,224
1.0,3:40,2.0,11.0,LAR 25,0.0,3.0,Baker Mayfield pass complete short left to Tyler Higbee for 5 yards (tackle by Adrian Amos),-0.01,-0.03,15.0,2022,224
1.0,3:03,3.0,6.0,LAR 30,0.0,3.0,"Penalty on Coleman Shelton: False Start, 5 yards (accepted) (no play)",-0.03,-0.69,15.0,2022,224
1.0,2:50,3.0,11.0,LAR 25,0.0,3.0,Baker Mayfield pass incomplete short left intended for Tyler Higbee (defended by Kingsley Enagbare),-0.69,-1.7,15.0,2022,224
1.0,2:43,4.0,11.0,LAR 25,0.0,3.0,Riley Dixon punts 31 yards out of bounds,-1.7,-1.86,15.0,2022,224
1.0,2:36,1.0,10.0,GNB 44,0.0,3.0,AJ Dillon left end for 6 yards (tackle by Jonah Williams and Ernest Jones),1.86,2.13,15.0,2022,224
1.0,2:05,2.0,4.0,GNB 50,0.0,3.0,AJ Dillon right guard for 2 yards (tackle by Greg Gaines),2.13,1.69,15.0,2022,224
1.0,1:28,3.0,2.0,LAR 48,0.0,3.0,Aaron Rodgers pass complete short left to Robert Tonyan for 4 yards (tackle by Cobie Durant),1.69,2.65,15.0,2022,224
1.0,0:50,1.0,10.0,LAR 44,0.0,3.0,Aaron Rodgers pass deep left intended for Allen Lazard is intercepted by Taylor Rapp at LA-14 and returned for 18 yards (tackle by AJ Dillon),2.65,-1.07,15.0,2022,224
1.0,0:28,1.0,10.0,LAR 32,0.0,3.0,Kyren Williams up the middle for 5 yards (tackle by Justin Hollins),1.07,1.2,15.0,2022,224
2.0,15:00,2.0,5.0,LAR 37,0.0,3.0,Cam Akers left end for 7 yards (tackle by De'Vondre Campbell),1.2,1.86,15.0,2022,224
2.0,14:17,1.0,10.0,LAR 44,0.0,3.0,Baker Mayfield pass complete short right to Cam Akers for 10 yards (tackle by Keisean Nixon),1.86,2.52,15.0,2022,224
2.0,13:27,,,,,,Timeout #1 by Los Angeles Rams,,,15.0,2022,224
2.0,13:27,1.0,10.0,GNB 46,0.0,3.0,Baker Mayfield pass complete short left to Tyler Higbee for 7 yards,2.52,2.92,15.0,2022,224
2.0,12:46,2.0,3.0,GNB 39,0.0,3.0,"Cam Akers left end for 6 yards (tackle by Rudy Ford). Penalty on Rudy Ford: Unnecessary Roughness / Defense, 15 yards (accepted)",2.92,4.37,15.0,2022,224
2.0,12:23,1.0,10.0,GNB 18,0.0,3.0,Tutu Atwell left end for -4 yards (tackle by Adrian Amos),4.37,3.29,15.0,2022,224
2.0,11:36,2.0,14.0,GNB 22,0.0,3.0,Baker Mayfield pass complete short right to Tyler Higbee for 7 yards (tackle by Keisean Nixon),3.29,3.46,15.0,2022,224
2.0,10:54,3.0,7.0,GNB 15,0.0,3.0,Baker Mayfield pass incomplete short right intended for Malcolm Brown (defended by Quay Walker),3.46,2.44,15.0,2022,224
2.0,10:45,4.0,7.0,GNB 15,3.0,3.0,Matt Gay 33 yard field goal good,2.44,3.0,15.0,2022,224
2.0,10:41,,,LAR 35,3.0,3.0,"Matt Gay kicks off 63 yards, returned by Keisean Nixon for 24 yards (tackle by Robert Rochell)",0.0,0.67,15.0,2022,224
2.0,10:36,1.0,10.0,GNB 26,3.0,3.0,Aaron Jones right tackle for 2 yards (tackle by Jonah Williams),0.67,0.4,15.0,2022,224
2.0,10:00,2.0,8.0,GNB 28,3.0,3.0,AJ Dillon left guard for 5 yards (tackle by Greg Gaines),0.4,0.37,15.0,2022,224
2.0,9:08,3.0,3.0,GNB 33,3.0,3.0,"Aaron Rodgers pass complete short middle to Randall Cobb for 12 yards (tackle by Nick Scott). Penalty on Leonard Floyd: Illegal Use of Hands / Defense, 5 yards (declined)",0.37,1.93,15.0,2022,224
2.0,9:05,1.0,10.0,GNB 45,3.0,3.0,Aaron Rodgers pass complete short left to AJ Dillon for 17 yards (tackle by Michael Hoecht),1.93,3.05,15.0,2022,224
2.0,8:19,1.0,10.0,LAR 38,3.0,3.0,Aaron Rodgers pass complete short middle to Randall Cobb for 14 yards (tackle by Nick Scott),3.05,3.97,15.0,2022,224
2.0,7:29,1.0,10.0,LAR 24,3.0,3.0,Aaron Rodgers pass incomplete short left,3.97,3.43,15.0,2022,224
2.0,7:22,2.0,10.0,LAR 24,3.0,3.0,Aaron Rodgers pass complete short left to AJ Dillon for 1 yard (tackle by Taylor Rapp),3.43,2.87,15.0,2022,224
2.0,6:44,3.0,9.0,LAR 23,3.0,3.0,Aaron Rodgers pass complete short middle to Randall Cobb for 6 yards (tackle by Jalen Ramsey and Nick Scott),2.87,2.41,15.0,2022,224
2.0,5:51,,,,,,Timeout #1 by Green Bay Packers,,,15.0,2022,224
2.0,5:51,4.0,3.0,LAR 17,3.0,3.0,AJ Dillon left tackle for 4 yards (tackle by Jonah Williams),2.41,4.71,15.0,2022,224
2.0,5:14,1.0,10.0,LAR 13,3.0,3.0,AJ Dillon left guard for 5 yards (tackle by Bobby Wagner),4.71,4.96,15.0,2022,224
2.0,4:33,2.0,5.0,LAR 8,3.0,9.0,"AJ Dillon up the middle for 8 yards, touchdown",4.96,7.0,15.0,2022,224
2.0,4:26,,,LAR 15,3.0,10.0,Mason Crosby kicks extra point good,0.0,0.0,15.0,2022,224
2.0,4:26,,,GNB 35,3.0,10.0,"Mason Crosby kicks off 59 yards, returned by Brandon Powell for 29 yards (tackle by Rasul Douglas and Eric Wilson)",0.0,1.27,15.0,2022,224
2.0,4:21,1.0,10.0,LAR 35,3.0,10.0,Baker Mayfield pass complete short middle to Ben Skowronek for 3 yards (tackle by Keisean Nixon and Tedarrell Slaton),1.27,1.13,15.0,2022,224
2.0,3:41,2.0,7.0,LAR 38,3.0,10.0,Brandon Powell left tackle for 3 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),1.13,0.83,15.0,2022,224
2.0,2:59,3.0,4.0,LAR 41,3.0,10.0,Baker Mayfield pass complete short right to Tutu Atwell for 10 yards (tackle by De'Vondre Campbell),0.83,2.32,15.0,2022,224
2.0,2:21,1.0,10.0,GNB 49,3.0,10.0,Cam Akers left tackle for 6 yards (tackle by Kingsley Enagbare),2.32,2.59,15.0,2022,224
2.0,2:00,2.0,4.0,GNB 43,3.0,10.0,"Baker Mayfield sacked by Quay Walker for -9 yards. Baker Mayfield fumbles (forced by Quay Walker), recovered by Rob Havenstein at LA-48 (tackle by Quay Walker)",2.59,0.7,15.0,2022,224
2.0,1:48,,,,,,Timeout #2 by Green Bay Packers,,,15.0,2022,224
2.0,1:48,3.0,13.0,LAR 48,3.0,10.0,Baker Mayfield pass complete short middle to Van Jefferson for 15 yards (tackle by Rasul Douglas),0.7,3.12,15.0,2022,224
2.0,1:08,1.0,10.0,GNB 37,3.0,10.0,Baker Mayfield pass incomplete deep middle intended for Tutu Atwell,3.12,2.57,15.0,2022,224
2.0,1:02,2.0,10.0,GNB 37,3.0,10.0,Baker Mayfield pass incomplete short left intended for Tutu Atwell,2.57,1.88,15.0,2022,224
2.0,0:57,,,,,,Timeout #2 by Los Angeles Rams,,,15.0,2022,224
2.0,0:57,3.0,10.0,GNB 37,3.0,10.0,Baker Mayfield pass incomplete short right,1.88,0.79,15.0,2022,224
2.0,0:51,4.0,10.0,GNB 37,6.0,10.0,Matt Gay 55 yard field goal good,0.79,3.0,15.0,2022,224
2.0,0:46,,,LAR 35,6.0,10.0,"Matt Gay kicks off 61 yards, returned by Keisean Nixon for 19 yards. Penalty on Jonathan Garvin: Offensive Holding, 10 yards (accepted)",0.0,-0.32,15.0,2022,224
2.0,0:37,1.0,10.0,GNB 13,6.0,10.0,Aaron Jones up the middle for 6 yards (tackle by Russ Yeast),-0.32,0.03,15.0,2022,224
2.0,0:17,2.0,4.0,GNB 19,6.0,10.0,Aaron Rodgers pass complete short middle to Aaron Jones for 25 yards (tackle by Taylor Rapp),0.03,1.86,15.0,2022,224
2.0,0:07,,,,,,Timeout #3 by Los Angeles Rams,,,15.0,2022,224
2.0,0:07,1.0,10.0,GNB 44,6.0,10.0,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan,1.86,1.32,15.0,2022,224
2.0,0:03,2.0,10.0,GNB 44,6.0,10.0,Aaron Rodgers sacked by Greg Gaines for -4 yards,1.32,0.1,15.0,2022,224
3.0,15:00,,,LAR 35,6.0,10.0,"Matt Gay kicks off 40 yards, recovered by Corey Ballentine at GB-32 returned by Corey Ballentine for no gain",0.0,1.07,15.0,2022,224
3.0,14:57,1.0,10.0,GNB 32,6.0,10.0,Aaron Jones left end for -1 yards (tackle by Greg Gaines and Bobby Wagner),1.07,0.39,15.0,2022,224
3.0,14:23,2.0,11.0,GNB 31,6.0,10.0,"Aaron Rodgers sacked by and Jonah Williams for no gain and Michael Hoecht for no gain. Penalty on Cobie Durant: Defensive Holding, 5 yards (accepted) . Penalty on Ernest Jones: Defensive Holding, 5 yards (declined) (no play)",0.39,1.33,15.0,2022,224
3.0,14:07,1.0,10.0,GNB 36,6.0,10.0,Aaron Jones up the middle for no gain (tackle by Cobie Durant and Bobby Wagner),1.33,0.79,15.0,2022,224
3.0,13:28,2.0,10.0,GNB 36,6.0,10.0,Aaron Rodgers pass complete short middle to Romeo Doubs for 10 yards (tackle by Troy Hill),0.79,1.99,15.0,2022,224
3.0,12:46,1.0,10.0,GNB 46,6.0,10.0,Aaron Rodgers pass complete short right to Christian Watson for 10 yards (tackle by Troy Hill),1.99,2.65,15.0,2022,224
3.0,12:05,1.0,10.0,LAR 44,6.0,10.0,AJ Dillon left end for -1 yards (tackle by Bobby Wagner and Jalen Ramsey),2.65,1.98,15.0,2022,224
3.0,11:36,2.0,11.0,LAR 45,6.0,10.0,Aaron Rodgers pass complete short left to AJ Dillon for 17 yards (tackle by Michael Hoecht),1.98,3.71,15.0,2022,224
3.0,11:05,1.0,10.0,LAR 28,6.0,10.0,Aaron Rodgers pass complete short middle to Christian Watson for 15 yards (tackle by Nick Scott),3.71,4.71,15.0,2022,224
3.0,10:22,1.0,10.0,LAR 13,6.0,10.0,Aaron Rodgers pass complete short middle to Aaron Jones for no gain (tackle by Bobby Wagner),4.71,4.05,15.0,2022,224
3.0,9:41,2.0,10.0,LAR 13,6.0,10.0,Aaron Rodgers pass complete short right to Aaron Jones for 4 yards (tackle by Nick Scott),4.05,3.88,15.0,2022,224
3.0,8:47,3.0,6.0,LAR 9,6.0,10.0,"Aaron Rodgers pass incomplete short middle intended for Randall Cobb (defended by Cobie Durant). Penalty on Jalen Ramsey: Illegal Contact, 5 yards (accepted) (no play)",3.88,6.28,15.0,2022,224
3.0,8:47,1.0,4.0,LAR 4,6.0,10.0,AJ Dillon up the middle for 3 yards (tackle by Jalen Ramsey and Earnest Brown),6.28,5.91,15.0,2022,224
3.0,8:09,2.0,1.0,LAR 1,6.0,16.0,"AJ Dillon up the middle for 1 yard, touchdown",5.91,7.0,15.0,2022,224
3.0,8:04,,,LAR 15,6.0,17.0,Mason Crosby kicks extra point good,0.0,0.0,15.0,2022,224
3.0,8:04,,,GNB 35,6.0,17.0,"Mason Crosby kicks off 63 yards, returned by Brandon Powell for 24 yards (tackle by Rasul Douglas)",0.0,0.67,15.0,2022,224
3.0,7:57,1.0,10.0,LAR 26,6.0,17.0,Cam Akers right tackle for -2 yards (tackle by Quay Walker),0.67,-0.14,15.0,2022,224
3.0,7:05,2.0,12.0,LAR 24,6.0,17.0,"Brandon Powell up the middle for 9 yards (tackle by Quay Walker). Penalty on Matt Skura: Offensive Holding, 10 yards (accepted) (no play)",-0.14,-1.61,15.0,2022,224
3.0,6:51,2.0,22.0,LAR 14,6.0,17.0,Cam Akers left guard for 5 yards (tackle by Jarran Reed),-1.61,-1.58,15.0,2022,224
3.0,6:26,3.0,17.0,LAR 19,6.0,17.0,Baker Mayfield pass complete short right to Cam Akers for 7 yards (tackle by Rasul Douglas and De'Vondre Campbell),-1.58,-1.63,15.0,2022,224
3.0,5:33,4.0,10.0,LAR 26,6.0,17.0,"Riley Dixon punts 41 yards, returned by Keisean Nixon for 17 yards (tackle by Riley Dixon). Penalty on Russ Yeast: Face Mask (15 Yards), 15 yards (accepted)",-1.63,-3.25,15.0,2022,224
3.0,5:33,1.0,10.0,LAR 35,6.0,17.0,Aaron Jones right tackle for 9 yards (tackle by Nick Scott),3.25,3.92,15.0,2022,224
3.0,4:50,2.0,1.0,LAR 26,6.0,17.0,Aaron Jones left end for 2 yards (tackle by Bobby Wagner),3.92,3.97,15.0,2022,224
3.0,4:11,1.0,10.0,LAR 24,6.0,17.0,Aaron Jones up the middle for 3 yards (tackle by Jonah Williams and Bobby Brown),3.97,3.84,15.0,2022,224
3.0,3:32,2.0,7.0,LAR 21,6.0,17.0,Aaron Rodgers pass complete short middle to Marcedes Lewis for 14 yards (tackle by Nick Scott),3.84,5.6,15.0,2022,224
3.0,2:43,1.0,7.0,LAR 7,6.0,17.0,Aaron Rodgers pass incomplete short left,5.6,4.76,15.0,2022,224
3.0,2:36,2.0,7.0,LAR 7,6.0,23.0,"Aaron Rodgers pass complete short left to Aaron Jones for 7 yards, touchdown",4.76,7.0,15.0,2022,224
3.0,2:31,,,LAR 15,6.0,24.0,Mason Crosby kicks extra point good,0.0,0.0,15.0,2022,224
3.0,2:31,,,GNB 35,6.0,24.0,"Mason Crosby kicks off 55 yards, returned by Brandon Powell for 20 yards (tackle by Tyler Davis)",0.0,0.94,15.0,2022,224
3.0,2:25,1.0,10.0,LAR 30,6.0,24.0,"Baker Mayfield pass complete short left to Cam Akers for 18 yards (tackle by Rasul Douglas). Penalty on Jaire Alexander: Defensive Chop Block, 15 yards (accepted)",0.94,3.12,15.0,2022,224
3.0,2:10,1.0,10.0,GNB 37,6.0,24.0,Cam Akers left guard for 8 yards (tackle by Quay Walker),3.12,3.65,15.0,2022,224
3.0,1:37,2.0,2.0,GNB 29,6.0,24.0,Cam Akers right tackle for 19 yards (tackle by Rasul Douglas),3.65,4.91,15.0,2022,224
3.0,1:11,1.0,10.0,GNB 10,6.0,24.0,Cam Akers up the middle for 2 yards (tackle by Quay Walker),4.91,4.57,15.0,2022,224
3.0,0:38,2.0,8.0,GNB 8,6.0,24.0,Baker Mayfield pass incomplete short middle intended for Tutu Atwell (defended by Quay Walker) (defended by Adrian Amos),4.57,3.58,15.0,2022,224
3.0,0:26,,,,,,Timeout #1 by Los Angeles Rams,,,15.0,2022,224
3.0,0:26,3.0,8.0,GNB 8,12.0,24.0,"Baker Mayfield pass complete short middle to Tyler Higbee for 8 yards, touchdown",3.58,7.0,15.0,2022,224
3.0,0:22,,,GNB 15,12.0,24.0,Matt Gay kicks extra point no good,0.0,-1.0,15.0,2022,224
3.0,0:22,,,LAR 35,12.0,24.0,"Matt Gay kicks off 64 yards, returned by Keisean Nixon for 52 yards (tackle by Matt Gay and Nick Scott)",0.0,2.46,15.0,2022,224
3.0,0:13,1.0,10.0,LAR 47,12.0,24.0,AJ Dillon right guard for -4 yards (tackle by Ernest Jones and Michael Hoecht),2.46,1.37,15.0,2022,224
4.0,15:00,2.0,14.0,GNB 49,12.0,24.0,"Aaron Rodgers pass incomplete deep left intended for Christian Watson. Penalty on Troy Hill: Defensive Pass Interference, 16 yards (accepted) (no play)",1.37,3.25,15.0,2022,224
4.0,14:53,1.0,10.0,LAR 35,12.0,24.0,Aaron Jones left end for no gain (tackle by Jalen Ramsey),3.25,2.7,15.0,2022,224
4.0,14:10,2.0,10.0,LAR 35,12.0,24.0,Aaron Rodgers pass incomplete short middle intended for Randall Cobb (defended by Cobie Durant),2.7,2.01,15.0,2022,224
4.0,14:06,3.0,10.0,LAR 35,12.0,24.0,Aaron Rodgers sacked by Leonard Floyd for -7 yards,2.01,0.46,15.0,2022,224
4.0,13:23,4.0,17.0,LAR 42,12.0,24.0,"Pat O'Donnell punts 37 yards, returned by Brandon Powell for 8 yards (tackle by Tyler Davis)",0.46,0.32,15.0,2022,224
4.0,13:13,1.0,10.0,LAR 13,12.0,24.0,Cam Akers left end for no gain (tackle by Devonte Wyatt),-0.32,-0.77,15.0,2022,224
4.0,12:41,2.0,10.0,LAR 13,12.0,24.0,Baker Mayfield sacked by and Justin Hollins for -3 yards and Devonte Wyatt for -3 yards,-0.77,-1.77,15.0,2022,224
4.0,12:14,3.0,13.0,LAR 10,12.0,24.0,"Baker Mayfield pass deep right intended for Ben Skowronek is intercepted by Rasul Douglas at LA-33 and returned for no gain. Rasul Douglas fumbles, recovered by Adrian Amos at LA-33 and returned for -1 yards (tackle by Tyler Higbee)",-1.77,-3.31,15.0,2022,224
4.0,11:53,1.0,10.0,LAR 34,12.0,24.0,Aaron Jones left end for 3 yards (tackle by Michael Hoecht),3.31,3.18,15.0,2022,224
4.0,11:10,2.0,7.0,LAR 31,12.0,24.0,"Aaron Jones right tackle for 13 yards. Aaron Jones fumbles (forced by Jalen Ramsey) (tackle by Taylor Rapp), recovered by Jalen Ramsey at LA-18 and returned for 12 yards (tackle by Robert Tonyan). Penalty on Yosuah Nijman: Face Mask (15 Yards), 15 yards (declined) . Penalty on Greg Gaines: Unnecessary Roughness / Defense, 15 yards (accepted)",3.18,0.22,15.0,2022,224
4.0,10:55,1.0,10.0,LAR 15,12.0,24.0,Baker Mayfield pass complete short right to Brandon Powell for 4 yards (tackle by Rasul Douglas),-0.22,-0.11,15.0,2022,224
4.0,10:13,,,,,,Timeout #2 by Los Angeles Rams,,,15.0,2022,224
4.0,10:13,2.0,6.0,LAR 19,12.0,24.0,"Baker Mayfield pass incomplete deep right intended for Tutu Atwell. Penalty on Adrian Amos: Defensive Pass Interference, 40 yards (accepted) (no play)",-0.11,2.85,15.0,2022,224
4.0,10:06,1.0,10.0,GNB 41,12.0,24.0,Baker Mayfield sacked by Preston Smith for -6 yards,2.85,1.5,15.0,2022,224
4.0,9:21,2.0,16.0,GNB 47,12.0,24.0,Baker Mayfield pass incomplete short right intended for Brandon Powell,1.5,0.83,15.0,2022,224
4.0,9:17,3.0,16.0,GNB 47,12.0,24.0,"Baker Mayfield scrambles left end for 1 yard (tackle by Quay Walker). Penalty on Rob Havenstein: Offensive Holding, 10 yards (declined)",0.83,0.2,15.0,2022,224
4.0,8:58,4.0,15.0,GNB 46,12.0,24.0,"Riley Dixon punts 32 yards, fair catch by Randall Cobb at GB-14",0.2,0.28,15.0,2022,224
4.0,8:51,1.0,10.0,GNB 14,12.0,24.0,Aaron Jones left end for 9 yards (tackle by Ernest Jones),-0.28,0.55,15.0,2022,224
4.0,8:08,2.0,1.0,GNB 23,12.0,24.0,Patrick Taylor up the middle for 5 yards (tackle by Ernest Jones and Michael Hoecht),0.55,0.81,15.0,2022,224
4.0,7:24,,,,,,Timeout #1 by Green Bay Packers,,,15.0,2022,224
4.0,7:24,1.0,10.0,GNB 28,12.0,24.0,Aaron Rodgers pass complete short middle to Romeo Doubs for 23 yards (tackle by Taylor Rapp),0.81,2.32,15.0,2022,224
4.0,6:38,1.0,10.0,LAR 49,12.0,24.0,Patrick Taylor up the middle for 6 yards (tackle by Jonah Williams and Cobie Durant),2.32,2.59,15.0,2022,224
4.0,5:56,2.0,4.0,LAR 43,12.0,24.0,Patrick Taylor right tackle for 3 yards (tackle by Leonard Floyd),2.59,2.28,15.0,2022,224
4.0,5:13,3.0,1.0,LAR 40,12.0,24.0,Aaron Rodgers pass complete short left to Christian Watson for 13 yards (tackle by Nick Scott),2.28,3.78,15.0,2022,224
4.0,4:34,1.0,10.0,LAR 27,12.0,24.0,Patrick Taylor right tackle for 1 yard (tackle by Bobby Wagner and Leonard Floyd),3.78,3.37,15.0,2022,224
4.0,3:42,2.0,9.0,LAR 26,12.0,24.0,Aaron Jones right end for 14 yards (tackle by Taylor Rapp),3.37,4.78,15.0,2022,224
4.0,2:54,1.0,10.0,LAR 12,12.0,24.0,Aaron Rodgers pass complete short right to Romeo Doubs for no gain (tackle by Troy Hill),4.78,4.1,15.0,2022,224
4.0,2:06,,,,,,Timeout #2 by Green Bay Packers,,,15.0,2022,224
4.0,2:06,2.0,10.0,LAR 12,12.0,24.0,Aaron Rodgers pass complete short left to Christian Watson for 8 yards (tackle by Troy Hill),4.1,4.84,15.0,2022,224
4.0,1:59,3.0,2.0,LAR 4,12.0,24.0,Aaron Rodgers pass incomplete short right intended for Christian Watson,4.84,3.04,15.0,2022,224
4.0,1:57,4.0,2.0,LAR 4,12.0,24.0,Aaron Jones left guard for 3 yards (tackle by Greg Gaines),3.04,6.97,15.0,2022,224
4.0,1:36,,,,,,Timeout #3 by Los Angeles Rams,,,15.0,2022,224
4.0,1:36,1.0,1.0,LAR 1,12.0,24.0,Aaron Rodgers kneels for -1 yards,6.97,5.72,15.0,2022,224
4.0,0:53,2.0,2.0,LAR 2,12.0,24.0,Aaron Rodgers kneels for -1 yards,5.72,4.72,15.0,2022,224
4.0,0:34,3.0,3.0,LAR 3,12.0,24.0,Aaron Rodgers kneels for -1 yards,4.72,3.03,15.0,2022,224
