Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA,week,year,game_id
1.0,3:19,3.0,10.0,CHI 39,0.0,0.0,Justin Fields sacked by Josh Sweat for -14 yards,0.3,-1.7,15.0,2022,215
1.0,2:49,4.0,24.0,CHI 25,0.0,0.0,"Trenton Gill punts 47 yards, returned by Britain Covey for 7 yards (tackle by Josh Blackwell)",-1.7,-1.27,15.0,2022,215
1.0,2:39,1.0,10.0,PHI 35,0.0,0.0,Jalen Hurts pass incomplete short left intended for Zach Pascal,1.27,0.72,15.0,2022,215
1.0,2:32,2.0,10.0,PHI 35,0.0,0.0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith,0.72,0.04,15.0,2022,215
1.0,2:26,3.0,10.0,PHI 35,0.0,0.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,0.04,-1.04,15.0,2022,215
1.0,2:21,4.0,10.0,PHI 35,0.0,0.0,"Brett Kern punts 40 yards, returned by Dante Pettis for 4 yards (tackle by Rick Lovato and Nakobe Dean)",-1.04,-0.87,15.0,2022,215
1.0,2:09,1.0,10.0,CHI 29,0.0,0.0,Justin Fields pass complete short right to Dante Pettis for 13 yards (tackle by T.J. Edwards),0.87,1.73,15.0,2022,215
1.0,1:43,1.0,10.0,CHI 42,0.0,0.0,Darrynton Evans right guard for 3 yards (tackle by Haason Reddick and Kyzir White),1.73,1.59,15.0,2022,215
1.0,1:18,2.0,7.0,CHI 45,0.0,0.0,Justin Fields pass complete short left to Cole Kmet for 6 yards (tackle by T.J. Edwards),1.59,1.69,15.0,2022,215
1.0,0:37,3.0,1.0,PHI 49,0.0,0.0,Justin Fields sacked by Javon Hargrave for -8 yards,1.69,-0.52,15.0,2022,215
2.0,15:00,4.0,9.0,CHI 43,0.0,0.0,"Trenton Gill punts 38 yards, fair catch by Britain Covey at PHI-19",-0.52,-0.15,15.0,2022,215
2.0,14:52,1.0,10.0,PHI 19,0.0,0.0,Jalen Hurts left end for 2 yards (tackle by Jack Sanborn),0.15,-0.06,15.0,2022,215
2.0,14:14,2.0,8.0,PHI 21,0.0,0.0,Jalen Hurts pass complete short middle to DeVonta Smith for 45 yards (tackle by DeAndre Houston-Carson),-0.06,3.31,15.0,2022,215
2.0,1:33,1.0,10.0,CHI 34,0.0,0.0,Jalen Hurts pass incomplete deep right intended for Grant Calcaterra,3.31,2.77,15.0,2022,215
2.0,13:27,2.0,10.0,CHI 34,0.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 16 yards (tackle by DeAndre Houston-Carson and Kyler Gordon),2.77,4.37,15.0,2022,215
2.0,13:06,1.0,10.0,CHI 18,0.0,0.0,Jalen Hurts pass complete short right to Quez Watkins for 1 yard (tackle by Jack Sanborn),4.37,3.94,15.0,2022,215
2.0,12:40,2.0,9.0,CHI 17,0.0,0.0,"Quez Watkins left end for 4 yards (tackle by Jaylon Johnson). Penalty on Tyree Jackson: Offensive Holding, 10 yards (accepted)",3.94,3.15,15.0,2022,215
2.0,12:20,2.0,15.0,CHI 23,0.0,0.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown (defended by Jaylon Johnson),3.15,2.48,15.0,2022,215
2.0,12:15,3.0,15.0,CHI 23,0.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 9 yards (tackle by Jaquan Brisker),2.48,2.53,15.0,2022,215
2.0,11:54,,,,,,Timeout #1 by Chicago Bears,,,15.0,2022,215
2.0,11:54,4.0,6.0,CHI 14,3.0,0.0,Jake Elliott 32 yard field goal good,2.53,3.0,15.0,2022,215
2.0,11:50,,,PHI 35,3.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,215
2.0,11:50,1.0,10.0,CHI 25,3.0,0.0,David Montgomery left guard for 2 yards (tackle by Avonte Maddox),0.61,0.33,15.0,2022,215
2.0,11:19,2.0,8.0,CHI 27,3.0,0.0,Justin Fields left tackle for 4 yards (tackle by K'Von Wallace),0.33,0.17,15.0,2022,215
2.0,10:42,3.0,4.0,CHI 31,3.0,0.0,Justin Fields scrambles up the middle for 15 yards (tackle by Marcus Epps),0.17,1.99,15.0,2022,215
2.0,9:55,1.0,10.0,CHI 46,3.0,0.0,David Montgomery left tackle for 2 yards (tackle by Avonte Maddox and T.J. Edwards),1.99,1.72,15.0,2022,215
2.0,9:13,2.0,8.0,CHI 48,3.0,0.0,Justin Fields pass complete short right to David Montgomery for 21 yards (tackle by K'Von Wallace and Darius Slay),1.72,3.51,15.0,2022,215
2.0,8:28,1.0,10.0,PHI 31,3.0,0.0,"Justin Fields sacked by Haason Reddick for -13 yards. Justin Fields fumbles (forced by Haason Reddick), recovered by Alex Leatherwood at PHI-48",3.51,0.88,15.0,2022,215
2.0,7:31,2.0,24.0,PHI 48,3.0,0.0,Justin Fields scrambles left tackle for 39 yards (tackle by Avonte Maddox),0.88,5.14,15.0,2022,215
2.0,6:49,1.0,9.0,PHI 9,3.0,6.0,"David Montgomery right tackle for 9 yards, touchdown",5.14,7.0,15.0,2022,215
2.0,6:47,,,PHI 15,3.0,6.0,Cairo Santos kicks extra point no good,0.0,-1.0,15.0,2022,215
2.0,6:47,,,CHI 35,3.0,6.0,"Trenton Gill kicks off 62 yards, returned by Boston Scott for 15 yards (tackle by Darrynton Evans)",0.0,0.04,15.0,2022,215
2.0,6:42,1.0,10.0,PHI 18,3.0,6.0,Miles Sanders right guard for 1 yard (tackle by Nicholas Morrow and Justin Jones),0.04,-0.32,15.0,2022,215
2.0,6:02,2.0,9.0,PHI 19,3.0,6.0,Jalen Hurts scrambles left end for 3 yards (tackle by Nicholas Morrow),-0.32,-0.66,15.0,2022,215
2.0,5:29,3.0,6.0,PHI 22,3.0,6.0,Jalen Hurts pass deep left intended for Quez Watkins is intercepted by DeAndre Houston-Carson at PHI-43 and returned for 18 yards (tackle by Landon Dickerson),-0.66,-3.91,15.0,2022,215
2.0,5:15,1.0,10.0,PHI 25,3.0,6.0,Justin Fields pass incomplete short left intended for Trestan Ebner,3.91,3.36,15.0,2022,215
2.0,5:12,2.0,10.0,PHI 25,3.0,6.0,Justin Fields right end for 11 yards (tackle by Marcus Epps and Darius Slay),3.36,4.65,15.0,2022,215
2.0,4:36,1.0,10.0,PHI 14,3.0,6.0,"Justin Fields aborted snap, recovered by Trestan Ebner at PHI-18 Trestan Ebner for no gain (tackle by Kyzir White)",4.65,3.28,15.0,2022,215
2.0,3:52,2.0,16.0,PHI 20,3.0,6.0,Justin Fields pass incomplete short right intended for Dante Pettis (defended by Haason Reddick),3.28,2.61,15.0,2022,215
2.0,3:49,3.0,16.0,PHI 20,3.0,6.0,Justin Fields sacked by Haason Reddick for -10 yards,2.61,1.32,15.0,2022,215
2.0,3:00,4.0,27.0,PHI 31,3.0,6.0,"Penalty on CHI: Delay of Game, 5 yards (declined) (no play)",1.32,1.41,15.0,2022,215
2.0,3:00,4.0,27.0,PHI 30,3.0,6.0,Trenton Gill punts 21 yards downed by Nsimba Webster,1.41,0.38,15.0,2022,215
2.0,2:49,1.0,10.0,PHI 9,3.0,6.0,Miles Sanders right tackle for 6 yards (tackle by Jack Sanborn and Angelo Blackson),-0.38,-0.28,15.0,2022,215
2.0,2:15,2.0,4.0,PHI 15,3.0,6.0,Miles Sanders right end for 5 yards (tackle by Taco Charlton),-0.28,0.28,15.0,2022,215
2.0,2:00,1.0,10.0,PHI 20,3.0,6.0,Jalen Hurts scrambles left guard for 6 yards (tackle by Nicholas Morrow),0.28,0.54,15.0,2022,215
2.0,1:28,2.0,4.0,PHI 26,3.0,6.0,"Jalen Hurts pass complete to Kenneth Gainwell for no gain. Penalty on Jaylon Jones: Illegal Contact, 5 yards (accepted) (no play)",0.54,1.0,15.0,2022,215
2.0,1:22,1.0,10.0,PHI 31,3.0,6.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 7 yards (tackle by Nicholas Morrow),1.0,1.41,15.0,2022,215
2.0,1:16,2.0,3.0,PHI 38,3.0,6.0,Jalen Hurts pass incomplete short left intended for A.J. Brown,1.41,0.7,15.0,2022,215
2.0,1:11,3.0,3.0,PHI 38,3.0,6.0,Jalen Hurts pass complete deep right to DeVonta Smith for 38 yards (tackle by DeAndre Houston-Carson),0.7,3.97,15.0,2022,215
2.0,1:03,1.0,10.0,CHI 24,3.0,6.0,Jalen Hurts pass complete short right to Kenneth Gainwell for 2 yards (tackle by Jaylon Johnson),3.97,3.7,15.0,2022,215
2.0,0:57,,,,,,Timeout #1 by Philadelphia Eagles,,,15.0,2022,215
2.0,0:57,2.0,8.0,CHI 22,3.0,6.0,Jalen Hurts for no gain (tackle by Kyler Gordon),3.7,3.01,15.0,2022,215
2.0,0:48,,,,,,Timeout #2 by Philadelphia Eagles,,,15.0,2022,215
2.0,0:48,3.0,8.0,CHI 22,9.0,6.0,"Jalen Hurts left guard for 22 yards, touchdown",3.01,7.0,15.0,2022,215
2.0,0:43,,,CHI 15,10.0,6.0,Jake Elliott kicks extra point good,0.0,0.0,15.0,2022,215
2.0,0:43,,,PHI 35,10.0,6.0,"Jake Elliott kicks off 68 yards, returned by Velus Jones for 29 yards (tackle by Josiah Scott)",0.0,0.67,15.0,2022,215
2.0,0:38,1.0,10.0,CHI 26,10.0,6.0,Justin Fields pass incomplete short right,0.67,0.13,15.0,2022,215
2.0,0:31,2.0,10.0,CHI 26,10.0,6.0,Justin Fields sacked by Josh Sweat for -7 yards,0.13,-1.58,15.0,2022,215
2.0,0:25,,,,,,Timeout #3 by Philadelphia Eagles,,,15.0,2022,215
2.0,0:25,3.0,17.0,CHI 19,10.0,6.0,Justin Fields kneels for -1 yards,-1.58,-2.24,15.0,2022,215
3.0,15:00,,,CHI 35,10.0,6.0,"Trenton Gill kicks off 65 yards, returned by Boston Scott for 58 yards (tackle by Elijah Hicks)",0.0,2.79,15.0,2022,215
3.0,14:50,1.0,10.0,CHI 42,10.0,6.0,Jalen Hurts right end for 2 yards (tackle by Nicholas Morrow),2.79,2.51,15.0,2022,215
3.0,14:11,2.0,8.0,CHI 40,10.0,6.0,Jalen Hurts pass complete short middle to Jack Stoll for 6 yards (tackle by Jack Sanborn and Jaquan Brisker),2.51,2.61,15.0,2022,215
3.0,13:31,3.0,2.0,CHI 34,10.0,6.0,Kenneth Gainwell right guard for 3 yards (tackle by Jaylon Jones),2.61,3.51,15.0,2022,215
3.0,13:06,1.0,10.0,CHI 31,10.0,6.0,Jalen Hurts pass complete deep right to A.J. Brown for 29 yards (tackle by Jaylon Johnson),3.51,6.74,15.0,2022,215
3.0,12:43,1.0,2.0,CHI 2,10.0,6.0,Kenneth Gainwell right guard for 1 yard (tackle by Dominique Robinson and Nicholas Morrow),6.74,5.91,15.0,2022,215
3.0,12:26,2.0,1.0,CHI 1,16.0,6.0,"Jalen Hurts up the middle for 1 yard, touchdown",5.91,7.0,15.0,2022,215
3.0,12:19,,,CHI 15,17.0,6.0,Jake Elliott kicks extra point good,0.0,0.0,15.0,2022,215
3.0,12:19,,,PHI 35,17.0,6.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,215
3.0,12:19,1.0,10.0,CHI 25,17.0,6.0,David Montgomery left tackle for 4 yards (tackle by Linval Joseph),0.61,0.6,15.0,2022,215
3.0,11:43,2.0,6.0,CHI 29,17.0,6.0,Justin Fields scrambles right end for 1 yard (tackle by Haason Reddick),0.6,0.04,15.0,2022,215
3.0,11:03,3.0,5.0,CHI 30,17.0,6.0,Justin Fields sacked by Javon Hargrave for -9 yards,0.04,-1.96,15.0,2022,215
3.0,10:28,4.0,14.0,CHI 21,17.0,6.0,Trenton Gill punts 39 yards out of bounds,-1.96,-1.6,15.0,2022,215
3.0,10:19,1.0,10.0,PHI 40,17.0,6.0,"Jalen Hurts pass complete to Miles Sanders for -13 yards. Miles Sanders fumbles (forced by Mike Pennel), recovered by Kyler Gordon at PHI-27 and returned for 12 yards (tackle by Jalen Hurts) Replay Assistant challenged the fumble ruling, and the play was upheld.",1.6,-4.58,15.0,2022,215
3.0,10:07,1.0,10.0,PHI 15,17.0,6.0,David Montgomery right end for 6 yards (tackle by T.J. Edwards and Ndamukong Suh),4.58,5.03,15.0,2022,215
3.0,9:22,2.0,4.0,PHI 9,17.0,6.0,Justin Fields left end for -1 yards (tackle by James Bradberry),5.03,4.0,15.0,2022,215
3.0,8:50,3.0,5.0,PHI 10,17.0,12.0,"Justin Fields pass complete short right to David Montgomery for 10 yards, touchdown",4.0,7.0,15.0,2022,215
3.0,8:45,,,PHI 15,17.0,13.0,Cairo Santos kicks extra point good,0.0,0.0,15.0,2022,215
3.0,8:45,,,CHI 35,17.0,13.0,"Trenton Gill kicks off 62 yards, returned by Boston Scott for 19 yards (tackle by Khari Blasingame)",0.0,0.41,15.0,2022,215
3.0,8:39,1.0,10.0,PHI 22,17.0,13.0,Miles Sanders left end for 2 yards (tackle by Mike Pennel),0.41,0.14,15.0,2022,215
3.0,8:04,2.0,8.0,PHI 24,17.0,13.0,Jalen Hurts up the middle for 6 yards (tackle by Joe Thomas),0.14,0.23,15.0,2022,215
3.0,7:23,3.0,2.0,PHI 30,17.0,13.0,Jalen Hurts pass incomplete deep left intended for Quez Watkins,0.23,-1.37,15.0,2022,215
3.0,7:15,4.0,2.0,PHI 30,17.0,13.0,"Brett Kern punts 50 yards, returned by Dante Pettis for 20 yards (tackle by K'Von Wallace)",-1.37,-1.6,15.0,2022,215
3.0,7:04,1.0,10.0,CHI 40,17.0,13.0,David Montgomery right tackle for 5 yards (tackle by Marcus Epps and T.J. Edwards),1.6,1.73,15.0,2022,215
3.0,6:28,2.0,5.0,CHI 45,17.0,13.0,Justin Fields right end for 13 yards (tackle by Darius Slay),1.73,2.79,15.0,2022,215
3.0,5:52,1.0,10.0,PHI 42,17.0,13.0,"Velus Jones left end for no gain (tackle by Avonte Maddox and T.J. Edwards). Velus Jones fumbles (forced by Avonte Maddox), recovered by Haason Reddick at PHI-42 and returned for 1 yard (tackle by Dante Pettis)",2.79,-1.8,15.0,2022,215
3.0,5:43,1.0,10.0,PHI 43,17.0,13.0,Jalen Hurts pass complete short middle to A.J. Brown for 20 yards (tackle by DeAndre Houston-Carson),1.8,3.12,15.0,2022,215
3.0,5:17,1.0,10.0,CHI 37,17.0,13.0,Jalen Hurts pass complete short right to Quez Watkins for 1 yard (tackle by Kyler Gordon),3.12,2.71,15.0,2022,215
3.0,4:37,2.0,9.0,CHI 36,17.0,13.0,Jalen Hurts sacked by Joe Thomas for -6 yards,2.71,1.22,15.0,2022,215
3.0,3:45,3.0,15.0,CHI 42,17.0,13.0,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Jaylon Johnson),1.22,1.16,15.0,2022,215
3.0,3:06,4.0,6.0,CHI 33,17.0,13.0,Jalen Hurts pass incomplete short middle intended for A.J. Brown (defended by Jaylon Johnson),1.16,-1.14,15.0,2022,215
3.0,3:02,1.0,10.0,CHI 33,17.0,13.0,Justin Fields pass incomplete deep right intended for Cole Kmet,1.14,0.59,15.0,2022,215
3.0,2:57,2.0,10.0,CHI 33,17.0,13.0,Justin Fields pass incomplete short right intended for Dante Pettis,0.59,-0.1,15.0,2022,215
3.0,2:54,3.0,10.0,CHI 33,17.0,13.0,Justin Fields pass complete short right to Cole Kmet for 7 yards (tackle by T.J. Edwards),-0.1,-0.72,15.0,2022,215
3.0,2:13,4.0,4.0,CHI 40,17.0,13.0,Trenton Gill punts 56 yards downed by Nsimba Webster,-0.72,0.38,15.0,2022,215
3.0,2:03,1.0,10.0,PHI 4,17.0,13.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith (defended by Mike Pennel),-0.38,-0.78,15.0,2022,215
3.0,1:59,2.0,10.0,PHI 4,17.0,13.0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Jaylon Johnson),-0.78,-1.42,15.0,2022,215
3.0,1:54,3.0,10.0,PHI 4,17.0,13.0,Jalen Hurts pass complete short right to DeVonta Smith for 14 yards (tackle by DeAndre Houston-Carson),-1.42,0.04,15.0,2022,215
3.0,1:14,1.0,10.0,PHI 18,17.0,13.0,Jalen Hurts right end for 3 yards (tackle by Jaylon Jones and Trevis Gipson),0.04,0.01,15.0,2022,215
3.0,0:29,2.0,7.0,PHI 21,17.0,13.0,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Jaylon Jones),0.01,0.87,15.0,2022,215
4.0,15:00,1.0,10.0,PHI 29,17.0,13.0,Jalen Hurts pass complete short left to A.J. Brown for 12 yards (tackle by Jaylon Johnson),0.87,1.66,15.0,2022,215
4.0,14:27,1.0,10.0,PHI 41,17.0,13.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,1.66,1.12,15.0,2022,215
4.0,14:21,2.0,10.0,PHI 41,17.0,13.0,Miles Sanders right end for 18 yards (tackle by Jaquan Brisker),1.12,2.85,15.0,2022,215
4.0,13:38,1.0,10.0,CHI 41,17.0,13.0,Jalen Hurts scrambles left end for 5 yards (tackle by Kyler Gordon),2.85,2.85,15.0,2022,215
4.0,12:58,2.0,6.0,CHI 37,17.0,13.0,Miles Sanders right end for 1 yard (tackle by Nicholas Morrow and Joe Thomas),2.85,2.41,15.0,2022,215
4.0,12:17,3.0,4.0,CHI 35,17.0,13.0,Kenneth Gainwell left tackle for 1 yard (tackle by Joe Thomas and Nicholas Morrow),2.41,1.09,15.0,2022,215
4.0,11:36,4.0,3.0,CHI 34,17.0,13.0,Jalen Hurts scrambles right end for 3 yards (tackle by Nicholas Morrow),1.09,3.51,15.0,2022,215
4.0,11:00,1.0,10.0,CHI 31,17.0,13.0,Miles Sanders right end for 3 yards (tackle by Al-Quadin Muhammad),3.51,3.37,15.0,2022,215
4.0,10:18,2.0,7.0,CHI 28,17.0,13.0,Jalen Hurts pass complete short middle to A.J. Brown for 6 yards (tackle by Jaylon Johnson and Joe Thomas),3.37,3.47,15.0,2022,215
4.0,9:56,3.0,1.0,CHI 22,17.0,13.0,Jalen Hurts up the middle for 2 yards (tackle by Joe Thomas),3.47,4.24,15.0,2022,215
4.0,9:13,1.0,10.0,CHI 20,17.0,13.0,Miles Sanders left end for no gain (tackle by Jaquan Brisker),4.24,3.56,15.0,2022,215
4.0,8:39,2.0,11.0,CHI 21,17.0,13.0,Jalen Hurts pass incomplete short middle intended for Grant Calcaterra (defended by Mike Pennel),3.56,3.01,15.0,2022,215
4.0,8:35,3.0,10.0,CHI 20,17.0,13.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith,3.01,2.12,15.0,2022,215
4.0,8:29,4.0,10.0,CHI 20,17.0,13.0,Jake Elliott 38 yard field goal no good,2.12,-0.81,15.0,2022,215
4.0,8:25,1.0,10.0,CHI 28,17.0,13.0,David Montgomery right end for 5 yards (tackle by K'Von Wallace),0.81,0.94,15.0,2022,215
4.0,7:55,2.0,5.0,CHI 33,17.0,13.0,Justin Fields up the middle for 1 yard (tackle by K'Von Wallace),0.94,0.37,15.0,2022,215
4.0,7:23,3.0,4.0,CHI 34,17.0,13.0,"Justin Fields scrambles for no gain. Penalty on Riley Reiff: Offensive Holding, 10 yards (accepted) (no play)",0.37,-0.96,15.0,2022,215
4.0,7:04,3.0,14.0,CHI 24,17.0,13.0,Nathan Peterman pass incomplete short right intended for Nsimba Webster (defended by Darius Slay),-0.96,-1.77,15.0,2022,215
4.0,6:56,4.0,14.0,CHI 24,17.0,13.0,Trenton Gill punts 51 yards out of bounds,-1.77,-0.61,15.0,2022,215
4.0,6:47,1.0,10.0,PHI 25,17.0,13.0,Jalen Hurts pass complete short middle to Quez Watkins for 1 yard (tackle by Nicholas Morrow),0.61,0.2,15.0,2022,215
4.0,6:16,2.0,9.0,PHI 26,17.0,13.0,Jalen Hurts pass complete short middle to Quez Watkins for 3 yards (tackle by Matthew Adams),0.2,-0.1,15.0,2022,215
4.0,5:35,3.0,6.0,PHI 29,17.0,13.0,Jalen Hurts pass complete deep right to A.J. Brown for 68 yards (tackle by Jaquan Brisker),-0.1,6.51,15.0,2022,215
4.0,5:18,,,,,,Timeout #2 by Chicago Bears,,,15.0,2022,215
4.0,5:18,1.0,3.0,CHI 3,17.0,13.0,Miles Sanders right guard for -1 yards (tackle by Nicholas Morrow),6.51,5.34,15.0,2022,215
4.0,4:36,2.0,4.0,CHI 4,17.0,13.0,Miles Sanders right guard for 3 yards (tackle by Trevis Gipson),5.34,5.17,15.0,2022,215
4.0,4:25,,,,,,Timeout #3 by Chicago Bears,,,15.0,2022,215
4.0,4:25,3.0,1.0,CHI 1,23.0,13.0,"Jalen Hurts up the middle for 1 yard, touchdown. Penalty on Armon Watts: Defensive Offside, 5 yards (declined)",5.17,7.0,15.0,2022,215
4.0,4:20,,,CHI 15,23.0,13.0,"Penalty on Mike Pennel: Defensive Offside, 1 yard (accepted) (no play)",0.0,1.0,15.0,2022,215
4.0,4:20,1.0,1.0,CHI 2,25.0,13.0,"Two Point Attempt: Jalen Hurts rushes, conversion succeeds.",1.0,1.0,15.0,2022,215
4.0,4:20,,,PHI 35,25.0,13.0,"Jake Elliott kicks off 64 yards, returned by Velus Jones for 24 yards (tackle by Marcus Epps). Penalty on Zach Pascal: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",0.0,1.6,15.0,2022,215
4.0,4:12,1.0,10.0,CHI 40,25.0,13.0,Darrynton Evans right guard for 6 yards (tackle by Patrick Johnson),1.6,1.86,15.0,2022,215
4.0,3:50,2.0,4.0,CHI 46,25.0,13.0,Justin Fields pass complete short right to Cole Kmet for 5 yards (tackle by Marcus Epps),1.86,2.32,15.0,2022,215
4.0,3:46,1.0,10.0,PHI 49,25.0,13.0,Justin Fields pass incomplete deep left intended for Velus Jones,2.32,1.78,15.0,2022,215
4.0,3:38,2.0,10.0,PHI 49,25.0,13.0,Justin Fields pass complete short left to Nsimba Webster for 6 yards. Nsimba Webster fumbles (forced by Avonte Maddox). Nsimba Webster fumbles out of bounds,1.78,1.88,15.0,2022,215
4.0,3:10,3.0,4.0,PHI 43,25.0,13.0,Justin Fields pass complete short left to Nsimba Webster for 8 yards (tackle by K'Von Wallace),1.88,3.25,15.0,2022,215
4.0,2:53,1.0,10.0,PHI 35,25.0,19.0,"Justin Fields pass complete deep right to Byron Pringle for 35 yards, touchdown",3.25,7.0,15.0,2022,215
4.0,2:43,,,PHI 15,25.0,20.0,Cairo Santos kicks extra point good,0.0,0.0,15.0,2022,215
4.0,2:43,,,CHI 35,25.0,20.0,"Cairo Santos kicks onside 9 yards, returned by DeVonta Smith for no gain",0.0,2.65,15.0,2022,215
4.0,2:42,1.0,10.0,CHI 44,25.0,20.0,Miles Sanders right guard for 4 yards (tackle by Armon Watts and Justin Jones),2.65,2.65,15.0,2022,215
4.0,2:37,,,,,,Timeout #4 by Chicago Bears,,,15.0,2022,215
4.0,2:37,2.0,6.0,CHI 40,25.0,20.0,Quez Watkins left end for no gain (tackle by Jaylon Jones),2.65,1.95,15.0,2022,215
4.0,2:00,,,,,,Timeout #1 by Philadelphia Eagles,,,15.0,2022,215
4.0,2:00,3.0,6.0,CHI 40,25.0,20.0,Jalen Hurts pass complete short left to A.J. Brown for 12 yards (tackle by Jaylon Jones),1.95,3.71,15.0,2022,215
4.0,1:18,1.0,10.0,CHI 28,25.0,20.0,Jalen Hurts kneels for -1 yards,3.71,3.03,15.0,2022,215
4.0,0:38,2.0,11.0,CHI 29,25.0,20.0,Jalen Hurts kneels for -1 yards,3.03,2.21,15.0,2022,215
