Quarter,Time,Down,ToGo,Location,CIN,TAM,Detail,EPB,EPA,week,year,game_id
2.0,14:07,1.0,10.0,CIN 22,0.0,10.0,"Joe Burrow sacked by Lavonte David for -10 yards. Joe Burrow fumbles (forced by Lavonte David), recovered by Joe Burrow at CIN-12",0.41,-1.51,15.0,2022,221
2.0,13:30,2.0,20.0,CIN 12,0.0,10.0,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Anthony Nelson),-1.51,-1.87,15.0,2022,221
2.0,12:47,3.0,16.0,CIN 16,0.0,10.0,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Antoine Winfield),-1.87,-2.39,15.0,2022,221
2.0,12:41,4.0,16.0,CIN 16,0.0,10.0,"Drue Chrisman punts 53 yards, returned by Deven Thompkins for 5 yards (tackle by Akeem Davis-Gaither and Stanley Morgan)",-2.39,-1.33,15.0,2022,221
2.0,12:27,1.0,10.0,TAM 36,0.0,10.0,Deven Thompkins right end for 9 yards (tackle by Eli Apple),1.33,2.01,15.0,2022,221
2.0,11:43,2.0,1.0,TAM 45,0.0,10.0,Rachaad White up the middle for 4 yards (tackle by Logan Wilson and Jeff Gunter),2.01,2.19,15.0,2022,221
2.0,11:06,1.0,10.0,TAM 49,0.0,10.0,"Penalty on Mike Evans: False Start, 5 yards (accepted) (no play)",2.19,1.86,15.0,2022,221
2.0,10:50,1.0,15.0,TAM 44,0.0,10.0,Rachaad White up the middle for 5 yards (tackle by Logan Wilson and B.J. Hill),1.86,1.65,15.0,2022,221
2.0,10:17,2.0,10.0,TAM 49,0.0,10.0,Tom Brady pass complete short right to Mike Evans for 12 yards (tackle by Eli Apple),1.65,2.98,15.0,2022,221
2.0,9:30,1.0,10.0,CIN 39,0.0,10.0,Rachaad White up the middle for 3 yards (tackle by Cameron Sample),2.98,2.85,15.0,2022,221
2.0,8:52,2.0,7.0,CIN 36,0.0,10.0,Tom Brady pass complete short right to Cameron Brate for 4 yards (tackle by B.J. Hill),2.85,2.68,15.0,2022,221
2.0,8:08,3.0,3.0,CIN 32,0.0,10.0,Tom Brady pass incomplete deep right intended for Cameron Brate (defended by Tre Flowers),2.68,1.29,15.0,2022,221
2.0,8:03,4.0,3.0,CIN 32,0.0,10.0,Ryan Succop 50 yard field goal no good,1.29,-1.6,15.0,2022,221
2.0,7:58,1.0,10.0,CIN 40,0.0,10.0,Samaje Perine up the middle for 4 yards (tackle by Rakeem Nunez-Roches and Mike Edwards),1.6,1.59,15.0,2022,221
2.0,7:24,2.0,6.0,CIN 44,0.0,10.0,Samaje Perine right tackle for 3 yards (tackle by Lavonte David),1.59,1.29,15.0,2022,221
2.0,6:41,3.0,3.0,CIN 47,0.0,10.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Carlton Davis),1.29,-0.26,15.0,2022,221
2.0,6:36,4.0,3.0,CIN 47,0.0,10.0,"Drue Chrisman punts 38 yards, fair catch by Deven Thompkins at TB-15",-0.26,0.22,15.0,2022,221
2.0,6:30,1.0,10.0,TAM 15,0.0,10.0,Leonard Fournette up the middle for 7 yards (tackle by Daxton Hill),-0.22,0.35,15.0,2022,221
2.0,6:00,2.0,3.0,TAM 22,0.0,10.0,Leonard Fournette up the middle for 6 yards (tackle by Germaine Pratt and Zachary Carter),0.35,0.81,15.0,2022,221
2.0,5:15,1.0,10.0,TAM 28,0.0,10.0,Leonard Fournette right guard for 3 yards (tackle by Eli Apple and Logan Wilson),0.81,0.67,15.0,2022,221
2.0,4:39,2.0,7.0,TAM 31,0.0,10.0,Tom Brady pass complete short middle to Chris Godwin for 15 yards (tackle by Daxton Hill),0.67,1.99,15.0,2022,221
2.0,3:57,1.0,10.0,TAM 46,0.0,10.0,Tom Brady pass complete short middle to Leonard Fournette for 5 yards (tackle by Logan Wilson),1.99,2.13,15.0,2022,221
2.0,3:17,2.0,5.0,CIN 49,0.0,10.0,Leonard Fournette up the middle for 3 yards (tackle by B.J. Hill),2.13,1.82,15.0,2022,221
2.0,2:35,3.0,2.0,CIN 46,0.0,10.0,Tom Brady pass complete short left to Leonard Fournette for 12 yards (tackle by Logan Wilson),1.82,3.31,15.0,2022,221
2.0,2:00,1.0,10.0,CIN 34,0.0,10.0,Tom Brady pass complete short middle to Chris Godwin for 18 yards (tackle by Eli Apple and Jessie Bates),3.31,4.51,15.0,2022,221
2.0,1:48,,,,,,Timeout #2 by Cincinnati Bengals,,,15.0,2022,221
2.0,1:48,1.0,10.0,CIN 16,0.0,10.0,Tom Brady pass complete short right to Chris Godwin for 11 yards (tackle by Logan Wilson),4.51,6.06,15.0,2022,221
2.0,1:43,,,,,,Timeout #3 by Cincinnati Bengals,,,15.0,2022,221
2.0,1:43,1.0,5.0,CIN 5,0.0,16.0,"Tom Brady pass complete to Chris Godwin for 5 yards, touchdown",6.06,7.0,15.0,2022,221
2.0,1:39,,,CIN 15,0.0,17.0,Ryan Succop kicks extra point good,0.0,0.0,15.0,2022,221
2.0,1:39,,,TAM 35,0.0,17.0,"Jake Camarda kicks off 63 yards, returned by Trayveon Williams for 28 yards (tackle by Sean Murphy-Bunting)",0.0,0.94,15.0,2022,221
2.0,1:33,1.0,10.0,CIN 30,0.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Antoine Winfield),0.94,1.61,15.0,2022,221
2.0,1:15,2.0,1.0,CIN 39,0.0,17.0,Joe Burrow pass complete short left to Tyler Boyd for 10 yards (tackle by Antoine Winfield),1.61,2.19,15.0,2022,221
2.0,0:57,1.0,10.0,CIN 49,0.0,17.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 15 yards (tackle by Carlton Davis),2.19,3.18,15.0,2022,221
2.0,0:37,1.0,10.0,TAM 36,0.0,17.0,Joe Burrow pass complete short right to Tyler Boyd for 13 yards (tackle by Antoine Winfield),3.18,4.04,15.0,2022,221
2.0,0:18,1.0,10.0,TAM 23,0.0,17.0,Joe Burrow pass complete short right to Samaje Perine for no gain (tackle by Lavonte David and Devin White),4.04,3.57,15.0,2022,221
2.0,0:04,2.0,9.0,TAM 23,0.0,17.0,Joe Burrow spiked the ball,3.57,2.87,15.0,2022,221
2.0,0:03,3.0,9.0,TAM 23,3.0,17.0,Evan McPherson 41 yard field goal good,2.87,3.0,15.0,2022,221
3.0,15:00,,,CIN 35,3.0,17.0,"Evan McPherson kicks off 68 yards, returned by Deven Thompkins for 20 yards (tackle by Stanley Morgan)",0.0,-0.06,15.0,2022,221
3.0,14:56,1.0,10.0,TAM 17,3.0,17.0,Rachaad White right tackle for 4 yards (tackle by Eli Apple and Germaine Pratt),-0.06,0.08,15.0,2022,221
3.0,14:19,2.0,6.0,TAM 21,3.0,17.0,Tom Brady pass incomplete deep right intended for Mike Evans,0.08,-0.75,15.0,2022,221
3.0,14:14,3.0,6.0,TAM 21,3.0,17.0,Tom Brady pass complete short right to Rachaad White for 5 yards (tackle by B.J. Hill and Vonn Bell),-0.75,-1.63,15.0,2022,221
3.0,13:34,4.0,1.0,TAM 26,3.0,17.0,"Giovani Bernard aborted snap, recovered by Giovani Bernard at TB-16 Giovani Bernard for no gain (tackle by Markus Bailey)",-1.63,-4.51,15.0,2022,221
3.0,13:31,1.0,10.0,TAM 16,3.0,17.0,Joe Burrow scrambles left end for 10 yards (tackle by Dee Delaney),4.51,5.83,15.0,2022,221
3.0,12:56,1.0,6.0,TAM 6,3.0,17.0,Joe Mixon right guard for 3 yards (tackle by Keanu Neal and Sean Murphy-Bunting),5.83,5.53,15.0,2022,221
3.0,12:16,2.0,3.0,TAM 3,3.0,17.0,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Logan Ryan),5.53,4.72,15.0,2022,221
3.0,12:12,3.0,3.0,TAM 3,3.0,17.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Carlton Davis),4.72,3.04,15.0,2022,221
3.0,12:08,4.0,3.0,TAM 3,6.0,17.0,Evan McPherson 21 yard field goal good,3.04,3.0,15.0,2022,221
3.0,12:04,,,CIN 35,6.0,17.0,"Evan McPherson kicks off 63 yards, returned by Deven Thompkins for 6 yards (tackle by Chris Evans and Joe Bachie)",0.0,-0.38,15.0,2022,221
3.0,11:55,1.0,10.0,TAM 8,6.0,17.0,Leonard Fournette up the middle for 4 yards (tackle by Josh Tupou),-0.38,-0.49,15.0,2022,221
3.0,11:25,2.0,6.0,TAM 12,6.0,17.0,Tom Brady pass complete short middle to Leonard Fournette for 9 yards (tackle by Cameron Sample and Germaine Pratt),-0.49,0.34,15.0,2022,221
3.0,10:49,1.0,10.0,TAM 21,6.0,17.0,"Leonard Fournette left end for no gain (tackle by Jessie Bates). Penalty on Ko Kieft: Offensive Holding, 11 yards (accepted) (no play)",0.34,-0.8,15.0,2022,221
3.0,10:32,1.0,21.0,TAM 10,6.0,17.0,Tom Brady pass incomplete short right intended for Russell Gage (defended by Eli Apple),-0.8,-1.58,15.0,2022,221
3.0,10:28,2.0,21.0,TAM 10,6.0,17.0,Tom Brady pass complete short middle to Chris Godwin for 13 yards (tackle by Joseph Ossai),-1.58,-0.63,15.0,2022,221
3.0,9:42,3.0,8.0,TAM 23,6.0,17.0,Tom Brady pass short right intended for Cameron Brate is intercepted by Tre Flowers at TB-31 and returned for no gain (tackle by Cameron Brate),-0.63,-3.51,15.0,2022,221
3.0,9:36,1.0,10.0,TAM 31,6.0,17.0,Joe Burrow pass complete short right to Tyler Boyd for 6 yards (tackle by Dee Delaney),3.51,3.78,15.0,2022,221
3.0,9:03,2.0,4.0,TAM 25,6.0,17.0,Joe Mixon right guard for 1 yard (tackle by Anthony Nelson and Akiem Hicks),3.78,3.2,15.0,2022,221
3.0,8:19,3.0,3.0,TAM 24,6.0,17.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,3.2,1.97,15.0,2022,221
3.0,8:14,4.0,3.0,TAM 24,6.0,17.0,"Joe Burrow sacked by and Devin White for no gain and Anthony Nelson for no gain. Penalty on Lavonte David: Defensive Holding, 5 yards (accepted) (no play)",1.97,4.31,15.0,2022,221
3.0,8:04,1.0,10.0,TAM 19,6.0,17.0,Joe Mixon left end for 4 yards (tackle by Carlton Davis),4.31,4.35,15.0,2022,221
3.0,7:27,2.0,6.0,TAM 15,6.0,17.0,"Penalty on Jonah Williams: False Start, 5 yards (accepted) (no play)",4.35,3.63,15.0,2022,221
3.0,7:06,2.0,11.0,TAM 20,6.0,17.0,Joe Burrow pass complete short left to Mitchell Wilcox for 3 yards (tackle by Mike Edwards),3.63,3.26,15.0,2022,221
3.0,6:19,3.0,8.0,TAM 17,6.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Carlton Davis and Logan Ryan),3.26,2.91,15.0,2022,221
3.0,6:12,4.0,1.0,TAM 10,6.0,17.0,"Penalty on Carlton Davis: Face Mask (15 Yards), 5 yards (accepted) (no play)",2.91,6.06,15.0,2022,221
3.0,5:47,1.0,5.0,TAM 5,12.0,17.0,"Joe Burrow pass complete short right to Tee Higgins for 5 yards, touchdown",6.06,7.0,15.0,2022,221
3.0,5:42,,,,,,Timeout #1 by Cincinnati Bengals,,,15.0,2022,221
3.0,5:42,,,TAM 2,12.0,17.0,Two Point Attempt: Joe Burrow pass incomplete,1.0,-1.0,15.0,2022,221
3.0,5:42,,,CIN 35,12.0,17.0,"Evan McPherson kicks off 66 yards, returned by Deven Thompkins for 22 yards (tackle by Clay Johnston and Joe Bachie)",0.0,0.34,15.0,2022,221
3.0,5:37,1.0,10.0,TAM 21,12.0,17.0,Rachaad White right end for no gain (tackle by Daxton Hill),0.34,-0.2,15.0,2022,221
3.0,5:12,2.0,10.0,TAM 21,12.0,17.0,Tom Brady pass incomplete short middle intended for Russell Gage,-0.2,-0.89,15.0,2022,221
3.0,5:06,3.0,10.0,TAM 21,12.0,17.0,"Tom Brady sacked by Logan Wilson for -8 yards. Tom Brady fumbles (forced by D.J. Reader), recovered by Joseph Ossai at TB-12",-0.89,-4.71,15.0,2022,221
3.0,4:56,1.0,10.0,TAM 13,12.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Carlton Davis),4.71,5.54,15.0,2022,221
3.0,4:12,2.0,2.0,TAM 5,12.0,17.0,Samaje Perine up the middle for 2 yards (tackle by Rakeem Nunez-Roches),5.54,6.51,15.0,2022,221
3.0,3:27,1.0,3.0,TAM 3,12.0,17.0,Joe Burrow pass incomplete short middle intended for Joe Mixon (defended by Joe Tryon-Shoyinka),6.51,5.53,15.0,2022,221
3.0,3:24,2.0,3.0,TAM 3,12.0,17.0,Joe Mixon left tackle for no gain (tackle by William Gholston),5.53,4.72,15.0,2022,221
3.0,2:44,3.0,3.0,TAM 3,18.0,17.0,"Joe Burrow pass complete short right to Tyler Boyd for 3 yards, touchdown",4.72,7.0,15.0,2022,221
3.0,2:40,,,TAM 2,20.0,17.0,Two Point Attempt: Joe Burrow pass complete to to Tee Higgins for no gain,1.0,1.0,15.0,2022,221
3.0,2:40,,,CIN 35,20.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,221
3.0,2:40,1.0,10.0,TAM 25,20.0,17.0,Tom Brady pass complete short left to Chris Godwin for 7 yards (tackle by Germaine Pratt),0.61,1.01,15.0,2022,221
3.0,2:09,2.0,3.0,TAM 32,20.0,17.0,Leonard Fournette right guard for 6 yards (tackle by B.J. Hill and Germaine Pratt),1.01,1.47,15.0,2022,221
3.0,1:31,1.0,10.0,TAM 38,20.0,17.0,"Tom Brady aborted snap, recovered by D.J. Reader at TB-39",1.47,-2.98,15.0,2022,221
3.0,1:18,1.0,10.0,TAM 39,20.0,17.0,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Sean Murphy-Bunting),2.98,2.44,15.0,2022,221
3.0,1:13,2.0,10.0,TAM 39,20.0,17.0,Joe Burrow pass complete short middle to Joe Mixon for 2 yards (tackle by Lavonte David),2.44,2.02,15.0,2022,221
3.0,0:29,3.0,8.0,TAM 37,20.0,17.0,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Carlton Davis),2.02,3.64,15.0,2022,221
4.0,15:00,1.0,10.0,TAM 29,20.0,17.0,Joe Mixon right end for no gain (tackle by Lavonte David and Sean Murphy-Bunting),3.64,3.1,15.0,2022,221
4.0,14:19,2.0,10.0,TAM 29,20.0,17.0,Joe Burrow pass incomplete short right intended for Tee Higgins,3.1,2.41,15.0,2022,221
4.0,14:15,3.0,10.0,TAM 29,20.0,17.0,Joe Burrow pass complete short right to Mitchell Wilcox for 19 yards (tackle by Logan Ryan),2.41,4.91,15.0,2022,221
4.0,13:35,1.0,10.0,TAM 10,20.0,17.0,Joe Mixon right end for 2 yards (tackle by Devin White and Keanu Neal),4.91,4.57,15.0,2022,221
4.0,12:49,2.0,8.0,TAM 8,26.0,17.0,"Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards, touchdown",4.57,7.0,15.0,2022,221
4.0,12:45,,,TAM 15,27.0,17.0,Evan McPherson kicks extra point good,0.0,0.0,15.0,2022,221
4.0,12:45,,,CIN 35,27.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,221
4.0,12:45,1.0,10.0,TAM 25,27.0,17.0,Tom Brady pass incomplete short middle intended for Mike Evans,0.61,0.06,15.0,2022,221
4.0,12:38,2.0,10.0,TAM 25,27.0,17.0,Tom Brady pass complete short left to Russell Gage for 11 yards (tackle by Cam Taylor-Britt),0.06,1.33,15.0,2022,221
4.0,12:17,1.0,10.0,TAM 36,27.0,17.0,"Tom Brady pass incomplete short left intended for Mike Evans. Penalty on Daxton Hill: Defensive Pass Interference, 15 yards (accepted) (no play)",1.33,2.32,15.0,2022,221
4.0,12:13,1.0,10.0,CIN 49,27.0,17.0,"Leonard Fournette left tackle for no gain (tackle by Logan Wilson). Penalty on Nick Leverett: Offensive Holding, 10 yards (accepted) (no play)",2.32,1.66,15.0,2022,221
4.0,11:54,1.0,20.0,TAM 41,27.0,17.0,Tom Brady pass short left (defended by Joseph Ossai) intended for Cameron Brate is intercepted by Germaine Pratt at CIN-47 and returned for no gain (tackle by Mike Evans),1.66,-2.06,15.0,2022,221
4.0,11:46,1.0,10.0,CIN 47,27.0,17.0,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Mike Edwards),2.06,2.19,15.0,2022,221
4.0,11:06,2.0,5.0,TAM 48,27.0,17.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.19,1.49,15.0,2022,221
4.0,11:02,,,,,,Timeout #2 by Cincinnati Bengals,,,15.0,2022,221
4.0,11:02,3.0,5.0,TAM 48,27.0,17.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Carlton Davis),1.49,0.07,15.0,2022,221
4.0,10:57,4.0,5.0,TAM 48,27.0,17.0,Drue Chrisman punts 46 yards out of bounds,0.07,0.38,15.0,2022,221
4.0,10:50,1.0,10.0,TAM 2,27.0,17.0,Rachaad White up the middle for 3 yards (tackle by D.J. Reader and B.J. Hill),-0.38,-0.56,15.0,2022,221
4.0,10:15,2.0,7.0,TAM 5,27.0,17.0,Tom Brady pass incomplete short middle intended for Rachaad White,-0.56,-1.07,15.0,2022,221
4.0,10:12,3.0,7.0,TAM 5,27.0,17.0,Tom Brady pass complete short right to Russell Gage for 6 yards (tackle by Eli Apple and Akeem Davis-Gaither),-1.07,-2.49,15.0,2022,221
4.0,9:26,4.0,1.0,TAM 11,27.0,17.0,"Jake Camarda punts 51 yards, fair catch by Trent Taylor at CIN-38",-2.49,-1.47,15.0,2022,221
4.0,9:18,1.0,10.0,CIN 38,27.0,17.0,"Joe Mixon right tackle for no gain (tackle by Lavonte David). Penalty on Hakeem Adeniji: Illegal Formation, 5 yards (accepted) (no play)",1.47,1.14,15.0,2022,221
4.0,8:53,1.0,15.0,CIN 33,27.0,17.0,Samaje Perine up the middle for 5 yards (tackle by Logan Ryan and Devin White),1.14,0.92,15.0,2022,221
4.0,8:16,2.0,10.0,CIN 38,27.0,17.0,Joe Burrow pass complete short middle to Tee Higgins for 5 yards (tackle by Devin White and Lavonte David),0.92,0.89,15.0,2022,221
4.0,7:26,,,,,,Timeout #3 by Cincinnati Bengals,,,15.0,2022,221
4.0,7:26,3.0,5.0,CIN 43,27.0,17.0,Joe Burrow pass complete short left to Trenton Irwin for 5 yards (tackle by Lavonte David),0.89,2.13,15.0,2022,221
4.0,6:39,1.0,10.0,CIN 48,27.0,17.0,Joe Mixon up the middle for 2 yards (tackle by Mike Edwards and Deadrin Senat),2.13,1.85,15.0,2022,221
4.0,5:52,2.0,8.0,CIN 50,27.0,17.0,Joe Burrow pass complete short middle to Joe Mixon for 11 yards (tackle by Mike Edwards),1.85,2.98,15.0,2022,221
4.0,5:07,1.0,10.0,TAM 39,27.0,17.0,Joe Mixon right end for 3 yards (tackle by Logan Ryan),2.98,2.85,15.0,2022,221
4.0,4:25,2.0,7.0,TAM 36,27.0,17.0,Joe Burrow pass complete short right to Tee Higgins for 4 yards,2.85,2.68,15.0,2022,221
4.0,4:21,3.0,3.0,TAM 32,27.0,17.0,Joe Burrow pass complete short left to Tyler Boyd for 3 yards (tackle by Dee Delaney),2.68,3.64,15.0,2022,221
4.0,4:16,1.0,10.0,TAM 29,27.0,17.0,Samaje Perine right guard for 9 yards (tackle by Devin White and Logan Ryan),3.64,4.32,15.0,2022,221
4.0,3:33,2.0,1.0,TAM 20,27.0,17.0,Samaje Perine right tackle for no gain (tackle by William Gholston),4.32,3.6,15.0,2022,221
4.0,2:48,3.0,1.0,TAM 20,27.0,17.0,Joe Mixon up the middle for no gain (tackle by Lavonte David and Joe Tryon-Shoyinka),3.6,2.27,15.0,2022,221
4.0,2:32,,,,,,Timeout #1 by Tampa Bay Buccaneers,,,15.0,2022,221
4.0,2:32,4.0,1.0,TAM 20,27.0,17.0,"Penalty on Rakeem Nunez-Roches: Encroachment, 7 yards (accepted) (no play)",2.27,4.71,15.0,2022,221
4.0,2:31,1.0,10.0,TAM 13,27.0,17.0,Joe Mixon left tackle for 1 yard (tackle by William Gholston and Deadrin Senat),4.71,4.45,15.0,2022,221
4.0,2:27,,,,,,Timeout #2 by Tampa Bay Buccaneers,,,15.0,2022,221
4.0,2:27,2.0,7.0,TAM 12,33.0,17.0,"Joe Burrow pass complete short right to Mitchell Wilcox for 12 yards, touchdown",4.45,7.0,15.0,2022,221
4.0,2:21,,,TAM 15,34.0,17.0,Evan McPherson kicks extra point good,0.0,0.0,15.0,2022,221
4.0,2:21,,,CIN 35,34.0,17.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,221
4.0,2:21,1.0,10.0,TAM 25,34.0,17.0,Tom Brady pass complete short middle to Leonard Fournette for 4 yards (tackle by Logan Wilson),0.61,0.6,15.0,2022,221
4.0,2:06,2.0,6.0,TAM 29,34.0,17.0,Tom Brady pass complete short left to Russell Gage for 5 yards (tackle by Allan George and Logan Wilson),0.6,0.56,15.0,2022,221
