Quarter,Time,Down,ToGo,Location,ARI,DEN,Detail,EPB,EPA,week,year,game_id
1.0,0:38,4.0,6.0,ARI 20,0.0,3.0,Brandon McManus 38 yard field goal no good,2.15,-0.81,15.0,2022,219
1.0,0:32,1.0,10.0,ARI 28,0.0,3.0,Colt McCoy pass incomplete short middle intended for James Conner,0.81,0.26,15.0,2022,219
1.0,0:28,2.0,10.0,ARI 28,0.0,3.0,Colt McCoy pass complete short middle to Maxx Williams for 6 yards (tackle by Josey Jewell),0.26,0.37,15.0,2022,219
2.0,15:00,3.0,4.0,ARI 34,0.0,3.0,Colt McCoy pass complete short left to DeAndre Hopkins for 5 yards (tackle by Alex Singleton),0.37,1.53,15.0,2022,219
2.0,14:30,1.0,10.0,ARI 39,0.0,3.0,James Conner left guard for 2 yards (tackle by Eyioma Uwazurike),1.53,1.26,15.0,2022,219
2.0,13:51,2.0,8.0,ARI 41,0.0,3.0,Colt McCoy pass complete deep left to DeAndre Hopkins for 16 yards (tackle by Patrick Surtain),1.26,2.72,15.0,2022,219
2.0,13:12,1.0,10.0,DEN 43,0.0,3.0,James Conner left guard for 4 yards (tackle by DeShawn Williams and D.J. Jones),2.72,2.72,15.0,2022,219
2.0,12:37,2.0,6.0,DEN 39,0.0,3.0,Colt McCoy pass complete short left to Trey McBride for 8 yards (tackle by Kareem Jackson),2.72,3.51,15.0,2022,219
2.0,12:08,1.0,10.0,DEN 31,0.0,3.0,Keaontay Ingram right guard for no gain (tackle by Jonathon Cooper and Jonathan Harris),3.51,2.97,15.0,2022,219
2.0,11:27,2.0,10.0,DEN 31,0.0,3.0,Colt McCoy pass complete short left to Trey McBride for 4 yards (tackle by Patrick Surtain and Alex Singleton),2.97,2.81,15.0,2022,219
2.0,10:47,3.0,6.0,DEN 27,0.0,3.0,Colt McCoy pass incomplete deep middle intended for Robbie Anderson,2.81,1.7,15.0,2022,219
2.0,10:39,4.0,6.0,DEN 27,3.0,3.0,Matt Prater 45 yard field goal good,1.7,3.0,15.0,2022,219
2.0,10:35,,,ARI 35,3.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,219
2.0,10:35,1.0,10.0,DEN 25,3.0,3.0,Latavius Murray up the middle for -2 yards (tackle by Zaven Collins),0.61,-0.21,15.0,2022,219
2.0,10:05,2.0,12.0,DEN 23,3.0,3.0,Brett Rypien sacked by J.J. Watt for -8 yards,-0.21,-2.35,15.0,2022,219
2.0,9:28,3.0,20.0,DEN 15,3.0,3.0,Latavius Murray left end for 5 yards (tackle by Isaiah Simmons),-2.35,-2.03,15.0,2022,219
2.0,8:57,4.0,15.0,DEN 20,3.0,3.0,Corliss Waitman punts 35 yards out of bounds,-2.03,-1.93,15.0,2022,219
2.0,8:50,1.0,10.0,ARI 45,3.0,3.0,James Conner up the middle for 1 yard (tackle by Josey Jewell and Mike Purcell),1.93,1.52,15.0,2022,219
2.0,8:17,2.0,9.0,ARI 46,3.0,3.0,Colt McCoy sacked by DeShawn Williams for -2 yards,1.52,0.56,15.0,2022,219
2.0,7:35,3.0,11.0,ARI 44,3.0,3.0,Colt McCoy pass complete short right to James Conner for 4 yards (tackle by Josey Jewell and Randy Gregory),0.56,-0.19,15.0,2022,219
2.0,6:36,4.0,7.0,ARI 48,3.0,3.0,"Andy Lee punts 41 yards, fair catch by Montrell Washington at DEN-11",-0.19,0.37,15.0,2022,219
2.0,6:30,1.0,10.0,DEN 11,3.0,3.0,Brett Rypien pass incomplete short right intended for Andrew Beck (defended by Budda Baker),-0.37,-0.78,15.0,2022,219
2.0,6:27,2.0,10.0,DEN 11,3.0,3.0,"Brett Rypien for -3 yards. Brett Rypien fumbles, recovered by Brett Rypien at DEN-7 Latavius Murray for -3 yards (tackle by J.J. Watt)",-0.78,-1.77,15.0,2022,219
2.0,5:54,3.0,13.0,DEN 8,3.0,3.0,Brett Rypien pass complete short left to Eric Saubert for 5 yards (tackle by Zeke Turner),-1.77,-2.49,15.0,2022,219
2.0,5:20,4.0,8.0,DEN 13,3.0,3.0,"Corliss Waitman punts 56 yards, returned by Greg Dortch for 8 yards (tackle by Alex Singleton)",-2.49,-1.53,15.0,2022,219
2.0,5:10,1.0,10.0,ARI 39,3.0,3.0,Colt McCoy pass incomplete deep right intended for Marquise Brown,1.53,0.99,15.0,2022,219
2.0,5:05,2.0,10.0,ARI 39,3.0,3.0,James Conner left guard for no gain (tackle by Josey Jewell and Matt Henningsen),0.99,0.3,15.0,2022,219
2.0,4:38,3.0,10.0,ARI 39,3.0,3.0,Colt McCoy pass complete short middle to Marquise Brown for 9 yards (tackle by K'Waun Williams),0.3,-0.19,15.0,2022,219
2.0,4:00,4.0,1.0,ARI 48,3.0,3.0,"Andy Lee punts 44 yards, recovered by Montrell Washington at DEN-8. Penalty on Damarri Mathis: Illegal Block Above the Waist, 4 yards (accepted)",-0.19,0.38,15.0,2022,219
2.0,3:50,1.0,10.0,DEN 4,3.0,3.0,Latavius Murray left guard for 21 yards (tackle by Jalen Thompson),-0.38,0.61,15.0,2022,219
2.0,3:12,1.0,10.0,DEN 25,3.0,3.0,Latavius Murray left tackle for 2 yards (tackle by Zaven Collins and J.J. Watt),0.61,0.33,15.0,2022,219
2.0,2:45,2.0,8.0,DEN 27,3.0,3.0,Brett Rypien sacked by Markus Golden for -6 yards,0.33,-1.15,15.0,2022,219
2.0,2:00,3.0,14.0,DEN 21,3.0,3.0,Brett Rypien pass complete right to Brandon Johnson for 11 yards (tackle by Budda Baker),-1.15,-1.24,15.0,2022,219
2.0,1:51,,,,,,Timeout #1 by Arizona Cardinals,,,15.0,2022,219
2.0,1:51,4.0,3.0,DEN 32,3.0,3.0,"Corliss Waitman punts 52 yards, returned by Greg Dortch for 3 yards (tackle by Alex Singleton and Jonathon Cooper)",-1.24,-0.15,15.0,2022,219
2.0,1:39,1.0,10.0,ARI 19,3.0,3.0,Colt McCoy pass incomplete short left intended for Marquise Brown,0.15,-0.39,15.0,2022,219
2.0,1:35,2.0,10.0,ARI 19,3.0,3.0,Colt McCoy sacked by and DeShawn Williams for -2 yards and Baron Browning for -2 yards,-0.39,-1.42,15.0,2022,219
2.0,1:28,,,,,,Timeout #1 by Denver Broncos,,,15.0,2022,219
2.0,1:28,3.0,12.0,ARI 17,3.0,3.0,Colt McCoy pass complete short left to Marquise Brown for 1 yard (tackle by K'Waun Williams),-1.42,-2.24,15.0,2022,219
2.0,1:22,,,,,,Timeout #2 by Denver Broncos,,,15.0,2022,219
2.0,1:22,4.0,11.0,ARI 18,3.0,3.0,Andy Lee punts 57 yards,-2.24,-0.61,15.0,2022,219
2.0,1:09,1.0,10.0,DEN 25,3.0,3.0,Brett Rypien pass incomplete short right intended for Greg Dulcich (defended by J.J. Watt),0.61,0.06,15.0,2022,219
2.0,1:06,2.0,10.0,DEN 25,3.0,3.0,Brett Rypien pass complete deep left to Jerry Jeudy for 19 yards,0.06,1.86,15.0,2022,219
2.0,1:01,1.0,10.0,DEN 44,3.0,3.0,Brett Rypien pass complete short right to Brandon Johnson for 12 yards (tackle by Budda Baker and Zaven Collins),1.86,2.65,15.0,2022,219
2.0,0:43,1.0,10.0,ARI 44,3.0,3.0,"Brett Rypien sacked by J.J. Watt for -5 yards. Brett Rypien fumbles (forced by J.J. Watt), recovered by Myjai Sanders at ARI-49 (tackle by Cameron Fleming)",2.65,-2.19,15.0,2022,219
2.0,0:38,1.0,10.0,ARI 49,3.0,3.0,Colt McCoy pass complete short right to DeAndre Hopkins for 6 yards (tackle by Patrick Surtain),2.19,2.46,15.0,2022,219
2.0,0:18,2.0,4.0,DEN 45,3.0,3.0,"Penalty on ARI: Illegal Shift, 5 yards (accepted) (no play)",2.46,1.78,15.0,2022,219
2.0,0:21,,,,,,Timeout #2 by Arizona Cardinals,,,15.0,2022,219
2.0,0:21,2.0,9.0,DEN 50,3.0,3.0,Colt McCoy pass incomplete short left intended for Marquise Brown,1.78,1.09,15.0,2022,219
2.0,0:17,3.0,9.0,DEN 50,3.0,3.0,"Colt McCoy pass incomplete short middle intended for Trey McBride. Penalty on Essang Bassey: Defensive Pass Interference, 12 yards (accepted) (no play)",1.09,3.05,15.0,2022,219
2.0,0:13,1.0,10.0,DEN 38,3.0,3.0,James Conner right guard for 6 yards (tackle by Josey Jewell and Mike Purcell),3.05,3.32,15.0,2022,219
2.0,0:03,,,,,,Timeout #3 by Arizona Cardinals,,,15.0,2022,219
2.0,0:03,2.0,4.0,DEN 32,6.0,3.0,Matt Prater 50 yard field goal good,3.32,3.0,15.0,2022,219
3.0,15:00,,,DEN 35,6.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,219
3.0,15:00,1.0,10.0,ARI 25,6.0,3.0,Colt McCoy pass complete short right to Marquise Brown for 4 yards (tackle by Alex Singleton),0.61,0.6,15.0,2022,219
3.0,14:36,2.0,6.0,ARI 29,6.0,3.0,Colt McCoy pass complete short middle to Maxx Williams for 5 yards (tackle by Alex Singleton),0.6,0.56,15.0,2022,219
3.0,13:51,3.0,1.0,ARI 34,6.0,3.0,Colt McCoy right tackle for 1 yard (tackle by Alex Singleton),0.56,1.27,15.0,2022,219
3.0,13:19,1.0,10.0,ARI 35,6.0,3.0,James Conner right guard for 2 yards (tackle by Mike Purcell),1.27,0.99,15.0,2022,219
3.0,12:43,2.0,8.0,ARI 37,6.0,3.0,Trace McSorley pass complete short right to Trey McBride for 14 yards (tackle by Damarri Mathis),0.99,2.32,15.0,2022,219
3.0,12:09,1.0,10.0,DEN 49,6.0,3.0,James Conner right guard for 2 yards (tackle by Nik Bonitto and Eyioma Uwazurike),2.32,2.05,15.0,2022,219
3.0,11:35,2.0,8.0,DEN 47,6.0,3.0,"Trace McSorley pass complete short right to A.J. Green for no gain. Penalty on Josh Jones: Illegal Shift, 5 yards (accepted) (no play)",2.05,1.38,15.0,2022,219
3.0,11:15,2.0,13.0,ARI 48,6.0,3.0,James Conner left guard for 14 yards (tackle by K'Waun Williams and Kareem Jackson),1.38,3.05,15.0,2022,219
3.0,10:46,1.0,10.0,DEN 38,6.0,3.0,Trace McSorley sacked by DeShawn Williams for -2 yards,3.05,2.24,15.0,2022,219
3.0,10:15,2.0,12.0,DEN 40,6.0,3.0,"Trace McSorley pass incomplete short right intended for Marquise Brown. Penalty on Baron Browning: Defensive Offside, 5 yards (accepted) (no play)",2.24,2.91,15.0,2022,219
3.0,10:10,2.0,7.0,DEN 35,6.0,3.0,Trace McSorley pass incomplete short right intended for A.J. Green (defended by Damarri Mathis),2.91,2.21,15.0,2022,219
3.0,10:06,3.0,7.0,DEN 35,6.0,3.0,"Trace McSorley scrambles right end for no gain (tackle by Josey Jewell). Penalty on Will Hernandez: Offensive Holding, 10 yards (accepted) (no play)",2.21,0.89,15.0,2022,219
3.0,9:41,3.0,17.0,DEN 45,6.0,3.0,Trace McSorley right guard for 8 yards (tackle by Alex Singleton and Damarri Mathis),0.89,0.79,15.0,2022,219
3.0,9:01,4.0,9.0,DEN 37,9.0,3.0,Matt Prater 55 yard field goal good,0.79,3.0,15.0,2022,219
3.0,8:55,,,ARI 35,9.0,3.0,"Matt Prater kicks off 64 yards, returned by Montrell Washington for 19 yards (tackle by Dennis Gardeck)",0.0,0.28,15.0,2022,219
3.0,8:50,1.0,10.0,DEN 20,9.0,3.0,Latavius Murray right end for 35 yards (tackle by Jalen Thompson and Jace Whittaker),0.28,2.59,15.0,2022,219
3.0,8:25,1.0,10.0,ARI 45,9.0,3.0,Brett Rypien pass complete short right to Jerry Jeudy for 6 yards (tackle by Christian Matthew),2.59,2.85,15.0,2022,219
3.0,8:05,2.0,4.0,ARI 39,9.0,3.0,Latavius Murray up the middle for 5 yards (tackle by Jonathan Ledbetter),2.85,3.31,15.0,2022,219
3.0,7:49,1.0,10.0,ARI 34,9.0,3.0,Brett Rypien pass complete short middle to Eric Tomlinson for 7 yards (tackle by Isaiah Simmons and Tanner Vallejo),3.31,3.72,15.0,2022,219
3.0,7:28,2.0,3.0,ARI 27,9.0,3.0,Latavius Murray up the middle for 6 yards (tackle by Tanner Vallejo and Nate Hairston),3.72,4.17,15.0,2022,219
3.0,6:51,1.0,10.0,ARI 21,9.0,3.0,Brett Rypien pass complete short right to Eric Tomlinson for 18 yards (tackle by Tanner Vallejo and Jalen Thompson),4.17,6.51,15.0,2022,219
3.0,6:02,1.0,3.0,ARI 3,9.0,9.0,"Marlon Mack right end for 3 yards, touchdown",6.51,7.0,15.0,2022,219
3.0,5:58,,,ARI 15,9.0,10.0,Brandon McManus kicks extra point good,0.0,0.0,15.0,2022,219
3.0,5:58,,,DEN 35,9.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,219
3.0,5:54,1.0,10.0,ARI 25,9.0,10.0,"Trace McSorley pass incomplete short middle. Penalty on Trace McSorley: Intentional Grounding, 11 yards (accepted)",0.61,-1.54,15.0,2022,219
3.0,5:54,2.0,21.0,ARI 14,9.0,10.0,James Conner up the middle for 2 yards (tackle by D.J. Jones),-1.54,-2.14,15.0,2022,219
3.0,5:12,3.0,19.0,ARI 16,9.0,10.0,Trace McSorley pass complete short middle to James Conner for 8 yards (tackle by Josey Jewell and Alex Singleton),-2.14,-1.77,15.0,2022,219
3.0,4:45,4.0,11.0,ARI 24,9.0,10.0,"Andy Lee punts 50 yards, returned by Montrell Washington for 8 yards (tackle by Charles Washington)",-1.77,-1.2,15.0,2022,219
3.0,4:34,1.0,10.0,DEN 34,9.0,10.0,Latavius Murray up the middle for 3 yards (tackle by Budda Baker),1.2,1.06,15.0,2022,219
3.0,4:01,2.0,7.0,DEN 37,9.0,10.0,Brett Rypien sacked by Jonathan Ledbetter for -7 yards,1.06,-0.56,15.0,2022,219
3.0,3:23,3.0,14.0,DEN 30,9.0,10.0,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.56,0.1,15.0,2022,219
3.0,3:10,3.0,9.0,DEN 35,9.0,10.0,Brett Rypien pass complete short right to Jerry Jeudy for 11 yards (tackle by Christian Matthew),0.1,1.99,15.0,2022,219
3.0,2:46,1.0,10.0,DEN 46,9.0,10.0,Latavius Murray right tackle for 3 yards (tackle by Markus Golden),1.99,1.86,15.0,2022,219
3.0,2:17,2.0,7.0,DEN 49,9.0,10.0,Brett Rypien pass complete short left to Jerry Jeudy for 14 yards (tackle by Zaven Collins and Jalen Thompson),1.86,3.12,15.0,2022,219
3.0,1:46,1.0,10.0,ARI 37,9.0,10.0,Latavius Murray right guard for 2 yards (tackle by Ben Niemann),3.12,2.84,15.0,2022,219
3.0,1:11,2.0,8.0,ARI 35,9.0,10.0,Marlon Mack right tackle for 2 yards (tackle by Isaiah Simmons and Manny Jones),2.84,2.41,15.0,2022,219
3.0,0:29,3.0,6.0,ARI 33,9.0,10.0,Brett Rypien pass complete short middle to Marlon Mack for 8 yards (tackle by Jonathan Ledbetter and Isaiah Simmons),2.41,3.91,15.0,2022,219
3.0,0:01,1.0,10.0,ARI 25,9.0,10.0,Brett Rypien pass deep middle intended for Eric Saubert is intercepted by Budda Baker at ARI-1 and returned for 1 yard (tackle by Eric Saubert),3.91,0.38,15.0,2022,219
4.0,15:00,1.0,10.0,ARI 2,9.0,10.0,James Conner up the middle for 2 yards (tackle by Josey Jewell and Justin Simmons),-0.38,-0.63,15.0,2022,219
4.0,14:17,2.0,8.0,ARI 4,9.0,10.0,Trace McSorley pass incomplete short right intended for DeAndre Hopkins (defended by Eyioma Uwazurike),-0.63,-1.19,15.0,2022,219
4.0,14:13,3.0,8.0,ARI 4,9.0,10.0,Trace McSorley pass incomplete deep left intended for Robbie Anderson,-1.19,-2.49,15.0,2022,219
4.0,14:07,4.0,8.0,ARI 4,9.0,10.0,"Andy Lee punts 59 yards, returned by Montrell Washington for 7 yards (tackle by Victor Dimukeje)",-2.49,-1.86,15.0,2022,219
4.0,13:55,1.0,10.0,DEN 44,9.0,10.0,Latavius Murray right end for 2 yards (tackle by Victor Dimukeje and Zaven Collins),1.86,1.59,15.0,2022,219
4.0,13:24,2.0,8.0,DEN 46,9.0,10.0,Brett Rypien pass complete short left to Brandon Johnson for 7 yards (tackle by Jace Whittaker),1.59,1.82,15.0,2022,219
4.0,12:57,3.0,1.0,ARI 47,9.0,10.0,Latavius Murray left guard for no gain (tackle by Victor Dimukeje) (no play),1.82,2.79,15.0,2022,219
4.0,12:42,1.0,10.0,ARI 42,9.0,10.0,Marlon Mack left guard for 6 yards (tackle by Markus Golden and Manny Jones),2.79,3.05,15.0,2022,219
4.0,12:17,2.0,4.0,ARI 36,9.0,10.0,Brett Rypien pass complete short right to Freddie Swain for 9 yards (tackle by Markus Golden and Isaiah Simmons),3.05,3.78,15.0,2022,219
4.0,11:48,1.0,10.0,ARI 27,9.0,10.0,Marlon Mack left end for 17 yards (tackle by Jalen Thompson),3.78,4.91,15.0,2022,219
4.0,11:05,1.0,10.0,ARI 10,9.0,16.0,"Latavius Murray left end for 10 yards, touchdown",4.91,7.0,15.0,2022,219
4.0,11:00,,,ARI 15,9.0,17.0,Brandon McManus kicks extra point good,0.0,0.0,15.0,2022,219
4.0,11:00,,,DEN 35,9.0,17.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,219
4.0,11:00,1.0,10.0,ARI 25,9.0,17.0,Trace McSorley pass incomplete short right intended for Trey McBride,0.61,0.06,15.0,2022,219
4.0,10:55,2.0,10.0,ARI 25,9.0,17.0,James Conner right tackle for 2 yards (tackle by Alex Singleton),0.06,-0.36,15.0,2022,219
4.0,10:19,3.0,8.0,ARI 27,9.0,17.0,"Trace McSorley pass short middle intended for A.J. Green is intercepted by Justin Simmons at ARI-33 and returned for 23 yards (tackle by Max Garcia). Penalty on Will Hernandez: Unsportsmanlike Conduct / Offense, 5 yards (accepted)",-0.36,-6.06,15.0,2022,219
4.0,10:10,1.0,5.0,ARI 5,9.0,17.0,Latavius Murray right tackle for 2 yards (tackle by Markus Golden and Jalen Thompson),6.06,5.53,15.0,2022,219
4.0,9:33,2.0,3.0,ARI 3,9.0,23.0,"Brett Rypien pass complete short right to Eric Tomlinson for 3 yards, touchdown",5.53,7.0,15.0,2022,219
4.0,9:29,,,ARI 15,9.0,24.0,Brandon McManus kicks extra point good,0.0,0.0,15.0,2022,219
4.0,9:29,,,DEN 35,9.0,24.0,"Brandon McManus kicks off 66 yards, returned by Greg Dortch for 23 yards (tackle by Jalen Virgil and P.J. Locke)",0.0,0.41,15.0,2022,219
4.0,9:23,1.0,10.0,ARI 22,9.0,24.0,Trace McSorley pass complete short left to DeAndre Hopkins for 5 yards (tackle by Patrick Surtain and K'Waun Williams),0.41,0.54,15.0,2022,219
4.0,8:52,2.0,5.0,ARI 27,9.0,24.0,Trace McSorley pass complete short middle to Trey McBride for 29 yards (tackle by Patrick Surtain and Justin Simmons),0.54,2.65,15.0,2022,219
4.0,8:20,1.0,10.0,DEN 44,9.0,24.0,Trace McSorley pass incomplete short middle intended for James Conner,2.65,2.11,15.0,2022,219
4.0,8:14,2.0,10.0,DEN 44,9.0,24.0,Trace McSorley pass complete short right to James Conner for 16 yards (tackle by Kareem Jackson),2.11,3.71,15.0,2022,219
4.0,7:28,1.0,10.0,DEN 28,9.0,24.0,Trace McSorley pass complete deep left to DeAndre Hopkins for 18 yards (tackle by Patrick Surtain),3.71,4.91,15.0,2022,219
4.0,6:49,1.0,10.0,DEN 10,9.0,24.0,James Conner left end for 9 yards (tackle by Justin Simmons and Josey Jewell),4.91,5.91,15.0,2022,219
4.0,6:04,2.0,1.0,DEN 1,15.0,24.0,"James Conner right tackle for 1 yard, touchdown",5.91,7.0,15.0,2022,219
4.0,6:01,,,DEN 2,15.0,24.0,Two Point Attempt: Trace McSorley pass incomplete intended for intended for DeAndre Hopkins,1.0,-1.0,15.0,2022,219
4.0,6:01,,,ARI 35,15.0,24.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,219
4.0,6:01,1.0,10.0,DEN 25,15.0,24.0,Brett Rypien pass complete short left to Jerry Jeudy for 9 yards (tackle by Jace Whittaker),0.61,1.28,15.0,2022,219
4.0,5:23,2.0,1.0,DEN 34,15.0,24.0,Latavius Murray left guard for 4 yards (tackle by Zaven Collins and Jace Whittaker),1.28,1.47,15.0,2022,219
4.0,4:34,1.0,10.0,DEN 38,15.0,24.0,Latavius Murray left guard for 8 yards (tackle by Isaiah Simmons),1.47,2.0,15.0,2022,219
4.0,3:49,2.0,2.0,DEN 46,15.0,24.0,Andrew Beck right guard for 1 yard (tackle by Jalen Thompson and Tanner Vallejo),2.0,1.42,15.0,2022,219
4.0,3:42,,,,,,Timeout #1 by Arizona Cardinals,,,15.0,2022,219
4.0,3:42,3.0,1.0,DEN 47,15.0,24.0,Latavius Murray up the middle for 2 yards (tackle by Markus Golden and Tanner Vallejo),1.42,2.19,15.0,2022,219
4.0,3:37,,,,,,Timeout #2 by Arizona Cardinals,,,15.0,2022,219
4.0,3:37,1.0,10.0,DEN 49,15.0,24.0,Latavius Murray right tackle for no gain (tackle by Tanner Vallejo and Jonathan Ledbetter),2.19,1.65,15.0,2022,219
4.0,3:30,,,,,,Timeout #3 by Arizona Cardinals,,,15.0,2022,219
4.0,3:30,2.0,10.0,DEN 49,15.0,24.0,Latavius Murray left guard for 4 yards (tackle by Jace Whittaker),1.65,1.49,15.0,2022,219
4.0,2:45,3.0,6.0,ARI 47,15.0,24.0,Latavius Murray left tackle for no gain (tackle by Budda Baker),1.49,0.13,15.0,2022,219
4.0,2:01,,,,,,Timeout #1 by Denver Broncos,,,15.0,2022,219
4.0,2:01,4.0,6.0,ARI 47,15.0,24.0,Corliss Waitman punts 44 yards downed by Dakota Allen,0.13,0.38,15.0,2022,219
4.0,1:48,1.0,10.0,ARI 3,15.0,24.0,Trace McSorley pass complete short left to DeAndre Hopkins for 5 yards (tackle by Josey Jewell and DeShawn Williams),-0.38,-0.42,15.0,2022,219
4.0,1:30,2.0,5.0,ARI 8,15.0,24.0,James Conner left guard for 8 yards (tackle by Kareem Jackson),-0.42,-0.14,15.0,2022,219
