Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA,week,year,game_id
1.0,3:35,2.0,10.0,TEN 25,0.0,7.0,Malik Willis pass complete short left to Chris Conley for 7 yards (tackle by Ja'Sir Taylor),0.06,0.3,15.0,2022,222
1.0,2:58,3.0,3.0,TEN 32,0.0,7.0,Malik Willis pass complete short left to Chris Conley for 7 yards (tackle by Michael Davis),0.3,1.53,15.0,2022,222
1.0,2:11,1.0,10.0,TEN 39,0.0,7.0,Derrick Henry right tackle for 4 yards (tackle by Breiden Fehoko and Sebastian Joseph-Day),1.53,1.53,15.0,2022,222
1.0,1:28,2.0,6.0,TEN 43,0.0,7.0,Malik Willis scrambles right end for 8 yards (tackle by Drue Tranquill),1.53,2.32,15.0,2022,222
1.0,0:43,1.0,10.0,LAC 49,0.0,7.0,Derrick Henry right end for -1 yards (tackle by Sebastian Joseph-Day),2.32,1.65,15.0,2022,222
2.0,15:00,2.0,11.0,LAC 50,0.0,7.0,"Malik Willis scrambles left end for no gain (tackle by Asante Samuel). Penalty on Dillon Radunz: Offensive Holding, 10 yards (accepted) (no play)",1.65,0.3,15.0,2022,222
2.0,14:28,2.0,21.0,TEN 40,0.0,7.0,Malik Willis pass complete short right to Chigoziem Okonkwo for 6 yards (tackle by Alohi Gilman),0.3,0.43,15.0,2022,222
2.0,13:47,3.0,15.0,TEN 46,0.0,7.0,Malik Willis pass incomplete short left intended for Austin Hooper (defended by Khalil Mack),0.43,-0.32,15.0,2022,222
2.0,13:46,4.0,15.0,TEN 46,0.0,7.0,Ryan Stonehouse punts 42 yards downed by Hassan Haskins,-0.32,0.35,15.0,2022,222
2.0,13:34,1.0,10.0,LAC 12,0.0,7.0,Joshua Kelley left tackle for 4 yards (tackle by DeMarcus Walker),-0.35,-0.37,15.0,2022,222
2.0,13:14,2.0,6.0,LAC 16,0.0,7.0,Justin Herbert pass incomplete short left intended for Joshua Kelley,-0.37,-0.95,15.0,2022,222
2.0,13:06,3.0,6.0,LAC 16,0.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 5 yards (tackle by Kevin Byard),-0.95,-1.96,15.0,2022,222
2.0,12:31,4.0,1.0,LAC 21,0.0,7.0,"JK Scott punts 42 yards, fair catch by Mason Kinsey at TEN-37",-1.96,-1.4,15.0,2022,222
2.0,12:24,1.0,10.0,TEN 37,0.0,7.0,Derrick Henry up the middle for 11 yards (tackle by Michael Davis and Alohi Gilman),1.4,2.13,15.0,2022,222
2.0,11:47,1.0,10.0,TEN 48,0.0,7.0,Ryan Tannehill pass complete short right to Derrick Henry for 37 yards (tackle by Drue Tranquill),2.13,4.58,15.0,2022,222
2.0,11:03,1.0,10.0,LAC 15,0.0,7.0,Ryan Tannehill pass incomplete short middle intended for Nick Westbrook-Ikhine (defended by Michael Davis),4.58,3.95,15.0,2022,222
2.0,10:55,2.0,10.0,LAC 15,0.0,7.0,Derrick Henry left end for 11 yards (tackle by Ja'Sir Taylor),3.95,6.28,15.0,2022,222
2.0,10:17,1.0,4.0,LAC 4,0.0,7.0,Ryan Tannehill pass incomplete short left intended for Robert Woods,6.28,5.34,15.0,2022,222
2.0,10:13,2.0,4.0,LAC 4,6.0,7.0,"Derrick Henry left guard for 4 yards, touchdown",5.34,7.0,15.0,2022,222
2.0,10:09,,,LAC 15,7.0,7.0,Randy Bullock kicks extra point good,0.0,0.0,15.0,2022,222
2.0,10:09,,,TEN 35,7.0,7.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,222
2.0,10:09,1.0,10.0,LAC 25,7.0,7.0,DeAndre Carter right end for -10 yards (tackle by Joshua Kalu),0.61,-1.43,15.0,2022,222
2.0,9:34,2.0,20.0,LAC 15,7.0,7.0,Justin Herbert pass complete short middle to Josh Palmer for 12 yards (tackle by John Reid),-1.43,-0.36,15.0,2022,222
2.0,8:57,3.0,8.0,LAC 27,7.0,7.0,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Andrew Adams),-0.36,-1.11,15.0,2022,222
2.0,8:07,,,,,,Timeout #1 by Los Angeles Chargers,,,15.0,2022,222
2.0,8:07,,,,,,Timeout #1 by Tennessee Titans,,,15.0,2022,222
2.0,8:07,4.0,1.0,LAC 34,7.0,7.0,Justin Herbert up the middle for 2 yards (tackle by Naquan Jones),-1.11,1.33,15.0,2022,222
2.0,7:33,1.0,10.0,LAC 36,7.0,7.0,Justin Herbert pass complete short left to Keenan Allen for 4 yards (tackle by Andrew Adams),1.33,1.33,15.0,2022,222
2.0,7:01,2.0,6.0,LAC 40,7.0,7.0,Austin Ekeler left tackle for 3 yards (tackle by Jeffery Simmons),1.33,1.03,15.0,2022,222
2.0,6:19,3.0,3.0,LAC 43,7.0,7.0,Justin Herbert pass incomplete deep middle intended for Keenan Allen (defended by Monty Rice),1.03,-0.52,15.0,2022,222
2.0,6:13,4.0,3.0,LAC 43,7.0,7.0,"JK Scott punts 39 yards, fair catch by Mason Kinsey at TEN-18",-0.52,-0.04,15.0,2022,222
2.0,6:06,1.0,10.0,TEN 18,7.0,7.0,Derrick Henry up the middle for 2 yards (tackle by Khalil Mack and Breiden Fehoko),0.04,-0.13,15.0,2022,222
2.0,5:23,2.0,8.0,TEN 20,7.0,7.0,Ryan Tannehill pass complete short left to Robert Woods for 8 yards (tackle by Kenneth Murray),-0.13,0.81,15.0,2022,222
2.0,4:52,1.0,10.0,TEN 28,7.0,7.0,Ryan Tannehill pass complete short left to Derrick Henry for 16 yards (tackle by Kyle Van Noy),0.81,1.86,15.0,2022,222
2.0,4:05,1.0,10.0,TEN 44,7.0,7.0,"Derrick Henry right end for no gain (tackle by Drue Tranquill). Penalty on Austin Hooper: Offensive Holding, 10 yards (accepted) (no play)",1.86,1.2,15.0,2022,222
2.0,3:37,1.0,20.0,TEN 34,7.0,7.0,Ryan Tannehill pass incomplete short right intended for Nick Westbrook-Ikhine,1.2,-0.03,15.0,2022,222
2.0,3:30,2.0,20.0,TEN 34,7.0,7.0,Ryan Tannehill pass complete short right to Hassan Haskins for 9 yards (tackle by Kenneth Murray and Bryce Callahan),-0.03,0.5,15.0,2022,222
2.0,2:45,3.0,11.0,TEN 43,7.0,7.0,Ryan Tannehill pass complete short middle to Racey McMath for 1 yard (tackle by Drue Tranquill and Kenneth Murray),0.5,-0.46,15.0,2022,222
2.0,2:00,4.0,10.0,TEN 44,7.0,7.0,"Ryan Stonehouse punts 56 yards, touchback.",-0.46,-0.28,15.0,2022,222
2.0,1:52,1.0,10.0,LAC 20,7.0,7.0,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Roger McCreary and Andrew Adams),0.28,0.68,15.0,2022,222
2.0,1:32,2.0,3.0,LAC 27,7.0,7.0,"Penalty on Josh Palmer: False Start, 5 yards (accepted) (no play)",0.68,0.0,15.0,2022,222
2.0,1:23,2.0,8.0,LAC 22,7.0,7.0,Justin Herbert pass complete short right to Josh Palmer for 14 yards (tackle by Greg Mabin),0.0,1.33,15.0,2022,222
2.0,1:06,1.0,10.0,LAC 36,7.0,7.0,Justin Herbert pass complete short right to Gerald Everett for 10 yards (tackle by Jeffery Simmons),1.33,1.99,15.0,2022,222
2.0,0:42,1.0,10.0,LAC 46,7.0,7.0,Justin Herbert pass complete short right to DeAndre Carter for 15 yards (tackle by Greg Mabin),1.99,2.98,15.0,2022,222
2.0,0:35,,,,,,Timeout #2 by Los Angeles Chargers,,,15.0,2022,222
2.0,0:35,1.0,10.0,TEN 39,7.0,7.0,Justin Herbert pass complete short middle to Donald Parham for 9 yards (tackle by Andrew Adams and Monty Rice),2.98,3.66,15.0,2022,222
2.0,0:28,,,,,,Timeout #3 by Los Angeles Chargers,,,15.0,2022,222
2.0,0:28,2.0,1.0,TEN 30,7.0,7.0,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Monty Rice),3.66,3.84,15.0,2022,222
2.0,0:13,1.0,10.0,TEN 26,7.0,7.0,Justin Herbert spiked the ball,3.84,3.36,15.0,2022,222
2.0,0:12,2.0,10.0,TEN 25,7.0,7.0,Justin Herbert pass deep left (defended by Roger McCreary) intended for Mike Williams is intercepted by Joshua Kalu in end zone and returned for no gain,3.36,-0.28,15.0,2022,222
2.0,0:07,1.0,10.0,TEN 20,7.0,7.0,Ryan Tannehill kneels for -1 yards,0.28,-0.46,15.0,2022,222
3.0,15:00,,,TEN 35,7.0,7.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,222
3.0,15:00,1.0,10.0,LAC 25,7.0,7.0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Kevin Byard),0.61,1.28,15.0,2022,222
3.0,14:34,2.0,1.0,LAC 34,7.0,7.0,Austin Ekeler up the middle for 7 yards (tackle by Kevin Byard and Greg Mabin),1.28,1.66,15.0,2022,222
3.0,13:59,1.0,10.0,LAC 41,7.0,7.0,"Justin Herbert pass incomplete short right intended for Keenan Allen. Penalty on Mario Edwards: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.66,1.99,15.0,2022,222
3.0,13:48,1.0,10.0,LAC 46,7.0,7.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,1.99,1.45,15.0,2022,222
3.0,13:45,2.0,10.0,LAC 46,7.0,7.0,Justin Herbert pass complete short middle to Josh Palmer for 6 yards (tackle by Monty Rice and Jack Gibbens),1.45,1.55,15.0,2022,222
3.0,13:10,3.0,4.0,TEN 48,7.0,7.0,Justin Herbert sacked by DeMarcus Walker for -7 yards,1.55,-0.39,15.0,2022,222
3.0,12:34,4.0,11.0,LAC 45,7.0,7.0,"JK Scott punts 35 yards, recovered by Mason Kinsey at TEN-20 and returned for 1 yard",-0.39,-0.34,15.0,2022,222
3.0,12:24,1.0,10.0,TEN 21,7.0,7.0,Derrick Henry left end for 4 yards (tackle by Kyle Van Noy and Kenneth Murray),0.34,0.34,15.0,2022,222
3.0,11:43,2.0,6.0,TEN 25,7.0,7.0,Ryan Tannehill pass complete short left to Robert Woods for 4 yards (tackle by Michael Davis),0.34,0.17,15.0,2022,222
3.0,11:03,3.0,2.0,TEN 29,7.0,7.0,Ryan Tannehill pass incomplete short right intended for Robert Woods (defended by Asante Samuel),0.17,-1.44,15.0,2022,222
3.0,10:57,4.0,2.0,TEN 29,7.0,7.0,"Ryan Stonehouse punts 66 yards, returned by DeAndre Carter for 13 yards (tackle by Kevin Rader)",-1.44,-0.04,15.0,2022,222
3.0,10:46,1.0,10.0,LAC 18,7.0,7.0,Justin Herbert pass complete short right to Gerald Everett for 21 yards (tackle by Jack Gibbens),0.04,1.53,15.0,2022,222
3.0,10:24,1.0,10.0,LAC 39,7.0,7.0,Justin Herbert pass complete short right to Joshua Kelley for 7 yards (tackle by Greg Mabin),1.53,1.93,15.0,2022,222
3.0,9:57,2.0,3.0,LAC 46,7.0,7.0,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Greg Mabin),1.93,2.52,15.0,2022,222
3.0,9:20,1.0,10.0,TEN 46,7.0,7.0,"Justin Herbert scrambles left end for no gain (tackle by Joshua Kalu). Penalty on Matt Feiler: Offensive Holding, 10 yards (accepted) (no play)",2.52,1.86,15.0,2022,222
3.0,8:55,1.0,20.0,LAC 44,7.0,7.0,Justin Herbert pass complete short left to Josh Palmer for 12 yards (tackle by Roger McCreary),1.86,2.25,15.0,2022,222
3.0,8:27,2.0,8.0,TEN 44,7.0,7.0,Justin Herbert pass incomplete short left intended for DeAndre Carter,2.25,1.55,15.0,2022,222
3.0,8:19,3.0,8.0,TEN 44,7.0,7.0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Roger McCreary),1.55,0.33,15.0,2022,222
3.0,8:15,4.0,8.0,TEN 44,7.0,7.0,"JK Scott punts 31 yards, fair catch by Mason Kinsey at TEN-13",0.33,0.32,15.0,2022,222
3.0,8:08,1.0,10.0,TEN 13,7.0,7.0,Derrick Henry right tackle for -1 yards (tackle by Breiden Fehoko),-0.32,-0.85,15.0,2022,222
3.0,7:35,2.0,11.0,TEN 12,7.0,7.0,"Ryan Tannehill pass deep right intended for Racey McMath is intercepted by Nasir Adderley at TEN-48 and returned for no gain (tackle by Racey McMath). Penalty on Racey McMath: Offensive Pass Interference, 10 yards (declined)",-0.85,-2.39,15.0,2022,222
3.0,7:23,1.0,10.0,TEN 48,7.0,7.0,Justin Herbert pass incomplete deep right intended for Gerald Everett,2.39,1.85,15.0,2022,222
3.0,7:18,2.0,10.0,TEN 48,7.0,7.0,Austin Ekeler up the middle for 7 yards (tackle by Jack Gibbens),1.85,2.08,15.0,2022,222
3.0,6:41,3.0,3.0,TEN 41,7.0,7.0,Justin Herbert pass complete short left to Keenan Allen for 12 yards (tackle by John Reid),2.08,3.64,15.0,2022,222
3.0,6:07,1.0,10.0,TEN 29,7.0,7.0,Joshua Kelley up the middle for 2 yards (tackle by Joshua Kalu),3.64,3.37,15.0,2022,222
3.0,5:30,2.0,8.0,TEN 27,7.0,7.0,"Justin Herbert pass short middle intended for Mike Williams is intercepted by Kevin Byard at TEN-17 and returned for 3 yards (tackle by Austin Ekeler). Penalty on Matt Feiler: Offensive Holding, 10 yards (declined)",3.37,-0.28,15.0,2022,222
3.0,5:23,1.0,10.0,TEN 20,7.0,7.0,Ryan Tannehill pass complete deep right to Chigoziem Okonkwo for 18 yards (tackle by Kyle Van Noy and Alohi Gilman),0.28,1.47,15.0,2022,222
3.0,4:42,1.0,10.0,TEN 38,7.0,7.0,Derrick Henry up the middle for 7 yards (tackle by Drue Tranquill),1.47,1.87,15.0,2022,222
3.0,4:05,2.0,3.0,TEN 45,7.0,7.0,Derrick Henry right guard for 1 yard (tackle by Breiden Fehoko and Drue Tranquill),1.87,1.29,15.0,2022,222
3.0,3:24,3.0,2.0,TEN 46,7.0,7.0,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo,1.29,-0.32,15.0,2022,222
3.0,3:17,4.0,2.0,TEN 46,7.0,7.0,"Ryan Stonehouse punts 42 yards, fair catch by DeAndre Carter at LAC-12",-0.32,0.35,15.0,2022,222
3.0,3:10,1.0,10.0,LAC 12,7.0,7.0,Justin Herbert pass incomplete short right intended for Gerald Everett,-0.35,-0.78,15.0,2022,222
3.0,3:06,2.0,10.0,LAC 12,7.0,7.0,Joshua Kelley right guard for 3 yards (tackle by Rashad Weaver and Jeffery Simmons),-0.78,-1.07,15.0,2022,222
3.0,2:27,3.0,7.0,LAC 15,7.0,7.0,Justin Herbert sacked by DeMarcus Walker for -6 yards,-1.07,-2.49,15.0,2022,222
3.0,1:52,4.0,13.0,LAC 9,7.0,7.0,"JK Scott punts 45 yards, returned by Mason Kinsey for no gain (tackle by Kemon Hall)",-2.49,-1.99,15.0,2022,222
3.0,1:43,1.0,10.0,TEN 46,7.0,7.0,Ryan Tannehill pass complete short left to Austin Hooper for 16 yards (tackle by Ja'Sir Taylor),1.99,3.05,15.0,2022,222
3.0,1:09,1.0,10.0,LAC 38,7.0,7.0,Derrick Henry left guard for 13 yards (tackle by Nasir Adderley and Asante Samuel),3.05,3.91,15.0,2022,222
3.0,0:28,1.0,10.0,LAC 25,7.0,7.0,Ryan Tannehill sacked by Joe Gaziano for -6 yards,3.91,2.55,15.0,2022,222
4.0,15:00,2.0,16.0,LAC 31,7.0,7.0,Derrick Henry up the middle for 7 yards (tackle by Kyle Van Noy and Sebastian Joseph-Day),2.55,2.81,15.0,2022,222
4.0,14:21,3.0,9.0,LAC 24,7.0,7.0,Ryan Tannehill sacked by Chris Rumph for -9 yards,2.81,1.15,15.0,2022,222
4.0,13:41,4.0,18.0,LAC 33,7.0,7.0,Randy Bullock 51 yard field goal no good,1.15,-1.66,15.0,2022,222
4.0,13:34,1.0,10.0,LAC 41,7.0,7.0,Austin Ekeler right guard for 1 yard (tackle by Tarell Basham and Jack Gibbens),1.66,1.26,15.0,2022,222
4.0,13:12,2.0,9.0,LAC 42,7.0,7.0,Justin Herbert pass complete short right to Donald Parham for 8 yards (tackle by Greg Mabin and Jack Gibbens),1.26,1.62,15.0,2022,222
4.0,12:37,3.0,1.0,LAC 50,7.0,7.0,Austin Ekeler left guard for 4 yards (tackle by Jack Gibbens and Jeffery Simmons),1.62,2.52,15.0,2022,222
4.0,11:56,1.0,10.0,TEN 46,7.0,7.0,Justin Herbert pass complete deep left to Keenan Allen for 31 yards (tackle by Greg Mabin),2.52,4.58,15.0,2022,222
4.0,11:18,1.0,10.0,TEN 15,7.0,7.0,Austin Ekeler right tackle for 12 yards (tackle by Andrew Adams and Monty Rice),4.58,6.51,15.0,2022,222
4.0,10:34,1.0,3.0,TEN 3,7.0,13.0,"Austin Ekeler right guard for 3 yards, touchdown",6.51,7.0,15.0,2022,222
4.0,10:28,,,TEN 15,7.0,14.0,Cameron Dicker kicks extra point good,0.0,0.0,15.0,2022,222
4.0,10:28,,,LAC 35,7.0,14.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,222
4.0,10:28,1.0,10.0,TEN 25,7.0,14.0,Derrick Henry up the middle for 3 yards (tackle by Sebastian Joseph-Day and Breiden Fehoko),0.61,0.47,15.0,2022,222
4.0,9:48,2.0,7.0,TEN 28,7.0,14.0,"Derrick Henry up the middle for no gain (tackle by Kyle Van Noy and Bryce Callahan). Penalty on Austin Hooper: Offensive Holding, 10 yards (accepted) (no play)",0.47,-0.98,15.0,2022,222
4.0,9:27,2.0,17.0,TEN 18,7.0,14.0,Ryan Tannehill sacked by Kyle Van Noy for -6 yards,-0.98,-2.94,15.0,2022,222
4.0,8:45,3.0,23.0,TEN 12,7.0,14.0,Chigoziem Okonkwo up the middle for 6 yards (tackle by Drue Tranquill),-2.94,-2.24,15.0,2022,222
4.0,8:04,4.0,17.0,TEN 18,7.0,14.0,"Ryan Stonehouse punts 68 yards, returned by DeAndre Carter for 18 yards (tackle by Chigoziem Okonkwo)",-2.24,-1.07,15.0,2022,222
4.0,7:50,1.0,10.0,LAC 32,7.0,14.0,"Austin Ekeler right tackle for 2 yards (tackle by Kevin Byard). Penalty on Kevin Byard: Face Mask (15 Yards), 15 yards (accepted)",1.07,2.19,15.0,2022,222
4.0,7:40,1.0,10.0,LAC 49,7.0,14.0,Joshua Kelley left tackle for 1 yard (tackle by Kevin Byard and Tarell Basham),2.19,1.78,15.0,2022,222
4.0,7:04,2.0,9.0,LAC 50,7.0,14.0,Justin Herbert pass complete short right to Gerald Everett for 5 yards (tackle by Dylan Cole),1.78,1.75,15.0,2022,222
4.0,6:21,3.0,4.0,TEN 45,7.0,14.0,Justin Herbert pass incomplete deep right intended for Mike Williams,1.75,0.27,15.0,2022,222
4.0,6:14,4.0,4.0,TEN 45,7.0,14.0,"JK Scott punts 45 yards, touchback.",0.27,-0.28,15.0,2022,222
4.0,6:04,1.0,10.0,TEN 20,7.0,14.0,Derrick Henry right end for 8 yards (tackle by Khalil Mack and Alohi Gilman),0.28,0.81,15.0,2022,222
4.0,5:29,2.0,2.0,TEN 28,7.0,14.0,Derrick Henry left tackle for 12 yards (tackle by Alohi Gilman),0.81,1.6,15.0,2022,222
4.0,4:56,1.0,10.0,TEN 40,7.0,14.0,"Derrick Henry right guard for 1 yard. Derrick Henry fumbles (forced by Drue Tranquill), recovered by Ben Jones at TEN-41 (tackle by Drue Tranquill)",1.6,1.19,15.0,2022,222
4.0,4:11,2.0,9.0,TEN 41,7.0,14.0,Ryan Tannehill pass incomplete short left intended for Austin Hooper (defended by Kenneth Murray),1.19,0.5,15.0,2022,222
4.0,4:03,3.0,9.0,TEN 41,7.0,14.0,Ryan Tannehill sacked by Drue Tranquill for -7 yards,0.5,-1.11,15.0,2022,222
4.0,3:27,4.0,16.0,TEN 34,7.0,14.0,"Ryan Stonehouse punts 61 yards, returned by DeAndre Carter for 10 yards (tackle by Andre Smith)",-1.11,0.22,15.0,2022,222
4.0,3:19,1.0,10.0,LAC 15,7.0,14.0,Austin Ekeler up the middle for no gain (tackle by Jeffery Simmons and DeMarcus Walker),-0.22,-0.71,15.0,2022,222
4.0,3:16,,,,,,Timeout #1 by Tennessee Titans,,,15.0,2022,222
4.0,3:16,2.0,10.0,LAC 15,7.0,14.0,Justin Herbert pass incomplete short right,-0.71,-1.37,15.0,2022,222
4.0,3:11,3.0,10.0,LAC 15,7.0,14.0,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Greg Mabin),-1.37,-2.03,15.0,2022,222
4.0,3:05,,,,,,Timeout #2 by Tennessee Titans,,,15.0,2022,222
4.0,3:05,4.0,5.0,LAC 20,7.0,14.0,"JK Scott punts 54 yards, fair catch by Mason Kinsey at TEN-26",-2.03,-0.67,15.0,2022,222
4.0,2:57,1.0,10.0,TEN 26,7.0,14.0,Derrick Henry right end for 7 yards (tackle by Nasir Adderley),0.67,1.07,15.0,2022,222
4.0,2:34,2.0,3.0,TEN 33,7.0,14.0,Derrick Henry up the middle for 3 yards (tackle by Khalil Mack),1.07,1.33,15.0,2022,222
4.0,2:15,1.0,10.0,TEN 36,7.0,14.0,Ryan Tannehill pass complete short middle to Derrick Henry for 4 yards (tackle by Kenneth Murray),1.33,1.33,15.0,2022,222
4.0,2:00,2.0,6.0,TEN 40,7.0,14.0,Ryan Tannehill pass complete short left to Chris Conley for 5 yards (tackle by Asante Samuel),1.33,1.29,15.0,2022,222
4.0,1:43,3.0,1.0,TEN 45,7.0,14.0,Hassan Haskins right guard for 8 yards (tackle by Khalil Mack and Kenneth Murray),1.29,2.46,15.0,2022,222
4.0,1:20,1.0,10.0,LAC 47,7.0,14.0,Ryan Tannehill pass complete short left to Hassan Haskins for -2 yards (tackle by Kenneth Murray),2.46,1.64,15.0,2022,222
4.0,1:14,,,,,,Timeout #3 by Tennessee Titans,,,15.0,2022,222
4.0,1:14,2.0,12.0,LAC 49,7.0,14.0,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 28 yards (tackle by Alohi Gilman),1.64,4.17,15.0,2022,222
4.0,1:07,1.0,10.0,LAC 21,7.0,14.0,Ryan Tannehill pass complete short middle to Austin Hooper for 17 yards (tackle by Nasir Adderley),4.17,6.28,15.0,2022,222
4.0,0:59,,,,,,Timeout #1 by Los Angeles Chargers,,,15.0,2022,222
4.0,0:59,1.0,4.0,LAC 4,7.0,14.0,Ryan Tannehill pass complete short left to Derrick Henry for 2 yards (tackle by Nasir Adderley),6.28,5.72,15.0,2022,222
4.0,0:54,,,,,,Timeout #2 by Los Angeles Chargers,,,15.0,2022,222
4.0,0:54,2.0,2.0,LAC 2,7.0,14.0,Derrick Henry up the middle for 1 yard (tackle by Tyeler Davison and Drue Tranquill),5.72,5.17,15.0,2022,222
4.0,0:51,,,,,,Timeout #3 by Los Angeles Chargers,,,15.0,2022,222
4.0,0:51,3.0,1.0,LAC 1,13.0,14.0,"Ryan Tannehill up the middle for 1 yard, touchdown",5.17,7.0,15.0,2022,222
4.0,0:48,,,LAC 15,14.0,14.0,Randy Bullock kicks extra point good,0.0,0.0,15.0,2022,222
4.0,0:48,,,TEN 35,14.0,14.0,"Randy Bullock kicks off 59 yards, returned by DeAndre Carter for 17 yards (tackle by Andre Smith)",0.0,0.48,15.0,2022,222
4.0,0:44,1.0,10.0,LAC 23,14.0,14.0,Justin Herbert pass complete deep left to Mike Williams for 16 yards,0.48,1.53,15.0,2022,222
4.0,0:39,1.0,10.0,LAC 39,14.0,14.0,Justin Herbert pass complete short right to Gerald Everett for 6 yards (tackle by Monty Rice),1.53,1.8,15.0,2022,222
