Quarter,Time,Down,ToGo,Location,DET,NYJ,Detail,EPB,EPA,week,year,game_id
1.0,6:00,,,DET 35,7.0,0.0,"Jack Fox kicks off no gain, returned by Braxton Berrios for 20 yards (tackle by Kerby Joseph). Penalty on Justin Jackson: Illegal Formation, 5 yards (accepted) (no play)",0.0,0.0,15.0,2022,217
1.0,5:55,,,DET 30,7.0,0.0,"Jack Fox kicks off 60 yards, returned by Braxton Berrios for 10 yards (tackle by James Houston and C.J. Moore)",0.0,0.28,15.0,2022,217
1.0,5:50,1.0,10.0,NYJ 20,7.0,0.0,Zonovan Knight left tackle for -1 yards (tackle by Aidan Hutchinson),0.28,-0.46,15.0,2022,217
1.0,5:05,2.0,11.0,NYJ 19,7.0,0.0,"Zach Wilson pass incomplete short left intended for Garrett Wilson. Penalty on DeShon Elliott: Defensive Pass Interference, 12 yards (accepted) (no play)",-0.46,1.0,15.0,2022,217
1.0,5:05,1.0,10.0,NYJ 31,7.0,0.0,Zonovan Knight left end for no gain (tackle by Aidan Hutchinson and Alex Anzalone),1.0,0.46,15.0,2022,217
1.0,4:24,2.0,10.0,NYJ 31,7.0,0.0,"Zach Wilson pass complete short left to Denzel Mims for 13 yards (tackle by Jeff Okudah). Penalty on John Cominsky: Defensive Offside, 5 yards (declined)",0.46,1.86,15.0,2022,217
1.0,4:00,1.0,10.0,NYJ 44,7.0,0.0,Zach Wilson pass complete short right to Jeff Smith for 8 yards,1.86,2.4,15.0,2022,217
1.0,3:31,2.0,2.0,DET 48,7.0,0.0,Zonovan Knight left guard for no gain (tackle by Aidan Hutchinson),2.4,1.69,15.0,2022,217
1.0,2:48,3.0,2.0,DET 48,7.0,0.0,Zach Wilson sacked by James Houston for -6 yards,1.69,-0.32,15.0,2022,217
1.0,2:08,4.0,8.0,NYJ 46,7.0,0.0,"Braden Mann punts 54 yards, touchback.",-0.32,-0.28,15.0,2022,217
1.0,1:59,1.0,10.0,DET 20,7.0,0.0,Jared Goff pass incomplete short right,0.28,-0.27,15.0,2022,217
1.0,1:51,2.0,10.0,DET 20,7.0,0.0,Jared Goff pass complete short middle to Kalif Raymond for 11 yards (tackle by Will Parks),-0.27,1.0,15.0,2022,217
1.0,1:11,1.0,10.0,DET 31,7.0,0.0,Jamaal Williams right guard for 4 yards (tackle by Jermaine Johnson and Vinny Curry),1.0,1.0,15.0,2022,217
1.0,0:33,2.0,6.0,DET 35,7.0,0.0,Jared Goff pass incomplete short left intended for D'Andre Swift,1.0,0.3,15.0,2022,217
1.0,0:27,,,,,,Timeout #1 by Detroit Lions,,,15.0,2022,217
1.0,0:27,3.0,6.0,DET 35,7.0,0.0,"Jared Goff pass incomplete short left intended for Justin Jackson. Penalty on Penei Sewell: Offensive Holding, 10 yards (declined)",0.3,-1.04,15.0,2022,217
1.0,0:21,4.0,6.0,DET 35,7.0,0.0,"Jack Fox punts 43 yards, fair catch by Braxton Berrios at NYJ-22",-1.04,-0.41,15.0,2022,217
1.0,0:15,1.0,10.0,NYJ 22,7.0,0.0,Zonovan Knight left end for 5 yards (tackle by Alim McNeill and Will Harris),0.41,0.54,15.0,2022,217
2.0,15:00,2.0,5.0,NYJ 27,7.0,0.0,Zach Wilson pass complete deep right to Garrett Wilson for 33 yards (tackle by Kerby Joseph),0.54,2.92,15.0,2022,217
2.0,14:16,1.0,10.0,DET 40,7.0,6.0,"Zach Wilson pass complete deep right to C.J. Uzomah for 40 yards, touchdown",2.92,7.0,15.0,2022,217
2.0,14:06,,,DET 15,7.0,7.0,Greg Zuerlein kicks extra point good,0.0,0.0,15.0,2022,217
2.0,14:06,,,NYJ 35,7.0,7.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,217
2.0,14:06,1.0,10.0,DET 25,7.0,7.0,Jamaal Williams up the middle for 4 yards (tackle by Jordan Whitehead and Tanzel Smart),0.61,0.6,15.0,2022,217
2.0,13:24,2.0,6.0,DET 29,7.0,7.0,Jared Goff pass complete short left to James Mitchell for 5 yards (tackle by Quincy Williams),0.6,0.56,15.0,2022,217
2.0,12:46,3.0,1.0,DET 34,7.0,7.0,D'Andre Swift up the middle for 3 yards (tackle by John Franklin-Myers),0.56,1.4,15.0,2022,217
2.0,12:12,1.0,10.0,DET 37,7.0,7.0,Jared Goff pass complete short middle to DJ Chark for 18 yards (tackle by D.J. Reed),1.4,2.59,15.0,2022,217
2.0,11:30,1.0,10.0,NYJ 45,7.0,7.0,Jared Goff pass incomplete deep middle intended for Jameson Williams (defended by D.J. Reed),2.59,2.04,15.0,2022,217
2.0,11:22,2.0,10.0,NYJ 45,7.0,7.0,Justin Jackson up the middle for 3 yards (tackle by Sheldon Rankins and Jermaine Johnson),2.04,1.75,15.0,2022,217
2.0,10:38,3.0,7.0,NYJ 42,7.0,7.0,Justin Jackson up the middle for 4 yards (tackle by Tony Adams),1.75,0.72,15.0,2022,217
2.0,10:00,4.0,3.0,NYJ 38,7.0,7.0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 12 yards (tackle by Michael Carter). Penalty on Tony Adams: Defensive Holding, 5 yards (declined)",0.72,3.84,15.0,2022,217
2.0,9:55,1.0,10.0,NYJ 26,7.0,7.0,Jared Goff pass complete short right to Justin Jackson for 15 yards (tackle by Jordan Whitehead),3.84,4.84,15.0,2022,217
2.0,9:27,1.0,10.0,NYJ 11,7.0,7.0,"Jamaal Williams right tackle for 3 yards. Penalty on Evan Brown: Offensive Holding, 10 yards (accepted)",4.84,4.26,15.0,2022,217
2.0,8:45,1.0,17.0,NYJ 18,7.0,7.0,Jared Goff pass complete short right to D'Andre Swift for 7 yards (tackle by Kwon Alexander),4.26,4.14,15.0,2022,217
2.0,8:07,2.0,10.0,NYJ 11,7.0,7.0,"D'Andre Swift right end for 3 yards (tackle by Kwon Alexander). Penalty on Evan Brown: Offensive Holding, 10 yards (accepted)",4.14,3.23,15.0,2022,217
2.0,7:53,2.0,17.0,NYJ 18,7.0,7.0,Jared Goff pass complete short right to D'Andre Swift for 5 yards (tackle by Kwon Alexander),3.23,3.08,15.0,2022,217
2.0,7:14,3.0,12.0,NYJ 13,7.0,7.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,3.08,2.57,15.0,2022,217
2.0,7:09,4.0,12.0,NYJ 13,10.0,7.0,Michael Badgley 31 yard field goal good,2.57,3.0,15.0,2022,217
2.0,7:06,,,DET 35,10.0,7.0,"Jack Fox kicks off 68 yards, returned by Braxton Berrios for 26 yards (tackle by Mike Hughes)",0.0,0.48,15.0,2022,217
2.0,7:01,1.0,10.0,NYJ 23,10.0,7.0,Zach Wilson pass complete deep left to Elijah Moore for 21 yards (tackle by Jerry Jacobs),0.48,1.86,15.0,2022,217
2.0,6:17,1.0,10.0,NYJ 44,10.0,7.0,Zonovan Knight left tackle for 4 yards (tackle by Isaiah Buggs and Alim McNeill),1.86,1.86,15.0,2022,217
2.0,5:35,2.0,6.0,NYJ 48,10.0,7.0,Zonovan Knight right end for 5 yards (tackle by Alex Anzalone),1.86,1.82,15.0,2022,217
2.0,4:51,3.0,1.0,DET 47,10.0,7.0,Zach Wilson up the middle for 3 yards (tackle by Jeff Okudah and DeShon Elliott),1.82,2.65,15.0,2022,217
2.0,4:09,1.0,10.0,DET 44,10.0,7.0,Zach Wilson pass complete short right to Elijah Moore for 5 yards (tackle by Malcolm Rodriguez),2.65,2.78,15.0,2022,217
2.0,3:26,2.0,5.0,DET 39,10.0,7.0,Zonovan Knight up the middle for 3 yards (tackle by DeShon Elliott and Isaiah Buggs),2.78,2.48,15.0,2022,217
2.0,2:41,3.0,2.0,DET 36,10.0,7.0,Elijah Moore left end for 3 yards (tackle by Jeff Okudah),2.48,3.38,15.0,2022,217
2.0,2:03,1.0,10.0,DET 33,10.0,7.0,"Zach Wilson pass incomplete short right. Penalty on Zach Wilson: Intentional Grounding, 10 yards (accepted)",3.38,1.49,15.0,2022,217
2.0,2:00,2.0,20.0,DET 43,10.0,7.0,Zach Wilson sacked by Romeo Okwara for -7 yards,1.49,-0.1,15.0,2022,217
2.0,1:16,3.0,27.0,DET 50,10.0,7.0,Zach Wilson pass incomplete short right intended for Tyler Conklin,-0.1,-0.06,15.0,2022,217
2.0,1:10,4.0,27.0,DET 50,10.0,7.0,"Braden Mann punts 50 yards, touchback.",-0.06,-0.28,15.0,2022,217
2.0,1:03,1.0,10.0,DET 20,10.0,7.0,D'Andre Swift up the middle for 16 yards (tackle by Will Parks),0.28,1.33,15.0,2022,217
2.0,0:40,1.0,10.0,DET 36,10.0,7.0,Jared Goff pass incomplete short left intended for D'Andre Swift,1.33,0.79,15.0,2022,217
2.0,0:41,2.0,10.0,DET 36,10.0,7.0,Jared Goff pass incomplete short right intended for D'Andre Swift,0.79,0.1,15.0,2022,217
2.0,0:37,3.0,10.0,DET 36,10.0,7.0,Jared Goff pass complete short middle to Shane Zylstra for 4 yards (tackle by Michael Carter),0.1,-0.72,15.0,2022,217
2.0,0:31,,,,,,Timeout #1 by New York Jets,,,15.0,2022,217
2.0,0:31,4.0,6.0,DET 40,10.0,7.0,"Jack Fox punts 41 yards, fair catch by Braxton Berrios at NYJ-19",-0.72,-0.15,15.0,2022,217
2.0,0:25,1.0,10.0,NYJ 19,10.0,7.0,Zach Wilson pass complete deep right to Jeff Smith for 50 yards (tackle by Jeff Okudah),0.15,3.51,15.0,2022,217
2.0,0:16,,,,,,Timeout #2 by New York Jets,,,15.0,2022,217
2.0,0:16,1.0,10.0,DET 31,10.0,7.0,Zach Wilson pass complete short right to Jeff Smith for 15 yards,3.51,4.51,15.0,2022,217
2.0,0:12,1.0,10.0,DET 16,10.0,7.0,Zach Wilson pass incomplete deep right intended for Jeff Smith,4.51,3.9,15.0,2022,217
2.0,0:08,2.0,10.0,DET 16,10.0,7.0,Zach Wilson pass incomplete deep left intended for Garrett Wilson,3.9,3.08,15.0,2022,217
2.0,0:03,3.0,10.0,DET 16,10.0,10.0,Greg Zuerlein 34 yard field goal good,3.08,3.0,15.0,2022,217
3.0,15:00,,,DET 35,10.0,10.0,"Jack Fox kicks off 62 yards, returned by Braxton Berrios for 21 yards (tackle by James Houston)",0.0,0.54,15.0,2022,217
3.0,14:56,1.0,10.0,NYJ 24,10.0,10.0,Zach Wilson pass incomplete deep middle intended for Garrett Wilson,0.54,0.0,15.0,2022,217
3.0,14:51,2.0,10.0,NYJ 24,10.0,10.0,Zonovan Knight right tackle for 5 yards (tackle by Alim McNeill),0.0,-0.03,15.0,2022,217
3.0,14:11,3.0,5.0,NYJ 29,10.0,10.0,Zach Wilson pass complete short right to Tyler Conklin for 7 yards (tackle by DeShon Elliott),-0.03,1.33,15.0,2022,217
3.0,13:28,1.0,10.0,NYJ 36,10.0,10.0,Zach Wilson pass deep left intended for Elijah Moore is intercepted by Jerry Jacobs at DET-47 and returned for 38 yards (tackle by Duane Brown),1.33,-4.58,15.0,2022,217
3.0,13:17,1.0,10.0,NYJ 15,10.0,10.0,Jared Goff pass complete short left to D'Andre Swift for no gain (tackle by Kwon Alexander),4.58,3.95,15.0,2022,217
3.0,13:09,2.0,10.0,NYJ 15,10.0,10.0,Jamaal Williams for -1 yards (tackle by Carl Lawson),3.95,3.04,15.0,2022,217
3.0,12:04,3.0,11.0,NYJ 16,10.0,10.0,Jared Goff pass incomplete short left intended for Kalif Raymond (defended by D.J. Reed),3.04,2.38,15.0,2022,217
3.0,11:58,4.0,11.0,NYJ 16,13.0,10.0,Michael Badgley 34 yard field goal good,2.38,3.0,15.0,2022,217
3.0,11:55,,,DET 35,13.0,10.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,217
3.0,11:55,1.0,10.0,NYJ 25,13.0,10.0,Zonovan Knight right tackle for 3 yards (tackle by Aidan Hutchinson),0.61,0.47,15.0,2022,217
3.0,11:15,2.0,7.0,NYJ 28,13.0,10.0,"Zonovan Knight right end for no gain (tackle by Jeff Okudah). Penalty on George Fant: Offensive Holding, 10 yards (accepted) (no play)",0.47,-0.98,15.0,2022,217
3.0,10:47,2.0,17.0,NYJ 18,13.0,10.0,Zach Wilson scrambles right end for 4 yards (tackle by DeShon Elliott),-0.98,-1.02,15.0,2022,217
3.0,10:06,3.0,13.0,NYJ 22,13.0,10.0,Zach Wilson pass complete short left to Jeff Smith for 4 yards (tackle by Will Harris),-1.02,-1.63,15.0,2022,217
3.0,9:26,4.0,9.0,NYJ 26,13.0,10.0,Braden Mann punts 40 yards out of bounds,-1.63,-1.2,15.0,2022,217
3.0,9:20,1.0,10.0,DET 34,13.0,10.0,Jared Goff pass complete short middle to D'Andre Swift for 3 yards (tackle by Quincy Williams),1.2,1.06,15.0,2022,217
3.0,8:48,2.0,7.0,DET 37,13.0,10.0,Jared Goff pass complete short right to Kalif Raymond for 9 yards (tackle by Sauce Gardner),1.06,1.99,15.0,2022,217
3.0,8:10,1.0,10.0,DET 46,13.0,10.0,Jamaal Williams up the middle for 5 yards (tackle by Jermaine Johnson),1.99,2.13,15.0,2022,217
3.0,7:34,2.0,5.0,NYJ 49,13.0,10.0,Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown,2.13,1.42,15.0,2022,217
3.0,7:26,3.0,5.0,NYJ 49,13.0,10.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,1.42,0.0,15.0,2022,217
3.0,7:22,4.0,5.0,NYJ 49,13.0,10.0,"Jack Fox punts 49 yards, touchback.",0.0,-0.28,15.0,2022,217
3.0,7:15,1.0,10.0,NYJ 20,13.0,10.0,Zonovan Knight left end for no gain (tackle by Kerby Joseph),0.28,-0.27,15.0,2022,217
3.0,6:30,2.0,10.0,NYJ 20,13.0,10.0,Zach Wilson pass incomplete short right intended for Braxton Berrios,-0.27,-0.96,15.0,2022,217
3.0,6:23,3.0,10.0,NYJ 20,13.0,10.0,Zach Wilson pass complete short left to Michael Carter for 16 yards (tackle by DeShon Elliott),-0.96,1.33,15.0,2022,217
3.0,5:41,1.0,10.0,NYJ 36,13.0,10.0,Michael Carter left tackle for 6 yards (tackle by Romeo Okwara and Kerby Joseph),1.33,1.6,15.0,2022,217
3.0,5:09,2.0,4.0,NYJ 42,13.0,10.0,Michael Carter left guard for 3 yards (tackle by C.J. Moore and Alex Anzalone),1.6,1.29,15.0,2022,217
3.0,4:17,3.0,1.0,NYJ 45,13.0,10.0,Tyler Conklin up the middle for 2 yards (tackle by Romeo Okwara and Alex Anzalone),1.29,2.06,15.0,2022,217
3.0,3:36,1.0,10.0,NYJ 47,13.0,10.0,Zach Wilson pass incomplete short middle intended for Braxton Berrios,2.06,1.52,15.0,2022,217
3.0,3:32,2.0,10.0,NYJ 47,13.0,10.0,Zonovan Knight right end for -2 yards (tackle by Alex Anzalone and Kerby Joseph),1.52,0.56,15.0,2022,217
3.0,2:48,3.0,12.0,NYJ 45,13.0,10.0,Zach Wilson pass incomplete short right intended for Garrett Wilson,0.56,-0.39,15.0,2022,217
3.0,2:44,4.0,12.0,NYJ 45,13.0,10.0,"Braden Mann punts 55 yards, touchback.",-0.39,-0.28,15.0,2022,217
3.0,2:37,1.0,10.0,DET 20,13.0,10.0,Jamaal Williams right guard for -2 yards (tackle by Nathan Shepherd and Will Parks),0.28,-0.63,15.0,2022,217
3.0,1:56,2.0,12.0,DET 18,13.0,10.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards (tackle by Sauce Gardner and Will Parks),-0.63,1.07,15.0,2022,217
3.0,1:20,1.0,10.0,DET 32,13.0,10.0,"D'Andre Swift left tackle for no gain (tackle by Jordan Whitehead). Penalty on Frank Ragnow: Offensive Holding, 10 yards (accepted) (no play)",1.07,0.41,15.0,2022,217
3.0,0:54,1.0,20.0,DET 22,13.0,10.0,D'Andre Swift right end for -2 yards (tackle by Quincy Williams),0.41,-1.09,15.0,2022,217
3.0,0:11,2.0,22.0,DET 20,13.0,10.0,Jared Goff pass incomplete short right,-1.09,-1.75,15.0,2022,217
3.0,0:02,3.0,22.0,DET 20,13.0,10.0,Jared Goff pass complete short left to Kalif Raymond for 10 yards (tackle by D.J. Reed and Quincy Williams),-1.75,-1.37,15.0,2022,217
4.0,15:00,4.0,12.0,DET 30,13.0,10.0,"Jack Fox punts 45 yards, returned by Braxton Berrios for 6 yards (tackle by Josh Woods)",-1.37,-1.0,15.0,2022,217
4.0,14:51,1.0,10.0,NYJ 31,13.0,10.0,Zach Wilson pass incomplete short right intended for Garrett Wilson (defended by Jeff Okudah),1.0,0.46,15.0,2022,217
4.0,14:47,2.0,10.0,NYJ 31,13.0,10.0,Zach Wilson pass complete short left to Elijah Moore for 5 yards (tackle by John Cominsky),0.46,0.43,15.0,2022,217
4.0,14:07,3.0,5.0,NYJ 36,13.0,10.0,Zach Wilson pass incomplete short middle intended for Elijah Moore,0.43,-0.98,15.0,2022,217
4.0,14:00,4.0,5.0,NYJ 36,13.0,10.0,"Braden Mann punts 55 yards, fair catch by Kalif Raymond at DET-9",-0.98,0.38,15.0,2022,217
4.0,13:53,1.0,10.0,DET 9,13.0,10.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 13 yards (tackle by Will Parks and C.J. Mosley),-0.38,0.41,15.0,2022,217
4.0,13:18,1.0,10.0,DET 22,13.0,10.0,Jamaal Williams up the middle for 1 yard (tackle by Micheal Clemons and Vinny Curry),0.41,0.0,15.0,2022,217
4.0,12:38,2.0,9.0,DET 23,13.0,10.0,Jared Goff pass complete short right to D'Andre Swift for 8 yards (tackle by C.J. Mosley),0.0,0.37,15.0,2022,217
4.0,11:48,,,,,,Timeout #1 by Detroit Lions,,,15.0,2022,217
4.0,11:48,3.0,1.0,DET 31,13.0,10.0,Jamaal Williams left guard for 10 yards (tackle by Jermaine Johnson and Kwon Alexander),0.37,1.66,15.0,2022,217
4.0,11:07,1.0,10.0,DET 41,13.0,10.0,D'Andre Swift left end for 8 yards (tackle by Carl Lawson),1.66,2.2,15.0,2022,217
4.0,10:28,2.0,2.0,DET 49,13.0,10.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 10 yards (tackle by Will Parks),2.2,2.85,15.0,2022,217
4.0,9:50,1.0,10.0,NYJ 41,13.0,10.0,Justin Jackson up the middle for 4 yards (tackle by Kwon Alexander and Jordan Whitehead),2.85,2.85,15.0,2022,217
4.0,9:10,2.0,6.0,NYJ 37,13.0,10.0,Jamaal Williams right guard for 1 yard (tackle by Sheldon Rankins and C.J. Mosley),2.85,2.28,15.0,2022,217
4.0,8:26,3.0,5.0,NYJ 36,13.0,10.0,"D'Andre Swift left end for 2 yards (tackle by C.J. Mosley). Penalty on Carl Lawson: Defensive Offside, 5 yards (offset) . Penalty on Frank Ragnow: Offensive Holding, 10 yards (offset) (no play)",2.28,2.28,15.0,2022,217
4.0,8:00,3.0,5.0,NYJ 36,13.0,10.0,Jared Goff pass incomplete short middle intended for D'Andre Swift,2.28,0.88,15.0,2022,217
4.0,7:57,4.0,5.0,NYJ 36,13.0,10.0,Michael Badgley 54 yard field goal no good,0.88,-1.86,15.0,2022,217
4.0,7:53,1.0,10.0,NYJ 44,13.0,10.0,Zonovan Knight left tackle for 2 yards (tackle by Isaiah Buggs),1.86,1.73,15.0,2022,217
4.0,7:18,2.0,6.0,NYJ 46,13.0,10.0,"Zach Wilson pass complete deep right to Garrett Wilson for 33 yards (tackle by Will Harris). Penalty on Will Harris: Defensive Pass Interference, 15 yards (declined)",1.73,4.17,15.0,2022,217
4.0,6:48,1.0,10.0,DET 21,13.0,10.0,Michael Carter left guard for no gain (tackle by Alim McNeill and Aidan Hutchinson),4.17,3.63,15.0,2022,217
4.0,6:11,2.0,10.0,DET 21,13.0,10.0,Zach Wilson pass complete short right to Braxton Berrios for 14 yards (tackle by Will Harris),3.63,5.6,15.0,2022,217
4.0,5:30,1.0,7.0,DET 7,13.0,10.0,Michael Carter left guard for 6 yards (tackle by Kerby Joseph and Jeff Okudah),5.6,5.91,15.0,2022,217
4.0,4:50,2.0,1.0,DET 1,13.0,10.0,"Zach Wilson for 1 yard, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Zach Wilson up the middle for no gain (tackle by Malcolm Rodriguez and Alim McNeill)",5.91,5.17,15.0,2022,217
4.0,4:49,3.0,1.0,DET 1,13.0,16.0,"Zach Wilson pass complete short right to C.J. Uzomah for 1 yard, touchdown",5.17,7.0,15.0,2022,217
4.0,4:41,,,DET 15,13.0,17.0,Greg Zuerlein kicks extra point good,0.0,0.0,15.0,2022,217
4.0,4:41,,,NYJ 35,13.0,17.0,"Greg Zuerlein kicks off 68 yards, returned by Justin Jackson for 25 yards (tackle by Ashtyn Davis)",0.0,0.41,15.0,2022,217
4.0,4:37,1.0,10.0,DET 22,13.0,17.0,Jared Goff pass incomplete short left intended for Brock Wright,0.41,-0.13,15.0,2022,217
4.0,4:31,2.0,10.0,DET 22,13.0,17.0,D'Andre Swift up the middle for 8 yards (tackle by C.J. Mosley and Michael Carter),-0.13,0.23,15.0,2022,217
4.0,3:54,3.0,2.0,DET 30,13.0,17.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 10 yards (tackle by Jordan Whitehead),0.23,1.6,15.0,2022,217
4.0,3:19,1.0,10.0,DET 40,13.0,17.0,Justin Jackson left tackle for 4 yards (tackle by Nathan Shepherd and Quincy Williams),1.6,1.59,15.0,2022,217
4.0,2:40,2.0,6.0,DET 44,13.0,17.0,Jared Goff pass incomplete short right intended for Jason Cabinda,1.59,0.89,15.0,2022,217
4.0,2:31,,,,,,Timeout #2 by Detroit Lions,,,15.0,2022,217
4.0,2:31,3.0,6.0,DET 44,13.0,17.0,Jared Goff pass complete short left to Kalif Raymond for 5 yards (tackle by Tony Adams),0.89,-0.13,15.0,2022,217
4.0,2:00,4.0,1.0,DET 49,19.0,17.0,"Jared Goff pass complete short left to Brock Wright for 51 yards, touchdown",-0.13,7.0,15.0,2022,217
4.0,1:49,,,NYJ 15,20.0,17.0,Michael Badgley kicks extra point good,0.0,0.0,15.0,2022,217
4.0,1:49,,,DET 35,20.0,17.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,15.0,2022,217
4.0,1:49,1.0,10.0,NYJ 25,20.0,17.0,Zach Wilson sacked by Romeo Okwara for -9 yards,0.61,-1.29,15.0,2022,217
4.0,1:23,2.0,19.0,NYJ 16,20.0,17.0,Zach Wilson pass incomplete deep middle intended for Braxton Berrios,-1.29,-2.14,15.0,2022,217
4.0,1:22,3.0,19.0,NYJ 16,20.0,17.0,Zach Wilson pass complete deep right to Garrett Wilson for 22 yards (tackle by Jeff Okudah),-2.14,1.47,15.0,2022,217
4.0,0:59,1.0,10.0,NYJ 38,20.0,17.0,Zach Wilson pass incomplete short right intended for Braxton Berrios,1.47,0.92,15.0,2022,217
4.0,0:53,2.0,10.0,NYJ 38,20.0,17.0,Zach Wilson pass complete short left to Garrett Wilson for 10 yards (tackle by Jerry Jacobs),0.92,2.13,15.0,2022,217
4.0,0:30,1.0,10.0,NYJ 48,20.0,17.0,Zach Wilson pass incomplete deep right intended for Braxton Berrios,2.13,1.58,15.0,2022,217
4.0,0:25,2.0,10.0,NYJ 48,20.0,17.0,Zach Wilson sacked by John Cominsky for -8 yards,1.58,-0.16,15.0,2022,217
4.0,0:19,,,,,,Timeout #1 by New York Jets,,,15.0,2022,217
4.0,0:19,3.0,18.0,NYJ 40,20.0,17.0,Zach Wilson pass incomplete short right intended for Elijah Moore,-0.16,-0.72,15.0,2022,217
4.0,0:14,4.0,18.0,NYJ 40,20.0,17.0,Zach Wilson pass complete deep left to Elijah Moore for 20 yards (tackle by Kerby Joseph),-0.72,2.92,15.0,2022,217
4.0,0:01,,,,,,Timeout #2 by New York Jets,,,15.0,2022,217
4.0,0:01,1.0,10.0,DET 40,20.0,17.0,Greg Zuerlein 58 yard field goal no good,2.92,2.06,15.0,2022,217
