Quarter,Time,Down,ToGo,Location,TEN,PHI,Detail,EPB,EPA,week,year,game_id
2.0,14:26,1.0,10.0,TEN 35,7.0,7.0,"Penalty on Jack Stoll: False Start, 5 yards (accepted) (no play)",3.25,2.92,13.0,2022,187
2.0,14:05,1.0,15.0,TEN 40,7.0,7.0,"Jalen Hurts pass complete to A.J. Brown for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Jalen Hurts pass incomplete deep right intended for A.J. Brown",2.92,2.03,13.0,2022,187
2.0,14:03,2.0,15.0,TEN 40,7.0,13.0,"Jalen Hurts pass complete deep left to A.J. Brown for 40 yards, touchdown. Penalty on Kristian Fulton: Defensive Pass Interference, 15 yards (declined)",2.03,7.0,13.0,2022,187
2.0,13:55,,,TEN 15,7.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2022,187
2.0,13:55,,,PHI 35,7.0,14.0,"Jake Elliott kicks off 63 yards, returned by C.J. Board for 21 yards (tackle by Shaun Bradley)",0.0,0.48,13.0,2022,187
2.0,13:49,1.0,10.0,TEN 23,7.0,14.0,Ryan Tannehill pass incomplete deep left intended for Robert Woods (defended by James Bradberry),0.48,-0.07,13.0,2022,187
2.0,13:44,2.0,10.0,TEN 23,7.0,14.0,Ryan Tannehill pass complete short left to Dontrell Hilliard for 4 yards (tackle by Kyzir White),-0.07,-0.23,13.0,2022,187
2.0,13:01,3.0,6.0,TEN 27,7.0,14.0,Ryan Tannehill sacked by Fletcher Cox for -1 yards,-0.23,-1.63,13.0,2022,187
2.0,12:24,4.0,7.0,TEN 26,7.0,14.0,"Ryan Stonehouse punts 51 yards, returned by Britain Covey for 20 yards (tackle by Dylan Cole and Kevin Rader)",-1.63,-1.8,13.0,2022,187
2.0,12:13,1.0,10.0,PHI 43,7.0,14.0,"Jalen Hurts sacked by Mario Edwards for -3 yards. Penalty on Mario Edwards: Personal Foul / Defense, 15 yards (accepted)",1.8,2.59,13.0,2022,187
2.0,11:45,1.0,10.0,TEN 45,7.0,14.0,Jalen Hurts pass complete short right to Miles Sanders for 6 yards (tackle by Kevin Byard),2.59,2.85,13.0,2022,187
2.0,11:13,2.0,4.0,TEN 39,7.0,14.0,Jalen Hurts pass incomplete short left,2.85,2.15,13.0,2022,187
2.0,11:05,3.0,4.0,TEN 39,7.0,14.0,"Jalen Hurts left end for no gain (tackle by David Long). Penalty on Jason Kelce: Offensive Holding, 10 yards (accepted) (no play)",2.15,0.83,13.0,2022,187
2.0,10:46,3.0,14.0,TEN 49,7.0,14.0,"Jalen Hurts pass incomplete short left intended for A.J. Brown. Penalty on Bud Dupree: Roughing the Passer, 15 yards (accepted) (no play)",0.83,3.31,13.0,2022,187
2.0,10:41,1.0,10.0,TEN 34,7.0,14.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell (defended by Jeffery Simmons),3.31,2.77,13.0,2022,187
2.0,10:37,2.0,10.0,TEN 34,7.0,14.0,Jalen Hurts pass complete short middle to Quez Watkins for 1 yard (tackle by Andrew Adams),2.77,2.21,13.0,2022,187
2.0,10:00,3.0,9.0,TEN 33,7.0,14.0,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",2.21,1.55,13.0,2022,187
2.0,9:39,3.0,14.0,TEN 38,7.0,14.0,"Jalen Hurts sacked by Bud Dupree for -2 yards. Jalen Hurts fumbles (forced by Bud Dupree), recovered by Jordan Mailata at TEN-40",1.55,0.59,13.0,2022,187
2.0,8:53,4.0,16.0,TEN 40,7.0,14.0,"Arryn Siposs punts 27 yards, fair catch by C.J. Board at TEN-13",0.59,0.32,13.0,2022,187
2.0,8:49,1.0,10.0,TEN 13,7.0,14.0,Derrick Henry right tackle for 6 yards (tackle by T.J. Edwards and Linval Joseph),-0.32,0.03,13.0,2022,187
2.0,8:08,2.0,4.0,TEN 19,7.0,14.0,Ryan Tannehill scrambles left end for 9 yards (tackle by T.J. Edwards),0.03,0.81,13.0,2022,187
2.0,7:29,1.0,10.0,TEN 28,7.0,14.0,Derrick Henry up the middle for 5 yards (tackle by James Bradberry),0.81,0.94,13.0,2022,187
2.0,6:50,2.0,5.0,TEN 33,7.0,14.0,Ryan Tannehill pass incomplete short left intended for Chigoziem Okonkwo (defended by James Bradberry),0.94,0.23,13.0,2022,187
2.0,6:48,3.0,5.0,TEN 33,7.0,14.0,Ryan Tannehill pass complete short left to Austin Hooper for 9 yards (tackle by Zech McPhearson),0.23,1.73,13.0,2022,187
2.0,6:10,1.0,10.0,TEN 42,7.0,14.0,Ryan Tannehill pass complete deep right to Chigoziem Okonkwo for 41 yards (tackle by T.J. Edwards),1.73,4.44,13.0,2022,187
2.0,5:23,1.0,10.0,PHI 17,7.0,14.0,Ryan Tannehill pass incomplete short right intended for Derrick Henry (defended by Kyzir White),4.44,3.85,13.0,2022,187
2.0,5:11,2.0,10.0,PHI 17,7.0,14.0,Ryan Tannehill pass complete short right to Austin Hooper for 9 yards (tackle by Darius Slay),3.85,4.8,13.0,2022,187
2.0,4:40,3.0,1.0,PHI 8,7.0,14.0,"Penalty on Dennis Daley: False Start, 5 yards (accepted) (no play)",4.8,3.68,13.0,2022,187
2.0,4:20,3.0,6.0,PHI 13,7.0,14.0,Ryan Tannehill sacked by Josh Sweat for -5 yards,3.68,2.25,13.0,2022,187
2.0,3:32,4.0,11.0,PHI 18,10.0,14.0,Randy Bullock 36 yard field goal good,2.25,3.0,13.0,2022,187
2.0,3:28,,,TEN 35,10.0,14.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,187
2.0,3:28,1.0,10.0,PHI 25,10.0,14.0,Jalen Hurts pass complete short right to Miles Sanders for 8 yards (tackle by Amani Hooker),0.61,1.14,13.0,2022,187
2.0,3:00,2.0,2.0,PHI 33,10.0,14.0,Jalen Hurts pass complete short left to Quez Watkins for 6 yards (tackle by Tre Avery),1.14,1.53,13.0,2022,187
2.0,2:27,1.0,10.0,PHI 39,10.0,14.0,Jalen Hurts pass complete short middle to Jack Stoll for 8 yards (tackle by Jeffery Simmons and Amani Hooker),1.53,2.07,13.0,2022,187
2.0,2:00,2.0,2.0,PHI 47,10.0,14.0,Kenneth Gainwell right guard for 13 yards (tackle by Andrew Adams and Kevin Byard),2.07,2.92,13.0,2022,187
2.0,1:31,1.0,10.0,TEN 40,10.0,14.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 10 yards (tackle by Joe Schobert),2.92,3.58,13.0,2022,187
2.0,1:11,1.0,10.0,TEN 30,10.0,14.0,"Jalen Hurts pass incomplete deep left intended for A.J. Brown. Penalty on Tre Avery: Defensive Pass Interference, 24 yards (accepted) (no play)",3.58,5.83,13.0,2022,187
2.0,1:02,1.0,6.0,TEN 6,10.0,14.0,Jalen Hurts up the middle for 4 yards (tackle by Kevin Byard),5.83,5.72,13.0,2022,187
2.0,0:56,,,,,,Timeout #1 by Tennessee Titans,,,13.0,2022,187
2.0,0:56,2.0,2.0,TEN 2,10.0,20.0,"Jalen Hurts right end for 2 yards, touchdown",5.72,7.0,13.0,2022,187
2.0,0:51,,,TEN 15,10.0,21.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2022,187
2.0,0:51,,,PHI 35,10.0,21.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,187
2.0,0:51,1.0,10.0,TEN 25,10.0,21.0,Ryan Tannehill pass incomplete short middle intended for Austin Hooper (defended by Reed Blankenship),0.61,0.06,13.0,2022,187
2.0,0:47,2.0,10.0,TEN 25,10.0,21.0,Ryan Tannehill pass incomplete short right intended for Robert Woods (defended by Josiah Scott),0.06,-0.62,13.0,2022,187
2.0,0:39,3.0,10.0,TEN 25,10.0,21.0,Ryan Tannehill pass complete short left to Robert Woods for 6 yards (tackle by Reed Blankenship),-0.62,-1.31,13.0,2022,187
2.0,0:35,,,,,,Timeout #2 by Philadelphia Eagles,,,13.0,2022,187
2.0,0:35,4.0,4.0,TEN 31,10.0,21.0,"Ryan Stonehouse punts 59 yards, returned by Britain Covey for 16 yards (tackle by Dylan Cole)",-1.31,-0.67,13.0,2022,187
2.0,0:26,1.0,10.0,PHI 26,10.0,21.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 14 yards (tackle by Bud Dupree),0.67,1.6,13.0,2022,187
2.0,0:19,,,,,,Timeout #3 by Philadelphia Eagles,,,13.0,2022,187
2.0,0:19,1.0,10.0,PHI 40,10.0,21.0,Jalen Hurts pass complete short left to Boston Scott for 5 yards (tackle by Amani Hooker),1.6,1.73,13.0,2022,187
2.0,0:14,2.0,5.0,PHI 45,10.0,21.0,Jalen Hurts pass incomplete deep left intended for A.J. Brown,1.73,1.03,13.0,2022,187
2.0,0:09,,,,,,Timeout #2 by Tennessee Titans,,,13.0,2022,187
2.0,0:09,3.0,5.0,PHI 45,10.0,21.0,Boston Scott left end for 4 yards (tackle by Amani Hooker),1.03,-0.13,13.0,2022,187
2.0,0:03,,,,,,Timeout #3 by Tennessee Titans,,,13.0,2022,187
2.0,0:03,4.0,1.0,PHI 49,10.0,21.0,Jalen Hurts pass complete short right to DeVonta Smith for 34 yards (tackle by Joe Schobert),-0.13,4.44,13.0,2022,187
3.0,15:00,,,PHI 35,10.0,21.0,"Jake Elliott kicks off 62 yards, returned by C.J. Board for 19 yards (tackle by Nakobe Dean)",0.0,0.41,13.0,2022,187
3.0,14:54,1.0,10.0,TEN 22,10.0,21.0,Derrick Henry right tackle for 2 yards (tackle by Darius Slay and Fletcher Cox),0.41,0.14,13.0,2022,187
3.0,14:15,2.0,8.0,TEN 24,10.0,21.0,"Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by T.J. Edwards) PHI challenged the pass completion ruling, and the play was upheld.",0.14,-0.56,13.0,2022,187
3.0,14:11,3.0,8.0,TEN 24,10.0,21.0,Ryan Tannehill sacked by and Haason Reddick for -9 yards and Josh Sweat for -9 yards,-0.56,-2.44,13.0,2022,187
3.0,13:42,4.0,17.0,TEN 15,10.0,21.0,"Ryan Stonehouse punts 62 yards, returned by Britain Covey for 27 yards (tackle by Chigoziem Okonkwo)",-2.44,-2.26,13.0,2022,187
3.0,13:29,1.0,10.0,TEN 50,10.0,21.0,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Andrew Adams),2.26,2.93,13.0,2022,187
3.0,12:59,2.0,1.0,TEN 41,10.0,21.0,Jalen Hurts pass complete short middle to A.J. Brown for 5 yards (tackle by Roger McCreary),2.93,3.18,13.0,2022,187
3.0,12:38,1.0,10.0,TEN 36,10.0,21.0,Jalen Hurts pass complete short middle to Jack Stoll for 7 yards (tackle by Monty Rice),3.18,3.58,13.0,2022,187
3.0,12:14,2.0,3.0,TEN 29,10.0,27.0,"Jalen Hurts pass complete deep left to A.J. Brown for 29 yards, touchdown",3.58,7.0,13.0,2022,187
3.0,12:07,,,TEN 15,10.0,28.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2022,187
3.0,12:07,,,PHI 35,10.0,28.0,"Jake Elliott kicks off 64 yards, returned by C.J. Board for 22 yards (tackle by Shaun Bradley)",0.0,0.48,13.0,2022,187
3.0,12:02,1.0,10.0,TEN 23,10.0,28.0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 11 yards (tackle by Marcus Epps),0.48,1.2,13.0,2022,187
3.0,11:38,1.0,10.0,TEN 34,10.0,28.0,Derrick Henry right guard for 2 yards (tackle by Ndamukong Suh and Brandon Graham),1.2,0.93,13.0,2022,187
3.0,11:08,2.0,8.0,TEN 36,10.0,28.0,Ryan Tannehill sacked by Brandon Graham for -6 yards,0.93,-0.56,13.0,2022,187
3.0,10:24,3.0,14.0,TEN 30,10.0,28.0,Dontrell Hilliard left guard for 2 yards (tackle by Brandon Graham and Ndamukong Suh),-0.56,-1.24,13.0,2022,187
3.0,9:47,4.0,12.0,TEN 32,10.0,28.0,"Ryan Stonehouse punts 56 yards, returned by Britain Covey for 25 yards (tackle by Chigoziem Okonkwo)",-1.24,-1.4,13.0,2022,187
3.0,9:36,1.0,10.0,PHI 37,10.0,28.0,Miles Sanders right tackle for -2 yards (tackle by Rashad Weaver),1.4,0.59,13.0,2022,187
3.0,9:02,2.0,12.0,PHI 35,10.0,28.0,"Jalen Hurts pass incomplete short right. Penalty on Lane Johnson: Offensive Holding, 10 yards (declined)",0.59,-0.1,13.0,2022,187
3.0,8:54,3.0,12.0,PHI 35,10.0,28.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Tre Avery),-0.1,-1.04,13.0,2022,187
3.0,8:47,4.0,12.0,PHI 35,10.0,28.0,"Arryn Siposs punts 46 yards, returned by C.J. Board for 10 yards (tackle by Shaun Bradley and Andre Chachere)",-1.04,-0.87,13.0,2022,187
3.0,8:37,1.0,10.0,TEN 29,10.0,28.0,Derrick Henry right tackle for 3 yards (tackle by T.J. Edwards and Javon Hargrave),0.87,0.73,13.0,2022,187
3.0,8:07,2.0,7.0,TEN 32,10.0,28.0,"Derrick Henry left tackle for 2 yards (tackle by Nakobe Dean). Penalty on Nate Davis: Offensive Holding, 10 yards (accepted)",0.73,-0.35,13.0,2022,187
3.0,7:42,2.0,15.0,TEN 24,10.0,28.0,Ryan Tannehill pass complete short right to Geoff Swaim for 4 yards (tackle by Nakobe Dean),-0.35,-0.49,13.0,2022,187
3.0,7:05,3.0,11.0,TEN 28,10.0,28.0,Ryan Tannehill sacked by and Josh Sweat for -9 yards and Haason Reddick for -9 yards,-0.49,-2.14,13.0,2022,187
3.0,6:29,4.0,20.0,TEN 19,10.0,28.0,"Ryan Stonehouse punts 55 yards, returned by Britain Covey for 6 yards (tackle by Joseph Jones)",-2.14,-1.07,13.0,2022,187
3.0,6:18,1.0,10.0,PHI 32,10.0,28.0,Jalen Hurts pass complete short left to A.J. Brown for 7 yards (tackle by Tre Avery),1.07,1.47,13.0,2022,187
3.0,5:43,2.0,3.0,PHI 39,10.0,28.0,Miles Sanders left guard for 4 yards (tackle by Joe Schobert),1.47,1.8,13.0,2022,187
3.0,5:02,1.0,10.0,PHI 43,10.0,28.0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Andrew Adams),1.8,2.52,13.0,2022,187
3.0,4:21,1.0,10.0,TEN 46,10.0,28.0,"Jalen Hurts left end for no gain (tackle by Joe Schobert). Penalty on Landon Dickerson: Offensive Holding, 10 yards (accepted) (no play)",2.52,1.86,13.0,2022,187
3.0,3:51,1.0,20.0,PHI 44,10.0,28.0,Jalen Hurts pass complete deep left to Grant Calcaterra for 19 yards (tackle by Kevin Byard),1.86,3.19,13.0,2022,187
3.0,3:23,2.0,1.0,TEN 37,10.0,28.0,Miles Sanders up the middle for no gain (tackle by Mario Edwards),3.19,2.48,13.0,2022,187
3.0,2:46,3.0,1.0,TEN 37,10.0,28.0,Miles Sanders left tackle for 2 yards (tackle by Dylan Cole),2.48,3.25,13.0,2022,187
3.0,2:07,1.0,10.0,TEN 35,10.0,28.0,Jalen Hurts pass complete short middle to Quez Watkins for 11 yards (tackle by Kevin Byard),3.25,3.97,13.0,2022,187
3.0,1:31,1.0,10.0,TEN 24,10.0,28.0,Jalen Hurts pass complete short left to Quez Watkins for 3 yards (tackle by Dylan Cole),3.97,3.84,13.0,2022,187
3.0,0:44,2.0,7.0,TEN 21,10.0,28.0,Jalen Hurts pass complete short left to A.J. Brown for 6 yards (tackle by Tre Avery),3.84,4.17,13.0,2022,187
3.0,0:01,3.0,1.0,TEN 15,10.0,28.0,"Penalty on Jalen Hurts: False Start, 5 yards (accepted) (no play)",4.17,3.27,13.0,2022,187
4.0,15:00,3.0,6.0,TEN 20,10.0,28.0,Jalen Hurts pass complete short left to Zach Pascal for 5 yards (tackle by Roger McCreary),3.27,2.59,13.0,2022,187
4.0,14:34,4.0,1.0,TEN 15,10.0,28.0,Jalen Hurts up the middle for 2 yards (tackle by Joe Schobert),2.59,4.71,13.0,2022,187
4.0,13:53,1.0,10.0,TEN 13,10.0,28.0,Miles Sanders left tackle for 5 yards (tackle by Kevin Byard and Tre Avery),4.71,4.96,13.0,2022,187
4.0,13:12,2.0,5.0,TEN 8,10.0,28.0,Miles Sanders up the middle for 1 yard (tackle by Larrell Murchison and Rashad Weaver),4.96,4.33,13.0,2022,187
4.0,12:29,3.0,4.0,TEN 7,10.0,28.0,Jalen Hurts pass incomplete short left,4.33,2.99,13.0,2022,187
4.0,12:24,4.0,4.0,TEN 7,10.0,28.0,"Jake Elliott yard field goal good. Penalty on Jeffery Simmons: Defensive Offside, 3 yards (accepted) (no play)",2.99,3.04,13.0,2022,187
4.0,12:21,4.0,1.0,TEN 4,10.0,28.0,Jalen Hurts up the middle for 1 yard (tackle by Monty Rice and DeMarcus Walker),3.04,6.51,13.0,2022,187
4.0,11:32,1.0,3.0,TEN 3,10.0,34.0,"Miles Sanders up the middle for 3 yards, touchdown",6.51,7.0,13.0,2022,187
4.0,11:27,,,TEN 15,10.0,35.0,Jake Elliott kicks extra point good,0.0,0.0,13.0,2022,187
4.0,11:27,,,PHI 35,10.0,35.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,187
4.0,11:27,1.0,10.0,TEN 25,10.0,35.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 10 yards (tackle by Reed Blankenship),0.61,1.27,13.0,2022,187
4.0,11:01,1.0,10.0,TEN 35,10.0,35.0,"Derrick Henry right end for no gain (tackle by Kyzir White and Marcus Epps). Penalty on Ben Jones: Offensive Holding, 10 yards (accepted) (no play)",1.27,0.61,13.0,2022,187
4.0,10:33,1.0,20.0,TEN 25,10.0,35.0,Ryan Tannehill pass complete short middle to Austin Hooper for 4 yards (tackle by Kyzir White),0.61,-0.09,13.0,2022,187
4.0,10:08,2.0,16.0,TEN 29,10.0,35.0,Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Nakobe Dean),-0.09,0.04,13.0,2022,187
4.0,9:57,3.0,10.0,TEN 35,10.0,35.0,Ryan Tannehill pass incomplete short right,0.04,-1.04,13.0,2022,187
4.0,9:52,4.0,10.0,TEN 35,10.0,35.0,Ryan Stonehouse punts 61 yards downed by C.J. Board,-1.04,0.38,13.0,2022,187
4.0,9:40,1.0,10.0,PHI 4,10.0,35.0,Kenneth Gainwell right guard for -1 yards (tackle by Mario Edwards),-0.38,-0.85,13.0,2022,187
4.0,8:57,2.0,11.0,PHI 3,10.0,35.0,Boston Scott left end for 1 yard (tackle by Tre Avery),-0.85,-1.42,13.0,2022,187
4.0,8:10,3.0,10.0,PHI 4,10.0,35.0,Gardner Minshew pass incomplete short left intended for Zach Pascal (defended by Tre Avery),-1.42,-2.49,13.0,2022,187
4.0,8:05,4.0,10.0,PHI 4,10.0,35.0,"Arryn Siposs punts 47 yards, returned by C.J. Board for 19 yards (tackle by Rick Lovato)",-2.49,-3.45,13.0,2022,187
4.0,7:55,1.0,10.0,PHI 32,10.0,35.0,Julius Chestnut right end for 1 yard (tackle by Ndamukong Suh),3.45,3.04,13.0,2022,187
4.0,7:33,2.0,9.0,PHI 31,10.0,35.0,Malik Willis pass complete short right to C.J. Board for 6 yards (tackle by Josiah Scott),3.04,3.14,13.0,2022,187
4.0,6:55,3.0,3.0,PHI 25,10.0,35.0,Malik Willis right end for 8 yards (tackle by K'Von Wallace),3.14,4.44,13.0,2022,187
4.0,6:19,1.0,10.0,PHI 17,10.0,35.0,Malik Willis pass incomplete short middle intended for Nick Westbrook-Ikhine,4.44,3.85,13.0,2022,187
4.0,6:15,2.0,10.0,PHI 17,10.0,35.0,Julius Chestnut up the middle for -2 yards (tackle by Nakobe Dean),3.85,2.91,13.0,2022,187
4.0,5:39,3.0,12.0,PHI 19,10.0,35.0,Malik Willis pass incomplete short left intended for Robert Woods,2.91,2.18,13.0,2022,187
4.0,5:35,4.0,12.0,PHI 19,10.0,35.0,Malik Willis pass complete short left to Dontrell Hilliard for 10 yards (tackle by Christian Elliss),2.18,0.38,13.0,2022,187
4.0,5:25,1.0,10.0,PHI 9,10.0,35.0,Kenneth Gainwell left guard for 3 yards (tackle by Olasunkanmi Adeniyi),-0.38,-0.56,13.0,2022,187
4.0,4:43,2.0,7.0,PHI 12,10.0,35.0,Boston Scott left end for -2 yards (tackle by Monty Rice),-0.56,-1.3,13.0,2022,187
