Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA,week,year,game_id
1.0,7:33,,,PIT 35,3.0,0.0,"Matthew Wright kicks off 54 yards, returned by Keith Smith for 10 yards (tackle by Derek Watt)",0.0,0.34,13.0,2022,188
1.0,7:28,1.0,10.0,ATL 21,3.0,0.0,Marcus Mariota pass complete short right to Drake London for 11 yards (tackle by Cameron Sutton),0.34,1.07,13.0,2022,188
1.0,6:51,1.0,10.0,ATL 32,3.0,0.0,Marcus Mariota pass complete short left to Olamide Zaccheaus for 3 yards (tackle by Devin Bush),1.07,0.93,13.0,2022,188
1.0,6:12,2.0,7.0,ATL 35,3.0,0.0,Cordarrelle Patterson left end for 7 yards (tackle by Minkah Fitzpatrick),0.93,1.73,13.0,2022,188
1.0,5:33,1.0,10.0,ATL 42,3.0,0.0,Marcus Mariota pass incomplete short middle intended for Drake London,1.73,1.19,13.0,2022,188
1.0,5:28,2.0,10.0,ATL 42,3.0,0.0,"Caleb Huntley right tackle for 5 yards (tackle by Levi Wallace). Penalty on Feleipe Franks: Offensive Holding, 10 yards (accepted)",1.19,0.51,13.0,2022,188
1.0,4:56,2.0,15.0,ATL 37,3.0,0.0,Marcus Mariota pass incomplete deep right intended for KhaDarel Hodge,0.51,-0.16,13.0,2022,188
1.0,4:54,3.0,15.0,ATL 37,3.0,0.0,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",-0.16,-0.82,13.0,2022,188
1.0,4:54,3.0,20.0,ATL 32,3.0,0.0,Marcus Mariota pass complete short right to Damiere Byrd for 12 yards (tackle by Cameron Sutton),-0.82,-0.46,13.0,2022,188
1.0,4:10,4.0,8.0,ATL 44,3.0,0.0,"Bradley Pinion punts 42 yards, recovered by Steven Sims at PIT-14 (tackle by Mike Ford)",-0.46,0.28,13.0,2022,188
1.0,3:57,1.0,10.0,PIT 14,3.0,0.0,Kenny Pickett scrambles right end for 9 yards (tackle by Adetokunbo Ogundeji),-0.28,0.55,13.0,2022,188
1.0,3:11,2.0,1.0,PIT 23,3.0,0.0,Najee Harris left tackle for 5 yards (tackle by Darren Hall),0.55,0.81,13.0,2022,188
1.0,2:26,1.0,10.0,PIT 28,3.0,0.0,Kenny Pickett pass complete short right to Derek Watt for 3 yards,0.81,0.67,13.0,2022,188
1.0,1:49,2.0,7.0,PIT 31,3.0,0.0,Steven Sims right end for 10 yards (tackle by AJ Terrell),0.67,1.66,13.0,2022,188
1.0,1:22,1.0,10.0,PIT 41,3.0,0.0,Benny Snell left tackle for 4 yards (tackle by Mykal Walker and Matt Dickerson),1.66,1.66,13.0,2022,188
1.0,0:43,2.0,6.0,PIT 45,3.0,0.0,Kenny Pickett pass complete short right to Diontae Johnson for 9 yards (tackle by Darren Hall),1.66,2.52,13.0,2022,188
1.0,0:12,1.0,10.0,ATL 46,3.0,0.0,Benny Snell left tackle for 6 yards (tackle by Quinton Bell and Isaiah Oliver),2.52,2.79,13.0,2022,188
2.0,15:00,2.0,4.0,ATL 40,3.0,0.0,Najee Harris left end for 13 yards (tackle by AJ Terrell),2.79,3.78,13.0,2022,188
2.0,14:27,1.0,10.0,ATL 27,3.0,0.0,Najee Harris left end for -1 yards (tackle by Adetokunbo Ogundeji and Abdullah Anderson),3.78,3.1,13.0,2022,188
2.0,13:49,2.0,11.0,ATL 28,3.0,0.0,Kenny Pickett pass incomplete deep middle intended for Pat Freiermuth,3.1,2.41,13.0,2022,188
2.0,13:44,3.0,11.0,ATL 28,3.0,0.0,Kenny Pickett pass incomplete short middle intended for Diontae Johnson,2.41,1.59,13.0,2022,188
2.0,13:39,4.0,11.0,ATL 28,6.0,0.0,Matthew Wright 46 yard field goal good,1.59,3.0,13.0,2022,188
2.0,13:34,,,PIT 35,6.0,0.0,"Matthew Wright kicks off 64 yards, returned by Avery Williams for 25 yards (tackle by Benny Snell)",0.0,0.67,13.0,2022,188
2.0,13:27,1.0,10.0,ATL 26,6.0,0.0,Tyler Allgeier right tackle for 20 yards (tackle by Minkah Fitzpatrick),0.67,1.99,13.0,2022,188
2.0,12:50,1.0,10.0,ATL 46,6.0,0.0,Tyler Allgeier left tackle for 3 yards (tackle by Larry Ogunjobi and Tyson Alualu),1.99,1.86,13.0,2022,188
2.0,12:11,2.0,7.0,ATL 49,6.0,0.0,Marcus Mariota pass complete short right to Parker Hesse for 16 yards (tackle by Myles Jack and Minkah Fitzpatrick),1.86,3.25,13.0,2022,188
2.0,11:34,1.0,10.0,PIT 35,6.0,0.0,Marcus Mariota pass complete short right to Drake London for 13 yards (tackle by Damontae Kazee),3.25,4.11,13.0,2022,188
2.0,10:52,1.0,10.0,PIT 22,6.0,0.0,Cordarrelle Patterson right tackle for -3 yards (tackle by Larry Ogunjobi),4.11,3.16,13.0,2022,188
2.0,10:11,2.0,13.0,PIT 25,6.0,0.0,Marcus Mariota pass incomplete short middle intended for Drake London,3.16,2.48,13.0,2022,188
2.0,10:05,3.0,13.0,PIT 25,6.0,0.0,Marcus Mariota sacked by Cameron Heyward for -7 yards,2.48,1.24,13.0,2022,188
2.0,9:20,4.0,20.0,PIT 32,6.0,3.0,Younghoe Koo 50 yard field goal good,1.24,3.0,13.0,2022,188
2.0,9:15,,,ATL 35,6.0,3.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
2.0,9:15,1.0,10.0,PIT 25,6.0,3.0,Kenny Pickett pass incomplete deep left intended for Diontae Johnson,0.61,0.06,13.0,2022,188
2.0,9:09,2.0,10.0,PIT 25,6.0,3.0,Najee Harris left tackle for 6 yards (tackle by Adetokunbo Ogundeji and Rashaan Evans),0.06,0.17,13.0,2022,188
2.0,8:28,3.0,4.0,PIT 31,6.0,3.0,Kenny Pickett pass complete short left to Pat Freiermuth for 57 yards (tackle by DeAundre Alford and Rashaan Evans),0.17,4.78,13.0,2022,188
2.0,7:34,1.0,10.0,ATL 12,6.0,3.0,"Penalty on Kevin Dotson: False Start, 5 yards (accepted) (no play)",4.78,4.32,13.0,2022,188
2.0,7:12,1.0,15.0,ATL 17,12.0,3.0,"Kenny Pickett pass complete deep middle to Connor Heyward for 17 yards, touchdown",4.32,7.0,13.0,2022,188
2.0,7:06,,,ATL 15,13.0,3.0,Matthew Wright kicks extra point good,0.0,0.0,13.0,2022,188
2.0,7:06,,,PIT 35,13.0,3.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
2.0,7:06,1.0,10.0,ATL 25,13.0,3.0,"Marcus Mariota pass complete deep right to Drake London for 37 yards (tackle by Levi Wallace). Penalty on Levi Wallace: Illegal Contact, 5 yards (declined)",0.61,3.05,13.0,2022,188
2.0,6:55,1.0,10.0,PIT 38,13.0,3.0,Cordarrelle Patterson right end for -4 yards (tackle by Minkah Fitzpatrick),3.05,1.97,13.0,2022,188
2.0,6:00,2.0,14.0,PIT 42,13.0,3.0,Marcus Mariota pass incomplete deep left intended for KhaDarel Hodge (defended by Cameron Sutton),1.97,1.29,13.0,2022,188
2.0,5:55,3.0,14.0,PIT 42,13.0,3.0,Marcus Mariota pass complete short middle to Anthony Firkser for 9 yards (tackle by Minkah Fitzpatrick),1.29,1.17,13.0,2022,188
2.0,5:11,4.0,5.0,PIT 33,13.0,6.0,Younghoe Koo 51 yard field goal good,1.17,3.0,13.0,2022,188
2.0,5:05,,,ATL 35,13.0,6.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
2.0,5:05,1.0,10.0,PIT 25,13.0,6.0,Kenny Pickett pass complete deep right to Diontae Johnson for 20 yards (tackle by Darren Hall),0.61,1.93,13.0,2022,188
2.0,4:35,1.0,10.0,PIT 45,13.0,6.0,Steven Sims right end for 6 yards (tackle by Jaylinn Hawkins),1.93,2.19,13.0,2022,188
2.0,3:51,2.0,4.0,ATL 49,13.0,6.0,Jaylen Warren left guard for 5 yards (tackle by DeAngelo Malone and Troy Andersen),2.19,2.65,13.0,2022,188
2.0,3:15,1.0,10.0,ATL 44,13.0,6.0,Kenny Pickett scrambles right end for 5 yards (tackle by Troy Andersen),2.65,2.78,13.0,2022,188
2.0,2:34,2.0,5.0,ATL 39,13.0,6.0,Kenny Pickett pass complete short left to Najee Harris for 6 yards (tackle by Jaylinn Hawkins and Rashaan Evans),2.78,3.38,13.0,2022,188
2.0,2:00,1.0,10.0,ATL 33,13.0,6.0,Steven Sims left end for 3 yards (tackle by Mykal Walker),3.38,3.24,13.0,2022,188
2.0,1:53,,,,,,Timeout #1 by Atlanta Falcons,,,13.0,2022,188
2.0,1:53,2.0,7.0,ATL 30,13.0,6.0,Kenny Pickett pass incomplete short left,3.24,2.54,13.0,2022,188
2.0,1:45,3.0,7.0,ATL 30,13.0,6.0,Kenny Pickett pass incomplete short right intended for Steven Sims. Penalty on Steven Sims: Illegal Touch Pass (accepted),2.54,1.41,13.0,2022,188
2.0,1:34,4.0,7.0,ATL 30,16.0,6.0,Matthew Wright 48 yard field goal good,1.41,3.0,13.0,2022,188
2.0,1:29,,,PIT 35,16.0,6.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
2.0,1:29,1.0,10.0,ATL 25,16.0,6.0,Marcus Mariota pass complete short left to Drake London for 11 yards (tackle by James Pierre),0.61,1.33,13.0,2022,188
2.0,1:08,1.0,10.0,ATL 36,16.0,6.0,Marcus Mariota pass complete short left to Olamide Zaccheaus for 10 yards (tackle by Devin Bush),1.33,1.99,13.0,2022,188
2.0,0:52,1.0,10.0,ATL 46,16.0,6.0,Marcus Mariota pass incomplete deep left intended for Olamide Zaccheaus,1.99,1.45,13.0,2022,188
2.0,0:49,2.0,10.0,ATL 46,16.0,6.0,Marcus Mariota pass incomplete short left intended for Drake London,1.45,0.76,13.0,2022,188
2.0,0:44,3.0,10.0,ATL 46,16.0,6.0,Marcus Mariota pass incomplete deep middle intended for Olamide Zaccheaus,0.76,-0.32,13.0,2022,188
2.0,0:38,4.0,10.0,ATL 46,16.0,6.0,"Bradley Pinion punts 41 yards, returned by Steven Sims for 1 yard (tackle by KhaDarel Hodge)",-0.32,0.28,13.0,2022,188
2.0,0:29,1.0,10.0,PIT 14,16.0,6.0,Najee Harris left guard for 4 yards (tackle by Grady Jarrett and Matt Dickerson),-0.28,-0.21,13.0,2022,188
3.0,15:00,,,PIT 35,16.0,6.0,"Matthew Wright kicks off 59 yards, returned by Avery Williams for 20 yards (tackle by Marcus Allen)",0.0,0.67,13.0,2022,188
3.0,14:55,1.0,10.0,ATL 26,16.0,6.0,Cordarrelle Patterson right guard for 2 yards (tackle by Terrell Edmunds),0.67,0.4,13.0,2022,188
3.0,14:38,2.0,8.0,ATL 28,16.0,6.0,Caleb Huntley left end for 6 yards (tackle by Larry Ogunjobi),0.4,0.5,13.0,2022,188
3.0,14:01,3.0,2.0,ATL 34,16.0,6.0,Marcus Mariota left guard for 3 yards (tackle by Devin Bush),0.5,1.4,13.0,2022,188
3.0,13:24,1.0,10.0,ATL 37,16.0,6.0,Caleb Huntley left end for 4 yards (tackle by Chris Wormley),1.4,1.4,13.0,2022,188
3.0,12:42,2.0,6.0,ATL 41,16.0,6.0,Marcus Mariota pass incomplete deep middle intended for Olamide Zaccheaus,1.4,0.7,13.0,2022,188
3.0,12:33,3.0,6.0,ATL 41,16.0,6.0,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",0.7,0.04,13.0,2022,188
3.0,12:33,3.0,11.0,ATL 36,16.0,6.0,Marcus Mariota pass incomplete deep left intended for Drake London,0.04,-0.98,13.0,2022,188
3.0,12:28,4.0,11.0,ATL 36,16.0,6.0,"Bradley Pinion punts 54 yards, fair catch by Steven Sims at PIT-10",-0.98,0.38,13.0,2022,188
3.0,12:22,1.0,10.0,PIT 10,16.0,6.0,Najee Harris left tackle for 6 yards (tackle by Richie Grant and Mykal Walker),-0.38,-0.23,13.0,2022,188
3.0,11:47,2.0,4.0,PIT 16,16.0,6.0,Najee Harris left guard for 4 yards (tackle by Adetokunbo Ogundeji and Troy Andersen),-0.23,0.28,13.0,2022,188
3.0,11:06,1.0,10.0,PIT 20,16.0,6.0,Kenny Pickett scrambles right end for 5 yards (tackle by Richie Grant),0.28,0.41,13.0,2022,188
3.0,10:29,2.0,5.0,PIT 25,16.0,6.0,Benny Snell right tackle for 4 yards (tackle by AJ Terrell and Mykal Walker),0.41,0.23,13.0,2022,188
3.0,9:48,3.0,1.0,PIT 29,16.0,6.0,Benny Snell right tackle for 2 yards (tackle by Rashaan Evans and Jaylinn Hawkins),0.23,1.0,13.0,2022,188
3.0,9:13,1.0,10.0,PIT 31,16.0,6.0,Kenny Pickett pass incomplete short right intended for Diontae Johnson,1.0,0.46,13.0,2022,188
3.0,9:05,2.0,10.0,PIT 31,16.0,6.0,Kenny Pickett pass complete short middle to Diontae Johnson for 14 yards (tackle by Rashaan Evans),0.46,1.93,13.0,2022,188
3.0,8:23,1.0,10.0,PIT 45,16.0,6.0,Najee Harris left end for 14 yards (tackle by Rashaan Evans and Jaylinn Hawkins),1.93,2.85,13.0,2022,188
3.0,7:46,1.0,10.0,ATL 41,16.0,6.0,Najee Harris left tackle for 2 yards (tackle by Rashaan Evans and Richie Grant),2.85,2.58,13.0,2022,188
3.0,7:06,2.0,8.0,ATL 39,16.0,6.0,"Kenny Pickett pass complete short right to Benny Snell for 11 yards (tackle by Richie Grant). Penalty on Richie Grant: Horse Collar Tackle, 14 yards (accepted)",2.58,4.65,13.0,2022,188
3.0,6:49,1.0,10.0,ATL 14,16.0,6.0,"Penalty on Diontae Johnson: False Start, 5 yards (accepted) (no play)",4.65,4.26,13.0,2022,188
3.0,6:22,1.0,15.0,ATL 19,16.0,6.0,Benny Snell left guard for 2 yards (tackle by Timmy Horne and Abdullah Anderson),4.26,3.59,13.0,2022,188
3.0,5:40,2.0,13.0,ATL 17,16.0,6.0,Kenny Pickett pass incomplete deep right intended for Diontae Johnson (defended by AJ Terrell),3.59,2.93,13.0,2022,188
3.0,5:32,3.0,13.0,ATL 17,16.0,6.0,"Penalty on Kenny Pickett: Delay of Game, 5 yards (accepted) (no play)",2.93,2.35,13.0,2022,188
3.0,5:32,3.0,18.0,ATL 22,16.0,6.0,Kenny Pickett pass complete short left to Jaylen Warren for 7 yards (tackle by Grady Jarrett),2.35,2.44,13.0,2022,188
3.0,4:50,4.0,11.0,ATL 15,19.0,6.0,Matthew Wright 33 yard field goal good,2.44,3.0,13.0,2022,188
3.0,4:46,,,PIT 35,19.0,6.0,"Matthew Wright kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
3.0,4:46,1.0,10.0,ATL 25,19.0,6.0,Marcus Mariota right end for 9 yards (tackle by Levi Wallace and Terrell Edmunds),0.61,1.28,13.0,2022,188
3.0,4:14,2.0,1.0,ATL 34,19.0,6.0,Cordarrelle Patterson left tackle for 7 yards (tackle by Larry Ogunjobi),1.28,1.66,13.0,2022,188
3.0,3:35,1.0,10.0,ATL 41,19.0,6.0,Cordarrelle Patterson left guard for 11 yards (tackle by Terrell Edmunds and Levi Wallace),1.66,2.39,13.0,2022,188
3.0,2:57,1.0,10.0,PIT 48,19.0,6.0,Cordarrelle Patterson right end for 22 yards (tackle by Myles Jack),2.39,3.84,13.0,2022,188
3.0,2:18,1.0,10.0,PIT 26,19.0,6.0,Tyler Allgeier left tackle for 6 yards (tackle by Alex Highsmith),3.84,4.11,13.0,2022,188
3.0,1:47,2.0,4.0,PIT 20,19.0,6.0,"Tyler Allgeier left tackle for 3 yards (tackle by Chris Wormley and Myles Jack). Penalty on Montravius Adams: Defensive Holding, 5 yards (accepted)",4.11,4.78,13.0,2022,188
3.0,1:21,1.0,10.0,PIT 12,19.0,6.0,Cordarrelle Patterson right tackle for 5 yards (tackle by Montravius Adams and Devin Bush),4.78,5.02,13.0,2022,188
3.0,0:51,2.0,5.0,PIT 7,19.0,12.0,"Marcus Mariota pass complete short right to MyCole Pruitt for 7 yards, touchdown",5.02,7.0,13.0,2022,188
3.0,0:43,,,PIT 15,19.0,13.0,Younghoe Koo kicks extra point good,0.0,0.0,13.0,2022,188
3.0,0:43,,,ATL 35,19.0,13.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
3.0,0:43,1.0,10.0,PIT 25,19.0,13.0,Kenny Pickett pass complete short right to George Pickens for 2 yards,0.61,0.33,13.0,2022,188
3.0,0:11,2.0,8.0,PIT 27,19.0,13.0,Gunner Olszewski left end for no gain (tackle by Richie Grant and Lorenzo Carter),0.33,-0.36,13.0,2022,188
4.0,15:00,3.0,8.0,PIT 27,19.0,13.0,"Kenny Pickett pass complete to Diontae Johnson for no gain. Diontae Johnson fumbles (forced by AJ Terrell), recovered by Rashaan Evans at PIT-34. Penalty on Mason Cole: Illegal Use of Hands / Offense, 5 yards (declined) Replay Assistant challenged the fumble ruling, and the original play was overturned. Kenny Pickett pass incomplete short right intended for Diontae Johnson (defended by AJ Terrell). Penalty on Mason Cole: Illegal Use of Hands / Offense, 5 yards (declined)",-0.36,-1.57,13.0,2022,188
4.0,14:54,4.0,8.0,PIT 27,19.0,13.0,"Pressley Harvin punts 47 yards, fair catch by Avery Williams at ATL-26",-1.57,-0.67,13.0,2022,188
4.0,14:48,1.0,10.0,ATL 26,19.0,13.0,Tyler Allgeier left tackle for 4 yards (tackle by Cameron Heyward and Montravius Adams),0.67,0.67,13.0,2022,188
4.0,14:21,2.0,6.0,ATL 30,19.0,13.0,Marcus Mariota pass complete short right to Drake London for 11 yards (tackle by Levi Wallace),0.67,1.66,13.0,2022,188
4.0,13:35,1.0,10.0,ATL 41,19.0,13.0,Cordarrelle Patterson right end for 4 yards (tackle by T.J. Watt),1.66,1.66,13.0,2022,188
4.0,12:54,2.0,6.0,ATL 45,19.0,13.0,Marcus Mariota right tackle for 5 yards (tackle by Myles Jack),1.66,1.62,13.0,2022,188
4.0,12:14,3.0,1.0,ATL 50,19.0,13.0,Tyler Allgeier left end for 5 yards (tackle by Cameron Sutton and Minkah Fitzpatrick),1.62,2.59,13.0,2022,188
4.0,11:37,1.0,10.0,PIT 45,19.0,13.0,Tyler Allgeier right tackle for 6 yards (tackle by Montravius Adams and Levi Wallace),2.59,2.85,13.0,2022,188
4.0,11:00,2.0,4.0,PIT 39,19.0,13.0,Tyler Allgeier right tackle for 1 yard (tackle by T.J. Watt and Myles Jack),2.85,2.28,13.0,2022,188
4.0,10:18,3.0,3.0,PIT 38,19.0,13.0,Tyler Allgeier right tackle for 2 yards (tackle by Robert Spillane and Cameron Heyward),2.28,0.89,13.0,2022,188
4.0,9:35,4.0,1.0,PIT 36,19.0,13.0,Tyler Allgeier left end for 2 yards (tackle by T.J. Watt),0.89,3.31,13.0,2022,188
4.0,8:55,1.0,10.0,PIT 34,19.0,13.0,Cordarrelle Patterson right tackle for 6 yards (tackle by Minkah Fitzpatrick),3.31,3.58,13.0,2022,188
4.0,8:30,2.0,4.0,PIT 28,19.0,13.0,Cordarrelle Patterson right tackle for 3 yards (tackle by Malik Reed),3.58,3.27,13.0,2022,188
4.0,7:43,3.0,1.0,PIT 25,19.0,13.0,Marcus Mariota pass complete short right to Anthony Firkser for 15 yards (tackle by Terrell Edmunds),3.27,4.91,13.0,2022,188
4.0,7:03,1.0,10.0,PIT 10,19.0,13.0,"Cordarrelle Patterson left end for no gain, touchdown. Penalty on Parker Hesse: Offensive Holding, 10 yards (accepted) (no play)",4.91,4.24,13.0,2022,188
4.0,6:52,1.0,20.0,PIT 20,19.0,13.0,Caleb Huntley right tackle for 2 yards (tackle by Cameron Heyward),4.24,3.15,13.0,2022,188
4.0,6:17,2.0,18.0,PIT 18,19.0,13.0,"Penalty on Jake Matthews: False Start, 4 yards (accepted) (no play)",3.15,2.73,13.0,2022,188
4.0,6:17,2.0,22.0,PIT 22,19.0,13.0,Marcus Mariota pass complete short left to Drake London for 12 yards (tackle by Cameron Sutton),2.73,3.13,13.0,2022,188
4.0,5:33,3.0,10.0,PIT 10,19.0,13.0,Marcus Mariota pass incomplete short right intended for Drake London,3.13,2.76,13.0,2022,188
4.0,5:29,4.0,10.0,PIT 10,19.0,16.0,Younghoe Koo 28 yard field goal good,2.76,3.0,13.0,2022,188
4.0,5:27,,,ATL 35,19.0,16.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,188
4.0,5:27,1.0,10.0,PIT 25,19.0,16.0,Kenny Pickett pass complete short right to Zach Gentry for 8 yards (tackle by Rashaan Evans),0.61,1.14,13.0,2022,188
4.0,4:50,2.0,2.0,PIT 33,19.0,16.0,Najee Harris right tackle for 3 yards (tackle by Rashaan Evans),1.14,1.33,13.0,2022,188
4.0,4:07,1.0,10.0,PIT 36,19.0,16.0,Najee Harris right guard for 7 yards (tackle by Grady Jarrett and Lorenzo Carter),1.33,1.74,13.0,2022,188
4.0,3:26,2.0,3.0,PIT 43,19.0,16.0,Benny Snell right guard for 6 yards (tackle by Rashaan Evans and Mykal Walker),1.74,2.19,13.0,2022,188
4.0,2:43,1.0,10.0,PIT 49,19.0,16.0,Gunner Olszewski left end for 2 yards (tackle by Darren Hall and Adetokunbo Ogundeji),2.19,1.92,13.0,2022,188
4.0,2:00,2.0,8.0,ATL 49,19.0,16.0,Kenny Pickett pass complete short right to Diontae Johnson for 10 yards (tackle by Lorenzo Carter and Rashaan Evans),1.92,2.98,13.0,2022,188
4.0,1:52,,,,,,Timeout #1 by Atlanta Falcons,,,13.0,2022,188
4.0,1:52,1.0,10.0,ATL 39,19.0,16.0,Najee Harris right tackle for 5 yards (tackle by Rashaan Evans and Grady Jarrett),2.98,3.12,13.0,2022,188
4.0,1:47,,,,,,Timeout #2 by Atlanta Falcons,,,13.0,2022,188
4.0,1:47,2.0,5.0,ATL 34,19.0,16.0,Najee Harris right tackle for no gain (tackle by Troy Andersen),3.12,2.41,13.0,2022,188
4.0,1:40,,,,,,Timeout #3 by Atlanta Falcons,,,13.0,2022,188
4.0,1:40,3.0,5.0,ATL 34,19.0,16.0,Kenny Pickett left end for -1 yards (tackle by Darren Hall and Rashaan Evans),2.41,0.97,13.0,2022,188
4.0,0:53,4.0,6.0,ATL 35,19.0,16.0,"Penalty on PIT: Delay of Game, 5 yards (accepted) (no play)",0.97,0.59,13.0,2022,188
4.0,0:53,4.0,11.0,ATL 40,19.0,16.0,Pressley Harvin punts 38 yards downed by Miles Boykin,0.59,0.38,13.0,2022,188
4.0,0:42,1.0,10.0,ATL 2,19.0,16.0,Marcus Mariota pass deep left (defended by Cameron Heyward) intended for Drake London is intercepted by Minkah Fitzpatrick at ATL-20 and returned for 16 yards,-0.38,-6.28,13.0,2022,188
4.0,0:35,1.0,4.0,ATL 4,19.0,16.0,Kenny Pickett kneels for -1 yards,6.28,5.15,13.0,2022,188
