Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA,week,year,game_id
1.0,0:59,1.0,10.0,DAL 34,10.0,7.0,Dak Prescott pass complete short right to Jake Ferguson for -5 yards (tackle by Rodney McLeod),1.2,-0.02,13.0,2022,194
1.0,0:21,2.0,15.0,DAL 29,10.0,7.0,Dak Prescott pass incomplete short left intended for Dalton Schultz,-0.02,-0.69,13.0,2022,194
1.0,0:14,3.0,15.0,DAL 29,10.0,7.0,Dak Prescott pass complete short right to Ezekiel Elliott for 11 yards (tackle by Bobby Okereke and Stephon Gilmore),-0.69,-0.72,13.0,2022,194
2.0,15:00,4.0,4.0,DAL 40,10.0,7.0,"Bryan Anger punts 60 yards, touchback.",-0.72,-0.28,13.0,2022,194
2.0,14:51,1.0,10.0,IND 20,10.0,7.0,Matt Ryan pass incomplete short middle intended for Michael Pittman (defended by Jayron Kearse),0.28,-0.27,13.0,2022,194
2.0,14:48,2.0,10.0,IND 20,10.0,7.0,Jonathan Taylor left tackle for 5 yards (tackle by Osa Odighizuwa),-0.27,-0.3,13.0,2022,194
2.0,14:05,3.0,5.0,IND 25,10.0,7.0,Matt Ryan sacked by Donovan Wilson for -9 yards,-0.3,-2.39,13.0,2022,194
2.0,13:21,4.0,14.0,IND 16,10.0,7.0,"Matt Haack punts 40 yards, fair catch by KaVontae Turpin at DAL-44",-2.39,-1.86,13.0,2022,194
2.0,13:14,1.0,10.0,DAL 44,10.0,7.0,Tony Pollard for 17 yards (tackle by Zaire Franklin),1.86,2.98,13.0,2022,194
2.0,12:41,1.0,10.0,IND 39,10.0,7.0,Tony Pollard right guard for 4 yards (tackle by Rodney McLeod),2.98,2.98,13.0,2022,194
2.0,12:05,2.0,6.0,IND 35,10.0,7.0,Tony Pollard up the middle for 4 yards (tackle by Brandon Facyson),2.98,2.81,13.0,2022,194
2.0,11:31,3.0,2.0,IND 31,10.0,7.0,Dak Prescott pass complete short left to CeeDee Lamb for 22 yards (tackle by Bobby Okereke),2.81,5.14,13.0,2022,194
2.0,10:55,1.0,9.0,IND 9,10.0,7.0,Dak Prescott pass complete short right to Michael Gallup for 7 yards (tackle by Stephon Gilmore),5.14,5.72,13.0,2022,194
2.0,10:18,2.0,2.0,IND 2,10.0,13.0,"Tony Pollard left guard for 2 yards, touchdown",5.72,7.0,13.0,2022,194
2.0,10:16,,,IND 15,10.0,14.0,Brett Maher kicks extra point good,0.0,0.0,13.0,2022,194
2.0,10:16,,,DAL 35,10.0,14.0,"Brett Maher kicks off 67 yards, returned by Dallis Flowers for 25 yards (tackle by Peyton Hendershot)",0.0,0.48,13.0,2022,194
2.0,10:11,1.0,10.0,IND 23,10.0,14.0,Deon Jackson right guard for 1 yard (tackle by Micah Parsons and Donovan Wilson),0.48,0.07,13.0,2022,194
2.0,9:31,2.0,9.0,IND 24,10.0,14.0,"Penalty on Quenton Nelson: False Start, 5 yards (accepted) (no play)",0.07,-0.67,13.0,2022,194
2.0,9:24,2.0,14.0,IND 19,10.0,14.0,Matt Ryan pass complete short middle to Michael Pittman for 11 yards (tackle by DaRon Bland),-0.67,0.17,13.0,2022,194
2.0,8:44,3.0,3.0,IND 30,10.0,14.0,Matt Ryan pass complete short right to Kylen Granson for 6 yards (tackle by Jayron Kearse),0.17,1.33,13.0,2022,194
2.0,8:07,1.0,10.0,IND 36,10.0,14.0,Deon Jackson left guard for 5 yards (tackle by Johnathan Hankins and Sam Williams),1.33,1.47,13.0,2022,194
2.0,7:31,2.0,5.0,IND 41,10.0,14.0,Jonathan Taylor right tackle for 4 yards (tackle by Johnathan Hankins and DaRon Bland),1.47,1.29,13.0,2022,194
2.0,6:50,3.0,1.0,IND 45,10.0,14.0,Jonathan Taylor left end for 7 yards (tackle by Malik Hooker),1.29,2.39,13.0,2022,194
2.0,6:13,1.0,10.0,DAL 48,10.0,14.0,Jonathan Taylor right end for 5 yards (tackle by DeMarcus Lawrence),2.39,2.52,13.0,2022,194
2.0,5:34,2.0,5.0,DAL 43,10.0,14.0,Matt Ryan pass incomplete short right,2.52,1.82,13.0,2022,194
2.0,5:28,3.0,5.0,DAL 43,10.0,14.0,Matt Ryan sacked by Anthony Barr for -9 yards,1.82,-0.19,13.0,2022,194
2.0,4:43,4.0,14.0,IND 48,10.0,14.0,"Matt Haack punts 40 yards, fair catch by KaVontae Turpin at DAL-12",-0.19,0.35,13.0,2022,194
2.0,4:37,1.0,10.0,DAL 12,10.0,14.0,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Stephon Gilmore),-0.35,-0.78,13.0,2022,194
2.0,4:33,2.0,10.0,DAL 12,10.0,14.0,CeeDee Lamb right end for 9 yards (tackle by Kwity Paye and Rodney Thomas),-0.78,-0.37,13.0,2022,194
2.0,4:07,3.0,1.0,DAL 21,10.0,14.0,CeeDee Lamb right end for 14 yards (tackle by Kwity Paye),-0.37,1.27,13.0,2022,194
2.0,3:35,1.0,10.0,DAL 35,10.0,14.0,Ezekiel Elliott left tackle for no gain (tackle by DeForest Buckner and E.J. Speed),1.27,0.72,13.0,2022,194
2.0,3:03,2.0,10.0,DAL 35,10.0,14.0,Dak Prescott pass incomplete short left intended for CeeDee Lamb,0.72,0.04,13.0,2022,194
2.0,2:56,3.0,10.0,DAL 35,10.0,14.0,Dak Prescott pass short left intended for Michael Gallup is intercepted by Stephon Gilmore at 50 and returned for 31 yards (tackle by Connor McGovern),0.04,-4.31,13.0,2022,194
2.0,2:44,1.0,10.0,DAL 19,10.0,14.0,Jonathan Taylor right tackle for 3 yards (tackle by DeMarcus Lawrence and Osa Odighizuwa),4.31,4.18,13.0,2022,194
2.0,2:00,2.0,7.0,DAL 16,10.0,14.0,Matt Ryan pass incomplete short right intended for Jonathan Taylor,4.18,3.41,13.0,2022,194
2.0,1:57,3.0,7.0,DAL 16,10.0,14.0,Matt Ryan pass incomplete deep left intended for Kylen Granson,3.41,2.38,13.0,2022,194
2.0,1:51,4.0,7.0,DAL 16,13.0,14.0,Chase McLaughlin 34 yard field goal good,2.38,3.0,13.0,2022,194
2.0,1:47,,,IND 35,13.0,14.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,194
2.0,1:47,1.0,10.0,DAL 25,13.0,14.0,Dak Prescott pass complete short right to Tony Pollard for 5 yards (tackle by Rodney McLeod),0.61,0.74,13.0,2022,194
2.0,1:42,2.0,5.0,DAL 30,13.0,14.0,Dak Prescott pass incomplete deep left intended for Michael Gallup,0.74,0.04,13.0,2022,194
2.0,1:36,3.0,5.0,DAL 30,13.0,14.0,Dak Prescott sacked by Kwity Paye for -5 yards,0.04,-1.7,13.0,2022,194
2.0,1:30,,,,,,Timeout #1 by Indianapolis Colts,,,13.0,2022,194
2.0,1:30,4.0,10.0,DAL 25,13.0,14.0,"Bryan Anger punts 52 yards, returned by Dallis Flowers for 4 yards (tackle by Kelvin Joseph and Damone Clark)",-1.7,-0.74,13.0,2022,194
2.0,1:19,1.0,10.0,IND 27,13.0,14.0,Matt Ryan pass incomplete short right,0.74,0.2,13.0,2022,194
2.0,1:15,2.0,10.0,IND 27,13.0,14.0,Matt Ryan pass incomplete short left intended for Alec Pierce,0.2,-0.49,13.0,2022,194
2.0,1:12,3.0,10.0,IND 27,13.0,14.0,Matt Ryan pass complete short right to Parris Campbell for 13 yards (tackle by Anthony Brown),-0.49,1.6,13.0,2022,194
2.0,1:06,1.0,10.0,IND 40,13.0,14.0,Matt Ryan pass incomplete short left intended for Alec Pierce,1.6,1.05,13.0,2022,194
2.0,1:03,2.0,10.0,IND 40,13.0,14.0,Matt Ryan pass intended for Alec Pierce is intercepted by Malik Hooker at DAL-48 and returned for 26 yards (tackle by Parris Campbell),1.05,-3.84,13.0,2022,194
2.0,0:55,1.0,10.0,IND 26,13.0,14.0,Ezekiel Elliott up the middle for 6 yards (tackle by Grover Stewart),3.84,4.11,13.0,2022,194
2.0,0:50,,,,,,Timeout #1 by Dallas Cowboys,,,13.0,2022,194
2.0,0:50,2.0,4.0,IND 20,13.0,14.0,Dak Prescott pass complete short right to CeeDee Lamb for 6 yards (tackle by Stephon Gilmore),4.11,4.65,13.0,2022,194
2.0,0:29,1.0,10.0,IND 14,13.0,14.0,Dak Prescott pass incomplete short middle intended for Dalton Schultz (defended by Zaire Franklin),4.65,4.0,13.0,2022,194
2.0,0:24,2.0,10.0,IND 14,13.0,14.0,Ezekiel Elliott up the middle for 1 yard (tackle by DeForest Buckner),4.0,3.26,13.0,2022,194
2.0,0:20,,,,,,Timeout #2 by Dallas Cowboys,,,13.0,2022,194
2.0,0:20,3.0,9.0,IND 13,13.0,20.0,"Dak Prescott pass complete short right to Michael Gallup for 13 yards, touchdown",3.26,7.0,13.0,2022,194
2.0,0:13,,,IND 15,13.0,21.0,Brett Maher kicks extra point good,0.0,0.0,13.0,2022,194
2.0,0:13,,,DAL 35,13.0,21.0,"Brett Maher kicks off 72 yards, returned by Dallis Flowers for 27 yards (tackle by Donovan Wilson). Penalty on Grant Stuard: Offensive Holding, 10 yards (accepted)",0.0,-0.38,13.0,2022,194
2.0,0:08,1.0,10.0,IND 10,13.0,21.0,Matt Ryan kneels for -1 yards,-0.38,-0.85,13.0,2022,194
3.0,15:00,,,DAL 35,13.0,21.0,"Brett Maher kicks off 69 yards, returned by Dallis Flowers for 22 yards (tackle by Malik Davis). Penalty on Nick Cross: Offensive Holding, 9 yards (accepted)",0.0,-0.38,13.0,2022,194
3.0,14:53,1.0,10.0,IND 9,13.0,21.0,Jonathan Taylor right guard for -1 yards (tackle by Sam Williams),-0.38,-0.85,13.0,2022,194
3.0,14:20,2.0,11.0,IND 8,13.0,21.0,Matt Ryan pass incomplete short right intended for Alec Pierce (defended by Anthony Brown),-0.85,-1.54,13.0,2022,194
3.0,14:15,3.0,11.0,IND 8,13.0,21.0,Jonathan Taylor up the middle for 2 yards (tackle by Donovan Wilson),-1.54,-2.49,13.0,2022,194
3.0,13:36,4.0,9.0,IND 10,13.0,21.0,"Matt Haack punts 39 yards, fair catch by KaVontae Turpin at IND-49",-2.49,-2.32,13.0,2022,194
3.0,13:29,1.0,10.0,IND 49,13.0,21.0,"Ezekiel Elliott for 2 yards. Penalty on Jake Ferguson: Offensive Holding, 10 yards (accepted) (no play)",2.32,1.66,13.0,2022,194
3.0,13:06,1.0,20.0,DAL 41,13.0,21.0,Ezekiel Elliott left guard for 4 yards (tackle by Zaire Franklin),1.66,0.97,13.0,2022,194
3.0,12:33,2.0,16.0,DAL 45,13.0,21.0,Dak Prescott pass complete short middle to Ezekiel Elliott for 3 yards (tackle by Zaire Franklin),0.97,0.7,13.0,2022,194
3.0,11:55,3.0,13.0,DAL 48,13.0,21.0,Dak Prescott pass incomplete short left intended for Tony Pollard,0.7,-0.19,13.0,2022,194
3.0,11:50,4.0,13.0,DAL 48,13.0,21.0,"Bryan Anger punts 42 yards, fair catch by Dallis Flowers at IND-10",-0.19,0.38,13.0,2022,194
3.0,11:43,1.0,10.0,IND 10,13.0,21.0,Parris Campbell left end for 2 yards (tackle by Donovan Wilson),-0.38,-0.63,13.0,2022,194
3.0,11:17,2.0,8.0,IND 12,13.0,21.0,Jonathan Taylor left tackle for 19 yards (tackle by Jayron Kearse),-0.63,1.0,13.0,2022,194
3.0,10:44,1.0,10.0,IND 31,13.0,21.0,Jonathan Taylor up the middle for 4 yards (tackle by Damone Clark and Osa Odighizuwa),1.0,1.0,13.0,2022,194
3.0,10:03,2.0,6.0,IND 35,13.0,21.0,Matt Ryan pass complete short right to Jonathan Taylor for 4 yards (tackle by Leighton Vander Esch),1.0,0.83,13.0,2022,194
3.0,9:19,3.0,2.0,IND 39,13.0,21.0,Matt Ryan pass complete short right to Alec Pierce for 14 yards (tackle by Anthony Brown),0.83,2.46,13.0,2022,194
3.0,8:50,1.0,10.0,DAL 47,13.0,21.0,Jonathan Taylor left guard for 1 yard (tackle by Johnathan Hankins and DaRon Bland),2.46,2.05,13.0,2022,194
3.0,8:11,2.0,9.0,DAL 46,13.0,21.0,Matt Ryan pass complete short right to Parris Campbell for 10 yards (tackle by Malik Hooker),2.05,3.18,13.0,2022,194
3.0,7:31,1.0,10.0,DAL 36,13.0,21.0,"Penalty on Dennis Kelly: False Start, 5 yards (accepted) (no play)",3.18,2.85,13.0,2022,194
3.0,7:11,1.0,15.0,DAL 41,13.0,21.0,Matt Ryan pass incomplete short left intended for Deon Jackson,2.85,1.96,13.0,2022,194
3.0,7:05,2.0,15.0,DAL 41,13.0,21.0,Matt Ryan pass complete short right to Jonathan Taylor for 19 yards (tackle by Donovan Wilson),1.96,4.11,13.0,2022,194
3.0,6:32,1.0,10.0,DAL 22,13.0,21.0,Jonathan Taylor up the middle for -2 yards (tackle by Jayron Kearse),4.11,3.29,13.0,2022,194
3.0,6:02,2.0,12.0,DAL 24,13.0,21.0,Matt Ryan pass complete short left to Parris Campbell for 11 yards (tackle by DaRon Bland),3.29,4.39,13.0,2022,194
3.0,5:44,3.0,1.0,DAL 13,13.0,21.0,Jonathan Taylor right tackle for no gain (tackle by Dorance Armstrong and Carlos Watkins),4.39,2.72,13.0,2022,194
3.0,5:04,4.0,1.0,DAL 13,13.0,21.0,Matt Ryan up the middle for 1 yard (tackle by Carlos Watkins),2.72,4.78,13.0,2022,194
3.0,4:29,1.0,10.0,DAL 12,13.0,21.0,Jonathan Taylor up the middle for -3 yards (tackle by Johnathan Hankins),4.78,3.66,13.0,2022,194
3.0,3:49,2.0,13.0,DAL 15,19.0,21.0,"Matt Ryan pass complete short left to Alec Pierce for 15 yards, touchdown",3.66,7.0,13.0,2022,194
3.0,3:43,,,DAL 2,19.0,21.0,Two Point Attempt: Matt Ryan pass incomplete,1.0,-1.0,13.0,2022,194
3.0,3:43,,,IND 35,19.0,21.0,"Chase McLaughlin kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,194
3.0,3:43,1.0,10.0,DAL 25,19.0,21.0,Dak Prescott pass complete short right to Jake Ferguson for 4 yards (tackle by Isaiah Rodgers),0.61,0.6,13.0,2022,194
3.0,3:10,2.0,6.0,DAL 29,19.0,21.0,Tony Pollard right end for 22 yards (tackle by Rodney Thomas),0.6,2.32,13.0,2022,194
3.0,2:31,1.0,10.0,IND 49,19.0,21.0,Tony Pollard right end for 4 yards (tackle by Kwity Paye and Bobby Okereke),2.32,2.32,13.0,2022,194
3.0,1:55,2.0,6.0,IND 45,19.0,21.0,Dak Prescott pass complete short right to CeeDee Lamb for 6 yards,2.32,2.98,13.0,2022,194
3.0,1:21,1.0,10.0,IND 39,19.0,21.0,Ezekiel Elliott left tackle for 4 yards (tackle by Zaire Franklin and Dayo Odeyingbo),2.98,2.98,13.0,2022,194
3.0,0:42,2.0,6.0,IND 35,19.0,21.0,"Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Zaire Franklin: Defensive Illegal Blindside Block, 15 yards (accepted)",2.98,4.24,13.0,2022,194
3.0,0:38,1.0,10.0,IND 20,19.0,21.0,Dak Prescott pass complete short right to Michael Gallup for no gain (tackle by Isaiah Rodgers),4.24,3.69,13.0,2022,194
4.0,15:00,2.0,10.0,IND 20,19.0,21.0,Dak Prescott pass complete short right to Ezekiel Elliott for no gain (tackle by Rodney McLeod),3.69,3.01,13.0,2022,194
4.0,14:29,3.0,10.0,IND 20,19.0,21.0,Dak Prescott pass complete short middle to CeeDee Lamb for 17 yards (tackle by Julian Blackmon),3.01,6.51,13.0,2022,194
4.0,13:55,1.0,3.0,IND 3,19.0,27.0,"Dak Prescott pass complete short right to Michael Gallup for 3 yards, touchdown",6.51,7.0,13.0,2022,194
4.0,13:52,,,IND 15,19.0,28.0,Brett Maher kicks extra point good,0.0,0.0,13.0,2022,194
4.0,13:52,,,DAL 35,19.0,28.0,"Brett Maher kicks off 64 yards, returned by Dallis Flowers for 26 yards (tackle by Donovan Wilson)",0.0,0.74,13.0,2022,194
4.0,13:46,1.0,10.0,IND 27,19.0,34.0,"Matt Ryan pass complete short right to Mo Alie-Cox for 6 yards. Mo Alie-Cox fumbles (forced by Damone Clark), recovered by Malik Hooker at IND-38 and returned for 38 yards, touchdown",0.74,-7.0,13.0,2022,194
4.0,13:34,,,IND 2,19.0,34.0,Two Point Attempt: CeeDee Lamb pass incomplete intended for Noah Brown,1.0,-1.0,13.0,2022,194
4.0,13:34,,,DAL 35,19.0,34.0,"Brett Maher kicks off 66 yards, returned by Dallis Flowers for 23 yards (tackle by Israel Mukuamu)",0.0,0.41,13.0,2022,194
4.0,13:28,1.0,10.0,IND 22,19.0,34.0,Matt Ryan pass complete short right to Kylen Granson for no gain (tackle by DaRon Bland),0.41,-0.13,13.0,2022,194
4.0,12:50,2.0,10.0,IND 22,19.0,34.0,Matt Ryan pass complete short middle to Parris Campbell for 9 yards (tackle by Kelvin Joseph),-0.13,0.37,13.0,2022,194
4.0,12:18,3.0,1.0,IND 31,19.0,34.0,Matt Ryan pass incomplete short left intended for Michael Pittman,0.37,-1.31,13.0,2022,194
4.0,12:12,4.0,1.0,IND 31,19.0,34.0,Matt Ryan pass complete short left to Michael Pittman for 5 yards (tackle by DaRon Bland),-1.31,1.33,13.0,2022,194
4.0,11:48,1.0,10.0,IND 36,19.0,34.0,Matt Ryan pass incomplete short right intended for Parris Campbell (defended by Micah Parsons),1.33,0.79,13.0,2022,194
4.0,11:46,2.0,10.0,IND 36,19.0,34.0,Matt Ryan pass complete short left to Kylen Granson for 4 yards (tackle by Trevon Diggs),0.79,0.63,13.0,2022,194
4.0,11:10,3.0,6.0,IND 40,19.0,34.0,Matt Ryan pass short right intended for Kylen Granson is intercepted by DaRon Bland at DAL-47 and returned for no gain (tackle by Kylen Granson),0.63,-2.06,13.0,2022,194
4.0,11:03,1.0,10.0,DAL 47,19.0,34.0,Tony Pollard right tackle for 1 yard (tackle by Grover Stewart),2.06,1.65,13.0,2022,194
4.0,10:31,2.0,9.0,DAL 48,19.0,34.0,Dak Prescott pass complete short right to Dalton Schultz for 22 yards (tackle by Rodney McLeod),1.65,3.58,13.0,2022,194
4.0,9:54,1.0,10.0,IND 30,19.0,40.0,"Tony Pollard left end for 30 yards, touchdown",3.58,7.0,13.0,2022,194
4.0,9:46,,,IND 15,19.0,40.0,"Brett Maher kicks extra point blocked blocked by Grover Stewart, recovered by Bobby Okereke",0.0,-1.0,13.0,2022,194
4.0,9:46,,,DAL 35,19.0,40.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,194
4.0,9:46,1.0,10.0,IND 25,19.0,40.0,"Matt Ryan pass incomplete intended for Parris Campbell. Penalty on DaRon Bland: Defensive Pass Interference, 18 yards (accepted) (no play)",0.61,1.8,13.0,2022,194
4.0,9:41,1.0,10.0,IND 43,19.0,40.0,Matt Ryan pass complete deep middle to Jelani Woods for 27 yards (tackle by Jayron Kearse),1.8,3.58,13.0,2022,194
4.0,9:18,1.0,10.0,DAL 30,19.0,40.0,Matt Ryan pass incomplete short middle intended for Jelani Woods,3.58,3.03,13.0,2022,194
4.0,9:11,2.0,10.0,DAL 30,19.0,40.0,Matt Ryan pass intended for Ashton Dulin is intercepted by DaRon Bland at DAL-28 and returned for no gain (tackle by Ashton Dulin),3.03,-0.81,13.0,2022,194
4.0,9:04,1.0,10.0,DAL 28,19.0,40.0,Ezekiel Elliott left tackle for 2 yards (tackle by Grover Stewart and Bobby Okereke),0.81,0.53,13.0,2022,194
4.0,8:26,2.0,8.0,DAL 30,19.0,40.0,Ezekiel Elliott left tackle for -1 yards (tackle by Zaire Franklin and Grover Stewart),0.53,-0.3,13.0,2022,194
4.0,7:44,3.0,9.0,DAL 29,19.0,40.0,"Dak Prescott pass incomplete intended for Noah Brown. Penalty on Brandon Facyson: Defensive Pass Interference, 44 yards (accepted) (no play)",-0.3,3.78,13.0,2022,194
4.0,7:37,1.0,10.0,IND 27,19.0,40.0,Ezekiel Elliott right end for 22 yards (tackle by Julian Blackmon),3.78,6.06,13.0,2022,194
4.0,6:53,1.0,5.0,IND 5,19.0,40.0,Ezekiel Elliott right tackle for 1 yard (tackle by Kwity Paye),6.06,5.34,13.0,2022,194
4.0,6:11,2.0,4.0,IND 4,19.0,46.0,"Ezekiel Elliott left tackle for 4 yards, touchdown",5.34,7.0,13.0,2022,194
4.0,6:06,,,IND 15,19.0,47.0,Brett Maher kicks extra point good,0.0,0.0,13.0,2022,194
4.0,6:06,,,DAL 35,19.0,47.0,"Brett Maher kicks off 69 yards, returned by Dallis Flowers for 27 yards (tackle by Peyton Hendershot)",0.0,0.48,13.0,2022,194
4.0,6:01,1.0,10.0,IND 23,19.0,47.0,Jonathan Taylor left guard for 7 yards (tackle by Chauncey Golston and DaRon Bland),0.48,0.88,13.0,2022,194
4.0,5:38,2.0,3.0,IND 30,19.0,47.0,Matt Ryan pass complete short left to Jelani Woods for 1 yard (tackle by Jayron Kearse),0.88,0.3,13.0,2022,194
4.0,4:58,3.0,2.0,IND 31,19.0,47.0,Matt Ryan pass complete short left to Jonathan Taylor for -2 yards (tackle by Jayron Kearse),0.3,-1.44,13.0,2022,194
