Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA,week,year,game_id
1.0,4:45,1.0,10.0,SEA 37,7.0,7.0,John Wolford pass complete short right to Brandon Powell for 13 yards (tackle by Ryan Neal),3.12,3.97,13.0,2022,191
1.0,4:05,1.0,10.0,SEA 24,7.0,7.0,John Wolford pass complete short right to Brandon Powell for 3 yards (tackle by Jordyn Brooks),3.97,3.84,13.0,2022,191
1.0,3:24,2.0,7.0,SEA 21,7.0,7.0,Cam Akers right guard for -1 yards (tackle by Ryan Neal),3.84,3.01,13.0,2022,191
1.0,2:45,3.0,8.0,SEA 22,7.0,7.0,John Wolford pass incomplete deep left intended for Tutu Atwell,3.01,1.99,13.0,2022,191
1.0,2:37,4.0,8.0,SEA 22,7.0,10.0,Matt Gay 40 yard field goal good,1.99,3.0,13.0,2022,191
1.0,2:34,,,LAR 35,7.0,10.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
1.0,2:34,1.0,10.0,SEA 25,7.0,10.0,Geno Smith pass incomplete short right,0.61,0.06,13.0,2022,191
1.0,2:28,2.0,10.0,SEA 25,7.0,10.0,Geno Smith pass incomplete short right intended for Kenneth Walker (defended by Taylor Rapp),0.06,-0.62,13.0,2022,191
1.0,2:25,3.0,10.0,SEA 25,7.0,10.0,"Penalty on Abraham Lucas: False Start, 5 yards (accepted) (no play)",-0.62,-1.29,13.0,2022,191
1.0,2:25,3.0,15.0,SEA 20,7.0,10.0,Geno Smith pass incomplete short left intended for DeeJay Dallas,-1.29,-2.03,13.0,2022,191
1.0,2:20,4.0,15.0,SEA 20,7.0,10.0,"Michael Dickson punts 52 yards, returned by Brandon Powell for no gain (tackle by Dareke Young). Penalty on Keir Thomas: Unnecessary Roughness / Defense, 14 yards (accepted)",-2.03,0.28,13.0,2022,191
1.0,2:10,1.0,10.0,LAR 14,7.0,10.0,Cam Akers left tackle for 1 yard (tackle by Ryan Neal and Bryan Mone),-0.28,-0.64,13.0,2022,191
1.0,1:35,2.0,9.0,LAR 15,7.0,10.0,Cam Akers right tackle for 13 yards (tackle by Michael Jackson and Cody Barton),-0.64,0.81,13.0,2022,191
1.0,0:57,1.0,10.0,LAR 28,7.0,10.0,Cam Akers right tackle for 6 yards (tackle by Cody Barton),0.81,1.07,13.0,2022,191
1.0,0:21,2.0,4.0,LAR 34,7.0,10.0,John Wolford pass incomplete short right,1.07,0.37,13.0,2022,191
1.0,0:11,3.0,4.0,LAR 34,7.0,10.0,John Wolford pass incomplete short middle intended for Austin Trammell (defended by Shelby Harris),0.37,-1.11,13.0,2022,191
1.0,0:07,4.0,4.0,LAR 34,7.0,10.0,"Riley Dixon punts 57 yards, fair catch by DeeJay Dallas at SEA-9",-1.11,0.38,13.0,2022,191
2.0,15:00,1.0,10.0,SEA 9,7.0,10.0,Geno Smith pass complete short middle to Colby Parkinson for 12 yards (tackle by Taylor Rapp),-0.38,0.34,13.0,2022,191
2.0,14:24,1.0,10.0,SEA 21,7.0,10.0,Kenneth Walker up the middle for 6 yards (tackle by Derion Kendrick),0.34,0.61,13.0,2022,191
2.0,13:43,2.0,4.0,SEA 27,7.0,10.0,Geno Smith pass complete short right to Noah Fant for 17 yards (tackle by Jalen Ramsey),0.61,1.86,13.0,2022,191
2.0,13:07,1.0,10.0,SEA 44,7.0,10.0,Geno Smith pass complete short right to D.K. Metcalf for 8 yards (tackle by David Long),1.86,2.4,13.0,2022,191
2.0,12:32,2.0,2.0,LAR 48,7.0,10.0,Geno Smith pass complete deep middle to D.K. Metcalf for 25 yards (tackle by Taylor Rapp and Nick Scott),2.4,4.04,13.0,2022,191
2.0,11:49,1.0,10.0,LAR 23,7.0,10.0,Geno Smith pass incomplete deep middle intended for Marquise Goodwin (defended by Nick Scott),4.04,3.5,13.0,2022,191
2.0,11:44,2.0,10.0,LAR 23,7.0,10.0,DeeJay Dallas left tackle for 7 yards (tackle by Marquise Copeland and Jalen Ramsey),3.5,3.85,13.0,2022,191
2.0,11:02,3.0,3.0,LAR 16,7.0,10.0,Geno Smith pass complete short middle to Tyler Lockett for 12 yards (tackle by Taylor Rapp),3.85,6.28,13.0,2022,191
2.0,10:38,1.0,4.0,LAR 4,7.0,10.0,Kenneth Walker left end for no gain (tackle by Nick Scott),6.28,5.34,13.0,2022,191
2.0,9:59,2.0,4.0,LAR 4,7.0,10.0,Geno Smith pass incomplete short right,5.34,4.49,13.0,2022,191
2.0,9:54,3.0,4.0,LAR 4,13.0,10.0,"Geno Smith pass complete short right to Noah Fant for 4 yards, touchdown",4.49,7.0,13.0,2022,191
2.0,9:48,,,LAR 15,14.0,10.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2022,191
2.0,9:48,,,SEA 35,14.0,10.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
2.0,9:48,1.0,10.0,LAR 25,14.0,10.0,Tutu Atwell right end for 5 yards (tackle by Tre Brown),0.61,0.74,13.0,2022,191
2.0,9:11,2.0,5.0,LAR 30,14.0,10.0,John Wolford pass incomplete deep right intended for Van Jefferson (defended by Coby Bryant),0.74,0.04,13.0,2022,191
2.0,9:05,3.0,5.0,LAR 30,14.0,10.0,"John Wolford pass incomplete short middle intended for Van Jefferson. Penalty on Tre Brown: Defensive Pass Interference, 6 yards (accepted) (no play)",0.04,1.33,13.0,2022,191
2.0,9:00,,,,,,Timeout #1 by Los Angeles Rams,,,13.0,2022,191
2.0,9:00,1.0,10.0,LAR 36,14.0,10.0,Cam Akers up the middle for 1 yard (tackle by Jordyn Brooks),1.33,0.93,13.0,2022,191
2.0,8:23,2.0,9.0,LAR 37,14.0,10.0,John Wolford scrambles right end for 6 yards (tackle by Cody Barton and Jordyn Brooks),0.93,1.03,13.0,2022,191
2.0,7:41,3.0,3.0,LAR 43,14.0,10.0,Kyren Williams up the middle for 3 yards (tackle by Jordyn Brooks),1.03,1.99,13.0,2022,191
2.0,6:57,1.0,10.0,LAR 46,14.0,10.0,Kyren Williams up the middle for 4 yards (tackle by Coby Bryant and Cody Barton),1.99,1.99,13.0,2022,191
2.0,6:19,2.0,6.0,LAR 50,14.0,10.0,John Wolford pass incomplete short right intended for Tyler Higbee (defended by Quinton Jefferson),1.99,1.29,13.0,2022,191
2.0,6:13,3.0,6.0,LAR 50,14.0,10.0,"John Wolford pass complete deep right to Van Jefferson for 16 yards (tackle by Tre Brown). Penalty on Uchenna Nwosu: Defensive Offside, 5 yards (declined)",1.29,3.31,13.0,2022,191
2.0,5:47,1.0,10.0,SEA 34,14.0,10.0,John Wolford pass deep left intended for Kyren Williams is intercepted by Tariq Woolen at SEA-16 and returned for no gain (tackle by Kyren Williams),3.31,0.14,13.0,2022,191
2.0,5:41,1.0,10.0,SEA 16,14.0,10.0,DeeJay Dallas right guard for no gain (tackle by Jonah Williams and Leonard Floyd),-0.14,-0.66,13.0,2022,191
2.0,5:12,2.0,10.0,SEA 16,14.0,10.0,"Penalty on Austin Blythe: False Start, 5 yards (accepted) (no play)",-0.66,-1.15,13.0,2022,191
2.0,4:45,,,,,,Timeout #2 by Seattle Seahawks,,,13.0,2022,191
2.0,4:45,2.0,15.0,SEA 11,14.0,10.0,Geno Smith pass complete short left to Tyler Lockett for 5 yards (tackle by Derion Kendrick),-1.15,-1.32,13.0,2022,191
2.0,4:02,3.0,10.0,SEA 16,14.0,10.0,Geno Smith sacked by Bobby Wagner for -7 yards,-1.32,-2.49,13.0,2022,191
2.0,3:17,4.0,17.0,SEA 9,14.0,10.0,"Michael Dickson punts 62 yards, returned by Brandon Powell for 8 yards (tackle by Joey Blount)",-2.49,-1.4,13.0,2022,191
2.0,3:04,1.0,10.0,LAR 37,14.0,10.0,Cam Akers up the middle for 2 yards (tackle by Shelby Harris),1.4,1.13,13.0,2022,191
2.0,2:34,2.0,8.0,LAR 39,14.0,10.0,Brandon Powell left tackle for 16 yards (tackle by Tariq Woolen and Ryan Neal),1.13,2.59,13.0,2022,191
2.0,2:04,1.0,10.0,SEA 45,14.0,10.0,John Wolford pass complete short right to Brandon Powell for 9 yards (tackle by Cody Barton),2.59,3.26,13.0,2022,191
2.0,1:57,2.0,1.0,SEA 36,14.0,10.0,"Penalty on Bruce Irvin: Neutral Zone Infraction, 6 yards (accepted) (no play)",3.26,3.58,13.0,2022,191
2.0,1:57,1.0,10.0,SEA 30,14.0,10.0,John Wolford scrambles left end for 3 yards (tackle by Bruce Irvin),3.58,3.51,13.0,2022,191
2.0,1:51,2.0,6.0,SEA 27,14.0,10.0,"John Wolford sacked by Uchenna Nwosu for -10 yards. John Wolford fumbles (forced by Uchenna Nwosu), recovered by Tyler Higbee at SEA-37 (tackle by Poona Ford)",3.51,1.49,13.0,2022,191
2.0,1:05,3.0,16.0,SEA 37,14.0,10.0,Kyren Williams left tackle for 2 yards (tackle by Darrell Taylor),1.49,0.97,13.0,2022,191
2.0,1:00,,,,,,Timeout #3 by Seattle Seahawks,,,13.0,2022,191
2.0,1:00,4.0,14.0,SEA 35,14.0,13.0,Matt Gay 54 yard field goal good,0.97,3.0,13.0,2022,191
2.0,0:55,,,LAR 35,14.0,13.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
2.0,0:55,1.0,10.0,SEA 25,14.0,13.0,Geno Smith sacked by Michael Hoecht for -11 yards,0.61,-1.54,13.0,2022,191
2.0,0:48,,,,,,Timeout #2 by Los Angeles Rams,,,13.0,2022,191
2.0,0:48,2.0,21.0,SEA 14,14.0,13.0,DeeJay Dallas up the middle for 4 yards (tackle by Greg Gaines and Jonah Williams),-1.54,-1.72,13.0,2022,191
2.0,0:44,,,,,,Timeout #3 by Los Angeles Rams,,,13.0,2022,191
2.0,0:44,3.0,17.0,SEA 18,14.0,13.0,DeeJay Dallas up the middle for 5 yards (tackle by Jonah Williams),-1.72,-1.83,13.0,2022,191
3.0,15:00,,,LAR 35,14.0,13.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
3.0,15:00,1.0,10.0,SEA 25,14.0,13.0,Geno Smith pass complete short right to D.K. Metcalf for 12 yards (tackle by Derion Kendrick),0.61,1.4,13.0,2022,191
3.0,14:25,1.0,10.0,SEA 37,14.0,13.0,Geno Smith pass complete deep left to D.K. Metcalf for 19 yards (tackle by David Long),1.4,2.65,13.0,2022,191
3.0,13:55,1.0,10.0,LAR 44,14.0,13.0,Tony Jones left tackle for 4 yards (tackle by Bobby Wagner and Jonah Williams),2.65,2.65,13.0,2022,191
3.0,13:27,2.0,6.0,LAR 40,14.0,13.0,"Geno Smith sacked by Michael Hoecht for no gain. Geno Smith fumbles (forced by Michael Hoecht), recovered by Taylor Rapp at LA-29 (tackle by Damien Lewis)",2.65,-0.87,13.0,2022,191
3.0,13:13,1.0,10.0,LAR 29,14.0,13.0,Cam Akers left tackle for no gain (tackle by Al Woods),0.87,0.33,13.0,2022,191
3.0,12:35,2.0,10.0,LAR 29,14.0,13.0,John Wolford scrambles right end for 4 yards (tackle by Jordyn Brooks),0.33,0.17,13.0,2022,191
3.0,11:55,3.0,6.0,LAR 33,14.0,13.0,John Wolford sacked by Jordyn Brooks for -10 yards,0.17,-1.83,13.0,2022,191
3.0,11:36,4.0,16.0,LAR 23,14.0,13.0,Riley Dixon punts 60 yards downed by Jacob Harris,-1.83,0.06,13.0,2022,191
3.0,11:22,1.0,10.0,SEA 17,14.0,13.0,Tony Jones right tackle for -2 yards (tackle by Bobby Brown),-0.06,-0.85,13.0,2022,191
3.0,10:52,2.0,12.0,SEA 15,14.0,13.0,"Geno Smith pass incomplete short right intended for Tony Jones. Penalty on Russ Yeast: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",-0.85,0.94,13.0,2022,191
3.0,10:48,1.0,10.0,SEA 30,14.0,13.0,Geno Smith pass complete deep right to D.K. Metcalf for 40 yards (tackle by Derion Kendrick),0.94,3.58,13.0,2022,191
3.0,10:20,1.0,10.0,LAR 30,14.0,13.0,DeeJay Dallas up the middle for 4 yards (tackle by Michael Hoecht),3.58,3.57,13.0,2022,191
3.0,9:44,2.0,6.0,LAR 26,14.0,13.0,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Ernest Jones),3.57,4.58,13.0,2022,191
3.0,9:05,1.0,10.0,LAR 15,14.0,13.0,Geno Smith pass complete short right to Laquon Treadwell for 1 yard (tackle by Ernest Jones),4.58,4.11,13.0,2022,191
3.0,8:23,2.0,9.0,LAR 14,14.0,13.0,Geno Smith pass complete short left to D.K. Metcalf for 6 yards (tackle by Derion Kendrick),4.11,4.45,13.0,2022,191
3.0,7:43,3.0,3.0,LAR 8,14.0,13.0,Geno Smith pass incomplete short left intended for Tyler Lockett,4.45,2.98,13.0,2022,191
3.0,7:37,4.0,3.0,LAR 8,14.0,13.0,"Penalty on D.K. Metcalf: Personal Foul / Offense, 15 yards (accepted) (no play)",2.98,1.93,13.0,2022,191
3.0,7:38,4.0,18.0,LAR 23,17.0,13.0,Jason Myers 41 yard field goal good,1.93,3.0,13.0,2022,191
3.0,7:33,,,SEA 35,17.0,13.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
3.0,7:33,1.0,10.0,LAR 25,17.0,13.0,John Wolford pass incomplete deep left intended for Tutu Atwell (defended by Tariq Woolen),0.61,0.06,13.0,2022,191
3.0,7:27,2.0,10.0,LAR 25,17.0,13.0,Cam Akers left tackle for 4 yards (tackle by Uchenna Nwosu),0.06,-0.1,13.0,2022,191
3.0,7:04,3.0,6.0,LAR 29,17.0,13.0,John Wolford scrambles left end for 2 yards (tackle by Uchenna Nwosu),-0.1,-1.31,13.0,2022,191
3.0,6:00,4.0,4.0,LAR 31,17.0,13.0,Riley Dixon punts 47 yards downed by Christian Rozeboom,-1.31,-0.41,13.0,2022,191
3.0,5:49,1.0,10.0,SEA 22,17.0,13.0,Tony Jones left tackle for no gain (tackle by Bobby Wagner and Greg Gaines),0.41,-0.13,13.0,2022,191
3.0,5:11,2.0,10.0,SEA 22,17.0,13.0,Geno Smith pass complete short left to Tony Jones for 9 yards (tackle by Derion Kendrick),-0.13,0.37,13.0,2022,191
3.0,4:29,3.0,1.0,SEA 31,17.0,13.0,Geno Smith pass complete short left to Will Dissly for 19 yards (tackle by Nick Scott),0.37,2.26,13.0,2022,191
3.0,3:51,1.0,10.0,SEA 50,17.0,13.0,Geno Smith pass complete short right to Tyler Lockett for 9 yards (tackle by Nick Scott),2.26,2.93,13.0,2022,191
3.0,3:16,2.0,1.0,LAR 41,17.0,13.0,Tony Jones up the middle for 5 yards (tackle by Ernest Jones),2.93,3.18,13.0,2022,191
3.0,2:37,1.0,10.0,LAR 36,17.0,13.0,Tony Jones up the middle for -2 yards (tackle by Bobby Wagner),3.18,2.37,13.0,2022,191
3.0,1:54,2.0,12.0,LAR 38,17.0,13.0,"Geno Smith pass short right intended for Tony Jones is intercepted by Bobby Wagner at LA-45 and returned for no gain (tackle by Tony Jones) Replay Assistant challenged the pass interception ruling, and the play was upheld.",2.37,-1.93,13.0,2022,191
3.0,1:46,1.0,10.0,LAR 45,17.0,13.0,Cam Akers right end for 5 yards (tackle by Quandre Diggs),1.93,2.06,13.0,2022,191
3.0,1:30,2.0,5.0,SEA 50,17.0,13.0,Bryce Perkins scrambles left end for 5 yards (tackle by Tariq Woolen),2.06,2.59,13.0,2022,191
3.0,0:53,1.0,10.0,SEA 45,17.0,13.0,John Wolford pass complete deep middle to Van Jefferson for 23 yards (tackle by Coby Bryant),2.59,4.11,13.0,2022,191
3.0,0:12,1.0,10.0,SEA 22,17.0,13.0,Tutu Atwell right end for 6 yards (tackle by Michael Jackson),4.11,4.46,13.0,2022,191
4.0,15:00,2.0,4.0,SEA 16,17.0,13.0,Tutu Atwell left end for 5 yards (tackle by Tariq Woolen),4.46,4.84,13.0,2022,191
4.0,14:25,1.0,10.0,SEA 11,17.0,13.0,Cam Akers up the middle for 3 yards (tackle by Jordyn Brooks and Teez Tabor),4.84,4.7,13.0,2022,191
4.0,13:48,2.0,7.0,SEA 8,17.0,13.0,John Wolford pass incomplete short left intended for Tyler Higbee,4.7,3.76,13.0,2022,191
4.0,13:43,3.0,7.0,SEA 8,17.0,13.0,John Wolford sacked by Uchenna Nwosu for -5 yards,3.76,2.57,13.0,2022,191
4.0,13:03,4.0,12.0,SEA 13,17.0,16.0,Matt Gay 32 yard field goal good,2.57,3.0,13.0,2022,191
4.0,12:57,,,LAR 35,17.0,16.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
4.0,12:57,1.0,10.0,SEA 25,17.0,16.0,Geno Smith pass complete short right to Tyler Lockett for 8 yards (tackle by Ernest Jones),0.61,1.14,13.0,2022,191
4.0,12:22,2.0,2.0,SEA 33,17.0,16.0,Tony Jones right guard for 7 yards (tackle by Nick Scott and Derion Kendrick),1.14,1.6,13.0,2022,191
4.0,11:53,1.0,10.0,SEA 40,17.0,16.0,Geno Smith pass complete short left to Tony Jones for 9 yards (tackle by Jalen Ramsey),1.6,2.27,13.0,2022,191
4.0,11:13,2.0,1.0,SEA 49,17.0,16.0,Tony Jones left tackle for 2 yards (tackle by Ernest Jones),2.27,2.32,13.0,2022,191
4.0,10:34,1.0,10.0,LAR 49,17.0,16.0,Geno Smith pass complete deep left to Tyler Lockett for 27 yards (tackle by Nick Scott),2.32,4.11,13.0,2022,191
4.0,9:48,1.0,10.0,LAR 22,17.0,16.0,DeeJay Dallas left end for 7 yards (tackle by Taylor Rapp and Jalen Ramsey),4.11,4.65,13.0,2022,191
4.0,9:10,2.0,3.0,LAR 15,17.0,16.0,DeeJay Dallas left tackle for 4 yards (tackle by Bobby Wagner),4.65,4.84,13.0,2022,191
4.0,8:30,1.0,10.0,LAR 11,17.0,16.0,DeeJay Dallas left end for no gain (tackle by Marquise Copeland and Jalen Ramsey),4.84,4.14,13.0,2022,191
4.0,7:44,2.0,10.0,LAR 11,17.0,16.0,Geno Smith pass complete short left to Will Dissly for 3 yards (tackle by Jalen Ramsey),4.14,3.58,13.0,2022,191
4.0,6:58,3.0,8.0,LAR 8,17.0,16.0,Geno Smith pass incomplete short left intended for Noah Fant (defended by Taylor Rapp),3.58,2.96,13.0,2022,191
4.0,6:49,4.0,7.0,LAR 8,20.0,16.0,Jason Myers 26 yard field goal good,2.96,3.0,13.0,2022,191
4.0,6:46,,,SEA 35,20.0,16.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
4.0,6:46,1.0,10.0,LAR 25,20.0,16.0,John Wolford pass complete deep right to Tutu Atwell for 18 yards,0.61,1.8,13.0,2022,191
4.0,6:21,1.0,10.0,LAR 43,20.0,16.0,John Wolford pass complete short right to Tyler Higbee for 5 yards (tackle by Tre Brown),1.8,1.93,13.0,2022,191
4.0,5:54,2.0,5.0,LAR 48,20.0,16.0,Cam Akers left end for 4 yards (tackle by Coby Bryant and Poona Ford),1.93,1.75,13.0,2022,191
4.0,5:20,3.0,1.0,SEA 48,20.0,16.0,Cam Akers right tackle for -1 yards (tackle by Al Woods),1.75,0.0,13.0,2022,191
4.0,4:37,4.0,2.0,SEA 49,20.0,16.0,John Wolford scrambles left end for 14 yards (tackle by Tariq Woolen),0.0,3.25,13.0,2022,191
4.0,4:26,1.0,10.0,SEA 35,20.0,16.0,John Wolford pass complete short left to Cam Akers for no gain (tackle by Cody Barton),3.25,2.7,13.0,2022,191
4.0,3:49,2.0,10.0,SEA 35,20.0,16.0,Brandon Powell up the middle for 20 yards (tackle by Coby Bryant),2.7,4.58,13.0,2022,191
4.0,3:10,1.0,10.0,SEA 15,20.0,16.0,John Wolford pass complete short right to Tyler Higbee for 9 yards,4.58,5.6,13.0,2022,191
4.0,3:01,2.0,1.0,SEA 6,20.0,22.0,"Cam Akers up the middle for 6 yards, touchdown",5.6,7.0,13.0,2022,191
4.0,2:56,,,SEA 15,20.0,23.0,Matt Gay kicks extra point good,0.0,0.0,13.0,2022,191
4.0,2:56,,,LAR 35,20.0,23.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
4.0,2:56,1.0,10.0,SEA 25,20.0,23.0,Geno Smith pass complete short middle to D.K. Metcalf for 9 yards (tackle by Ernest Jones),0.61,1.28,13.0,2022,191
4.0,2:32,2.0,1.0,SEA 34,20.0,23.0,Geno Smith pass complete short right to Noah Fant for 7 yards (tackle by Ernest Jones),1.28,1.66,13.0,2022,191
4.0,2:09,1.0,10.0,SEA 41,20.0,23.0,"Geno Smith pass incomplete short middle intended for Tony Jones. Penalty on Jalen Ramsey: Illegal Contact, 5 yards (accepted) (no play)",1.66,1.99,13.0,2022,191
4.0,2:02,1.0,10.0,SEA 46,20.0,23.0,Geno Smith pass incomplete short right intended for Tony Jones,1.99,1.45,13.0,2022,191
4.0,1:56,2.0,10.0,SEA 46,20.0,23.0,Geno Smith pass complete short left to Noah Fant for 14 yards (tackle by Derion Kendrick),1.45,2.92,13.0,2022,191
4.0,1:50,1.0,10.0,LAR 40,20.0,23.0,Geno Smith pass incomplete deep middle intended for Tyler Lockett,2.92,2.37,13.0,2022,191
4.0,1:46,2.0,10.0,LAR 40,20.0,23.0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Cobie Durant),2.37,1.68,13.0,2022,191
4.0,1:41,3.0,10.0,LAR 40,20.0,23.0,Geno Smith pass complete short right to Tyler Lockett for 10 yards (tackle by Cobie Durant),1.68,3.58,13.0,2022,191
4.0,1:17,1.0,10.0,LAR 30,20.0,23.0,DeeJay Dallas left guard for 5 yards (tackle by Bobby Wagner and Jonah Williams),3.58,3.71,13.0,2022,191
4.0,0:49,,,,,,Timeout #1 by Los Angeles Rams,,,13.0,2022,191
4.0,0:49,2.0,5.0,LAR 25,20.0,23.0,Geno Smith pass complete short middle to Marquise Goodwin for 17 yards (tackle by Derion Kendrick and Nick Scott),3.71,5.37,13.0,2022,191
4.0,0:41,,,,,,Timeout #1 by Seattle Seahawks,,,13.0,2022,191
4.0,0:41,1.0,8.0,LAR 8,26.0,23.0,"Geno Smith pass complete short middle to D.K. Metcalf for 8 yards, touchdown",5.37,7.0,13.0,2022,191
4.0,0:36,,,LAR 15,27.0,23.0,Jason Myers kicks extra point good,0.0,0.0,13.0,2022,191
4.0,0:36,,,SEA 35,27.0,23.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,191
4.0,0:36,1.0,10.0,LAR 25,27.0,23.0,John Wolford sacked by Darrell Taylor for -5 yards,0.61,-0.61,13.0,2022,191
4.0,0:31,,,,,,Timeout #2 by Los Angeles Rams,,,13.0,2022,191
4.0,0:31,2.0,15.0,LAR 20,27.0,23.0,John Wolford pass incomplete deep middle intended for Van Jefferson,-0.61,-1.29,13.0,2022,191
4.0,0:26,3.0,15.0,LAR 20,27.0,23.0,"Penalty on Ty Nsekhe: False Start, 5 yards (accepted) (no play)",-1.29,-2.35,13.0,2022,191
4.0,0:26,3.0,20.0,LAR 15,27.0,23.0,John Wolford pass incomplete short left intended for Ben Skowronek (defended by Tariq Woolen),-2.35,-2.44,13.0,2022,191
4.0,0:20,4.0,20.0,LAR 15,27.0,23.0,John Wolford pass deep middle intended for Tutu Atwell is intercepted by Cody Barton at LA-41 and returned for 10 yards (tackle by Ben Skowronek),-2.44,-3.51,13.0,2022,191
4.0,0:10,1.0,10.0,LAR 31,27.0,23.0,Geno Smith kneels for -1 yards,3.51,2.83,13.0,2022,191
