Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA,week,year,game_id
4.0,14:47,,,CIN 35,24.0,20.0,"Evan McPherson kicks off 63 yards, returned by Isiah Pacheco for 22 yards (tackle by Michael Thomas and Daxton Hill)",0.0,0.54,13.0,2022,192
4.0,14:41,1.0,10.0,KAN 24,24.0,20.0,Isiah Pacheco left tackle for 2 yards (tackle by B.J. Hill),0.54,0.27,13.0,2022,192
4.0,14:07,2.0,8.0,KAN 26,24.0,20.0,"Patrick Mahomes pass complete short middle to Travis Kelce for 19 yards. Travis Kelce fumbles (forced by Germaine Pratt), recovered by Germaine Pratt at KC-45 and returned for -8 yards (tackle by Isiah Pacheco) Replay Assistant challenged the fumble ruling, and the play was upheld.",0.27,-2.06,13.0,2022,192
4.0,13:52,1.0,10.0,CIN 47,24.0,20.0,Joe Burrow pass complete short right to Samaje Perine for 8 yards (tackle by Darius Harris),2.06,2.6,13.0,2022,192
4.0,13:06,2.0,2.0,KAN 45,24.0,20.0,Joe Burrow pass complete short right to Samaje Perine for 16 yards (tackle by Justin Reid),2.6,3.64,13.0,2022,192
4.0,12:19,1.0,10.0,KAN 29,24.0,20.0,Trayveon Williams right guard for 3 yards (tackle by George Karlaftis),3.64,3.51,13.0,2022,192
4.0,11:41,2.0,7.0,KAN 26,24.0,20.0,Joe Burrow pass incomplete deep right intended for Tee Higgins,3.51,2.81,13.0,2022,192
4.0,11:36,,,,,,Timeout #1 by Cincinnati Bengals,,,13.0,2022,192
4.0,11:36,3.0,7.0,KAN 26,24.0,20.0,Joe Burrow pass complete short right to Samaje Perine for 7 yards (tackle by Nick Bolton),2.81,4.31,13.0,2022,192
4.0,10:53,1.0,10.0,KAN 19,24.0,20.0,"Samaje Perine left guard for 2 yards (tackle by Trent McDuffie and L'Jarius Sneed). Penalty on Ted Karras: Offensive Holding, 10 yards (accepted)",4.31,3.78,13.0,2022,192
4.0,10:36,1.0,18.0,KAN 27,24.0,20.0,Joe Burrow scrambles up the middle for 5 yards (tackle by Carlos Dunlap),3.78,3.36,13.0,2022,192
4.0,9:58,2.0,13.0,KAN 22,24.0,20.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Trent McDuffie),3.36,3.76,13.0,2022,192
4.0,9:19,3.0,5.0,KAN 14,24.0,20.0,"Joe Burrow pass complete short middle to Tyler Boyd for 6 yards (tackle by Nick Bolton and Juan Thornhill). Penalty on Joshua Williams: Illegal Use of Hands / Defense, 5 yards (declined)",3.76,5.37,13.0,2022,192
4.0,9:00,1.0,8.0,KAN 8,24.0,26.0,"Joe Burrow pass complete short left to Chris Evans for 8 yards, touchdown",5.37,7.0,13.0,2022,192
4.0,8:54,,,KAN 15,24.0,27.0,Evan McPherson kicks extra point good,0.0,0.0,13.0,2022,192
4.0,8:54,,,CIN 35,24.0,27.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,13.0,2022,192
4.0,8:54,1.0,10.0,KAN 25,24.0,27.0,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Cam Taylor-Britt and Logan Wilson),0.61,0.87,13.0,2022,192
4.0,8:16,2.0,4.0,KAN 31,24.0,27.0,Isiah Pacheco left tackle for 3 yards (tackle by Germaine Pratt),0.87,0.56,13.0,2022,192
4.0,7:35,3.0,1.0,KAN 34,24.0,27.0,Isiah Pacheco right end for 3 yards (tackle by Jessie Bates),0.56,1.4,13.0,2022,192
4.0,7:00,1.0,10.0,KAN 37,24.0,27.0,Patrick Mahomes pass complete short left to Travis Kelce for 13 yards (tackle by Jessie Bates and Germaine Pratt),1.4,2.26,13.0,2022,192
4.0,6:18,1.0,10.0,CIN 50,24.0,27.0,Jerick McKinnon left tackle for 6 yards (tackle by Cam Taylor-Britt),2.26,2.52,13.0,2022,192
4.0,5:45,2.0,4.0,CIN 44,24.0,27.0,Isiah Pacheco left guard for 4 yards (tackle by B.J. Hill and Logan Wilson),2.52,2.92,13.0,2022,192
4.0,5:03,1.0,10.0,CIN 40,24.0,27.0,Patrick Mahomes pass incomplete short left,2.92,2.37,13.0,2022,192
4.0,4:54,2.0,10.0,CIN 40,24.0,27.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 7 yards (tackle by Mike Hilton),2.37,2.61,13.0,2022,192
4.0,4:10,3.0,3.0,CIN 33,24.0,27.0,Patrick Mahomes sacked by Joseph Ossai for -4 yards,2.61,0.79,13.0,2022,192
4.0,3:25,4.0,7.0,CIN 37,24.0,27.0,Harrison Butker 55 yard field goal no good,0.79,-1.93,13.0,2022,192
4.0,3:19,1.0,10.0,CIN 45,24.0,27.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Nick Bolton),1.93,2.46,13.0,2022,192
4.0,3:12,2.0,2.0,KAN 47,24.0,27.0,Samaje Perine right guard for 10 yards (tackle by Juan Thornhill and Nick Bolton),2.46,3.12,13.0,2022,192
