Quarter,Time,Down,ToGo,Location,NYG,TEN,Detail,EPB,EPA,week,year,game_id
1.0,7:17,3.0,14.0,NYG 32,0.0,7.0,"Penalty on NYG: Delay of Game, 5 yards (accepted) (no play)",-0.43,-1.09,1.0,2022,13
1.0,6:57,3.0,19.0,NYG 27,0.0,7.0,Daniel Jones pass complete short middle to Richie James for 14 yards (tackle by Kevin Byard and Roger McCreary),-1.09,-0.65,1.0,2022,13
1.0,6:19,4.0,5.0,NYG 41,0.0,7.0,"Jamie Gillan punts 46 yards, returned by Kyle Philips for 5 yards (tackle by Nick McCloud)",-0.65,-0.04,1.0,2022,13
1.0,6:10,1.0,10.0,TEN 18,0.0,7.0,Derrick Henry left tackle for 5 yards (tackle by Leonard Williams),0.04,0.28,1.0,2022,13
1.0,5:34,2.0,5.0,TEN 23,0.0,7.0,Derrick Henry right tackle for no gain (tackle by Jihad Ward),0.28,-0.53,1.0,2022,13
1.0,4:48,3.0,5.0,TEN 23,0.0,7.0,Ryan Tannehill pass incomplete deep right intended for Robert Woods,-0.53,-1.83,1.0,2022,13
1.0,4:44,4.0,5.0,TEN 23,0.0,7.0,"Ryan Stonehouse punts 54 yards, returned by Richie James for 17 yards (tackle by Dontrell Hilliard)",-1.83,-1.6,1.0,2022,13
1.0,4:30,1.0,10.0,NYG 40,0.0,7.0,Daniel Jones sacked by Rashad Weaver for -5 yards,1.6,0.38,1.0,2022,13
1.0,3:48,2.0,15.0,NYG 35,0.0,7.0,Daniel Jones sacked by Jeffery Simmons for -5 yards,0.38,-0.96,1.0,2022,13
1.0,3:02,3.0,20.0,NYG 30,0.0,7.0,Daniel Jones pass complete short middle to Richie James for 16 yards (tackle by Kevin Byard),-0.96,-0.32,1.0,2022,13
1.0,2:16,4.0,4.0,NYG 46,0.0,7.0,"Jamie Gillan punts 47 yards, fair catch by Kyle Philips at TEN-7",-0.32,0.38,1.0,2022,13
1.0,2:09,1.0,10.0,TEN 7,0.0,7.0,Derrick Henry right end for 3 yards (tackle by Leonard Williams and Jihad Ward),-0.38,-0.56,1.0,2022,13
1.0,1:23,2.0,7.0,TEN 10,0.0,7.0,Ryan Tannehill pass complete short middle to Geoff Swaim for 9 yards (tackle by Tae Crowder and Adoree' Jackson),-0.56,0.15,1.0,2022,13
1.0,0:48,1.0,10.0,TEN 19,0.0,7.0,Ryan Tannehill pass incomplete deep left intended for Treylon Burks,0.15,-0.39,1.0,2022,13
1.0,0:41,2.0,10.0,TEN 19,0.0,7.0,Derrick Henry right guard for 7 yards (tackle by Tae Crowder and Xavier McKinney),-0.39,-0.16,1.0,2022,13
2.0,15:00,3.0,3.0,TEN 26,0.0,7.0,Ryan Tannehill pass complete short right to Dontrell Hilliard for 31 yards (tackle by Tae Crowder),-0.16,2.72,1.0,2022,13
2.0,14:14,1.0,10.0,NYG 43,0.0,7.0,Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 13 yards (tackle by Xavier McKinney),2.72,3.58,1.0,2022,13
2.0,13:36,1.0,10.0,NYG 30,0.0,7.0,Derrick Henry left tackle for 2 yards (tackle by Leonard Williams),3.58,3.3,1.0,2022,13
2.0,12:51,2.0,8.0,NYG 28,0.0,7.0,Ryan Tannehill pass incomplete short left,3.3,2.61,1.0,2022,13
2.0,12:44,3.0,8.0,NYG 28,0.0,7.0,Ryan Tannehill pass incomplete deep left intended for Treylon Burks,2.61,1.59,1.0,2022,13
2.0,12:39,4.0,8.0,NYG 28,0.0,10.0,Randy Bullock 46 yard field goal good,1.59,3.0,1.0,2022,13
2.0,12:35,,,TEN 35,0.0,10.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,13
2.0,12:35,1.0,10.0,NYG 25,0.0,10.0,Saquon Barkley right tackle for 4 yards (tackle by Denico Autry),0.61,0.6,1.0,2022,13
2.0,12:08,2.0,6.0,NYG 29,0.0,10.0,Saquon Barkley right end for 15 yards (tackle by Kevin Byard),0.6,1.86,1.0,2022,13
2.0,11:41,1.0,10.0,NYG 44,0.0,10.0,Matt Breida left tackle for 5 yards (tackle by David Long),1.86,1.99,1.0,2022,13
2.0,11:11,2.0,5.0,NYG 49,0.0,10.0,Daniel Jones pass complete short middle to Kenny Golladay for 7 yards (tackle by Kristian Fulton and Zach Cunningham),1.99,2.65,1.0,2022,13
2.0,10:38,1.0,10.0,TEN 44,0.0,10.0,Saquon Barkley right tackle for 2 yards (tackle by David Long and Rashad Weaver),2.65,2.38,1.0,2022,13
2.0,10:06,2.0,8.0,TEN 42,0.0,10.0,"Daniel Jones sacked by Jeffery Simmons for -14 yards. Daniel Jones fumbles (forced by Jeffery Simmons), recovered by Bud Dupree at NYG-44 and returned for 2 yards (tackle by Andrew Thomas)",2.38,-2.79,1.0,2022,13
2.0,10:00,1.0,10.0,NYG 42,0.0,10.0,Derrick Henry left tackle for 4 yards (tackle by Jihad Ward),2.79,2.78,1.0,2022,13
2.0,9:29,2.0,6.0,NYG 38,0.0,10.0,Ryan Tannehill pass incomplete short right intended for Geoff Swaim,2.78,2.08,1.0,2022,13
2.0,9:25,3.0,6.0,NYG 38,0.0,10.0,"Ryan Tannehill pass complete short right to Dontrell Hilliard for no gain (tackle by Adoree' Jackson). Penalty on Darnay Holmes: Defensive Holding, 5 yards (accepted) (no play)",2.08,3.38,1.0,2022,13
2.0,9:12,1.0,10.0,NYG 33,0.0,10.0,Ryan Tannehill pass complete deep right to Cody Hollister for 22 yards,3.38,4.84,1.0,2022,13
2.0,8:33,1.0,10.0,NYG 11,0.0,10.0,Derrick Henry right guard for 4 yards (tackle by Tae Crowder),4.84,4.89,1.0,2022,13
2.0,7:50,2.0,6.0,NYG 7,0.0,10.0,Ryan Tannehill pass complete short left to Geoff Swaim for 2 yards (tackle by Aaron Robinson),4.89,4.44,1.0,2022,13
2.0,7:07,3.0,4.0,NYG 5,0.0,10.0,Ryan Tannehill pass incomplete short right intended for Derrick Henry,4.44,3.01,1.0,2022,13
2.0,7:00,4.0,4.0,NYG 5,0.0,13.0,Randy Bullock 23 yard field goal good,3.01,3.0,1.0,2022,13
2.0,6:57,,,TEN 35,0.0,13.0,"Randy Bullock kicks off 65 yards, returned by Gary Brightwell for 17 yards (tackle by Cody Hollister and Tre Avery)",0.0,-0.06,1.0,2022,13
2.0,6:51,1.0,10.0,NYG 17,0.0,13.0,Daniel Jones pass complete short right to Saquon Barkley for 7 yards (tackle by Zach Cunningham and Kevin Byard),-0.06,0.48,1.0,2022,13
2.0,6:20,2.0,3.0,NYG 24,0.0,13.0,Saquon Barkley left end for 7 yards (tackle by Zach Cunningham and Ugo Amadi),0.48,1.0,1.0,2022,13
2.0,5:29,1.0,10.0,NYG 31,0.0,13.0,Daniel Jones pass complete short middle to Saquon Barkley for 4 yards (tackle by David Long),1.0,1.0,1.0,2022,13
2.0,4:56,2.0,6.0,NYG 35,0.0,13.0,Matt Breida up the middle for 3 yards (tackle by David Long and Denico Autry),1.0,0.7,1.0,2022,13
2.0,4:14,3.0,3.0,NYG 38,0.0,13.0,Daniel Jones pass incomplete short left intended for Sterling Shepard (defended by Kevin Strong),0.7,-0.85,1.0,2022,13
2.0,4:09,4.0,3.0,NYG 38,0.0,13.0,"Jamie Gillan punts 44 yards, fair catch by Kyle Philips at TEN-18",-0.85,-0.04,1.0,2022,13
2.0,4:03,1.0,10.0,TEN 18,0.0,13.0,Derrick Henry right tackle for 2 yards (tackle by Jihad Ward),0.04,-0.13,1.0,2022,13
2.0,3:16,2.0,8.0,TEN 20,0.0,13.0,Ryan Tannehill pass incomplete short right intended for Kyle Philips,-0.13,-0.91,1.0,2022,13
2.0,3:12,3.0,8.0,TEN 20,0.0,13.0,Ryan Tannehill scrambles left end for 9 yards (tackle by Darnay Holmes),-0.91,0.87,1.0,2022,13
2.0,2:33,1.0,10.0,TEN 29,0.0,13.0,Derrick Henry up the middle for 18 yards (tackle by Xavier McKinney),0.87,2.06,1.0,2022,13
2.0,2:00,1.0,10.0,TEN 47,0.0,13.0,Derrick Henry right tackle for 6 yards (tackle by Jihad Ward and Adoree' Jackson),2.06,2.33,1.0,2022,13
2.0,1:13,2.0,4.0,NYG 47,0.0,13.0,Ryan Tannehill pass incomplete short left intended for Kyle Philips,2.33,1.62,1.0,2022,13
2.0,1:09,3.0,4.0,NYG 47,0.0,13.0,Ryan Tannehill pass incomplete short left intended for Kyle Philips,1.62,0.13,1.0,2022,13
2.0,1:05,4.0,4.0,NYG 47,0.0,13.0,"Ryan Stonehouse punts 38 yards, fair catch by Richie James at NYG-9",0.13,0.38,1.0,2022,13
2.0,0:59,1.0,10.0,NYG 9,0.0,13.0,Saquon Barkley up the middle for 13 yards (tackle by Kevin Byard and Denico Autry),-0.38,0.41,1.0,2022,13
2.0,0:31,1.0,10.0,NYG 22,0.0,13.0,Daniel Jones scrambles up the middle for 11 yards (tackle by David Long and Kevin Byard),0.41,1.14,1.0,2022,13
2.0,0:24,,,,,,Timeout #1 by New York Giants,,,1.0,2022,13
2.0,0:24,1.0,10.0,NYG 33,0.0,13.0,"Daniel Jones pass complete short left to Saquon Barkley for no gain (tackle by David Long and Rashad Weaver). Penalty on Mark Glowinski: Offensive Holding, 10 yards (accepted) (no play)",1.14,0.48,1.0,2022,13
2.0,0:16,1.0,20.0,NYG 23,0.0,13.0,Daniel Jones pass complete short right to Kenny Golladay for 15 yards (tackle by Roger McCreary),0.48,1.27,1.0,2022,13
2.0,0:08,,,,,,Timeout #2 by New York Giants,,,1.0,2022,13
2.0,0:08,2.0,5.0,NYG 38,0.0,13.0,Daniel Jones pass complete deep right to Richie James for 16 yards (tackle by Joshua Kalu),1.27,2.52,1.0,2022,13
3.0,15:00,,,NYG 35,0.0,13.0,"Graham Gano kicks off 55 yards, returned by Trenton Cannon for 14 yards (tackle by Nick McCloud)",0.0,0.54,1.0,2022,13
3.0,14:55,1.0,10.0,TEN 24,0.0,13.0,Derrick Henry left tackle for 7 yards (tackle by Xavier McKinney and Oshane Ximines),0.54,0.94,1.0,2022,13
3.0,14:16,2.0,3.0,TEN 31,0.0,13.0,Derrick Henry right end for 2 yards (tackle by Dexter Lawrence and Oshane Ximines),0.94,0.5,1.0,2022,13
3.0,13:35,3.0,1.0,TEN 33,0.0,13.0,"Derrick Henry aborted snap, recovered by Derrick Henry at TEN-29 Derrick Henry for -2 yards (tackle by Austin Calitro and Tae Crowder)",0.5,-1.31,1.0,2022,13
3.0,12:58,4.0,3.0,TEN 31,0.0,13.0,"Ryan Stonehouse punts 62 yards, returned by Richie James for 3 yards (tackle by Tre Avery and Dontrell Hilliard)",-1.31,0.38,1.0,2022,13
3.0,12:45,1.0,10.0,NYG 10,0.0,13.0,Saquon Barkley left end for 68 yards (tackle by Kevin Byard),-0.38,4.11,1.0,2022,13
3.0,12:08,1.0,10.0,TEN 22,0.0,13.0,Matt Breida up the middle for 9 yards (tackle by Ugo Amadi and Kevin Byard),4.11,5.06,1.0,2022,13
3.0,11:39,2.0,1.0,TEN 13,0.0,13.0,"Matt Breida right tackle for 4 yards (tackle by Kevin Byard). Penalty on Denico Autry: Illegal Use of Hands / Defense, 5 yards (accepted)",5.06,6.28,1.0,2022,13
3.0,11:20,1.0,4.0,TEN 4,6.0,13.0,"Saquon Barkley up the middle for 4 yards, touchdown",6.28,7.0,1.0,2022,13
3.0,11:16,,,TEN 15,6.0,13.0,"Two Point Attempt: Jamie Gillan rushes, conversion fails.",1.0,-1.0,1.0,2022,13
3.0,11:16,,,NYG 35,6.0,13.0,"Graham Gano kicks off 64 yards, returned by Trenton Cannon for 19 yards (tackle by Cam Brown and Aaron Robinson). Penalty on Treylon Burks: Offensive Holding, 10 yards (accepted)",0.0,-0.38,1.0,2022,13
3.0,11:07,1.0,10.0,TEN 10,6.0,13.0,Dontrell Hilliard right end for 5 yards (tackle by Aaron Robinson and Oshane Ximines),-0.38,-0.35,1.0,2022,13
3.0,10:29,2.0,5.0,TEN 15,6.0,13.0,Dontrell Hilliard left end for 3 yards (tackle by Jihad Ward),-0.35,-0.48,1.0,2022,13
3.0,9:44,3.0,2.0,TEN 18,6.0,13.0,Ryan Tannehill pass incomplete short right intended for Dontrell Hilliard,-0.48,-2.24,1.0,2022,13
3.0,9:40,4.0,2.0,TEN 18,6.0,13.0,"Ryan Stonehouse punts 64 yards, returned by Richie James for 18 yards (tackle by Dylan Cole)",-2.24,-1.33,1.0,2022,13
3.0,9:28,1.0,10.0,NYG 36,6.0,13.0,Saquon Barkley right tackle for -1 yards (tackle by David Long and Jeffery Simmons),1.33,0.66,1.0,2022,13
3.0,8:58,2.0,11.0,NYG 35,12.0,13.0,"Daniel Jones pass complete deep left to Sterling Shepard for 65 yards, touchdown",0.66,7.0,1.0,2022,13
3.0,8:48,,,TEN 15,13.0,13.0,Graham Gano kicks extra point good,0.0,0.0,1.0,2022,13
3.0,8:48,,,NYG 35,13.0,13.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,13
3.0,8:48,1.0,10.0,TEN 25,13.0,13.0,Ryan Tannehill pass complete short right to Treylon Burks for 8 yards (tackle by Adoree' Jackson and Austin Calitro),0.61,1.14,1.0,2022,13
3.0,8:06,2.0,2.0,TEN 33,13.0,13.0,Ryan Tannehill pass complete deep middle to Kyle Philips for 20 yards (tackle by Darnay Holmes),1.14,2.46,1.0,2022,13
3.0,7:36,1.0,10.0,NYG 47,13.0,13.0,"Derrick Henry left guard for 2 yards (tackle by Adoree' Jackson). Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted)",2.46,1.93,1.0,2022,13
3.0,7:17,1.0,18.0,TEN 45,13.0,13.0,Ryan Tannehill pass complete short middle to Treylon Burks for 27 yards (tackle by Adoree' Jackson),1.93,3.71,1.0,2022,13
3.0,6:39,1.0,10.0,NYG 28,13.0,13.0,Derrick Henry left end for 5 yards (tackle by Aaron Robinson),3.71,3.84,1.0,2022,13
3.0,5:52,2.0,5.0,NYG 23,13.0,13.0,Ryan Tannehill sacked by Tomon Fox for no gain,3.84,3.14,1.0,2022,13
3.0,5:13,3.0,5.0,NYG 23,13.0,13.0,Ryan Tannehill pass complete short left to Kyle Philips for 5 yards (tackle by Julian Love),3.14,4.37,1.0,2022,13
3.0,5:13,1.0,10.0,NYG 18,13.0,13.0,"Penalty on TEN: Delay of Game, 5 yards (accepted) (no play)",4.37,4.04,1.0,2022,13
3.0,4:08,1.0,15.0,NYG 23,13.0,13.0,Derrick Henry left tackle for 5 yards (tackle by Tae Crowder and D.J. Davidson),4.04,3.8,1.0,2022,13
3.0,3:27,2.0,10.0,NYG 18,13.0,13.0,"Ryan Tannehill pass incomplete short right intended for Robert Woods. Penalty on Adoree' Jackson: Defensive Pass Interference, 5 yards (accepted) (no play)",3.8,4.71,1.0,2022,13
3.0,3:22,1.0,10.0,NYG 13,13.0,13.0,"Derrick Henry up the middle for no gain (tackle by Julian Love and Austin Calitro). Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted) (no play)",4.71,4.04,1.0,2022,13
3.0,3:00,1.0,20.0,NYG 23,13.0,19.0,"Ryan Tannehill pass complete short left to Dontrell Hilliard for 23 yards, touchdown",4.04,7.0,1.0,2022,13
3.0,2:54,,,NYG 15,13.0,20.0,Randy Bullock kicks extra point good,0.0,0.0,1.0,2022,13
3.0,2:54,,,TEN 35,13.0,20.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,13
3.0,2:54,1.0,10.0,NYG 25,13.0,20.0,Saquon Barkley left tackle for 2 yards (tackle by Zach Cunningham and Kevin Strong),0.61,0.33,1.0,2022,13
3.0,2:14,2.0,8.0,NYG 27,13.0,20.0,Saquon Barkley up the middle for 3 yards (tackle by Jeffery Simmons),0.33,0.04,1.0,2022,13
3.0,1:36,3.0,5.0,NYG 30,13.0,20.0,Daniel Jones sacked by Rashad Weaver for -2 yards,0.04,-1.5,1.0,2022,13
3.0,0:53,4.0,7.0,NYG 28,13.0,20.0,"Jamie Gillan punts 69 yards, returned by Kyle Philips for 11 yards (tackle by Julian Love)",-1.5,0.28,1.0,2022,13
3.0,0:42,1.0,10.0,TEN 14,13.0,20.0,"Penalty on Nicholas Petit-Frere: False Start, 5 yards (accepted) (no play)",-0.28,-0.57,1.0,2022,13
3.0,0:42,1.0,15.0,TEN 9,13.0,20.0,Derrick Henry up the middle for 3 yards (tackle by D.J. Davidson),-0.57,-0.93,1.0,2022,13
4.0,15:00,2.0,12.0,TEN 12,13.0,20.0,Ryan Tannehill pass complete short left to Kyle Philips for 9 yards (tackle by Darnay Holmes),-0.93,-0.56,1.0,2022,13
4.0,14:41,3.0,3.0,TEN 21,13.0,20.0,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Aaron Robinson),-0.56,-1.96,1.0,2022,13
4.0,14:36,4.0,3.0,TEN 21,13.0,20.0,"Ryan Stonehouse punts 66 yards, returned by Richie James for 2 yards (tackle by Tre Avery and Trenton Cannon)",-1.96,0.22,1.0,2022,13
4.0,14:23,1.0,10.0,NYG 15,13.0,20.0,Kadarius Toney left end for 19 yards (tackle by Kevin Byard),-0.22,1.2,1.0,2022,13
4.0,13:38,1.0,10.0,NYG 34,13.0,20.0,Daniel Jones pass complete short left to Saquon Barkley for 4 yards (tackle by Amani Hooker),1.2,1.2,1.0,2022,13
4.0,13:38,2.0,6.0,NYG 38,13.0,20.0,"Penalty on Ben Bredeson: False Start, 5 yards (accepted) (no play)",1.2,0.52,1.0,2022,13
4.0,13:05,2.0,11.0,NYG 33,13.0,20.0,Daniel Jones pass complete to Saquon Barkley for 6 yards (tackle by Ugo Amadi),0.52,0.63,1.0,2022,13
4.0,12:23,3.0,5.0,NYG 39,13.0,20.0,Daniel Jones pass complete short middle to Richie James for 6 yards (tackle by Kristian Fulton),0.63,1.93,1.0,2022,13
4.0,11:52,1.0,10.0,NYG 45,13.0,20.0,Saquon Barkley right end for -6 yards (tackle by Jeffery Simmons),1.93,0.57,1.0,2022,13
4.0,11:13,2.0,16.0,NYG 39,13.0,20.0,Daniel Jones pass complete short right to Sterling Shepard for 6 yards (tackle by Caleb Farley),0.57,0.7,1.0,2022,13
4.0,10:44,3.0,10.0,NYG 45,13.0,20.0,Daniel Jones pass incomplete deep right intended for Richie James,0.7,-0.39,1.0,2022,13
4.0,10:38,4.0,10.0,NYG 45,13.0,20.0,"Jamie Gillan punts 43 yards, recovered by Jason Pinnock at TEN-11",-0.39,4.84,1.0,2022,13
4.0,10:28,1.0,10.0,TEN 11,13.0,20.0,Daniel Jones left end for 2 yards (tackle by Ugo Amadi),4.84,4.51,1.0,2022,13
4.0,9:41,2.0,8.0,TEN 9,13.0,20.0,Saquon Barkley up the middle for 1 yard (tackle by Ugo Amadi),4.51,3.76,1.0,2022,13
4.0,8:55,3.0,7.0,TEN 8,13.0,20.0,Daniel Jones pass short left intended for Saquon Barkley is intercepted by Amani Hooker in end zone and returned for no gain,3.76,-0.28,1.0,2022,13
4.0,8:50,1.0,10.0,TEN 20,13.0,20.0,Derrick Henry for 1 yard (tackle by Oshane Ximines),0.28,-0.13,1.0,2022,13
4.0,8:21,2.0,9.0,TEN 21,13.0,20.0,"Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 19 yards (tackle by Austin Calitro) NYG challenged the runner was down by contact ruling, and the original play was overturned. Ryan Tannehill pass complete short left to Chigoziem Okonkwo for 11 yards (tackle by Julian Love)",-0.13,1.07,1.0,2022,13
4.0,8:00,1.0,10.0,TEN 32,13.0,20.0,Derrick Henry right end for 1 yard (tackle by Darnay Holmes and Julian Love),1.07,0.66,1.0,2022,13
4.0,7:15,2.0,9.0,TEN 33,13.0,20.0,Ryan Tannehill pass complete to Geoff Swaim for 8 yards (tackle by Leonard Williams and Austin Calitro),0.66,1.03,1.0,2022,13
4.0,6:26,3.0,1.0,TEN 41,13.0,20.0,Chigoziem Okonkwo left end for -4 yards (tackle by Austin Calitro and Tae Crowder),1.03,-0.91,1.0,2022,13
4.0,5:40,4.0,5.0,TEN 37,13.0,20.0,"Ryan Stonehouse punts 58 yards, returned by Richie James for 22 yards (tackle by Zach Cunningham)",-0.91,-0.74,1.0,2022,13
4.0,5:27,1.0,10.0,NYG 27,13.0,20.0,Saquon Barkley up the middle for 4 yards (tackle by Teair Tart and Jeffery Simmons),0.74,0.74,1.0,2022,13
4.0,5:01,2.0,6.0,NYG 31,13.0,20.0,Daniel Jones pass complete short right to Richie James for 7 yards (tackle by Kevin Byard),0.74,1.47,1.0,2022,13
4.0,4:31,1.0,10.0,NYG 38,13.0,20.0,Daniel Jones pass complete short left to Saquon Barkley for 3 yards (tackle by Zach Cunningham),1.47,1.33,1.0,2022,13
4.0,4:00,2.0,7.0,NYG 41,13.0,20.0,Saquon Barkley up the middle for 33 yards. Saquon Barkley fumbles (forced by Kristian Fulton). Saquon Barkley fumbles out of bounds,1.33,3.84,1.0,2022,13
4.0,3:27,1.0,10.0,TEN 26,13.0,20.0,Kadarius Toney left end for 4 yards (tackle by Kristian Fulton),3.84,3.84,1.0,2022,13
4.0,2:48,2.0,6.0,TEN 22,13.0,20.0,Matt Breida up the middle for 3 yards (tackle by Kevin Strong),3.84,3.57,1.0,2022,13
4.0,2:05,3.0,3.0,TEN 19,13.0,20.0,Daniel Jones left tackle for 2 yards (tackle by Kristian Fulton),3.57,2.46,1.0,2022,13
4.0,2:00,4.0,1.0,TEN 17,13.0,20.0,Daniel Jones left end for 2 yards (tackle by Denico Autry),2.46,4.58,1.0,2022,13
4.0,1:54,1.0,10.0,TEN 15,13.0,20.0,Saquon Barkley left guard for 5 yards (tackle by Rashad Weaver and Amani Hooker),4.58,4.84,1.0,2022,13
4.0,1:23,2.0,5.0,TEN 10,13.0,20.0,Saquon Barkley up the middle for 7 yards (tackle by Zach Cunningham and Kevin Byard),4.84,6.51,1.0,2022,13
4.0,1:16,,,,,,Timeout #1 by Tennessee Titans,,,1.0,2022,13
4.0,1:16,1.0,3.0,TEN 3,13.0,20.0,Saquon Barkley up the middle for 2 yards (tackle by Teair Tart and David Long),6.51,5.91,1.0,2022,13
4.0,1:09,,,,,,Timeout #2 by Tennessee Titans,,,1.0,2022,13
4.0,1:09,2.0,1.0,TEN 1,19.0,20.0,"Daniel Jones pass complete short right to Chris Myarick for 1 yard, touchdown",5.91,7.0,1.0,2022,13
4.0,1:06,,,TEN 2,21.0,20.0,Two Point Attempt: Daniel Jones pass complete to to Saquon Barkley for no gain,1.0,1.0,1.0,2022,13
4.0,1:06,,,NYG 35,21.0,20.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.94,1.0,2022,13
4.0,1:06,1.0,10.0,TEN 30,21.0,20.0,"Penalty on Taylor Lewan: False Start, 5 yards (accepted) (no play)",0.94,0.61,1.0,2022,13
4.0,1:06,1.0,15.0,TEN 25,21.0,20.0,Ryan Tannehill pass complete short left to Kyle Philips for 8 yards (tackle by Aaron Robinson),0.61,0.8,1.0,2022,13
4.0,0:45,2.0,7.0,TEN 33,21.0,20.0,Ryan Tannehill pass complete short left to Kyle Philips for 3 yards (tackle by Darnay Holmes),0.8,0.5,1.0,2022,13
4.0,0:41,3.0,4.0,TEN 36,21.0,20.0,"Ryan Tannehill pass incomplete short middle intended for Treylon Burks (defended by Jihad Ward). Penalty on Austin Calitro: Defensive Holding, 5 yards (accepted) (no play)",0.5,1.66,1.0,2022,13
4.0,0:37,1.0,10.0,TEN 41,21.0,20.0,Ryan Tannehill pass complete short right to Austin Hooper for 6 yards (tackle by Oshane Ximines),1.66,1.93,1.0,2022,13
4.0,0:33,2.0,4.0,TEN 47,21.0,20.0,Ryan Tannehill pass incomplete short left intended for Austin Hooper (defended by Oshane Ximines),1.93,1.22,1.0,2022,13
4.0,0:29,3.0,4.0,TEN 47,21.0,20.0,"Ryan Tannehill pass incomplete deep left intended for Kyle Philips. Penalty on Darnay Holmes: Defensive Holding, 5 yards (accepted) (no play)",1.22,2.39,1.0,2022,13
4.0,0:23,,,,,,Timeout #1 by New York Giants,,,1.0,2022,13
4.0,0:23,1.0,10.0,NYG 48,21.0,20.0,Ryan Tannehill pass complete deep left to Kyle Philips for 21 yards (tackle by Darnay Holmes),2.39,3.78,1.0,2022,13
4.0,0:18,,,,,,Timeout #3 by Tennessee Titans,,,1.0,2022,13
4.0,0:18,1.0,10.0,NYG 27,21.0,20.0,Ryan Tannehill right tackle for -2 yards (tackle by Justin Ellis),3.78,2.96,1.0,2022,13
4.0,0:04,2.0,12.0,NYG 29,21.0,20.0,Ryan Tannehill spiked the ball,2.96,2.28,1.0,2022,13
4.0,0:04,,,,,,Timeout #2 by New York Giants,,,1.0,2022,13
4.0,0:04,3.0,12.0,NYG 29,21.0,20.0,Randy Bullock 47 yard field goal no good,2.28,1.33,1.0,2022,13
