Quarter,Time,Down,ToGo,Location,KAN,ARI,Detail,EPB,EPA,week,year,game_id
1.0,7:43,1.0,10.0,KAN 14,7.0,0.0,Clyde Edwards-Helaire right tackle for 3 yards (tackle by Zach Allen and Budda Baker),-0.28,-0.37,1.0,2022,11
1.0,7:07,2.0,7.0,KAN 17,7.0,0.0,"Patrick Mahomes pass incomplete deep left intended for JuJu Smith-Schuster. Penalty on Zach Allen: Defensive Offside, 5 yards (declined) . Penalty on Zach Allen: Roughing the Passer, 15 yards (accepted) (no play)",-0.37,1.07,1.0,2022,11
1.0,7:01,1.0,10.0,KAN 32,7.0,0.0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 25 yards (tackle by Zaven Collins),1.07,2.72,1.0,2022,11
1.0,6:25,1.0,10.0,ARI 43,7.0,0.0,Marquez Valdes-Scantling left end for -3 yards (tackle by Zaven Collins),2.72,1.77,1.0,2022,11
1.0,5:45,2.0,13.0,ARI 46,7.0,0.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 20 yards (tackle by Jalen Thompson),1.77,3.84,1.0,2022,11
1.0,5:03,1.0,10.0,ARI 26,7.0,0.0,Patrick Mahomes pass complete short left to Travis Kelce for 7 yards (tackle by Nick Vigil and Marco Wilson),3.84,4.27,1.0,2022,11
1.0,4:24,2.0,3.0,ARI 19,7.0,0.0,"Clyde Edwards-Helaire up the middle for no gain (tackle by Rashard Lawrence and Zaven Collins). Penalty on Jonathan Ledbetter: Defensive Offside, 5 yards (accepted) (no play)",4.27,4.65,1.0,2022,11
1.0,4:03,1.0,10.0,ARI 14,7.0,0.0,Patrick Mahomes pass complete short middle to Travis Kelce for 11 yards (tackle by Budda Baker),4.65,6.51,1.0,2022,11
1.0,3:24,1.0,3.0,ARI 3,13.0,0.0,"Patrick Mahomes pass complete short middle to Clyde Edwards-Helaire for 3 yards, touchdown",6.51,7.0,1.0,2022,11
1.0,3:20,,,ARI 15,14.0,0.0,Justin Reid kicks extra point good,0.0,0.0,1.0,2022,11
1.0,3:20,,,KAN 35,14.0,0.0,"Justin Reid kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
1.0,3:20,1.0,10.0,ARI 25,14.0,0.0,James Conner up the middle for 2 yards (tackle by Michael Danna and Willie Gay),0.61,0.33,1.0,2022,11
1.0,2:44,2.0,8.0,ARI 27,14.0,0.0,Kyler Murray pass complete short right to James Conner for 11 yards (tackle by L'Jarius Sneed),0.33,1.47,1.0,2022,11
1.0,2:06,1.0,10.0,ARI 38,14.0,0.0,Kyler Murray pass incomplete short middle,1.47,0.92,1.0,2022,11
1.0,2:02,2.0,10.0,ARI 38,14.0,0.0,Kyler Murray pass complete short left to Marquise Brown for 9 yards (tackle by L'Jarius Sneed),0.92,1.42,1.0,2022,11
1.0,1:22,3.0,1.0,ARI 47,14.0,0.0,James Conner up the middle for 2 yards (tackle by Willie Gay and Michael Danna),1.42,2.19,1.0,2022,11
1.0,0:45,1.0,10.0,ARI 49,14.0,0.0,"Rodney Hudson aborted snap, recovered by Kyler Murray at ARI-41 Kyler Murray for no gain",2.19,0.57,1.0,2022,11
1.0,0:04,2.0,18.0,ARI 41,14.0,0.0,Kyler Murray pass complete deep right to Greg Dortch for 24 yards (tackle by Trent McDuffie),0.57,3.25,1.0,2022,11
2.0,15:00,1.0,10.0,KAN 35,14.0,0.0,Kyler Murray pass complete short left to Greg Dortch for 4 yards (tackle by L'Jarius Sneed),3.25,3.24,1.0,2022,11
2.0,14:28,2.0,6.0,KAN 31,14.0,0.0,James Conner up the middle for 8 yards (tackle by L'Jarius Sneed),3.24,4.04,1.0,2022,11
2.0,13:55,1.0,10.0,KAN 23,14.0,0.0,Kyler Murray up the middle for 21 yards (tackle by Rashad Fenton),4.04,6.74,1.0,2022,11
2.0,13:12,1.0,2.0,KAN 2,14.0,6.0,"James Conner up the middle for 2 yards, touchdown",6.74,7.0,1.0,2022,11
2.0,13:05,,,KAN 15,14.0,7.0,Matt Prater kicks extra point good,0.0,0.0,1.0,2022,11
2.0,13:05,,,ARI 35,14.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
2.0,13:05,1.0,10.0,KAN 25,14.0,7.0,Clyde Edwards-Helaire left tackle for 1 yard (tackle by Michael Dogbe and Budda Baker),0.61,0.2,1.0,2022,11
2.0,12:25,2.0,9.0,KAN 26,14.0,7.0,Patrick Mahomes pass complete short middle to Marquez Valdes-Scantling for 17 yards (tackle by Jalen Thompson),0.2,1.8,1.0,2022,11
2.0,11:47,1.0,10.0,KAN 43,14.0,7.0,Isiah Pacheco up the middle for no gain (tackle by Zaven Collins),1.8,1.25,1.0,2022,11
2.0,11:07,2.0,10.0,KAN 43,14.0,7.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 8 yards. JuJu Smith-Schuster fumbles (forced by Marco Wilson). JuJu Smith-Schuster fumbles out of bounds,1.25,1.62,1.0,2022,11
2.0,10:34,,,,,,Timeout #1 by Kansas City Chiefs,,,1.0,2022,11
2.0,10:34,3.0,2.0,ARI 49,14.0,7.0,"Patrick Mahomes pass complete short right to Mecole Hardman for 8 yards (tackle by Byron Murphy). Penalty on Jalen Thompson: Unnecessary Roughness / Defense, 15 yards (accepted)",1.62,3.84,1.0,2022,11
2.0,10:20,1.0,10.0,ARI 26,14.0,7.0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by Byron Murphy),3.84,4.27,1.0,2022,11
2.0,9:48,2.0,3.0,ARI 19,14.0,7.0,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Marco Wilson and Michael Dogbe),4.27,4.78,1.0,2022,11
2.0,9:01,1.0,10.0,ARI 12,14.0,7.0,Patrick Mahomes pass complete short left to Mecole Hardman for 6 yards (tackle by Nick Vigil),4.78,5.21,1.0,2022,11
2.0,8:16,2.0,4.0,ARI 6,14.0,7.0,Patrick Mahomes pass incomplete short left intended for Noah Gray (defended by Marco Wilson),5.21,4.38,1.0,2022,11
2.0,8:10,3.0,4.0,ARI 6,14.0,7.0,Isiah Pacheco left end for 2 yards (tackle by Budda Baker),4.38,3.04,1.0,2022,11
2.0,7:37,4.0,2.0,ARI 4,20.0,7.0,"Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 4 yards, touchdown",3.04,7.0,1.0,2022,11
2.0,7:32,,,ARI 15,20.0,7.0,Justin Reid kicks extra point no good,0.0,-1.0,1.0,2022,11
2.0,7:32,,,KAN 35,20.0,7.0,"Justin Reid kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
2.0,7:32,1.0,10.0,ARI 25,20.0,7.0,Kyler Murray pass complete short left to Greg Dortch for 3 yards (tackle by Rashad Fenton and Willie Gay),0.61,0.47,1.0,2022,11
2.0,6:58,2.0,7.0,ARI 28,20.0,7.0,Kyler Murray pass complete short right to James Conner for 3 yards (tackle by Nick Bolton),0.47,0.17,1.0,2022,11
2.0,6:18,3.0,4.0,ARI 31,20.0,7.0,Kyler Murray pass incomplete short right intended for A.J. Green (defended by Chris Jones),0.17,-1.31,1.0,2022,11
2.0,6:14,4.0,4.0,ARI 31,20.0,7.0,"Andy Lee punts 57 yards, returned by Skyy Moore for 13 yards (tackle by Stephen Anderson)",-1.31,-0.61,1.0,2022,11
2.0,6:03,1.0,10.0,KAN 25,20.0,7.0,Jerick McKinnon left tackle for 5 yards (tackle by Michael Dogbe and Budda Baker),0.61,0.74,1.0,2022,11
2.0,5:21,2.0,5.0,KAN 30,20.0,7.0,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by Zeke Turner),0.74,1.27,1.0,2022,11
2.0,4:37,1.0,10.0,KAN 35,20.0,7.0,Jerick McKinnon up the middle for 1 yard (tackle by Rashard Lawrence and Zaven Collins),1.27,0.86,1.0,2022,11
2.0,3:58,2.0,9.0,KAN 36,20.0,7.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 6 yards (tackle by Jalen Thompson),0.86,0.96,1.0,2022,11
2.0,3:15,3.0,3.0,KAN 42,20.0,7.0,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon,0.96,-0.59,1.0,2022,11
2.0,3:11,4.0,3.0,KAN 42,20.0,7.0,"Tommy Townsend punts 58 yards, touchback.",-0.59,-0.28,1.0,2022,11
2.0,3:03,1.0,10.0,ARI 20,20.0,7.0,James Conner left end for 6 yards (tackle by Rashad Fenton),0.28,0.54,1.0,2022,11
2.0,2:29,2.0,4.0,ARI 26,20.0,7.0,Kyler Murray pass complete deep left to Marquise Brown for 26 yards (tackle by Justin Reid),0.54,2.39,1.0,2022,11
2.0,2:00,1.0,10.0,KAN 48,20.0,7.0,"James Conner left end for -5 yards. James Conner fumbles (forced by Chris Jones), recovered by James Conner at ARI-47 (tackle by Chris Jones)",2.39,1.17,1.0,2022,11
2.0,1:28,2.0,15.0,ARI 47,20.0,7.0,"Kyler Murray pass complete short left to Greg Dortch for 19 yards (tackle by L'Jarius Sneed) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Kyler Murray pass incomplete short left intended for Greg Dortch (defended by L'Jarius Sneed)",1.17,0.5,1.0,2022,11
2.0,1:23,3.0,15.0,ARI 47,20.0,7.0,Kyler Murray pass incomplete deep left intended for Greg Dortch (defended by Rashad Fenton),0.5,-0.26,1.0,2022,11
2.0,1:20,4.0,15.0,ARI 47,20.0,7.0,"Andy Lee punts 41 yards, returned by Skyy Moore for 8 yards (tackle by Dennis Gardeck and Zeke Turner)",-0.26,-0.28,1.0,2022,11
2.0,1:05,1.0,10.0,KAN 20,20.0,7.0,"Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 19 yards. JuJu Smith-Schuster fumbles (forced by Dennis Gardeck), recovered by Byron Murphy at KC-42 (tackle by Dennis Gardeck)",0.28,-2.79,1.0,2022,11
2.0,0:58,1.0,10.0,KAN 42,20.0,7.0,Kyler Murray pass complete short left to Greg Dortch for 5 yards (tackle by L'Jarius Sneed),2.79,2.99,1.0,2022,11
2.0,0:53,2.0,4.0,KAN 37,20.0,7.0,Kyler Murray pass incomplete deep right intended for Andy Isabella (defended by Juan Thornhill),2.99,2.28,1.0,2022,11
2.0,0:46,3.0,4.0,KAN 37,20.0,7.0,Kyler Murray pass complete short left to Greg Dortch for 3 yards (tackle by Justin Reid),2.28,1.1,1.0,2022,11
2.0,0:40,,,,,,Timeout #1 by Arizona Cardinals,,,1.0,2022,11
2.0,0:40,4.0,1.0,KAN 34,20.0,7.0,Kyler Murray pass incomplete deep left intended for James Conner,1.1,-1.2,1.0,2022,11
2.0,0:35,1.0,10.0,KAN 34,20.0,7.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 12 yards (tackle by Jalen Thompson),1.2,1.99,1.0,2022,11
2.0,0:27,,,,,,Timeout #2 by Kansas City Chiefs,,,1.0,2022,11
2.0,0:27,1.0,10.0,KAN 46,20.0,7.0,Patrick Mahomes pass incomplete deep left intended for JuJu Smith-Schuster,1.99,1.45,1.0,2022,11
2.0,0:22,2.0,10.0,KAN 46,20.0,7.0,Patrick Mahomes pass complete short middle to Travis Kelce for 18 yards (tackle by Dennis Gardeck),1.45,3.18,1.0,2022,11
2.0,0:14,,,,,,Timeout #3 by Kansas City Chiefs,,,1.0,2022,11
2.0,0:14,1.0,10.0,ARI 36,20.0,7.0,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster (defended by Marco Wilson),3.18,2.64,1.0,2022,11
2.0,0:11,2.0,10.0,ARI 36,20.0,7.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,2.64,1.95,1.0,2022,11
2.0,0:07,3.0,10.0,ARI 36,23.0,7.0,Harrison Butker 54 yard field goal good,1.95,3.0,1.0,2022,11
2.0,0:02,,,KAN 35,23.0,7.0,"Justin Reid kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
2.0,0:02,1.0,10.0,ARI 25,23.0,7.0,Kyler Murray kneels for -1 yards,0.61,-0.07,1.0,2022,11
3.0,15:00,,,KAN 35,23.0,7.0,"Justin Reid kicks off 63 yards, returned by Eno Benjamin for 24 yards (tackle by Michael Burton and Justin Reid)",0.0,0.67,1.0,2022,11
3.0,14:53,1.0,10.0,ARI 26,23.0,7.0,James Conner up the middle for 1 yard (tackle by L'Jarius Sneed),0.67,0.2,1.0,2022,11
3.0,14:20,2.0,10.0,ARI 27,23.0,7.0,Kyler Murray pass complete short right to Greg Dortch for 10 yards (tackle by Willie Gay),0.2,1.4,1.0,2022,11
3.0,13:56,1.0,10.0,ARI 37,23.0,7.0,"Penalty on Kelvin Beachum: False Start, 5 yards (accepted) (no play)",1.4,1.07,1.0,2022,11
3.0,13:43,1.0,15.0,ARI 32,23.0,7.0,Kyler Murray pass incomplete short right intended for Zach Ertz,1.07,0.18,1.0,2022,11
3.0,13:36,2.0,15.0,ARI 32,23.0,7.0,Kyler Murray pass complete short right to A.J. Green for 5 yards (tackle by Nick Bolton),0.18,0.17,1.0,2022,11
3.0,13:03,3.0,10.0,ARI 37,23.0,7.0,Kyler Murray sacked by Carlos Dunlap for -11 yards,0.17,-1.63,1.0,2022,11
3.0,12:19,4.0,21.0,ARI 26,23.0,7.0,"Andy Lee punts 54 yards, returned by Skyy Moore for 5 yards (tackle by Victor Dimukeje and Zeke Turner)",-1.63,-0.61,1.0,2022,11
3.0,12:07,1.0,10.0,KAN 25,23.0,7.0,Patrick Mahomes pass complete deep left to Travis Kelce for 35 yards (tackle by Marco Wilson),0.61,2.92,1.0,2022,11
3.0,11:31,1.0,10.0,ARI 40,23.0,7.0,"Patrick Mahomes aborted snap, recovered by Clyde Edwards-Helaire at ARI-42 and returned for 4 yards (tackle by Zaven Collins and Michael Dogbe)",2.92,2.37,1.0,2022,11
3.0,10:51,2.0,10.0,ARI 40,23.0,7.0,Patrick Mahomes pass complete short left to Skyy Moore for 30 yards (tackle by Budda Baker),2.37,4.91,1.0,2022,11
3.0,10:07,1.0,10.0,ARI 10,23.0,7.0,"Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling. Penalty on Marco Wilson: Defensive Pass Interference, 9 yards (accepted) (no play)",4.91,6.97,1.0,2022,11
3.0,10:02,1.0,1.0,ARI 1,29.0,7.0,"Patrick Mahomes pass complete short left to Jody Fortson for 1 yard, touchdown",6.97,7.0,1.0,2022,11
3.0,9:55,,,ARI 15,30.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,1.0,2022,11
3.0,9:55,,,KAN 35,30.0,7.0,"Justin Reid kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
3.0,9:55,1.0,10.0,ARI 25,30.0,7.0,Kyler Murray pass incomplete deep middle intended for Marquise Brown (defended by Juan Thornhill),0.61,0.06,1.0,2022,11
3.0,9:48,2.0,10.0,ARI 25,30.0,7.0,Eno Benjamin up the middle for 5 yards (tackle by Nick Bolton),0.06,0.04,1.0,2022,11
3.0,9:10,3.0,5.0,ARI 30,30.0,7.0,Kyler Murray pass incomplete deep right intended for A.J. Green (defended by Jaylen Watson),0.04,-1.37,1.0,2022,11
3.0,9:04,4.0,5.0,ARI 30,30.0,7.0,"Andy Lee punts 51 yards, returned by Skyy Moore for 15 yards (tackle by Dennis Gardeck)",-1.37,-1.2,1.0,2022,11
3.0,8:49,1.0,10.0,KAN 34,30.0,7.0,Clyde Edwards-Helaire up the middle for 4 yards (tackle by Markus Golden),1.2,1.2,1.0,2022,11
3.0,8:10,2.0,6.0,KAN 38,30.0,7.0,Patrick Mahomes pass incomplete deep left intended for Mecole Hardman,1.2,0.5,1.0,2022,11
3.0,8:05,3.0,6.0,KAN 38,30.0,7.0,Patrick Mahomes pass complete short right to Travis Kelce for 26 yards (tackle by Isaiah Simmons),0.5,3.18,1.0,2022,11
3.0,7:21,1.0,10.0,ARI 36,30.0,7.0,Patrick Mahomes scrambles right end for 4 yards (tackle by Jalen Thompson),3.18,3.18,1.0,2022,11
3.0,6:38,2.0,6.0,ARI 32,30.0,7.0,Jerick McKinnon up the middle for 18 yards (tackle by Budda Baker),3.18,4.65,1.0,2022,11
3.0,5:55,1.0,10.0,ARI 14,30.0,7.0,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 7 yards (tackle by Budda Baker),4.65,5.28,1.0,2022,11
3.0,5:14,2.0,3.0,ARI 7,30.0,7.0,"Patrick Mahomes pass complete short left to Jody Fortson for no gain (tackle by Zaven Collins and Jonathan Ledbetter). Penalty on Creed Humphrey: Ineligible Downfield Pass, 5 yards (accepted) (no play)",5.28,4.33,1.0,2022,11
3.0,4:48,2.0,8.0,ARI 12,30.0,7.0,Patrick Mahomes pass complete short right to Noah Gray for 10 yards (tackle by Nick Vigil),4.33,6.74,1.0,2022,11
3.0,4:00,1.0,2.0,ARI 2,36.0,7.0,"Patrick Mahomes pass complete short left to Mecole Hardman for 2 yards, touchdown",6.74,7.0,1.0,2022,11
3.0,3:56,,,ARI 15,37.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,1.0,2022,11
3.0,3:56,,,KAN 35,37.0,7.0,"Justin Reid kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,11
3.0,3:58,1.0,10.0,ARI 25,37.0,7.0,Kyler Murray pass complete short middle to Zach Ertz for 8 yards (tackle by Nick Bolton),0.61,1.14,1.0,2022,11
3.0,3:31,2.0,2.0,ARI 33,37.0,7.0,Kyler Murray pass complete short left to James Conner for 3 yards (tackle by Willie Gay),1.14,1.33,1.0,2022,11
3.0,2:59,1.0,10.0,ARI 36,37.0,7.0,Kyler Murray pass complete short left to James Conner for 4 yards (tackle by Nick Bolton),1.33,1.33,1.0,2022,11
3.0,2:34,2.0,6.0,ARI 40,37.0,7.0,Kyler Murray pass complete short middle to James Conner for 8 yards (tackle by Bryan Cook),1.33,2.13,1.0,2022,11
3.0,1:55,1.0,10.0,ARI 48,37.0,7.0,Kyler Murray pass complete short middle to Eno Benjamin for 4 yards (tackle by L'Jarius Sneed),2.13,2.12,1.0,2022,11
3.0,1:30,2.0,6.0,KAN 48,37.0,7.0,Eno Benjamin up the middle for 16 yards (tackle by Rashad Fenton),2.12,3.45,1.0,2022,11
3.0,0:59,1.0,10.0,KAN 32,37.0,7.0,Eno Benjamin for no gain (tackle by Frank Clark),3.45,2.9,1.0,2022,11
3.0,0:28,2.0,10.0,KAN 32,37.0,7.0,Kyler Murray pass complete short right to Eno Benjamin for 7 yards (tackle by Nick Bolton),2.9,3.14,1.0,2022,11
4.0,15:00,3.0,3.0,KAN 25,37.0,7.0,James Conner up the middle for 1 yard (tackle by Nick Bolton and Carlos Dunlap),3.14,1.99,1.0,2022,11
4.0,14:20,4.0,2.0,KAN 24,37.0,7.0,Kyler Murray pass complete short left to Greg Dortch for 14 yards (tackle by Juan Thornhill and Rashad Fenton),1.99,4.91,1.0,2022,11
4.0,13:43,1.0,10.0,KAN 10,37.0,7.0,James Conner up the middle for 4 yards (tackle by Nick Bolton and Khalen Saunders),4.91,4.95,1.0,2022,11
4.0,13:09,2.0,6.0,KAN 6,37.0,7.0,Kyler Murray pass incomplete short left,4.95,4.04,1.0,2022,11
4.0,13:01,3.0,6.0,KAN 6,37.0,7.0,Kyler Murray pass incomplete short left intended for Zach Ertz (defended by George Karlaftis),4.04,2.99,1.0,2022,11
4.0,12:58,4.0,6.0,KAN 6,37.0,13.0,"Kyler Murray pass complete short left to Marquise Brown for 6 yards, touchdown",2.99,7.0,1.0,2022,11
4.0,12:52,,,KAN 2,37.0,15.0,Two Point Attempt: Kyler Murray pass complete to to Zach Ertz for no gain,1.0,1.0,1.0,2022,11
4.0,12:52,,,ARI 35,37.0,15.0,"Matt Prater kicks off 54 yards, returned by Skyy Moore for 23 yards (tackle by Zeke Turner)",0.0,1.2,1.0,2022,11
4.0,12:44,1.0,10.0,KAN 34,37.0,15.0,Isiah Pacheco up the middle for 11 yards (tackle by Jalen Thompson),1.2,1.93,1.0,2022,11
4.0,12:03,1.0,10.0,KAN 45,37.0,15.0,Isiah Pacheco up the middle for 5 yards (tackle by Leki Fotu),1.93,2.06,1.0,2022,11
4.0,11:25,2.0,5.0,ARI 50,37.0,15.0,Isiah Pacheco left tackle for 3 yards (tackle by Victor Dimukeje),2.06,1.75,1.0,2022,11
4.0,10:45,3.0,2.0,ARI 47,37.0,15.0,Patrick Mahomes pass complete short middle to Marquez Valdes-Scantling for 8 yards (tackle by Jalen Thompson),1.75,2.98,1.0,2022,11
4.0,10:04,1.0,10.0,ARI 39,37.0,15.0,Isiah Pacheco left tackle for 19 yards (tackle by Isaiah Simmons),2.98,4.24,1.0,2022,11
4.0,9:20,1.0,10.0,ARI 20,37.0,15.0,Patrick Mahomes pass incomplete short right intended for Justin Watson,4.24,3.69,1.0,2022,11
4.0,9:16,2.0,10.0,ARI 20,37.0,15.0,Isiah Pacheco right tackle for -1 yards (tackle by Zaven Collins and Budda Baker),3.69,2.87,1.0,2022,11
4.0,8:31,3.0,11.0,ARI 21,37.0,15.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 18 yards (tackle by Jalen Thompson),2.87,6.51,1.0,2022,11
4.0,7:43,1.0,3.0,ARI 3,43.0,15.0,"Isiah Pacheco right tackle for 3 yards, touchdown",6.51,7.0,1.0,2022,11
4.0,7:39,,,ARI 15,44.0,15.0,Harrison Butker kicks extra point good,0.0,0.0,1.0,2022,11
4.0,7:39,,,KAN 35,44.0,15.0,"Justin Reid kicks off 57 yards, returned by Eno Benjamin for 44 yards (tackle by Jaylen Watson and Justin Reid)",0.0,2.39,1.0,2022,11
4.0,7:30,1.0,10.0,KAN 48,44.0,15.0,Eno Benjamin left tackle for 7 yards (tackle by George Karlaftis),2.39,2.79,1.0,2022,11
4.0,6:58,2.0,3.0,KAN 41,44.0,15.0,Kyler Murray pass complete short middle to A.J. Green for 8 yards (tackle by Khalen Saunders),2.79,3.38,1.0,2022,11
4.0,6:25,1.0,10.0,KAN 33,44.0,15.0,Kyler Murray pass complete short right to Eno Benjamin for 22 yards (tackle by Deon Bush),3.38,4.84,1.0,2022,11
4.0,5:52,1.0,10.0,KAN 11,44.0,15.0,Kyler Murray pass incomplete short left intended for Marquise Brown,4.84,4.14,1.0,2022,11
4.0,5:49,2.0,10.0,KAN 11,44.0,15.0,James Conner up the middle for 5 yards (tackle by Carlos Dunlap),4.14,4.21,1.0,2022,11
4.0,5:15,3.0,5.0,KAN 6,44.0,21.0,"Kyler Murray pass complete short left to Zach Ertz for 6 yards, touchdown",4.21,7.0,1.0,2022,11
4.0,5:11,,,KAN 2,44.0,21.0,Two Point Attempt: Kyler Murray pass incomplete intended for A.J. Green,1.0,-1.0,1.0,2022,11
4.0,5:11,,,ARI 35,44.0,21.0,"Matt Prater kicks off 67 yards, returned by Isiah Pacheco for 22 yards (tackle by Jonathan Ward). Penalty on Darius Harris: Offensive Holding, 10 yards (accepted)",0.0,-0.38,1.0,2022,11
4.0,5:05,1.0,10.0,KAN 10,44.0,21.0,"Chad Henne fumbles, recovered by Chad Henne at KC-10 Isiah Pacheco for no gain (tackle by Zach Allen and Cameron Thomas)",-0.38,-0.78,1.0,2022,11
4.0,4:24,2.0,10.0,KAN 10,44.0,21.0,Isiah Pacheco up the middle for 22 yards (tackle by Jalen Thompson),-0.78,1.2,1.0,2022,11
4.0,3:33,1.0,10.0,KAN 34,44.0,21.0,Isiah Pacheco up the middle for 2 yards (tackle by Leki Fotu),1.2,0.8,1.0,2022,11
4.0,2:53,2.0,8.0,KAN 34,44.0,21.0,"Isiah Pacheco up the middle for -4 yards. Isiah Pacheco fumbles (forced by Rashard Lawrence), recovered by Isiah Pacheco at KC-30",0.8,-0.43,1.0,2022,11
4.0,2:13,3.0,12.0,KAN 30,44.0,21.0,Jerick McKinnon left tackle for -2 yards (tackle by Christian Matthew and Zaven Collins),-0.43,-1.5,1.0,2022,11
4.0,2:00,4.0,14.0,KAN 28,44.0,21.0,"Tommy Townsend punts 50 yards, returned by Greg Dortch for -1 yards (tackle by Elijah Lee and Jaylen Watson)",-1.5,-0.34,1.0,2022,11
4.0,1:46,1.0,10.0,ARI 21,44.0,21.0,Trace McSorley up the middle for 1 yard (tackle by Darius Harris),0.34,-0.07,1.0,2022,11
4.0,1:22,2.0,9.0,ARI 22,44.0,21.0,Trace McSorley pass incomplete short right intended for Andy Isabella,-0.07,-0.76,1.0,2022,11
4.0,1:18,3.0,9.0,ARI 22,44.0,21.0,Trace McSorley scrambles right end for 14 yards (tackle by Deon Bush),-0.76,1.33,1.0,2022,11
