Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA,week,year,game_id
1.0,7:37,3.0,7.0,CHI 35,0.0,0.0,Justin Fields pass short middle intended for Darnell Mooney is intercepted by Talanoa Hufanga at CHI-49 and returned for 1 yard (tackle by Dante Pettis),0.23,-2.39,1.0,2022,4
1.0,7:27,1.0,10.0,CHI 48,0.0,0.0,Elijah Mitchell right guard for 16 yards (tackle by Kindle Vildor),2.39,3.45,1.0,2022,4
1.0,6:46,1.0,10.0,CHI 32,0.0,0.0,Trey Lance pass incomplete deep left intended for Tyler Kroft,3.45,2.9,1.0,2022,4
1.0,6:40,2.0,10.0,CHI 32,0.0,0.0,Deebo Samuel right end for 3 yards (tackle by Trevis Gipson),2.9,2.61,1.0,2022,4
1.0,5:59,3.0,7.0,CHI 29,0.0,0.0,Trey Lance sacked by Dominique Robinson for -6 yards,2.61,0.97,1.0,2022,4
1.0,5:11,4.0,13.0,CHI 35,0.0,0.0,"Mitch Wishnowsky punts downed by Tarvarius Moore. Penalty on Taybor Pepper: Ineligible Downfield Kick, 5 yards (accepted) (no play)",0.97,0.59,1.0,2022,4
1.0,5:03,4.0,18.0,CHI 40,0.0,0.0,"Mitch Wishnowsky punts 32 yards, fair catch by Dante Pettis at CHI-8",0.59,0.38,1.0,2022,4
1.0,4:58,1.0,10.0,CHI 8,0.0,0.0,Khalil Herbert left tackle for 8 yards (tackle by Talanoa Hufanga and Tashaun Gipson),-0.38,-0.09,1.0,2022,4
1.0,4:21,2.0,2.0,CHI 16,0.0,0.0,"Justin Fields left end for -1 yards (tackle by Talanoa Hufanga). Penalty on Dre Greenlaw: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.09,0.94,1.0,2022,4
1.0,3:54,1.0,10.0,CHI 30,0.0,0.0,Justin Fields pass complete short left to Khalil Herbert for -2 yards (tackle by Talanoa Hufanga),0.94,0.12,1.0,2022,4
1.0,3:33,2.0,12.0,CHI 28,0.0,0.0,Khalil Herbert left guard for 4 yards (tackle by Talanoa Hufanga),0.12,-0.03,1.0,2022,4
1.0,2:51,3.0,8.0,CHI 32,0.0,0.0,Justin Fields sacked by Nick Bosa for -6 yards,-0.03,-1.63,1.0,2022,4
1.0,2:18,4.0,14.0,CHI 26,0.0,0.0,"Penalty on Sterling Weatherford: False Start, 5 yards (accepted) (no play)",-1.63,-1.96,1.0,2022,4
1.0,2:11,4.0,19.0,CHI 21,0.0,0.0,"Trenton Gill punts 43 yards, fair catch by Ray-Ray McCloud at SF-36",-1.96,-1.33,1.0,2022,4
1.0,2:05,1.0,10.0,SFO 36,0.0,0.0,Elijah Mitchell left tackle for 2 yards (tackle by Armon Watts),1.33,1.06,1.0,2022,4
1.0,1:30,2.0,8.0,SFO 38,0.0,0.0,Elijah Mitchell right tackle for 5 yards (tackle by Mike Pennel),1.06,1.03,1.0,2022,4
1.0,0:49,3.0,3.0,SFO 43,0.0,0.0,Trey Lance pass incomplete short middle intended for Jauan Jennings,1.03,-0.52,1.0,2022,4
1.0,0:44,4.0,3.0,SFO 43,0.0,0.0,"Mitch Wishnowsky punts 51 yards, returned by Dante Pettis for no gain (tackle by Tarvarius Moore)",-0.52,0.38,1.0,2022,4
1.0,0:34,1.0,10.0,CHI 6,0.0,0.0,David Montgomery left guard for 2 yards (tackle by Dre Greenlaw),-0.38,-0.63,1.0,2022,4
2.0,15:00,2.0,8.0,CHI 8,0.0,0.0,David Montgomery right tackle for no gain (tackle by Dre Greenlaw and Fred Warner),-0.63,-1.19,1.0,2022,4
2.0,14:22,3.0,8.0,CHI 8,0.0,0.0,David Montgomery right guard for 2 yards (tackle by Drake Jackson and Dre Greenlaw),-1.19,-2.49,1.0,2022,4
2.0,13:57,4.0,6.0,CHI 10,0.0,0.0,"Trenton Gill punts 58 yards, returned by Ray-Ray McCloud for 16 yards (tackle by Ryan Griffin)",-2.49,-2.13,1.0,2022,4
2.0,13:43,1.0,10.0,SFO 48,0.0,0.0,Elijah Mitchell right end for 6 yards (tackle by Jaquan Brisker),2.13,2.39,1.0,2022,4
2.0,13:17,2.0,4.0,CHI 46,0.0,0.0,Trey Lance pass complete deep left to Ray-Ray McCloud for 20 yards (tackle by Jaylon Johnson),2.39,3.84,1.0,2022,4
2.0,12:53,1.0,10.0,CHI 26,0.0,0.0,Elijah Mitchell left tackle for 11 yards (tackle by Eddie Jackson),3.84,4.58,1.0,2022,4
2.0,12:18,1.0,10.0,CHI 15,0.0,0.0,Elijah Mitchell left guard for 1 yard (tackle by Robert Quinn),4.58,4.11,1.0,2022,4
2.0,11:40,2.0,9.0,CHI 14,0.0,0.0,Trey Lance right guard for 6 yards (tackle by Matthew Adams),4.11,4.45,1.0,2022,4
2.0,11:00,,,,,,Timeout #1 by San Francisco 49ers,,,1.0,2022,4
2.0,11:00,3.0,3.0,CHI 8,0.0,0.0,"Penalty on Justin Jones: Neutral Zone Infraction, 4 yards (accepted) (no play)",4.45,6.28,1.0,2022,4
2.0,11:00,1.0,4.0,CHI 4,0.0,0.0,Deebo Samuel left end for -2 yards (tackle by Jaylon Johnson and Matthew Adams),6.28,4.95,1.0,2022,4
2.0,10:18,2.0,6.0,CHI 6,6.0,0.0,"Deebo Samuel right end for 6 yards, touchdown",4.95,7.0,1.0,2022,4
2.0,10:11,,,CHI 15,7.0,0.0,Robbie Gould kicks extra point good,0.0,0.0,1.0,2022,4
2.0,10:11,,,SFO 35,7.0,0.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,4
2.0,10:11,1.0,10.0,CHI 25,7.0,0.0,David Montgomery left end for -2 yards (tackle by Dre Greenlaw),0.61,-0.21,1.0,2022,4
2.0,9:32,2.0,12.0,CHI 23,7.0,0.0,Justin Fields pass incomplete short right intended for Equanimeous St. Brown (defended by Charvarius Ward),-0.21,-0.89,1.0,2022,4
2.0,9:28,3.0,12.0,CHI 23,7.0,0.0,Justin Fields pass complete short left to David Montgomery for 5 yards (tackle by Nick Bosa),-0.89,-1.5,1.0,2022,4
2.0,8:56,4.0,7.0,CHI 28,7.0,0.0,"Trenton Gill punts 55 yards, returned by Ray-Ray McCloud for 7 yards (tackle by Matthew Adams)",-1.5,-0.54,1.0,2022,4
2.0,8:43,1.0,10.0,SFO 24,7.0,0.0,Jeff Wilson right guard for 5 yards (tackle by Nicholas Morrow),0.54,0.67,1.0,2022,4
2.0,8:08,2.0,5.0,SFO 29,7.0,0.0,Deebo Samuel right end for 2 yards (tackle by Kyler Gordon),0.67,0.23,1.0,2022,4
2.0,7:28,3.0,3.0,SFO 31,7.0,0.0,"Trey Lance pass complete short left to Brandon Aiyuk for no gain (tackle by Jaylon Johnson). Penalty on Brandon Aiyuk: Offensive Pass Interference, 10 yards (accepted) (no play)",0.23,-1.09,1.0,2022,4
2.0,7:02,3.0,13.0,SFO 21,7.0,0.0,Trey Lance right guard for 13 yards (tackle by Dominique Robinson and Eddie Jackson),-1.09,1.2,1.0,2022,4
2.0,6:11,1.0,10.0,SFO 34,7.0,0.0,Jeff Wilson right tackle for 1 yard (tackle by Trevis Gipson and Roquan Smith),1.2,0.79,1.0,2022,4
2.0,5:34,2.0,9.0,SFO 35,7.0,0.0,Trey Lance pass incomplete short left intended for Deebo Samuel (defended by Trevis Gipson),0.79,0.1,1.0,2022,4
2.0,5:28,3.0,9.0,SFO 35,7.0,0.0,Trey Lance pass complete short right to Jeff Wilson for 6 yards (tackle by Nicholas Morrow),0.1,-0.65,1.0,2022,4
2.0,4:52,4.0,3.0,SFO 41,7.0,0.0,Mitch Wishnowsky punts 35 yards downed by George Odum,-0.65,-0.54,1.0,2022,4
2.0,4:42,1.0,10.0,CHI 24,7.0,0.0,Justin Fields scrambles left end for 8 yards (tackle by Fred Warner),0.54,1.08,1.0,2022,4
2.0,4:16,2.0,2.0,CHI 32,7.0,0.0,Justin Fields left tackle for 3 yards (tackle by Drake Jackson),1.08,1.27,1.0,2022,4
2.0,3:36,1.0,10.0,CHI 35,7.0,0.0,"Justin Fields pass incomplete. Penalty on Kevin Givens: Defensive Offside, 5 yards (accepted) (no play)",1.27,2.0,1.0,2022,4
2.0,3:35,1.0,5.0,CHI 40,7.0,0.0,Khalil Herbert right guard for 1 yard (tackle by Talanoa Hufanga),2.0,1.53,1.0,2022,4
2.0,2:58,2.0,4.0,CHI 41,7.0,0.0,Justin Fields pass incomplete short right intended for Cole Kmet,1.53,0.83,1.0,2022,4
2.0,2:54,3.0,4.0,CHI 41,7.0,0.0,Khalil Herbert right guard for 12 yards (tackle by Talanoa Hufanga),0.83,2.46,1.0,2022,4
2.0,2:15,1.0,10.0,SFO 47,7.0,0.0,Khalil Herbert right tackle for 2 yards (tackle by Talanoa Hufanga and Nick Bosa),2.46,2.18,1.0,2022,4
2.0,2:00,2.0,8.0,SFO 45,7.0,0.0,Justin Fields left end for 12 yards (tackle by Fred Warner),2.18,3.38,1.0,2022,4
2.0,1:18,1.0,10.0,SFO 33,7.0,0.0,Justin Fields scrambles right end for 3 yards (tackle by Hassan Ridgeway),3.38,3.24,1.0,2022,4
2.0,1:06,2.0,7.0,SFO 30,7.0,0.0,David Montgomery right tackle for 1 yard (tackle by Nick Bosa),3.24,2.68,1.0,2022,4
2.0,0:38,,,,,,Timeout #1 by Chicago Bears,,,1.0,2022,4
2.0,0:38,3.0,6.0,SFO 29,7.0,0.0,Justin Fields pass incomplete deep right intended for Byron Pringle,2.68,1.52,1.0,2022,4
2.0,0:32,4.0,6.0,SFO 29,7.0,0.0,"Penalty on Trenton Gill: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",1.52,0.33,1.0,2022,4
2.0,0:32,4.0,21.0,SFO 44,7.0,0.0,"Trenton Gill punts 35 yards, fair catch by Ray-Ray McCloud at SF-9",0.33,0.38,1.0,2022,4
2.0,0:25,1.0,10.0,SFO 9,7.0,0.0,Deebo Samuel left tackle for 27 yards (tackle by Kyler Gordon),-0.38,1.33,1.0,2022,4
2.0,0:18,,,,,,Timeout #2 by San Francisco 49ers,,,1.0,2022,4
2.0,0:18,1.0,10.0,SFO 36,7.0,0.0,Trey Lance pass complete short right to Jauan Jennings for -2 yards (tackle by Kyler Gordon),1.33,0.52,1.0,2022,4
2.0,0:10,2.0,12.0,SFO 34,7.0,0.0,Trey Lance pass complete short middle to Tyler Kroft for 9 yards (tackle by Roquan Smith),0.52,1.03,1.0,2022,4
2.0,0:04,,,,,,Timeout #3 by San Francisco 49ers,,,1.0,2022,4
2.0,0:04,3.0,3.0,SFO 43,7.0,0.0,Trey Lance pass incomplete short left intended for Deebo Samuel,1.03,-0.52,1.0,2022,4
3.0,15:00,,,CHI 35,7.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,4
3.0,15:00,1.0,10.0,SFO 25,7.0,0.0,Deebo Samuel left end for 11 yards (tackle by Jaquan Brisker and Jaylon Johnson),0.61,1.33,1.0,2022,4
3.0,14:13,1.0,10.0,SFO 36,7.0,0.0,Trey Lance pass incomplete short left intended for Deebo Samuel,1.33,0.79,1.0,2022,4
3.0,14:06,2.0,10.0,SFO 36,7.0,0.0,Jeff Wilson right end for 4 yards (tackle by Eddie Jackson),0.79,0.63,1.0,2022,4
3.0,13:28,3.0,6.0,SFO 40,7.0,0.0,Trey Lance pass complete deep left to Jauan Jennings for 44 yards (tackle by Kyler Gordon),0.63,4.51,1.0,2022,4
3.0,12:50,1.0,10.0,CHI 16,7.0,0.0,Trey Lance right end for 6 yards (tackle by Kyler Gordon),4.51,4.97,1.0,2022,4
3.0,12:03,2.0,4.0,CHI 10,7.0,0.0,Jeff Wilson right end for 2 yards (tackle by Matthew Adams),4.97,4.62,1.0,2022,4
3.0,11:20,3.0,2.0,CHI 8,7.0,0.0,Trey Lance left guard for 3 yards (tackle by Roquan Smith),4.62,6.06,1.0,2022,4
3.0,10:37,1.0,5.0,CHI 5,7.0,0.0,Jeff Wilson right guard for 3 yards (tackle by Roquan Smith),6.06,5.72,1.0,2022,4
3.0,10:01,2.0,2.0,CHI 2,7.0,0.0,Jeff Wilson left tackle for -2 yards (tackle by Jaquan Brisker),5.72,4.49,1.0,2022,4
3.0,9:11,3.0,4.0,CHI 4,7.0,0.0,Trey Lance sacked by and Dominique Robinson for -3 yards and Roquan Smith for -3 yards,4.49,2.97,1.0,2022,4
3.0,8:26,4.0,7.0,CHI 7,10.0,0.0,Robbie Gould 25 yard field goal good,2.97,3.0,1.0,2022,4
3.0,8:22,,,SFO 35,10.0,0.0,"Robbie Gould kicks off 67 yards, returned by Trestan Ebner for 30 yards (tackle by Jordan Mason)",0.0,0.81,1.0,2022,4
3.0,8:14,1.0,10.0,CHI 28,10.0,0.0,David Montgomery right tackle for 3 yards (tackle by Charvarius Ward),0.81,0.67,1.0,2022,4
3.0,7:38,2.0,7.0,CHI 31,10.0,0.0,Justin Fields pass complete short middle to David Montgomery for 3 yards (tackle by Talanoa Hufanga and Azeez Al-Shaair),0.67,0.37,1.0,2022,4
3.0,6:52,3.0,4.0,CHI 34,10.0,0.0,"David Montgomery left guard for no gain (tackle by Tashaun Gipson). Penalty on Dre Greenlaw: Face Mask (15 Yards), 15 yards (accepted) (no play)",0.37,2.19,1.0,2022,4
3.0,6:23,1.0,10.0,CHI 49,10.0,0.0,Justin Fields pass incomplete short right intended for Equanimeous St. Brown,2.19,1.65,1.0,2022,4
3.0,6:19,2.0,10.0,CHI 49,10.0,0.0,David Montgomery right guard for no gain (tackle by Talanoa Hufanga),1.65,0.96,1.0,2022,4
3.0,5:45,3.0,10.0,CHI 49,10.0,6.0,"Justin Fields pass complete deep right to Dante Pettis for 51 yards, touchdown",0.96,7.0,1.0,2022,4
3.0,5:32,,,SFO 15,10.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,1.0,2022,4
3.0,5:32,,,CHI 35,10.0,7.0,"Cairo Santos kicks off 66 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Jaylon Jones)",0.0,0.28,1.0,2022,4
3.0,5:27,1.0,10.0,SFO 20,10.0,7.0,Jeff Wilson right guard for 4 yards (tackle by Nicholas Morrow),0.28,0.27,1.0,2022,4
3.0,4:43,2.0,6.0,SFO 24,10.0,7.0,Deebo Samuel left end for 1 yard (tackle by Al-Quadin Muhammad),0.27,-0.3,1.0,2022,4
3.0,4:00,3.0,5.0,SFO 25,10.0,7.0,Trey Lance pass complete short middle to Jauan Jennings for 7 yards (tackle by Kyler Gordon),-0.3,1.07,1.0,2022,4
3.0,3:21,1.0,10.0,SFO 32,10.0,7.0,Jeff Wilson right guard for 1 yard (tackle by Armon Watts and Nicholas Morrow),1.07,0.66,1.0,2022,4
3.0,2:36,2.0,9.0,SFO 33,10.0,7.0,"Trey Lance pass incomplete short right. Penalty on Jake Brendel: Ineligible Downfield Pass, 5 yards (declined)",0.66,-0.03,1.0,2022,4
3.0,2:31,3.0,9.0,SFO 33,10.0,7.0,Trey Lance scrambles left end for 8 yards (tackle by Roquan Smith),-0.03,-0.65,1.0,2022,4
3.0,1:44,4.0,1.0,SFO 41,10.0,7.0,"Mitch Wishnowsky punts 43 yards, fair catch by Dante Pettis at CHI-16",-0.65,0.14,1.0,2022,4
3.0,1:37,1.0,10.0,CHI 16,10.0,7.0,Justin Fields pass complete deep right to Byron Pringle for 22 yards,-0.14,1.47,1.0,2022,4
3.0,1:04,1.0,10.0,CHI 38,10.0,7.0,Justin Fields pass incomplete deep left intended for Ryan Griffin,1.47,0.92,1.0,2022,4
3.0,0:58,2.0,10.0,CHI 38,10.0,7.0,David Montgomery left guard for 1 yard (tackle by Fred Warner),0.92,0.37,1.0,2022,4
3.0,0:14,3.0,9.0,CHI 39,10.0,7.0,Justin Fields scrambles right end for 5 yards (tackle by Dre Greenlaw),0.37,0.0,1.0,2022,4
3.0,0:14,,,CHI 0,10.0,7.0,"Penalty on Charvarius Ward: Defensive Holding, 5 yards (accepted)",0.0,2.19,1.0,2022,4
4.0,15:00,1.0,10.0,CHI 49,10.0,7.0,David Montgomery left end for 6 yards (tackle by Hassan Ridgeway),2.19,2.46,1.0,2022,4
4.0,14:19,2.0,4.0,SFO 45,10.0,7.0,David Montgomery left guard for 3 yards (tackle by Azeez Al-Shaair and Hassan Ridgeway),2.46,2.15,1.0,2022,4
4.0,13:37,3.0,1.0,SFO 42,10.0,7.0,"Justin Fields right end for 1 yard (tackle by Azeez Al-Shaair). Penalty on Azeez Al-Shaair: Personal Foul / Defense, 15 yards (accepted)",2.15,3.84,1.0,2022,4
4.0,13:18,1.0,10.0,SFO 26,10.0,7.0,Justin Fields pass incomplete deep right intended for Darnell Mooney,3.84,3.3,1.0,2022,4
4.0,13:14,2.0,10.0,SFO 26,10.0,7.0,Justin Fields pass complete short left to Darnell Mooney for 8 yards (tackle by Emmanuel Moseley),3.3,3.75,1.0,2022,4
4.0,12:46,3.0,2.0,SFO 18,10.0,13.0,"Justin Fields pass complete deep middle to Equanimeous St. Brown for 18 yards, touchdown",3.75,7.0,1.0,2022,4
4.0,12:45,,,SFO 15,10.0,13.0,Cairo Santos kicks extra point no good,0.0,-1.0,1.0,2022,4
4.0,12:45,,,CHI 35,10.0,13.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,4
4.0,12:45,1.0,10.0,SFO 25,10.0,13.0,Trey Lance pass incomplete short right,0.61,0.06,1.0,2022,4
4.0,12:40,,,,,,Timeout #1 by San Francisco 49ers,,,1.0,2022,4
4.0,12:40,2.0,10.0,SFO 25,10.0,13.0,"Trey Lance pass incomplete short left intended for Jauan Jennings. Penalty on Spencer Burford: False Start, 5 yards (accepted) (no play)",0.06,-0.61,1.0,2022,4
4.0,12:40,2.0,15.0,SFO 20,10.0,13.0,Trey Lance scrambles right tackle for 5 yards (tackle by Roquan Smith),-0.61,-0.62,1.0,2022,4
4.0,11:57,3.0,10.0,SFO 25,10.0,13.0,Trey Lance pass complete short middle to Ross Dwelley for 11 yards (tackle by Roquan Smith),-0.62,1.33,1.0,2022,4
4.0,11:17,1.0,10.0,SFO 36,10.0,13.0,Trey Lance scrambles left guard for 1 yard (tackle by Jaquan Brisker),1.33,0.93,1.0,2022,4
4.0,10:36,2.0,9.0,SFO 37,10.0,13.0,Jeff Wilson right end for 4 yards (tackle by Dominique Robinson),0.93,0.76,1.0,2022,4
4.0,9:53,3.0,5.0,SFO 41,10.0,13.0,Trey Lance pass short middle intended for Jauan Jennings is intercepted by Eddie Jackson at SF-47 and returned for 26 yards (tackle by Trey Lance),0.76,-4.17,1.0,2022,4
4.0,9:42,1.0,10.0,SFO 21,10.0,13.0,Khalil Herbert left guard for 10 yards (tackle by Tashaun Gipson),4.17,4.84,1.0,2022,4
4.0,9:04,1.0,10.0,SFO 11,10.0,13.0,Justin Fields left guard for -1 yards (tackle by Talanoa Hufanga),4.84,3.86,1.0,2022,4
4.0,8:16,2.0,12.0,SFO 12,10.0,13.0,"Khalil Herbert left guard for 5 yards (tackle by Nick Bosa). Penalty on Javon Kinlaw: Defensive Holding, 4 yards (accepted)",3.86,6.51,1.0,2022,4
4.0,8:00,1.0,3.0,SFO 3,10.0,13.0,Khalil Herbert left tackle for no gain (tackle by Emmanuel Moseley),6.51,5.53,1.0,2022,4
4.0,7:25,2.0,3.0,SFO 3,10.0,19.0,"Khalil Herbert right guard for 3 yards, touchdown",5.53,7.0,1.0,2022,4
4.0,7:21,,,SFO 15,10.0,19.0,Cairo Santos kicks extra point no good,0.0,-1.0,1.0,2022,4
4.0,7:21,,,CHI 35,10.0,19.0,"Cairo Santos kicks off 66 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Khalil Herbert). Penalty on Jordan Mason: Defensive Holding, 10 yards (accepted)",0.0,-0.38,1.0,2022,4
4.0,7:15,1.0,10.0,SFO 10,10.0,19.0,Trey Lance pass incomplete short middle intended for Deebo Samuel,-0.38,-0.78,1.0,2022,4
4.0,7:09,2.0,10.0,SFO 10,10.0,19.0,Trey Lance pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Kindle Vildor),-0.78,-0.37,1.0,2022,4
4.0,6:34,3.0,1.0,SFO 19,10.0,19.0,Trey Lance right guard for 3 yards (tackle by Nicholas Morrow),-0.37,0.41,1.0,2022,4
4.0,6:05,1.0,10.0,SFO 22,10.0,19.0,Trey Lance pass incomplete deep middle intended for Deebo Samuel (defended by Roquan Smith),0.41,-0.13,1.0,2022,4
4.0,5:57,2.0,10.0,SFO 22,10.0,19.0,Trey Lance pass complete short left to Deebo Samuel for 8 yards (tackle by Eddie Jackson and Justin Jones),-0.13,0.23,1.0,2022,4
4.0,5:24,3.0,2.0,SFO 30,10.0,19.0,Trey Lance left guard for 3 yards (tackle by Trevis Gipson),0.23,1.14,1.0,2022,4
4.0,4:56,1.0,10.0,SFO 33,10.0,19.0,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",1.14,0.81,1.0,2022,4
4.0,4:56,1.0,15.0,SFO 28,10.0,19.0,Trey Lance pass complete short right to Jauan Jennings for 13 yards (tackle by Kindle Vildor),0.81,1.67,1.0,2022,4
4.0,4:34,2.0,2.0,SFO 41,10.0,19.0,Trey Lance scrambles for 3 yards (tackle by Nicholas Morrow),1.67,1.86,1.0,2022,4
4.0,4:17,1.0,10.0,SFO 44,10.0,19.0,Trey Lance pass incomplete short right intended for Ross Dwelley,1.86,1.32,1.0,2022,4
4.0,4:12,2.0,10.0,SFO 44,10.0,19.0,Trey Lance pass complete short right to Jeff Wilson for 2 yards (tackle by Dominique Robinson),1.32,0.89,1.0,2022,4
4.0,3:49,3.0,8.0,SFO 46,10.0,19.0,Trey Lance pass incomplete short middle intended for Ray-Ray McCloud,0.89,-0.32,1.0,2022,4
4.0,3:43,4.0,8.0,SFO 46,10.0,19.0,Trey Lance pass incomplete short right intended for Kyle Juszczyk,-0.32,-2.59,1.0,2022,4
4.0,3:38,1.0,10.0,SFO 45,10.0,19.0,David Montgomery left guard for 1 yard (tackle by Charvarius Ward and Azeez Al-Shaair),2.59,2.25,1.0,2022,4
4.0,3:32,,,,,,Timeout #2 by San Francisco 49ers,,,1.0,2022,4
4.0,3:32,2.0,8.0,SFO 44,10.0,19.0,David Montgomery right guard for -2 yards (tackle by Arik Armstead),2.25,1.29,1.0,2022,4
4.0,3:05,,,,,,Timeout #3 by San Francisco 49ers,,,1.0,2022,4
4.0,3:05,3.0,10.0,SFO 46,10.0,19.0,David Montgomery left end for 1 yard (tackle by Azeez Al-Shaair),1.29,0.27,1.0,2022,4
4.0,2:37,4.0,9.0,SFO 45,10.0,19.0,"Penalty on CHI: Delay of Game, 5 yards (declined) (no play)",0.27,0.27,1.0,2022,4
4.0,2:37,4.0,9.0,SFO 45,10.0,19.0,"Trenton Gill punts 45 yards, touchback.",0.27,-0.28,1.0,2022,4
4.0,2:29,1.0,10.0,SFO 20,10.0,19.0,Trey Lance pass incomplete short left intended for Kyle Juszczyk,0.28,-0.27,1.0,2022,4
4.0,2:24,2.0,10.0,SFO 20,10.0,19.0,"Trey Lance aborted snap, recovered by Trey Lance at SF-20 and returned for -5 yards Trey Lance for no gain (tackle by Dominique Robinson)",-0.27,-0.96,1.0,2022,4
4.0,2:00,3.0,10.0,SFO 20,10.0,19.0,Trey Lance left guard for 1 yard (tackle by Dominique Robinson and Robert Quinn),-0.96,-1.96,1.0,2022,4
4.0,1:36,4.0,9.0,SFO 21,10.0,19.0,Trey Lance pass incomplete deep middle intended for Brandon Aiyuk,-1.96,-4.24,1.0,2022,4
4.0,1:29,1.0,10.0,SFO 20,10.0,19.0,Justin Fields kneels for no gain,4.24,3.76,1.0,2022,4
4.0,0:42,2.0,9.0,SFO 20,10.0,19.0,Justin Fields kneels for -1 yards,3.76,2.94,1.0,2022,4
4.0,0:33,3.0,10.0,SFO 21,10.0,19.0,Justin Fields kneels for -1 yards,2.94,1.99,1.0,2022,4
