Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA,week,year,game_id
1.0,1:17,2.0,5.0,CAR 10,0.0,0.0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Jadeveon Clowney),-0.42,-0.84,1.0,2022,3
1.0,1:11,3.0,5.0,CAR 10,0.0,0.0,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)",-0.84,-1.42,1.0,2022,3
1.0,1:11,3.0,10.0,CAR 5,0.0,0.0,"Baker Mayfield pass incomplete short right intended for Tommy Tremble. Penalty on Taven Bryan: Roughing the Passer, 15 yards (accepted) (no play)",-1.42,0.28,1.0,2022,3
1.0,1:06,1.0,10.0,CAR 20,0.0,0.0,"Baker Mayfield aborted snap, recovered by Baker Mayfield at CAR-18 and returned for 2 yards Baker Mayfield pass complete to Robbie Anderson for 3 yards (tackle by Martin Emerson)",0.28,0.14,1.0,2022,3
1.0,0:40,2.0,7.0,CAR 23,0.0,0.0,Baker Mayfield pass incomplete deep right intended for Robbie Anderson,0.14,-0.56,1.0,2022,3
1.0,0:16,3.0,7.0,CAR 23,0.0,0.0,Baker Mayfield sacked by and John Johnson for -8 yards and Ronnie Harrison for -8 yards,-0.56,-2.49,1.0,2022,3
2.0,15:00,4.0,22.0,CAR 8,0.0,0.0,"Johnny Hekker punts 48 yards, recovered by Herb Miller at CLE-44 and returned for 48 yards (tackle by Stantley Thomas-Oliver)",-2.49,-1.86,1.0,2022,3
2.0,14:52,1.0,10.0,CLE 44,0.0,0.0,Kareem Hunt right tackle for 2 yards (tackle by Frankie Luvu and Derrick Brown),1.86,1.59,1.0,2022,3
2.0,14:10,2.0,8.0,CLE 46,0.0,0.0,Jacoby Brissett pass incomplete short right intended for Anthony Schwartz (defended by Cory Littleton),1.59,0.89,1.0,2022,3
2.0,14:07,3.0,8.0,CLE 46,0.0,0.0,Jacoby Brissett pass incomplete short left intended for Amari Cooper (defended by C.J. Henderson),0.89,-0.32,1.0,2022,3
2.0,14:01,4.0,8.0,CLE 46,0.0,0.0,"Corey Bojorquez punts 46 yards, fair catch by Andre Roberts at CAR-8",-0.32,0.38,1.0,2022,3
2.0,13:54,1.0,10.0,CAR 8,0.0,0.0,Baker Mayfield pass complete short right to Robbie Anderson for 8 yards (tackle by Martin Emerson),-0.38,-0.09,1.0,2022,3
2.0,13:21,2.0,2.0,CAR 16,0.0,0.0,Christian McCaffrey up the middle for 4 yards (tackle by Alex Wright and Jeremiah Owusu-Koramoah),-0.09,0.28,1.0,2022,3
2.0,12:42,1.0,10.0,CAR 20,0.0,0.0,Baker Mayfield pass incomplete short right intended for Shi Smith (defended by Alex Wright),0.28,-0.27,1.0,2022,3
2.0,12:37,2.0,10.0,CAR 20,0.0,0.0,Baker Mayfield pass incomplete short left intended for Ian Thomas (defended by Perrion Winfrey),-0.27,-0.96,1.0,2022,3
2.0,12:33,3.0,10.0,CAR 20,0.0,0.0,Baker Mayfield pass deep middle intended for Shi Smith is intercepted by Grant Delpit at CAR-38 and returned for -4 yards (tackle by Shi Smith),-0.96,-2.79,1.0,2022,3
2.0,12:26,1.0,10.0,CAR 42,0.0,0.0,Jacoby Brissett scrambles left tackle for 2 yards (tackle by Brian Burns),2.79,2.51,1.0,2022,3
2.0,11:44,2.0,8.0,CAR 40,0.0,0.0,Nick Chubb left end for 5 yards (tackle by Cory Littleton),2.51,2.48,1.0,2022,3
2.0,11:03,3.0,3.0,CAR 35,0.0,0.0,"Jacoby Brissett pass deep left is intercepted by Xavier Woods in end zone and returned for no gain. Penalty on C.J. Henderson: Defensive Pass Interference, 34 yards (accepted) (no play)",2.48,6.97,1.0,2022,3
2.0,10:53,1.0,1.0,CAR 1,6.0,0.0,"Jacoby Brissett pass complete short right to Kareem Hunt for 1 yard, touchdown",6.97,7.0,1.0,2022,3
2.0,10:49,,,CAR 15,7.0,0.0,Cade York kicks extra point good,0.0,0.0,1.0,2022,3
2.0,10:49,,,CLE 35,7.0,0.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,3
2.0,10:49,1.0,10.0,CAR 25,7.0,0.0,Baker Mayfield sacked by and Tommy Togiai for -9 yards and Jadeveon Clowney for -9 yards,0.61,-1.29,1.0,2022,3
2.0,10:07,2.0,19.0,CAR 16,7.0,0.0,Baker Mayfield pass incomplete short right,-1.29,-2.14,1.0,2022,3
2.0,10:02,3.0,19.0,CAR 16,7.0,0.0,Baker Mayfield pass complete short middle to Robbie Anderson for 12 yards (tackle by Martin Emerson),-2.14,-1.5,1.0,2022,3
2.0,9:31,4.0,7.0,CAR 28,7.0,0.0,"Johnny Hekker punts 58 yards, returned by Demetric Felton for 8 yards (tackle by Sean Chandler and Giovanni Ricci)",-1.5,-0.41,1.0,2022,3
2.0,9:19,1.0,10.0,CLE 22,7.0,0.0,Jacoby Brissett sacked by Damien Wilson for -9 yards,0.41,-1.43,1.0,2022,3
2.0,8:32,2.0,19.0,CLE 13,7.0,0.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 10 yards (tackle by Donte Jackson),-1.43,-0.69,1.0,2022,3
2.0,7:49,3.0,9.0,CLE 23,7.0,0.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 15 yards (tackle by Donte Jackson),-0.69,1.47,1.0,2022,3
2.0,7:05,1.0,10.0,CLE 38,7.0,0.0,Nick Chubb left end for 8 yards (tackle by Brian Burns),1.47,2.0,1.0,2022,3
2.0,6:17,2.0,2.0,CLE 46,7.0,0.0,Jacoby Brissett pass incomplete deep left intended for Harrison Bryant (defended by Myles Hartsfield),2.0,1.29,1.0,2022,3
2.0,6:10,3.0,2.0,CLE 46,7.0,0.0,Nick Chubb left tackle for 25 yards (tackle by Jeremy Chinn),1.29,3.64,1.0,2022,3
2.0,5:30,1.0,10.0,CAR 29,7.0,0.0,Anthony Schwartz right end for 5 yards (tackle by Jeremy Chinn),3.64,3.78,1.0,2022,3
2.0,4:53,2.0,5.0,CAR 24,13.0,0.0,"Kareem Hunt up the middle for 24 yards, touchdown",3.78,7.0,1.0,2022,3
2.0,4:46,,,CAR 15,14.0,0.0,Cade York kicks extra point good,0.0,0.0,1.0,2022,3
2.0,4:46,,,CLE 35,14.0,0.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,3
2.0,4:46,1.0,10.0,CAR 25,14.0,0.0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Denzel Ward),0.61,0.06,1.0,2022,3
2.0,4:39,2.0,10.0,CAR 25,14.0,0.0,Baker Mayfield pass complete short left to Christian McCaffrey for 7 yards (tackle by Jeremiah Owusu-Koramoah),0.06,0.3,1.0,2022,3
2.0,4:02,3.0,3.0,CAR 32,14.0,0.0,Baker Mayfield pass complete short left to D.J. Moore for 16 yards (tackle by Martin Emerson),0.3,2.13,1.0,2022,3
2.0,3:33,1.0,10.0,CAR 48,14.0,0.0,Baker Mayfield pass complete deep left to Ian Thomas for 50 yards (tackle by John Johnson),2.13,6.74,1.0,2022,3
2.0,2:45,,,,,,Timeout #1 by Carolina Panthers,,,1.0,2022,3
2.0,2:45,1.0,2.0,CLE 2,14.0,0.0,Baker Mayfield pass complete short left to Tommy Tremble for 1 yard (tackle by Grant Delpit),6.74,5.91,1.0,2022,3
2.0,2:00,2.0,1.0,CLE 1,14.0,6.0,"Christian McCaffrey up the middle for 1 yard, touchdown",5.91,7.0,1.0,2022,3
2.0,1:57,,,CLE 15,14.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,1.0,2022,3
2.0,1:57,,,CAR 35,14.0,7.0,"Eddy Pineiro kicks off 63 yards, out of bounds",0.0,1.6,1.0,2022,3
2.0,1:57,1.0,10.0,CLE 40,14.0,7.0,Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones,1.6,1.05,1.0,2022,3
2.0,1:52,2.0,10.0,CLE 40,14.0,7.0,Kareem Hunt up the middle for 2 yards (tackle by Matthew Ioannidis and Frankie Luvu),1.05,0.63,1.0,2022,3
2.0,1:13,3.0,8.0,CLE 42,14.0,7.0,"Penalty on Amari Cooper: False Start, 5 yards (accepted) (no play)",0.63,-0.03,1.0,2022,3
2.0,1:17,3.0,13.0,CLE 37,14.0,7.0,"Jacoby Brissett pass complete to Kareem Hunt for 24 yards (tackle by Derrick Brown). Penalty on Xavier Woods: Low Block, 15 yards (accepted)",-0.03,3.97,1.0,2022,3
2.0,1:07,1.0,10.0,CAR 24,14.0,7.0,Nick Chubb right guard for 6 yards (tackle by Xavier Woods and Derrick Brown),3.97,4.29,1.0,2022,3
2.0,0:46,2.0,4.0,CAR 18,14.0,7.0,Nick Chubb right tackle for 9 yards (tackle by Jaycee Horn),4.29,5.14,1.0,2022,3
2.0,0:40,1.0,9.0,CAR 9,14.0,7.0,Jacoby Brissett pass incomplete short middle,5.14,4.38,1.0,2022,3
2.0,0:34,2.0,9.0,CAR 9,14.0,7.0,Nick Chubb right end for 1 yard (tackle by Frankie Luvu),4.38,3.58,1.0,2022,3
2.0,0:29,,,,,,Timeout #2 by Cleveland Browns,,,1.0,2022,3
2.0,0:29,3.0,8.0,CAR 8,14.0,7.0,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones,3.58,2.95,1.0,2022,3
2.0,0:24,,,,,,Timeout #2 by Carolina Panthers,,,1.0,2022,3
2.0,0:24,4.0,8.0,CAR 8,17.0,7.0,Cade York 26 yard field goal good,2.95,3.0,1.0,2022,3
2.0,0:21,,,CLE 35,17.0,7.0,"Penalty on CLE: False Start, 5 yards (accepted) (no play)",0.0,0.0,1.0,2022,3
2.0,0:21,,,,,,Timeout #3 by Cleveland Browns,,,1.0,2022,3
2.0,0:21,,,CLE 30,17.0,7.0,"Cade York kicks off 70 yards, touchback.",0.0,0.61,1.0,2022,3
2.0,0:21,1.0,10.0,CAR 25,17.0,7.0,Baker Mayfield pass incomplete short left intended for Christian McCaffrey,0.61,0.06,1.0,2022,3
2.0,0:15,2.0,10.0,CAR 25,17.0,7.0,Baker Mayfield kneels for -1 yards,0.06,-0.76,1.0,2022,3
3.0,15:00,,,CAR 35,17.0,7.0,"Eddy Pineiro kicks off 68 yards, returned by Jerome Ford for 29 yards (tackle by Sean Chandler and Myles Hartsfield)",0.0,0.67,1.0,2022,3
3.0,14:55,1.0,10.0,CLE 26,17.0,7.0,Jacoby Brissett pass incomplete short right intended for Demetric Felton,0.67,0.13,1.0,2022,3
3.0,14:52,2.0,10.0,CLE 26,17.0,7.0,Nick Chubb right guard for 3 yards (tackle by Brian Burns and Derrick Brown),0.13,-0.16,1.0,2022,3
3.0,14:11,3.0,7.0,CLE 29,17.0,7.0,Jacoby Brissett pass complete short left to Harrison Bryant for 10 yards (tackle by Frankie Luvu),-0.16,1.53,1.0,2022,3
3.0,13:32,1.0,10.0,CLE 39,17.0,7.0,Nick Chubb right end for 5 yards (tackle by Xavier Woods and Yetur Gross-Matos),1.53,1.66,1.0,2022,3
3.0,13:07,2.0,5.0,CLE 44,17.0,7.0,Nick Chubb right tackle for 3 yards (tackle by Xavier Woods and Matthew Ioannidis),1.66,1.36,1.0,2022,3
3.0,12:22,3.0,2.0,CLE 47,17.0,7.0,Jacoby Brissett pass complete short right to Kareem Hunt for 1 yard (tackle by Shaq Thompson and Xavier Woods),1.36,-0.19,1.0,2022,3
3.0,11:42,4.0,1.0,CLE 48,17.0,7.0,Jacoby Brissett up the middle for 2 yards (tackle by Shaq Thompson and Phil Hoskins),-0.19,2.26,1.0,2022,3
3.0,11:07,1.0,10.0,CLE 50,17.0,7.0,Anthony Schwartz for 15 yards (tackle by Xavier Woods),2.26,3.25,1.0,2022,3
3.0,10:23,1.0,10.0,CAR 35,17.0,7.0,Nick Chubb right end for 20 yards (tackle by Xavier Woods and Marquis Haynes),3.25,4.58,1.0,2022,3
3.0,9:36,1.0,10.0,CAR 15,17.0,7.0,Kareem Hunt left tackle for 4 yards (tackle by Damien Wilson and Jeremy Chinn),4.58,4.64,1.0,2022,3
3.0,8:50,2.0,6.0,CAR 11,17.0,7.0,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",4.64,3.81,1.0,2022,3
3.0,8:33,2.0,11.0,CAR 16,17.0,7.0,Kareem Hunt left guard for no gain (tackle by Brian Burns),3.81,3.04,1.0,2022,3
3.0,7:50,3.0,11.0,CAR 16,17.0,7.0,Jacoby Brissett pass incomplete short right intended for Harrison Bryant,3.04,2.38,1.0,2022,3
3.0,7:46,4.0,11.0,CAR 16,20.0,7.0,Cade York 34 yard field goal good,2.38,3.0,1.0,2022,3
3.0,7:42,,,CLE 35,20.0,7.0,"Cade York kicks off 64 yards, returned by Andre Roberts for 17 yards (tackle by Jerome Ford)",0.0,0.04,1.0,2022,3
3.0,7:37,1.0,10.0,CAR 18,20.0,7.0,Christian McCaffrey up the middle for 4 yards (tackle by Anthony Walker and Jadeveon Clowney),0.04,0.14,1.0,2022,3
3.0,7:01,2.0,6.0,CAR 22,20.0,7.0,"Baker Mayfield pass incomplete short right intended for Robbie Anderson. Penalty on Martin Emerson: Defensive Pass Interference, 6 yards (accepted) (no play)",0.14,0.81,1.0,2022,3
3.0,6:54,1.0,10.0,CAR 28,20.0,7.0,D'Onta Foreman left guard for 4 yards (tackle by Sione Takitaki),0.81,0.8,1.0,2022,3
3.0,6:16,2.0,6.0,CAR 32,20.0,7.0,Baker Mayfield sacked by Myles Garrett for -6 yards,0.8,-0.69,1.0,2022,3
3.0,5:30,3.0,12.0,CAR 26,20.0,7.0,"Baker Mayfield sacked by Myles Garrett for -5 yards. Baker Mayfield fumbles (forced by Myles Garrett), recovered by Baker Mayfield at CAR-21 (tackle by Myles Garrett)",-0.69,-1.96,1.0,2022,3
3.0,4:36,4.0,17.0,CAR 21,20.0,7.0,"Johnny Hekker punts 61 yards, returned by Demetric Felton for 15 yards (tackle by Giovanni Ricci and Tommy Tremble)",-1.96,-1.14,1.0,2022,3
3.0,4:24,1.0,10.0,CLE 33,20.0,7.0,Kareem Hunt left guard for 1 yard (tackle by Brian Burns and Cory Littleton),1.14,0.73,1.0,2022,3
3.0,3:52,2.0,9.0,CLE 34,20.0,7.0,Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones,0.73,0.04,1.0,2022,3
3.0,3:49,3.0,9.0,CLE 34,20.0,7.0,Jacoby Brissett pass complete short right to David Njoku for 7 yards (tackle by C.J. Henderson),0.04,-0.65,1.0,2022,3
3.0,2:59,4.0,2.0,CLE 41,20.0,7.0,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",-0.65,-0.98,1.0,2022,3
3.0,2:45,4.0,7.0,CLE 36,20.0,7.0,"Corey Bojorquez punts 49 yards, returned by Andre Roberts for 10 yards (tackle by Sione Takitaki)",-0.98,-0.61,1.0,2022,3
3.0,2:35,1.0,10.0,CAR 25,20.0,7.0,D.J. Moore left end for 7 yards (tackle by John Johnson),0.61,1.01,1.0,2022,3
3.0,1:53,2.0,3.0,CAR 32,20.0,7.0,D'Onta Foreman up the middle for 1 yard (tackle by Jacob Phillips and Jadeveon Clowney),1.01,0.43,1.0,2022,3
3.0,1:14,3.0,2.0,CAR 33,20.0,7.0,Baker Mayfield pass complete short right to Ian Thomas for 3 yards (tackle by Jacob Phillips),0.43,1.33,1.0,2022,3
3.0,0:39,1.0,10.0,CAR 36,20.0,7.0,"Pat Elflein aborted snap, recovered by Christian McCaffrey at CAR-36 Christian McCaffrey for no gain (tackle by Denzel Ward and John Johnson)",1.33,3.18,1.0,2022,3
3.0,0:15,1.0,10.0,CLE 36,20.0,7.0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Myles Garrett),3.18,2.64,1.0,2022,3
3.0,0:10,2.0,10.0,CLE 36,20.0,7.0,Christian McCaffrey up the middle for 3 yards (tackle by Alex Wright),2.64,2.35,1.0,2022,3
4.0,15:00,3.0,7.0,CLE 33,20.0,7.0,Christian McCaffrey right guard for 9 yards (tackle by Ronnie Harrison),2.35,3.97,1.0,2022,3
4.0,14:28,1.0,10.0,CLE 24,20.0,7.0,Baker Mayfield pass complete short left to Shi Smith for 12 yards (tackle by John Johnson),3.97,4.78,1.0,2022,3
4.0,13:48,1.0,10.0,CLE 12,20.0,7.0,Christian McCaffrey up the middle for 5 yards (tackle by Jordan Elliott and Jacob Phillips),4.78,5.02,1.0,2022,3
4.0,13:04,2.0,5.0,CLE 7,20.0,7.0,Baker Mayfield pass incomplete short right intended for Robbie Anderson,5.02,4.16,1.0,2022,3
4.0,12:58,3.0,5.0,CLE 7,20.0,13.0,"Baker Mayfield scrambles up the middle for 7 yards, touchdown",4.16,7.0,1.0,2022,3
4.0,12:51,,,CLE 15,20.0,14.0,Eddy Pineiro kicks extra point good,0.0,0.0,1.0,2022,3
4.0,12:51,,,CAR 35,20.0,14.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,3
4.0,12:51,1.0,10.0,CLE 25,20.0,14.0,Nick Chubb right tackle for 2 yards (tackle by Brian Burns),0.61,0.33,1.0,2022,3
4.0,12:12,2.0,8.0,CLE 27,20.0,14.0,Jacoby Brissett scrambles left end for 4 yards (tackle by Bravvion Roy),0.33,0.17,1.0,2022,3
4.0,11:31,3.0,4.0,CLE 31,20.0,14.0,Jacoby Brissett pass complete short right to Anthony Schwartz for 19 yards (tackle by Damien Wilson),0.17,2.26,1.0,2022,3
4.0,10:47,1.0,10.0,CLE 50,20.0,14.0,Nick Chubb right end for 16 yards (tackle by Jeremy Chinn),2.26,3.31,1.0,2022,3
4.0,10:03,1.0,10.0,CAR 34,20.0,14.0,Nick Chubb right guard for 9 yards (tackle by Jaycee Horn),3.31,3.99,1.0,2022,3
4.0,9:17,2.0,1.0,CAR 25,20.0,14.0,Kareem Hunt for 2 yards (tackle by Frankie Luvu),3.99,4.04,1.0,2022,3
4.0,8:33,1.0,10.0,CAR 23,20.0,14.0,Kareem Hunt left end for 4 yards (tackle by Brian Burns and Shaq Thompson),4.04,4.05,1.0,2022,3
4.0,7:44,2.0,6.0,CAR 19,20.0,14.0,Kareem Hunt left tackle for 2 yards (tackle by Shaq Thompson),4.05,3.66,1.0,2022,3
4.0,7:03,3.0,4.0,CAR 17,20.0,14.0,Kareem Hunt up the middle for -1 yards (tackle by Henry Anderson),3.66,2.3,1.0,2022,3
4.0,6:19,4.0,5.0,CAR 18,23.0,14.0,Cade York 36 yard field goal good,2.3,3.0,1.0,2022,3
4.0,6:13,,,CLE 35,23.0,14.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,3
4.0,6:13,1.0,10.0,CAR 25,23.0,20.0,"Baker Mayfield pass complete deep middle to Robbie Anderson for 75 yards, touchdown",0.61,7.0,1.0,2022,3
4.0,6:02,,,CLE 15,23.0,21.0,Eddy Pineiro kicks extra point good,0.0,0.0,1.0,2022,3
4.0,6:02,,,CAR 35,23.0,21.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,3
4.0,6:02,1.0,10.0,CLE 25,23.0,21.0,"Jacoby Brissett pass complete short right to David Njoku for no gain (tackle by Damien Wilson). Penalty on James Hudson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.61,0.28,1.0,2022,3
4.0,5:36,1.0,15.0,CLE 20,23.0,21.0,Jacoby Brissett pass complete to Harrison Bryant for 8 yards (tackle by Damien Wilson and Derrick Brown),0.28,0.47,1.0,2022,3
4.0,5:21,2.0,7.0,CLE 28,23.0,21.0,Nick Chubb up the middle for 3 yards (tackle by Yetur Gross-Matos),0.47,0.17,1.0,2022,3
4.0,4:13,3.0,4.0,CLE 31,23.0,21.0,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 5 yards (tackle by Donte Jackson),0.17,1.33,1.0,2022,3
4.0,3:31,1.0,10.0,CLE 36,23.0,21.0,Nick Chubb left guard for 2 yards (tackle by Shaq Thompson and Marquis Haynes),1.33,1.06,1.0,2022,3
4.0,2:42,2.0,8.0,CLE 38,23.0,21.0,"Jacoby Brissett pass incomplete deep right intended for Amari Cooper. Penalty on Jaycee Horn: Defensive Holding, 5 yards (accepted) (no play)",1.06,1.8,1.0,2022,3
4.0,2:36,1.0,10.0,CLE 43,23.0,21.0,Nick Chubb right tackle for -1 yards (tackle by Henry Anderson),1.8,1.12,1.0,2022,3
4.0,2:32,,,,,,Timeout #1 by Carolina Panthers,,,1.0,2022,3
4.0,2:32,2.0,11.0,CLE 42,23.0,21.0,Jacoby Brissett pass complete to Nick Chubb for 2 yards (tackle by Frankie Luvu),1.12,0.69,1.0,2022,3
4.0,2:26,,,,,,Timeout #2 by Carolina Panthers,,,1.0,2022,3
4.0,2:26,3.0,9.0,CLE 44,23.0,21.0,Jacoby Brissett pass incomplete short right intended for Donovan Peoples-Jones,0.69,-0.46,1.0,2022,3
4.0,2:21,4.0,9.0,CLE 44,23.0,21.0,"Corey Bojorquez punts 56 yards, touchback.",-0.46,-0.28,1.0,2022,3
4.0,2:14,1.0,10.0,CAR 20,23.0,21.0,Baker Mayfield pass complete short left to D.J. Moore for 26 yards (tackle by Grant Delpit),0.28,1.99,1.0,2022,3
4.0,2:00,1.0,10.0,CAR 46,23.0,21.0,Christian McCaffrey up the middle for 4 yards (tackle by Anthony Walker),1.99,1.99,1.0,2022,3
4.0,1:36,2.0,6.0,CAR 50,23.0,21.0,"Baker Mayfield pass complete short right to Christian McCaffrey for 21 yards (tackle by John Johnson). Penalty on John Johnson: Horse Collar Tackle, 15 yards (accepted)",1.99,4.65,1.0,2022,3
4.0,1:27,1.0,10.0,CLE 14,23.0,21.0,"Baker Mayfield aborted snap, recovered by Baker Mayfield at CLE-15 Baker Mayfield for no gain",4.65,3.85,1.0,2022,3
4.0,1:24,,,,,,Timeout #1 by Cleveland Browns,,,1.0,2022,3
4.0,1:24,2.0,11.0,CLE 15,23.0,21.0,Christian McCaffrey up the middle for no gain (tackle by Jeremiah Owusu-Koramoah and John Johnson),3.85,3.06,1.0,2022,3
4.0,1:20,,,,,,Timeout #2 by Cleveland Browns,,,1.0,2022,3
