Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA,week,year,game_id
1.0,3:26,1.0,10.0,MIN 42,0.0,7.0,AJ Dillon right end for 2 yards (tackle by Patrick Peterson),2.79,2.51,1.0,2022,12
1.0,2:49,2.0,8.0,MIN 40,0.0,7.0,Aaron Rodgers pass incomplete short left intended for AJ Dillon,2.51,1.82,1.0,2022,12
1.0,2:44,3.0,8.0,MIN 40,0.0,7.0,Aaron Rodgers sacked by Za'Darius Smith for -8 yards,1.82,0.07,1.0,2022,12
1.0,1:59,4.0,16.0,MIN 48,0.0,7.0,Pat O'Donnell punts 33 yards out of bounds,0.07,0.22,1.0,2022,12
1.0,1:52,1.0,10.0,MIN 15,0.0,7.0,Alexander Mattison left end for 6 yards (tackle by Quay Walker),-0.22,0.21,1.0,2022,12
1.0,1:15,2.0,4.0,MIN 21,0.0,7.0,Kirk Cousins pass complete short right to C.J. Ham for 6 yards (tackle by Eric Stokes and Devonte Wyatt),0.21,0.74,1.0,2022,12
1.0,0:30,1.0,10.0,MIN 27,0.0,7.0,Alexander Mattison up the middle for 3 yards (tackle by Rashan Gary and Dean Lowry),0.74,0.6,1.0,2022,12
2.0,15:00,2.0,7.0,MIN 30,0.0,7.0,Alexander Mattison left tackle for 5 yards (tackle by Kenny Clark),0.6,0.56,1.0,2022,12
2.0,14:22,3.0,2.0,MIN 35,0.0,7.0,Kirk Cousins pass incomplete short left intended for Adam Thielen,0.56,-1.04,1.0,2022,12
2.0,14:17,4.0,2.0,MIN 35,0.0,7.0,"Ryan Wright punts 45 yards, fair catch by Amari Rodgers at GB-20",-1.04,-0.28,1.0,2022,12
2.0,14:11,1.0,10.0,GNB 20,0.0,7.0,Aaron Rodgers pass complete short right to Robert Tonyan for 23 yards (tackle by Camryn Bynum),0.28,1.8,1.0,2022,12
2.0,13:39,1.0,10.0,GNB 43,0.0,7.0,AJ Dillon left tackle for 3 yards (tackle by Danielle Hunter and Jordan Hicks),1.8,1.66,1.0,2022,12
2.0,12:57,2.0,7.0,GNB 46,0.0,7.0,Aaron Rodgers pass complete short right to Aaron Jones for 22 yards (tackle by Camryn Bynum),1.66,3.45,1.0,2022,12
2.0,12:06,1.0,10.0,MIN 32,0.0,7.0,Aaron Rodgers pass complete short right to AJ Dillon for 12 yards (tackle by Jordan Hicks),3.45,4.24,1.0,2022,12
2.0,11:22,1.0,10.0,MIN 20,0.0,7.0,Christian Watson left end for 7 yards (tackle by Camryn Bynum),4.24,4.83,1.0,2022,12
2.0,10:47,2.0,3.0,MIN 13,0.0,7.0,Aaron Rodgers pass complete short right to Sammy Watkins for 4 yards (tackle by Jordan Hicks),4.83,5.14,1.0,2022,12
2.0,10:10,1.0,9.0,MIN 9,0.0,7.0,Aaron Jones left guard for 2 yards (tackle by Harrison Phillips and James Lynch),5.14,4.76,1.0,2022,12
2.0,9:24,,,,,,Timeout #2 by Green Bay Packers,,,1.0,2022,12
2.0,9:24,2.0,7.0,MIN 7,0.0,7.0,Aaron Rodgers pass complete short left to Aaron Jones for no gain (tackle by Harrison Smith),4.76,3.81,1.0,2022,12
2.0,8:40,3.0,7.0,MIN 7,0.0,7.0,Aaron Rodgers pass complete to AJ Dillon for 6 yards (tackle by Cameron Dantzler and Harrison Smith),3.81,3.55,1.0,2022,12
2.0,8:03,,,,,,Timeout #1 by Minnesota Vikings,,,1.0,2022,12
2.0,8:03,4.0,1.0,MIN 1,0.0,7.0,AJ Dillon up the middle for no gain (tackle by Za'Darius Smith and Harrison Phillips),3.55,0.38,1.0,2022,12
2.0,7:58,1.0,10.0,MIN 1,0.0,7.0,Dalvin Cook right guard for 4 yards (tackle by De'Vondre Campbell and Quay Walker),-0.38,-0.49,1.0,2022,12
2.0,7:14,2.0,6.0,MIN 5,0.0,7.0,Dalvin Cook left guard for 6 yards (tackle by Rasul Douglas),-0.49,-0.37,1.0,2022,12
2.0,6:31,1.0,10.0,MIN 11,0.0,7.0,Dalvin Cook right tackle for 12 yards (tackle by Quay Walker),-0.37,0.48,1.0,2022,12
2.0,5:55,1.0,10.0,MIN 23,0.0,7.0,Kirk Cousins pass complete to Justin Jefferson for 64 yards (tackle by Darnell Savage),0.48,4.71,1.0,2022,12
2.0,5:28,1.0,10.0,GNB 13,0.0,7.0,Kirk Cousins pass complete short left to K.J. Osborn for 7 yards (tackle by Quay Walker),4.71,5.34,1.0,2022,12
2.0,4:47,2.0,3.0,GNB 6,0.0,7.0,Dalvin Cook right tackle for 1 yard (tackle by De'Vondre Campbell and Tedarrell Slaton),5.34,4.78,1.0,2022,12
2.0,4:03,3.0,2.0,GNB 5,0.0,7.0,Kirk Cousins pass incomplete short right intended for Justin Jefferson (defended by Adrian Amos),4.78,3.03,1.0,2022,12
2.0,3:57,4.0,2.0,GNB 5,0.0,7.0,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",3.03,2.76,1.0,2022,12
2.0,3:57,4.0,7.0,GNB 10,0.0,10.0,Greg Joseph 28 yard field goal good,2.76,3.0,1.0,2022,12
2.0,3:54,,,MIN 35,0.0,10.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,12
2.0,3:54,1.0,10.0,GNB 25,0.0,10.0,Aaron Rodgers pass incomplete short right,0.61,0.06,1.0,2022,12
2.0,3:48,2.0,10.0,GNB 25,0.0,10.0,Aaron Rodgers pass complete short right to Tyler Davis for 3 yards (tackle by Jordan Hicks),0.06,-0.23,1.0,2022,12
2.0,3:15,3.0,7.0,GNB 28,0.0,10.0,Aaron Rodgers pass incomplete short left intended for Aaron Jones,-0.23,-1.5,1.0,2022,12
2.0,3:10,4.0,7.0,GNB 28,0.0,10.0,"Pat O'Donnell punts 53 yards, returned by Jalen Reagor for 7 yards (tackle by Tipa Galeai)",-1.5,-0.67,1.0,2022,12
2.0,2:58,1.0,10.0,MIN 26,0.0,10.0,Dalvin Cook left guard for 9 yards (tackle by De'Vondre Campbell),0.67,1.35,1.0,2022,12
2.0,2:37,2.0,1.0,MIN 35,0.0,10.0,Kirk Cousins pass incomplete short right,1.35,0.63,1.0,2022,12
2.0,2:33,3.0,1.0,MIN 35,0.0,10.0,Dalvin Cook left tackle for 2 yards (tackle by Dean Lowry and Rashan Gary),0.63,1.4,1.0,2022,12
2.0,2:00,1.0,10.0,MIN 37,0.0,10.0,Dalvin Cook left tackle for 9 yards (tackle by Jaire Alexander),1.4,2.07,1.0,2022,12
2.0,1:22,2.0,1.0,MIN 46,0.0,10.0,Kirk Cousins pass complete short right to Dalvin Cook for 7 yards (tackle by Adrian Amos),2.07,2.46,1.0,2022,12
2.0,0:50,1.0,10.0,GNB 47,0.0,10.0,Kirk Cousins pass complete short left to Justin Jefferson for 11 yards (tackle by Rasul Douglas),2.46,3.18,1.0,2022,12
2.0,0:45,1.0,10.0,GNB 36,0.0,16.0,"Kirk Cousins pass complete deep right to Justin Jefferson for 36 yards, touchdown",3.18,7.0,1.0,2022,12
2.0,0:35,,,GNB 15,0.0,17.0,Greg Joseph kicks extra point good,0.0,0.0,1.0,2022,12
2.0,0:35,,,MIN 35,0.0,17.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,12
2.0,0:35,1.0,10.0,GNB 25,0.0,17.0,Aaron Rodgers pass intended for Randall Cobb is intercepted by Harrison Smith at MIN-30 and returned for no gain (tackle by Randall Cobb),0.61,-0.94,1.0,2022,12
2.0,0:27,1.0,10.0,MIN 30,0.0,17.0,Kirk Cousins pass complete short left to Dalvin Cook for 1 yard (tackle by De'Vondre Campbell),0.94,0.53,1.0,2022,12
2.0,0:21,,,,,,Timeout #2 by Minnesota Vikings,,,1.0,2022,12
2.0,0:21,2.0,9.0,MIN 31,0.0,17.0,"Kirk Cousins pass complete short middle to Irv Smith for 3 yards (tackle by De'Vondre Campbell) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Kirk Cousins pass incomplete short middle intended for Irv Smith",0.53,-0.16,1.0,2022,12
2.0,0:18,3.0,9.0,MIN 31,0.0,17.0,Kirk Cousins pass incomplete short left intended for Dalvin Cook,-0.16,-1.31,1.0,2022,12
2.0,0:13,4.0,9.0,MIN 31,0.0,17.0,"Ryan Wright punts 53 yards, fair catch by Amari Rodgers at GB-16. Penalty on Krys Barnes: Running Into the Kicker, 5 yards (declined)",-1.31,0.14,1.0,2022,12
2.0,0:06,1.0,10.0,GNB 16,0.0,17.0,Aaron Rodgers kneels for -1 yards,-0.14,-0.78,1.0,2022,12
3.0,15:00,,,MIN 35,0.0,17.0,"Greg Joseph kicks off 61 yards, returned by Amari Rodgers for 14 yards (tackle by Josh Metellus and Myles Dorn)",0.0,0.04,1.0,2022,12
3.0,14:56,1.0,10.0,GNB 18,0.0,17.0,Aaron Rodgers pass complete short right to Romeo Doubs for 2 yards (tackle by Patrick Peterson),0.04,-0.13,1.0,2022,12
3.0,14:13,2.0,8.0,GNB 20,0.0,17.0,Aaron Rodgers pass complete short left to AJ Dillon for 7 yards (tackle by Chandon Sullivan and Camryn Bynum),-0.13,-0.02,1.0,2022,12
3.0,13:46,3.0,1.0,GNB 27,0.0,17.0,AJ Dillon left tackle for 3 yards (tackle by Cameron Dantzler),-0.02,0.94,1.0,2022,12
3.0,13:08,1.0,10.0,GNB 30,0.0,17.0,AJ Dillon left end for 14 yards (tackle by Harrison Smith and Danielle Hunter),0.94,1.86,1.0,2022,12
3.0,12:21,1.0,10.0,GNB 44,0.0,17.0,"Aaron Rodgers sacked by Jordan Hicks for -11 yards. Aaron Rodgers fumbles (forced by Jordan Hicks), recovered by Dalvin Tomlinson at GB-33 (tackle by Royce Newman)",1.86,-3.38,1.0,2022,12
3.0,12:06,1.0,10.0,GNB 33,0.0,17.0,Dalvin Cook left end for no gain (tackle by Dean Lowry),3.38,2.84,1.0,2022,12
3.0,11:24,2.0,10.0,GNB 33,0.0,17.0,Kirk Cousins pass complete short left to Justin Jefferson for 5 yards (tackle by Jaire Alexander),2.84,2.81,1.0,2022,12
3.0,10:46,3.0,5.0,GNB 28,0.0,17.0,"Kirk Cousins pass incomplete intended for Justin Jefferson. Penalty on Justin Jefferson: Offensive Pass Interference, 10 yards (accepted) (no play)",2.81,1.49,1.0,2022,12
3.0,10:39,3.0,15.0,GNB 38,0.0,17.0,Kirk Cousins pass complete short right to Justin Jefferson for no gain (tackle by Rasul Douglas),1.49,0.72,1.0,2022,12
3.0,9:51,4.0,15.0,GNB 38,0.0,20.0,Greg Joseph 56 yard field goal good,0.72,3.0,1.0,2022,12
3.0,9:46,,,MIN 35,0.0,20.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,12
3.0,9:46,1.0,10.0,GNB 25,0.0,20.0,AJ Dillon right tackle for 4 yards (tackle by Jordan Hicks),0.61,0.6,1.0,2022,12
3.0,9:06,2.0,6.0,GNB 29,0.0,20.0,Aaron Jones left tackle for 29 yards (tackle by D.J. Wonnum),0.6,2.79,1.0,2022,12
3.0,8:19,1.0,10.0,MIN 42,0.0,20.0,Aaron Rodgers pass complete short left to Sammy Watkins for 9 yards (tackle by Harrison Smith),2.79,3.46,1.0,2022,12
3.0,7:38,2.0,1.0,MIN 33,0.0,20.0,AJ Dillon left end for 11 yards (tackle by Jordan Hicks),3.46,4.11,1.0,2022,12
3.0,6:53,1.0,10.0,MIN 22,0.0,20.0,Romeo Doubs left end for 11 yards (tackle by Chandon Sullivan),4.11,4.84,1.0,2022,12
3.0,6:10,1.0,10.0,MIN 11,0.0,20.0,Aaron Rodgers pass complete short left to Romeo Doubs for 9 yards (tackle by Akayleb Evans),4.84,5.85,1.0,2022,12
3.0,5:21,2.0,1.0,MIN 2,6.0,20.0,"AJ Dillon left guard for 2 yards, touchdown",5.85,7.0,1.0,2022,12
3.0,5:16,,,MIN 15,7.0,20.0,Mason Crosby kicks extra point good,0.0,0.0,1.0,2022,12
3.0,5:16,,,GNB 35,7.0,20.0,"Mason Crosby kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,12
3.0,5:16,1.0,10.0,MIN 25,7.0,20.0,Kirk Cousins pass complete short right to Johnny Mundt for no gain (tackle by Rasul Douglas),0.61,0.06,1.0,2022,12
3.0,4:43,2.0,10.0,MIN 25,7.0,20.0,"Penalty on Rashan Gary: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.06,0.74,1.0,2022,12
3.0,4:24,2.0,5.0,MIN 30,7.0,20.0,Dalvin Cook right end for 7 yards (tackle by Rashan Gary),0.74,1.4,1.0,2022,12
3.0,3:47,1.0,10.0,MIN 37,7.0,20.0,Dalvin Cook right guard for -1 yards (tackle by Kenny Clark and Rashan Gary),1.4,0.72,1.0,2022,12
3.0,2:56,2.0,11.0,MIN 36,7.0,20.0,"Penalty on MIN: Delay of Game, 5 yards (accepted) (no play)",0.72,0.05,1.0,2022,12
3.0,2:45,2.0,16.0,MIN 31,7.0,20.0,Kirk Cousins pass complete short left to Dalvin Cook for 10 yards (tackle by Quay Walker),0.05,0.7,1.0,2022,12
3.0,2:07,3.0,6.0,MIN 41,7.0,20.0,Kirk Cousins pass complete short right to K.J. Osborn for 4 yards (tackle by Keisean Nixon),0.7,-0.39,1.0,2022,12
3.0,1:21,4.0,2.0,MIN 45,7.0,20.0,"Ryan Wright punts 38 yards, fair catch by Amari Rodgers at GB-17",-0.39,0.06,1.0,2022,12
3.0,1:13,1.0,10.0,GNB 17,7.0,20.0,Aaron Rodgers pass complete short right to AJ Dillon for 9 yards (tackle by Patrick Peterson and Camryn Bynum),-0.06,0.68,1.0,2022,12
3.0,0:33,2.0,2.0,GNB 26,7.0,20.0,Aaron Jones for 5 yards (tackle by Jordan Hicks and Eric Kendricks),0.68,1.0,1.0,2022,12
4.0,15:00,1.0,10.0,GNB 31,7.0,20.0,Aaron Rodgers sacked by Danielle Hunter for -9 yards,1.0,-0.76,1.0,2022,12
4.0,14:15,2.0,19.0,GNB 22,7.0,20.0,Aaron Rodgers pass complete deep right to Romeo Doubs for 23 yards (tackle by Camryn Bynum),-0.76,1.93,1.0,2022,12
4.0,13:34,1.0,10.0,GNB 45,7.0,20.0,Aaron Rodgers pass complete short right to Romeo Doubs for 3 yards (tackle by Harrison Smith),1.93,1.79,1.0,2022,12
4.0,12:54,2.0,7.0,GNB 48,7.0,20.0,Aaron Rodgers pass incomplete short right,1.79,1.09,1.0,2022,12
4.0,12:49,3.0,7.0,GNB 48,7.0,20.0,Aaron Rodgers sacked by D.J. Wonnum for -5 yards,1.09,-0.52,1.0,2022,12
4.0,12:06,4.0,12.0,GNB 43,7.0,20.0,"Penalty on De'Vondre Campbell: False Start, 5 yards (accepted) (no play)",-0.52,-0.85,1.0,2022,12
4.0,11:57,4.0,17.0,GNB 38,7.0,20.0,"Pat O'Donnell punts 46 yards, fair catch by Jalen Reagor at MIN-16",-0.85,0.14,1.0,2022,12
4.0,11:52,1.0,10.0,MIN 16,7.0,20.0,Kirk Cousins pass complete deep middle to Adam Thielen for 22 yards (tackle by Eric Stokes),-0.14,1.47,1.0,2022,12
4.0,11:14,1.0,10.0,MIN 38,7.0,20.0,Kirk Cousins pass incomplete short middle intended for Dalvin Cook,1.47,0.92,1.0,2022,12
4.0,11:09,2.0,10.0,MIN 38,7.0,20.0,Dalvin Cook for 3 yards (tackle by Rashan Gary and Jarran Reed),0.92,0.63,1.0,2022,12
4.0,10:41,3.0,7.0,MIN 41,7.0,20.0,Kirk Cousins pass complete deep right to Justin Jefferson for 21 yards (tackle by Darnell Savage),0.63,3.05,1.0,2022,12
4.0,10:11,1.0,10.0,GNB 38,7.0,20.0,Dalvin Cook right end for 4 yards (tackle by Kingsley Enagbare),3.05,3.05,1.0,2022,12
4.0,9:31,2.0,6.0,GNB 34,7.0,20.0,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Eric Stokes),3.05,3.78,1.0,2022,12
4.0,8:52,1.0,10.0,GNB 27,7.0,20.0,Alexander Mattison right tackle for 7 yards (tackle by De'Vondre Campbell),3.78,4.18,1.0,2022,12
4.0,8:19,2.0,3.0,GNB 20,7.0,20.0,Alexander Mattison up the middle for 10 yards (tackle by De'Vondre Campbell and Eric Stokes),4.18,4.91,1.0,2022,12
4.0,7:45,1.0,10.0,GNB 10,7.0,20.0,Alexander Mattison left tackle for no gain (tackle by Jarran Reed),4.91,4.19,1.0,2022,12
4.0,7:03,2.0,10.0,GNB 10,7.0,20.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson,4.19,3.13,1.0,2022,12
4.0,6:58,3.0,10.0,GNB 10,7.0,20.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn,3.13,2.76,1.0,2022,12
4.0,6:52,4.0,10.0,GNB 10,7.0,23.0,Greg Joseph 29 yard field goal good,2.76,3.0,1.0,2022,12
4.0,6:48,,,MIN 35,7.0,23.0,"Greg Joseph kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,12
4.0,6:48,1.0,10.0,GNB 25,7.0,23.0,Aaron Rodgers pass complete short right to Aaron Jones for 5 yards (tackle by Eric Kendricks and Chandon Sullivan),0.61,0.74,1.0,2022,12
4.0,6:17,2.0,5.0,GNB 30,7.0,23.0,Aaron Rodgers pass complete short middle to Randall Cobb for 8 yards (tackle by Jordan Hicks and Chandon Sullivan),0.74,1.47,1.0,2022,12
4.0,5:52,1.0,10.0,GNB 38,7.0,23.0,Aaron Rodgers pass complete short right to Robert Tonyan for 8 yards (tackle by Harrison Smith),1.47,2.0,1.0,2022,12
4.0,5:09,2.0,2.0,GNB 46,7.0,23.0,Aaron Rodgers pass complete short left to Sammy Watkins for 5 yards (tackle by Cameron Dantzler),2.0,2.32,1.0,2022,12
4.0,4:37,1.0,10.0,MIN 49,7.0,23.0,Aaron Rodgers pass incomplete short left,2.32,1.78,1.0,2022,12
4.0,4:30,2.0,10.0,MIN 49,7.0,23.0,Aaron Rodgers pass complete short middle to Robert Tonyan for 5 yards (tackle by Cameron Dantzler),1.78,1.75,1.0,2022,12
4.0,4:04,3.0,5.0,MIN 44,7.0,23.0,"Aaron Rodgers pass complete short right to Juwann Winfree for 17 yards (tackle by Patrick Peterson). Penalty on Danielle Hunter: Defensive Offside, 5 yards (declined)",1.75,3.78,1.0,2022,12
4.0,4:01,1.0,10.0,MIN 27,7.0,23.0,Aaron Rodgers pass incomplete short right intended for Aaron Jones,3.78,3.23,1.0,2022,12
4.0,3:57,2.0,10.0,MIN 27,7.0,23.0,Aaron Rodgers pass complete short left to Christian Watson for 9 yards (tackle by Cameron Dantzler),3.23,3.84,1.0,2022,12
4.0,3:52,3.0,1.0,MIN 18,7.0,23.0,Aaron Rodgers pass incomplete short right intended for Christian Watson,3.84,2.4,1.0,2022,12
4.0,3:45,4.0,1.0,MIN 18,7.0,23.0,"Aaron Rodgers pass incomplete deep middle intended for Robert Tonyan (defended by Eric Kendricks). Penalty on Yosuah Nijman: Illegal Use of Hands / Offense, 5 yards (declined)",2.4,-0.04,1.0,2022,12
4.0,3:45,1.0,10.0,MIN 18,7.0,23.0,Dalvin Cook left end for 16 yards (tackle by De'Vondre Campbell and Adrian Amos),0.04,1.2,1.0,2022,12
4.0,3:37,,,,,,Timeout #1 by Green Bay Packers,,,1.0,2022,12
4.0,3:37,1.0,10.0,MIN 34,7.0,23.0,Dalvin Cook left end for 6 yards (tackle by Preston Smith and Kenny Clark),1.2,1.47,1.0,2022,12
4.0,3:32,,,,,,Timeout #2 by Green Bay Packers,,,1.0,2022,12
4.0,3:32,2.0,4.0,MIN 40,7.0,23.0,Dalvin Cook up the middle for 3 yards (tackle by Kenny Clark and De'Vondre Campbell),1.47,1.16,1.0,2022,12
4.0,3:28,,,,,,Timeout #3 by Green Bay Packers,,,1.0,2022,12
4.0,3:28,3.0,1.0,MIN 43,7.0,23.0,Alexander Mattison left guard for 6 yards (tackle by Isaiah McDuffie),1.16,2.19,1.0,2022,12
4.0,2:43,1.0,10.0,MIN 49,7.0,23.0,Alexander Mattison right guard for -1 yards (tackle by Jarran Reed and Preston Smith),2.19,1.51,1.0,2022,12
4.0,2:00,2.0,11.0,MIN 48,7.0,23.0,Dalvin Cook left end for -2 yards (tackle by De'Vondre Campbell and Jaire Alexander),1.51,0.56,1.0,2022,12
4.0,1:15,,,,,,Timeout #1 by Minnesota Vikings,,,1.0,2022,12
4.0,1:15,3.0,13.0,MIN 46,7.0,23.0,Dalvin Cook left end for 6 yards (tackle by Jaire Alexander),0.56,0.07,1.0,2022,12
4.0,1:08,4.0,7.0,GNB 48,7.0,23.0,"Ryan Wright punts 40 yards, fair catch by Amari Rodgers at GB-8",0.07,0.38,1.0,2022,12
4.0,1:02,1.0,10.0,GNB 8,7.0,23.0,Jordan Love pass complete short middle to AJ Dillon for 12 yards (tackle by Eric Kendricks and Camryn Bynum),-0.38,0.28,1.0,2022,12
4.0,0:39,1.0,10.0,GNB 20,7.0,23.0,Jordan Love pass complete short middle to Josiah Deguara for 15 yards (tackle by Harrison Smith),0.28,1.27,1.0,2022,12
4.0,0:19,1.0,10.0,GNB 35,7.0,23.0,Jordan Love pass complete short middle to Josiah Deguara for 13 yards (tackle by Eric Kendricks),1.27,2.26,1.0,2022,12
4.0,0:03,1.0,10.0,GNB 50,7.0,23.0,Jordan Love spiked the ball,2.26,1.58,1.0,2022,12
4.0,0:01,2.0,10.0,GNB 48,7.0,23.0,Jordan Love pass complete short right to Christian Watson for 25 yards (tackle by Jordan Hicks and Patrick Peterson),1.58,3.78,1.0,2022,12
