Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA,week,year,game_id
1.0,8:42,3.0,10.0,PHI 44,0.0,7.0,"Penalty on Dallas Goedert: False Start, 5 yards (accepted) (no play)",0.63,-0.03,1.0,2022,7
1.0,8:42,3.0,15.0,PHI 39,0.0,7.0,Jalen Hurts scrambles right end for 16 yards (tackle by DeShon Elliott),-0.03,2.59,1.0,2022,7
1.0,8:00,1.0,10.0,DET 45,0.0,7.0,Miles Sanders right end for 5 yards (tackle by Jeff Okudah),2.59,2.72,1.0,2022,7
1.0,7:26,2.0,5.0,DET 40,0.0,7.0,Jalen Hurts pass incomplete short left intended for DeVonta Smith,2.72,2.01,1.0,2022,7
1.0,7:17,3.0,5.0,DET 40,0.0,7.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Jeff Okudah),2.01,0.59,1.0,2022,7
1.0,7:13,4.0,5.0,DET 40,0.0,7.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Amani Oruwariye),0.59,-1.66,1.0,2022,7
1.0,7:10,1.0,10.0,DET 41,0.0,7.0,Jared Goff pass complete short right to Amon-Ra St. Brown for -2 yards (tackle by Marcus Epps),1.66,0.85,1.0,2022,7
1.0,6:33,2.0,12.0,DET 39,0.0,7.0,D'Andre Swift right tackle for 6 yards (tackle by Josh Sweat and Darius Slay),0.85,0.96,1.0,2022,7
1.0,6:02,3.0,6.0,DET 45,0.0,7.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,0.96,-0.39,1.0,2022,7
1.0,5:58,4.0,6.0,DET 45,0.0,7.0,"Jack Fox punts 37 yards, fair catch by Britain Covey at PHI-18",-0.39,-0.04,1.0,2022,7
1.0,5:51,1.0,10.0,PHI 18,0.0,7.0,"Penalty on Quez Watkins: False Start, 5 yards (accepted) (no play)",0.04,-0.45,1.0,2022,7
1.0,5:51,1.0,15.0,PHI 13,0.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 10 yards (tackle by Tracy Walker and Mike Hughes),-0.45,0.21,1.0,2022,7
1.0,5:09,2.0,6.0,PHI 23,0.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 18 yards (tackle by Tracy Walker),0.21,1.66,1.0,2022,7
1.0,4:35,1.0,10.0,PHI 41,0.0,7.0,"Jalen Hurts pass complete to DeVonta Smith for 10 yards. Penalty on Jordan Mailata: Offensive Holding, 10 yards (accepted) (no play)",1.66,1.0,1.0,2022,7
1.0,4:23,1.0,20.0,PHI 31,0.0,7.0,Jalen Hurts scrambles left end for 3 yards (tackle by Isaiah Buggs),1.0,0.18,1.0,2022,7
1.0,3:39,2.0,17.0,PHI 34,0.0,7.0,Jalen Hurts pass complete short right to Miles Sanders for 11 yards (tackle by Jeff Okudah),0.18,0.96,1.0,2022,7
1.0,2:49,,,,,,Timeout #1 by Philadelphia Eagles,,,1.0,2022,7
1.0,2:49,3.0,6.0,PHI 45,0.0,7.0,Jalen Hurts scrambles left end for 10 yards (tackle by Tracy Walker),0.96,2.59,1.0,2022,7
1.0,2:16,1.0,10.0,DET 45,0.0,7.0,Jalen Hurts pass complete short left to A.J. Brown for 18 yards (tackle by Amani Oruwariye),2.59,3.78,1.0,2022,7
1.0,1:36,1.0,10.0,DET 27,0.0,7.0,Jalen Hurts right end for 2 yards (tackle by Amani Oruwariye),3.78,3.5,1.0,2022,7
1.0,0:50,2.0,8.0,DET 25,0.0,7.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 4 yards (tackle by Malcolm Rodriguez and Alex Anzalone),3.5,3.34,1.0,2022,7
2.0,15:00,3.0,4.0,DET 21,0.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 16 yards (tackle by Tracy Walker),3.34,6.06,1.0,2022,7
2.0,14:34,1.0,5.0,DET 5,0.0,7.0,Jalen Hurts pass incomplete short middle intended for A.J. Brown (defended by Tracy Walker),6.06,5.15,1.0,2022,7
2.0,14:30,2.0,5.0,DET 5,0.0,7.0,Miles Sanders left end for 3 yards (tackle by Austin Bryant),5.15,4.95,1.0,2022,7
2.0,13:47,3.0,2.0,DET 2,0.0,7.0,Jalen Hurts right end for 1 yard (tackle by Alex Anzalone and Malcolm Rodriguez),4.95,3.55,1.0,2022,7
2.0,13:01,4.0,1.0,DET 1,6.0,7.0,"Jalen Hurts right end for 1 yard, touchdown",3.55,7.0,1.0,2022,7
2.0,12:56,,,DET 15,7.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2022,7
2.0,12:56,,,PHI 35,7.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
2.0,12:56,1.0,10.0,DET 25,7.0,7.0,D'Andre Swift right end for 1 yard (tackle by Jordan Davis),0.61,0.2,1.0,2022,7
2.0,12:25,2.0,9.0,DET 26,7.0,7.0,D'Andre Swift up the middle for 2 yards (tackle by T.J. Edwards and Avonte Maddox),0.2,-0.23,1.0,2022,7
2.0,11:55,3.0,7.0,DET 28,7.0,7.0,Jared Goff pass incomplete short right intended for DJ Chark,-0.23,-1.5,1.0,2022,7
2.0,11:50,4.0,7.0,DET 28,7.0,7.0,"Jack Fox punts 54 yards, returned by Britain Covey for 11 yards (tackle by Will Harris)",-1.5,-0.87,1.0,2022,7
2.0,11:37,1.0,10.0,PHI 29,7.0,7.0,Jalen Hurts pass complete short right to Dallas Goedert for 11 yards (tackle by Jeff Okudah and Tracy Walker),0.87,1.6,1.0,2022,7
2.0,11:06,1.0,10.0,PHI 40,7.0,7.0,Miles Sanders right tackle for 9 yards (tackle by DeShon Elliott),1.6,2.27,1.0,2022,7
2.0,10:23,2.0,1.0,PHI 49,7.0,7.0,Jalen Hurts pass incomplete short left intended for Noah Togiai,2.27,1.55,1.0,2022,7
2.0,10:17,3.0,1.0,PHI 49,7.0,7.0,"Penalty on PHI: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",1.55,0.89,1.0,2022,7
2.0,10:17,3.0,6.0,PHI 44,7.0,7.0,Jalen Hurts pass incomplete short left,0.89,-0.46,1.0,2022,7
2.0,10:12,4.0,6.0,PHI 44,7.0,7.0,"Arryn Siposs punts 46 yards, returned by Kalif Raymond for 12 yards (tackle by Zech McPhearson)",-0.46,-0.41,1.0,2022,7
2.0,10:04,1.0,10.0,DET 22,7.0,7.0,Jared Goff pass incomplete short right intended for T.J. Hockenson,0.41,-0.13,1.0,2022,7
2.0,10:01,2.0,10.0,DET 22,7.0,7.0,Jared Goff pass incomplete short middle intended for T.J. Hockenson (defended by T.J. Edwards),-0.13,-0.82,1.0,2022,7
2.0,9:57,3.0,10.0,DET 22,7.0,7.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by C.J. Gardner-Johnson),-0.82,-1.9,1.0,2022,7
2.0,9:52,4.0,10.0,DET 22,7.0,7.0,"Jack Fox punts 46 yards, returned by Britain Covey for 2 yards (tackle by Mike Hughes)",-1.9,-1.2,1.0,2022,7
2.0,9:44,1.0,10.0,PHI 34,7.0,7.0,Jalen Hurts pass complete short middle to A.J. Brown for 12 yards (tackle by DeShon Elliott and Tracy Walker),1.2,1.99,1.0,2022,7
2.0,9:16,1.0,10.0,PHI 46,7.0,7.0,Miles Sanders up the middle for 13 yards (tackle by Jeff Okudah and Tracy Walker),1.99,2.85,1.0,2022,7
2.0,8:49,1.0,10.0,DET 41,7.0,7.0,Miles Sanders up the middle for 8 yards (tackle by Charles Harris),2.85,3.39,1.0,2022,7
2.0,8:26,2.0,2.0,DET 33,7.0,7.0,Jalen Hurts pass incomplete short left,3.39,2.68,1.0,2022,7
2.0,8:19,3.0,2.0,DET 33,7.0,7.0,Jalen Hurts pass complete short left to Dallas Goedert for 27 yards (tackle by DeShon Elliott),2.68,5.83,1.0,2022,7
2.0,7:59,1.0,6.0,DET 6,7.0,7.0,Jalen Hurts pass incomplete,5.83,4.95,1.0,2022,7
2.0,7:52,2.0,6.0,DET 6,7.0,7.0,"Penalty on Jalen Hurts: Delay of Game, 5 yards (accepted) (no play)",4.95,4.02,1.0,2022,7
2.0,7:52,2.0,11.0,DET 11,7.0,7.0,Miles Sanders for 1 yard (no play),4.02,4.95,1.0,2022,7
2.0,7:46,2.0,6.0,DET 6,7.0,7.0,Jalen Hurts left end for 5 yards (tackle by Alex Anzalone),4.95,5.17,1.0,2022,7
2.0,7:38,3.0,1.0,DET 1,13.0,7.0,"Miles Sanders right tackle for 1 yard, touchdown",5.17,7.0,1.0,2022,7
2.0,7:34,,,DET 15,14.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2022,7
2.0,7:34,,,PHI 35,14.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
2.0,7:34,1.0,10.0,DET 25,14.0,7.0,Jamaal Williams left tackle for 4 yards (tackle by Milton Williams),0.61,0.6,1.0,2022,7
2.0,7:01,2.0,6.0,DET 29,14.0,7.0,"D'Andre Swift right end for no gain. Penalty on T.J. Hockenson: Offensive Holding, 10 yards (accepted) (no play)",0.6,-0.81,1.0,2022,7
2.0,6:42,2.0,16.0,DET 19,20.0,7.0,"Jared Goff pass short left (defended by Kyzir White) intended for T.J. Hockenson is intercepted by James Bradberry at DET-27 and returned for 27 yards, touchdown",-0.81,-7.0,1.0,2022,7
2.0,6:26,,,DET 15,21.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2022,7
2.0,6:26,,,PHI 35,21.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
2.0,6:26,1.0,10.0,DET 25,21.0,7.0,Jamaal Williams right tackle for 1 yard (tackle by Kyzir White),0.61,0.2,1.0,2022,7
2.0,5:55,2.0,9.0,DET 26,21.0,7.0,Jared Goff pass complete short right to DJ Chark for 4 yards (tackle by Darius Slay),0.2,0.04,1.0,2022,7
2.0,5:20,3.0,5.0,DET 30,21.0,7.0,Jared Goff pass complete deep left to Josh Reynolds for 28 yards (tackle by Marcus Epps),0.04,2.79,1.0,2022,7
2.0,4:40,1.0,10.0,PHI 42,21.0,7.0,Jared Goff pass incomplete deep right intended for DJ Chark,2.79,2.24,1.0,2022,7
2.0,4:34,2.0,10.0,PHI 42,21.0,7.0,D'Andre Swift left tackle for 13 yards (tackle by Marcus Epps),2.24,3.64,1.0,2022,7
2.0,3:59,1.0,10.0,PHI 29,21.0,7.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 13 yards (tackle by Marcus Epps),3.64,4.51,1.0,2022,7
2.0,3:21,1.0,10.0,PHI 16,21.0,7.0,Jared Goff pass complete short middle to Jamaal Williams for 2 yards (tackle by T.J. Edwards),4.51,4.21,1.0,2022,7
2.0,2:45,2.0,8.0,PHI 14,21.0,7.0,D'Andre Swift left end for 7 yards (tackle by Kyzir White),4.21,4.85,1.0,2022,7
2.0,2:05,3.0,1.0,PHI 7,21.0,7.0,Jamaal Williams up the middle for no gain (tackle by Marcus Epps and Jordan Davis),4.85,3.01,1.0,2022,7
2.0,2:00,4.0,1.0,PHI 7,21.0,13.0,"D'Andre Swift left end for 7 yards, touchdown",3.01,7.0,1.0,2022,7
2.0,1:55,,,PHI 15,21.0,14.0,Austin Seibert kicks extra point good,0.0,0.0,1.0,2022,7
2.0,1:55,,,DET 35,21.0,14.0,"Austin Seibert kicks off 59 yards, returned by Quez Watkins for 16 yards (tackle by Josh Woods and Derrick Barnes)",0.0,0.41,1.0,2022,7
2.0,1:51,1.0,10.0,PHI 22,21.0,14.0,Kenneth Gainwell up the middle for 6 yards (tackle by Charles Harris),0.41,0.68,1.0,2022,7
2.0,1:33,2.0,4.0,PHI 28,21.0,14.0,Jalen Hurts pass complete short middle to Kenneth Gainwell for 8 yards (tackle by Alex Anzalone),0.68,1.33,1.0,2022,7
2.0,1:05,1.0,10.0,PHI 36,21.0,14.0,Jalen Hurts sacked by Tracy Walker for -4 yards,1.33,0.25,1.0,2022,7
2.0,0:54,,,,,,Timeout #1 by Detroit Lions,,,1.0,2022,7
2.0,0:54,2.0,14.0,PHI 32,21.0,14.0,Jalen Hurts scrambles left end for 10 yards (tackle by Charles Harris),0.25,0.89,1.0,2022,7
2.0,0:44,,,,,,Timeout #2 by Philadelphia Eagles,,,1.0,2022,7
2.0,0:44,3.0,4.0,PHI 42,21.0,14.0,Jalen Hurts pass complete deep right to A.J. Brown for 54 yards (tackle by Will Harris),0.89,6.28,1.0,2022,7
2.0,0:19,,,,,,Timeout #2 by Detroit Lions,,,1.0,2022,7
2.0,0:19,1.0,4.0,DET 4,21.0,14.0,Miles Sanders left end for -1 yards (tackle by Alex Anzalone and Mike Hughes),6.28,5.15,1.0,2022,7
2.0,0:14,,,,,,Timeout #3 by Philadelphia Eagles,,,1.0,2022,7
2.0,0:14,2.0,5.0,DET 5,21.0,14.0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell,5.15,4.26,1.0,2022,7
2.0,0:11,3.0,5.0,DET 5,21.0,14.0,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by Isaiah Buggs),4.26,3.01,1.0,2022,7
2.0,0:09,4.0,5.0,DET 5,24.0,14.0,Jake Elliott 23 yard field goal good,3.01,3.0,1.0,2022,7
2.0,0:06,,,PHI 35,24.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
2.0,0:06,1.0,10.0,DET 25,24.0,14.0,Jared Goff kneels for -1 yards,0.61,-0.07,1.0,2022,7
3.0,15:00,,,DET 35,24.0,14.0,"Austin Seibert kicks off 64 yards, returned by Quez Watkins for 17 yards (tackle by Tracy Walker and Kerby Joseph)",0.0,0.04,1.0,2022,7
3.0,14:53,1.0,10.0,PHI 18,24.0,14.0,Miles Sanders left tackle for -1 yards (tackle by Charles Harris and Malcolm Rodriguez),0.04,-0.65,1.0,2022,7
3.0,14:18,2.0,11.0,PHI 17,24.0,14.0,Jalen Hurts pass complete short left to A.J. Brown for 5 yards (tackle by Amani Oruwariye),-0.65,-0.68,1.0,2022,7
3.0,13:33,3.0,7.0,PHI 22,24.0,14.0,Jalen Hurts pass complete short right to A.J. Brown for 10 yards (tackle by Jeff Okudah),-0.68,1.07,1.0,2022,7
3.0,13:03,1.0,10.0,PHI 32,24.0,14.0,Kenneth Gainwell up the middle for 7 yards (tackle by Alex Anzalone),1.07,1.47,1.0,2022,7
3.0,12:40,2.0,3.0,PHI 39,24.0,14.0,Kenneth Gainwell up the middle for 1 yard (tackle by Charles Harris and Aidan Hutchinson),1.47,0.89,1.0,2022,7
3.0,11:57,3.0,2.0,PHI 40,24.0,14.0,Jalen Hurts pass complete short right to Zach Pascal for 7 yards (tackle by Derrick Barnes),0.89,2.06,1.0,2022,7
3.0,11:34,,,,,,Timeout #1 by Detroit Lions,,,1.0,2022,7
3.0,11:34,1.0,10.0,PHI 47,24.0,14.0,"Miles Sanders for 24 yards (tackle by Tracy Walker and Jeff Okudah). Penalty on Alex Anzalone: Unnecessary Roughness / Defense, 15 yards (accepted)",2.06,4.65,1.0,2022,7
3.0,11:09,1.0,10.0,DET 14,24.0,14.0,Jalen Hurts scrambles right tackle for 8 yards (tackle by Malcolm Rodriguez),4.65,5.47,1.0,2022,7
3.0,10:47,2.0,2.0,DET 6,24.0,14.0,Kenneth Gainwell up the middle for 4 yards (tackle by Tracy Walker),5.47,6.74,1.0,2022,7
3.0,10:29,1.0,2.0,DET 2,30.0,14.0,"Kenneth Gainwell left tackle for 2 yards, touchdown",6.74,7.0,1.0,2022,7
3.0,10:21,,,DET 15,31.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2022,7
3.0,10:21,,,PHI 35,31.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
3.0,10:21,1.0,10.0,DET 25,31.0,14.0,Jared Goff pass complete short right to T.J. Hockenson for 2 yards (tackle by C.J. Gardner-Johnson),0.61,0.33,1.0,2022,7
3.0,9:45,2.0,8.0,DET 27,31.0,14.0,Jamaal Williams left end for -2 yards (tackle by Haason Reddick),0.33,-0.62,1.0,2022,7
3.0,9:05,3.0,10.0,DET 25,31.0,14.0,D'Andre Swift up the middle for 16 yards (tackle by James Bradberry),-0.62,1.66,1.0,2022,7
3.0,8:33,1.0,10.0,DET 41,31.0,14.0,Jamaal Williams up the middle for 2 yards (tackle by Fletcher Cox),1.66,1.39,1.0,2022,7
3.0,7:58,2.0,8.0,DET 43,31.0,14.0,Jared Goff pass incomplete short left intended for Jamaal Williams,1.39,0.7,1.0,2022,7
3.0,7:49,3.0,8.0,DET 43,31.0,14.0,"Penalty on Fletcher Cox: Encroachment, 5 yards (accepted) (no play)",0.7,1.36,1.0,2022,7
3.0,7:49,3.0,3.0,DET 48,31.0,14.0,Jared Goff pass complete short left to DJ Chark for 13 yards (tackle by C.J. Gardner-Johnson),1.36,2.98,1.0,2022,7
3.0,7:19,1.0,10.0,PHI 39,31.0,14.0,Jared Goff pass incomplete deep right intended for Kalif Raymond,2.98,2.44,1.0,2022,7
3.0,7:10,2.0,10.0,PHI 39,31.0,14.0,Jared Goff pass complete short left to T.J. Hockenson for 16 yards (tackle by Marcus Epps),2.44,4.04,1.0,2022,7
3.0,6:23,1.0,10.0,PHI 23,31.0,14.0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,4.04,3.5,1.0,2022,7
3.0,6:18,2.0,10.0,PHI 23,31.0,14.0,D'Andre Swift up the middle for 3 yards (tackle by C.J. Gardner-Johnson),3.5,3.2,1.0,2022,7
3.0,5:45,3.0,7.0,PHI 20,31.0,14.0,Jared Goff scrambles left end for 10 yards (tackle by T.J. Edwards),3.2,4.91,1.0,2022,7
3.0,5:00,1.0,10.0,PHI 10,31.0,14.0,Jamaal Williams left tackle for 6 yards (tackle by Javon Hargrave and Marcus Epps),4.91,5.34,1.0,2022,7
3.0,4:22,2.0,4.0,PHI 4,31.0,14.0,Jared Goff pass incomplete short middle intended for Josh Reynolds,5.34,4.49,1.0,2022,7
3.0,4:14,3.0,4.0,PHI 4,31.0,20.0,"Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards, touchdown",4.49,7.0,1.0,2022,7
3.0,4:09,,,PHI 15,31.0,21.0,Austin Seibert kicks extra point good,0.0,0.0,1.0,2022,7
3.0,4:09,,,DET 35,31.0,21.0,"Austin Seibert kicks onside 14 yards, returned by Zech McPhearson for no gain (tackle by Tracy Walker)",0.0,2.32,1.0,2022,7
3.0,4:08,1.0,10.0,DET 49,31.0,21.0,Jalen Hurts scrambles left end for 6 yards (tackle by Amani Oruwariye),2.32,2.59,1.0,2022,7
3.0,3:30,2.0,4.0,DET 43,31.0,21.0,Jalen Hurts pass complete short right to A.J. Brown for no gain (tackle by Jeff Okudah),2.59,1.88,1.0,2022,7
3.0,2:48,3.0,4.0,DET 43,31.0,21.0,"Jalen Hurts scrambles right tackle for 5 yards (tackle by Tracy Walker). Penalty on Tracy Walker: Unnecessary Roughness / Defense, 15 yards (accepted)",1.88,4.04,1.0,2022,7
3.0,2:22,1.0,10.0,DET 23,31.0,21.0,Jalen Hurts pass complete short right to Dallas Goedert for 22 yards (tackle by Jeff Okudah and Charles Harris),4.04,6.97,1.0,2022,7
3.0,1:45,1.0,1.0,DET 1,37.0,21.0,"Boston Scott up the middle for 1 yard, touchdown",6.97,7.0,1.0,2022,7
3.0,1:41,,,DET 15,38.0,21.0,Jake Elliott kicks extra point good,0.0,0.0,1.0,2022,7
3.0,1:41,,,PHI 35,38.0,21.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
3.0,1:41,1.0,10.0,DET 25,38.0,21.0,D'Andre Swift left tackle for 4 yards (tackle by T.J. Edwards),0.61,0.6,1.0,2022,7
3.0,1:10,2.0,6.0,DET 29,38.0,21.0,Jared Goff pass complete deep right to Amon-Ra St. Brown for 29 yards (tackle by Darius Slay),0.6,2.79,1.0,2022,7
3.0,0:31,1.0,10.0,PHI 42,38.0,21.0,"Jared Goff pass incomplete intended for Kalif Raymond. Penalty on T.J. Edwards: Defensive Holding, 5 yards (accepted) (no play)",2.79,3.12,1.0,2022,7
3.0,0:21,1.0,10.0,PHI 37,38.0,21.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,3.12,2.57,1.0,2022,7
3.0,0:18,2.0,10.0,PHI 37,38.0,21.0,"Jared Goff pass complete short left to T.J. Hockenson for 11 yards (tackle by C.J. Gardner-Johnson) PHI challenged the pass completion ruling, and the play was upheld.",2.57,3.84,1.0,2022,7
4.0,15:00,1.0,10.0,PHI 26,38.0,21.0,Jared Goff pass complete short left to D'Andre Swift for 25 yards (tackle by T.J. Edwards and James Bradberry),3.84,6.97,1.0,2022,7
4.0,14:22,1.0,1.0,PHI 1,38.0,27.0,"Jamaal Williams up the middle for 1 yard, touchdown",6.97,7.0,1.0,2022,7
4.0,14:16,,,PHI 15,38.0,28.0,Austin Seibert kicks extra point good,0.0,0.0,1.0,2022,7
4.0,14:16,,,,,,Timeout #2 by Philadelphia Eagles,,,1.0,2022,7
4.0,14:16,,,DET 35,38.0,28.0,"Austin Seibert kicks off 65 yards, touchback.",0.0,0.61,1.0,2022,7
4.0,14:16,1.0,10.0,PHI 25,38.0,28.0,Jalen Hurts pass complete short right to A.J. Brown for 12 yards (tackle by Charles Harris),0.61,1.4,1.0,2022,7
4.0,13:46,1.0,10.0,PHI 37,38.0,28.0,Miles Sanders left tackle for 3 yards (tackle by Isaiah Buggs),1.4,1.26,1.0,2022,7
4.0,13:00,2.0,7.0,PHI 40,38.0,28.0,"Penalty on Jalen Hurts: Delay of Game, 5 yards (accepted) (no play)",1.26,0.59,1.0,2022,7
4.0,12:57,2.0,12.0,PHI 35,38.0,28.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith,0.59,-0.1,1.0,2022,7
4.0,12:51,3.0,12.0,PHI 35,38.0,28.0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Austin Bryant),-0.1,-1.04,1.0,2022,7
4.0,12:47,4.0,12.0,PHI 35,38.0,28.0,"Arryn Siposs punts 48 yards, returned by Kalif Raymond for 3 yards (tackle by Zech McPhearson)",-1.04,-0.28,1.0,2022,7
4.0,12:37,1.0,10.0,DET 20,38.0,28.0,D'Andre Swift up the middle for 18 yards (tackle by Marcus Epps),0.28,1.47,1.0,2022,7
4.0,12:01,1.0,10.0,DET 38,38.0,28.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 7 yards (tackle by Josh Sweat),1.47,1.8,1.0,2022,7
4.0,11:36,2.0,4.0,DET 45,38.0,28.0,Jared Goff pass incomplete deep right intended for Josh Reynolds,1.8,1.09,1.0,2022,7
4.0,11:30,3.0,4.0,DET 45,38.0,28.0,"Jared Goff aborted snap, recovered by Jared Goff at DET-39 and returned for 6 yards Jared Goff sacked by and Fletcher Cox for -10 yards and Brandon Graham for -10 yards",1.09,-1.04,1.0,2022,7
4.0,10:48,4.0,13.0,DET 35,38.0,28.0,"Jack Fox punts 48 yards, fair catch by Britain Covey at PHI-17",-1.04,0.06,1.0,2022,7
4.0,10:41,1.0,10.0,PHI 17,38.0,28.0,Jalen Hurts right end for 2 yards (tackle by Juju Hughes),-0.06,-0.25,1.0,2022,7
4.0,10:05,2.0,8.0,PHI 19,38.0,28.0,Jalen Hurts pass complete short left to Miles Sanders for -2 yards (tackle by Malcolm Rodriguez),-0.25,-1.25,1.0,2022,7
4.0,9:18,3.0,10.0,PHI 17,38.0,28.0,"Jalen Hurts pass incomplete deep left intended for DeVonta Smith. Penalty on Lane Johnson: Ineligible Downfield Pass, 5 yards (offset) . Penalty on Jeff Okudah: Defensive Pass Interference, 15 yards (offset) (no play)",-1.25,-1.25,1.0,2022,7
4.0,9:09,3.0,10.0,PHI 17,38.0,28.0,Jalen Hurts scrambles right tackle for 2 yards (tackle by John Cominsky and Alex Anzalone),-1.25,-2.14,1.0,2022,7
4.0,8:06,4.0,8.0,PHI 19,38.0,28.0,"Arryn Siposs punts 43 yards, returned by Kalif Raymond for no gain (tackle by Kyron Johnson and Patrick Johnson). Penalty on Kerby Joseph: Offensive Holding, 10 yards (accepted)",-2.14,-0.81,1.0,2022,7
4.0,8:19,1.0,10.0,DET 28,38.0,28.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by T.J. Edwards),0.81,0.94,1.0,2022,7
4.0,7:49,2.0,5.0,DET 33,38.0,28.0,D'Andre Swift up the middle for 1 yard (tackle by Milton Williams),0.94,0.37,1.0,2022,7
4.0,7:14,3.0,4.0,DET 34,38.0,28.0,Jared Goff pass complete short middle to DJ Chark for 13 yards (tackle by Darius Slay),0.37,2.06,1.0,2022,7
4.0,6:39,1.0,10.0,DET 47,38.0,28.0,D'Andre Swift right tackle for no gain (tackle by Marlon Tuipulotu and Haason Reddick),2.06,1.52,1.0,2022,7
